state,year,barrels,type
NM,2015,14181.52,On Premises
NM,2016,14793.89,On Premises
NM,2017,18654.17,On Premises
NM,2018,21234.68,On Premises
NM,2019,25948.46,On Premises
NV,2008,15454.08,On Premises
NV,2009,14003.16,On Premises
NV,2010,15618.93,On Premises
NV,2011,15819.59,On Premises
NV,2012,15331.77,On Premises
NV,2013,14612.820000000002,On Premises
NV,2014,16234.04,On Premises
NV,2015,21635.989999999998,On Premises
NV,2016,17457.760000000002,On Premises
NV,2017,14372.050000000001,On Premises
NV,2018,16923.86,On Premises
NV,2019,21115.35,On Premises
NY,2008,12354.419999999998,On Premises
NY,2009,12034.5,On Premises
NY,2010,11614.3,On Premises
NY,2011,14572,On Premises
NY,2012,18110.04,On Premises
NY,2013,24800.93,On Premises
NY,2014,38325.34,On Premises
NY,2015,44491.79,On Premises
NY,2016,57825.53999999999,On Premises
NY,2017,78958.19,On Premises
NY,2018,112324.25,On Premises
NY,2019,150616.79,On Premises
OH,2008,8070.58,On Premises
OH,2009,7718.23,On Premises
OH,2010,8426,On Premises
OH,2011,9229.08,On Premises
OH,2012,11293.61,On Premises
OH,2013,11632.86,On Premises
OH,2014,12905.42,On Premises
OH,2015,30296.190000000002,On Premises
OH,2016,50547.689999999995,On Premises
OH,2017,79394.12999999999,On Premises
OH,2018,99966.84,On Premises
OH,2019,132029.68,On Premises
OK,2008,3115.11,On Premises
OK,2009,2621.87,On Premises
OK,2010,2580.0299999999997,On Premises
OK,2011,2354.06,On Premises
OK,2012,2198.78,On Premises
OK,2013,2381.4700000000003,On Premises
OK,2014,2459.74,On Premises
OK,2015,9930.51,On Premises
OK,2016,9525.21,On Premises
OK,2017,10922.26,On Premises
OK,2018,16905.78,On Premises
OK,2019,21128.75,On Premises
OR,2008,20091.199999999997,On Premises
OR,2009,23391.44,On Premises
OR,2010,27650,On Premises
OR,2011,32250.56,On Premises
OR,2012,34755.42,On Premises
OR,2013,37006.39,On Premises
OR,2014,33472.7,On Premises
OR,2015,88028.35,On Premises
OR,2016,110352.94,On Premises
OR,2017,131075.08000000002,On Premises
OR,2018,121831.69,On Premises
OR,2019,122000.26,On Premises
PA,2008,20690.29,On Premises
PA,2009,24100.190000000002,On Premises
PA,2010,26916.15,On Premises
PA,2011,32025.239999999998,On Premises
PA,2012,33773.09,On Premises
PA,2013,31943.35,On Premises
PA,2014,30228.3,On Premises
PA,2015,44275.020000000004,On Premises
PA,2016,55589.65,On Premises
PA,2017,69737.43000000001,On Premises
PA,2018,78428.54999999999,On Premises
PA,2019,89591.8,On Premises
RI,2008,940.31,On Premises
RI,2009,692.41,On Premises
RI,2010,788.29,On Premises
RI,2011,901.31,On Premises
RI,2012,716.47,On Premises
RI,2013,830.8,On Premises
RI,2014,987.1299999999999,On Premises
RI,2015,961.74,On Premises
RI,2016,5280.88,On Premises
RI,2017,6891.13,On Premises
RI,2018,15674.07,On Premises
RI,2019,24270.72,On Premises
SC,2008,3250.91,On Premises
SC,2009,2901.18,On Premises
SC,2010,3091.5600000000004,On Premises
SC,2011,3037.92,On Premises
SC,2012,2904.66,On Premises
SC,2013,2711.72,On Premises
SC,2014,3131.64,On Premises
SC,2015,11328.32,On Premises
SC,2016,30163.3,On Premises
SC,2017,30800.78,On Premises
SC,2018,38081.25,On Premises
SC,2019,53161.06,On Premises
SD,2008,879.8199999999999,On Premises
SD,2009,860.25,On Premises
SD,2010,1186.62,On Premises
SD,2011,824.63,On Premises
SD,2012,773.45,On Premises
SD,2013,909.1400000000001,On Premises
SD,2014,1336.27,On Premises
SD,2015,1731.45,On Premises
SD,2016,3217.49,On Premises
SD,2017,6582.66,On Premises
SD,2018,8928.3,On Premises
SD,2019,9386.07,On Premises
TN,2008,12092.4,On Premises
TN,2009,11977.060000000001,On Premises
TN,2010,13633.630000000001,On Premises
TN,2011,9702.23,On Premises
TN,2012,10103.130000000001,On Premises
TN,2013,9965.75,On Premises
TN,2014,9220.380000000001,On Premises
TN,2015,18757.66,On Premises
TN,2016,35673.47,On Premises
TN,2017,39494.25,On Premises
TN,2018,57029.15,On Premises
TN,2019,59753.64,On Premises
TX,2008,9670.24,On Premises
TX,2009,9814.02,On Premises
TX,2010,10556.49,On Premises
TX,2011,10299.17,On Premises
TX,2012,8503.31,On Premises
TX,2013,9242.599999999999,On Premises
TX,2014,9471.810000000001,On Premises
TX,2015,62757.74,On Premises
TX,2016,101466.52,On Premises
TX,2017,143879.86,On Premises
TX,2018,162547.36000000002,On Premises
TX,2019,196218.38,On Premises
UT,2008,6446.05,On Premises
UT,2009,5941.7699999999995,On Premises
UT,2010,5226.6,On Premises
UT,2011,5238.62,On Premises
UT,2012,4595.18,On Premises
UT,2013,3953.1000000000004,On Premises
UT,2014,5875.719999999999,On Premises
UT,2015,4302.4400000000005,On Premises
UT,2016,6283.83,On Premises
UT,2017,8391.41,On Premises
UT,2018,10153.869999999999,On Premises
UT,2019,19578.59,On Premises
VA,2008,11976.19,On Premises
VA,2009,12379.869999999999,On Premises
VA,2010,12732.37,On Premises
VA,2011,12098.41,On Premises
VA,2012,10414.51,On Premises
VA,2013,12450.880000000001,On Premises
VA,2014,12352.47,On Premises
VA,2015,36003.33,On Premises
VA,2016,68666.78,On Premises
VA,2017,114900.37,On Premises
VA,2018,118672.93,On Premises
VA,2019,163800.67,On Premises
VT,2008,3486.8100000000004,On Premises
VT,2009,3587.06,On Premises
VT,2010,3661.94,On Premises
VT,2011,3263.23,On Premises
VT,2012,2216.5,On Premises
VT,2013,2563.8500000000004,On Premises
VT,2014,2692.34,On Premises
VT,2015,10792.93,On Premises
VT,2016,13299.51,On Premises
VT,2017,20568.820000000003,On Premises
VT,2018,19980.23,On Premises
VT,2019,23530.86,On Premises
WA,2008,17195.23,On Premises
WA,2009,17651.64,On Premises
WA,2010,19965.32,On Premises
WA,2011,18205.29,On Premises
WA,2012,17362.29,On Premises
WA,2013,17770.870000000003,On Premises
WA,2014,18066.36,On Premises
WA,2015,45357.11,On Premises
WA,2016,78538.87999999999,On Premises
WA,2017,97744.72,On Premises
WA,2018,121733.56999999999,On Premises
WA,2019,144277.95,On Premises
WI,2008,14919.93,On Premises
WI,2009,14700.400000000001,On Premises
WI,2010,16669.97,On Premises
WI,2011,19882.13,On Premises
WI,2012,18853.61,On Premises
WI,2013,19250.29,On Premises
WI,2014,17885.54,On Premises
WI,2015,34649.49,On Premises
WI,2016,55487.79,On Premises
WI,2017,68905.03,On Premises
WI,2018,71830.22,On Premises
WI,2019,74567.2,On Premises
WV,2008,608.65,On Premises
WV,2009,78,On Premises
WV,2010,7.16,On Premises
WV,2011,0,On Premises
WV,2012,14.85,On Premises
WV,2013,422.15,On Premises
WV,2014,420.5,On Premises
WV,2015,3653.33,On Premises
WV,2016,6766.41,On Premises
WV,2017,8218.02,On Premises
WV,2018,7252.5,On Premises
WV,2019,8301.94,On Premises
WY,2008,2135.61,On Premises
WY,2009,2518.9,On Premises
WY,2010,2681.61,On Premises
WY,2011,3178.5499999999997,On Premises
WY,2012,3528.21,On Premises
WY,2013,3544.63,On Premises
WY,2014,3133.63,On Premises
WY,2015,5403.200000000001,On Premises
WY,2016,14370.22,On Premises
WY,2017,27214.460000000003,On Premises
WY,2018,15298.08,On Premises
WY,2019,12462.54,On Premises
total,2008,467148.07,On Premises
total,2009,467964.96,On Premises
total,2010,513621.9000000001,On Premises
total,2011,549067.09,On Premises
total,2012,550902.8899999999,On Premises
total,2013,574860.6399999998,On Premises
total,2014,668284.27,On Premises
total,2015,1275921.0399999998,On Premises
total,2016,2014125.2099999995,On Premises
total,2017,2656897.8399999994,On Premises
total,2018,3126137.569999999,On Premises
total,2019,3606540.3499999996,On Premises
AK,2008,81218.75,Bottles and Cans
AK,2009,89762.16,Bottles and Cans
AK,2010,80889.21,Bottles and Cans
AK,2011,94781.57,Bottles and Cans
AK,2012,105416.32,Bottles and Cans
AK,2013,112008.59,Bottles and Cans
AK,2014,129181.74,Bottles and Cans
AK,2015,126309.22,Bottles and Cans
AK,2016,115823.75,Bottles and Cans
AK,2017,109652.22,Bottles and Cans
AK,2018,100038.94,Bottles and Cans
AK,2019,92235.04,Bottles and Cans
AL,2008,NA,Bottles and Cans
AL,2009,NA,Bottles and Cans
AL,2010,NA,Bottles and Cans
AL,2011,658.96,Bottles and Cans
AL,2012,2485.79,Bottles and Cans
AL,2013,6634.43,Bottles and Cans
AL,2014,9521.26,Bottles and Cans
AL,2015,10543,Bottles and Cans
AL,2016,9977.46,Bottles and Cans
AL,2017,11797.8,Bottles and Cans
AL,2018,14241.33,Bottles and Cans
AL,2019,15337.81,Bottles and Cans
AR,2008,1206.73,Bottles and Cans
AR,2009,1269.26,Bottles and Cans
AR,2010,1445.82,Bottles and Cans
AR,2011,1382.06,Bottles and Cans
AR,2012,8,Bottles and Cans
AR,2013,8,Bottles and Cans
AR,2014,800.09,Bottles and Cans
AR,2015,872.11,Bottles and Cans
AR,2016,1737.1,Bottles and Cans
AR,2017,8723.15,Bottles and Cans
AR,2018,1668.5,Bottles and Cans
AR,2019,10033.89,Bottles and Cans
AZ,2008,6980.87,Bottles and Cans
AZ,2009,7383.27,Bottles and Cans
AZ,2010,10380.26,Bottles and Cans
AZ,2011,14057.56,Bottles and Cans
AZ,2012,18411.25,Bottles and Cans
AZ,2013,22318.65,Bottles and Cans
AZ,2014,29645.05,Bottles and Cans
AZ,2015,44032.85,Bottles and Cans
AZ,2016,59031.78,Bottles and Cans
AZ,2017,66483.94,Bottles and Cans
AZ,2018,56861.38,Bottles and Cans
AZ,2019,213919.27,Bottles and Cans
CA,2008,20082718.48,Bottles and Cans
CA,2009,19452836.45,Bottles and Cans
CA,2010,19095643.27,Bottles and Cans
CA,2011,18204514.85,Bottles and Cans
CA,2012,18940276.02,Bottles and Cans
CA,2013,17838853.36,Bottles and Cans
CA,2014,18052809.23,Bottles and Cans
CA,2015,17701780.59,Bottles and Cans
CA,2016,17569308.63,Bottles and Cans
CA,2017,16705423.6,Bottles and Cans
CA,2018,16122748.84,Bottles and Cans
CA,2019,15495820.4,Bottles and Cans
CO,2008,24182900.4,Bottles and Cans
CO,2009,21095113.55,Bottles and Cans
CO,2010,18742266.67,Bottles and Cans
CO,2011,18820319.55,Bottles and Cans
CO,2012,19267902.29,Bottles and Cans
CO,2013,18549122.13,Bottles and Cans
CO,2014,18035909.8,Bottles and Cans
CO,2015,17755216.77,Bottles and Cans
CO,2016,18105206.85,Bottles and Cans
CO,2017,17964522.31,Bottles and Cans
CO,2018,16457400.82,Bottles and Cans
CO,2019,17351292.18,Bottles and Cans
CT,2008,1985.86,Bottles and Cans
CT,2009,3152.59,Bottles and Cans
CT,2010,4822.66,Bottles and Cans
CT,2011,5578.56,Bottles and Cans
CT,2012,6372.31,Bottles and Cans
CT,2013,21549.9,Bottles and Cans
CT,2014,50874.7,Bottles and Cans
CT,2015,80241.6,Bottles and Cans
CT,2016,85586.12,Bottles and Cans
CT,2017,123130.64,Bottles and Cans
CT,2018,117099.4,Bottles and Cans
CT,2019,113684.6,Bottles and Cans
DC,2008,732.36,Bottles and Cans
DC,2009,629.61,Bottles and Cans
DC,2010,184.8,Bottles and Cans
DC,2011,332.23,Bottles and Cans
DC,2012,1727.77,Bottles and Cans
DC,2013,3546.13,Bottles and Cans
DC,2014,4265.73,Bottles and Cans
DC,2015,9222.28,Bottles and Cans
DC,2016,9485.89,Bottles and Cans
DC,2017,10449.74,Bottles and Cans
DC,2018,11505.98,Bottles and Cans
DC,2019,7808.04,Bottles and Cans
DE,2008,57376.89,Bottles and Cans
DE,2009,73743.37,Bottles and Cans
DE,2010,89753.27,Bottles and Cans
DE,2011,109745.27,Bottles and Cans
DE,2012,129493.68,Bottles and Cans
DE,2013,148156.85,Bottles and Cans
DE,2014,167806.22,Bottles and Cans
DE,2015,176483.9,Bottles and Cans
DE,2016,174130.96,Bottles and Cans
DE,2017,214555.74,Bottles and Cans
DE,2018,217018.27,Bottles and Cans
DE,2019,224084.01,Bottles and Cans
FL,2008,8301524.51,Bottles and Cans
FL,2009,9028726.18,Bottles and Cans
FL,2010,9232548.52,Bottles and Cans
FL,2011,9380672.31,Bottles and Cans
FL,2012,9738023.02,Bottles and Cans
FL,2013,9521482.11,Bottles and Cans
FL,2014,9439058.04,Bottles and Cans
FL,2015,9842764.82,Bottles and Cans
FL,2016,10028963.53,Bottles and Cans
FL,2017,9755349.98,Bottles and Cans
FL,2018,9944711.04,Bottles and Cans
FL,2019,9013013.49,Bottles and Cans
GA,2008,14460115.55,Bottles and Cans
GA,2009,15110122.41,Bottles and Cans
GA,2010,14321565.18,Bottles and Cans
GA,2011,14700163.67,Bottles and Cans
GA,2012,15000803.63,Bottles and Cans
GA,2013,14681673.2,Bottles and Cans
GA,2014,13929282.27,Bottles and Cans
GA,2015,12869372.66,Bottles and Cans
GA,2016,13468949.41,Bottles and Cans
GA,2017,13440658.34,Bottles and Cans
GA,2018,13665906.76,Bottles and Cans
GA,2019,12855949.27,Bottles and Cans
HI,2008,3244.23,Bottles and Cans
HI,2009,5154.78,Bottles and Cans
HI,2010,7518.77,Bottles and Cans
HI,2011,12683.85,Bottles and Cans
HI,2012,13350.64,Bottles and Cans
HI,2013,13208.44,Bottles and Cans
HI,2014,13039.35,Bottles and Cans
HI,2015,17643.83,Bottles and Cans
HI,2016,24101.03,Bottles and Cans
HI,2017,30194.62,Bottles and Cans
HI,2018,34458.29,Bottles and Cans
HI,2019,35265.45,Bottles and Cans
IA,2008,1951.71,Bottles and Cans
IA,2009,2714.54,Bottles and Cans
IA,2010,3817.78,Bottles and Cans
IA,2011,4178.1,Bottles and Cans
IA,2012,4309.38,Bottles and Cans
IA,2013,5519.98,Bottles and Cans
IA,2014,8090.96,Bottles and Cans
IA,2015,6886.79,Bottles and Cans
IA,2016,4303.13,Bottles and Cans
IA,2017,5108.17,Bottles and Cans
IA,2018,10200.98,Bottles and Cans
IA,2019,29810.82,Bottles and Cans
ID,2008,4710.76,Bottles and Cans
ID,2009,4765.33,Bottles and Cans
ID,2010,6143.5,Bottles and Cans
ID,2011,6407.47,Bottles and Cans
ID,2012,9112.66,Bottles and Cans
ID,2013,11093.1,Bottles and Cans
ID,2014,14718.98,Bottles and Cans
ID,2015,15257.78,Bottles and Cans
ID,2016,15422.23,Bottles and Cans
ID,2017,16421.24,Bottles and Cans
ID,2018,14567.03,Bottles and Cans
ID,2019,16303.95,Bottles and Cans
IL,2008,735775.96,Bottles and Cans
IL,2009,920737.45,Bottles and Cans
IL,2010,935134.49,Bottles and Cans
IL,2011,911312.4,Bottles and Cans
IL,2012,786867.4,Bottles and Cans
IL,2013,944038.45,Bottles and Cans
IL,2014,946826.09,Bottles and Cans
IL,2015,1177503.56,Bottles and Cans
IL,2016,1281395.63,Bottles and Cans
IL,2017,1127874.1300000001,Bottles and Cans
IL,2018,1209497.06,Bottles and Cans
IL,2019,1225146.67,Bottles and Cans
