year,brewer_size,n_of_brewers,total_barrels,taxable_removals,total_shipped
2011,"100,001 to 500,000 Barrels",41,7926808.210000002,6624765.180000001,242865
2011,"60,001 to 100,000 Barrels",16,1157839.9,1059934.77,11701
2011,"30,001 to 60,000 Barrels",43,1754234.5499999996,1476996.368,52204
2011,"15,001 to 30,000 Barrels",42,893273.36,710825.6200000003,40413
2011,"7,501 to 15,000 Barrels",63,662095.4599999998,577424.6699999999,270
2011,"1,001 to 7,500 Barrels",513,1254333.7459999989,1126835.8209999993,930
2011,"1 to 1,000 Barrels",1334,458109.82800000056,416612.2820000001,580
2011,Total,2093,192746822.23400006,177587377.12100002,4426027
2012,"6,000,001 Barrels and Over",17,157780750.14999998,145588666.77,4373957
2012,"2,000,000 to 6,000,000 Barrels",3,11735116,11489249.17,151766
2012,"1,000,001 to 1,999,999 Barrels",5,6864214.06,6526545.8100000005,75749
2012,"500,001 to 1,000,000 Barrels",7,4654830.640000001,3809078.8700000006,4634
2012,"100,001 to 500,000 Barrels",39,7810357.340000001,6085448.829999999,236207
2012,"60,001 to 100,000 Barrels",20,1468172.4599999997,1250720.93,97318
2012,"30,001 to 60,000 Barrels",50,2179429.59,1858876.3530000004,62416
2012,"15,001 to 30,000 Barrels",44,913884.2699999999,764190.6,13281
2012,"7,501 to 15,000 Barrels",77,821100.636,715087.6699999999,11054
2012,"1,001 to 7,500 Barrels",564,1402600.6719999998,1249661.1660000016,3610
2012,"1 to 1,000 Barrels",1604,516746.49299999996,459217.49199999985,1220
2012,Total,2430,196147202.311,179796743.66100004,5031215
2013,"6,000,001 Barrels and Over",17,153023498.63,141659034.45,4385750
2013,"2,000,000 to 6,000,000 Barrels",4,13394409.41,12862214.07,495472
2013,"1,000,001 to 1,999,999 Barrels",4,4821249.3,4665737.17,35344
2013,"500,001 to 1,000,000 Barrels",7,4797758.09,4476211,4972
2013,"100,001 to 500,000 Barrels",38,7637584.410000003,6147217.429999999,275310
2013,"60,001 to 100,000 Barrels",24,1824548.27,1608488.44,24431
2013,"30,001 to 60,000 Barrels",52,2271814.6999999997,1909650.87,58028
2013,"15,001 to 30,000 Barrels",51,1087970.73,921515.3940000003,18103
2013,"7,501 to 15,000 Barrels",81,842820.06,740591.8100000002,6428
2013,"1,001 to 7,500 Barrels",645,1693579.7260000012,1479648.9960000003,6369
2013,"1 to 1,000 Barrels",1923,602141.4229999988,528020.2790000004,922
2013,Total,2846,191997374.749,176998329.90899998,5311134
2014,"6,000,001 Barrels and Over",15,138677888.13,127713535.8,4331255
2014,"2,000,000 to 6,000,000 Barrels",6,25151895.32,23845947.59,610799
2014,"1,000,001 to 1,999,999 Barrels",5,6055336.28,5863392.69,43468
2014,"500,001 to 1,000,000 Barrels",6,3836841.48,3593230.9800000004,9185
2014,"100,001 to 500,000 Barrels",44,9093514.820000002,7116673.804000002,344448
2014,"60,001 to 100,000 Barrels",20,1548669.55,1383528.0200000005,20895
2014,"30,001 to 60,000 Barrels",62,2639561.5529999994,2301357.795,40785
2014,"15,001 to 30,000 Barrels",62,1310960.0899999996,1070829.9089999998,71296
2014,"7,501 to 15,000 Barrels",102,1042199.4199999997,916679.9050000001,22024
2014,"1,001 to 7,500 Barrels",730,1959533.4969999997,1701354.3969999987,12954
2014,"1 to 1,000 Barrels",2321,698737.8779999996,607290.333,1547
2014,Total,3373,192015138.01799998,176113821.22299996,5508662
2015,"6,000,001 Barrels and Over",15,136122437.44,124274009.86,4949737
2015,"2,000,000 to 6,000,000 Barrels",6,23939648.17,23001189.23,731500
2015,"1,000,001 to 1,999,999 Barrels",4,4997347.64,4983601.48,50188
2015,"500,001 to 1,000,000 Barrels",7,5050717.11,4821272.06,16414
2015,"100,001 to 500,000 Barrels",49,10645528.1,8697815.57,336057
2015,"60,001 to 100,000 Barrels",24,1887855.83,1583089.18,23158
2015,"30,001 to 60,000 Barrels",56,2453623.13,2185447.02,29356
2015,"15,001 to 30,000 Barrels",71,1509411.47,1294031.85,40755
2015,"7,501 to 15,000 Barrels",133,1427754.07,1203851.81,25574
2015,"1,001 to 7,500 Barrels",851,2242859.09,1978577.42,6661
2015,"1 to 1,000 Barrels",2812,835835.99,733307.88,1892
2015,Zero Barrels,476,0,87811.22,NA
2015,Total,4504,191113018.04000002,174844004.57999998,6211297
2016,"6,000,001 Barrels and Over",14,131659359.17,119774531.97,5066076
2016,"2,000,000 to 6,000,000 Barrels",7,26452765.43,25147830.590000004,898290
2016,"1,000,001 to 1,999,999 Barrels",4,4999263.95,4994536.9,47250
2016,"500,001 to 1,000,000 Barrels",6,4293996.9,4014943.39,4748
2016,"100,001 to 500,000 Barrels",45,10469048.22,8618323.450000003,276289
2016,"60,001 to 100,000 Barrels",38,3052311.4800000004,2395062.26,48970
2016,"30,001 to 60,000 Barrels",53,2329947.35,2069205.9399999995,85136
2016,"15,001 to 30,000 Barrels",75,1577515.3899999997,1341223.9100000001,37302
2016,"7,501 to 15,000 Barrels",148,1550640.4199999995,1351541.9599999997,11813
2016,"1,001 to 7,500 Barrels",935,2461722.990000003,2282897.140000001,13608
2016,"1 to 1,000 Barrels",3283,993337.9200000032,864097.2000000007,889
2016,Under 1 Barrel,488,4.43,102983.4,601
2016,Total,5096,189839913.64999998,172957178.11,6490978
2017,"6,000,001 Barrels and Over",15,135615117.47,124049346.77,5331930
2017,"2,000,000 to 6,000,000 Barrels",5,17288133.2,16092810.95,1015504
2017,"1,000,001 to 1,999,999 Barrels",4,4868564.08,4897090.56,4110
2017,"500,001 to 1,000,000 Barrels",10,6253029.02,5720117.89,94410
2017,"100,001 to 500,000 Barrels",40,8792844.25,6811548.01,235283
2017,"60,001 to 100,000 Barrels",41,3175932.85,2714928.75,47505
2017,"30,001 to 60,000 Barrels",53,2230144.53,1940812.97,27479
2017,"15,001 to 30,000 Barrels",99,2062332.14,2239986.46,38491
2017,"7,501 to 15,000 Barrels",152,1565335.71,1556842.26,6874
2017,"1,001 to 7,500 Barrels",1030,2656419.36,3626288.32,11294
2017,"1 to 1,000 Barrels",3646,1073977.86,1003361.14,790
2017,Under 1 Barrel,553,6.73,107494.1,503
2017,Total,5648,185581837.20000002,170760628.17999995,6814178
2018,"6,000,001 Barrels and Over",15,131336734.02000001,124471154.46999997,5749122
2018,"2,000,000 to 6,000,000 Barrels",5,17410932.97,17957039.46,734605
2018,"1,000,001 to 1,999,999 Barrels",5,6076447.34,6110085.42,3062
2018,"500,001 to 1,000,000 Barrels",10,5859956.25,4794122.05,111188
2018,"100,001 to 500,000 Barrels",42,8777286.219999999,7630983.189999999,170814
2018,"60,001 to 100,000 Barrels",40,3120044.8699999996,4465192.179999999,72115
2018,"30,001 to 60,000 Barrels",53,2170405.47,2381170.5400000005,43487
2018,"15,001 to 30,000 Barrels",102,2124238.48,1871360.0399999996,15417
2018,"7,501 to 15,000 Barrels",155,1618340.3800000008,1406728.1200000003,3983
2018,"1,001 to 7,500 Barrels",1132,3058297.9499999965,2641714.4900000007,2588
2018,"1 to 1,000 Barrels",4241,1238268.8999999994,1169873.6800000034,2299
2018,Under 1 Barrel,164,7.4700000000000015,142501.38999999993,274
2018,Total,5964,182790960.32,175041925.02999997,6908958
2019,"6,000,001 Barrels and Over",15,125788474.04,116321254.52,4208092
2019,"2,000,000 to 6,000,000 Barrels",6,18344022.83,18575155.74,495136
2019,"1,000,001 to 1,999,999 Barrels",5,6058176.3,6223929.3,2059
2019,"500,001 to 1,000,000 Barrels",12,7585071.9,5979731.09,137599
2019,"100,001 to 500,000 Barrels",42,8373874.82,7139034.688,80432
2019,"60,001 to 100,000 Barrels",33,2575065.63,2225453.43,67048
2019,"30,001 to 60,000 Barrels",64,2675606.37,2906735.837,39494
2019,"15,001 to 30,000 Barrels",102,2166277.84,1891960.763,23889
2019,"7,501 to 15,000 Barrels",159,1680544.748,1484609.204,3115
2019,"1,001 to 7,500 Barrels",1183,3151130.255,2901015.17,7509
2019,"1 to 1,000 Barrels",4577,1321901.272,1293960.317,2296
2019,Under 1 Barrel,28,18.3,19432.26,NA
2019,Under 1 Barrel,174,NA,114960.27,185
2019,Total,6400,179720164.305,167077232.589,5066858
