data_type,tax_status,year,month,type,month_current,month_prior_year,ytd_current,ytd_prior_year,tax_rate
Barrels Produced,Taxable,2008,3,In bottles and cans,13901582,14386284,40182359,39419676,$7/$18 per barrel
Barrels Produced,Taxable,2008,3,In barrels and kegs,1449849,1514744,4072222,4069669,$7/$18 per barrel
Barrels Produced,Taxable,2008,3,"Tax Determined, Premises Use",88816,88291,103886,104834,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2008,3,Sub Total Taxable,15440247,15989319,44358467,43594179,$7/$18 per barrel
Barrels Produced,Tax Free,2008,3,For export,309529,306542,859534,841316,$7/$18 per barrel
Barrels Produced,Tax Free,2008,3,For vessels and aircraft,3,0,3,0,$7/$18 per barrel
Barrels Produced,Tax Free,2008,3,Consumed on brewery premises,7417,8624,8796,10241,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2008,3,Sub Total Tax-Free,316949,315166,868333,851557,$7/$18 per barrel
Barrels Produced,Totals,2008,3,Total Removals,15757196,16304485,45226800,44445736,$7/$18 per barrel
Barrels Produced,Totals,2008,3,Stocks On Hand end-of-month:,11192957,11406260,31929810,33298974,$7/$18 per barrel
Barrels Produced,Totals,2008,4,Production,17254160,16777943,66535007,65331867,$7/$18 per barrel
Barrels Produced,Taxable,2008,4,In bottles and cans,14361125,13720960,54544594,53140372,$7/$18 per barrel
Barrels Produced,Taxable,2008,4,In barrels and kegs,1457124,1323587,5531773,5394086,$7/$18 per barrel
Barrels Produced,Taxable,2008,4,"Tax Determined, Premises Use",8561,8230,113354,113569,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2008,4,Sub Total Taxable,15826810,15052777,60189721,58648027,$7/$18 per barrel
Barrels Produced,Tax Free,2008,4,For export,361949,325058,1221483,1166374,$7/$18 per barrel
Barrels Produced,Tax Free,2008,4,For vessels and aircraft,0,0,3,0,$7/$18 per barrel
Barrels Produced,Tax Free,2008,4,Consumed on brewery premises,821,922,9605,11163,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2008,4,Sub Total Tax-Free,362770,325980,1231091,1177537,$7/$18 per barrel
Barrels Produced,Totals,2008,4,Total Removals,16189580,15378757,61420812,59825564,$7/$18 per barrel
Barrels Produced,Totals,2008,4,Stocks On Hand end-of-month:,11250055,11705240,43182802,45004356,$7/$18 per barrel
Barrels Produced,Totals,2008,5,Production,18269043,18465892,84810051,83798440,$7/$18 per barrel
Barrels Produced,Taxable,2008,5,In bottles and cans,15421462,15480560,69966780,68620932,$7/$18 per barrel
Barrels Produced,Taxable,2008,5,In barrels and kegs,1489290,1538454,7023496,6932676,$7/$18 per barrel
Barrels Produced,Taxable,2008,5,"Tax Determined, Premises Use",8720,8786,123576,122701,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2008,5,Sub Total Taxable,16919472,17027800,77113852,75676309,$7/$18 per barrel
Barrels Produced,Tax Free,2008,5,For export,356217,372808,1577700,1539182,$7/$18 per barrel
Barrels Produced,Tax Free,2008,5,For vessels and aircraft,0,0,3,0,$7/$18 per barrel
Barrels Produced,Tax Free,2008,5,Consumed on brewery premises,1112,1007,10778,12170,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2008,5,Sub Total Tax-Free,357329,373815,1588481,1551352,$7/$18 per barrel
Barrels Produced,Totals,2008,5,Total Removals,17276801,17401615,78702333,77227661,$7/$18 per barrel
Barrels Produced,Totals,2008,5,Stocks On Hand end-of-month:,11232195,11567462,54416209,56572086,$7/$18 per barrel
Barrels Produced,Totals,2008,6,Production,18260630,18598996,103076390,102399082,$7/$18 per barrel
Barrels Produced,Taxable,2008,6,In bottles and cans,15232754,15536983,85200564,84158452,$7/$18 per barrel
Barrels Produced,Taxable,2008,6,In barrels and kegs,1609215,1601923,8635412,8535042,$7/$18 per barrel
Barrels Produced,Taxable,2008,6,"Tax Determined, Premises Use",94611,95797,220085,219322,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2008,6,Sub Total Taxable,16936580,17234703,94056061,92912816,$7/$18 per barrel
Barrels Produced,Tax Free,2008,6,For export,393200,372029,1970900,1911211,$7/$18 per barrel
Barrels Produced,Tax Free,2008,6,For vessels and aircraft,0,4,3,4,$7/$18 per barrel
Barrels Produced,Tax Free,2008,6,Consumed on brewery premises,7671,8375,18449,20547,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2008,6,Sub Total Tax-Free,400871,380408,1989352,1931762,$7/$18 per barrel
Barrels Produced,Totals,2008,6,Total Removals,17337451,17615111,96045413,94844578,$7/$18 per barrel
Barrels Produced,Totals,2008,6,Stocks On Hand end-of-month:,7417493,11417965,61834863,67990913,$7/$18 per barrel
Barrels Produced,Totals,2008,7,Production,18053127,18253083,121129603,120652165,$7/$18 per barrel
Barrels Produced,Taxable,2008,7,In bottles and cans,15146751,15137265,100347225,99295717,$7/$18 per barrel
Barrels Produced,Taxable,2008,7,In barrels and kegs,1508853,1487897,10144235,10022939,$7/$18 per barrel
Barrels Produced,Taxable,2008,7,"Tax Determined, Premises Use",7379,9101,227519,228423,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2008,7,Sub Total Taxable,16662983,16634263,110718979,109547079,$7/$18 per barrel
Barrels Produced,Tax Free,2008,7,For export,386143,345275,2357043,2256486,$7/$18 per barrel
Barrels Produced,Tax Free,2008,7,For vessels and aircraft,0,0,3,4,$7/$18 per barrel
Barrels Produced,Tax Free,2008,7,Consumed on brewery premises,1107,1132,19556,21679,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2008,7,Sub Total Tax-Free,387250,346407,2376602,2278169,$7/$18 per barrel
Barrels Produced,Totals,2008,7,Total Removals,17050233,16980670,113095581,111825248,$7/$18 per barrel
Barrels Produced,Totals,2008,7,Stocks On Hand end-of-month:,11045264,11438348,72880123,79429261,$7/$18 per barrel
Barrels Produced,Totals,2008,8,Production,17789299,17757005,138929984,138409693,$7/$18 per barrel
Barrels Produced,Taxable,2008,8,In bottles and cans,14973940,15075662,115326128,114371382,$7/$18 per barrel
Barrels Produced,Taxable,2008,8,In barrels and kegs,1470549,1565871,11616741,11588754,$7/$18 per barrel
Barrels Produced,Taxable,2008,8,"Tax Determined, Premises Use",6700,9317,235563,237980,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2008,8,Sub Total Taxable,16451189,16650850,127178432,126198116,$7/$18 per barrel
Barrels Produced,Tax Free,2008,8,For export,343909,299548,2701323,2556034,$7/$18 per barrel
Barrels Produced,Tax Free,2008,8,For vessels and aircraft,0,0,3,4,$7/$18 per barrel
Barrels Produced,Tax Free,2008,8,Consumed on brewery premises,989,1010,20748,22868,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2008,8,Sub Total Tax-Free,344898,300558,2722074,2578906,$7/$18 per barrel
Barrels Produced,Totals,2008,8,Total Removals,16796087,16951408,129900506,128777022,$7/$18 per barrel
Barrels Produced,Totals,2008,8,Stocks On Hand end-of-month:,11176226,11196559,84064572,90623496,$7/$18 per barrel
Barrels Produced,Totals,2008,9,Production,16339080,16149482,155252215,154565349,$7/$18 per barrel
Barrels Produced,Taxable,2008,9,In bottles and cans,14425354,13754271,129738065,128128358,$7/$18 per barrel
Barrels Produced,Taxable,2008,9,In barrels and kegs,1549416,1471829,13166442,13063537,$7/$18 per barrel
Barrels Produced,Taxable,2008,9,"Tax Determined, Premises Use",99250,100199,336342,339064,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2008,9,Sub Total Taxable,16074020,15326299,143240849,141530959,$7/$18 per barrel
Barrels Produced,Tax Free,2008,9,For export,339918,293745,3041200,2849779,$7/$18 per barrel
Barrels Produced,Tax Free,2008,9,For vessels and aircraft,101,3,104,7,$7/$18 per barrel
Barrels Produced,Tax Free,2008,9,Consumed on brewery premises,8688,8832,29486,31343,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2008,9,Sub Total Tax-Free,348707,302580,3070790,2881129,$7/$18 per barrel
Barrels Produced,Totals,2008,9,Total Removals,16422727,15628879,146311639,144412088,$7/$18 per barrel
Barrels Produced,Totals,2008,9,Stocks On Hand end-of-month:,10173817,10857392,94238752,101485100,$7/$18 per barrel
Barrels Produced,Totals,2008,10,Production,15951285,15575040,171203500,170140389,$7/$18 per barrel
Barrels Produced,Taxable,2008,10,In bottles and cans,13544598,13306652,143282663,141435010,$7/$18 per barrel
Barrels Produced,Taxable,2008,10,In barrels and kegs,1407315,1483250,14573757,14546787,$7/$18 per barrel
Barrels Produced,Taxable,2008,10,"Tax Determined, Premises Use",7430,9131,343772,348195,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2008,10,Sub Total Taxable,14959343,14799033,158200192,156329992,$7/$18 per barrel
Barrels Produced,Tax Free,2008,10,For export,358387,357011,3399587,3206790,$7/$18 per barrel
Barrels Produced,Tax Free,2008,10,For vessels and aircraft,0,0,104,7,$7/$18 per barrel
Barrels Produced,Tax Free,2008,10,Consumed on brewery premises,806,823,30292,32166,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2008,10,Sub Total Tax-Free,359193,357834,3429983,3238963,$7/$18 per barrel
Barrels Produced,Totals,2008,10,Total Removals,15318536,15156867,161630175,159568955,$7/$18 per barrel
Barrels Produced,Totals,2008,10,Stocks On Hand end-of-month:,9862381,10161980,104101133,111647080,$7/$18 per barrel
Barrels Produced,Totals,2008,11,Production,14301054,14920104,185504554,185060493,$7/$18 per barrel
Barrels Produced,Taxable,2008,11,In bottles and cans,11895613,12235442,155178276,153670452,$7/$18 per barrel
Barrels Produced,Taxable,2008,11,In barrels and kegs,1230087,1326900,15803844,15873687,$7/$18 per barrel
Barrels Produced,Taxable,2008,11,"Tax Determined, Premises Use",6424,8687,350196,356882,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2008,11,Sub Total Taxable,13132124,13571029,171332316,169901021,$7/$18 per barrel
Barrels Produced,Tax Free,2008,11,For export,363547,361885,3763134,3568675,$7/$18 per barrel
Barrels Produced,Tax Free,2008,11,For vessels and aircraft,0,0,104,7,$7/$18 per barrel
Barrels Produced,Tax Free,2008,11,Consumed on brewery premises,619,735,30911,32901,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2008,11,Sub Total Tax-Free,364166,362620,3794149,3601583,$7/$18 per barrel
Barrels Produced,Totals,2008,11,Total Removals,13496290,13933649,175126465,173502604,$7/$18 per barrel
Barrels Produced,Totals,2008,11,Stocks On Hand end-of-month:,9896308,10150857,113997441,121797937,$7/$18 per barrel
Barrels Produced,Totals,2008,12,Production,13961733,13934291,199466287,198994784,$7/$18 per barrel
Barrels Produced,Taxable,2008,12,In bottles and cans,11670121,11405857,166848397,165076309,$7/$18 per barrel
Barrels Produced,Taxable,2008,12,In barrels and kegs,1419144,1294467,17222988,17168154,$7/$18 per barrel
Barrels Produced,Taxable,2008,12,"Tax Determined, Premises Use",86744,94745,436940,451627,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2008,12,Sub Total Taxable,13176009,12795069,184508325,182696090,$7/$18 per barrel
Barrels Produced,Tax Free,2008,12,For export,333236,259000,4096370,3827675,$7/$18 per barrel
Barrels Produced,Tax Free,2008,12,For vessels and aircraft,0,85,104,92,$7/$18 per barrel
Barrels Produced,Tax Free,2008,12,Consumed on brewery premises,6771,10166,37682,43067,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2008,12,Sub Total Tax-Free,340007,269251,4134156,3870834,$7/$18 per barrel
Barrels Produced,Totals,2008,12,Total Removals,13516016,13064320,188642481,186566924,$7/$18 per barrel
Barrels Produced,Totals,2008,12,Stocks On Hand end-of-month:,9679168,10137310,123676609,131935247,$7/$18 per barrel
Barrels Produced,Totals,2009,1,Production,16089611,16219682,16089611,16219682,$7/$18 per barrel
Barrels Produced,Taxable,2009,1,In bottles and cans,13081831,13227681,13081831,13227681,$7/$18 per barrel
Barrels Produced,Taxable,2009,1,In barrels and kegs,1230788,1371470,1230788,1371470,$7/$18 per barrel
Barrels Produced,Taxable,2009,1,"Tax Determined, Premises Use",6033,7516,6033,7516,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2009,1,Sub Total Taxable,14318652,14606667,14318652,14606667,$7/$18 per barrel
Barrels Produced,Tax Free,2009,1,For export,334415,263412,334415,263412,$7/$18 per barrel
Barrels Produced,Tax Free,2009,1,For vessels and aircraft,0,0,0,0,$7/$18 per barrel
Barrels Produced,Tax Free,2009,1,Consumed on brewery premises,619,713,619,713,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2009,1,Sub Total Tax-Free,335034,264125,335034,264125,$7/$18 per barrel
Barrels Produced,Totals,2009,1,Total Removals,14653686,14870792,14653686,14870792,$7/$18 per barrel
Barrels Produced,Totals,2009,1,Stocks On Hand end-of-month:,10207721,10248485,10207721,10248485,$7/$18 per barrel
Barrels Produced,Totals,2009,2,Production,15238281,15694198,31328126,31913956,$7/$18 per barrel
Barrels Produced,Taxable,2009,2,In bottles and cans,12739731,13054384,25821562,26282073,$7/$18 per barrel
Barrels Produced,Taxable,2009,2,In barrels and kegs,1290827,1252147,2521724,2623682,$7/$18 per barrel
Barrels Produced,Taxable,2009,2,"Tax Determined, Premises Use",5934,7639,11967,15155,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2009,2,Sub Total Taxable,14036492,14314170,28355253,28920910,$7/$18 per barrel
Barrels Produced,Tax Free,2009,2,For export,262123,286593,596559,550005,$7/$18 per barrel
Barrels Produced,Tax Free,2009,2,For vessels and aircraft,0,0,0,0,$7/$18 per barrel
Barrels Produced,Tax Free,2009,2,Consumed on brewery premises,467,672,1083,1382,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2009,2,Sub Total Tax-Free,262590,287265,597642,551387,$7/$18 per barrel
Barrels Produced,Totals,2009,2,Total Removals,14299082,14601435,28952895,29472297,$7/$18 per barrel
Barrels Produced,Totals,2009,2,Stocks On Hand end-of-month:,10493764,10492181,20701485,20740666,$7/$18 per barrel
Barrels Produced,Totals,2009,3,Production,17094274,17386397,48434962,49300364,$7/$18 per barrel
Barrels Produced,Taxable,2009,3,In bottles and cans,14167308,13905328,39996376,40187402,$7/$18 per barrel
Barrels Produced,Taxable,2009,3,In barrels and kegs,1497154,1459168,4020246,4082852,$7/$18 per barrel
Barrels Produced,Taxable,2009,3,"Tax Determined, Premises Use",82923,93609,95016,108764,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2009,3,Sub Total Taxable,15747385,15458105,44111638,44379018,$7/$18 per barrel
Barrels Produced,Tax Free,2009,3,For export,300475,309564,897377,859569,$7/$18 per barrel
Barrels Produced,Tax Free,2009,3,For vessels and aircraft,0,3,0,3,$7/$18 per barrel
Barrels Produced,Tax Free,2009,3,Consumed on brewery premises,6980,7598,8071,8980,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2009,3,Sub Total Tax-Free,307455,317165,905448,868552,$7/$18 per barrel
Barrels Produced,Totals,2009,3,Total Removals,16054840,15775270,45017086,45247570,$7/$18 per barrel
Barrels Produced,Totals,2009,3,Stocks On Hand end-of-month:,10607836,11200434,31330063,31941151,$7/$18 per barrel
Barrels Produced,Totals,2009,4,Production,17216410,17255018,65651372,66555382,$7/$18 per barrel
Barrels Produced,Taxable,2009,4,In bottles and cans,14384698,14361099,54381074,54548501,$7/$18 per barrel
Barrels Produced,Taxable,2009,4,In barrels and kegs,1504016,1457293,5524262,5540145,$7/$18 per barrel
Barrels Produced,Taxable,2009,4,"Tax Determined, Premises Use",5798,8696,100814,117460,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2009,4,Sub Total Taxable,15894512,15827088,60006150,60206106,$7/$18 per barrel
Barrels Produced,Tax Free,2009,4,For export,295526,361949,1192903,1221518,$7/$18 per barrel
Barrels Produced,Tax Free,2009,4,For vessels and aircraft,0,0,0,3,$7/$18 per barrel
Barrels Produced,Tax Free,2009,4,Consumed on brewery premises,768,827,8839,9807,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2009,4,Sub Total Tax-Free,296294,362776,1201742,1231328,$7/$18 per barrel
Barrels Produced,Totals,2009,4,Total Removals,16190806,16189864,61207892,61437434,$7/$18 per barrel
Barrels Produced,Totals,2009,4,Stocks On Hand end-of-month:,10738660,11250856,42068723,43192007,$7/$18 per barrel
Barrels Produced,Totals,2009,5,Production,18417624,18269746,84070206,84825128,$7/$18 per barrel
Barrels Produced,Taxable,2009,5,In bottles and cans,15393903,15421564,69775778,69970065,$7/$18 per barrel
Barrels Produced,Taxable,2009,5,In barrels and kegs,1474095,1489482,6998722,7029627,$7/$18 per barrel
Barrels Produced,Taxable,2009,5,"Tax Determined, Premises Use",5763,9001,106577,126461,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2009,5,Sub Total Taxable,16873761,16920047,76881077,77126153,$7/$18 per barrel
Barrels Produced,Tax Free,2009,5,For export,338519,356217,1531422,1577735,$7/$18 per barrel
Barrels Produced,Tax Free,2009,5,For vessels and aircraft,0,0,0,3,$7/$18 per barrel
Barrels Produced,Tax Free,2009,5,Consumed on brewery premises,862,1117,9706,10924,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2009,5,Sub Total Tax-Free,339381,357334,1541128,1588662,$7/$18 per barrel
Barrels Produced,Totals,2009,5,Total Removals,17213142,17277381,78422205,78714815,$7/$18 per barrel
Barrels Produced,Totals,2009,5,Stocks On Hand end-of-month:,11022655,11233163,53092719,54425170,$7/$18 per barrel
Barrels Produced,Totals,2009,6,Production,18258249,18269841,102433359,103110983,$7/$18 per barrel
Barrels Produced,Taxable,2009,6,In bottles and cans,15392420,15232540,85200174,85202605,$7/$18 per barrel
Barrels Produced,Taxable,2009,6,In barrels and kegs,1661000,1613439,8669716,8643066,$7/$18 per barrel
Barrels Produced,Taxable,2009,6,"Tax Determined, Premises Use",87133,96662,197141,223123,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2009,6,Sub Total Taxable,17140553,16942641,94067031,94068794,$7/$18 per barrel
Barrels Produced,Tax Free,2009,6,For export,356256,393036,1888868,1970771,$7/$18 per barrel
Barrels Produced,Tax Free,2009,6,For vessels and aircraft,0,0,0,3,$7/$18 per barrel
Barrels Produced,Tax Free,2009,6,Consumed on brewery premises,6660,7900,16468,18824,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2009,6,Sub Total Tax-Free,362916,400936,1905336,1989598,$7/$18 per barrel
Barrels Produced,Totals,2009,6,Total Removals,17503469,17343577,95972367,96058392,$7/$18 per barrel
Barrels Produced,Totals,2009,6,Stocks On Hand end-of-month:,10843329,7420636,63999713,61856026,$7/$18 per barrel
Barrels Produced,Totals,2009,7,Production,17954037,18039102,120449369,121151857,$7/$18 per barrel
Barrels Produced,Taxable,2009,7,In bottles and cans,15496866,15134199,100725323,100336804,$7/$18 per barrel
Barrels Produced,Taxable,2009,7,In barrels and kegs,1485738,1505707,10174778,10149566,$7/$18 per barrel
Barrels Produced,Taxable,2009,7,"Tax Determined, Premises Use",6970,7573,210486,231579,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2009,7,Sub Total Taxable,16989574,16647479,111110587,110717949,$7/$18 per barrel
Barrels Produced,Tax Free,2009,7,For export,457739,386200,2347528,2356971,$7/$18 per barrel
Barrels Produced,Tax Free,2009,7,For vessels and aircraft,0,0,0,3,$7/$18 per barrel
Barrels Produced,Tax Free,2009,7,Consumed on brewery premises,1313,1092,18737,19916,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2009,7,Sub Total Tax-Free,459052,387292,2366265,2376890,$7/$18 per barrel
Barrels Produced,Totals,2009,7,Total Removals,17448626,17034771,113476852,113094839,$7/$18 per barrel
Barrels Produced,Totals,2009,7,Stocks On Hand end-of-month:,10459622,11046479,74522898,72903323,$7/$18 per barrel
Barrels Produced,Totals,2009,8,Production,16706135,17799816,137155504,138951673,$7/$18 per barrel
Barrels Produced,Taxable,2009,8,In bottles and cans,14284174,14977228,115009497,115314032,$7/$18 per barrel
Barrels Produced,Taxable,2009,8,In barrels and kegs,1428279,1470704,11603057,11620270,$7/$18 per barrel
Barrels Produced,Taxable,2009,8,"Tax Determined, Premises Use",5647,6841,216133,238420,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2009,8,Sub Total Taxable,15718100,16454773,126828687,127172722,$7/$18 per barrel
Barrels Produced,Tax Free,2009,8,For export,333648,344311,2681176,2701282,$7/$18 per barrel
Barrels Produced,Tax Free,2009,8,For vessels and aircraft,0,0,0,3,$7/$18 per barrel
Barrels Produced,Tax Free,2009,8,Consumed on brewery premises,1115,989,19852,20905,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2009,8,Sub Total Tax-Free,334763,345300,2701028,2722190,$7/$18 per barrel
Barrels Produced,Totals,2009,8,Total Removals,16052863,16800073,129529715,129894912,$7/$18 per barrel
Barrels Produced,Totals,2009,8,Stocks On Hand end-of-month:,10143218,11185670,84666116,84088993,$7/$18 per barrel
Barrels Produced,Totals,2009,9,Production,16007178,16360651,153205951,155313528,$7/$18 per barrel
Barrels Produced,Taxable,2009,9,In bottles and cans,13643212,14432000,128675836,129746149,$7/$18 per barrel
Barrels Produced,Taxable,2009,9,In barrels and kegs,1595488,1555156,13212984,13175653,$7/$18 per barrel
Barrels Produced,Taxable,2009,9,"Tax Determined, Premises Use",93891,100494,315484,339383,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2009,9,Sub Total Taxable,15332591,16087650,142204304,143261185,$7/$18 per barrel
Barrels Produced,Tax Free,2009,9,For export,297696,340179,2979003,3041639,$7/$18 per barrel
Barrels Produced,Tax Free,2009,9,For vessels and aircraft,0,101,0,124,$7/$18 per barrel
Barrels Produced,Tax Free,2009,9,Consumed on brewery premises,8471,8781,28308,29686,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2009,9,Sub Total Tax-Free,306167,349061,3007311,3071449,$7/$18 per barrel
Barrels Produced,Totals,2009,9,Total Removals,15638758,16436711,145211615,146332634,$7/$18 per barrel
Barrels Produced,Totals,2009,9,Stocks On Hand end-of-month:,9805959,10187020,94520538,94276668,$7/$18 per barrel
Barrels Produced,Totals,2009,10,Production,15390957,15967129,168616822,171284195,$7/$18 per barrel
Barrels Produced,Taxable,2009,10,In bottles and cans,13028910,13548870,141715519,143295019,$7/$18 per barrel
Barrels Produced,Taxable,2009,10,In barrels and kegs,1381908,1407397,14600292,14583003,$7/$18 per barrel
Barrels Produced,Taxable,2009,10,"Tax Determined, Premises Use",6000,7551,324410,347240,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2009,10,Sub Total Taxable,14416818,14963818,156640221,158225262,$7/$18 per barrel
Barrels Produced,Tax Free,2009,10,For export,319415,358744,3298418,3400383,$7/$18 per barrel
Barrels Produced,Tax Free,2009,10,For vessels and aircraft,0,0,0,124,$7/$18 per barrel
Barrels Produced,Tax Free,2009,10,Consumed on brewery premises,727,803,29170,30304,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2009,10,Sub Total Tax-Free,320142,359547,3327588,3430811,$7/$18 per barrel
Barrels Produced,Totals,2009,10,Total Removals,14736960,15323365,159967809,161656073,$7/$18 per barrel
Barrels Produced,Totals,2009,10,Stocks On Hand end-of-month:,9637453,9871010,104176802,104147635,$7/$18 per barrel
Barrels Produced,Totals,2009,11,Production,13823950,14315941,182502709,185600868,$7/$18 per barrel
Barrels Produced,Taxable,2009,11,In bottles and cans,11491624,11900035,153219873,155195079,$7/$18 per barrel
Barrels Produced,Taxable,2009,11,In barrels and kegs,1243265,1230151,15867231,15813641,$7/$18 per barrel
Barrels Produced,Taxable,2009,11,"Tax Determined, Premises Use",5506,6575,336188,353895,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2009,11,Sub Total Taxable,12740395,13136761,169423292,171362615,$7/$18 per barrel
Barrels Produced,Tax Free,2009,11,For export,336206,363830,3644832,3764213,$7/$18 per barrel
Barrels Produced,Tax Free,2009,11,For vessels and aircraft,0,0,0,124,$7/$18 per barrel
Barrels Produced,Tax Free,2009,11,Consumed on brewery premises,727,616,31433,30878,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2009,11,Sub Total Tax-Free,336933,364446,3676265,3795215,$7/$18 per barrel
Barrels Produced,Totals,2009,11,Total Removals,13077328,13501207,173099557,175157830,$7/$18 per barrel
Barrels Produced,Totals,2009,11,Stocks On Hand end-of-month:,9652063,9903782,113924851,114051330,$7/$18 per barrel
Barrels Produced,Totals,2009,12,Production,13751709,14017202,196254418,199618070,$7/$18 per barrel
Barrels Produced,Taxable,2009,12,In bottles and cans,11814020,11686861,165033893,166881940,$7/$18 per barrel
Barrels Produced,Taxable,2009,12,In barrels and kegs,1376754,1433868,17243985,17247509,$7/$18 per barrel
Barrels Produced,Taxable,2009,12,"Tax Determined, Premises Use",99087,91004,435275,444899,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2009,12,Sub Total Taxable,13289861,13211733,182713153,184574348,$7/$18 per barrel
Barrels Produced,Tax Free,2009,12,For export,300591,333537,3945423,4097750,$7/$18 per barrel
Barrels Produced,Tax Free,2009,12,For vessels and aircraft,19,0,19,124,$7/$18 per barrel
Barrels Produced,Tax Free,2009,12,Consumed on brewery premises,5695,6902,37128,37780,$7/$18 per barrel
