Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1991,.40,.41,.40,.47,.36,.39,.76,.66,.26,.32,.41,.31,.29,.95
1992,.22,.14,.31,.09,.28,.27,-.16,.44,-.04,.20,.37,.20,.33,.40
1993,.23,.19,.28,.13,.32,.22,.55,.29,-.11,.29,.35,.27,.39,-.31
1994,.32,.37,.26,.43,.31,.20,.35,.50,.41,.28,.34,.26,.23,-.04
1995,.45,.58,.31,.70,.43,.22,1.32,.98,.31,.41,.44,.29,.15,.14
1996,.33,.26,.39,.23,.32,.43,.77,.17,.10,.31,.32,.33,.28,1.19
1997,.46,.52,.41,.53,.51,.33,.77,.90,.22,.50,.52,.42,.36,-.03
1998,.61,.71,.51,.78,.69,.32,.86,.94,.65,.60,.79,.39,.31,.11
1999,.38,.48,.28,.70,.21,.30,.41,.80,.73,.16,.25,.47,.19,.00
2000,.39,.50,.29,.70,.25,.29,.97,.80,.55,.21,.28,.42,.10,.26
2001,.54,.64,.43,.80,.42,.42,1.07,.86,.68,.40,.44,.59,.24,.26
2002,.63,.71,.54,.83,.60,.47,1.25,1.00,.58,.55,.64,.50,.31,.74
2003,.62,.75,.49,.84,.64,.37,1.50,.98,.54,.62,.67,.45,.24,.38
2004,.53,.66,.41,.72,.55,.32,.47,.95,.66,.57,.54,.48,.23,-.05
2005,.68,.86,.50,1.01,.62,.42,1.98,1.22,.57,.63,.62,.49,.18,.65
2006,.64,.82,.46,.98,.56,.40,1.73,1.06,.70,.57,.55,.52,.19,.41
2007,.67,.85,.47,1.13,.47,.47,2.11,1.32,.69,.45,.48,.50,.07,1.22
2008,.54,.68,.41,.92,.38,.39,1.53,1.08,.62,.34,.42,.53,.09,.58
2009,.66,.73,.59,.78,.68,.51,1.42,.60,.68,.65,.71,.61,.15,.95
2010,.73,.90,.55,1.02,.69,.48,2.22,.86,.74,.72,.65,.64,.20,.50
2011,.61,.75,.48,.98,.37,.56,2.35,.94,.58,.39,.35,.64,.18,1.10
2012,.65,.81,.49,1.04,.53,.42,2.21,.93,.74,.48,.58,.57,.19,.42
2013,.68,.80,.56,.95,.58,.54,1.54,1.04,.69,.58,.58,.63,.22,.86
2014,.75,.92,.58,1.07,.67,.52,2.03,1.14,.73,.69,.65,.73,.18,.55
2015,.90,1.18,.63,1.32,.96,.41,2.00,1.48,.99,.97,.94,.76,.18,-.30
2016,1.02,1.31,.73,1.54,1.01,.49,3.24,1.43,1.07,.96,1.07,.68,.25,.40
2017,.92,1.18,.67,1.39,.82,.60,2.50,1.38,1.04,.87,.77,.76,.35,.55
2018,.85,1.03,.67,1.24,.68,.69,2.13,1.09,1.05,.73,.63,.80,.37,.97
2019,.98,1.21,.75,1.42,.90,.65,2.70,1.43,.99,.91,.89,.75,.39,.86
2020,1.02,1.35,.69,1.67,.86,.58,2.90,1.82,1.19,.89,.84,.59,.39,.92
2021,.85,1.14,.56,1.42,.66,.53,2.04,1.36,1.26,.73,.59,.73,.32,.31
2022,.90,1.16,.63,1.52,.57,.71,2.33,1.51,1.27,.63,.51,.79,.39,1.12
