marker_id,marker_no,title,subtitle,addl_subtitle,year_erected,erected_by,latitude_minus_s,longitude_minus_w,street_address,city_or_town,section_or_quarter,county_or_parish,state_or_prov,location,missing,link
73015,1,Ground Zero,NA,NA,NA,Kelly Ingram Park Freedom Walk.,33.51609,-86.8132,NA,Birmingham,NA,Jefferson County,Alabama,Marker can be reached from the intersection of 17th Street N and 5th Avenue N.,NA,http://www.hmdb.org/m.asp?m=73015
73017,3,The Children's Crusade,NA,NA,NA,Kelly Ingram Park Freedom Walk.,33.51619,-86.8139,NA,Birmingham,NA,Jefferson County,Alabama,Marker can be reached from 16th Street N.,NA,http://www.hmdb.org/m.asp?m=73017
73019,4,Water Cannons,NA,NA,NA,Kelly Ingram Park Freedom Walk,33.51669,-86.81364,NA,Birmingham,NA,Jefferson County,Alabama,Marker is on 6th Avenue N.,NA,http://www.hmdb.org/m.asp?m=73019
73021,5,Reflecting Pool,NA,NA,NA,Kelly Ingram Park Freedom Walk.,33.51654,-86.81346,NA,Birmingham,NA,Jefferson County,Alabama,Marker can be reached from 17th Street N.,NA,http://www.hmdb.org/m.asp?m=73021
73025,9,Rev. Fred Shuttlesworth,NA,NA,NA,Kelly Ingram Park Freedom Walk.,33.51652,-86.81461,NA,Birmingham,NA,Jefferson County,Alabama,Marker is on 16th Street N.,NA,http://www.hmdb.org/m.asp?m=73025
73031,8,"Dr. Martin Luther King, Jr.",NA,NA,NA,Kelly Ingram Park Freedom Walk.,33.51649,-86.81429,NA,Birmingham,NA,Jefferson County,Alabama,Marker can be reached from 16th Street N.,NA,http://www.hmdb.org/m.asp?m=73031
73032,A2,Police Presence,March Route to Government,Birmingham Civil Rights Heritage Trail,NA,the Birmingham Civil Rights Heritage Trail.,33.5168,-86.81393,NA,Birmingham,NA,Jefferson County,Alabama,Marker is on 6th Avenue North west of 17th Street North.,NA,http://www.hmdb.org/m.asp?m=73032
73036,A1,Jim Crow on the Books,March Route to Government,Birmingham Civil Rights Heritage Trail,NA,the Birmingham Civil Rights Heritage Trail.,33.51657,-86.81434,500 17th St N,Birmingham,NA,Jefferson County,Alabama,Marker is at the intersection of 6th Avenue North and 16th Street North on 6th Avenue North.,NA,http://www.hmdb.org/m.asp?m=73036
73037,B1,Don't Tread on Me,March Route to Retail,Birmingham Civil Rights Heritage Trail,NA,the Birmingham Civil Rights Heritage Trail.,33.51648,-86.81427,NA,Birmingham,NA,Jefferson County,Alabama,Marker is at the intersection of 6th Avenue North and 17th Street North on 6th Avenue North.,NA,http://www.hmdb.org/m.asp?m=73037
73080,6,Kneeling Ministers,NA,NA,NA,Kelly Ingram Park Freedom Walk.,33.51623,-86.81271,NA,Birmingham,NA,Jefferson County,Alabama,Marker can be reached from 17th Street N.,NA,http://www.hmdb.org/m.asp?m=73080
73398,2,The Foot Soldiers,NA,NA,NA,Kelly Ingram Park Freedom Walk.,33.51608,-86.81363,NA,Birmingham,NA,Jefferson County,Alabama,Marker can be reached from 16th Street N.,NA,http://www.hmdb.org/m.asp?m=73398
80345,93001517,Dellet-Bedsole Plantation,C. 1850,National Register of Historic Places,NA,NA,31.56347,-87.52968,U.S. Highway 84,Claiborne,NA,Clarke County,Alabama,"Marker is on U.S. Highway 84 (U.S. 84) 1.9 miles west of Lena Landegger Highway (County Road 39), on the right when traveling west.",NA,http://www.hmdb.org/m.asp?m=80345
83760,1990,Ashford United Methodist Church,NA,NA,NA,Historic Chattahoochee Commission and the Ashford United Methodist Church,31.1852,-85.23425,NA,Ashford,NA,Houston County,Alabama,"Marker is on North 5th Avenue, on the right when traveling north.",NA,http://www.hmdb.org/m.asp?m=83760
83833,A3,Non-Violent Foot Soldiers,March Route to Government,Birmingham Civil Rights Heritage Trail,NA,the Birmingham Civil Rights Heritage Trail,33.51707,-86.81333,500 17th St N,Birmingham,NA,Jefferson County,Alabama,"Marker is on 6th Avenue North west of 17th Street North, on the left when traveling west.",NA,http://www.hmdb.org/m.asp?m=83833
83923,None,The Early Mountain Brook Village Area,NA,NA,2005,Birmingham-Jefferson Historical Society,33.48352,-86.77338,NA,Mountain Brook,NA,Jefferson County,Alabama,"Marker is on Cahaba Road, on the right when traveling north.",NA,http://www.hmdb.org/m.asp?m=83923
86299,38,Union Baptist Church / Founders of Union Baptist Church,NA,NA,NA,The African-American Heritage Trail of Mobile,30.73202,-88.05995,506 Bay Bridge Road,Mobile,NA,Mobile County,Alabama,"Marker is at the intersection of Bay Bridge Road (Alternate U.S. 90) and Bay Bridge Cutoff Road, on the right when traveling west on Bay Bridge Road.",NA,http://www.hmdb.org/m.asp?m=86299
86308,31,Old Plateau Cemetery,Africatown Graveyard,NA,2010,The African-American Heritage Trail of Mobile,30.73125,-88.05989,1959 Bay Bridge Cutoff Road,Mobile,NA,Mobile County,Alabama,"Marker is on Bay Bridge Cutoff Road, 0.1 miles north of Chin Street, on the left when traveling south.",NA,http://www.hmdb.org/m.asp?m=86308
86312,34,The Slave Market,NA,NA,2009,The African-American Heritage Trail of Mobile.,30.69503,-88.04208,150 North Royal Street,Mobile,NA,Mobile County,Alabama,"Marker is on North Royal Street, 0.1 miles St Anthony Street, on the right when traveling south.",NA,http://www.hmdb.org/m.asp?m=86312
86389,4,Bettie Hunter House,NA,NA,NA,The African-American Heritage Trail of Mobile.,30.69064,-88.0489,504 St Francis Street,Mobile,NA,Mobile County,Alabama,"Marker is on St Francis Street, 0.1 miles west of North Lawrence Street, on the right when traveling west.",NA,http://www.hmdb.org/m.asp?m=86389
86391,24,John L. LeFlore,Non-Partisan Voters League,NA,NA,The African-American Heritage Trail of Mobile.,30.69031,-88.04982,558 St Francis Street,Mobile,NA,Mobile County,Alabama,"Marker is at the intersection of St Francis Street and North Warren Street, on the right when traveling west on St Francis Street.",NA,http://www.hmdb.org/m.asp?m=86391
86393,32,Dr. H. Roger Williams,(1869-1929),NA,NA,The African-American Heritage Trail of Mobile.,30.689,-88.0498,607 Dauphin Street,Mobile,NA,Mobile County,Alabama,"Marker is on Dauphin Street, 0.1 miles South Warren Street, on the right when traveling east.",NA,http://www.hmdb.org/m.asp?m=86393
86400,15,Dr. Thomas N. Harris,NA,NA,NA,The African-American Heritage Trail of Mobile.,30.69016,-88.04989,St Francis Street,Mobile,NA,Mobile County,Alabama,"Marker is at the intersection of St Francis Street and North Warren Street, on the left when traveling west on St Francis Street.",NA,http://www.hmdb.org/m.asp?m=86400
86402,13,Creole Firehouse #1,NA,NA,NA,The African-American Heritage Trail of Mobile.,30.68978,-88.05074,13 North Dearborn Street,Mobile,NA,Mobile County,Alabama,"Marker is at the intersection of North Dearborn Street and St Francis Street, on the right when traveling south on North Dearborn Street.",NA,http://www.hmdb.org/m.asp?m=86402
86476,2,“A Hard Nut To Crack” - Federal Defenses at Decatur,“A Hard Nut To Crack”,The Battle For Decatur,NA,City of Decatur,34.61244,-86.98549,NA,Decatur,NA,Morgan County,Alabama,"Marker is at the intersection of Bank Street and Vine Street Northwest, on the right when traveling south on Bank Street.",NA,http://www.hmdb.org/m.asp?m=86476
86477,6,“a place of importance” - Union Leadership at Decatur,“A Hard Nut To Crack”,The Battle For Decatur,NA,City of Decatur,34.61681,-86.9845,NA,Decatur,NA,Morgan County,Alabama,"Marker is at the intersection of Sycamore Street Northwest and Market Street Northwest, on the left when traveling north on Sycamore Street Northwest.",NA,http://www.hmdb.org/m.asp?m=86477
86478,9,"“Captain, We’ve Got It At Last” - The Charge of the 14th U.S. Colored Infantry",“A Hard Nut To Crack”,The Battle For Decatur,NA,City of Decatur,34.61371,-86.97991,NA,Decatur,NA,Morgan County,Alabama,Marker can be reached from the intersection of Oak Street Northeast and Market Street Northeast.,NA,http://www.hmdb.org/m.asp?m=86478
86573,5,Big Zion African Methodist Episcopal Zion Church,NA,NA,1972,the Historic Mobile Preservation Society.,30.68569,-88.05157,112 S Bayou St,Mobile,NA,Mobile County,Alabama,"Marker is at the intersection of South Bayou Street and Church Street, on the left when traveling south on South Bayou Street.",NA,http://www.hmdb.org/m.asp?m=86573
86578,35,St. Louis Street Missionary Baptist Church,NA,NA,2010,the African-American Heritage Trail of Mobile.,30.6913,-88.05135,108 North Dearborn Street,Mobile,NA,Mobile County,Alabama,"Marker is at the intersection of North Dearborn Street and St Louis Street, on the right when traveling north on North Dearborn Street.",NA,http://www.hmdb.org/m.asp?m=86578
87219,Stop D,"""To Be Blown To Kingdom Come""",Siege of Fort Gaines,Stop D,NA,Civil War Trail Battle for Mobile Bay,30.2482,-88.07609,51 Bienville Blvd,Dauphin Island,NA,Mobile County,Alabama,"Marker can be reached from Bienville Boulevard east of Albatross Street, on the right when traveling east.",NA,http://www.hmdb.org/m.asp?m=87219
87234,Stop D,“Damn the Torpedoes!”,The Battle of Mobile Bay:,Stop D,NA,Civil War Trail Battle for Mobile Bay,30.24813,-88.07501,51 Bienville Blvd,Dauphin Island,NA,Mobile County,Alabama,"Marker can be reached from Bienville Boulevard east of Albatross Street, on the right when traveling east.",NA,http://www.hmdb.org/m.asp?m=87234
87239,Stop E,"""Save Your Garrison.""",Bombardment of Fort Powell:,Stop E,NA,Civil War Trail Battle for Mobile Bay,30.24882,-88.07505,51 Bienville Blvd,Dauphin Island,NA,Mobile County,Alabama,"Marker can be reached from Bienville Boulevard east of Albatross Street, on the right when traveling east.",NA,http://www.hmdb.org/m.asp?m=87239
87243,Stop 1,Storm Clouds Gather,The Overland Campaign,Stop 1: Fort Gaines,NA,Civil War Trail Battle for Mobile Bay,30.24894,-88.0755,NA,Dauphin Island,NA,Mobile County,Alabama,"Marker can be reached from Bienville Boulevard east of Albatross Street, on the right when traveling east.",NA,http://www.hmdb.org/m.asp?m=87243
87246,Stop C4,"""The Shells Were Bursting All Around Us""",The Siege of Fort Morgan:,Stop C4,NA,Civil War Trail Battle for Mobile Bay,30.22859,-88.01912,110 AL-80,Gulf Shores,NA,Baldwin County,Alabama,"Marker can be reached from Fort Morgan Road, 1.4 miles Dune Road, on the left when traveling west.",NA,http://www.hmdb.org/m.asp?m=87246
90306,186,W. C. Handy Birthplace,NA,NA,2015,Mississippi Blues Commission,34.79548,-87.68478,620 W College St,Florence,NA,Lauderdale County,Alabama,"Marker is at the intersection of West College Street and South Marengo Street, on the right when traveling west on West College Street.",NA,http://www.hmdb.org/m.asp?m=90306
91321,9,Judge Frank M. Johnson: Judicial Fairness in the Age of Segregation,Molton and Montgomery Streets,Selma to Montgomery National Historic Trail,2015,the City of Montgomery,32.37539,-86.31298,Montgomery Street,Montgomery,NA,Montgomery County,Alabama,"Marker is at the intersection of Montgomery Street and Catoma Street, on the right when traveling south on Montgomery Street.",NA,http://www.hmdb.org/m.asp?m=91321
91322,11,Thousands Protest at the Seat of Government,Dexter Avenue,Selma to Montgomery National Historic Trail,2015,the City of Montgomery.,32.37757,-86.30146,600 Dexter Avenue,Montgomery,NA,Montgomery County,Alabama,"Marker is at the intersection of Dexter Avenue and South Bainbridge Street, on the right when traveling east on Dexter Avenue.",NA,http://www.hmdb.org/m.asp?m=91322
91462,7,Four Points: One of Several Black Business Hubs in Montgomery,Corner of Mildred and Mobile Streets,Selma to Montgomery National Historic Trail,2015,the City of Montgomery.,32.37082,-86.31784,600 Mobile Street,Montgomery,NA,Montgomery County,Alabama,"Marker is at the intersection of Mobile Street and Mildred Street, on the right when traveling north on Mobile Street.",NA,http://www.hmdb.org/m.asp?m=91462
91464,6,Black Churches Provide Significant Support for the March and Voting,Holt Street under Interstates 65 and 85,Selma to Montgomery National Historic Trail,2015,the City of Montgomery.,32.36837,-86.3208,467 South Holt Street,Montgomery,NA,Montgomery County,Alabama,"Marker is at the intersection of South Holt Street and Stone Street, on the right when traveling south on South Holt Street.",NA,http://www.hmdb.org/m.asp?m=91464
91466,4,From Bus Boycott to Voting Rights: Community Activism 1955-65,West Jefferson Davis near Loveless School,Selma to Montgomery National Historic Trail,2015,the City of Montgomery.,32.3661,-86.32408,West Jeff Davis Avenue,Montgomery,NA,Montgomery County,Alabama,"Marker is at the intersection of West Jeff Davis Avenue and Bragg Street, on the right when traveling west on West Jeff Davis Avenue.",NA,http://www.hmdb.org/m.asp?m=91466
91467,3,Support: Local and Organizational,Near Early and Oak Streets,Selma to Montgomery National Historic Trail,2015,the City of Montgomery.,32.35949,-86.32512,1304 Oak Street,Montgomery,NA,Montgomery County,Alabama,"Marker is on Oak Street, 0.1 miles south of Lincoln Terrace, on the right when traveling south.",NA,http://www.hmdb.org/m.asp?m=91467
91734,8,The Five Points Area: A Unique Blend of Communities in 1965,Five Points,Selma to Montgomery National Historic Trail,2015,the City of Montgomery.,32.37365,-86.31511,3 Goldthwaite Street,Montgomery,Cottage Hill,Montgomery County,Alabama,"Marker is at the intersection of Goldthwaite Street and Montgomery Street, on the left when traveling south on Goldthwaite Street.",NA,http://www.hmdb.org/m.asp?m=91734
91736,10,An Intersection of History: Court Square,NA,Selma to Montgomery National Historic Trail,2015,the City of Montgomery.,32.37762,-86.30914,Court Street,Montgomery,NA,Montgomery County,Alabama,"Marker is at the intersection of Court Street and Market Plaza, on the right when traveling west on Court Street. <font color=red> Reported missing.</font>",Confirmed Missing,http://www.hmdb.org/m.asp?m=91736
106602,1,Southern Railway Station Attack,"January 2, 1961",Anniston Civil Rights Trail,2016,City of Anniston Historic Trails Program,33.64918,-85.83212,126 West 4th Street,Anniston,NA,Calhoun County,Alabama,"Marker is on West 4th Street east of Spruce Avenue, on the right when traveling east.",NA,http://www.hmdb.org/m.asp?m=106602
106605,2,Trailways Bus Station Attack,"May 14, 1961",Anniston Civil Rights Trail,2016,City of Anniston Historic Trails Program,33.65587,-85.82966,901 Noble Street,Anniston,NA,Calhoun County,Alabama,"Marker is at the intersection of Noble Street and 9th Street, on the right when traveling north on Noble Street.",NA,http://www.hmdb.org/m.asp?m=106605
106621,3,"Greyhound Bus Station Protest, May 14, 1961",NA,Anniston Civil Rights Trail,2016,City of Anniston Historic Trails Program.,33.65807,-85.83131,1031 Gurnee Avenue,Anniston,NA,Calhoun County,Alabama,"Marker is on Gurnee Avenue north of West 10th Street, on the right when traveling north.",NA,http://www.hmdb.org/m.asp?m=106621
106626,4,The Murder of Willie Brewster,"July 15, 1965",Anniston Civil Rights Trail,2016,City of Anniston Historic Trails Program.,33.65851,-85.83116,25 West 11th Street,Anniston,NA,Calhoun County,Alabama,"Marker is at the intersection of West 11th Street and Gurnee Avenue, on the right when traveling west on West 11th Street.",NA,http://www.hmdb.org/m.asp?m=106626
106627,5,The Human Relations Council,NA,Anniston Civil Rights Trail,2016,City of Anniston Historic Trails Program,33.65932,-85.83149,1128 Gurnee Avenue,Anniston,NA,Calhoun County,Alabama,"Marker is on Gurnee Avenue south of 12th Street, on the right when traveling south.",NA,http://www.hmdb.org/m.asp?m=106627
106644,6,Anniston Public Library Desegregation,"September 15-16, 1963",Anniston Civil Rights Trail,2016,City of Anniston Historic Trails Program,33.65698,-85.82776,108 East 10th Street,Anniston,NA,Calhoun County,Alabama,"Marker is at the intersection of East 10th Street and Wilmer Avenue, on the right when traveling east on East 10th Street.",Confirmed Missing,http://www.hmdb.org/m.asp?m=106644
106647,7,Anniston Memorial Hospital,"May 14, 1961",Anniston Civil Rights Trail,2016,City of Anniston Historic Trails Program,33.65704,-85.82354,400 East 10th Street,Anniston,NA,Calhoun County,Alabama,"Marker is on East 10th Street, on the right when traveling east.",NA,http://www.hmdb.org/m.asp?m=106647
106650,8,West 15th Street Historic District,NA,Anniston Civil Rights Trail,2016,City of Anniston Historic Trails Program,33.66378,-85.83527,416 West 15th Street,Anniston,NA,Calhoun County,Alabama,"Marker is on West 15th Street west of Walnut Avenue, on the right when traveling west.",NA,http://www.hmdb.org/m.asp?m=106650
106651,9,"Seventeenth Street Missionary Baptist Church, Organized 1887",NA,Anniston Civil Rights Trail,2016,City of Anniston Historic Trails Program.,33.66642,-85.83967,801 West 17th Street,Anniston,NA,Calhoun County,Alabama,"Marker is at the intersection of West 17th Street and Cooper Avenue, on the right when traveling west on West 17th Street.",NA,http://www.hmdb.org/m.asp?m=106651
111301,25,Johnson and Allen Mortuary,NA,NA,NA,the African-American Heritage Trail of Mobile,30.69636,-88.05182,600 Chestnut Street,Mobile,NA,Mobile County,Alabama,"Marker is on Chestnut Street east of Armistead Street, on the left when traveling east.",NA,http://www.hmdb.org/m.asp?m=111301
111302,29,Most Pure Heart of Mary Catholic Church,NA,NA,NA,the African-American Heritage Trail of Mobile.,30.69584,-88.05315,304 Sengstak Street,Mobile,NA,Mobile County,Alabama,"Marker is at the intersection of Martin Luther King Jr. Avenue and Sengstak Street, on the right when traveling west on Martin Luther King Jr. Avenue.",NA,http://www.hmdb.org/m.asp?m=111302
111308,30,National African-American Archives and Museum,NA,NA,NA,the African-American Heritage Trail of Mobile.,30.69514,-88.05117,564 Martin Luther King Jr. Avenue,Mobile,NA,Mobile County,Alabama,"Marker is on Martin Luther King Jr. Avenue west of North Lawrence Street, on the right when traveling west.",NA,http://www.hmdb.org/m.asp?m=111308
111310,10,Christian Benevolent Funeral Home,NA,NA,NA,the African-American Heritage Trail of Mobile.,30.69334,-88.04888,201 North Hamilton Street,Mobile,NA,Mobile County,Alabama,"Marker is at the intersection of St. Anthony Street and North Hamilton Street, on the right when traveling west on St. Anthony Street.",NA,http://www.hmdb.org/m.asp?m=111310
111313,14,Dave Patton,(1879-1927),NA,NA,the African-American Heritage Trail of Mobile.,30.6994,-88.0634,1252 Martin Luther King Jr. Avenue,Mobile,NA,Mobile County,Alabama,"Marker is at the intersection of Martin Luther King Jr. Avenue and Hickory Street, on the right when traveling west on Martin Luther King Jr. Avenue.",NA,http://www.hmdb.org/m.asp?m=111313
111317,7,Christopher First Johnson House,NA,NA,NA,the African-American Heritage Trail of Mobile.,30.70053,-88.06661,Martin Luther King Jr. Avenue,Mobile,NA,Mobile County,Alabama,"Marker is at the intersection of Martin Luther King Jr. Avenue and Peach Street, on the right when traveling west on Martin Luther King Jr. Avenue.",NA,http://www.hmdb.org/m.asp?m=111317
111319,39,Vernon Z. Crawford Law Firm,NA,NA,2017,Dora Franklin Finley African-American Heritage Trail,30.70122,-88.06907,1407 Martin Luther King Jr. Avenue,Mobile,NA,Mobile County,Alabama,"Marker is at the intersection of Martin Luther King Jr. Avenue and Patton Avenue, on the right when traveling east on Martin Luther King Jr. Avenue.",NA,http://www.hmdb.org/m.asp?m=111319
111347,1,Andrew N. Johnson,NA,NA,NA,Dora Franklin Finley African-American Heritage Trail,30.68972,-88.0481,500 Dauphin Street,Mobile,NA,Mobile County,Alabama,"Marker is at the intersection of Dauphin Street and North Lawrence Street, on the left when traveling east on Dauphin Street.",NA,http://www.hmdb.org/m.asp?m=111347
111350,16,Dr. James A. Franklin,(1886-1972),NA,NA,the African-American Heritage Trail of Mobile.,30.69754,-88.0647,355 North Ann Street,Mobile,NA,Mobile County,Alabama,"Marker is on North Ann Street north of Basil Street, on the left when traveling north.",NA,http://www.hmdb.org/m.asp?m=111350
111353,6,Caldwell School,NA,NA,NA,the African-American Heritage Trail of Mobile.,30.69271,-88.05698,North Broad Street,Mobile,NA,Mobile County,Alabama,"Marker is at the intersection of North Broad Street and Congress Street, on the right when traveling south on North Broad Street.",NA,http://www.hmdb.org/m.asp?m=111353
111355,33,St. Martin de Porres Hospital,NA,NA,NA,the African-American Heritage Trail of Mobile.,30.67266,-88.052,735 South Washington Avenue,Mobile,NA,Mobile County,Alabama,"Marker is on South Washington Avenue north of Virginia Street, on the right when traveling north.",NA,http://www.hmdb.org/m.asp?m=111355
