issue,pass_bechdel,notes,reprint
237,no,NA,FALSE
238,yes,NA,FALSE
238,no,NA,FALSE
239,yes,NA,FALSE
239,yes,NA,FALSE
240,yes,NA,FALSE
240,yes,NA,FALSE
241,yes,NA,FALSE
241,no,NA,FALSE
242,yes,NA,FALSE
242,yes,NA,FALSE
243,yes,NA,FALSE
243,no,NA,FALSE
244,yes,NA,FALSE
244,no,NA,FALSE
245,no,NA,FALSE
246,yes,NA,FALSE
247,yes,NA,FALSE
248,yes,NA,FALSE
249,yes,NA,FALSE
250,yes,NA,FALSE
251,yes,NA,FALSE
252,no,NA,FALSE
253,yes,NA,FALSE
254,yes,NA,FALSE
255,yes,NA,FALSE
256,yes,NA,FALSE
257,yes,NA,FALSE
258,yes,NA,FALSE
259,no,NA,FALSE
260,yes,NA,FALSE
261,yes,NA,FALSE
262,yes,NA,FALSE
263,no,NA,FALSE
264,yes,NA,FALSE
265,yes,NA,FALSE
266,yes,NA,FALSE
267,yes,NA,FALSE
268,yes,NA,FALSE
269,yes,NA,FALSE
270,yes,NA,FALSE
271,yes,NA,FALSE
272,yes,NA,FALSE
273,yes,NA,FALSE
274,no,NA,FALSE
275,yes,NA,FALSE
276,yes,NA,FALSE
277,yes,NA,FALSE
278,yes,NA,FALSE
279,no,NA,FALSE
280,no,NA,FALSE
281,yes,NA,FALSE
282,no,NA,FALSE
283,no,NA,FALSE
284,yes,NA,FALSE
285,no,NA,FALSE
286,yes,NA,FALSE
287,no,NA,FALSE
288,no,NA,FALSE
289,yes,NA,FALSE
290,no,NA,FALSE
291,no,NA,FALSE
292,no,NA,FALSE
293,no,NA,FALSE
294,no,NA,FALSE
295,no,NA,FALSE
296,yes,NA,FALSE
297,no,NA,FALSE
298,no,NA,FALSE
299,no,NA,FALSE
300,yes,NA,FALSE
301,no,NA,FALSE
302,yes,NA,FALSE
303,yes,NA,FALSE
304,yes,NA,FALSE
305,no,NA,FALSE
306,yes,NA,FALSE
307,no,NA,FALSE
308,no,NA,FALSE
309,no,NA,FALSE
310,no,NA,FALSE
311,yes,NA,FALSE
312,yes,NA,FALSE
313,yes,NA,FALSE
314,yes,NA,FALSE
315,no,NA,FALSE
316,no,NA,FALSE
317,yes,NA,FALSE
318,yes,NA,FALSE
319,yes,NA,FALSE
320,yes,NA,FALSE
321,no,NA,FALSE
322,yes,NA,FALSE
323,yes,NA,FALSE
324,no,NA,FALSE
325,yes,NA,FALSE
326,no,NA,FALSE
327,no,NA,FALSE
328,yes,NA,FALSE
329,no,NA,FALSE
330,no,NA,FALSE
331,no,NA,FALSE
332,no,NA,FALSE
333,no,NA,FALSE
334,no,NA,FALSE
335,no,NA,FALSE
336,no,NA,FALSE
337,yes,NA,FALSE
338,yes,NA,FALSE
339,no,NA,FALSE
340,no,NA,FALSE
341,no,NA,FALSE
342,no,NA,FALSE
343,no,NA,FALSE
344,yes,NA,FALSE
345,yes,NA,FALSE
346,no,NA,FALSE
347,yes,NA,FALSE
348,no,NA,FALSE
349,no,NA,FALSE
350,no,NA,FALSE
351,yes,NA,FALSE
352,yes,NA,FALSE
353,yes,NA,FALSE
354,no,NA,FALSE
355,yes,NA,FALSE
356,no,NA,FALSE
357,no,NA,FALSE
358,no,NA,FALSE
359,yes,NA,FALSE
360,yes,NA,FALSE
361,yes,NA,FALSE
362,yes,NA,FALSE
363,yes,NA,FALSE
364,yes,NA,FALSE
365,no,NA,FALSE
366,no,NA,FALSE
367,yes,NA,FALSE
368,no,NA,FALSE
369,yes,NA,FALSE
370,no,NA,FALSE
371,no,NA,FALSE
372,yes,NA,FALSE
373,no,NA,FALSE
374,yes,NA,FALSE
375,no,NA,FALSE
376,no,NA,FALSE
377,yes,NA,FALSE
378,no,NA,FALSE
379,no,NA,FALSE
380,yes,NA,FALSE
381,yes,NA,FALSE
382,yes,NA,FALSE
383,no,NA,FALSE
384,no,NA,FALSE
385,yes,NA,FALSE
386,yes,NA,FALSE
387,yes,NA,FALSE
388,yes,NA,FALSE
389,no,NA,FALSE
390,no,NA,FALSE
391,no,NA,FALSE
392,yes,NA,FALSE
393,yes,NA,FALSE
394,no,NA,FALSE
395,yes,NA,FALSE
396,no,NA,FALSE
397,yes,NA,FALSE
398,no,NA,FALSE
399,no,NA,FALSE
400,no,NA,FALSE
401,no,Silent issue,FALSE
402,no,NA,FALSE
403,no,NA,FALSE
404,yes,NA,FALSE
405,no,NA,FALSE
406,yes,NA,FALSE
407,no,NA,FALSE
408,no,NA,FALSE
409,no,NA,FALSE
410,yes,NA,FALSE
411,yes,NA,FALSE
412,no,NA,FALSE
413,yes,NA,FALSE
414,no,NA,FALSE
415,no,NA,FALSE
416,yes,NA,FALSE
417,yes,NA,FALSE
418,yes,NA,FALSE
419,no,NA,FALSE
420,no,NA,FALSE
421,no,NA,FALSE
422,no,NA,FALSE
423,yes,NA,FALSE
424,no,NA,FALSE
425,yes,NA,FALSE
426,yes,NA,FALSE
427,yes,NA,FALSE
428,yes,NA,FALSE
429,no,NA,FALSE
430,no,NA,FALSE
431,no,NA,FALSE
432,no,NA,FALSE
433,yes,NA,FALSE
434,no,NA,FALSE
435,no,NA,FALSE
436,no,NA,FALSE
437,yes,NA,FALSE
438,yes,NA,FALSE
439,yes,NA,FALSE
440,no,NA,FALSE
441,no,NA,FALSE
442,no,NA,FALSE
443,no,NA,FALSE
444,yes,NA,FALSE
445,no,NA,FALSE
446,no,NA,FALSE
447,yes,NA,FALSE
448,yes,NA,FALSE
449,yes,NA,FALSE
450,yes,NA,FALSE
451,yes,NA,FALSE
452,yes,NA,FALSE
453,yes,NA,FALSE
454,yes,NA,FALSE
455,yes,NA,FALSE
456,yes,NA,FALSE
457,yes,NA,FALSE
458,yes,NA,FALSE
459,yes,NA,FALSE
460,yes,NA,FALSE
461,yes,NA,FALSE
462,yes,NA,FALSE
463,yes,NA,FALSE
464,yes,NA,FALSE
465,yes,NA,FALSE
466,yes,NA,FALSE
467,yes,NA,FALSE
468,yes,NA,FALSE
469,no,NA,FALSE
470,yes,NA,FALSE
471,yes,NA,FALSE
472,no,NA,FALSE
473,yes,NA,FALSE
474,no,NA,FALSE
475,no,NA,FALSE
476,no,NA,FALSE
477,no,NA,FALSE
478,no,NA,FALSE
479,no,NA,FALSE
480,no,NA,FALSE
481,yes,NA,FALSE
482,yes,telepathically having conversation,FALSE
483,no,NA,FALSE
484,no,NA,FALSE
485,no,NA,FALSE
486,no,NA,FALSE
487,no,NA,FALSE
488,yes,NA,FALSE
489,yes,NA,FALSE
490,yes,NA,FALSE
491,no,NA,FALSE
492,yes,NA,FALSE
493,no,NA,FALSE
494,yes,Telepathic conversation,FALSE
495,no,NA,FALSE
496,no,NA,FALSE
497,no,NA,FALSE
498,yes,NA,FALSE
499,no,NA,FALSE
500,yes,NA,FALSE
501,no,NA,FALSE
502,yes,NA,FALSE
503,yes,NA,FALSE
504,yes,NA,FALSE
505,yes,NA,FALSE
506,NA,NA,FALSE
507,no,NA,FALSE
508,yes,NA,FALSE
509,yes,NA,FALSE
510,yes,NA,FALSE
511,yes,NA,FALSE
512,no,NA,FALSE
513,no,NA,FALSE
514,no,NA,FALSE
515,yes,NA,FALSE
516,no,NA,FALSE
517,yes,NA,FALSE
518,no,NA,FALSE
519,no,NA,FALSE
520,no,NA,FALSE
521,no,NA,FALSE
522,no,NA,FALSE
523,no,NA,FALSE
524,no,NA,FALSE
525,yes,first sepaker isn't shown but implied to be Rogue through accent,FALSE
526,yes,NA,FALSE
527,yes,NA,FALSE
528,yes,NA,FALSE
529,yes,NA,FALSE
530,no,NA,FALSE
531,yes,NA,FALSE
532,yes,NA,FALSE
533,yes,NA,FALSE
534,yes,NA,FALSE
