series,issue,title,writer,artist,cover_artist,pass_bechdel,page_number,notes
Avengers,143,At last!! The final battle against the power of Kang! The Avenegrs Break Loose!,Steve Englehart,NA,George Perez,no,NA,NA
Avengers,144,Avengers assemble-- to meet the most dearsome new member of all! You wanted her-- you'ce got her! The Hellcat cometh!,Steve Englehart,NA,George Perez,yes,3,NA
Avengers,145,NA,"Tony  Isabella, Scott Edelman",NA,Don Heck,no,NA,NA
Avengers,146,"Caught in the crossfire of the Uncanny Assasin! ""The better to kill them with!""",Tony Isabella,NA,NA,no,NA,NA
Avengers,147,All-out action in the mighty marvel manner! War against the world!,Steve Englehart,NA,George Perez,yes,9,NA
Avengers,148,It's action all the way! 'Nuff said!,Steve Englehart,NA,George Perez,yes,14,NA
Avengers,149,NA,Steve Englehart,NA,George Perez,no,NA,NA
Moon Knight,1,Premiere Issue! They become one.. To do what they must!,Doug Moench,NA,Bill Sienkiewicz,no,NA,NA
Moon Knight,2,How many more must die?,Doug Moench,NA,Bill Sienkiewicz,no,NA,NA
Moon Knight,3,Midnight means murder!,Doug Moench,NA,Bill Sienkiewicz,no,NA,NA
Moon Knight,4,NA,Doug Moench,NA,Bill Sienkiewicz,no,NA,NA
Moon Knight,5,There are some things you can't fight…,Doug Moench,NA,Bill Sienkiewicz,no,NA,NA
Moon Knight,6,NA,Doug Moench,NA,Earl Norem,no,NA,NA
Moon Knight,7,It is cold and barren here and he can not fight them,Doug Moench,NA,Bill Sienkiewicz,yes,7,NA
Moon Knight,8,NA,Doug Moench,NA,Bill Sienkiewicz,no,NA,NA
Moon Knight,9,On minute ago Moon Knight was destroyed. He doesn't know it yet.,Doug Moench,NA,Bill Sienkiewicz,no,NA,NA
Moon Knight,10,The fight continues -- be it is already lost! Moon Knight's greatest… secret… Destroyed!,Doug Moench,NA,Bill Sienkiewicz,no,NA,NA
Moon Knight,11,…Having a good time down South!,Doug Moench,NA,Bill Sienkiewicz,no,NA,NA
Moon Knight,12,Once he was human… Morpheus!,Doug Moench,NA,"Al Milgrom, Frank Miller",no,NA,NA
Moon Knight,13,Daredfevil & Moon Knight play… A deadly game that nobody can win!,Doug Moench,NA,"Dave Simons, Ron Wilson",no,NA,NA
Moon Knight,14,NA,Doug Moench,NA,Bill Sienkiewicz,no,NA,NA
Moon Knight,15,NA,Doug Moench,NA,Frank Miller,no,NA,NA
Master of Kung Fu,20,Watch out Shang-Chi! Here comes the death-dealing Samuai! Martial arts mayhem! Marvel style action!,"Gerry Conway, Doug Moench",NA,"Frank Giacoia, Gil Kane",no,NA,NA
Master of Kung Fu,21,Season of vengeance… ….moment of death!,Doug Moench,NA,"Ron Wilson, Dan Crespi",no,NA,NA
Master of Kung Fu,22,The fortune cookie says: Death! Martial arts action in the mind-shattering Marvel manner!,Doug Moench,NA,"Joel Sinnott, John Buscema",no,NA,NA
Master of Kung Fu,23,"Martial-arts action in the mighty ,Marvel manner! Doom waits for Shang-schi… In the River of Death!",Doug Moench,NA,Al Milgrom,no,NA,NA
Master of Kung Fu,24,"The son of Fu Manchu caight in a deadly cross-fire! Martial - arts action as only mighty Marvel can present it! ""The night of the assassin!""",Doug Moench,NA,Gil Kane,no,NA,NA
Master of Kung Fu,25,A martial-arts masterpiece! Fists of dury-- rites of death!,Doug Moench,NA,"Ron Wilson, Joe Sinnott",no,NA,NA
Master of Kung Fu,26,Martial-arts madness in the middle east! At last! Chang-chi comes face-to-face with…  the daughter of Fu Manchu!,Doug Moench,NA,Gil Kane,no,NA,NA
Master of Kung Fu,27,Trapped…In the lair of Fu Manchu!,Doug Moench,NA,Gil Kane,no,NA,NA
Master of Kung Fu,28,The son of Fu Manchu vs. the steel-smashing Shadow-Stalker in the most off-beat Martial-Arts Masterworkd of the year! Death of a spirit!,Doug Moench,NA,"Dan Crespi, Frank Giacoia, Gil Kane",no,NA,NA
Master of Kung Fu,29,Action as you've never seen it before! Fists of fury versuses slashing swords of death! The rampage of razor-fist!,Doug Moench,NA,Gil Kane,no,NA,NA
Master of Kung Fu,30,Martial arts mayhem as the son of Fu Manchu razor fist in the pit of lions! You want action? Okay you git it!,Doug Moench,NA,Gil Kane,no,NA,NA
Master of Kung Fu,31,Martial-arts magic from the house of ideas! You must read Snowbusted!,Doug Moench,NA,Gil Kane,no,NA,NA
Master of Kung Fu,32,Martial-arts mayhem at its steel-smashing best! Assault on an angry sea!,Doug Moench,NA,Gil Kane,no,NA,NA
Master of Kung Fu,33,Mechanized death vs Martial-Arts Fury! Messenger of madness!,Doug Moench,NA,Gil Kane,no,NA,NA
Master of Kung Fu,34,Shang-Chi--trapped on an island where harmless toys become deadly weapons! Captice in a madman's crown!,Doug Moench,NA,Gil Kane,no,NA,NA
Master of Kung Fu,35,Martial-Arts magic at its very best! Death-Hand!,Doug Moench,NA,Gil Kane,no,NA,NA
Master of Kung Fu,36,Martial arts magic to assault your senses! The night of the ninjas!,Doug Moench,NA,Gil Kane,no,NA,NA
Master of Kung Fu,37,NA,Doug Moench,NA,Rich Buckler,no,NA,NA
Master of Kung Fu,38,Martial arts madness-- as you have never seen it before! Claws of the cat!,Doug Moench,NA,Gil Kane,no,NA,NA
Master of Kung Fu,39,Shang-Chi battles to the death against cat! The greatest Martial Arts master of all! Fight without pity!,"Doug Moench, Paul Gulacy",NA,"Gil Kane, Klaus Janson",no,NA,NA
Master of Kung Fu,40,Explosive martial arts action.. As the son of Fu Manchu battles the deadly League of Assassins! Fury erupts in… The Murder Agency!,Doug Moench,NA,"Gil Kane, Dan Adkins",no,NA,NA
Master of Kung Fu,41,Sensational all action ish! Martial arts madness in the mighty Marvel manner!,Doug Moench,NA,Dan Adkins,no,NA,NA
Master of Kung Fu,42,Clock of shattered time!,Doug Moench,NA,"Al Milgrom, Gil Kane",no,NA,NA
Master of Kung Fu,43,Shang-Chi faces electronic death at the hands of Shock-Wave! Martial arts mayhem! In the madcap marvel manner!,Doug Moench,NA,Rich Buckler,no,NA,NA
Master of Kung Fu,44,This is it! Son vs. Father! Fu Manchu returns in-- Death-day of the Golden Dagger!,Doug Moench,NA,"Al Milgrom, Sal Buscema",no,NA,NA
Master of Kung Fu,45,"Galden Daggers, Glittering Doom! Even if the son of Fu Manchu defeats his sister's assassins-- --Evil has already flowered from the Death Seed! The marvel bullpen proudly presents what we feel is an outstanding achievemnet in comics art.",Doug Moench,NA,"Al Milgrom, Gil Kane",no,NA,NA
Master of Kung Fu,46,NA,Doug Moench,NA,"Jack Abel, Ron Wilson",no,NA,NA
Master of Kung Fu,47,War in the Artic wastes! Shang-Chi stands alone against the forces of Fu Manchu! The cold white mantle of death!,Doug Moench,NA,Dave Cockrum,no,NA,NA
Master of Kung Fu,48,"Shang Chi's fight against his father, Fu Manchu, continues on ""The bridge of a thousand dooms!""","Doug Moench, Paul Gulacy",NA,"Dave Cockrum, Marie Severin, Dan Crespi, Frank Giacoia",no,NA,NA
Master of Kung Fu,49,Shaka Kharn.. The Demon Warrior! Given life by Fu Manchu-- to bring death to Shang Chi!,Doug Moench,NA,Ernie Chan,no,NA,NA
Master of Kung Fu,50,"This is the moment Earth dies! Only Shang-Chi can prevent it, but--",Doug Moench,NA,Dave Cockrum,no,NA,NA
Master of Kung Fu,51,The issue you must not miss! To End-- To Begin! The startling new step in the career of comics' greatest martial arts hero!,Doug Moench,NA,Paul Gulacy,no,NA,NA
Master of Kung Fu,52,Special action issue! Mayhem in Morrocco! Plus: The return appearance of a most unusual guest star!!,Doug Moench,NA,"Al Milgrom, John Romita",no,NA,NA
Master of Kung Fu,53,"Twin swords, swift death! A special repeat performance of one of Shang-Chi's earlies, most exciting sagas!*","Doug Moench, Gerry Conway",NA,Ernie Chan,no,NA,*Repat of iisue #
Master of Kung Fu,54,Death wears three faces! A startling new direction in the world's foremost martial arts action series!,Doug Moench,NA,Jim Starlin,no,NA,NA
Master of Kung Fu,55,Shang-Chi races against time to track down the most sinister secret of all! The ages of death!,Doug Moench,NA,Paul Gulacy,no,NA,NA
Master of Kung Fu,56,Shang-Chi-- Stalked by the most savage foe of all!,Doug Moench,NA,"Ron Wilson, Mike Esposito",no,NA,NA
Master of Kung Fu,57,2000 feet above modern-day london Shang-Chi Duels a killer from the past! Rage of the Red Baron!,Doug Moench,NA,"Dave Cockrum, Ernie Chan",no,NA,NA
Master of Kung Fu,58,"This Issue: Shang-Chi's Showdown with War-Yore, the murder master! Behold the final mask!",Doug Moench,NA,"Frank Giacoia, Dave Cockrum",no,NA,NA
Master of Kung Fu,59,Beginning! The most shocking Shang-Chi saga ever! The Phoenix Gambit! Behold! The angel of doom!,Doug Moench,NA,"Frank Giacoia, Gil Kane, Dan Crespi",no,NA,NA
Master of Kung Fu,60,Shang-Chi's deadliest foes return as pawns in the hands of Marvel's master of Macabre villainy-- Dr.Doom! Doom Game!,Doug Moench,NA,Ernie Chan,no,NA,NA
Master of Kung Fu,61,Savage is the Skull Crusher!,Doug Moench,NA,Jim Craig,no,NA,NA
Master of Kung Fu,62,Now! A startling new direction-- A savage new quest! Coast of  death!,Doug Moench,NA,Jim Craig,no,NA,NA
Master of Kung Fu,63,Doom wears three faces!,Doug Moench,NA,Gil Kane,no,NA,NA
Master of Kung Fu,65,Shang-Chi must choose the lady or the tiger-- and either way it's death! At the mercy of Pavane!,Doug Moench,NA,Ernie Chan,no,NA,NA
Master of Kung Fu,66,Showdown with Kogar!,Doug Moench,NA,Dave Cockrum,no,NA,NA
Master of Kung Fu,67,Dark encounters!,Doug Moench,NA,Paul Gulacy,no,NA,NA
Master of Kung Fu,68,Shang-Chi--locked in a death battle with the Cat!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,69,NA,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,70,Death awaits Chi and Black Jack Tarr in the Murder Mansion!,Doug Moench,NA,Pat Broderick,no,NA,NA
Master of Kung Fu,71,NA,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,72,Suddenly…Shockwave!,Doug Moench,NA,Mike Zeck,yes,14,NA
Master of Kung Fu,73,From the bowels of Mordillo's Island they come… the Behemoths!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,74,Shang-Chi and Shockwave battle the mindless minions of Mordillo! Brynocki triumphant!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,75,Where monsters dwell!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,76,Battle on the waterfront!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,77,Introducing Zaran the weapons-master! Blood on the tracks!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,78,Moving targets!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,79,This side of death!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,80,NA,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,81,NA,Doug Moench,NA,Marie Severin,no,NA,NA
Master of Kung Fu,82,Flight into fear!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,83,The return of Fu Manchu!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,84,The Bull and the Dragon!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,85,Temple of blood!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,86,Warrirors of the golden dawn!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,87,The deadly return of Zaran the weapons master!,Doug Moench,NA,Mike Zeck,yes,11,NA
Master of Kung Fu,88,High over Manhattan Shang-Chi battles to save the world!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,89,The Dragons!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,90,Shang-Chi faces death in Chinatown,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,91,Gang war!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,92,Shadows of the past!,Doug Moench,NA,Mike Zeck,yes,3,NA
Master of Kung Fu,93,Cult of death!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,94,Death duel with Agent Syn!,Doug Moench,NA,Mike Zeck,yes,10,NA
Master of Kung Fu,95,Raid on Samisdat's Island!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,96,More Kung Fu action & thrills than ever before! Plus the dramatic debut of an exciting new martial arts suuper star!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,97,Games of death and deceit!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,98,Fight to the finish!,Doug Moench,NA,Mike Zeck,yes,5,NA
Master of Kung Fu,99,Death boat! He's back!! See Rufus Carter in action side-by-side with Shang-Chi!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,100,Special double-sized 100th anniversary issue!,Doug Moench,NA,Mike Zeck,no,NA,NA
Master of Kung Fu,101,"""Not smoke, nor beads, nor blood…"" A Kung-Fu classic!",Doug Moench,NA,Mike Zeck,yes,1,NA
Master of Kung Fu,102,Assasins in the night!,Doug Moench,NA,Gene Day,no,NA,NA
Master of Kung Fu,103,"Mystery! Intriguw! Kung Fu Action! This one's got it all!  ""A city asea!""",Doug Moench,NA,Gene Day,no,NA,NA
Master of Kung Fu,104,Fight without reason! Featuring the return of Cat!,Doug Moench,NA,Gene Day,yes,21,NA
Master of Kung Fu,105,Again… Again… Again… …Razor Fist!,Doug Moench,NA,Gene Day,no,NA,NA
Master of Kung Fu,106,NA,Doug Moench,NA,Gene Day,yes,5,NA
Master of Kung Fu,107,NA,Doug Moench,NA,Gene Day,no,NA,NA
Master of Kung Fu,108,NA,Doug Moench,NA,Gene Day,yes,5,NA
Master of Kung Fu,109,Death-- Is a dark angel!,Doug Moench,NA,Gene Day,no,NA,NA
Master of Kung Fu,110,"""Perilous reign""",Doug Moench,NA,Gene Day,no,NA,NA
Master of Kung Fu,111,NA,Doug Moench,NA,Gene Day,no,NA,NA
Master of Kung Fu,112,Commit -- and destroy!,Doug Moench,NA,Gene Day,no,NA,NA
Master of Kung Fu,113,NA,Doug Moench,NA,Gene Day,no,NA,NA
Master of Kung Fu,114,A fantasy of the Autumn moon!,Doug Moench,NA,Gene Day,no,NA,NA
Master of Kung Fu,115,NA,Doug Moench,NA,Gene Day,no,NA,NA
Master of Kung Fu,116,NA,Doug Moench,NA,Gene Day,no,NA,NA
Master of Kung Fu,117,Devil deeds done in darkness,Doug Moench,NA,Gene Day,yes,4,NA
Master of Kung Fu,118,Double-sized spectacular,Doug Moench,NA,Gene Day,yes,10,NA
Master of Kung Fu,119,Brynocki's Marauders!,Doug Moench,NA,Gene Day,no,NA,NA
Master of Kung Fu,120,Dweller by the Dark Stream!,Doug Moench,NA,Gene Day,no,NA,NA
Daredevil,168,Elecktra once he loved her… Now she is his most deadly enemy!,Frank Miller,NA,Frank Miller,no,NA,NA
Daredevil,169,His name is Bullseye… And he'll keep killing 'em till they're all dead!,Frank Miller,NA,Frank Miller,no,NA,NA
Daredevil,170,The Kingpin must die!,Frank Miller,NA,Frank Miller,no,NA,NA
Daredevil,171,At last.. Monthly! One minute from now… DD will wish he'd stayed in hiding!,Frank Miller,NA,Frank Miller,no,NA,NA
Daredevil,172,The kingpin..The entire New York mod… and now Bullseye--,Frank Miller,NA,Frank Miller,no,NA,NA
Daredevil,173,…Goes Berserk--,Frank Miller,NA,Frank Miller,no,NA,NA
Daredevil,174,… Elektra & The Gladiator… …Fighting an army of assassins!,Frank Miller,NA,Frank Miller,no,NA,NA
Daredevil,175,The end?,Frank Miller,NA,Frank Miller,no,NA,NA
Daredevil,176,NA,Frank Miller,NA,Frank Miller,no,NA,NA
Daredevil,177,"…In his strangest adventure! Yes we did… We dared to publish this, the most offbeat story of the year!",Frank Miller,NA,Frank Miller,no,NA,NA
Daredevil,178,…Meets Power Man & Iron Fist!,Frank Miller,NA,Frank Miller,no,NA,NA
Daredevil,179,…Somebody had to win!,Frank Miller,NA,Frank Miller,no,NA,NA
Daredevil,180,NA,Frank Miller,NA,Frank Miller,no,NA,NA
Daredevil,181,Special Double-Size Issue! Bullseye vs. Elektra one wins. One dies.,Frank Miller,NA,NA,no,NA,NA
Daredevil,182,"""For in that sleep of death what dreams may come…""",Frank Miller,NA,NA,no,NA,NA
Daredevil,183,NA,"Frank Miller, Roger Mckenzie",NA,NA,no,NA,NA
Daredevil,184,No more mister nice guy,"Frank Miller, Roger Mckenzie",NA,NA,no,NA,NA
Daredevil,185,NA,Frank Miller,Klaus Janson,NA,no,NA,NA
Daredevil,186,NA,Frank Miller,Klaus Janson,NA,no,NA,NA
Daredevil,187,NA,Frank Miller,Klaus Janson,NA,no,NA,NA
Daredevil,188,NA,Frank Miller,Klaus Janson,NA,no,NA,NA
Daredevil,189,NA,Frank Miller,Klaus Janson,NA,no,NA,NA
Daredevil,190,NA,Frank Miller,Klaus Janson,NA,no,NA,NA
Daredevil,191,How does a man seatch for his own soul?,Frank Miller,NA,Frank Miller,no,NA,NA
Daredevil,227,Apocalypse,Frank Miller,NA,David Mazzucchelli,no,NA,NA
Daredevil,228,Purgatory,Frank Miller,NA,David Mazzucchelli,no,NA,NA
Daredevil,229,Pariah!,Frank Miller,NA,David Mazzucchelli,no,NA,NA
Daredevil,230,Born Again,Frank Miller,NA,David Mazzucchelli,no,NA,NA
Daredevil,231,Saved,Frank Miller,NA,David Mazzucchelli,no,NA,NA
Daredevil,232,God and country,Frank Miller,NA,David Mazzucchelli,no,NA,NA
Daredevil,233,Armageddon,Frank Miller,NA,David Mazzucchelli,no,NA,NA
Fantastic Four,232,NA,John Byrne,NA,John Byrne,no,NA,NA
Fantastic Four,233,Mission for a dead man!,John Byrne,NA,John Byrne,no,NA,NA
Fantastic Four,234,Who is he? What is he? The Fabulous F.F face the man with the Power!,John Byrne,NA,John Byrne,no,NA,NA
Fantastic Four,235,The F.F battle the living planet--Ego!,John Byrne,NA,John Byrne,no,NA,NA
Fantastic Four,236,Special Triple-Sized Issue of the world's greatest comic magazine! Plus: An all-new F.F. Blockbuster by Stan (the Man) Lee and Jack (King) Kirby!,"John Byrne, Stan Lee",NA,NA,no,NA,NA
Fantastic Four,237,"""The eyes have it!""",John Byrne,NA,NA,yes,3,NA
Fantastic Four,238,"Honest! Doctor Doom is not in this marvel Comic! But you will find out the startling secret of Frankie Raye, plus a dramatic development in the life of the Thing!",John Byrne,NA,NA,no,NA,NA
Fantastic Four,239,Holocaust in the desert! Plus: The most unexpected guest-star of all time!,John Byrne,NA,NA,yes,6,NA
Fantastic Four,240,"""Exodus!"" Starring the uncomparable Inhumans! Plus: The return if Medusa and the birth of Quicksilver and Crystal's child!",John Byrne,NA,NA,no,NA,NA
Fantastic Four,241,Stripped of their incredible powers the F.F and the Black Panther battle a bizarre time-lost foe!,John Byrne,NA,John Byrne,no,NA,NA
Fantastic Four,242,He's back!! Terraz the untamed!! Guest-Starring the mighty Thor! The amazing Spider-Man! The Invincible Iron Man! And Daredevil the man without fear!,John Byrne,NA,NA,yes,9,NA
Fantastic Four,243,This is it! Everyone versus Galactus! Need we say more?,John Byrne,NA,John Byrne,yes,12,NA
Fantastic Four,244,When calls Galactus!,John Byrne,NA,John Byrne,no,NA,NA
Fantastic Four,245,The Invisible Girl fights alone for the life of her son! Childhood's End!,John Byrne,NA,John Byrne,yes,3,NA
Fantastic Four,246,Too many dooms!,John Byrne,NA,John Byrne,no,NA,NA
Fantastic Four,247,This land is mine!,John Byrne,NA,John Byrne,no,NA,NA
Fantastic Four,248,Guest starring the Uncanny Inhumans! Nightmare!,John Byrne,NA,John Byrne,yes,5,NA
Fantastic Four,249,"""Man and Super-Man!""",John Byrne,NA,John Byrne,yes,7,NA
Fantastic Four,250,"Twice as many pages! Twice as many thrills! Special 250th Issue! ""X-Factor""",John Byrne,NA,John Byrne,no,NA,NA
Fantastic Four,251,The world's greatest comic magazine! Into the negative zone!,John Byrne,NA,John Byrne,no,NA,NA
Fantastic Four,252,Special colletor's edition! Bonus feature! Free lakeside skin tattooz inside! Character 1 of an exciting four-part epic deep within the negative zone!,John Byrne,NA,John Byrne,yes,9,NA
Fantastic Four,253,The world's greatest comic magazine!,John Byrne,NA,John Byrne,yes,12,NA
Fantastic Four,254,The world's greatest comic magazine! The minds of-- Mantracora!,John Byrne,NA,John Byrne,yes,14,NA
Fantastic Four,255,The world's greatest comic magazine!,John Byrne,NA,John Byrne,no,NA,NA
Fantastic Four,256,NA,John Byrne,NA,John Byrne,no,8,NA
Fantastic Four,257,NA,John Byrne,NA,John Byrne,yes,9,NA
Fantastic Four,258,The world's greatest comic magazine!,John Byrne,NA,John Byrne,no,NA,NA
Fantastic Four,259,Three against doomsday!,John Byrne,NA,John Byrne,yes,3,NA
Fantastic Four,260,NA,John Byrne,NA,John Byrne,no,NA,NA
Fantastic Four,261,The search for Reed Richards!,John Byrne,NA,NA,yes,3,NA
Fantastic Four,262,The trial of Reed Richards,John Byrne,NA,NA,no,NA,NA
Fantastic Four,263,NA,John Byrne,NA,NA,no,NA,NA
Fantastic Four,264,NA,John Byrne,John Byrne,NA,yes,8,NA
Fantastic Four,265,NA,John Byrne,John Byrne,NA,yes,15,NA
Fantastic Four,266,Karisma commands… ….Death to the invisible girl!,John Byrne,John Byrne,NA,yes,3,NA
Fantastic Four,267,In the arms of Octopus!,John Byrne,John Byrne,NA,no,NA,NA
Fantastic Four,268,The Masque of Doom!,John Byrne,NA,NA,yes,12,NA
Fantastic Four,269,Who is Terminus?,NA,NA,NA,yes,10,NA
Fantastic Four,270,NA,John Byrne,John Byrne,NA,no,NA,NA
Fantastic Four,271,NA,John Byrne,John Byrne,NA,no,NA,NA
Fantastic Four,272,Cowboys and Idioms!,John Byrne,John Byrne,NA,no,NA,NA
Fantastic Four,273,Family Reunion!,John Byrne,John Byrne,NA,no,NA,NA
Fantastic Four,274,At last! It's Clobberin' time!,John Byrne,NA,NA,yes,2,NA
Fantastic Four,275,NA,John Byrne,NA,NA,no,NA,NA
Fantastic Four,276,Evening on the Witch,John Byrne,NA,NA,yes,7,NA
Fantastic Four,277,NA,NA,NA,NA,no,NA,NA
Fantastic Four,278,NA,John Byrne,NA,NA,no,NA,NA
Fantastic Four,279,Doomsday plus one!,John Byrne,NA,NA,no,NA,NA
Fantastic Four,280,HATE,John Byrne,NA,NA,yes,15,NA
Fantastic Four,281,NA,John Byrne,NA,NA,no,NA,NA
Fantastic Four,282,Inwards to Infinity!,John Byrne,NA,NA,no,NA,NA
Fantastic Four,283,NA,John Byrne,NA,NA,no,NA,NA
Fantastic Four,284,NA,John Byrne,John Byrne,NA,yes,6,NA
Fantastic Four,285,NA,John Byrne,NA,NA,yes,17,NA
Fantastic Four,286,It continues here! X-Factor Special appearance by the uncanny X-Men Like a Phoenix…,John Byrne*,NA,NA,yes,14,"*Persumably just listed as ""you know who"""
Fantastic Four,287,"This is Peggy McArthur, average American house-wife in ten seconds she will make a decision-- --if it's the wrong one it will mean the end of the fantastic four!",John Byrne,NA,NA,yes,5,NA
Fantastic Four,288,Doctor Doom versus the Beyonder,John Byrne,NA,John Byrne,yes,4,NA
Fantastic Four,289,NA,John Byrne,NA,John Byrne,no,16,**Unspecified who is speaking but possibly woman
Fantastic Four,290,NA,John Byrne,NA,John Byrne,no,NA,NA
Fantastic Four,291,NA,John Byrne,NA,John Byrne,yes,12,NA
Fantastic Four,292,NA,John Byrne,NA,John Byrne,yes,3,NA
Fantastic Four,293,Black Out!,John Byrne,NA,John Byrne,yes,10,NA
