issue,location,context,notes
107,Princess Lilandra's Home Planet,Past,flashback as character describes story in present
107,Space,Past,flashback as character describes story in present
107,Spaceship,Past,flashback as character describes story in present
107,"Jean Grey's Apartment, Greenwich Village, NYC",Past,flashback as character describes story in present
107,Princess Lilandra's Home Planet,Present,NA
107,Starcore One Space Research Station,Present,NA
107,Baxter Building,Present,"Assumption of location, since the Fantastic Four are shown in what appears to be their own control room. Baxter building is never specified"
107,Starcore One Space Research Station,Present,"Changes in location between Starcore One and Baxter Building are as a result of a video call, consistently changing perspectives"
108,Princess Lilandra's Home Planet,Present,NA
108,Princess Lilandra's Home Planet,Past,Recap of the previous issue
108,Starcore One Space Research Station,Present,"Changes in location between oval office, Starcore One,  the Baxter Building*, and Avengers Headquarters** are as a result of a video call, consistently changing perspectives"
108,"Oval Office, Washington D.C., USA",Present,NA
108,Starcore One Space Research Station,Present,NA
108,Baxter Building,Present,"*Assumption of location, since the Fantastic Four are shown in what appears to be their own control room. Baxter building is never specified"
108,Avengers Headquarters,Present,"** Assumption of location, as it is not specified, but the Avengers are shown in what appears to be their own control room"
108,Princess Lilandra's Home Planet,Present,NA
108,StarJammer Space Ship,Present,NA
108,Princess Lilandra's Home Planet,Present,NA
108,StarJammer Space Ship,Present,NA
108,Princess Lilandra's Home Planet,Present,NA
108,StarJammer Space Ship,Present,NA
108,Princess Lilandra's Home Planet,Present,NA
108,Inside the M'Kraan Crystal,Present,NA
108,Neutron Dimension,Present,NA
108,"Jean Grey's Apartment, Greenwich Villange, NYC",Present,NA
109,X-Mansion,Present,NA
109,Princess Lilandra's Home Planet,Past,NA
109,X-Mansion,Present,NA
109,Canadian Military/Alpha Flight Truck,Present,* Not specified to be Alpha Flight - it seems to target Wolverine and send Weapon Alpha after Wolverine
109,X-Mansion,Present,NA
109,Canadian Military/Alpha Flight Truck,Present,NA
109,"Forest, West of Woodstock, New York",Present,NA
109,"Lake, West of Woodstock, New York",Present,NA
110,"Baseball Diamond (in the backyard of X-Mansion), New York",Present,NA
110,X-Mansion,Present,NA
110,Danger Room,Present,NA
110,X-Mansion,Present,NA
110,Danger Room,Present,NA
110,X-Mansion,Present,NA
111,"Circus, Sullivan County, Texas",Present,NA
111,X-Mansion,Past,NA
111,"Circus, Sullivan County, Texas",Present,NA
112,"Circus Wagon, Sullivan County, Texas",Present,NA
112,Circus Wagon in Orbit,Present,NA
112,X-Mansion,Past,NA
112,"Circus, Sullivan County, Texas",Past,NA
112,Circus Wagon in Orbit,Present,NA
112,"Space Ship, Present",Present,NA
112,Circus Wagon in Orbit,Present,NA
112,"Magneto's Underground Base, Antarctica",Present,NA
113,"Royal Australian Aerospace Research Facility, Woodmere, Australia",Present,NA
113,"Kirinos, Cyclades Islands, Off the Southern Coast of Greece",Present,NA
113,"Magneto's Underground Base, Antarctica",Present,NA
113,Cairo,Past,Scene flashes between Storm's past in Cairo and her in captivity in Magneto's base
113,"Magneto's Underground Base, Antarctica",Present,NA
113,Cairo,Past,NA
113,"Magneto's Underground Base, Antarctica",Present,NA
113,Cairo,Past,NA
113,"Magneto's Underground Base, Antarctica",Present,NA
113,Asteroid M,Present,NA
113,"Magneto's Underground Base, Antarctica",Present,NA
113,Antarctica (Outdoors),Present,NA
114,Antarctica,Present,NA
114,Helicopter,Present,NA
114,Antarctica,Present,NA
114,The Savage Land,Present,NA
114,X-Mansion,Present,NA
114,The Savage Land,Present,NA
114,Scott flashback - indiscernible locations*,Past,NA
114,The Savage Land,Present,NA
115,The Savage Land,Present,NA
115,"Village Council House, The Savage Land",Present,NA
115,X-Mansion,Past,NA
115,Tierra Del Fuego,Past,NA
115,The Savage Land,Past,NA
115,Sheenar,Past,NA
115,The Savage Land,Past,NA
115,The Savage Land,Present,NA
116,Outside the City of the Sun God,Present,NA
116,City of the Sun God,Present,NA
116,The Savage Land,Present,NA
116,"Boat, Drake Passage, South of Cape Horn",Present,NA
117,"Boat, Drake Passage, South of Cape Horn",Present,A majority of this issue occurs in the past
117,"Jinguchi Maru Ship, Drake Passage, South of Cape Horn",Present,NA
117,X-Mansion,Present,NA
117,Prof. X Flashback - Indiscernible locations,Past,NA
117,Isle of Kirinos,Past,NA
117,Cairo,Past,NA
117,Astral Plane/Dimension,Past,NA
117,X-Mansion,Present,NA
117,Kennedy International Airport,Present,NA
118,"Jinguchi Maru Ship, Drake Passage, South of Cape Horn",Present,NA
118,"Agarashima, Honshu, Japan",Present,NA
118,"Princess Lilandra's Ship, en route to her home planet",Present,NA
118,"Yoshida Manor, Agarashima, Honshu, Japan",Present,NA
119,"Kuril Islands, North of Japan",Present,NA
119,"Volcano inside the Kuril Chain, Japan",Present,NA
119,"Kuril Islands, North of Japan",Past,NA
119,"Volcano inside the Kuril Chain, Japan",Present,NA
119,Island of Katsu Shima,Past,NA
119,"Volcano inside the Kuril Chain, North of Japan",Present,NA
119,"Plane flying over the Kuril Chain, North of Japan",Present,NA
119,"Shiro Yashida's house,",Present,NA
119,Edibnurgh Station,Present,NA
119,Muir Isle,Present,NA
120,"War Room of the Canadian Ministry of Defense, Ottawa, Ontario",Present,NA
120,Jasper National Park*,Present,"*Introducing a team of Canadian superheroes by cutting to their locations, panel-by-panel"
120,"Sarcee Reserve Hospital, Calgary, Alberta*",Present,"*Introducing a team of Canadian superheroes by cutting to their locations, panel-by-panel"
120,"Yellowknife, North West Territories*",Present,"*Introducing a team of Canadian superheroes by cutting to their locations, panel-by-panel"
120,"McGill University, Montreal, Quebec*",Present,"*Introducing a team of Canadian superheroes by cutting to their locations, panel-by-panel"
120,"Lavalle, Quebec*",Present,"*Introducing a team of Canadian superheroes by cutting to their locations, panel-by-panel"
120,Airport in Japan,Present,NA
120,"Shiro Yashida's Limousine, Parked at the airport in Japan",Present,NA
120,Plane flying over Canada,Present,NA
120,Calgary Airport,Present,NA
120,"Downtown Calgary, Alberta",Present,NA
120,"Calgary Tower, Calgary, Alberta",Present,NA
120,"Toronto-Dominion Mall, Calgary, Alberta",Present,NA
120,"Downtown Calgary, Alberta",Present,NA
121,"Stampede Park, Calgary, Alberta*",Present,"* location inferred, since narrative captions state they are at the location of the Calgary Stampede"
121,"Calgary Airport, Calgary, Alberta Canada**",Past,"** Issue recap, shown over a few panels"
121,"Stampede Park, Calgary, Alberta*",Present,"* location inferred, since narrative captions state they are at the location of the Calgary Stampede"
121,"Downtown Calgary, Alberta, Canada***",Present,*** switches back and forth between panels of downtown Calgary and Stampede park for the next 6 entries
121,"Stampede Park, Calgary, Alberta*",Present,"* location inferred, since narrative captions state they are at the location of the Calgary Stampede"
121,"Downtown Calgary, Alberta, Canada",Present,NA
121,"Stampede Park, Calgary, Alberta*",Present,"* location inferred, since narrative captions state they are at the location of the Calgary Stampede"
121,"Downtown Calgary, Alberta, Canada",Present,NA
121,"Stampede Park, Calgary, Alberta*",Present,"* location inferred, since narrative captions state they are at the location of the Calgary Stampede"
121,"Plane, enroute to the US from Calgary",Present,NA
122,Danger Room,Present,NA
122,X-Mansion,Present,NA
122,Imperial Center (planet),Present,NA
122,"Stornoway, Scotland",Present,NA
122,"Boat on the North East coast of Scotland, en route to Moira's lab",Present,NA
122,"Salem Center, New York",Present,NA
122,"135th and Broadway, New York City",Present,NA
122,"Park Avenue, East Side of New York City",Present,NA
122,Uptown New York City,Present,NA
122,"Salem Center Station, New York",Present,NA
122,Plane leaving from Heathrow Airport,Present,NA
124,"Madworld (abandoned amusement park in Bronx, New York)",Present,NA
124,Beverly Hills,Past,NA
125,"Moira's Lab, Muir Island, Scotland",Present,NA
125,Space,Past,NA
125,Danger Island,Present,NA
125,"Asteroid M, Space",Present,NA
125,"Red Lion Inn, Stornoway, Scotland's North-West Coast",Present,NA
125,"Plane, on way to Europe",Past,NA
125,"Beach, Europe",Past,NA
125,"Moira's Lab, Muir Island, Scotland",Present,NA
125,"Imperial center (Planet), Space",Present,NA
125,"Outside Moira's Lab, Muir Island, Scotland",Present,NA
125,"Regency Mansion, Europe*",Past**,* Assumed to be Europe through context and design **The location is in the 18th centaury but the character experiences it in the present
125,"Moira's Lab, Muir Island, Scotland",Present,NA
125,X-Mansion,Present,NA
125,Muir Island,Present,NA
125,X-Mansion,Present,NA
126,Boat in North Atlantic Ocean off coast of Scotland,Present,NA
126,Unmarked aircraft on way to Moira's lab,Present,NA
126,"Moira's Lab, Muir Island, Scotland",Present,NA
126,"Stornoway, Scotland's North-West Coast",Present,NA
126,Scotland Highlands,Present,NA
126,"Field, Europe*",Past*,NA
127,Scotland Highlands,Present,NA
127,"Road, Southeast Scotland Highlands",Present,NA
127,"Queen street townhouse, Edinburgh, Scotland",Present,NA
127,"Holyrood Park and Edinburgh Crag, Edinburgh, Scotland",Present,NA
127,"Queen Street, Edinburgh, Scotland",Present,NA
127,"Holyrood Park and Edinburgh Crag, Edinburgh, Scotland",Present,NA
127,"Queen Street, Edinburgh, Scotland",Present,NA
127,"Over Edinburgh, Scotland",Present,NA
127,"Queen Street, Edinburgh, Scotland",Present,NA
128,"Edinburgh, Scotland",Present,NA
128,"Moira's Lab, Muir Island, Scotland",Past,NA
128,"Edinburgh, Scotland",Present,NA
128,"Forest outside Edinburgh Castle, Edinburgh, Scotland",Present,NA
128,"On top Edinburgh Castle, Scotland",Present,NA
128,"Forest outside Edinburgh Castle, Edinburgh, Scotland",Present,NA
128,"On top Edinburgh Castle, Scotland",Present,NA
129,"Moira's Lab,  Muir Island, Scotland",Present,NA
129,"Blackbird, towards X-Mansion",present,NA
129,"Hellfire Club Jet, Near Blackbird",present,NA
129,Ship toward NYC,past,NA
129,"Blackbird, towards X-Mansion",Present,NA
129,X-Mansion,Present,NA
129,Field outside X-Mansion,Present,NA
129,X-Mansion,Present,NA
129,Danger Room,Present,NA
129,"Hellfire club Headquaters,America",Present,NA
129,"Pryde residence, Deerfield, Illinois",Present,NA
129,"Malt Shopppe, Deerfield, Illinois",Present,NA
129,"Hovercraft, Outskirts of Chicago",Present,NA
130,"Disco, Delano Street, Lower Manhattan",Present,NA
130,"Hellfire Club, 5th Avenue, Manhattan",Present,NA
130,"Frost Enterprises,Industrial Complex, Chicago",Present,NA
130,"Pryde Residence, Deerfield, Illinois",Past,NA
130,"Frost Enterprises, Industrial Complex, Chicago",Present,NA
130,"Disco, Delano Street, Lower Manhattan",Present,NA
130,"Church is Woodland Glade, 5th Avenue",Past,NA
130,"Disco, Delano Street, Lower Manhattan",Present,NA
130,"Frost Enterprises, Industrial Complex, Chicago",Present,NA
130,"Disco, Delano Street, Lower Manhattan",Present,NA
131,"Back Alley, Chicago",Present,NA
131,"Mutant, Skyship, Woodland Park, Lake Michigan",Present,NA
131,"Frost Enterprises, Industrial Complex, Chicago",Present,NA
131,"Adminstration building, Chicaho",Present,NA
131,"Frost Enterprises, Industrial Complex, Chicago",Present,NA
131,"Pryde Residence, Deerfield, Illinois",Present,NA
132,"Angel's Residence, New Mexico",Present,NA
132,"Desert, New Mexico",Present,NA
132,"Malt Shoppe, Deerfield, Illinois",Past,NA
132,"Frost Enterprises, Industrial Complex, Chicago",Past,NA
132,"Tunnels under, Hellfire Club, 5th Avenue, Manhattan",Present,NA
132,"The Hellfire Club, 5th Avenue, Manhattan",Present,NA
132,Arizona Desert,Present,NA
132,"Hellfire Club, 5th Avenue, Manhattan",Present,NA
133,"Hellfire Club, 5th Avenue, Manhattan",Present,NA
133,"Desert, New Mexico",Past,NA
133,"Hellfire Club, 5th Avenue, Manhattan",Present,NA
133,"Muir Island, Northern Scotland",Present,NA
133,Arizona Desert,Present,NA
133,"Hellfire Club, 5th Avenue, Manhattan",Present,NA
133,Astral Plane,Present,NA
133,"Hellfire Club, 5th Avenue, Manhattan",Present,NA
134,"Hellfire Club, 5th Avenue",Present,NA
134,"Avengers Mansion, 4 blocks up 5th Avenue, Manhattan",Present,NA
134,Hellfire Club 5th Avenue,Present,NA
134,"X-Men Skycraft, Central Park Reservoir",Present,NA
135,X-Men Skycraft over Central Park,Present,NA
135,Central Park,Present,NA
135,"The Hellfire Club, 5th Avenue",Present,NA
135,"The Baxter Building, New York",Present,NA
135,Manhattan's West Side,Present,NA
135,Greenwich Village,Present,NA
135,Space,Present,NA
135,Central Park,Present,NA
135,Quinjet on way to Westchester County Headquaters,Present,NA
135,X-Men's Westchester County Headquaters,Present,NA
135,Space,Present,NA
135,X-Mansion,Present,NA
136,Space,Present,NA
136,"Imperial Center, Galactic Empire, Space",Present,NA
136,"White House, Washington D.C",Present,NA
136,"Avengers Mansion, New York",Present,NA
136,X-Mansion,Present,NA
136,Danger Room,Present,NA
136,"Grey Residence on Annandale Road, Annandale-On-Hudson, New York",Present,NA
136,"Park in Annadale-On-Hudson, New York",Present,NA
137,"Lilandra's Flagship, Space",Present,NA
137,"""Blue Area of Moon"", Space",Present,NA
138,"Cemetery, unspecified",Present,NA
138,Danger room,Past,NA
138,X-Mansion,Past,NA
138,Cape Citadel Missile Base,Past,NA
138,San Marco,Past,NA
138,Lexington Avenue Sunway,Past,NA
138,Grand Central Station,Past,NA
138,Asteroid M,Past,NA
138,X-Mansion,Past,NA
138,Cemetery,Present,NA
138,Savage Land,Past,NA
138,City,Past,NA
138,Space,Past,NA
138,Building,Past,NA
138,Greenwich Village,Past,NA
138,Central Park,Past,NA
138,Subway Manhattan,Past,NA
138,San Francisco,Past,NA
138,London College,Past,NA
138,Sun,Past,NA
138,"Tierra Del Fuego, South America",Past,NA
138,Savage Land,Past,NA
138,Washington D.C,Past,NA
138,X-Mansion,Past,NA
138,"Cemetery, unspecified",Present,NA
138,X-Mansion+B382,Past,NA
138,Krakoa (Living Island),Past,NA
138,"Count Nefaria Headquaters, Valhalla Mountains",Past,NA
138,"Cemetery, unspecified",Present,NA
138,Space,Past,NA
138,"Neutron Galaxy, Space",Past,NA
138,Space,Past,NA
138,X-Mansion,Past,NA
138,"Magneto Base, Antarticia",Past,NA
138,Savage Land,Past,NA
138,"Tierra Del Fuego, South America+B382",Past,NA
138,Unsoecifed region of Northern Scotland,Past,NA
138,"Moira's Lab, Muir Island, Scotland",Past,NA
138,"Edinburgh, Scotland",Past,NA
138,"On top Edinburgh Castle, Scotland",Past,NA
138,"Hellfire Club, New York",Past,NA
138,Space,Past,NA
138,Park in Annadale on the Hudson,Past,NA
138,Blue are of Moon,Past,NA
138,"Cemetery, unspecified",Present,NA
138,X-Mansion,Past,NA
139,Danger Room,Present,NA
139,Salem Centerm Bew York,Present,NA
139,"Compton Building, Stevie's Dance Studio, Salem Center",Present,NA
139,"Hudson Residence, Laurier Drive, Ottawa, Canada",Present,NA
139,"Hudson Bay, Ontario, Canada",Present,NA
140,Field outside X-Mansion,Present,NA
140,X-Mansion,Present,NA
140,Salem Center,Present,NA
140,Hudson Bay,Present,NA
140,Hudson Residence,Past,NA
140,Parliament Building Canada,Present,NA
140,"United States Federal Maximum X-Security Penutentiary, Demming New Mexico",Present,NA
141,"Park Avenue, New York",Future,NA
141,Express Tram to Bronx,Future,NA
141,South Bronx Mutant Interment Centre,Future,NA
141,Danger Room,Present,NA
141,Blackbird on way to Washington,Present,NA
141,New York Subway Tunnels,Future,NA
141,Pentagon Washing D.C,Present,NA
141,"U.S Senate Building, Washington DC",Present,NA
142,U.S Senate Building,Present,NA
142,South Bronx Mutant Interment Center*,Future*,* Referencing a past issue that takes place in the future
142,New York City,Future*,NA
142,"Baxter building, New York City",Future,NA
142,Outside U.S Senate Building,Present,NA
142,Baxter building,Future,NA
142,New York City,Future,NA
142,U.S Senate Building,Present,NA
142,Black Bird on way to X-Mansion,Present,NA
142,White House,Present,NA
143,Westchester Country,Present,NA
143,X-Mansion,Present,NA
143,"Shark Bay, Florida",Present,NA
143,Danger Room,Present,NA
143,X-Mansion,Present,NA
143,Danger Room,Present,NA
144,"Swamp, Florida",Present,NA
144,"Arcadia (ship), Fishing Port, Shark Bay, Florida",Present,NA
144,"Tavern, Shark Bay, Florida",Present,NA
144,Danger Room,Present,NA
144,Lakeshore behind X-Mansion,Present,NA
144,"Tavern, Shark Bay, Florida",Present,NA
144,Glades outside Citrusville Florida,Present,NA
144,"Forrester Home, Citrusville Florida",Present,NA
144,"Plane off South Cape Yakataga, Alaska*",Present,*Physically still is in Forrester home but character believes is in location
144,Mountain Head Headquaters of Larry Trask*,Present,*Physically still is in Forrester home but characters believes is in location
144,New Mexico Cliffs*,Present,*Physically still is in Forrester home but character believes is in location
144,Church* Unspecified location,Present,*Physically still is in Forrester home but character believes is in location
144,"Forrester Home, Citrusville Florida",Present,NA
144,"Swamp, Florida",Present,NA
145,"Lincoln Center, West Manhattan, New York, U.S.A",Present,NA
145,Latveria,Past,NA
145,"Lincoln Center, West Manhattan, New York, U.S.A",Present,NA
145,"""Amanda's Apartment"" Central Park South, New York, U.S.A",Present,NA
145,"""Grey Residence""   Annandale*-on -Hudson, U.S.A",Present,NA
145,X-Mansion,Present,NA
145,"Rio Diablo, Southwest, U.S.A",Present,NA
145,"College, Eastern Seaboard, U.S.A",Present,NA
145,Plane 11 miles above North Atlantic on way to New York U.S.A,Present,NA
145,Caribbean Island,Present,NA
145,X-Mansion,Present,NA
145,"Castle, Adirondak Mountains, New York",Present,NA
146,"Castle, Adirondak  Mountains, New York",Present,NA
146,Caribbean Island,Present,NA
146,Plane over New York City,Present,NA
146,"Murderworld, New York,",Present,NA
147,"Above Castle, Adriondak Mountains, New York",Present,NA
147,"Castle, Adirondak  Mountains, New York",Present,NA
147,"NORAD headquarters, Cheyenne Mountains",Present,NA
147,"Castle, Adirondak Mountains, New York",Present,NA
148,Caribbean Island,Present,NA
148,X-Mansion,Present,NA
148,"Selfsame Skyscraper, New York",Present,NA
148,Caribbean Island,Present,NA
149,Danger room,Present,NA
149,Plane to Magneto Volcano Lair,Present,NA
149,Magneto Volcano Lair,Present,NA
149,"Caribbean Island, Bermuda Triangle",Present,NA
150,"Caribbean Island, Bermuda Triangle",Present,NA
150,"White House, Dc",Past,NA
150,"10 Downing Street London,",Past,NA
150,"Kremlin, Moscow",Past,NA
150,The Great Hall of the People Peking,Past,NA
150,"The Palace, Rayah, Saudi Arabia",Past,NA
150,"The President's House, Nairobi, Kenya",Past,NA
150,Shi'ar planet,Past,NA
150,"Soviet Submarine, North Atlantic",Present,NA
150,"Moscow, Russia",Present,NA
150,"Varykino, Siberia",Present,NA
150,"Caribbean Island, Bermuda Triangle",Present,NA
150,Blackbird above Bermuda Triangle,Present,NA
150,Boat on way to Bermuda Triangle,Present,NA
150,"Caribbean Island, Bermuda Triangle",Present,NA
150,Boat outside of Bermuda Triangle,Present,NA
150,"Caribbean Island, Bermuda Triangle",Present,NA
151,X-Mansion,Present,NA
151,Hellfire Club New York,Past,NA
151,X-Mansion,Present,NA
151,"Road in Snow Valley, Massachusetts, USA",Present,NA
151,"Massachusetts Academy, Snow Valley, Massachusetts",Present,NA
151,"Snow Valley, Massachusetts, USA",Present,NA
151,Hellfire Club New York,Present,NA
151,"Snow Valley, Massachusetts, USA",Present,NA
151,X-Mansion,Present,NA
151,"Control Center under Hellfire Club, NYC, USA",Present,NA
151,"Massachusetts Academy, Snow Valley, Massachusetts",Present,NA
151,"Apartment of Jean Grey, Greenwich Village",Past,NA
151,"Massachusetts Academy, Snow Valley, Massachusetts",Present,NA
152,Upstate New York,Present,NA
152,"Massachusetts Academy, Snow Valley, Massachusetts",Past,NA
152,Upstate New York,Present,NA
152,X-Mansion,Present,NA
152,Upstate New York,Present,NA
152,X-Mansion,Present,NA
152,"Grimalkin** Lane, Upstate New York,",Present,NA
152,X-Mansion,Present,NA
153,X-Mansion,Present,NA
153,Caliphate of Nhu Yorkh*,Present**,*Fictional location used in Fairy Tale told by  Kitty's Pryde **Time that Kitty's fairy tale  takes place is unspecified but she is telling story in present times
153,Docks of Nhu Yorkh*,Present**,*Fictional location used in Fairy Tale told by  Kitty's Pryde **Time that Kitty's fairy tale  takes place is unspecified but she is telling story in present times
153,Island in unspecified fictional area*,Present**,*Fictional location used in Fairy Tale told by  Kitty's Pryde **Time that Kitty's fairy tale  takes place is unspecified but she is telling story in present times
153,X-Mansion,Present,NA
153,Island is unspecified fictional area*,Present**,*Fictional location used in Fairy Tale told by  Kitty's Pryde **Time that Kitty's fairy tale  takes place is unspecified but she is telling story in present times
153,X-Mansion,Present,NA
153,Island in unspecified fictional area*,Present**,*Fictional location used in Fairy Tale told by  Kitty's Pryde **Time that Kitty's fairy tale  takes place is unspecified but she is telling story in present times
153,"Over unspecified ocean, in Fictional area*",Present**,*Fictional location used in Fairy Tale told by  Kitty's Pryde **Time that Kitty's fairy tale  takes place is unspecified but she is telling story in present times
153,"Castle, unspecified location, in Fictional area*",Present**,*Fictional location used in Fairy Tale told by  Kitty's Pryde **Time that Kitty's fairy tale  takes place is unspecified but she is telling story in present times
153,X-Mansion,Present,NA
154,Danger Room,Present,NA
154,"Spaceship, Space",Present,NA
154,"Caribbean Island, Bermuda Triangle",Present,NA
154,"Spaceship, Space",Present,NA
154,X-Mansion,Present,NA
154,"Plane off South Cape Yakataga, Alaska",Present,NA
154,"Starjammers ship, Space",Past,NA
154,X-Mansion,Present,NA
154,Blackbird above X-Mansion,Present,NA
154,"F.A.A Regional Air Traffic Control Center, Long Island,  U.S.A",Present,NA
154,"Blackbird, Below Manhattan's Risborough Bridge",Present,NA
154,"Black Bird above, East River, New York, U.S.A",Present,NA
154,Black Bird throughout New York City,Present,NA
154,"Shi'ar planet, Space",Present,NA
155,"Blackbird, On route to unspecified location",Present,NA
155,"Shi'ar Dreadnought, Space",Present,NA
155,"Avengers Mansion, 5th Avenue, New York, U.S.A",Present,NA
155,Shi'ar Flagship,Present,NA
155,"Madison Avenue, New York, USA",Present,NA
156,"Madison Avenue, New York, USA",Present,NA
156,"F.A.A Regional Air Traffic Control Center New York, USA",Present,NA
156,"Madison Avenue, New York, USA",Present,NA
156,"Starjammers ship, Space",Present,NA
156,"Shi'ar Flagship, space",Present,NA
156,"Deathbird ship, space",Present,NA
156,"Star jammer's ship, Space",Present,NA
156,Plane off South Cape Yakataga,Past,NA
156,Shi'ar Imperial Throneworld,Past,NA
156,"Clanship of brood, space",Present,NA
156,"Starjammer Ship, space",Present,NA
157,"Starjammer Ship, Space",Present,NA
157,"Shi'ar Flagship, Space",Present,NA
157,"Starjammer Ship, Space",Present,NA
157,Clanship of Brood,Present,NA
157,"Shi'ar Flagship, Space",Present,NA
158,Caribbean Island. Bermuda Triangle,Present,NA
158,"Rio Diablo Mountain Range, Northern California",Present,NA
158,"Pentagon, Washington, D.C, U.S.A",Present,NA
158,San Francisco,Past,NA
158,"Pentagon, Washington, D.C, U.S.A",Present,NA
159,"Misty Knight's Apartment, New York, USA",Present,NA
159,"Rio Diablo Mountain Range, Northern California",Present,NA
159,"Misty Knight's Apartment, New York, USA",Present,NA
159,"St. Vincent's Hospital, New York, U.S.A",Present,NA
159,"Washington Square, New York",Present,NA
159,Central Park,Present,NA
159,"Washington Square, New York",Present,NA
159,"Greenwich Village, New York",Present,NA
159,"Caribbean Island, Bermuda Triangle",Present,NA
160,"Belasco's residence, unknown mystical location*",Unknown time,*Caption states somewhere else! Somewhen else!
160,"Caribbean Island, Bermuda Triangle",Present,NA
160,"Belasco's residence, unknown mystical location*",Unknown time*,*Caption states to be outside space and time
160,"Caribbean Island, Bermuda Triangle",Present,NA
161,"Caribbean Island, Bermuda triangle",Present,NA
161,"Haifa, Israel",Past,NA
161,"Hospital, Haifa, Israel",Past,NA
161,Hydra base near Kenya's Lake Rudolf,Past,NA
161,"Hospital, Haifa, Israel",Past,NA
161,"Z'ree Shar, Shi'ar yacht, space",Present,NA
162,"Jungle, Alien planet",Present,NA
162,"Mountain, Japan",Past,NA
162,"Jungle, Alien planet",Present,NA
162,"Z'ree Shar, Shi'ar yacht, Space",Past,NA
162,"Jungle, Alien planet, Space",Past,NA
162,"Jungle, Alien planet, Space",Present,NA
163,"Jungle, Alien Planet, Space",Present,NA
163,X-Mansion,Present,NA
163,"Jungle, Brood home world, space",Present,NA
