issue,cover_artist,narrative_captions,characters_visualized,characters_speaking,dialog_text
108,John Byrne,Armageddon Now!,"Storm
Nightcrawler
Colossus
Banshee
Cyclops",NA,NA
109,John Byrne,Wanted: Wolverine dead or alive!,"Wolverine
Colossus
Storm
Banshee
Weapon Alpha",Weapon Alpha,"Weapon Alpha: ""You can't stop me, X-Men! Weapon Alpha always gets his man!"""
110,"Dave Cockrum
Tony Dezuniga",NA,"Storm
Cyclops
Colossus
Banshee
Warhawk",Warhawk,"Warhawk: ""The name is Warhawk mutants...""
Warhawk: ""--And I'm going to slay you with your own danger room!"""
111,Dave Cockrum,**TODO: check this cover. Circus banners = narrative captions?,"Storm
Nightcrawler
Colossus
Wolverine
Circus Leader ",Circus Leader*,"Circus Leader: ""Step right up, ladies and gents--""
Circus Leader: ""-- see the strangest show on earth!""
Circus Leader: ""Once they were a mighty super-team -- now they are mere performing freaks!"""
112,George Perez,Magneto Triumphant!,"Storm
Colossus
Wolverine
Magneto",NA,NA
113,John Byrne,Holocaust at the heart of a volcano -- when falls Magneto!,"Jean Grey
Storm
Colossus
Nightcrawler
Cyclops
Banshee
Wolverine
Magneto",NA,NA
114,John Byrne,The day the X-Men Died!,"Jean Grey
Beast
Professor Xavier
Banshee 
Nightcrawler 
Storm 
Cyclops 
Colossus 
Wolverine ",NA,NA
115,John Byrne,Enter: Sauron!,"Storm
Wolverine
Cyclops
Colossus
Nightcrawler
Sauron",NA,NA
116,John Byrne,To save the Savage Land!,"Colossus
Banshee
Sun God",NA,NA
117,Dave Cockrum,The Saga of Professor X! A new beginning -- and the end?!,"Storm
Cyclops
Nightcrawler
Professor X
Amahl Farouk",NA,NA
118,Dave Cockrum,Side-by-side with Sun-Fire!,"Storm
Cyclops
Colossus
Nightcrawler
Sunfire",NA,NA
119,Dave Cockrum,Make way for Moses Magnum!,"Storm
Cyclops
Colossus
Nightcrawler
Sunfire
Banshee
Wolverine
Moses Magnum",NA,NA
120,Bob Budiansky,Chaos in Canada!,"Storm
Cyclops
Colossus
Nightcrawler
Banshee
Wolverine",NA,NA
121,uncredited,"The X-Men battle to save wolverine from Canada's fighting-mad superheroes!*
Alpha Flight Attacks!","Alpha Flight Members
Storm
Cyclops
Colossus",NA,NA
122,uncredited,The trial of Colossus!,"Cyclops
Colossus
Wolverine",NA,NA
123,uncredited,Guest-starring the Amazing Spider-man!,"Storm
Cyclops
Colossus
Banshee
Nightcrawler
Wolverine
Spider-man",NA,NA
124,John Byrne,He was one of the X-Men-- now he's the power-mad Proletarian!,"Storm
Colossus/Proletarian
Cyclops",Cyclops,Don't you understand Colossus? We're your friends!
125,uncredited,"The Dramtic Return of Phoenix! The perils of the danger room! The mystery of Muir Island!
--All this and more! (We guarantee it!)","Storm
Colossus
Jean Grey
Lorna Dane/Polaris
Jamie Madrox
Alex Summers/Havok",NA,NA
126,John Byrne,In search of mutant X,"Storm
Wolverine
Cyclops
Colossus
Nightcrawler
",NA,NA
127,John Byrne,The Power of Proteus the deadliest mutsnt alive,"Storm
Cyclops
Nightcrawler
Proteus
Wolverine",NA,NA
128,uncredited,The day reality went wild!,"Storm
Cyclops
Colossus
Nightcrawler
Banshee
Moira MacTaggart
Polaris/Lorna Dane
Jean Grey
Wolverine",NA,NA
129,John Byrne,Save us from the knights of hellfire!,"Storm
Wolverine
Colossus",NA,NA
130,uncredited,The dramatic debut of the Dazzler!,"Jean Grey
Dazzler
Nightcrawler
Cyclops",NA,NA
131,John Byrne,Prisoners of the White Queen!,"Emma Frost/White Queen
Colossus
Cyclops
Nightcrawler
Kitty Pryde
Wolverine
Storm
Wolverine
Hellfire Club soilder x3",NA,NA
132,John Byrne,NA,"Sebastian Shaw
Harry Leland
Donald Pierce
Jason Wyngarde
Storm
Colossus
Cyclops
Nightcrawler",Sebastian Shaw,She's the last one! The Hellfire Club has defeated the X-men!
133,John Byrne,All of the X-Men have fallen before the might of the Hellfire Club-- all except one! Wolverine lashes out!,"Wolverine
Hellfire Club Soldier x 6",NA,NA
134,John Byrne,"The Hellfire Club has transformed Phoenix into their Black Queen! Are the X-Men too late to save her?-- Ot themselves?! Heroes
and Hellfire","Jean Grey/Black Queen
Harry Leland
Sebastain Shaw
Jason Wyngarde
Storm
Colossus
Cyclops
Nightcrawler",NA,NA
135,John Byrne,Defeated by Dark Phoenix!,"Jean Grey/Dark Phoenix
Storm
Colossus
Cyclops
Wolverine
Nightcrawler",NA,NA
136,John Byrne,"Child of Darkness and Light! The Final Phase of the  Phoenix! Don't miss this special issues containing more shocks and surprised 
than ever before!","Jean Grey
Storm
Colossus
Nightcrawler
Cyclops
Professor X
Elaine Grey
John Grey",NA,NA
137,John Byrne,Phoenix must die!,"Colossus
Jean Grey/Marvel Girl",NA,NA
138,John Byrne,All new! Exit Cyclops!,"Professor X
Storm
Colossus
Nightcrawler
Cyclops
Angel
Wolverine
Beast
Iceman",NA,NA
139,John Byrne,"Welcome to the X-Men, Kitty Pryde hope you survive the experience!","Kitty Pryde
Storm
Colossus
Nightcrawler
Wolverine
Angel
Snowbird
Danger room training robot",NA,NA
140,John Byrne,Fist to fist with the davage fury of Wen-di-go!,"Baby Parnall
Mrs. Parnall
Nightcrawler
Wolverine
Vindicator/James MacDonald Hudson
Snowbird
Wendigo",NA,NA
141,John Byrne,NA,"Wolverine
Kitty Pryde
Storm
Colossus
Cyclops
Nightcrawler
Angel
Beast
Banshee
Magneto",NA,NA
142,Terry Austin,This issue: Everybody dies!,"Wolverine
Sentinal
Storm",NA,NA
143,uncredited,…Guess what just came down the chimney!,"Kitty Pryde
M'Garai",NA,NA
144,Brent Anderson,Cry… D'Spayre! Guest starring the macabre Man-Thing!,"Cyclops
Man-Thing
D'Spayre",NA,NA
145,Dave Cockrum,NA,"Storm
Colossus
Wolverine
Nightcrawler
Angel
Dr.Doom",NA,NA
146,Dave Cockrum,vs. Muderworld! Guess who wins?,"Polaris
Iceman
Havok
Banshee
Arcade",NA,NA
147,Dave Cockrum,We did it before… Dare we do it again? Rogue Storm!,"Storm
Colossus
Nightcrawler
Angel
Dr.Doom
Wolverine",NA,NA
148,Dave Cockrum,Dazzler and Spider-woman to the rescue when Kitty falls-- to the Shadow of Death!,"Storm
Kitty Pryde
Spider-Woman
Dazzler
Caliban",NA,NA
149,Dave Cockrum,And the dead shall bury the living!,"Wolverine
Colossus
Storm
Kitty Pryde
Nightcrawler
Garokk",NA,NA
150,Dave Cockrum,vs.Magento! 'Nuiff said!,"Cyclops
Magneto
Storm
Kitty Pryde",NA,NA
151,Dave Cockrum,The day Kitty Pryde leaves the X-Men is the day the X-Men fall!!,"Colossus
Wolverine
Proffessor X
Storm
Cyclops
Nightcrawler
Kitty Pryde",NA,NA
152,Bob Mcleod,NA,"Storm
Nightcrawler
Wolverine
Profesor X
Kitty Pryde
Colossus
Cyclops
Emma Frost",NA,NA
153,Dave Cockrum,NA,"Kitty Pryde/Pirate Kitty
Nightcrawler/Bamf
Colossus
Wolverine/A fiend with no name
Storm/The Genie
Lockheed the Dragon
Jean Grey/ the Enchanted Princess",Kitty Pryde,And now for something completely different!
154,Dave Cockrum,NA,"Storm
Cyclops
Wolverine
Christopher Summers/Corsair",NA,NA
155,Dave Cockrum,NA,"Colossus
Cyclops
Wolverine
Storm
Christopher Summers/Corsair
Tigra",NA,NA
156,Dave Cockrum,NA,"Starjammers (all)
Cyclops
Storm",NA,NA
157,Dave Cockrum,NA,"Dark Phoenix
Admiral Lod Samedar
Lilandra
Gladiator
Starbolt
Imperial guard/command members x5","Imperial Guard, Phoenoix","It's Phoenix! But she's dead!, Surely you know that a Phoenix dies -- only to be reborn again!"
158,Dave Cockrum,NA,"Wolverine
Storm
Rogue",NA,NA
159,Bill Sienkiewicz,NA,"Wolverine
Colossus
Nightcrawler
Kitty Pryde
Storm x2",NA,NA
160,Brent Anderson,NA,"Nightcralwer
Colossus
Storm
Kitty Pryde
Wolverine
Belasco",NA,NA
161,Dave Cockrum,NA,"Professor X
Magneto
Barron Von Strucker
Gabrielle Hailer
Hydra Soidier x 11",NA,NA
162,Dave Cockrum,NA,"Wolverine
Sleazoid",NA,NA
163,Dave Cockrum,NA,"Kitty Pryde
Sleazoid",NA,NA
164,Dave Cockrum,NA,"Cyclops
Storm
Nightcrawler
Colossus
Carol Danvers
Polaris/Lorna Dane
Jean Grey
Wolverine",NA,NA
165,Paul Smith,NA,Storm,NA,NA
166,Paul Smith,NA,"Kitty Pryde
Lilandra
Colossus
Cyclops
Wolverine
Nightcrawler
Sleazoid",NA,NA
167,Paul Smith,NA,"Storm
Wolverine
Nightcrawler
Cyclops
Professor X
Kitty Pryde
Colossus",NA,NA
168,Paul Smith,NA,Kitty Pryde,NA,NA
169,Paul Smith,In a moment the X-xen will arrive… They'll be too late. This Angel Fallen,Angel,NA,NA
170,Paul Smith,NA,"Storm
Callisto",NA,NA
171,Walter Simonson,"Welcome to the X-Men, Rogue… Hope you survive the experience!","Colossus
Rogue
Nightcrawler
Storm
Nightcrawler
Kitty Pryde",NA,NA
172,Paul Smith,NA,"Wolverine
Mariko",NA,NA
173,Paul Smith,NA,"Wolverine
Rogue",NA,NA
174,Paul Smith,NA,"Cyclops
Madelyne Pryor
Jason Wyngarde",NA,NA
175,Paul Smith,NA,"Dark Phoenix
Storm
Kitty Pryde
Wolverine
Cyclops
Colossus
Rogue
Nightcrawler
Lockeed the dragon",NA,NA
176,John Romita,NA,"Cyclops
Squid",NA,NA
177,John Romita,NA,"Wolverine
Kitty Pryde",NA,NA
178,John Romita,NA,"Storm
Nightcrawler
Wolverine
Blob
Pyro
Avalanche
Ms. Sefton",NA,NA
179,John Romita,NA,"Kitty Pryde
Caliban",NA,NA
180,John Romita,NA,"Kitty Pryde
Storm",NA,NA
181,John Romita,NA,"Storm
Colossus
Wolverine
Rogue
Nightcrewler
Kittty Pryde
Lockeed the Dragon
The Dragon
Magneto",NA,NA
182,John Romita,NA,"Rogue
international espinonage law enforcement agents x4",NA,NA
183,John Romita,NA,"Colossus
Juggernaut
Nightcrawler
Wolverine",NA,NA
184,John Romita,NA,"Rachel Summers
Professor X
Selene",NA,NA
185,John Romita,Rogue: Public Enemy!,"Rachel Summers
Storm",NA,NA
186,Barry Windsor-Smith,Lifedeath a love story,"Storm
Forge",NA,NA
187,John Romita,NA,"Storm
Colossus
Rogue
Pterodactyl x6
Dire Wraith x 5
Hellhound",NA,NA
188,John Romita,NA,"Storm
Nightcrawler
Colossus
Rachel Summers
Rogue",NA,NA
189,John Romita,NA,"Lady Selene
Sebastain Shaw 
Amara Juliana Olivians Aquilla",NA,NA
190,John Romita,Plus guest-stars Spider-Man and the Avengers!,"Professor X
Kulan Garth
Caliban",Kulan Garth,"Scream, Xavier, Scream! Through you I shall rule the X-Men and the world!"
191,John Romita,NA,"Various Marvel Characters
Colossus
Vision",NA,NA
192,John Romita,NA,"Nightcralwer
Rogue
Colossus
Warlock",NA,NA
193,John Romita,Gala 100th anniversary issue of the all-new-all different X-Men!,"Wolverine
Rogue
Nightcrawler
Thunderbird
Firestarm 
Kitty Pryde
Collosus
Empath
Rouletter
Hellhound",NA,NA
194,John Romita,NA,"Nightcralwer
Juggernaut
Nimrod",NA,NA
195,Bill Sienkiewicz,NA,"Wolverine
Power Pack Members(Julie, Jack, Katie, Alex)",NA,NA
196,John Romita,NA,"Wolverine
Rachel Summers
Kitty Pryde 
Unnamed woman",NA,NA
197,John Romita,NA,"Storm
Rogue
Collosus
Kitty Pryde
Cyclops
Nightcrawler
Wolverine
Doctor Doom",NA,NA
198,Barry Windsor-Smith,Life-death II,Storm,NA,NA
199,John Romita,Born Agin,Rachel Summers,NA,NA
200,John Romita,Double sized issue!,"Colossus
Rogue
Cyclops
Wolverime
Magneto
Fenris (Andreas
Kitty Pryde
",NA,NA
201,Rick Leonardi,Who will lead them?,"Storm
Cyclops",NA,NA
202,John Romita,NA,"Colossus
Rogue
Magneto
Wolverine
Storm
Kitty Pryde
Sentinal x2",NA,NA
203,John Romita,Pheonix cersus the Beyonder! The Universe isn't big enough for both of them!,"Rachel Summers
Beyonder",NA,NA
204,june Brigman,Lights…Camera…Murder!,"Nightcralwer
Judith Rassendyll
Arcade goon x3",NA,NA
205,Barry Windsor-Smith,NA,Wolverine,NA,NA
206,John Romita,NA,"Colossus
Blob
Kitty Pryde
Storm
Rachel Summers
Rogue",NA,NA
207,John Romita,NA,Wolverine,NA,NA
208,John Romita,NA,"Colossus
Rogue
Storm
Nightcrawler
Kitty Pryde
Wolverine
Friedrich Von Rohm
Selene
Harry Leland
Sebastin Shaw",NA,NA
209,John Romita,NA,"Colossus
Nimrod",NA,NA
210,John Romita,C'mon mess with us-- make our day!!,"Wolverine
Storm
Rogue
Nightcrawler
Rogue
Kitty Pryde
Colossus",NA,NA
211,uncredited,NA,"Wolverine
Venom
Hulk
Iron Man
Captain Marvel (Monica Rambeua)
Doctor Strange
Namor
Captain America
Kitty Pryde
Rogue
Wolverine
Colossus
Storm
Rachel Summers
Nightcrawler
Iceman
Jean Grey
Cyclops
Angel
Ant-man (Hank)
Scarlet Witch
Vision
Hawkeye
Luke Cage
She-Hulk
Invisble Woman
Mr.Fantastic
Human Torch
Thor
Thing",NA,NA
212,Barry Windsor-Smith,Wolverine vs. Sabertooth Round 1,Wolverine,NA,NA
213,Alan Davis,NA,"Wolverine
Sabertooth",NA,NA
214,Authur Adams,NA,"Storm
Malice",NA,NA
215,Alan Davis,Introducing -- Stonewall! Super Sabre! And Crimson Commando!,"Storm
Stonewall
Super Sabre
Crimson Commando",NA,NA
216,uncredited,NA,"Storm
Crimson Commando
Wolverine",NA,NA
217,uncredited,NA,"Juggernaut
Dazzler",NA,NA
218,Authur Adams,NA,"Rogue
Dazzler
Psylocke
Longshot",NA,NA
219,Bret Blevins,"Welcome to the X-Men, Havok -- -- Hope you survive!!","Storm
Rogue
Wolverine
Havok 
Magneto
Psylocke
Longshot
Dazzler",NA,NA
220,Marc Silvestri,NA,"Storm
Forge",Storm,Forge you coward! Show your face! I want my powers back -- --NOW!
221,Marc Sivestri,NA,"Wolverine
Havok",NA,NA
222,Marc Silvestri,NA,"Wolverine
Sabertooth",NA,NA
223,Marc Silvestri,NA,"Storm
Snake",NA,NA
224,Marc Silvestri,NA,"Havok
Longshot
Bay City Badland Boppers
Unamed kidnapped girl",NA,NA
225,Marc Silvestri,The fall of the mutants.,"Colossus
Rogue
Spiral
Mystique
Dazzler
Blob
Stonewall
Wolverine",NA,NA
226,Marc Silvestri,The Fall of the Mutants.,"Colossus
Wolverine
Cyclops
Storm
Havok
Psylocke
Dazzler
Rogue
Unsepecified face",NA,NA
227,Marc Silvestri,The Fall of the Mutants.,"Storn
Wolverine
Psylocke
Dazzler
Longshot
Rogue
Colossus
Havok",NA,NA
228,Rick Leonardi,In Memoriam,"Angel
Dazzler
Wolverine",NA,NA
229,Marc Silvestri,NA,"Storm
Colossus
Wolverine
Reavers (6 idenitable members and pile of robotic parts)",NA,NA
230,Marc Silvestri,NA,"Longshot
Spirit-voices x6",NA,NA
231,Rick Leonardi,NA,"Colossus
Rachel Summers
Magik/Illyana Rasputin
S'ym
Havok",NA,NA
232,Marc Silvestri,The Brood is back!,Sleazoid,NA,NA
233,Marc Silvestri,NA,"Colossus
Sleazoid x2",NA,NA
234,Marc Silvestri,NA,Wolverine,NA,NA
235,Rick Leonardi,NA,"Colossus
Wolverine
Rogue
Storm
Havok
Dazzler
Longshot
Rsylocke
Storm Troops x7",NA,NA
236,Marc Silvestri,Magistrates: 2 Mutants: 0,"Wolverine
Magistrates x2
Rogue",NA,NA
237,Rick Leonardi,All aboard the mutant train,"Wolverine
Rogue",NA,NA
238,Marc Silvestri,NA,"Storm
Rogue
Colossus
Rogue
Storm
Havok
Psylocke
Longshot
Dazzler
Wolverine
Magistrates x 5",NA,NA
239,Marc Silvestri,Sinister schemes … ….ignite inferno,"Madelyne Pryor
Havok
Mr.Sinister",NA,NA
240,Marc Silvestri,N'astirh! Mr.Sinister! The Goblin Queen! The Marauders! This one's got it all!,"Mr.Sinister
Madelyn Prior
Goblin Queen
Sabretooth
Polaris
Scrambler
Arclight
Vertigo
Harpoom
Scalphunter",NA,NA
241,Marc Silvestri,At last! The startling secret of Madelyne Pryor! A son for the Goblin Queen!,"Madelyn Pryoe
Demon x2
Goblin Queen
Baby Pryor-Summers",NA,NA
242,Marc Silvestri,Giant-sized spectacular! Finally! Because you demanded it -- The originals are back .. X0Factor,"Storm
Havok
Wolverine
Angel
Beast
Cyclops
Jean Grey
Iceman",NA,NA
243,Marc Silvestri,Sinister triumphant!,"Colossus
Storm
Jean Grey
Cyclops
Beast
Longshot
Wolverine
Iceman
Havok
Mr.Sinister",NA,NA
244,Marc Silvestri,Who are they? What are they? Hey-- Buy the book!,"Storm
Rogue
Psylocke
Dazzler
4 members of M-Squad
","Psylocke,Dazzler, Storm","""No! We'vd survived inferno.."" ""Beaten feeedom force, the Sentinels and Magneto"" ""But how do we beat ""gasp"" the M squad!"""
245,Rob Liefeld,NA,"Colossus
Havok
Longshot
Wolverine","Colossus, Wolverine","""Ulp! We're surrounded bu hostile Aliens!"""" Be a shame if something BAD happens to my noce new jacket!"""
246,Marc Silvestri,Enter-- the Mastermold!,"Rogue
Psylocke
Sentinal",NA,NA
247,Marc Silvestri,Witness the fearful fate of an X-Man! What price victory?,"Havok
Dazzler
Rogue
Sentinal",NA,NA
248,Jim Lee,NA,"Havok
Colossus
Psylocke
Storm",Colossus,Why Havok?  Why did you KilLL Storm!?
249,Marc Silvestri,NA,"Havok
Polaris
Amphibus
Punta Arenas Citizens x 4",NA,NA
250,Marc Silvestri,Guest-Starring Ka-Zar! Polaris No More!,"Polaris
Zaladane",NA,NA
251,Marc Silvestri,NA,Wolverine,NA,NA
252,Jim Lee,NA,"Donald Pierce
Lady Deathstrike
Bone Breaker
Hunter-Killers x 3",NA,NA
253,Marc Silvestri,Featuring -- Magnrto's journey to Muir Islaand!-- --And Bashee's Resue of Lorna Dane! --The return of Forge! -- The esacpe of Jubille and Wolverine!,"Magneto
Moira MacTaggart
Banshee
Polaris
Forge
Jubilee
Wolverine
Storm",NA,NA
254,Jim Lee,To save the dream -- A new legend is born!,"Banshee
Moira MacTaggart
Sunder
Legion
Amanda
Forge",NA,NA
255,Marc Silvestri,O bitter victiry guest starring Freedom Force,"Banshee
Mystique
Forge
Irene",NA,NA
256,Jim Lee,Mandarin has a new assasin and Pasylocke is her name!,"Mandarin
Psylocke",NA,NA
257,Jim Lee,NA,"Psylocke
Wolverine",NA,NA
258,Jim Lee,NA,"Wolverine
Madarin?",NA,NA
259,Marc Silvestri,Colossus unleahed against the Genoshans,"Colossus
Genoshans x 67
Jenny
Phillip?",NA,NA
260,Jim Lee,NA,"Dazzlerr x9
Eric Beale",Eric Beale,"I love you, Dazzler… ..To Death!"
261,Jim Lee,The ferocious interduction of Haracase and the Harriers!,"Wolverine
Psylocke
Jubilee
Hard case
Blindside",NA,NA
262,Kieron Dwyer,NA,"Banshee
Forge
Jean Grey",NA,NA
263,Bill Jaaska,The agony of Forge!,Forge,NA,NA
264,uncredited,Storm at the mercy of Hounds!,"Beast
Forge
Jean Grey
Magistates x7
Punchout",NA,NA
265,Andy Kubert,NA,"Storm
Hounds x3
Unidentiable person",NA,NA
266,Andy Kubert,Enter the mutant called Gambit!,"Storm
Gambit",NA,NA
267,Whilce Portacio,Gambit's in Trouble-- but there's a Storm on the Horizon!,"Storm
Lian Shen
Hounds x3
Gambit",NA,NA
268,Jim Lee,Wolverine - Captain America- Black Widow- together again - for the first time!,"Captain America
Wolverine
Black Widow",NA,NA
269,Jim Lee,She's back - Rogue vs. the original Ms Marvel! Guess who wins!,"Magneto
Ms.Marvel
Rogue",NA,NA
270,Jim Lee,X-Tinction Agenda Part 1 First Strike,"Havok
Storm
Boom-Boom
Magistrates x2",NA,NA
271,Jim Lee,X-Tinction Agenda part 4,"Wolverine
Psylocke
Storm
Hodge",NA,NA
272,Jim Lee,X-Tinction Agenda part 7,"Storm
Archngel
Wolverine
Cable",NA,NA
273,Jim Lee,NA,"Cable
Banshee
Jean Grey
Gambit
Cyclops
Archangel
Wolverine
Storm
Psylocke
Jubilee
Cannonball
Lila Cheney",Lila Cheney,Follow me. X-Men -- or Professor X Dies!
274,Jim Lee,NA,"Rogue
Magneto
Nick Fury
Ka-Zar",NA,NA
275,Jim Lee,NA,"Psylocke
Wolverine
Forge
Professor X",NA,NA
276,Jim Lee,Execution,"Wolverine
Professor X",NA,NA
277,Jim Lee,NA,"Wolverine
Gambit",NA,NA
278,Paul Smith,In the grip of the Shadown King!,"Rogue
Guido",NA,NA
279,Andy Kubert,The Muir Island Saga   Because you demanded it-- Colossus is back! So why is he trying to kill Professor X?,"Colossus
Professor X
Stevie",NA,NA
280,Jim Lee,Pyrrhic Victory!,"Colossus
Jean Grey
Cyclops
Professor X
Rogue
Wolverine",NA,NA
