tag,JD,launch_date,launch_year,type,variant,mission,agency,state_code,category,agency_type
1979-050,2444031.27,1979-06-06,1979,Thor DSV-2U,,DMSP Block 5D S-5,US,US,O,state
1998-032,2450951.39,1998-05-17,1998,Delta 7920-10C,,Iridium SV070,US,US,O,state
1998-035,2450974.52,1998-06-10,1998,Delta 7925-9.5,,Thor 3,US,US,O,state
1998-051,2451065.38,1998-09-08,1998,Delta 7920-10C,,Iridium SV082,US,US,O,state
1998-061,2451111.01,1998-10-24,1998,Delta 7326-9.5,,Deep Space 1,US,US,O,state
1998-066,2451124.07,1998-11-06,1998,Delta 7920-10C,,Iridium SV087,US,US,O,state
1998-068,2451140.5,1998-11-22,1998,Delta 7925-9.5,,BONUM-1,US,US,O,state
1998-073,2451159.28,1998-12-11,1998,Delta 7425-9.5,,MCO,US,US,O,state
1999-001,2451182.35,1999-01-03,1999,Delta 7425-9.5,,MPL,US,US,O,state
1999-003,2451217.38,1999-02-07,1999,Delta 7426-9.5,,Stardust,US,US,O,state
1999-008,2451232.94,1999-02-23,1999,Delta 7920-10,,P91-1,US,US,O,state
1999-020,2451284.27,1999-04-15,1999,Delta 7920-10,,Landsat 7,US,US,O,state
1999-024,2451303.54,1999-05-05,1999,Delta 8930,,Orion 3,US,US,O,state
1999-031,2451340.08,1999-06-10,1999,Delta 7420-10C,,Globalstar M025,US,US,O,state
1999-035,2451354.16,1999-06-24,1999,Delta 7320-10,,Far UV Spec. Explorer,US,US,O,state
1999-037,2451369.87,1999-07-10,1999,Delta 7420-10C,,Globalstar M035,US,US,O,state
1999-041,2451384.82,1999-07-25,1999,Delta 7420-10C,,Globalstar M048,US,US,O,state
1999-043,2451407.69,1999-08-17,1999,Delta 7420-10C,,Globalstar M024,US,US,O,state
1999-055,2451459.04,1999-10-07,1999,Delta 7925-9.5,,Navstar GPS SVN 46,US,US,O,state
2000-008,2451583.39,2000-02-08,2000,Delta 7420-10C,,Globalstar 63,US,US,O,state
1998-F03,2451052.55,1998-08-27,1998,Delta 8930,,Galaxy X,US,US,F,state
1999-017,2451278.21,1999-04-09,1999,Titan 402B/IUS,,DSP 19?,US,US,O,state
1999-023,2451299.19,1999-04-30,1999,Titan 401B/Centaur,,Milstar DFS-3,US,US,O,state
1998-030,2450947.16,1998-05-13,1998,Titan II SLV,,NOAA K,US,US,O,state
1998-F02,2451037.98,1998-08-12,1998,Titan 401A/Centaur,,MERCURY 3,US,US,F,state
1958 ALP,2436235.66,1958-02-01,1958,Jupiter C,JunoI,Explorer 1,US,US,O,state
1958 GAM,2436289.23,1958-03-26,1958,Jupiter C,JunoI,Explorer 3,US,US,O,state
1958 EPS,2436411.13,1958-07-26,1958,Jupiter C,JunoI,Explorer 4,US,US,O,state
1958-F02,2436268.27,1958-03-05,1958,Jupiter C,JunoI,Explorer 2,US,US,F,state
1958-F11,2436439.76,1958-08-24,1958,Jupiter C,JunoI,Explorer 5,US,US,F,state
1958-F18,2436499.64,1958-10-23,1958,Jupiter C,JunoI,Beacon,US,US,F,state
1984-114,2446014.55,1984-11-10,1984,Ariane 3,,Spacenet F2,AE,F,O,private
1984-049,2445843.56,1984-05-23,1984,Ariane 1,,Spacenet F1,AE,F,O,private
1984-081,2445917.06,1984-08-04,1984,Ariane 3,,ECS 2,AE,F,O,private
1985-015,2446105.47,1985-02-08,1985,Ariane 3,,Arabsat 1A,AE,F,O,private
1985-035,2446193.55,1985-05-08,1985,Ariane 3,,Gstar 1A,AE,F,O,private
1985-056,2446248.97,1985-07-02,1985,Ariane 1,,Giotto,AE,F,O,private
1986-019,2446483.57,1986-02-22,1986,Ariane 1,,SPOT,AE,F,O,private
1986-026,2446518.48,1986-03-28,1986,Ariane 3,,Gstar 2,AE,F,O,private
1987-078,2447054.53,1987-09-16,1987,Ariane 3,,Aussat K3,AE,F,O,private
1987-095,2447120.6,1987-11-21,1987,Ariane 2,,TV-SAT,AE,F,O,private
1988-109,2447506.52,1988-12-11,1988,Ariane 44LP,44LP,Skynet 4B,AE,F,O,private
1988-018,2447232.48,1988-03-11,1988,Ariane 3,,Spacenet 3R,AE,F,O,private
1988-040,2447299.5,1988-05-17,1988,Ariane 2,,INTELSAT VA F13,AE,F,O,private
1988-051,2447327.97,1988-06-15,1988,Ariane 44LP,44LP,Meteosat P2,AE,F,O,private
1988-063,2447364.47,1988-07-21,1988,Ariane 3,,Insat 1C,AE,F,O,private
1988-081,2447413.46,1988-09-08,1988,Ariane 3,,Gstar 3,AE,F,O,private
1988-098,2447462.6,1988-10-28,1988,Ariane 2,,TDF 1,AE,F,O,private
1989-006,2447553.56,1989-01-27,1989,Ariane 2,,INTELSAT VA F15,AE,F,O,private
1989-020,2447592.48,1989-03-06,1989,Ariane 44LP,44LP,JCSAT 1,AE,F,O,private
1989-027,2447618.6,1989-04-02,1989,Ariane 2,,Tele-X,AE,F,O,private
1989-041,2447683.44,1989-06-05,1989,Ariane 44L,44L,Superbird A,AE,F,O,private
1989-053,2447719.51,1989-07-12,1989,Ariane 3,,Olympus,AE,F,O,private
1989-062,2447747.48,1989-08-08,1989,Ariane 44LP,44LP,TV-SAT 2,AE,F,O,private
1989-087,2447827.46,1989-10-27,1989,Ariane 44L,44L,INTELSAT VI F-2,AE,F,O,private
1990-100,2448216.47,1990-11-20,1990,Ariane 42P,42P,Satcom C1,AE,F,O,private
1990-005,2447913.57,1990-01-22,1990,Ariane 40,40,SPOT 2,AE,F,O,private
1990-063,2448097.43,1990-07-24,1990,Ariane 44L,44L,TDF 2,AE,F,O,private
1990-079,2448134.45,1990-08-30,1990,Ariane 44LP,44LP,Skynet 4C,AE,F,O,private
1990-091,2448177.46,1990-10-12,1990,Ariane 44L,44L,SBS 6,AE,F,O,private
1991-003,2448272.47,1991-01-15,1991,Ariane 44L,44L,Italsat 1,AE,F,O,private
1991-015,2448318.48,1991-03-02,1991,Ariane 44LP,44LP,Astra 1B,AE,F,O,private
1991-026,2448351.48,1991-04-04,1991,Ariane 44P,44P,Anik E2,AE,F,O,private
1991-050,2448454.57,1991-07-17,1991,Ariane 40,40,ERS-1,AE,F,O,private
1991-055,2448483.47,1991-08-14,1991,Ariane 44L,44L,INTELSAT VI F-5,AE,F,O,private
1991-067,2448526.49,1991-09-26,1991,Ariane 44P,44P,Anik E1,AE,F,O,private
1991-075,2448559.46,1991-10-29,1991,Ariane 44L,44L,INTELSAT VI F-1,AE,F,O,private
1991-084,2448607.47,1991-12-16,1991,Ariane 44L,44L,Telecom 2A,AE,F,O,private
1992-010,2448679.5,1992-02-26,1992,Ariane 44L,44L,Superbird B1,AE,F,O,private
1992-021,2448728.48,1992-04-15,1992,Ariane 44L,44L+,Telecom 2B,AE,F,O,private
1992-041,2448813.45,1992-07-09,1992,Ariane 44L,44L,Insat 2A,AE,F,O,private
1992-052,2448845.46,1992-08-10,1992,Ariane 42P,42P,Topex-Poseidon,AE,F,O,private
1992-060,2448876.46,1992-09-10,1992,Ariane 44LP,44LP+,Hispasat 1A,AE,F,O,private
1992-072,2448923.51,1992-10-28,1992,Ariane 42P,42P+,Galaxy VII,AE,F,O,private
1992-084,2448958.45,1992-12-01,1992,Ariane 42P,42P+,Superbird A1,AE,F,O,private
1993-031,2449119.54,1993-05-12,1993,Ariane 42L,42L,Astra 1C,AE,F,O,private
1993-039,2449163.51,1993-06-25,1993,Ariane 42P,42P+,Galaxy IVH,AE,F,O,private
1993-048,2449191.46,1993-07-22,1993,Ariane 44L,44L+,Hispasat 1B,AE,F,O,private
1993-061,2449256.57,1993-09-26,1993,Ariane 40,40,SPOT 3,AE,F,O,private
1993-066,2449282.78,1993-10-22,1993,Ariane 44LP,44LP,INTELSAT 701,AE,F,O,private
1993-073,2449311.55,1993-11-20,1993,Ariane 44LP,44LP+,Solidaridad 1,AE,F,O,private
1993-078,2449339.56,1993-12-18,1993,Ariane 44L,44L+,DBS 1,AE,F,O,private
1994-034,2449520.8,1994-06-17,1994,Ariane 44LP,44LP+,INTELSAT 702,AE,F,O,private
1994-040,2449542.46,1994-07-08,1994,Ariane 44L,44L+,Panamsat K1,AE,F,O,private
1994-049,2449575.46,1994-08-10,1994,Ariane 44LP,44LP+,Brasilsat B1,AE,F,O,private
1994-058,2449604.52,1994-09-09,1994,Ariane 42L,42L+,Telstar 402,AE,F,O,private
1994-065,2449633.55,1994-10-08,1994,Ariane 44L,44L+,Solidaridad 2,AE,F,O,private
1994-070,2449657.53,1994-11-01,1994,Ariane 42P,42P+,Astra 1D,AE,F,O,private
1995-016,2449805.47,1995-03-28,1995,Ariane 44LP,44LP+,Brasilsat B2,AE,F,O,private
1995-021,2449828.57,1995-04-21,1995,Ariane 40,40+,ERS-2,AE,F,O,private
1995-023,2449854.77,1995-05-17,1995,Ariane 44LP,44LP-3,INTELSAT 706,AE,F,O,private
1995-029,2449878.52,1995-06-10,1995,Ariane 42P,42P-3,DBS 3,AE,F,O,private
1995-033,2449906.18,1995-07-07,1995,Ariane 40,40-3,Helios 1A,AE,F,O,private
1995-040,2449933.46,1995-08-03,1995,Ariane 42L,42L-3,Panamsat K3,AE,F,O,private
1995-044,2449958.78,1995-08-29,1995,Ariane 44P,44P-3,N-STAR a,AE,F,O,private
1995-049,2449984.5,1995-09-24,1995,Ariane 42L,42L-3,Telstar 402R,AE,F,O,private
1995-055,2450009.53,1995-10-19,1995,Ariane 42L,42L-3,Astra 1E,AE,F,O,private
1995-062,2450038.56,1995-11-17,1995,Ariane 44P,44P-3,ISO,AE,F,O,private
1995-067,2450058.47,1995-12-06,1995,Ariane 44L,44L-3,Telecom 2C,AE,F,O,private
1996-002,2450095.47,1996-01-12,1996,Ariane 44L,44L-3,Panamsat K4,AE,F,O,private
1996-007,2450118.81,1996-02-05,1996,Ariane 44P,44P-3,N-Star b,AE,F,O,private
1996-015,2450156.8,1996-03-14,1996,Ariane 44LP,44LP-3,INTELSAT 707,AE,F,O,private
1996-022,2450194.44,1996-04-20,1996,Ariane 42P,42P-3,MSAT-1,AE,F,O,private
1996-030,2450219.58,1996-05-16,1996,Ariane 44L,44L-3,Palapa C2,AE,F,O,private
1996-035,2450249.79,1996-06-15,1996,Ariane 44P,44P-3,INTELSAT 709,AE,F,O,private
1996-040,2450274.43,1996-07-09,1996,Ariane 44L,44L-3,Arabsat 2A,AE,F,O,private
1996-044,2450304.45,1996-08-08,1996,Ariane 44L,44L-3,Italsat F2,AE,F,O,private
1996-055,2450337.5,1996-09-11,1996,Ariane 42P,42P-3,Echostar II,AE,F,O,private
1996-063,2450401.44,1996-11-13,1996,Ariane 44L,44L-3,Arabsat 2B,AE,F,O,private
1997-002,2450479.42,1997-01-30,1997,Ariane 44L,44L-3,GE 2,AE,F,O,private
1997-009,2450508.55,1997-03-01,1997,Ariane 44P,44P-3,INTELSAT 801,AE,F,O,private
1997-016,2450555.46,1997-04-16,1997,Ariane 44LP,44LP-3,Thaicom 3,AE,F,O,private
1997-027,2450603.47,1997-06-03,1997,Ariane 44L,44L-3,INMARSAT III F4,AE,F,O,private
1997-031,2450625.49,1997-06-25,1997,Ariane 44P,44P-3,INTELSAT 802,AE,F,O,private
1997-040,2450668.78,1997-08-08,1997,Ariane 44P,44P-3,PAS 6,AE,F,O,private
1997-049,2450694.43,1997-09-02,1997,Ariane 44LP,44LP-3,Eutelsat HB3,AE,F,O,private
1997-053,2450715.5,1997-09-23,1997,Ariane 42L,42L-3,INTELSAT 803,AE,F,O,private
1997-071,2450765.41,1997-11-12,1997,Ariane 44L,44L-3,Sirius 2,AE,F,O,private
1997-075,2450785.45,1997-12-02,1997,Ariane 44P,44P-3,JCSAT 5,AE,F,O,private
1997-083,2450804.51,1997-12-22,1997,Ariane 42L,42L-3,INTELSAT 804,AE,F,O,private
1998-006,2450849.48,1998-02-04,1998,Ariane 44LP,44LP-3,Brasilsat B3,AE,F,O,private
1998-013,2450872.44,1998-02-27,1998,Ariane 42P,42P-3,Eutelsat HB4,AE,F,O,private
1998-017,2450896.57,1998-03-24,1998,Ariane 40,40-3,SPOT-4,AE,F,O,private
1998-024,2450932.45,1998-04-28,1998,Ariane 44P,44P-3,Nilesat 101,AE,F,O,private
1998-049,2451051.46,1998-08-25,1998,Ariane 44P,44P-3,Singapore-Taiwan 1,AE,F,O,private
1998-052,2451072.77,1998-09-16,1998,Ariane 44LP,44LP-3,PAS 7,AE,F,O,private
1998-056,2451092.45,1998-10-05,1998,Ariane 44L,44L-3,Eutelsat W2,AE,F,O,private
1998-059,2451108.19,1998-10-21,1998,Ariane 5G,,Maqsat-3,AE,F,O,private
1998-063,2451115.43,1998-10-28,1998,Ariane 44L,44L-3,Afristar,AE,F,O,private
1998-070,2451153.53,1998-12-06,1998,Ariane 42L,42L-3,Satmex 5,AE,F,O,private
1998-075,2451169.55,1998-12-22,1998,Ariane 42L,42L-3,PAS 6B,AE,F,O,private
1999-009,2451236.45,1999-02-26,1999,Ariane 44L,44L-3,Arabsat 3A,AE,F,O,private
1999-016,2451271.42,1999-04-02,1999,Ariane 42P,42P-3,Insat 2E,AE,F,O,private
1999-042,2451403.45,1999-08-12,1999,Ariane 42P,42P-3,Telkom 1,AE,F,O,private
1999-046,2451426.44,1999-09-04,1999,Ariane 42P,42P-3,Koreasat 3,AE,F,O,private
1999-052,2451446.77,1999-09-25,1999,Ariane 44LP,44LP-3,Telstar 7,AE,F,O,private
1999-059,2451470.77,1999-10-19,1999,Ariane 44LP,44LP-3,Orion 2,AE,F,O,private
1999-060,2451496.45,1999-11-13,1999,Ariane 44LP,44LP-3,GE 4,AE,F,O,private
1999-064,2451516.18,1999-12-03,1999,Ariane 40,40-3,Helios 1B,AE,F,O,private
1999-066,2451523.11,1999-12-10,1999,Ariane 5G,,XMM,AE,F,O,private
1999-071,2451534.53,1999-12-22,1999,Ariane 44L,44L-3,Galaxy 11,AE,F,O,private
2000-002,2451568.54,2000-01-25,2000,Ariane 42L,42L-3,Galaxy XR,AE,F,O,private
2000-012,2451592.54,2000-02-18,2000,Ariane 44LP,44LP-3,Superbird 4,AE,F,O,private
2000-016,2451625.48,2000-03-21,2000,Ariane 5G,,Asiastar,AE,F,O,private
2000-020,2451653.52,2000-04-19,2000,Ariane 42L,42L-3,Galaxy IVR,AE,F,O,private
2000-046,2451774.47,2000-08-17,2000,Ariane 44LP,44LP-3,Brasilsat B4,AE,F,O,private
2000-052,2451794.44,2000-09-06,2000,Ariane 44P,44P-3,Eutelsat W1,AE,F,O,private
2000-054,2451802.45,2000-09-14,2000,Ariane 5G,,Astra 2B,AE,F,O,private
2000-060,2451824.46,2000-10-06,2000,Ariane 42L,42L-3,Superbird 5,AE,F,O,private
2000-068,2451846.75,2000-10-29,2000,Ariane 44LP,44LP-3,EuropeStar FM1,AE,F,O,private
2000-072,2451864.55,2000-11-16,2000,Ariane 5G,,PAS 1R,AE,F,O,private
2000-076,2451870.5,2000-11-21,2000,Ariane 44L,44L-3,Anik F1,AE,F,O,private
2000-081,2451898.52,2000-12-20,2000,Ariane 5G,,Astra 2D,AE,F,O,private
2001-002,2451920.42,2001-01-10,2001,Ariane 44P,44P-3,Eurasiasat 1,AE,F,O,private
2001-005,2451948.46,2001-02-07,2001,Ariane 44L,44L-3,SICRAL 1A,AE,F,O,private
2001-011,2451977.45,2001-03-08,2001,Ariane 5G,,Eurobird,AE,F,O,private
2001-024,2452069.78,2001-06-09,2001,Ariane 44L,44L-3,IS-901,AE,F,O,private
2001-029,2452103.42,2001-07-12,2001,Ariane 5G,,Artemis,AE,F,O,private
2001-039,2452151.78,2001-08-30,2001,Ariane 44L,44L-3,INTELSAT 902,AE,F,O,private
2001-042,2452178.47,2001-09-25,2001,Ariane 44P,44P-3,Atlantic Bird 2,AE,F,O,private
2001-052,2452240.52,2001-11-27,2001,Ariane 44LP,44LP-3,DirecTV-4S,AE,F,O,private
2002-002,2452298.49,2002-01-23,2002,Ariane 42L,42L-3,Insat 3C,AE,F,O,private
2002-007,2452328.79,2002-02-23,2002,Ariane 44L,44L-3,INTELSAT 904,AE,F,O,private
2002-009,2452334.55,2002-03-01,2002,Ariane 5G,,Envisat PPF,AE,F,O,private
2002-015,2452362.56,2002-03-29,2002,Ariane 44L,44L-3,JCSAT-8,AE,F,O,private
2002-019,2452381.46,2002-04-16,2002,Ariane 44L,44L-3,NSS 7,AE,F,O,private
2002-021,2452398.56,2002-05-04,2002,Ariane 42P,42P-3,SPOT 5,AE,F,O,private
2002-027,2452430.78,2002-06-05,2002,Ariane 44L,44L-3,INTELSAT 905,AE,F,O,private
2002-035,2452461.47,2002-07-05,2002,Ariane 5G,,Stellat 5,AE,F,O,private
2002-040,2452515.45,2002-08-28,2002,Ariane 5G,,Atlantic Bird 1,AE,F,O,private
2002-041,2452523.78,2002-09-06,2002,Ariane 44L,44L-3,INTELSAT 906,AE,F,O,private
2002-057,2452626.46,2002-12-17,2002,Ariane 44L,44L-3,NSS 6,AE,F,O,private
2003-007,2452685.79,2003-02-15,2003,Ariane 44L,44L-3,INTELSAT 907,AE,F,O,private
2003-013,2452739.45,2003-04-09,2003,Ariane 5G,,Insat 3A,AE,F,O,private
2003-028,2452802.44,2003-06-11,2003,Ariane 5G,,BSAT-2c,AE,F,O,private
2003-043,2452910.47,2003-09-27,2003,Ariane 5G,,e-Bird,AE,F,O,private
2004-006,2453066.8,2004-03-02,2004,Ariane 5G+,,Rosetta,AE,F,O,private
2004-027,2453204.53,2004-07-18,2004,Ariane 5G+,,Anik F2,AE,F,O,private
2004-049,2453358.18,2004-12-18,2004,Ariane 5G+,,Helios 2A,AE,F,O,private
2005-028,2453593.85,2005-08-11,2005,Ariane 5GS,,iPSTAR 1,AE,F,O,private
2005-041,2453657.44,2005-10-13,2005,Ariane 5GS,,Galaxy 15,AE,F,O,private
2005-049,2453726.44,2005-12-21,2005,Ariane 5GS,,Insat 4A,AE,F,O,private
2006-007,2453806.44,2006-03-11,2006,Ariane 5ECA,,Spainsat,AE,F,O,private
2006-020,2453883.38,2006-05-27,2006,Ariane 5ECA,,Satmex 6,AE,F,O,private
2006-033,2453959.43,2006-08-11,2006,Ariane 5ECA,,JCSAT 10,AE,F,O,private
2006-043,2454022.37,2006-10-13,2006,Ariane 5ECA,,DirecTV 9S,AE,F,O,private
2006-054,2454078.42,2006-12-08,2006,Ariane 5ECA,,WildBlue 1,AE,F,O,private
2007-007,2454171.42,2007-03-11,2007,Ariane 5ECA,,Insat 4B,AE,F,O,private
2007-016,2454225.44,2007-05-04,2007,Ariane 5ECA,,Astra 1L,AE,F,O,private
2007-036,2454327.49,2007-08-14,2007,Ariane 5ECA,,Spaceway 3,AE,F,O,private
2007-044,2454379.42,2007-10-05,2007,Ariane 5GS,,Optus D2,AE,F,O,private
2007-056,2454419.42,2007-11-14,2007,Ariane 5ECA,,Star One C1,AE,F,O,private
2007-063,2454456.4,2007-12-21,2007,Ariane 5GS,,Rascom 1,AE,F,O,private
2008-008,2454534.67,2008-03-09,2008,Ariane 5ES/ATV,,ATV 1,AE,F,O,private
2008-018,2454575.43,2008-04-18,2008,Ariane 5ECA,,Vinasat,AE,F,O,private
2008-030,2454630.42,2008-06-12,2008,Ariane 5ECA,,Skynet 5C,AE,F,O,private
2008-034,2454655.41,2008-07-07,2008,Ariane 5ECA,,Protostar 1,AE,F,O,private
2008-038,2454693.36,2008-08-14,2008,Ariane 5ECA,,Superbird 7,AE,F,O,private
2008-065,2454821.44,2008-12-20,2008,Ariane 5ECA,,Hot Bird 9,AE,F,O,private
2009-008,2454875.42,2009-02-12,2009,Ariane 5ECA,,NSS 9,AE,F,O,private
2009-026,2454966.05,2009-05-14,2009,Ariane 5ECA,,Herschel,AE,F,O,private
2009-035,2455014.24,2009-07-01,2009,Ariane 5ECA,,Terrestar 1,AE,F,O,private
2009-044,2455065.42,2009-08-21,2009,Ariane 5ECA,,JCSAT 12,AE,F,O,private
2009-054,2455106.42,2009-10-01,2009,Ariane 5ECA,,Amazonas 2,AE,F,O,private
2009-058,2455134.33,2009-10-29,2009,Ariane 5ECA,,NSS 12,AE,F,O,private
2009-073,2455184.18,2009-12-18,2009,Ariane 5GS,,Helios 2B,AE,F,O,private
2010-021,2455338.42,2010-05-21,2010,Ariane 5ECA,,Astra 3B,AE,F,O,private
2010-032,2455374.4,2010-06-26,2010,Ariane 5ECA,,COMS-1,AE,F,O,private
2010-037,2455413.37,2010-08-04,2010,Ariane 5ECA,,Nilesat 201,AE,F,O,private
2010-056,2455498.41,2010-10-28,2010,Ariane 5ECA,,Eutelsat W3B,AE,F,O,private
2010-065,2455527.28,2010-11-26,2010,Ariane 5ECA,,Hylas,AE,F,O,private
2010-070,2455560.39,2010-12-29,2010,Ariane 5ECA,,Hispasat 1E,AE,F,O,private
2011-007,2455609.41,2011-02-16,2011,Ariane 5ES/ATV,,ATV 2,AE,F,O,private
2011-016,2455674.4,2011-04-22,2011,Ariane 5ECA,,Intelsat New Dawn,AE,F,O,private
2011-022,2455702.36,2011-05-20,2011,Ariane 5ECA,,INSAT-4G,AE,F,O,private
2011-041,2455780.45,2011-08-06,2011,Ariane 5ECA,,Astra 1N,AE,F,O,private
2011-049,2455826.4,2011-09-21,2011,Ariane 5ECA,,SES-2,AE,F,O,private
2011-060,2455855.94,2011-10-21,2011,Soyuz-ST-B,Fregat,Galileo PFM,AE,F,O,private
2011-076,2455912.59,2011-12-17,2011,Soyuz-ST-A,Fregat,Elisa 1,AE,F,O,private
2012-010,2456009.69,2012-03-23,2012,Ariane 5ES/ATV,,ATV 3,AE,F,O,private
2012-023,2456063.43,2012-05-15,2012,Ariane 5ECA,,JCSAT 13,AE,F,O,private
2012-035,2456114.4,2012-07-05,2012,Ariane 5ECA,,Jupiter 1,AE,F,O,private
2012-043,2456142.37,2012-08-02,2012,Ariane 5ECA,,Intelsat IS-20,AE,F,O,private
2012-051,2456199.39,2012-09-28,2012,Ariane 5ECA,,Astra 2F,AE,F,O,private
2012-055,2456213.26,2012-10-12,2012,Soyuz-ST-B,Fregat,Galileo FM3,AE,F,O,private
2012-062,2456242.38,2012-11-10,2012,Ariane 5ECA,,Star One C3,AE,F,O,private
2012-068,2456263.59,2012-12-02,2012,Soyuz-ST-A,Fregat,Pleiades HR-2,AE,F,O,private
2012-075,2456281.41,2012-12-19,2012,Ariane 5ECA,,Skynet 5D,AE,F,O,private
2013-006,2456331.4,2013-02-07,2013,Ariane 5ECA,,Amazonas 3/Azerspace,AE,F,O,private
2013-021,2456419.59,2013-05-07,2013,Vega,,PROBA-V,AE,F,O,private
2013-027,2456449.41,2013-06-05,2013,Ariane 5ES/ATV,,ATV 4,AE,F,O,private
2013-031,2456469.31,2013-06-25,2013,Soyuz-ST-B,Fregat,O3b SV1/SV2/SV4/SV5,AE,F,O,private
2013-038,2456499.33,2013-07-25,2013,Ariane 5ECA,,Alphasat/Insat-3D,AE,F,O,private
2013-044,2456534.35,2013-08-29,2013,Ariane 5ECA,,Es'hail/GSAT-7,AE,F,O,private
2013-074,2456645.88,2013-12-19,2013,Soyuz-ST-B,Fregat,Gaia,AE,F,O,private
2014-006,2456695.4,2014-02-06,2014,Ariane 5ECA,,ABS-2/Athena-Fidus,AE,F,O,private
2014-011,2456739.42,2014-03-22,2014,Ariane 5ECA,,Astra 5B/Amazonas 4A,AE,F,O,private
2014-016,2456751.38,2014-04-03,2014,Soyuz-ST-A,Fregat,Sentinel 1A,AE,F,O,private
2014-024,2456777.57,2014-04-30,2014,Vega,,KazEOSat-1,AE,F,O,private
2014-038,2456849.29,2014-07-10,2014,Soyuz-ST-B,Fregat,O3b SV3/SV6/SV7/SV8,AE,F,O,private
2014-044,2456868.49,2014-07-29,2014,Ariane 5ES/ATV,,ATV 5,AE,F,O,private
2014-050,2456892.02,2014-08-22,2014,Soyuz-ST-B,Fregat,GalileoSat 5-6,AE,F,O,private
2014-054,2456912.42,2014-09-11,2014,Ariane 5ECA,,Measat 3B/Optus 10,AE,F,O,private
2014-062,2456947.41,2014-10-16,2014,Ariane 5ECA,,IS-30/Arsat 1,AE,F,O,private
2014-078,2456998.36,2014-12-06,2014,Ariane 5ECA,,DirectTV-14/GSAT-16,AE,F,O,private
2014-083,2457010.28,2014-12-18,2014,Soyuz-ST-B,Fregat,O3b SV9/SV10/SV11/SV12,AE,F,O,private
2015-017,2457109.41,2015-03-27,2015,Soyuz-ST-B,Fregat,GalileoSat 7-8,AE,F,O,private
2015-022,2457139.33,2015-04-26,2015,Ariane 5ECA,,Sicral 2/Thor 7,AE,F,O,private
2015-026,2457170.39,2015-05-27,2015,Ariane 5ECA,,DirecTV-15/SKYM-1,AE,F,O,private
2015-028,2457196.58,2015-06-23,2015,Vega,1,Sentinel-2A,AE,F,O,private
2015-034,2457219.4,2015-07-15,2015,Ariane 5ECA,,Star One C4/MSG 4,AE,F,O,private
2015-039,2457255.36,2015-08-20,2015,Ariane 5ECA,,Eutelsat 8WB/IS-34,AE,F,O,private
2015-045,2457276.59,2015-09-11,2015,Soyuz-ST-B,Fregat,GalileoSat 9-10,AE,F,O,private
2015-054,2457296.19,2015-09-30,2015,Ariane 5ECA,,NBN Co.1/ARSAT 2,AE,F,O,private
2015-065,2457337.4,2015-11-10,2015,Ariane 5ECA,,Badr 7/GSAT 15,AE,F,O,private
2015-070,2457359.67,2015-12-03,2015,Vega,1,LPF,AE,F,O,private
2015-079,2457373.99,2015-12-17,2015,Soyuz-ST-B,Fregat,GalileoSat 11-12,AE,F,O,private
2016-004,2457415.47,2016-01-27,2016,Ariane 5ECA,,Intelsat 29e,AE,F,O,private
