nature,animal_type,category,suburb,date_range,responsible_office,city
Animal,Dog,Fencing Issues,SHERWOOD,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,NA,TINGALPA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,OXLEY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Pest / Feral Animal,FOREST LAKE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,THE GAP,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,NA,MITCHELTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,NA,ASPLEY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,NA,TARRAGINDI,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,BRIGHTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,BRIDGEMAN DOWNS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,ZILLMERE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,SHORNCLIFFE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Menacing,MANLY WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,BRACKEN RIDGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,KENMORE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,NA,UPPER KEDRON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,SALISBURY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,STAFFORD HEIGHTS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,HOLLAND PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,MOOROOKA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat,NA,ENOGGERA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,MANLY WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,WYNNUM WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,WYNNUM WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,WYNNUM,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,GREENSLOPES,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Nuisance Animal,DOOLANDELLA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,CARSELDINE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,NA,COOPERS PLAINS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,RUNCORN,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,NA,PARKINSON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,FOREST LAKE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,MOUNT GRAVATT EAST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,MITCHELTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,MOUNT GRAVATT EAST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,CARINA HEIGHTS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,WYNNUM WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,ZILLMERE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Nuisance Animal,HEMMANT,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,SEVENTEEN MILE ROCKS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,NORMAN PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,FOREST LAKE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,KHOLO,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,KHOLO,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,BRIGHTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,NUNDAH,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,HOLLAND PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,ASPLEY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,CAMP HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Menacing,COORPAROO,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,NA,INALA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,NA,KARANA DOWNS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Menacing,WINDSOR,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Nuisance Animal,INALA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,NA,DURACK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,ELLEN GROVE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,BRACKEN RIDGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,NA,MIDDLE PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,KHOLO,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,WYNNUM WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,MACGREGOR,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,ASPLEY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,COOPERS PLAINS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,RICHLANDS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,BELLBOWRIE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Menacing,STRETTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,KEPERRA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,STRETTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,SUNNYBANK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,NEW FARM,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,BRACKEN RIDGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,ASPLEY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,MITCHELTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,KENMORE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,CAMP HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,WYNNUM,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,KHOLO,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,INALA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,NA,KARAWATHA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Too Many Animals,UPPER MOUNT GRAVATT,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,GRANGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,MITCHELTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,MOOROOKA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,CANNON HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,HOLLAND PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,NORMAN PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,ASPLEY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,ST LUCIA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,NA,ELLEN GROVE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,ROCKLEA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,NA,WINDSOR,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,BALMORAL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,PULLENVALE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,ASPLEY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,KHOLO,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Pest / Feral Animal,INALA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,HAMILTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,ASPLEY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Nuisance Animal,RUNCORN,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,KHOLO,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,GRANGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,CHAPEL HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,CHAPEL HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,FERNY GROVE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,HEMMANT,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,JAMBOREE HEIGHTS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,MANLY WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat,NA,MOUNT GRAVATT EAST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Unregistered,ANNERLEY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,NA,INDOOROOPILLY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,NA,ALGESTER,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fencing Issues,AUCHENFLOWER,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Odour,ELLEN GROVE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Unregistered,BRACKEN RIDGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Unregistered,BRACKEN RIDGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Unregistered,BRACKEN RIDGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,WEST END,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Nuisance Animal,SUNNYBANK HILLS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,MURARRIE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Dangerous,LOTA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,GREENSLOPES,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,ELLEN GROVE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Deer,PULLENVALE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,KEPERRA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,CARINA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Unregistered,BRACKEN RIDGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Unregistered,BRACKEN RIDGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,RIVERHILLS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,NA,KARANA DOWNS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Defecating In Public,NORMAN PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,WAKERLEY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,CAMP HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,RED HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,NA,KEPERRA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Nuisance Animal,DURACK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Menacing,FOREST LAKE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,CHERMSIDE WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,CHERMSIDE WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,DEAGON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,CHAPEL HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,CHERMSIDE WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,NA,ACACIA RIDGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,SUNNYBANK HILLS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,MORNINGSIDE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,WOOLLOONGABBA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat,NA,THE GAP,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,HOLLAND PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,BRIGHTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Nuisance Animal,SUNNYBANK HILLS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,MOUNT GRAVATT EAST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,KEPERRA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,MORNINGSIDE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,KEPERRA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,KEPERRA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,STRETTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat,NA,HIGHGATE HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,ENOGGERA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,KEPERRA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,MITCHELTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Too Many Animals,FOREST LAKE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,WEST END,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,INALA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,MOUNT GRAVATT EAST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,HOLLAND PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,MANLY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,PADDINGTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Too Many Animals,LOTA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,CALAMVALE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Odour,ENOGGERA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fencing Issues,TENNYSON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,CARSELDINE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Menacing,TOOWONG,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,BRIDGEMAN DOWNS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,MANSFIELD,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,CALAMVALE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,NATHAN,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Menacing,NEW FARM,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,KEPERRA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,WYNNUM,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Pest / Feral Animal,HAMILTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,WYNNUM,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,MORNINGSIDE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,UPPER MOUNT GRAVATT,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Deer,PULLENVALE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,FOREST LAKE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,FOREST LAKE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,GREENSLOPES,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,MANLY WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,MOUNT GRAVATT EAST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,MANLY WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,FITZGIBBON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,UPPER MOUNT GRAVATT,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,NORMAN PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,BARDON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,CALAMVALE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,MOOROOKA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,BALD HILLS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,NA,COOPERS PLAINS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,MOOROOKA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,NA,RUNCORN,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,NA,UPPER MOUNT GRAVATT,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,CARINDALE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,WACOL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Menacing,STAFFORD,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,ROBERTSON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,BRIGHTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,INALA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Deer,BRISBANE CITY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,HIGHGATE HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,ROCHEDALE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,WYNNUM,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,BALMORAL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,TARRAGINDI,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Nuisance Animal,HOLLAND PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,CANNON HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,SEVEN HILLS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,MILTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,MOOROOKA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,MCDOWALL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,NUNDAH,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,ALGESTER,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Dangerous,SALISBURY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,THE GAP,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,DUTTON PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,DUTTON PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Menacing,ENOGGERA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,JINDALEE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat,NA,BOONDALL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,ALDERLEY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Too Many Animals,HAWTHORNE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,WEST END,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,SINNAMON PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,CHAPEL HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,GORDON PARK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,BRACKEN RIDGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,BRACKEN RIDGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,SUNNYBANK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,NA,BRACKEN RIDGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,BRACKEN RIDGE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,GUMDALE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,ALBION,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Rabbit,KENMORE HILLS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,CHAPEL HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,ALGESTER,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,WAVELL HEIGHTS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,STAFFORD HEIGHTS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Menacing,COOPERS PLAINS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,ALDERLEY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,WESTLAKE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,ST LUCIA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,SPRING HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Nuisance Animal,SUNNYBANK HILLS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,CHAPEL HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,UPPER MOUNT GRAVATT,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,INALA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,THE GAP,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,CARSELDINE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Defecating In Public,WAVELL HEIGHTS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,ASHGROVE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat,NA,INALA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Nuisance Animal,TAIGUM,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,HENDRA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Not An Attack,KENMORE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Menacing,FOREST LAKE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,FOREST LAKE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,MANLY WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat,NA,WYNNUM WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,NA,CARSELDINE,1st-quarter-2016-17.csv,NA,Brisbane
