Animal Type,Complaint Type,Date Received,Suburb,Electoral Division
dog,Enclosure,June 2020,Black River,Division 2
dog,Noise,June 2020,Black River,Division 2
dog,Wandering,June 2020,Black River,Division 2
dog,Wandering,June 2020,Black River,Division 2
dog,Aggressive Animal,June 2020,Burdell,Division 2
dog,Aggressive Animal,June 2020,Burdell,Division 2
dog,Enclosure,June 2020,Burdell,Division 2
dog,Enclosure,June 2020,Burdell,Division 2
dog,Noise,June 2020,Burdell,Division 2
dog,Noise,June 2020,Burdell,Division 2
dog,Noise,June 2020,Burdell,Division 2
dog,Noise,June 2020,Burdell,Division 2
dog,Noise,June 2020,Burdell,Division 2
dog,Noise,June 2020,Burdell,Division 2
dog,Noise,June 2020,Burdell,Division 2
dog,Noise,June 2020,Burdell,Division 2
dog,Noise,June 2020,Burdell,Division 2
dog,Noise,June 2020,Burdell,Division 2
dog,Noise,June 2020,Burdell,Division 2
cat,Private Impound,June 2020,Burdell,Division 2
cat,Private Impound,June 2020,Burdell,Division 2
dog,Private Impound,June 2020,Burdell,Division 2
dog,Wandering,June 2020,Burdell,Division 2
dog,Wandering,June 2020,Burdell,Division 2
dog,Attack,June 2020,Bushland Beach,Division 2
dog,Attack,June 2020,Bushland Beach,Division 2
cat,Enclosure,June 2020,Bushland Beach,Division 2
cat,Enclosure,June 2020,Bushland Beach,Division 2
dog,Enclosure,June 2020,Bushland Beach,Division 2
dog,Enclosure,June 2020,Bushland Beach,Division 2
dog,Enclosure,June 2020,Bushland Beach,Division 2
dog,Noise,June 2020,Bushland Beach,Division 2
dog,Noise,June 2020,Bushland Beach,Division 2
dog,Noise,June 2020,Bushland Beach,Division 2
dog,Noise,June 2020,Bushland Beach,Division 2
dog,Noise,June 2020,Bushland Beach,Division 2
dog,Noise,June 2020,Bushland Beach,Division 2
dog,Noise,June 2020,Bushland Beach,Division 2
dog,Private Impound,June 2020,Bushland Beach,Division 2
dog,Aggressive Animal,June 2020,Mount Low,Division 2
dog,Aggressive Animal,June 2020,Mount Low,Division 2
dog,Aggressive Animal,June 2020,Mount Low,Division 2
dog,Aggressive Animal,June 2020,Mount Low,Division 2
dog,Attack,June 2020,Mount Low,Division 2
cat,Enclosure,June 2020,Mount Low,Division 2
cat,Enclosure,June 2020,Mount Low,Division 2
cat,Enclosure,June 2020,Mount Low,Division 2
cat,Enclosure,June 2020,Mount Low,Division 2
dog,Enclosure,June 2020,Mount Low,Division 2
dog,Enclosure,June 2020,Mount Low,Division 2
dog,Enclosure,June 2020,Mount Low,Division 2
dog,Enclosure,June 2020,Mount Low,Division 2
dog,Enclosure,June 2020,Mount Low,Division 2
dog,Noise,June 2020,Mount Low,Division 2
dog,Noise,June 2020,Mount Low,Division 2
dog,Noise,June 2020,Mount Low,Division 2
dog,Noise,June 2020,Mount Low,Division 2
dog,Private Impound,June 2020,Mount Low,Division 2
dog,Private Impound,June 2020,Mount Low,Division 2
dog,Wandering,June 2020,Mount Low,Division 2
dog,Wandering,June 2020,Mount Low,Division 2
dog,Wandering,June 2020,Arcadia,Division 3
dog,Enclosure,June 2020,Belgian Gardens,Division 3
dog,Private Impound,June 2020,Belgian Gardens,Division 3
dog,Private Impound,June 2020,Belgian Gardens,Division 3
dog,Private Impound,June 2020,Belgian Gardens,Division 3
dog,Wandering,June 2020,Belgian Gardens,Division 3
dog,Aggressive Animal,June 2020,Castle Hill,Division 3
dog,Aggressive Animal,June 2020,Garbutt,Division 3
dog,Aggressive Animal,June 2020,Garbutt,Division 3
dog,Attack,June 2020,Garbutt,Division 3
dog,Attack,June 2020,Garbutt,Division 3
dog,Attack,June 2020,Garbutt,Division 3
dog,Attack,June 2020,Garbutt,Division 3
dog,Enclosure,June 2020,Garbutt,Division 3
dog,Noise,June 2020,Garbutt,Division 3
dog,Noise,June 2020,Garbutt,Division 3
dog,Noise,June 2020,Garbutt,Division 3
dog,Noise,June 2020,Garbutt,Division 3
dog,Wandering,June 2020,Garbutt,Division 3
dog,Enclosure,June 2020,Mount St John,Division 3
dog,Wandering,June 2020,Mount St John,Division 3
dog,Enclosure,June 2020,Nelly Bay,Division 3
dog,Wandering,June 2020,Nelly Bay,Division 3
dog,Aggressive Animal,June 2020,North Ward,Division 3
dog,Enclosure,June 2020,North Ward,Division 3
dog,Noise,June 2020,North Ward,Division 3
dog,Wandering,June 2020,North Ward,Division 3
dog,Wandering,June 2020,North Ward,Division 3
dog,Wandering,June 2020,North Ward,Division 3
dog,Noise,June 2020,Pallarenda,Division 3
dog,Noise,June 2020,Pallarenda,Division 3
dog,Noise,June 2020,Pallarenda,Division 3
dog,Noise,June 2020,Pallarenda,Division 3
dog,Wandering,June 2020,Pallarenda,Division 3
dog,Aggressive Animal,June 2020,South Townsville,Division 3
dog,Attack,June 2020,South Townsville,Division 3
dog,Enclosure,June 2020,South Townsville,Division 3
dog,Enclosure,June 2020,South Townsville,Division 3
dog,Noise,June 2020,South Townsville,Division 3
dog,Wandering,June 2020,South Townsville,Division 3
dog,Wandering,June 2020,South Townsville,Division 3
dog,Wandering,June 2020,South Townsville,Division 3
dog,Noise,June 2020,Townsville City,Division 3
dog,Noise,June 2020,Townsville City,Division 3
dog,Noise,June 2020,Townsville City,Division 3
dog,Aggressive Animal,June 2020,Condon,Division 4
dog,Aggressive Animal,June 2020,Condon,Division 4
dog,Aggressive Animal,June 2020,Condon,Division 4
dog,Aggressive Animal,June 2020,Condon,Division 4
dog,Attack,June 2020,Condon,Division 4
dog,Enclosure,June 2020,Condon,Division 4
dog,Enclosure,June 2020,Condon,Division 4
dog,Enclosure,June 2020,Condon,Division 4
dog,Enclosure,June 2020,Condon,Division 4
dog,Enclosure,June 2020,Condon,Division 4
dog,Enclosure,June 2020,Condon,Division 4
dog,Enclosure,June 2020,Condon,Division 4
dog,Enclosure,June 2020,Condon,Division 4
dog,Enclosure,June 2020,Condon,Division 4
dog,Enclosure,June 2020,Condon,Division 4
dog,Noise,June 2020,Condon,Division 4
dog,Noise,June 2020,Condon,Division 4
cat,Private Impound,June 2020,Condon,Division 4
dog,Private Impound,June 2020,Condon,Division 4
dog,Private Impound,June 2020,Condon,Division 4
dog,Private Impound,June 2020,Condon,Division 4
dog,Wandering,June 2020,Condon,Division 4
dog,Aggressive Animal,June 2020,Kelso,Division 4
dog,Aggressive Animal,June 2020,Kelso,Division 4
dog,Aggressive Animal,June 2020,Kelso,Division 4
dog,Aggressive Animal,June 2020,Kelso,Division 4
dog,Aggressive Animal,June 2020,Kelso,Division 4
dog,Attack,June 2020,Kelso,Division 4
dog,Attack,June 2020,Kelso,Division 4
dog,Attack,June 2020,Kelso,Division 4
dog,Attack,June 2020,Kelso,Division 4
dog,Attack,June 2020,Kelso,Division 4
dog,Enclosure,June 2020,Kelso,Division 4
dog,Enclosure,June 2020,Kelso,Division 4
dog,Enclosure,June 2020,Kelso,Division 4
dog,Noise,June 2020,Kelso,Division 4
dog,Noise,June 2020,Kelso,Division 4
dog,Noise,June 2020,Kelso,Division 4
dog,Noise,June 2020,Kelso,Division 4
dog,Noise,June 2020,Kelso,Division 4
dog,Noise,June 2020,Kelso,Division 4
dog,Noise,June 2020,Kelso,Division 4
dog,Noise,June 2020,Kelso,Division 4
dog,Noise,June 2020,Kelso,Division 4
dog,Noise,June 2020,Kelso,Division 4
dog,Noise,June 2020,Kelso,Division 4
dog,Noise,June 2020,Kelso,Division 4
dog,Noise,June 2020,Kelso,Division 4
dog,Noise,June 2020,Kelso,Division 4
cat,Private Impound,June 2020,Kelso,Division 4
dog,Private Impound,June 2020,Kelso,Division 4
dog,Private Impound,June 2020,Kelso,Division 4
dog,Private Impound,June 2020,Kelso,Division 4
dog,Private Impound,June 2020,Kelso,Division 4
dog,Wandering,June 2020,Kelso,Division 4
dog,Wandering,June 2020,Kelso,Division 4
dog,Wandering,June 2020,Kelso,Division 4
dog,Aggressive Animal,June 2020,Rasmussen,Division 4
dog,Aggressive Animal,June 2020,Rasmussen,Division 4
dog,Aggressive Animal,June 2020,Rasmussen,Division 4
dog,Aggressive Animal,June 2020,Rasmussen,Division 4
dog,Aggressive Animal,June 2020,Rasmussen,Division 4
dog,Aggressive Animal,June 2020,Rasmussen,Division 4
dog,Attack,June 2020,Rasmussen,Division 4
dog,Attack,June 2020,Rasmussen,Division 4
dog,Attack,June 2020,Rasmussen,Division 4
dog,Attack,June 2020,Rasmussen,Division 4
cat,Enclosure,June 2020,Rasmussen,Division 4
dog,Enclosure,June 2020,Rasmussen,Division 4
dog,Enclosure,June 2020,Rasmussen,Division 4
dog,Enclosure,June 2020,Rasmussen,Division 4
dog,Enclosure,June 2020,Rasmussen,Division 4
dog,Enclosure,June 2020,Rasmussen,Division 4
dog,Enclosure,June 2020,Rasmussen,Division 4
dog,Noise,June 2020,Rasmussen,Division 4
dog,Noise,June 2020,Rasmussen,Division 4
dog,Noise,June 2020,Rasmussen,Division 4
dog,Noise,June 2020,Rasmussen,Division 4
dog,Noise,June 2020,Rasmussen,Division 4
dog,Noise,June 2020,Rasmussen,Division 4
dog,Private Impound,June 2020,Rasmussen,Division 4
dog,Private Impound,June 2020,Rasmussen,Division 4
dog,Wandering,June 2020,Rasmussen,Division 4
dog,Wandering,June 2020,Rasmussen,Division 4
dog,Wandering,June 2020,Rasmussen,Division 4
dog,Aggressive Animal,June 2020,Cranbrook,Division 5
dog,Aggressive Animal,June 2020,Cranbrook,Division 5
dog,Aggressive Animal,June 2020,Cranbrook,Division 5
dog,Aggressive Animal,June 2020,Cranbrook,Division 5
cat,Enclosure,June 2020,Cranbrook,Division 5
dog,Enclosure,June 2020,Cranbrook,Division 5
dog,Enclosure,June 2020,Cranbrook,Division 5
dog,Enclosure,June 2020,Cranbrook,Division 5
dog,Enclosure,June 2020,Cranbrook,Division 5
dog,Enclosure,June 2020,Cranbrook,Division 5
dog,Enclosure,June 2020,Cranbrook,Division 5
dog,Enclosure,June 2020,Cranbrook,Division 5
dog,Enclosure,June 2020,Cranbrook,Division 5
dog,Enclosure,June 2020,Cranbrook,Division 5
dog,Enclosure,June 2020,Cranbrook,Division 5
dog,Enclosure,June 2020,Cranbrook,Division 5
dog,Noise,June 2020,Cranbrook,Division 5
cat,Private Impound,June 2020,Cranbrook,Division 5
dog,Private Impound,June 2020,Cranbrook,Division 5
dog,Wandering,June 2020,Cranbrook,Division 5
dog,Aggressive Animal,June 2020,Kirwan,Division 5
dog,Aggressive Animal,June 2020,Kirwan,Division 5
dog,Aggressive Animal,June 2020,Kirwan,Division 5
dog,Aggressive Animal,June 2020,Kirwan,Division 5
dog,Aggressive Animal,June 2020,Kirwan,Division 5
dog,Attack,June 2020,Kirwan,Division 5
cat,Enclosure,June 2020,Kirwan,Division 5
cat,Enclosure,June 2020,Kirwan,Division 5
cat,Enclosure,June 2020,Kirwan,Division 5
dog,Enclosure,June 2020,Kirwan,Division 5
dog,Enclosure,June 2020,Kirwan,Division 5
dog,Enclosure,June 2020,Kirwan,Division 5
dog,Enclosure,June 2020,Kirwan,Division 5
dog,Noise,June 2020,Kirwan,Division 5
dog,Noise,June 2020,Kirwan,Division 5
dog,Noise,June 2020,Kirwan,Division 5
dog,Noise,June 2020,Kirwan,Division 5
dog,Noise,June 2020,Kirwan,Division 5
dog,Noise,June 2020,Kirwan,Division 5
dog,Noise,June 2020,Kirwan,Division 5
dog,Noise,June 2020,Kirwan,Division 5
dog,Noise,June 2020,Kirwan,Division 5
dog,Noise,June 2020,Kirwan,Division 5
cat,Private Impound,June 2020,Kirwan,Division 5
dog,Private Impound,June 2020,Kirwan,Division 5
dog,Private Impound,June 2020,Kirwan,Division 5
dog,Attack,June 2020,Mount Louisa,Division 5
dog,Attack,June 2020,Mount Louisa,Division 5
dog,Enclosure,June 2020,Mount Louisa,Division 5
dog,Noise,June 2020,Mount Louisa,Division 5
dog,Private Impound,June 2020,Mount Louisa,Division 5
dog,Aggressive Animal,June 2020,Thuringowa Central,Division 5
dog,Enclosure,June 2020,Thuringowa Central,Division 5
dog,Enclosure,June 2020,Thuringowa Central,Division 5
dog,Enclosure,June 2020,Thuringowa Central,Division 5
dog,Enclosure,June 2020,Thuringowa Central,Division 5
dog,Noise,June 2020,Thuringowa Central,Division 5
dog,Noise,June 2020,Thuringowa Central,Division 5
dog,Noise,June 2020,Thuringowa Central,Division 5
dog,Noise,June 2020,Thuringowa Central,Division 5
dog,Noise,June 2020,Thuringowa Central,Division 5
cat,Private Impound,June 2020,Thuringowa Central,Division 5
dog,Private Impound,June 2020,Thuringowa Central,Division 5
dog,Private Impound,June 2020,Thuringowa Central,Division 5
dog,Private Impound,June 2020,Thuringowa Central,Division 5
dog,Aggressive Animal,June 2020,Annandale,Division 6
dog,Aggressive Animal,June 2020,Annandale,Division 6
dog,Attack,June 2020,Annandale,Division 6
dog,Enclosure,June 2020,Annandale,Division 6
dog,Noise,June 2020,Annandale,Division 6
dog,Noise,June 2020,Annandale,Division 6
dog,Noise,June 2020,Annandale,Division 6
dog,Noise,June 2020,Annandale,Division 6
cat,Private Impound,June 2020,Annandale,Division 6
dog,Private Impound,June 2020,Annandale,Division 6
dog,Private Impound,June 2020,Annandale,Division 6
dog,Wandering,June 2020,Annandale,Division 6
dog,Aggressive Animal,June 2020,Condon,Division 6
cat,Enclosure,June 2020,Condon,Division 6
dog,Noise,June 2020,Condon,Division 6
dog,Noise,June 2020,Condon,Division 6
dog,Private Impound,June 2020,Condon,Division 6
dog,Private Impound,June 2020,Condon,Division 6
dog,Enclosure,June 2020,Douglas,Division 6
dog,Noise,June 2020,Douglas,Division 6
dog,Noise,June 2020,Douglas,Division 6
dog,Noise,June 2020,Douglas,Division 6
dog,Noise,June 2020,Douglas,Division 6
dog,Noise,June 2020,Douglas,Division 6
cat,Private Impound,June 2020,Douglas,Division 6
cat,Private Impound,June 2020,Douglas,Division 6
cat,Private Impound,June 2020,Douglas,Division 6
dog,Private Impound,June 2020,Douglas,Division 6
dog,Private Impound,June 2020,Douglas,Division 6
dog,Private Impound,June 2020,Douglas,Division 6
dog,Private Impound,June 2020,Douglas,Division 6
dog,Private Impound,June 2020,Douglas,Division 6
dog,Private Impound,June 2020,Douglas,Division 6
dog,Private Impound,June 2020,Douglas,Division 6
dog,Private Impound,June 2020,Douglas,Division 6
dog,Private Impound,June 2020,Douglas,Division 6
dog,Private Impound,June 2020,Douglas,Division 6
dog,Private Impound,June 2020,Douglas,Division 6
dog,Wandering,June 2020,Douglas,Division 6
dog,Wandering,June 2020,Douglas,Division 6
dog,Wandering,June 2020,Douglas,Division 6
cat,Private Impound,June 2020,Thuringowa Central,Division 6
dog,Private Impound,June 2020,Thuringowa Central,Division 6
dog,Private Impound,June 2020,Thuringowa Central,Division 6
dog,Private Impound,June 2020,Thuringowa Central,Division 6
dog,Private Impound,June 2020,Thuringowa Central,Division 6
dog,Wandering,June 2020,Thuringowa Central,Division 6
dog,Aggressive Animal,June 2020,Cosgrove,Division 7
dog,Aggressive Animal,June 2020,Cosgrove,Division 7
dog,Enclosure,June 2020,Cosgrove,Division 7
dog,Noise,June 2020,Cosgrove,Division 7
dog,Noise,June 2020,Cosgrove,Division 7
dog,Noise,June 2020,Cosgrove,Division 7
cat,Private Impound,June 2020,Cosgrove,Division 7
cat,Private Impound,June 2020,Cosgrove,Division 7
dog,Aggressive Animal,June 2020,Heatley,Division 7
dog,Aggressive Animal,June 2020,Heatley,Division 7
dog,Aggressive Animal,June 2020,Heatley,Division 7
dog,Attack,June 2020,Heatley,Division 7
dog,Attack,June 2020,Heatley,Division 7
cat,Enclosure,June 2020,Heatley,Division 7
dog,Enclosure,June 2020,Heatley,Division 7
dog,Enclosure,June 2020,Heatley,Division 7
dog,Enclosure,June 2020,Heatley,Division 7
dog,Enclosure,June 2020,Heatley,Division 7
dog,Enclosure,June 2020,Heatley,Division 7
dog,Enclosure,June 2020,Heatley,Division 7
dog,Enclosure,June 2020,Heatley,Division 7
dog,Enclosure,June 2020,Heatley,Division 7
dog,Enclosure,June 2020,Heatley,Division 7
dog,Enclosure,June 2020,Heatley,Division 7
dog,Noise,June 2020,Heatley,Division 7
dog,Noise,June 2020,Heatley,Division 7
dog,Noise,June 2020,Heatley,Division 7
dog,Noise,June 2020,Heatley,Division 7
dog,Wandering,June 2020,Heatley,Division 7
dog,Wandering,June 2020,Heatley,Division 7
dog,Wandering,June 2020,Heatley,Division 7
dog,Wandering,June 2020,Heatley,Division 7
dog,Wandering,June 2020,Heatley,Division 7
dog,Aggressive Animal,June 2020,Kirwan,Division 7
dog,Attack,June 2020,Kirwan,Division 7
dog,Attack,June 2020,Kirwan,Division 7
cat,Enclosure,June 2020,Kirwan,Division 7
dog,Enclosure,June 2020,Kirwan,Division 7
dog,Enclosure,June 2020,Kirwan,Division 7
dog,Enclosure,June 2020,Kirwan,Division 7
dog,Enclosure,June 2020,Kirwan,Division 7
dog,Enclosure,June 2020,Kirwan,Division 7
dog,Enclosure,June 2020,Kirwan,Division 7
dog,Enclosure,June 2020,Kirwan,Division 7
dog,Enclosure,June 2020,Kirwan,Division 7
dog,Enclosure,June 2020,Kirwan,Division 7
dog,Enclosure,June 2020,Kirwan,Division 7
dog,Noise,June 2020,Kirwan,Division 7
dog,Noise,June 2020,Kirwan,Division 7
dog,Noise,June 2020,Kirwan,Division 7
dog,Noise,June 2020,Kirwan,Division 7
dog,Noise,June 2020,Kirwan,Division 7
dog,Noise,June 2020,Kirwan,Division 7
cat,Private Impound,June 2020,Kirwan,Division 7
cat,Private Impound,June 2020,Kirwan,Division 7
dog,Private Impound,June 2020,Kirwan,Division 7
dog,Private Impound,June 2020,Kirwan,Division 7
dog,Private Impound,June 2020,Kirwan,Division 7
dog,Private Impound,June 2020,Kirwan,Division 7
dog,Private Impound,June 2020,Kirwan,Division 7
dog,Private Impound,June 2020,Kirwan,Division 7
dog,Private Impound,June 2020,Kirwan,Division 7
dog,Private Impound,June 2020,Kirwan,Division 7
dog,Aggressive Animal,June 2020,Mount Louisa,Division 7
dog,Aggressive Animal,June 2020,Mount Louisa,Division 7
dog,Enclosure,June 2020,Mount Louisa,Division 7
dog,Enclosure,June 2020,Mount Louisa,Division 7
dog,Noise,June 2020,Mount Louisa,Division 7
dog,Noise,June 2020,Mount Louisa,Division 7
dog,Noise,June 2020,Mount Louisa,Division 7
dog,Noise,June 2020,Mount Louisa,Division 7
dog,Noise,June 2020,Mount Louisa,Division 7
dog,Private Impound,June 2020,Mount Louisa,Division 7
dog,Aggressive Animal,June 2020,Aitkenvale,Division 8
dog,Aggressive Animal,June 2020,Aitkenvale,Division 8
dog,Aggressive Animal,June 2020,Aitkenvale,Division 8
dog,Attack,June 2020,Aitkenvale,Division 8
dog,Enclosure,June 2020,Aitkenvale,Division 8
dog,Enclosure,June 2020,Aitkenvale,Division 8
dog,Noise,June 2020,Aitkenvale,Division 8
dog,Noise,June 2020,Aitkenvale,Division 8
dog,Noise,June 2020,Aitkenvale,Division 8
dog,Noise,June 2020,Aitkenvale,Division 8
dog,Noise,June 2020,Aitkenvale,Division 8
dog,Noise,June 2020,Aitkenvale,Division 8
dog,Noise,June 2020,Aitkenvale,Division 8
dog,Noise,June 2020,Aitkenvale,Division 8
cat,Private Impound,June 2020,Aitkenvale,Division 8
cat,Private Impound,June 2020,Aitkenvale,Division 8
dog,Wandering,June 2020,Aitkenvale,Division 8
dog,Wandering,June 2020,Aitkenvale,Division 8
dog,Aggressive Animal,June 2020,Cranbrook,Division 8
cat,Enclosure,June 2020,Cranbrook,Division 8
dog,Enclosure,June 2020,Cranbrook,Division 8
dog,Enclosure,June 2020,Cranbrook,Division 8
dog,Enclosure,June 2020,Cranbrook,Division 8
dog,Enclosure,June 2020,Cranbrook,Division 8
dog,Noise,June 2020,Cranbrook,Division 8
dog,Noise,June 2020,Cranbrook,Division 8
dog,Noise,June 2020,Cranbrook,Division 8
dog,Noise,June 2020,Cranbrook,Division 8
dog,Enclosure,June 2020,Currajong,Division 8
dog,Noise,June 2020,Currajong,Division 8
cat,Private Impound,June 2020,Currajong,Division 8
cat,Private Impound,June 2020,Currajong,Division 8
cat,Private Impound,June 2020,Currajong,Division 8
cat,Private Impound,June 2020,Currajong,Division 8
dog,Private Impound,June 2020,Currajong,Division 8
dog,Private Impound,June 2020,Currajong,Division 8
dog,Private Impound,June 2020,Currajong,Division 8
dog,Private Impound,June 2020,Currajong,Division 8
dog,Private Impound,June 2020,Currajong,Division 8
dog,Attack,June 2020,Gulliver,Division 8
cat,Enclosure,June 2020,Gulliver,Division 8
dog,Enclosure,June 2020,Gulliver,Division 8
dog,Enclosure,June 2020,Gulliver,Division 8
dog,Enclosure,June 2020,Gulliver,Division 8
dog,Enclosure,June 2020,Gulliver,Division 8
dog,Enclosure,June 2020,Gulliver,Division 8
dog,Enclosure,June 2020,Gulliver,Division 8
dog,Noise,June 2020,Gulliver,Division 8
dog,Noise,June 2020,Gulliver,Division 8
dog,Private Impound,June 2020,Gulliver,Division 8
dog,Attack,June 2020,Mundingburra,Division 8
dog,Enclosure,June 2020,Mundingburra,Division 8
dog,Noise,June 2020,Mundingburra,Division 8
dog,Private Impound,June 2020,Mundingburra,Division 8
dog,Aggressive Animal,June 2020,Vincent,Division 8
dog,Aggressive Animal,June 2020,Vincent,Division 8
dog,Aggressive Animal,June 2020,Vincent,Division 8
dog,Aggressive Animal,June 2020,Vincent,Division 8
dog,Attack,June 2020,Vincent,Division 8
dog,Attack,June 2020,Vincent,Division 8
dog,Enclosure,June 2020,Vincent,Division 8
dog,Enclosure,June 2020,Vincent,Division 8
dog,Enclosure,June 2020,Vincent,Division 8
dog,Enclosure,June 2020,Vincent,Division 8
dog,Enclosure,June 2020,Vincent,Division 8
dog,Enclosure,June 2020,Vincent,Division 8
dog,Enclosure,June 2020,Vincent,Division 8
dog,Enclosure,June 2020,Vincent,Division 8
dog,Enclosure,June 2020,Vincent,Division 8
dog,Enclosure,June 2020,Vincent,Division 8
dog,Noise,June 2020,Vincent,Division 8
dog,Noise,June 2020,Vincent,Division 8
dog,Noise,June 2020,Vincent,Division 8
dog,Private Impound,June 2020,Vincent,Division 8
dog,Private Impound,June 2020,Vincent,Division 8
dog,Wandering,June 2020,Vincent,Division 8
dog,Wandering,June 2020,Vincent,Division 8
dog,Wandering,June 2020,Vincent,Division 8
dog,Wandering,June 2020,Currajong,Division 9
dog,Aggressive Animal,June 2020,Hermit Park,Division 9
cat,Enclosure,June 2020,Hermit Park,Division 9
dog,Enclosure,June 2020,Hermit Park,Division 9
dog,Enclosure,June 2020,Hermit Park,Division 9
dog,Noise,June 2020,Hermit Park,Division 9
dog,Noise,June 2020,Hermit Park,Division 9
dog,Wandering,June 2020,Hermit Park,Division 9
dog,Aggressive Animal,June 2020,Hyde Park,Division 9
dog,Attack,June 2020,Hyde Park,Division 9
cat,Private Impound,June 2020,Hyde Park,Division 9
cat,Private Impound,June 2020,Hyde Park,Division 9
cat,Private Impound,June 2020,Hyde Park,Division 9
