year,animal_type,outcome,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Total
2000,Other Animals,Euthanized,63,1416,0,202,196,11,644,6,2538
2001,Dogs,Reclaimed,602,3195,238,1270,2133,495,6273,813,15019
2001,Dogs,Rehomed,985,6269,699,5104,916,516,5265,942,20696
2001,Dogs,Other,8,874,51,64,794,148,430,0,2369
2001,Dogs,Euthanized,126,7082,694,7761,1845,429,5569,102,23608
2001,Cats,Reclaimed,116,180,40,215,187,75,574,36,1423
2001,Cats,Rehomed,1376,3800,385,3566,940,594,4326,426,15413
2001,Cats,Other,19,539,50,54,286,220,729,12,1909
2001,Cats,Euthanized,785,5981,927,10825,3264,1151,7968,108,31009
2001,Horses,Reclaimed,0,4,0,0,4,1,2,0,11
2001,Horses,Rehomed,2,8,0,13,2,0,14,0,39
2001,Horses,Other,0,1,0,0,5,0,0,2,8
2001,Horses,Euthanized,2,1,0,1,1,0,0,0,5
2001,Livestock,Reclaimed,2,11,0,5,653,5,10,2,688
2001,Livestock,Rehomed,128,80,0,240,304,68,100,18,938
2001,Livestock,Other,0,146,0,0,30,11,134,2,323
2001,Livestock,Euthanized,1,110,0,257,987,13,108,4,1480
2001,Wildlife,Released,537,517,0,843,268,52,1539,0,3756
2001,Wildlife,Other,576,74,0,0,649,37,1819,0,3155
2001,Wildlife,Euthanized,703,514,0,917,994,52,3108,0,6288
2001,Other Animals,Reclaimed,28,645,0,5,18,8,78,1,783
2001,Other Animals,Rehomed,361,396,0,132,105,74,98,68,1234
2001,Other Animals,Other,0,168,0,0,25,5,35,4,237
2001,Other Animals,Euthanized,50,530,0,416,163,21,482,1,1663
2002,Dogs,Reclaimed,592,2921,254,1821,1058,513,6960,669,14788
2002,Dogs,Rehomed,873,6500,562,4711,2095,531,5369,828,21469
2002,Dogs,In Stock,74,699,39,599,101,32,330,136,2010
2002,Dogs,Transferred,2,280,0,39,321,94,145,380,1261
2002,Dogs,Euthanized,216,7105,960,8769,1535,450,5473,46,24554
2002,Dogs,Other,10,496,0,0,0,3,0,2,511
2002,Cats,Reclaimed,109,182,20,29,49,68,586,8,1051
2002,Cats,Rehomed,1110,4426,374,4028,1122,622,4805,452,16939
2002,Cats,In Stock,77,324,68,533,24,43,392,31,1492
2002,Cats,Transferred,5,91,0,6,0,167,1204,0,1473
2002,Cats,Euthanized,755,6042,779,12475,3052,777,6456,113,30449
2002,Cats,Other,22,250,0,0,0,10,0,15,297
2002,Horses,Reclaimed,0,10,1,4,3,1,0,0,19
2002,Horses,Rehomed,1,15,0,9,0,3,2,1,31
2002,Horses,In Stock,2,15,0,6,8,14,0,1,46
2002,Horses,Transferred,0,0,0,4,0,0,0,0,4
2002,Horses,Euthanized,0,1,0,6,2,0,0,1,10
2002,Horses,Other,0,2,0,0,0,0,0,0,2
2002,Livestock,Reclaimed,1,26,0,17,61,6,22,1,134
2002,Livestock,Rehomed,119,317,12,229,55,41,64,65,902
2002,Livestock,In Stock,21,90,2,19,2,9,0,6,149
2002,Livestock,Transferred,0,4,0,232,0,9,0,0,245
2002,Livestock,Euthanized,4,231,0,376,86,9,97,29,832
2002,Livestock,Other,149,3,0,0,0,2,110,6,270
2002,Wildlife,Released,692,376,0,502,128,70,318,0,2086
2002,Wildlife,In Stock,27,4,0,1,0,1,4,0,37
2002,Wildlife,Transferred,51,335,0,63,273,65,1112,0,1899
2002,Wildlife,Euthanized,1329,370,0,1241,421,63,3432,0,6856
2002,Wildlife,Other,0,37,0,0,0,6,629,0,672
2002,Other Animals,Reclaimed,19,26,0,10,72,14,10,0,151
2002,Other Animals,Rehomed,160,215,6,3,73,66,185,0,708
2002,Other Animals,In Stock,21,77,2,5,0,5,0,110,NA
2002,Other Animals,Transferred,0,78,0,0,0,2,0,80,NA
2002,Other Animals,Euthanized,76,752,0,1,204,23,253,0,1309
2002,Other Animals,Other,2,20,0,0,0,95,0,117,NA
2003,Dogs,Reclaimed,620,3310,195,1692,1395,510,6573,689,14984
2003,Dogs,Rehomed,808,6053,504,3581,1502,508,4697,781,18434
2003,Dogs,In Stock,81,812,50,0,77,69,452,75,1616
2003,Dogs,Transferred,0,687,19,0,318,128,50,0,1202
2003,Dogs,Euthanized,197,6992,1001,7265,1358,313,4855,188,22169
2003,Dogs,Other,0,152,0,0,0,11,16,0,179
2003,Cats,Reclaimed,125,213,29,270,140,35,639,6,1475
2003,Cats,Rehomed,1078,4343,237,3664,967,633,4851,377,16150
2003,Cats,In Stock,30,768,20,0,36,59,154,44,1111
2003,Cats,Transferred,0,283,0,0,0,185,815,0,1283
2003,Cats,Euthanized,1220,7910,1040,12426,3273,1001,8979,85,35934
2003,Cats,Other,11,164,90,0,0,16,11,0,292
2003,Horses,Reclaimed,0,11,0,0,2,8,1,0,22
2003,Horses,Rehomed,0,12,0,2,2,14,0,0,36
2003,Horses,In Stock,2,3,0,0,3,1,0,0,9
2003,Horses,Transferred,0,0,0,0,0,0,0,0,0
2003,Horses,Euthanized,0,3,0,7,5,0,0,0,15
2003,Horses,Other,0,0,0,0,0,0,10,0,10
2003,Livestock,Reclaimed,4,13,0,5,15,8,87,7,139
2003,Livestock,Rehomed,84,287,12,180,47,82,0,57,749
2003,Livestock,In Stock,1,16,0,0,0,5,28,9,59
2003,Livestock,Transferred,1,14,0,0,0,2,365,0,382
2003,Livestock,Euthanized,0,253,0,200,62,2,420,10,947
2003,Livestock,Other,0,13,0,0,0,7,0,0,20
2003,Wildlife,Released,837,212,0,297,151,34,0,0,1531
2003,Wildlife,In Stock,32,67,0,0,0,0,60,0,159
2003,Wildlife,Transferred,635,305,0,471,227,68,1404,0,2475
2003,Wildlife,Euthanized,899,450,0,2645,906,61,2612,0,7573
2003,Wildlife,Other,51,173,0,469,0,20,0,0,1348
2003,Other Animals,Reclaimed,20,26,0,0,31,22,21,0,120
2003,Other Animals,Rehomed,268,270,15,97,264,64,128,0,1106
2003,Other Animals,In Stock,0,286,0,0,5,3,39,0,333
2003,Other Animals,Transferred,0,80,0,0,0,9,0,0,89
2003,Other Animals,Euthanized,153,1217,0,662,244,12,1004,0,3352
2003,Other Animals,Other,4,53,0,0,0,5,0,0,62
2004,Dogs,Reclaimed,610,4278,168,1661,1770,470,6667,555,16179
2004,Dogs,Rehomed,636,5493,588,4023,776,720,4534,750,17520
2004,Dogs,In Stock,79,4173,48,106,93,54,418,70,5041
2004,Dogs,Transferred,12,0,0,0,0,117,250,0,379
2004,Dogs,Euthanized,247,7456,903,6197,883,203,4637,132,20658
2004,Dogs,Other,13,133,1,103,0,3,0,0,253
2004,Cats,Reclaimed,134,247,18,219,70,30,647,0,1365
2004,Cats,Rehomed,1014,3906,367,3577,942,820,5599,364,16589
2004,Cats,In Stock,58,3504,42,92,44,114,193,45,4092
2004,Cats,Transferred,14,0,0,0,0,193,804,0,1011
2004,Cats,Euthanized,1010,8255,617,10469,1748,657,9133,52,31941
2004,Cats,Other,24,45,20,154,0,15,35,0,293
2004,Horses,Reclaimed,1,3,0,0,0,2,4,0,10
2004,Horses,Rehomed,1,4,0,5,1,1,0,10,22
2004,Horses,In Stock,2,4,0,0,2,0,2,1,11
2004,Horses,Transferred,0,0,0,0,0,0,1,0,1
2004,Horses,Euthanized,0,0,0,1,1,0,0,2,4
2004,Horses,Other,0,3,0,2,0,0,0,0,5
2004,Livestock,Reclaimed,1,4,0,4,6,23,18,0,56
2004,Livestock,Rehomed,55,158,17,148,26,89,42,21,556
2004,Livestock,In Stock,2,583,4,51,6,5,17,1,669
2004,Livestock,Transferred,0,0,0,0,0,1,165,0,166
2004,Livestock,Euthanized,45,228,2,332,77,3,119,2,808
2004,Livestock,Other,1,8,0,237,0,11,1,0,258
2004,Wildlife,Released,652,33,0,233,123,20,132,0,1193
2004,Wildlife,In Stock,55,8,0,29,0,0,63,0,155
2004,Wildlife,Transferred,9,0,23,389,0,149,1602,0,2172
2004,Wildlife,Euthanized,720,174,0,2089,217,57,1766,2,5025
2004,Wildlife,Other,604,41,0,349,0,14,121,0,1129
2004,Other Animals,Reclaimed,15,12,0,30,6,20,50,1,134
2004,Other Animals,Rehomed,138,238,11,111,85,93,312,22,1010
2004,Other Animals,In Stock,12,233,2,34,6,3,29,1,320
2004,Other Animals,Transferred,2,0,5,0,0,2,13,0,22
2004,Other Animals,Euthanized,219,1210,0,666,278,26,495,2,2896
2004,Other Animals,Other,13,11,0,162,0,9,21,0,216
2005,Dogs,Reclaimed,518,7598,183,3197,2208,635,7126,430,21895
2005,Dogs,Rehomed,667,5075,606,5323,552,696,4508,772,18199
2005,Dogs,In Stock,57,657,NA,456,97,79,472,133,1951
2005,Dogs,Transferred,0,390,NA,47,451,127,0,0,1015
2005,Dogs,Euthanized,188,8146,505,6883,1274,344,4141,73,21554
2005,Dogs,Other,5,211,3,1403,NA,8,100,0,1730
2005,Cats,Reclaimed,278,308,19,460,136,51,728,3,1983
2005,Cats,Rehomed,1223,4442,384,4514,1235,900,5702,391,18791
2005,Cats,In Stock,45,399,NA,474,96,52,218,52,1336
2005,Cats,Transferred,0,18,NA,21,0,300,829,0,1168
2005,Cats,Euthanized,1040,9959,801,12727,3260,1121,8073,29,37010
2005,Cats,Other,12,151,17,635,0,15,65,0,895
2005,Horses,Reclaimed,0,14,0,6,0,8,2,0,30
2005,Horses,Rehomed,1,15,0,13,0,0,2,2,33
2005,Horses,In Stock,2,3,0,7,2,2,0,0,16
2005,Horses,Transferred,0,10,0,0,0,0,0,0,10
2005,Horses,Euthanized,0,1,0,1,4,1,1,0,8
2005,Horses,Other,0,0,0,0,0,0,0,0,0
2005,Livestock,Reclaimed,3,45,0,15,29,4,90,0,186
2005,Livestock,Rehomed,112,396,0,404,271,102,159,5,1349
2005,Livestock,In Stock,9,101,0,26,13,0,6,0,155
2005,Livestock,Transferred,0,70,0,0,0,9,0,0,79
2005,Livestock,Euthanized,54,364,0,377,70,14,144,1,1024
2005,Livestock,Other,0,49,0,75,0,0,1,0,125
2005,Wildlife,Released,791,41,0,882,89,18,0,0,1821
2005,Wildlife,In Stock,53,3,0,22,0,0,39,0,117
2005,Wildlife,Transferred,0,242,0,1,118,124,1091,0,1576
2005,Wildlife,Euthanized,1028,257,0,2626,254,58,1864,0,6087
2005,Wildlife,Other,664,125,0,478,0,32,151,0,1450
2005,Other Animals,Reclaimed,5,41,NA,54,10,5,47,0,162
2005,Other Animals,Rehomed,113,249,NA,694,108,95,329,6,1594
2005,Other Animals,In Stock,24,41,NA,80,2,1,76,0,224
2005,Other Animals,Transferred,0,260,NA,0,0,0,0,0,260
2005,Other Animals,Euthanized,181,1074,NA,645,222,11,373,1,2507
2005,Other Animals,Other,0,362,NA,97,NA,2,20,0,481
2006,Dogs,Reclaimed,564,5062,147,3216,1957,714,8159,499,20318
2006,Dogs,Rehomed,558,5746,593,5349,743,812,4769,956,19526
2006,Dogs,In Stock,58,913,39,429,69,96,326,104,2034
2006,Dogs,Transferred,42,1300,0,4,279,140,0,0,1765
2006,Dogs,Euthanized,179,8597,506,6946,1285,314,3926,220,21973
2006,Dogs,Other,5,189,2,1512,226,NA,153,5,2087
2006,Cats,Reclaimed,111,298,11,456,138,8,750,1,1773
2006,Cats,Rehomed,1218,4542,344,5206,1340,994,4926,635,19205
2006,Cats,In Stock,47,756,49,478,73,76,202,52,1733
2006,Cats,Transferred,5,353,0,13,0,412,609,0,1392
2006,Cats,Euthanized,1130,9773,795,10257,2877,1340,7061,110,33343
2006,Cats,Other,27,145,18,683,136,0,25,0,1034
2006,Horses,Reclaimed,1,6,0,6,1,4,2,0,20
2006,Horses,Rehomed,5,35,0,13,1,2,0,0,56
2006,Horses,In Stock,0,21,0,11,1,9,35,0,77
2006,Horses,Transferred,0,0,0,0,0,0,0,0,0
2006,Horses,Euthanized,0,6,0,7,4,1,1,0,19
2006,Horses,Other,0,0,0,0,0,0,1,0,1
2006,Livestock,Reclaimed,2,9,NA,30,5,7,42,0,95
2006,Livestock,Rehomed,51,288,8,466,37,111,189,19,1169
2006,Livestock,In Stock,3,81,2,22,1,7,7,0,123
2006,Livestock,Transferred,0,34,0,13,0,1,0,0,48
2006,Livestock,Euthanized,29,350,1,317,32,13,207,3,952
2006,Livestock,Other,1,18,3,94,0,0,1,0,117
2006,Wildlife,Released,18,0,917,26,127,19,0,1893,1893
2006,Wildlife,In Stock,57,0,51,0,0,6,0,142,142
2006,Wildlife,Transferred,290,0,0,106,120,979,0,1502,1502
2006,Wildlife,Euthanized,324,0,2707,187,37,1578,0,6035,6035
2006,Wildlife,Other,116,0,538,17,14,8,0,1318,1318
2006,Other Animals,Reclaimed,30,0,73,11,4,38,0,167,167
2006,Other Animals,Rehomed,249,9,665,121,72,229,21,1631,1631
2006,Other Animals,In Stock,67,0,52,20,0,12,0,169,169
2006,Other Animals,Transferred,169,0,2,15,0,0,0,186,186
2006,Other Animals,Euthanized,970,1,273,195,9,633,5,2291,2291
2006,Other Animals,Other,43,2,128,0,0,44,0,227,227
2007,Dogs,Reclaimed,661,4825,147,4150,2187,582,9018,591,22161
2007,Dogs,Rehomed,597,5619,593,5152,1066,329,4893,1027,19276
2007,Dogs,In Stock,55,1059,39,688,106,35,458,71,2511
2007,Dogs,Transferred,123,718,0,2,561,66,0,0,1470
2007,Dogs,Euthanized,107,9738,506,6962,1350,533,4419,157,23772
2007,Dogs,Other,3,717,2,303,0,0,299,0,1324
2007,Cats,Reclaimed,154,478,11,654,231,54,873,0,2455
2007,Cats,Rehomed,1292,4874,344,5051,1486,717,5268,621,19653
2007,Cats,In Stock,75,808,49,747,107,48,303,42,2179
2007,Cats,Transferred,0,373,0,1,155,112,606,0,1247
2007,Cats,Euthanized,1355,13267,795,11243,4252,1181,10567,71,42731
2007,Cats,Other,33,71,18,394,0,0,253,0,769
2007,Horses,Reclaimed,0,12,0,13,0,2,19,0,46
2007,Horses,Rehomed,0,38,0,16,1,7,8,8,78
2007,Horses,In Stock,0,6,0,15,0,7,18,1,47
2007,Horses,Transferred,0,0,0,0,0,0,0,0,0
2007,Horses,Euthanized,0,2,0,8,5,3,7,0,25
2007,Horses,Other,0,0,0,0,0,0,0,0,0
2007,Livestock,Reclaimed,4,33,0,35,4,9,25,0,110
2007,Livestock,Rehomed,56,240,8,654,64,72,232,44,1370
2007,Livestock,In Stock,2,72,2,15,1,6,38,2,138
2007,Livestock,Transferred,0,0,0,0,0,2,0,0,2
2007,Livestock,Euthanized,6,306,1,375,28,20,130,2,868
2007,Livestock,Other,2,44,3,74,0,0,11,0,134
2007,Wildlife,Released,824,46,0,1014,253,16,41,0,2194
2007,Wildlife,In Stock,58,16,0,80,0,0,31,0,185
2007,Wildlife,Transferred,22,435,0,0,257,135,714,0,1563
2007,Wildlife,Euthanized,1366,496,0,2860,731,83,1214,0,6750
2007,Wildlife,Other,1515,358,0,573,2,0,279,0,2727
2007,Other Animals,Reclaimed,19,59,0,75,19,5,45,0,222
2007,Other Animals,Rehomed,319,320,9,1025,179,56,243,21,2172
2007,Other Animals,In Stock,24,65,0,40,6,6,59,0,200
2007,Other Animals,Transferred,0,1,0,1,8,0,42,0,52
2007,Other Animals,Euthanized,222,1411,1,367,151,33,1181,6,3372
2007,Other Animals,Other,18,51,2,58,0,0,62,0,191
2008,Dogs,Reclaimed,735,4947,86,4860,2099,702,8846,621,22896
2008,Dogs,Rehomed,493,5397,450,5263,1065,584,4939,1045,19236
2008,Dogs,In Stock,70,1145,57,756,140,73,312,128,2681
2008,Dogs,Transferred,191,1212,0,14,356,80,0,0,1853
2008,Dogs,Euthanized,136,9286,266,6878,1008,305,3958,248,22085
2008,Dogs,Other,3,391,2,1175,0,0,61,0,632
2008,Cats,Reclaimed,193,473,5,582,195,62,935,2,2447
2008,Cats,Rehomed,1229,4654,291,5188,1427,829,5090,958,19666
2008,Cats,In Stock,47,962,179,745,132,131,178,110,2484
2008,Cats,Transferred,0,690,0,41,4,129,616,0,1480
2008,Cats,Euthanized,1175,12477,212,11045,2712,1974,9801,99,39495
2008,Cats,Other,10,281,15,226,0,6,95,0,633
2008,Horses,Reclaimed,0,10,0,5,1,1,18,0,35
2008,Horses,Rehomed,0,18,0,25,0,21,13,2,79
2008,Horses,In Stock,0,30,0,5,0,6,22,0,63
2008,Horses,Transferred,0,0,0,0,0,0,0,0,0
2008,Horses,Euthanized,0,9,0,9,4,3,9,0,34
2008,Horses,Other,0,3,0,0,0,0,0,0,3
2008,Livestock,Reclaimed,4,24,0,54,8,7,38,1,136
2008,Livestock,Rehomed,60,281,0,466,33,161,177,38,1216
2008,Livestock,In Stock,8,199,0,39,1,9,18,3,277
2008,Livestock,Transferred,0,54,0,0,0,1,0,0,55
2008,Livestock,Euthanized,9,357,0,332,14,64,141,2,919
2008,Livestock,Other,2,22,0,31,0,2,3,0,60
2008,Wildlife,Released,813,95,0,562,135,42,29,0,1676
2008,Wildlife,In Stock,38,62,0,25,16,1,15,0,157
2008,Wildlife,Transferred,17,181,0,596,119,70,758,0,1741
2008,Wildlife,Euthanized,1580,452,0,3021,134,77,1054,0,6318
2008,Wildlife,Other,757,306,0,494,24,25,186,0,1792
2008,Other Animals,Reclaimed,15,34,0,74,5,25,25,0,178
2008,Other Animals,Rehomed,343,395,6,909,185,120,299,47,2304
2008,Other Animals,In Stock,30,35,0,174,7,11,29,0,287
2008,Other Animals,Transferred,0,0,0,5,0,7,19,0,31
2008,Other Animals,Euthanized,167,1573,3,879,139,60,633,4,3458
2008,Other Animals,Other,15,94,0,113,0,7,18,0,214
2009,Dogs,Reclaimed,757,5307,79,5103,2346,677,9399,555,24223
2009,Dogs,Rehomed,477,5298,369,5440,1440,546,4609,828,19007
2009,Dogs,Currently In Care,65,1386,46,644,171,88,330,110,2840
2009,Dogs,Transferred,255,709,0,166,361,77,2,0,1570
2009,Dogs,Euthanized,98,8361,138,6454,1233,363,3297,233,20177
2009,Dogs,Other,18,267,0,233,289,26,96,0,929
2009,Cats,Reclaimed,191,484,21,550,222,64,919,0,2451
2009,Cats,Rehomed,1235,4668,356,4764,1674,912,4899,935,19443
2009,Cats,Currently In Care,139,1142,55,708,120,172,250,69,2655
2009,Cats,Transferred,0,740,0,228,13,60,704,0,1745
2009,Cats,Euthanized,1133,13084,177,9303,4028,1682,9086,149,38642
2009,Cats,Other,50,185,12,249,239,26,17,0,781
2009,Horses,Reclaimed,0,20,0,13,0,1,14,0,48
2009,Horses,Rehomed,2,37,0,20,1,23,22,7,112
2009,Horses,Currently In Care,1,22,0,10,1,9,6,5,54
2009,Horses,Transferred,0,0,0,14,0,0,0,0,14
2009,Horses,Euthanized,1,14,0,4,0,1,3,4,27
2009,Horses,Other,0,0,0,1,0,0,0,0,1
2009,Livestock,Reclaimed,2,119,0,41,14,10,155,0,341
2009,Livestock,Rehomed,66,431,0,446,462,85,347,86,1923
2009,Livestock,Currently In Care,24,220,0,70,3,55,14,0,386
2009,Livestock,Transferred,0,5,0,31,0,0,0,0,36
2009,Livestock,Euthanized,7,419,0,395,43,49,147,4,1064
2009,Livestock,Other,0,15,0,49,0,7,43,0,114
2009,Wildlife,Released,1180,48,0,1360,164,24,9,0,2785
2009,Wildlife,Currently In Care,107,48,0,21,3,0,6,0,185
2009,Wildlife,Transferred,3,303,0,111,146,46,688,0,1294
2009,Wildlife,Euthanized,1241,485,0,3769,450,178,806,1,6930
2009,Wildlife,Other,815,313,0,574,109,44,218,0,2073
2009,Other Animals,Reclaimed,23,44,4,70,19,14,59,0,233
2009,Other Animals,Rehomed,436,596,4,759,316,191,411,44,2697
2009,Other Animals,Currently In Care,45,22,1,50,16,25,53,0,212
2009,Other Animals,Transferred,0,38,0,158,56,45,0,0,297
2009,Other Animals,Euthanized,181,1722,3,516,171,30,686,7,3316
2009,Other Animals,Other,34,115,0,114,0,12,127,0,402
2010,Dogs,Reclaimed,923,5039,146,5703,2131,621,8831,534,23928
2010,Dogs,Rehomed,434,5052,345,5462,1136,639,4665,665,18398
2010,Dogs,Currently In Care,59,805,20,868,73,110,456,64,2455
2010,Dogs,Transferred,219,1612,0,447,402,60,5,1,2746
2010,Dogs,Euthanized,105,8209,225,6618,1012,239,2893,282,19583
2010,Dogs,Other,11,242,4,156,6,21,22,3,463
2010,Cats,Reclaimed,161,470,16,699,132,83,819,6,2386
2010,Cats,Rehomed,1221,4554,353,4933,1513,1078,4668,684,19004
2010,Cats,Currently In Care,121,1338,21,783,92,294,297,23,2969
2010,Cats,Transferred,1,1118,0,256,58,22,559,0,2014
2010,Cats,Euthanized,1252,13031,228,9566,2630,1667,8527,276,37177
2010,Cats,Other,109,192,16,218,481,24,15,12,1067
2010,Horses,Reclaimed,0,11,0,16,0,0,4,0,31
2010,Horses,Rehomed,1,40,0,15,1,21,5,8,91
2010,Horses,Currently In Care,1,11,0,13,0,1,19,5,50
2010,Horses,Transferred,0,1,0,11,0,0,0,0,12
2010,Horses,Euthanized,0,12,0,8,8,1,1,2,24
2010,Horses,Other,0,0,0,0,0,0,0,0,0
2010,Livestock,Reclaimed,3,107,4,46,1,9,34,0,204
2010,Livestock,Rehomed,88,422,0,451,20,160,241,133,1515
2010,Livestock,Currently In Care,13,234,0,62,2,15,16,11,353
2010,Livestock,Transferred,0,61,0,58,0,1,0,0,120
2010,Livestock,Euthanized,19,417,0,324,80,62,163,22,1087
2010,Livestock,Other,6,14,0,73,1,3,56,0,153
2010,Wildlife,Released,894,39,0,827,25,13,41,1,1840
2010,Wildlife,Currently In Care,120,48,0,66,0,12,18,0,264
2010,Wildlife,Transferred,31,301,0,1675,98,60,593,0,2758
2010,Wildlife,Euthanized,1542,483,0,3986,186,103,730,3,7033
2010,Wildlife,Other,653,308,0,848,10,22,212,2,2055
2010,Other Animals,Reclaimed,35,34,1,68,16,13,58,0,225
2010,Other Animals,Rehomed,329,456,3,647,248,180,614,0,2500
2010,Other Animals,Currently In Care,37,15,0,91,8,55,88,0,297
2010,Other Animals,Transferred,0,106,0,428,11,14,0,0,559
2010,Other Animals,Euthanized,129,1472,13,426,382,42,873,0,3346
2010,Other Animals,Other,46,85,0,87,14,68,84,0,387
2011,Dogs,Reclaimed,967,896,141,5132,2044,666,8204,566,18616
2011,Dogs,Rehomed,358,4921,376,5988,946,681,4249,456,17975
2011,Dogs,Currently In Care,100,633,50,746,30,102,525,101,2287
2011,Dogs,Transferred,245,609,0,802,323,56,7,0,2042
2011,Dogs,Euthanized,117,4862,150,5242,899,327,2306,308,14211
2011,Dogs,Other,20,68,4,118,42,8,169,3,432
2011,Cats,Reclaimed,226,243,16,580,125,69,898,9,2166
2011,Cats,Rehomed,1243,4589,289,6191,1441,1390,4900,446,20489
2011,Cats,Currently In Care,71,1241,115,767,62,190,515,35,2996
2011,Cats,Transferred,0,731,0,174,105,44,365,0,1419
2011,Cats,Euthanized,822,9531,188,5684,2125,1113,4952,236,24651
2011,Cats,Other,38,74,19,204,84,33,152,12,616
2011,Horses,Reclaimed,0,7,0,22,0,0,0,0,29
2011,Horses,Rehomed,1,31,0,19,4,8,10,2,75
2011,Horses,Currently In Care,0,51,0,12,0,5,13,4,85
2011,Horses,Transferred,0,0,0,8,0,0,0,0,8
2011,Horses,Euthanized,1,10,0,2,3,2,13,2,33
2011,Horses,Other,0,0,0,0,2,0,0,0,2
2011,Livestock,Reclaimed,6,11,1,15,3,11,21,0,68
2011,Livestock,Rehomed,92,478,0,385,6,94,158,38,1251
2011,Livestock,Currently In Care,9,289,0,42,0,21,38,6,405
2011,Livestock,Transferred,0,10,0,112,0,2,2,0,126
2011,Livestock,Euthanized,24,369,0,318,3,63,138,13,928
2011,Livestock,Other,1,8,0,43,2,2,10,2,68
2011,Wildlife,Released,697,49,0,1029,44,26,69,0,1914
2011,Wildlife,Currently In Care,89,114,0,33,29,1,9,0,275
2011,Wildlife,Transferred,24,255,0,2345,17,50,567,0,3258
2011,Wildlife,Euthanized,1612,349,1,4428,45,69,787,0,7291
2011,Wildlife,Other,428,197,0,477,1,14,240,0,1357
2011,Other Animals,Reclaimed,47,36,0,86,18,28,25,5,245
2011,Other Animals,Rehomed,384,609,8,758,296,184,482,97,2818
2011,Other Animals,Currently In Care,70,19,0,67,25,15,107,19,322
2011,Other Animals,Transferred,0,20,0,144,53,4,8,0,229
2011,Other Animals,Euthanized,191,1284,4,328,228,29,470,40,2574
2011,Other Animals,Other,26,36,1,88,41,8,62,2,264
2012,Dogs,Reclaimed,1072,1208,94,5568,1800,652,7259,303,17956
2012,Dogs,Rehomed,389,4693,253,5809,1043,550,3636,254,16627
2012,Dogs,Currently In Care,76,652,93,761,435,74,485,94,2670
2012,Dogs,Transferred,152,452,0,717,2,0,11,0,1334
2012,Dogs,Euthanized,132,4021,106,2999,618,343,1973,163,10355
2012,Dogs,Other,9,45,0,134,11,5,43,0,247
