ADM_name,ISO3,Date,Name,Type
Afghanistan,AFG,2013-08-07,eid al-fitr,Public holiday
Afghanistan,AFG,2013-08-08,eid al-fitr,Public holiday
Afghanistan,AFG,2013-08-09,eid al-fitr,Public holiday
Afghanistan,AFG,2013-08-10,eid al-fitr,Public holiday
Afghanistan,AFG,2013-08-19,Independence Day (National Day),Public holiday
Afghanistan,AFG,2013-10-13,Day of Arafat,Public holiday
Afghanistan,AFG,2013-10-14,Day of Arafat,Public holiday
Afghanistan,AFG,2013-11-13,Ashura,Public holiday
Afghanistan,AFG,2013-11-14,Ashura,Public holiday
Afghanistan,AFG,2014-01-14,The Prophet's Birthday,Public holiday
Afghanistan,AFG,2014-04-28,Afghan Victory Day,Public holiday
Afghanistan,AFG,2014-06-29,Ramadan starts,Public holiday
Afghanistan,AFG,2014-07-29,Eid al-Fitr,Public holiday
Afghanistan,AFG,2014-07-30,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2014-07-31,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2014-08-19,Independence Day (National Day),Public holiday
Afghanistan,AFG,2014-09-09,Martyrs and Ahmad Shah Masoud Day,Public holiday
Afghanistan,AFG,2014-10-04,Day of Arafat,Public holiday
Afghanistan,AFG,2014-10-05,Eid al-Qurban,Public holiday
Afghanistan,AFG,2014-10-06,Eid al-Qurban Holiday,Public holiday
Afghanistan,AFG,2014-10-07,Eid al-Qurban Holiday,Public holiday
Afghanistan,AFG,2014-11-03,Ashura,Public holiday
Afghanistan,AFG,2015-01-03,The Prophet's Birthday,Public holiday
Afghanistan,AFG,2015-03-21,Nawrooz,Public holiday
Afghanistan,AFG,2015-04-28,Afghan Victory Day,Public holiday
Afghanistan,AFG,2015-06-18,Ramadan starts,Public holiday
Afghanistan,AFG,2015-07-18,Eid al-Fitr,Public holiday
Afghanistan,AFG,2015-07-19,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2015-07-20,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2015-08-19,Independence Day (National Day),Public holiday
Afghanistan,AFG,2015-09-09,Martyrs and Ahmad Shah Masoud Day,Public holiday
Afghanistan,AFG,2015-09-20,Commemoration of the assassination of Burhanuddin Rabbani,Public holiday
Afghanistan,AFG,2015-09-23,Day of Arafat,Public holiday
Afghanistan,AFG,2015-09-23,Eid al-Qurban,Public holiday
Afghanistan,AFG,2015-09-24,Eid al-Qurban,Public holiday
Afghanistan,AFG,2015-09-25,Eid al-Qurban,Public holiday
Afghanistan,AFG,2015-09-25,Eid al-Qurban Holiday,Public holiday
Afghanistan,AFG,2015-09-26,Eid al-Qurban Holiday,Public holiday
Afghanistan,AFG,2015-10-24,Ashura,Public holiday
Afghanistan,AFG,2015-12-24,The Prophet's Birthday,Public holiday
Afghanistan,AFG,2016-04-28,Afghan Victory Day,Public holiday
Afghanistan,AFG,2016-06-07,Ramadan starts,Public holiday
Afghanistan,AFG,2016-07-07,Eid al-Fitr,Public holiday
Afghanistan,AFG,2016-07-08,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2016-07-09,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2016-08-19,Independence Day (National Day),Public holiday
Afghanistan,AFG,2016-09-09,Martyrs and Ahmad Shah Masoud Day,Public holiday
Afghanistan,AFG,2016-09-12,Day of Arafat,Public holiday
Afghanistan,AFG,2016-09-13,Eid al-Qurban,Public holiday
Afghanistan,AFG,2016-09-14,Eid al-Qurban Holiday,Public holiday
Afghanistan,AFG,2016-09-15,Eid al-Qurban Holiday,Public holiday
Afghanistan,AFG,2016-10-12,Ashura,Public holiday
Afghanistan,AFG,2016-12-12,The Prophet's Birthday,Public holiday
Afghanistan,AFG,2017-02-14,Soviet Withdrawal from Afghanistan,Public holiday
Afghanistan,AFG,2017-04-28,Afghan Victory Day,Public holiday
Afghanistan,AFG,2017-04-29,Afghan Victory Day observed,Public holiday
Afghanistan,AFG,2017-05-27,Ramadan starts,Public holiday
Afghanistan,AFG,2017-06-26,Eid al-Fitr,Public holiday
Afghanistan,AFG,2017-06-27,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2017-06-28,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2017-08-19,Independence Day (National Day),Public holiday
Afghanistan,AFG,2017-09-01,Day of Arafat,Public holiday
Afghanistan,AFG,2017-09-02,Eid al-Qurban,Public holiday
Afghanistan,AFG,2017-09-03,Eid al-Qurban Holiday,Public holiday
Afghanistan,AFG,2017-09-04,Eid al-Qurban Holiday,Public holiday
Afghanistan,AFG,2017-09-09,Martyrs and Ahmad Shah Masoud Day,Public holiday
Afghanistan,AFG,2017-10-01,Ashura,Public holiday
Afghanistan,AFG,2017-12-01,The Prophet's Birthday,Public holiday
Afghanistan,AFG,2018-03-21,Naw Roz,Public holiday
Afghanistan,AFG,2018-04-28,Afghan Victory Day,Public holiday
Afghanistan,AFG,2018-05-16,Ramadan starts,Public holiday
Afghanistan,AFG,2018-06-15,Eid al-Fitr,Public holiday
Afghanistan,AFG,2018-06-16,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2018-06-17,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2018-08-19,Independence Day (National Day),Public holiday
Afghanistan,AFG,2018-08-21,Day of Arafat,Public holiday
Afghanistan,AFG,2018-08-22,Eid al-Qurban,Public holiday
Afghanistan,AFG,2018-08-23,Eid al-Qurban Holiday,Public holiday
Afghanistan,AFG,2018-08-24,Eid al-Qurban Holiday,Public holiday
Afghanistan,AFG,2018-09-09,Martyrs and Ahmad Shah Masoud Day,Public holiday
Afghanistan,AFG,2018-09-21,Ashura,Public holiday
Afghanistan,AFG,2018-11-21,The Prophet's Birthday,Public holiday
Afghanistan,AFG,2019-03-21,Naw Roz,Public holiday
Afghanistan,AFG,2019-04-28,Afghan Victory Day,Public holiday
Afghanistan,AFG,2019-04-29,Loya Jirga Gathering Holiday (Kabul Only),Public holiday
Afghanistan,AFG,2019-04-30,Loya Jirga Gathering Holiday (Kabul Only),Public holiday
Afghanistan,AFG,2019-05-01,Loya Jirga Gathering Holiday (Kabul Only),Public holiday
Afghanistan,AFG,2019-05-02,Loya Jirga Gathering Holiday (Kabul Only),Public holiday
Afghanistan,AFG,2019-05-03,Loya Jirga Gathering Holiday (Kabul Only),Public holiday
Afghanistan,AFG,2019-05-06,Ramadan starts,Public holiday
Afghanistan,AFG,2019-06-04,Eid al-Fitr,Public holiday
Afghanistan,AFG,2019-06-05,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2019-06-06,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2019-08-10,Day of Arafat,Public holiday
Afghanistan,AFG,2019-08-11,Eid al-Qurban,Public holiday
Afghanistan,AFG,2019-08-12,Eid al-Qurban Holiday,Public holiday
Afghanistan,AFG,2019-08-13,Eid al-Qurban Holiday,Public holiday
Afghanistan,AFG,2019-08-19,Independence Day (National Day),Public holiday
Afghanistan,AFG,2019-09-09,Martyrs and Ahmad Shah Masoud Day,Public holiday
Afghanistan,AFG,2019-09-10,Ashura,Public holiday
Afghanistan,AFG,2019-11-10,The Prophet's Birthday,Public holiday
Angola,AGO,2010-01-01,New Year,Public holiday
Angola,AGO,2010-02-04,Liberation Movement Day,Public holiday
Angola,AGO,2010-02-16,Carnival,Public holiday
Angola,AGO,2010-03-08,International Woman's Day,Public holiday
Angola,AGO,2010-04-02,Good Friday,Public holiday
Angola,AGO,2010-04-04,Peace Day,Public holiday
Angola,AGO,2010-04-05,Day off for Peace Day,Public holiday
Angola,AGO,2010-05-01,May Day,Public holiday
Angola,AGO,2010-09-17,National Hero Day,Public holiday
Angola,AGO,2010-11-02,All Souls' Day,Public holiday
Angola,AGO,2010-11-11,Independence Day,Public holiday
Angola,AGO,2010-12-25,Christmas Day,Public holiday
Angola,AGO,2011-01-01,New Year,Public holiday
Angola,AGO,2011-02-04,Liberation Movement Day,Public holiday
Angola,AGO,2011-03-08,Carnival,Public holiday
Angola,AGO,2011-03-08,International Woman's Day,Public holiday
Angola,AGO,2011-04-04,Peace Day,Public holiday
Angola,AGO,2011-04-22,Good Friday,Public holiday
Angola,AGO,2011-05-01,May Day,Public holiday
Angola,AGO,2011-05-02,Day off for May Day,Public holiday
Angola,AGO,2011-09-17,National Hero Day,Public holiday
Angola,AGO,2011-11-02,All Souls' Day,Public holiday
Angola,AGO,2011-11-11,Independence Day,Public holiday
Angola,AGO,2011-12-25,Christmas Day,Public holiday
Angola,AGO,2011-12-26,Day off for Christmas Day,Public holiday
Angola,AGO,2012-01-01,New Year,Public holiday
Angola,AGO,2012-01-02,Day off for New Year,Public holiday
Angola,AGO,2012-02-04,Liberation Movement Day,Public holiday
Angola,AGO,2012-02-21,Carnival,Public holiday
Angola,AGO,2012-03-08,International Woman's Day,Public holiday
Angola,AGO,2012-04-04,Peace Day,Public holiday
Angola,AGO,2012-04-06,Good Friday,Public holiday
Angola,AGO,2012-05-01,May Day,Public holiday
Angola,AGO,2012-09-17,National Hero Day,Public holiday
Angola,AGO,2012-11-02,All Souls' Day,Public holiday
Angola,AGO,2012-11-11,Independence Day,Public holiday
Angola,AGO,2012-11-12,Day off for Independence Day,Public holiday
Angola,AGO,2012-12-25,Christmas Day,Public holiday
Angola,AGO,2013-01-01,New Year,Public holiday
Angola,AGO,2013-02-04,Liberation Movement Day,Public holiday
Angola,AGO,2013-02-12,Carnival,Public holiday
Angola,AGO,2013-03-08,International Woman's Day,Public holiday
Angola,AGO,2013-03-29,Good Friday,Public holiday
Angola,AGO,2013-04-04,Peace Day,Public holiday
Angola,AGO,2013-05-01,May Day,Public holiday
Angola,AGO,2013-09-17,National Hero Day,Public holiday
Angola,AGO,2013-11-02,All Souls' Day,Public holiday
Angola,AGO,2013-11-11,Independence Day,Public holiday
Angola,AGO,2013-12-25,Christmas Day,Public holiday
Angola,AGO,2014-01-01,New Year,Public holiday
Angola,AGO,2014-02-04,Liberation Movement Day,Public holiday
Angola,AGO,2014-03-04,Carnival,Public holiday
Angola,AGO,2014-03-08,International Woman's Day,Public holiday
Angola,AGO,2014-04-04,Peace Day,Public holiday
Angola,AGO,2014-04-18,Good Friday,Public holiday
Angola,AGO,2014-05-01,May Day,Public holiday
Angola,AGO,2014-09-17,National Hero Day,Public holiday
Angola,AGO,2014-11-02,All Souls' Day,Public holiday
Angola,AGO,2014-11-03,Day off for All Souls' Day,Public holiday
Angola,AGO,2014-11-11,Independence Day,Public holiday
Angola,AGO,2014-12-25,Christmas Day,Public holiday
Angola,AGO,2015-01-01,New Year,Public holiday
Angola,AGO,2015-02-04,Liberation Movement Day,Public holiday
Angola,AGO,2015-02-17,Carnival,Public holiday
Angola,AGO,2015-03-08,International Woman's Day,Public holiday
Angola,AGO,2015-03-09,Day off for International Woman's Day,Public holiday
Angola,AGO,2015-04-03,Good Friday,Public holiday
Angola,AGO,2015-04-04,Peace Day,Public holiday
Angola,AGO,2015-05-01,May Day,Public holiday
Angola,AGO,2015-09-17,National Hero Day,Public holiday
Angola,AGO,2015-11-02,All Souls' Day,Public holiday
Angola,AGO,2015-11-11,Independence Day,Public holiday
Angola,AGO,2015-12-25,Christmas Day,Public holiday
Angola,AGO,2016-01-01,New Year,Public holiday
Angola,AGO,2016-02-04,Liberation Movement Day,Public holiday
Angola,AGO,2016-02-09,Carnival,Public holiday
Angola,AGO,2016-03-08,International Woman's Day,Public holiday
Angola,AGO,2016-03-25,Good Friday,Public holiday
Angola,AGO,2016-04-04,Peace Day,Public holiday
Angola,AGO,2016-05-01,May Day,Public holiday
Angola,AGO,2016-05-02,Day off for May Day,Public holiday
Angola,AGO,2016-09-17,National Hero Day,Public holiday
Angola,AGO,2016-11-02,All Souls' Day,Public holiday
Angola,AGO,2016-11-11,Independence Day,Public holiday
Angola,AGO,2016-12-25,Christmas Day,Public holiday
Angola,AGO,2016-12-26,Day off for Christmas Day,Public holiday
Angola,AGO,2017-01-01,New Year,Public holiday
Angola,AGO,2017-01-02,Day off for New Year,Public holiday
Angola,AGO,2017-02-04,Liberation Movement Day,Public holiday
Angola,AGO,2017-02-28,Carnival,Public holiday
Angola,AGO,2017-03-08,International Woman's Day,Public holiday
Angola,AGO,2017-04-04,Peace Day,Public holiday
Angola,AGO,2017-04-14,Good Friday,Public holiday
Angola,AGO,2017-05-01,May Day,Public holiday
Angola,AGO,2017-08-23,General Election Day,Public holiday
Angola,AGO,2017-09-17,National Hero Day,Public holiday
Angola,AGO,2017-09-18,Day off for National Hero Day,Public holiday
Angola,AGO,2017-11-02,All Souls' Day,Public holiday
Angola,AGO,2017-11-11,Independence Day,Public holiday
Angola,AGO,2017-12-25,Christmas Day,Public holiday
Angola,AGO,2018-01-01,New Year,Public holiday
Angola,AGO,2018-02-04,Liberation Movement Day,Public holiday
Angola,AGO,2018-02-05,Day off for Liberation Movement Day,Public holiday
Angola,AGO,2018-02-13,Carnival,Public holiday
Angola,AGO,2018-03-08,International Woman's Day,Public holiday
Angola,AGO,2018-03-30,Good Friday,Public holiday
Angola,AGO,2018-04-04,Peace Day,Public holiday
Angola,AGO,2018-05-01,May Day,Public holiday
Angola,AGO,2018-09-17,National Hero Day,Public holiday
Angola,AGO,2018-11-02,All Souls' Day,Public holiday
Angola,AGO,2018-11-11,Independence Day,Public holiday
Angola,AGO,2018-11-12,Day off for Independence Day,Public holiday
Angola,AGO,2018-12-25,Christmas Day,Public holiday
Angola,AGO,2019-01-01,New Year,Public holiday
Angola,AGO,2019-02-04,Liberation Movement Day,Public holiday
Angola,AGO,2019-03-05,Carnival,Public holiday
Angola,AGO,2019-03-08,International Woman's Day,Public holiday
Angola,AGO,2019-03-23,Southern Africa Liberation Day,Public holiday
Angola,AGO,2019-04-04,Peace Day,Public holiday
Angola,AGO,2019-04-19,Good Friday,Public holiday
Angola,AGO,2019-05-01,May Day,Public holiday
Angola,AGO,2019-09-17,National Hero Day,Public holiday
Angola,AGO,2019-11-02,All Souls' Day,Public holiday
Angola,AGO,2019-11-11,Independence Day,Public holiday
Angola,AGO,2019-12-25,Christmas Day,Public holiday
Anguilla,AIA,2010-01-01,New Year's Day,Public holiday
Anguilla,AIA,2010-03-02,James Ronald Webster Day,Public holiday
Anguilla,AIA,2010-04-02,Good Friday,Public holiday
Anguilla,AIA,2010-04-05,Easter Monday,Public holiday
Anguilla,AIA,2010-05-01,Labor Day / May Day,Public holiday
Anguilla,AIA,2010-05-24,Whit Monday,Public holiday
Anguilla,AIA,2010-05-30,Anguilla Day,Public holiday
Anguilla,AIA,2010-06-14,Sovereign's Birthday,Public holiday
Anguilla,AIA,2010-08-19,Constitution Day,Public holiday
Anguilla,AIA,2010-12-19,Separation Day,Public holiday
Anguilla,AIA,2010-12-25,Christmas Day,Public holiday
Anguilla,AIA,2010-12-26,Boxing Day,Public holiday
Anguilla,AIA,2011-01-03,New Year's Day,Public holiday
Anguilla,AIA,2011-03-02,James Ronald Webster Day,Public holiday
Anguilla,AIA,2011-04-22,Good Friday,Public holiday
Anguilla,AIA,2011-04-25,Easter Monday,Public holiday
Anguilla,AIA,2011-05-01,Labor Day / May Day,Public holiday
Anguilla,AIA,2011-05-30,Anguilla Day,Public holiday
Anguilla,AIA,2011-06-13,Sovereign's Birthday,Public holiday
Anguilla,AIA,2011-06-13,Whit Monday,Public holiday
Anguilla,AIA,2011-08-19,Constitution Day,Public holiday
Anguilla,AIA,2011-12-19,Separation Day,Public holiday
Anguilla,AIA,2011-12-25,Christmas Day,Public holiday
Anguilla,AIA,2011-12-26,Boxing Day,Public holiday
Anguilla,AIA,2012-01-02,New Year's Day,Public holiday
Anguilla,AIA,2012-03-02,James Ronald Webster Day,Public holiday
Anguilla,AIA,2012-04-06,Good Friday,Public holiday
Anguilla,AIA,2012-04-09,Easter Monday,Public holiday
Anguilla,AIA,2012-05-01,Labor Day / May Day,Public holiday
Anguilla,AIA,2012-05-28,Whit Monday,Public holiday
Anguilla,AIA,2012-05-30,Anguilla Day,Public holiday
Anguilla,AIA,2012-06-11,Sovereign's Birthday,Public holiday
Anguilla,AIA,2012-08-19,Constitution Day,Public holiday
Anguilla,AIA,2012-12-19,Separation Day,Public holiday
Anguilla,AIA,2012-12-25,Christmas Day,Public holiday
Anguilla,AIA,2012-12-26,Boxing Day,Public holiday
Anguilla,AIA,2013-01-01,New Year's Day,Public holiday
Anguilla,AIA,2013-03-02,James Ronald Webster Day,Public holiday
Anguilla,AIA,2013-03-29,Good Friday,Public holiday
Anguilla,AIA,2013-04-01,Easter Monday,Public holiday
Anguilla,AIA,2013-05-01,Labor Day / May Day,Public holiday
Anguilla,AIA,2013-05-20,Whit Monday,Public holiday
Anguilla,AIA,2013-05-30,Anguilla Day,Public holiday
Anguilla,AIA,2013-06-10,Sovereign's Birthday,Public holiday
Anguilla,AIA,2013-08-19,Constitution Day,Public holiday
Anguilla,AIA,2013-12-19,Separation Day,Public holiday
Anguilla,AIA,2013-12-25,Christmas Day,Public holiday
Anguilla,AIA,2013-12-26,Boxing Day,Public holiday
Anguilla,AIA,2014-01-01,New Year's Day,Public holiday
Anguilla,AIA,2014-03-02,James Ronald Webster Day,Public holiday
Anguilla,AIA,2014-04-18,Good Friday,Public holiday
Anguilla,AIA,2014-04-21,Easter Monday,Public holiday
Anguilla,AIA,2014-05-01,Labor Day / May Day,Public holiday
Anguilla,AIA,2014-05-30,Anguilla Day,Public holiday
Anguilla,AIA,2014-06-09,Sovereign's Birthday,Public holiday
