year,gnis_id,geometry,metadata,number_of_records,parkname,region,state,unit_code,unit_name,unit_type,visitors
1992,2733416,MULTIPOLYGON,NA,1,NA,SE,FL,TIMU,Timucuan Ecological and Historic Preserve,Ecological and Historic Preserve,49861
1934,679217,MULTIPOLYGON,NA,1,NA,SE,LA,VICK,Vicksburg National Military Park,National Military Park,216000
1934,203271,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/BLCA_metadata.xml,1,Black Canyon of the Gunnison,IM,CO,BLCA,Black Canyon of the Gunnison National Park,National Park,2592
1941,806297,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/LIBI_metadata.xml,1,Little Bighorn Battlefield,IM,MT,LIBI,Little Bighorn Battlefield National Monument,National Monument,67953
1919,936867,POLYGON,http://nrdata.nps.gov/programs/Lands/CAVO_metadata.xml,1,Capulin Volcano,IM,NM,CAVO,Capulin Volcano National Monument,National Monument,1500
1969,1888916,POLYGON,http://nrdata.nps.gov/programs/Lands/FOBO_metadata.xml,1,Fort Bowie,IM,AZ,FOBO,Fort Bowie National Historic Site,National Historic Site,800
1934,928945,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GICL_metadata.xml,1,Gila Cliff Dwellings,IM,NM,GICL,Gila Cliff Dwellings National Monument,National Monument,75
1940,1470042,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/MANA_metadata.xml,1,Manassas,NC,VA,MANA,Manassas National Battlefield Park,National Battlefield Park,5340
1920,35519,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/TUMA_metadata.xml,1,Tumacacori,IM,AZ,TUMA,Tumacacori National Historical Park,National Historical Park,4300
1940,35601,POLYGON,http://nrdata.nps.gov/programs/Lands/TUZI_metadata.xml,1,Tuzigoot,IM,AZ,TUZI,Tuzigoot National Monument,National Monument,6125
1941,830099,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/HOME_metadata.xml,1,Homestead,MW,NE,HOME,Homestead National Monument of America,National Monument,1400
1971,1888974,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WOTR_metadata.xml,1,Wolf Trap Farm Park,NC,VA,WOTR,Wolf Trap National Park for the Performing Arts,National Park,282200
1991,588388,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/MONO_metadata.xml,1,Monocacy,NC,MD,MONO,Monocacy National Battlefield,National Battlefield,0
1934,589057,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/ANTI_metadata.xml,1,Antietam,NC,MD,ANTI,Antietam National Battlefield,National Battlefield,35973
1934,307911,POLYGON,http://nrdata.nps.gov/programs/Lands/CASA_metadata.xml,1,Castillo de San Marcos,SE,FL,CASA,Castillo de San Marcos National Monument,National Monument,94988
1934,1446610,POLYGON,http://nrdata.nps.gov/programs/Lands/TICA_metadata.xml,1,Timpanogos Cave,IM,UT,TICA,Timpanogos Cave National Monument,National Monument,5074
1969,2733420,POLYGON,http://nrdata.nps.gov/programs/Lands/THIS_metadata.xml,1,Theodore Roosevelt Island,NC,DC,THIS,Theodore Roosevelt Island,National Memorial,194900
1984,530776,POLYGON,http://nrdata.nps.gov/programs/Lands/LYBA_metadata.xml,1,Lyndon Baines Johnson Grove,NC,DC,LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial,1081095
1936,1888900,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/ARHO_metadata.xml,1,Arlington House,NC,VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial,700000
1957,490476,POLYGON,http://nrdata.nps.gov/programs/Lands/CUGA_metadata.xml,1,Cumberland Gap,SE,KY,CUGA,Cumberland Gap National Historical Park,National Historical Park,25300
1925,38197,POLYGON,http://nrdata.nps.gov/programs/Lands/WUPA_metadata.xml,1,Wupatki,IM,AZ,WUPA,Wupatki National Monument,National Monument,500
1964,597496,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GREE_metadata.xml,1,Greenbelt Park,NC,MD,GREE,Greenbelt Park,Other Designation,29600
1937,1888969,POLYGON,http://nrdata.nps.gov/programs/Lands/TUPE_metadata.xml,1,Tupelo,SE,MS,TUPE,Tupelo National Battlefield,National Battlefield,7000
1937,667556,POLYGON,http://nrdata.nps.gov/programs/Lands/BRCR_metadata.xml,1,Brices Cross Roads,SE,MS,BRCR,Brices Cross Roads National Battlefield Site,National Battlefield Site,2500
1966,234493,MULTIPOLYGON,NA,1,Point Reyes,PW,CA,PORE,Point Reyes National Seashore,National Seashore,411300
1941,1222505,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FOSU_metadata.xml,1,Fort Sumter,SE,SC,FOSU,Fort Sumter National Monument,National Monument,0
1974,1006677,POLYGON,http://nrdata.nps.gov/programs/Lands/CARL_metadata.xml,1,Carl Sandburg Home,SE,NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,19400
1973,191398,POLYGON,http://nrdata.nps.gov/programs/Lands/FLFO_metadata.xml,1,Florissant Fossil Beds,IM,CO,FLFO,Florissant Fossil Beds National Monument,National Monument,20100
1934,35382,POLYGON,http://nrdata.nps.gov/programs/Lands/TONT_metadata.xml,1,Tonto,IM,AZ,TONT,Tonto National Monument,National Monument,7005
1941,1888929,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/HOFR_metadata.xml,1,Home of Franklin D Roosevelt,NE,NY,HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,0
1985,1227788,POLYGON,http://nrdata.nps.gov/programs/Lands/NISI_metadata.xml,1,Ninety Six,SE,SC,NISI,Ninety Six National Historic Site,National Historic Site,17908
1995,1252725,POLYGON,http://nrdata.nps.gov/programs/Lands/CHPI_metadata.xml,1,Charles Pinckney,SE,SC,CHPI,Charles Pinckney National Historic Site,National Historic Site,11087
1962,1613756,POLYGON,http://nrdata.nps.gov/programs/Lands/BUIS_metadata.xml,1,Buck Island Reef,SE,VI,BUIS,Buck Island Reef National Monument,National Monument,6600
1934,1439558,POLYGON,http://nrdata.nps.gov/programs/Lands/CEBR_metadata.xml,1,Cedar Breaks,IM,UT,CEBR,Cedar Breaks National Monument,National Monument,17120
1966,1383785,POLYGON,http://nrdata.nps.gov/programs/Lands/PAIS_metadata.xml,1,Padre Island,IM,TX,PAIS,Padre Island National Seashore,National Seashore,152400
1929,1455716,POLYGON,http://nrdata.nps.gov/programs/Lands/ARCH_metadata.xml,1,Arches,IM,UT,ARCH,Arches National Park,National Park,500
1934,34968,POLYGON,http://nrdata.nps.gov/programs/Lands/SUCR_metadata.xml,1,Sunset Crater Volcano,IM,AZ,SUCR,Sunset Crater Volcano National Monument,National Monument,2500
1997,2733422,POLYGON,http://nrdata.nps.gov/programs/Lands/MABE_metadata.xml,1,Mary McLeod Bethune Council House,NC,DC,MABE,Mary McLeod Bethune Council House National Historic Site,National Historic Site,8213
1969,2733423,POLYGON,http://nrdata.nps.gov/programs/Lands/FRDO_metadata.xml,1,Frederick Douglass,NC,DC,FRDO,Frederick Douglass National Historic Site,National Historic Site,11000
1936,530748,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FOTH_metadata.xml,1,Ford's Theatre,NC,DC,FOTH,Ford's Theatre National Historic Site,National Historic Site,198600
2004,2510335,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/BRVB_metadata.xml,1,Brown v. Board of Education,MW,KS,BRVB,Brown v. Board of Education National Historic Site,National Historic Site,22101
1964,56686,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FOSM_metadata.xml,1,Fort Smith,MW,AR,FOSM,Fort Smith National Historic Site,National Historic Site,39800
1925,9526,POLYGON,http://nrdata.nps.gov/programs/Lands/PISP_metadata.xml,1,Pipe Spring,IM,AZ,PISP,Pipe Spring National Monument,National Monument,4000
1920,906062,POLYGON,http://nrdata.nps.gov/programs/Lands/ELMO_metadata.xml,1,El Morro,IM,NM,ELMO,El Morro National Monument,National Monument,2000
1950,1101907,POLYGON,http://nrdata.nps.gov/programs/Lands/CHIC_metadata.xml,1,Chickasaw,IM,OK,CHIC,Chickasaw National Recreation Area,National Recreation Area,1291828
1942,1304837,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/ANJO_metadata.xml,1,Andrew Johnson,SE,TN,ANJO,Andrew Johnson National Historic Site,National Historic Site,5149
1991,1888959,POLYGON,http://nrdata.nps.gov/programs/Lands/SAPA_metadata.xml,1,Saint Paul's Church,NE,NY,SAPA,Saint Paul's Church National Historic Site,National Historic Site,5987
1968,945983,POLYGON,http://nrdata.nps.gov/programs/Lands/CACL_metadata.xml,1,Castle Clinton,NE,NY,CACL,Castle Clinton National Monument,National Monument,11000
1973,1605065,POLYGON,http://nrdata.nps.gov/programs/Lands/FOBU_metadata.xml,1,Fossil Butte,IM,WY,FOBU,Fossil Butte National Monument,National Monument,1000
1950,456249,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/EFMO_metadata.xml,1,Effigy Mounds,MW,IA,EFMO,Effigy Mounds National Monument,National Monument,736
1925,202599,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/HOVE_metadata.xml,1,Hovenweep,IM,UT,HOVE,Hovenweep National Monument,National Monument,250
1956,889156,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FOUN_metadata.xml,1,Fort Union,IM,NM,FOUN,Fort Union National Monument,National Monument,10000
1937,15492,POLYGON,http://nrdata.nps.gov/programs/Lands/ORPI_metadata.xml,1,Organ Pipe Cactus,IM,AZ,ORPI,Organ Pipe Cactus National Monument,National Monument,5000
1972,1821086,POLYGON,http://nrdata.nps.gov/programs/Lands/LIHO_metadata.xml,1,Lincoln Home,MW,IL,LIHO,Lincoln Home National Historic Site,National Historic Site,76632
1934,496556,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/ABLI_metadata.xml,1,Abraham Lincoln Birthplace,SE,KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park,175000
1937,307632,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/DRTO_metadata.xml,1,Dry Tortugas,SE,FL,DRTO,Dry Tortugas National Park,National Park,706
1941,314290,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FOFR_metadata.xml,1,Fort Frederica,SE,GA,FOFR,Fort Frederica National Monument,National Monument,0
1970,1676813,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/PISC_metadata.xml,1,Piscataway Park,NC,MD,PISC,Piscataway Park,Other Designation,11400
2000,1804731,POLYGON,http://nrdata.nps.gov/programs/Lands/MANZ_metadata.xml,1,Manzanar,PW,CA,MANZ,Manzanar National Historic Site,National Historic Site,38010
1933,914261,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WHSA_metadata.xml,1,White Sands,IM,NM,WHSA,White Sands National Monument,National Monument,12000
1929,1450197,POLYGON,http://nrdata.nps.gov/programs/Lands/BRCA_metadata.xml,1,Bryce Canyon,IM,UT,BRCA,Bryce Canyon National Park,National Park,21997
1972,1604577,POLYGON,http://nrdata.nps.gov/programs/Lands/JODR_metadata.xml,1,"John D. Rockefeller, Jr.",IM,WY,JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway,262378
1941,718402,POLYGON,http://nrdata.nps.gov/programs/Lands/GWCA_metadata.xml,1,George Washington Carver,MW,MO,GWCA,George Washington Carver National Monument,National Monument,0
1924,904780,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/CAVE_metadata.xml,1,Carlsbad Caverns,IM,NM,CAVE,Carlsbad Caverns National Park,National Park,1280
1956,874901,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/EDIS_metadata.xml,1,Edison,NE,NJ,EDIS,Thomas Edison National Historical Park,National Historic Site,5700
1904,1609331,POLYGON,http://nrdata.nps.gov/programs/Lands/YELL_metadata.xml,1,Yellowstone,IM,WY,YELL,Yellowstone National Park,National Park,13727
1968,6092,POLYGON,http://nrdata.nps.gov/programs/Lands/HUTR_metadata.xml,1,Hubbell Trading Post,IM,AZ,HUTR,Hubbell Trading Post National Historic Site,National Historic Site,50200
1973,1888906,POLYGON,http://nrdata.nps.gov/programs/Lands/CHAM_metadata.xml,1,Chamizal,IM,TX,CHAM,Chamizal National Memorial,National Memorial,17000
1921,365210,POLYGON,http://nrdata.nps.gov/programs/Lands/HAVO_metadata.xml,1,Hawai'i Volcanoes,PW,HI,HAVO,Hawai'i Volcanoes National Park,National Park,16071
1971,1377214,POLYGON,http://nrdata.nps.gov/programs/Lands/ALFL_metadata.xml,1,Alibates Flint Quarries,IM,TX,ALFL,Alibates Flint Quarries National Monument,National Monument,1400
1974,1877550,POLYGON,http://nrdata.nps.gov/programs/Lands/PUHE_metadata.xml,1,Pu'ukohola Heiau,PW,HI,PUHE,Pu'ukohola Heiau National Historic Site,National Historic Site,2500
1991,2733425,POLYGON,http://nrdata.nps.gov/programs/Lands/ULSG_metadata.xml,1,Ulysses S. Grant,MW,MO,ULSG,Ulysses S. Grant National Historic Site,National Historic Site,524
1976,307730,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/CANA_metadata.xml,1,Canaveral,SE,FL,CANA,Canaveral National Seashore,National Seashore,715400
2010,2060434,POLYGON,http://nrdata.nps.gov/programs/Lands/AFBG_metadata.xml,1,African Burial Ground,NE,NY,AFBG,African Burial Ground National Monument,National Monument,117113
1934,255957,POLYGON,http://nrdata.nps.gov/programs/Lands/CABR_metadata.xml,1,Cabrillo,PW,CA,CABR,Cabrillo National Monument,National Monument,133770
1978,1211947,POLYGON,http://nrdata.nps.gov/programs/Lands/VAFO_metadata.xml,1,Valley Forge,NE,PA,VAFO,Valley Forge National Historical Park,National Historical Park,3139716
1966,584569,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GWMP_metadata.xml,1,George Washington Memorial Parkway,NC,VA,GWMP,George Washington Memorial Parkway,National Parkway,2261000
1975,2733426,POLYGON,http://nrdata.nps.gov/programs/Lands/CLBA_metadata.xml,1,Clara Barton,NC,MD,CLBA,Clara Barton National Historic Site,National Historic Site,2900
1951,597426,POLYGON,http://nrdata.nps.gov/programs/Lands/FOWA_metadata.xml,1,Fort Washington Park,NC,MD,FOWA,Fort Washington Park,Other Designation,5931
1906,266000,POLYGON,http://nrdata.nps.gov/programs/Lands/SEQU_metadata.xml,1,Sequoia,PW,CA,SEQU,Sequoia National Park,National Park,700
1996,365030,POLYGON,http://nrdata.nps.gov/programs/Lands/KALA_metadata.xml,1,Kalaupapa,PW,HI,KALA,Kalaupapa National Historical Park,National Historical Park,62314
2003,2492338,POLYGON,http://nrdata.nps.gov/programs/Lands/TUAI_metadata.xml,1,Tuskegee Airmen,SE,AL,TUAI,Tuskegee Airmen National Historic Site,National Historic Site,11085
2006,1993989,POLYGON,http://nrdata.nps.gov/programs/Lands/SARI_metadata.xml,1,Salt River Bay,SE,VI,SARI,Salt River Bay National Historical Park and Ecological Preserve,National Historical Park,2526
1992,1888946,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/NATC_metadata.xml,1,Natchez,SE,MS,NATC,Natchez National Historical Park,National Historical Park,41036
1980,1888911,POLYGON,http://nrdata.nps.gov/programs/Lands/EDAL_metadata.xml,1,Edgar Allan Poe,NE,PA,EDAL,Edgar Allan Poe National Historic Site,National Historic Site,2549
1989,1888904,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/BOAF_metadata.xml,1,Boston African American,NE,MA,BOAF,Boston African American National Historic Site,National Historic Site,102779
1936,507318,POLYGON,http://nrdata.nps.gov/programs/Lands/MACA_metadata.xml,1,Mammoth Cave,SE,KY,MACA,Mammoth Cave National Park,National Park,57775
1929,1597571,POLYGON,http://nrdata.nps.gov/programs/Lands/GRTE_metadata.xml,1,Grand Teton,IM,WY,GRTE,Grand Teton National Park,National Park,51500
1985,1888915,POLYGON,http://nrdata.nps.gov/programs/Lands/EUON_metadata.xml,1,Eugene O'Neill,PW,CA,EUON,Eugene O'Neill National Historic Site,National Historic Site,2814
1947,1888899,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/ADAM_metadata.xml,1,Adams,NE,MA,ADAM,Adams National Historical Park,National Historical Park,873
1920,8538,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/NAVA_metadata.xml,1,Navajo,IM,AZ,NAVA,Navajo National Monument,National Monument,64
1992,1888967,POLYGON,http://nrdata.nps.gov/programs/Lands/THST_metadata.xml,1,Thomas Stone,NE,MD,THST,Thomas Stone National Historic Site,National Historic Site,3161
2002,2733428,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/CARI_metadata.xml,1,Cane River Creole,SE,LA,CARI,Cane River Creole National Historical Park,National Historical Park,7449
1908,179042,POLYGON,http://nrdata.nps.gov/programs/Lands/MEVE_metadata.xml,1,Mesa Verde,IM,CO,MEVE,Mesa Verde National Park,National Park,80
1934,862430,POLYGON,http://nrdata.nps.gov/programs/Lands/GRBA_metadata.xml,1,Great Basin,PW,NV,GRBA,Great Basin National Park,National Park,1968
1961,644333,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GRPO_metadata.xml,1,Grand Portage,MW,MI,GRPO,Grand Portage National Monument,National Monument,27600
1965,277264,POLYGON,http://nrdata.nps.gov/programs/Lands/WHIS_metadata.xml,1,Whiskeytown-Shasta-Trinity,PW,CA,WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area,613000
1972,1655639,POLYGON,http://nrdata.nps.gov/programs/Lands/FOPO_metadata.xml,1,Fort Point,PW,CA,FOPO,Fort Point National Historic Site,National Historic Site,512115
1939,1888961,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/SAMA_metadata.xml,1,Salem Maritime,NE,MA,SAMA,Salem Maritime National Historic Site,National Historic Site,1000
1936,531850,POLYGON,http://nrdata.nps.gov/programs/Lands/WAMO_metadata.xml,1,Washington Monument,NC,DC,WAMO,Washington Monument,National Memorial,857441
1941,530557,POLYGON,http://nrdata.nps.gov/programs/Lands/JEFM_metadata.xml,1,Thomas Jefferson Memorial,NC,DC,JEFM,Thomas Jefferson Memorial,National Memorial,0
1936,1025558,POLYGON,http://nrdata.nps.gov/programs/Lands/MOCR_metadata.xml,1,Moores Creek,SE,NC,MOCR,Moores Creek National Battlefield,National Battlefield,4158
1960,149966,POLYGON,http://nrdata.nps.gov/programs/Lands/HOBE_metadata.xml,1,Horseshoe Bend,SE,AL,HOBE,Horseshoe Bend National Military Park,National Military Park,23900
1938,307963,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FOMA_metadata.xml,1,Fort Matanzas,SE,FL,FOMA,Fort Matanzas National Monument,National Monument,20726
1963,1662323,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/CHIS_metadata.xml,1,Channel Islands,PW,CA,CHIS,Channel Islands National Park,National Park,1200
1965,1448008,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/CANY_metadata.xml,1,Canyonlands,IM,UT,CANY,Canyonlands National Park,National Park,19400
2001,2091841,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/CHSC_metadata.xml,1,Little Rock Central High School,MW,AR,CHSC,Little Rock Central High School National Historic Site,National Historic Site,21078
1954,2733430,POLYGON,http://nrdata.nps.gov/programs/Lands/WHHO_metadata.xml,1,White House,NC,DC,WHHO,White House,Other Designation,826300
1958,1477005,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/BOWA_metadata.xml,1,Booker T. Washington,NE,VA,BOWA,Booker T. Washington National Monument,National Monument,6400
1937,560393,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/JELA_metadata.xml,1,Jean Lafitte,SE,LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,2378
1934,1261888,POLYGON,http://nrdata.nps.gov/programs/Lands/JECA_metadata.xml,1,Jewel Cave,MW,SD,JECA,Jewel Cave National Monument,National Monument,1952
1967,475845,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FOLS_metadata.xml,1,Fort Larned,MW,KS,FOLS,Fort Larned National Historic Site,National Historic Site,38600
1988,1879023,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/KAHO_metadata.xml,1,Kaloko-Honokohau,PW,HI,KAHO,Kaloko-Honokohau National Historical Park,National Historical Park,12462
2013,2026588,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/RORI_metadata.xml,1,Rosie the Riveter/World War II Home Front,PW,CA,RORI,Rosie the Riveter/World War II Home Front National Historical Park,National Historical Park,31514
1971,1888919,POLYGON,http://nrdata.nps.gov/programs/Lands/FOST_metadata.xml,1,Fort Stanwix,NE,NY,FOST,Fort Stanwix National Monument,National Monument,7400
1981,1888966,POLYGON,http://nrdata.nps.gov/programs/Lands/THKO_metadata.xml,1,Thaddeus Kosciuszko,NE,PA,THKO,Thaddeus Kosciuszko National Memorial,National Memorial,11220
1972,1888973,POLYGON,http://nrdata.nps.gov/programs/Lands/WIHO_metadata.xml,1,William Howard Taft,MW,OH,WIHO,William Howard Taft National Historic Site,National Historic Site,588
1979,480986,POLYGON,http://nrdata.nps.gov/programs/Lands/FOSC_metadata.xml,1,Fort Scott,MW,KS,FOSC,Fort Scott National Historic Site,National Historic Site,12008
1938,1082175,POLYGON,http://nrdata.nps.gov/programs/Lands/PEVI_metadata.xml,1,Perry's Victory and International Peace Memorial,MW,OH,PEVI,Perry's Victory and International Peace Memorial,National Memorial,75000
1997,1888932,POLYGON,http://nrdata.nps.gov/programs/Lands/JAGA_metadata.xml,1,James A. Garfield,MW,OH,JAGA,James A. Garfield National Historic Site,National Historic Site,4074
1952,583623,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/CATO_metadata.xml,1,Catoctin Mountain Park,NC,MD,CATO,Catoctin Mountain Park,Other Designation,37784
1923,23944,POLYGON,http://nrdata.nps.gov/programs/Lands/RABR_metadata.xml,1,Rainbow Bridge,IM,UT,RABR,Rainbow Bridge National Monument,National Monument,142
1923,1454484,POLYGON,http://nrdata.nps.gov/programs/Lands/NABR_metadata.xml,1,Natural Bridges,IM,UT,NABR,Natural Bridges National Monument,National Monument,20
1964,2559483,POLYGON,http://nrdata.nps.gov/programs/Lands/BEOL_metadata.xml,1,Bent's Old Fort,IM,CO,BEOL,Bent's Old Fort National Historic Site,National Historic Site,15700
1973,689020,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GUIS_metadata.xml,1,Gulf Islands,SE,FL,GUIS,Gulf Islands National Seashore,National Seashore,930700
1934,35848,POLYGON,http://nrdata.nps.gov/programs/Lands/WACA_metadata.xml,1,Walnut Canyon,IM,AZ,WACA,Walnut Canyon National Monument,National Monument,10000
