year,state,pop
2015,AK,738432
1900,AZ,124000
1901,AZ,131000
1902,AZ,138000
1903,AZ,144000
1904,AZ,151000
1905,AZ,158000
1906,AZ,167000
1907,AZ,176000
1908,AZ,186000
1909,AZ,196000
1910,AZ,206000
1911,AZ,212000
1912,AZ,217000
1913,AZ,236000
1914,AZ,253000
1915,AZ,263000
1916,AZ,282000
1917,AZ,311000
1918,AZ,320000
1919,AZ,329000
1920,AZ,340000
1921,AZ,351000
1922,AZ,360000
1923,AZ,371000
1924,AZ,382000
1925,AZ,393000
1926,AZ,403000
1927,AZ,414000
1928,AZ,422000
1929,AZ,430000
1930,AZ,434000
1931,AZ,429000
1932,AZ,426000
1933,AZ,426000
1934,AZ,428000
1935,AZ,434000
1936,AZ,443000
1937,AZ,453000
1938,AZ,466000
1939,AZ,484000
1940,AZ,499000
1941,AZ,490000
1942,AZ,524000
1943,AZ,692000
1944,AZ,610000
1945,AZ,594000
1946,AZ,616000
1947,AZ,653000
1948,AZ,690000
1949,AZ,714000
1950,AZ,756000
1951,AZ,785000
1952,AZ,842000
1953,AZ,894000
1954,AZ,933000
1955,AZ,987000
1956,AZ,1053000
1957,AZ,1125000
1958,AZ,1193000
1959,AZ,1261000
1960,AZ,1321000
1961,AZ,1407000
1962,AZ,1471000
1963,AZ,1521000
1964,AZ,1556000
1965,AZ,1584000
1966,AZ,1614000
1967,AZ,1646000
1968,AZ,1682000
1969,AZ,1737000
1970,AZ,1775399
1971,AZ,1895814
1972,AZ,2008291
1973,AZ,2124438
1974,AZ,2223196
1975,AZ,2284847
1976,AZ,2346157
1977,AZ,2425197
1978,AZ,2515316
1979,AZ,2635571
1980,AZ,2737774
1981,AZ,2810107
1982,AZ,2889861
1983,AZ,2968925
1984,AZ,3067135
1985,AZ,3183538
1986,AZ,3308262
1987,AZ,3437103
1988,AZ,3535183
1989,AZ,3622185
1990,AZ,3679056
1991,AZ,3762394
1992,AZ,3867333
1993,AZ,3993390
1994,AZ,4147561
1995,AZ,4306908
1996,AZ,4432308
1997,AZ,4552207
1998,AZ,4667277
1999,AZ,4778332
2000,AZ,5160586
2001,AZ,5273477
2002,AZ,5396255
2003,AZ,5510364
2004,AZ,5652404
2005,AZ,5839077
2006,AZ,6029141
2007,AZ,6167681
2008,AZ,6280362
2009,AZ,6343154
2010,AZ,6411999
2011,AZ,6472867
2012,AZ,6556236
2013,AZ,6634997
2014,AZ,6731484
2015,AZ,6828065
1900,AR,1314000
1901,AR,1341000
1902,AR,1360000
1903,AR,1384000
1904,AR,1419000
1905,AR,1447000
1906,AR,1465000
1907,AR,1484000
1908,AR,1513000
1909,AR,1545000
1910,AR,1583000
1911,AR,1610000
1912,AR,1636000
1913,AR,1664000
1914,AR,1688000
1915,AR,1702000
1916,AR,1719000
1917,AR,1737000
1918,AR,1749000
1919,AR,1742000
1920,AR,1756000
1921,AR,1769000
1922,AR,1772000
1923,AR,1784000
1924,AR,1800000
1925,AR,1812000
1926,AR,1826000
1927,AR,1840000
1928,AR,1847000
1929,AR,1852000
1930,AR,1859000
1931,AR,1848000
1932,AR,1836000
1933,AR,1854000
1934,AR,1878000
1935,AR,1890000
1936,AR,1892000
1937,AR,1903000
1938,AR,1928000
1939,AR,1948000
1940,AR,1955000
1941,AR,1969000
1942,AR,1977000
1943,AR,1843000
1944,AR,1768000
1945,AR,1762000
1946,AR,1797000
1947,AR,1836000
1948,AR,1825000
1949,AR,1844000
1950,AR,1908000
1951,AR,1901000
1952,AR,1838000
1953,AR,1780000
1954,AR,1734000
1955,AR,1725000
1956,AR,1704000
1957,AR,1733000
1958,AR,1726000
1959,AR,1756000
1960,AR,1789000
1961,AR,1806000
1962,AR,1853000
1963,AR,1875000
1964,AR,1897000
1965,AR,1894000
1966,AR,1899000
1967,AR,1901000
1968,AR,1902000
1969,AR,1913000
1970,AR,1923322
1971,AR,1972312
1972,AR,2018638
1973,AR,2059256
1974,AR,2101403
1975,AR,2159526
1976,AR,2170161
1977,AR,2209010
1978,AR,2243127
1979,AR,2271333
1980,AR,2288738
1981,AR,2293201
1982,AR,2294257
1983,AR,2305761
1984,AR,2319768
1985,AR,2327046
1986,AR,2331984
1987,AR,2342355
1988,AR,2342656
1989,AR,2346358
1990,AR,2354343
1991,AR,2370666
1992,AR,2394098
1993,AR,2423743
1994,AR,2450605
1995,AR,2480121
1996,AR,2504858
1997,AR,2524007
1998,AR,2538202
1999,AR,2551373
2000,AR,2678588
2001,AR,2691571
2002,AR,2705927
2003,AR,2724816
2004,AR,2749686
2005,AR,2781097
2006,AR,2821761
2007,AR,2848650
2008,AR,2874554
2009,AR,2896843
2010,AR,2922297
2011,AR,2938430
2012,AR,2949300
2013,AR,2958765
2014,AR,2966369
2015,AR,2978204
1900,CA,1490000
1901,CA,1550000
1902,CA,1623000
1903,CA,1702000
1904,CA,1792000
1905,CA,1893000
1906,CA,1976000
1907,CA,2054000
1908,CA,2161000
1909,CA,2282000
1910,CA,2406000
1911,CA,2534000
1912,CA,2668000
1913,CA,2811000
1914,CA,2934000
1915,CA,3008000
1916,CA,3071000
1917,CA,3171000
1918,CA,3262000
1919,CA,3339000
1920,CA,3554000
1921,CA,3795000
1922,CA,3991000
1923,CA,4270000
1924,CA,4541000
1925,CA,4730000
1926,CA,4929000
1927,CA,5147000
1928,CA,5344000
1929,CA,5531000
1930,CA,5711000
1931,CA,5824000
1932,CA,5894000
1933,CA,5963000
1934,CA,6060000
1935,CA,6175000
1936,CA,6341000
1937,CA,6528000
1938,CA,6656000
1939,CA,6785000
1940,CA,6950000
1941,CA,7237000
1942,CA,7735000
1943,CA,8506000
1944,CA,8945000
1945,CA,9344000
1946,CA,9559000
1947,CA,9832000
1948,CA,10064000
1949,CA,10337000
1950,CA,10677000
1951,CA,11134000
1952,CA,11635000
1953,CA,12251000
1954,CA,12746000
1955,CA,13133000
1956,CA,13713000
1957,CA,14264000
1958,CA,14880000
1959,CA,15467000
1960,CA,15870000
1961,CA,16497000
1962,CA,17072000
1963,CA,17668000
1964,CA,18151000
1965,CA,18585000
1966,CA,18858000
1967,CA,19176000
1968,CA,19394000
1969,CA,19711000
1970,CA,19971069
1971,CA,20345939
1972,CA,20585469
1973,CA,20868728
1974,CA,21173865
1975,CA,21537849
1976,CA,21935909
1977,CA,22352396
1978,CA,22835958
1979,CA,23256880
1980,CA,23800800
1981,CA,24285933
1982,CA,24820009
1983,CA,25360026
1984,CA,25844393
1985,CA,26441109
1986,CA,27102237
1987,CA,27777158
1988,CA,28464249
1989,CA,29218164
1990,CA,29950111
1991,CA,30414114
1992,CA,30875920
1993,CA,31147208
1994,CA,31317179
1995,CA,31493525
1996,CA,31780829
1997,CA,32217708
1998,CA,32682794
1999,CA,33145121
2000,CA,33987977
2001,CA,34479458
2002,CA,34871843
2003,CA,35253159
2004,CA,35574576
2005,CA,35827943
2006,CA,36021202
2007,CA,36250311
2008,CA,36604337
2009,CA,36961229
2010,CA,37336011
2011,CA,37701901
2012,CA,38062780
2013,CA,38431393
2014,CA,38802500
2015,CA,39144818
1900,CO,543000
1901,CO,581000
1902,CO,621000
1903,CO,652000
1904,CO,659000
1905,CO,680000
1906,CO,707000
1907,CO,733000
1908,CO,757000
1909,CO,775000
1910,CO,804000
1911,CO,821000
1912,CO,832000
1913,CO,835000
1914,CO,846000
1915,CO,868000
1916,CO,892000
1917,CO,910000
1918,CO,906000
1919,CO,938000
1920,CO,937000
1921,CO,961000
1922,CO,965000
1923,CO,984000
1924,CO,1014000
1925,CO,1019000
1926,CO,1016000
1927,CO,1028000
1928,CO,1014000
1929,CO,1008000
1930,CO,1040000
1931,CO,1056000
1932,CO,1066000
1933,CO,1071000
1934,CO,1075000
1935,CO,1078000
1936,CO,1090000
1937,CO,1104000
1938,CO,1112000
1939,CO,1120000
1940,CO,1130000
1941,CO,1124000
1942,CO,1113000
1943,CO,1153000
1944,CO,1137000
1945,CO,1116000
1946,CO,1203000
1947,CO,1237000
1948,CO,1263000
1949,CO,1295000
1950,CO,1325000
1951,CO,1326000
1952,CO,1365000
1953,CO,1431000
1954,CO,1493000
1955,CO,1546000
1956,CO,1625000
1957,CO,1664000
1958,CO,1667000
1959,CO,1710000
1960,CO,1769000
1961,CO,1844000
1962,CO,1899000
1963,CO,1936000
1964,CO,1970000
1965,CO,1985000
1966,CO,2007000
1967,CO,2053000
1968,CO,2120000
1969,CO,2166000
1970,CO,2209596
1971,CO,2303524
1972,CO,2404619
1973,CO,2495868
1974,CO,2541406
1975,CO,2586192
1976,CO,2632306
1977,CO,2696140
1978,CO,2766748
1979,CO,2849234
1980,CO,2908803
1981,CO,2977898
1982,CO,3061564
1983,CO,3133630
1984,CO,3169992
1985,CO,3208723
1986,CO,3237450
1987,CO,3260480
1988,CO,3262281
1989,CO,3275818
1990,CO,3303862
1991,CO,3367567
1992,CO,3459995
1993,CO,3560884
1994,CO,3653910
1995,CO,3738061
1996,CO,3812716
1997,CO,3891293
1998,CO,3968967
1999,CO,4056133
2000,CO,4326921
2001,CO,4425687
2002,CO,4490406
2003,CO,4528732
2004,CO,4575013
2005,CO,4631888
2006,CO,4720423
2007,CO,4803868
2008,CO,4889730
2009,CO,4972195
2010,CO,5048575
2011,CO,5119661
2012,CO,5191709
2013,CO,5272086
2014,CO,5355866
2015,CO,5456574
1900,CT,910000
1901,CT,931000
1902,CT,952000
1903,CT,972000
1904,CT,987000
1905,CT,1010000
1906,CT,1033000
1907,CT,1057000
1908,CT,1077000
1909,CT,1097000
1910,CT,1122000
1911,CT,1149000
1912,CT,1176000
1913,CT,1208000
1914,CT,1233000
1915,CT,1258000
1916,CT,1294000
1917,CT,1327000
1918,CT,1329000
1919,CT,1359000
1920,CT,1391000
1921,CT,1415000
1922,CT,1431000
1923,CT,1455000
1924,CT,1481000
1925,CT,1506000
1926,CT,1531000
1927,CT,1557000
1928,CT,1577000
1929,CT,1594000
1930,CT,1613000
1931,CT,1628000
1932,CT,1637000
1933,CT,1642000
1934,CT,1650000
1935,CT,1666000
1936,CT,1672000
1937,CT,1678000
1938,CT,1684000
1939,CT,1696000
1940,CT,1708000
1941,CT,1746000
1942,CT,1792000
1943,CT,1792000
1944,CT,1778000
1945,CT,1769000
1946,CT,1906000
1947,CT,1967000
1948,CT,2014000
1949,CT,2032000
1950,CT,2016000
1951,CT,2028000
1952,CT,2081000
1953,CT,2168000
1954,CT,2249000
1955,CT,2300000
1956,CT,2316000
1957,CT,2359000
1958,CT,2446000
1959,CT,2523000
1960,CT,2544000
1961,CT,2586000
1962,CT,2647000
1963,CT,2727000
1964,CT,2798000
1965,CT,2857000
1966,CT,2903000
1967,CT,2935000
1968,CT,2964000
1969,CT,3000000
1970,CT,3032217
1971,CT,3060938
1972,CT,3068699
1973,CT,3067814
1974,CT,3074047
1975,CT,3082500
1976,CT,3083335
1977,CT,3085722
1978,CT,3091627
1979,CT,3095917
1980,CT,3113174
1981,CT,3128836
1982,CT,3139013
1983,CT,3162354
1984,CT,3180014
1985,CT,3201131
1986,CT,3223740
1987,CT,3247291
1988,CT,3271953
1989,CT,3283403
1990,CT,3289056
1991,CT,3288640
1992,CT,3274997
1993,CT,3272325
1994,CT,3268346
1995,CT,3265293
1996,CT,3267030
1997,CT,3268514
1998,CT,3272563
1999,CT,3282031
2000,CT,3411777
2001,CT,3432835
2002,CT,3458749
2003,CT,3484336
2004,CT,3496094
2005,CT,3506956
2006,CT,3517460
2007,CT,3527270
2008,CT,3545579
2009,CT,3561807
2010,CT,3579345
2011,CT,3590537
2012,CT,3594362
2013,CT,3599341
2014,CT,3596677
2015,CT,3590886
1900,DE,185000
1901,DE,187000
1902,DE,188000
1903,DE,190000
1904,DE,192000
1905,DE,194000
1906,DE,196000
1907,DE,197000
1908,DE,199000
1909,DE,201000
1910,DE,203000
1911,DE,207000
1912,DE,209000
1913,DE,213000
1914,DE,216000
1915,DE,217000
1916,DE,219000
1917,DE,222000
1918,DE,220000
1919,DE,221000
1920,DE,219000
1921,DE,216000
1922,DE,214000
1923,DE,215000
1924,DE,219000
1925,DE,222000
1926,DE,225000
1927,DE,229000
1928,DE,233000
1929,DE,236000
1930,DE,239000
1931,DE,242000
1932,DE,245000
1933,DE,248000
1934,DE,250000
1935,DE,252000
1936,DE,253000
1937,DE,254000
1938,DE,257000
1939,DE,263000
1940,DE,269000
1941,DE,275000
1942,DE,279000
1943,DE,282000
1944,DE,285000
1945,DE,286000
1946,DE,299000
1947,DE,305000
1948,DE,312000
1949,DE,316000
1950,DE,321000
1951,DE,331000
1952,DE,341000
1953,DE,351000
1954,DE,368000
1955,DE,389000
1956,DE,408000
1957,DE,426000
1958,DE,433000
1959,DE,441000
1960,DE,449000
1961,DE,461000
1962,DE,469000
1963,DE,483000
1964,DE,497000
1965,DE,507000
1966,DE,516000
1967,DE,525000
1968,DE,534000
1969,DE,540000
1970,DE,548104
1971,DE,564708
1972,DE,572913
1973,DE,577759
1974,DE,581418
1975,DE,586589
1976,DE,590166
1977,DE,591829
1978,DE,594776
1979,DE,594984
1980,DE,594919
1981,DE,595975
1982,DE,599148
1983,DE,605458
1984,DE,611565
1985,DE,618280
1986,DE,627559
1987,DE,636947
1988,DE,647622
1989,DE,658273
1990,DE,669063
1991,DE,680495
1992,DE,690158
1993,DE,699475
1994,DE,708416
1995,DE,718265
1996,DE,727090
1997,DE,735024
1998,DE,744066
1999,DE,753538
2000,DE,786373
2001,DE,795699
2002,DE,806169
2003,DE,818003
2004,DE,830803
2005,DE,845150
2006,DE,859268
2007,DE,871749
2008,DE,883874
2009,DE,891730
2010,DE,899731
2011,DE,907829
2012,DE,916881
2013,DE,925240
2014,DE,935614
2015,DE,945934
1900,FL,530000
1901,FL,544000
1902,FL,565000
1903,FL,587000
1904,FL,599000
1905,FL,615000
1906,FL,628000
1907,FL,645000
1908,FL,684000
1909,FL,724000
1910,FL,756000
1911,FL,773000
1912,FL,801000
1913,FL,828000
1914,FL,871000
1915,FL,922000
1916,FL,924000
1917,FL,895000
1918,FL,865000
1919,FL,898000
1920,FL,962000
1921,FL,997000
1922,FL,1044000
1923,FL,1097000
1924,FL,1160000
1925,FL,1264000
1926,FL,1368000
1927,FL,1418000
1928,FL,1433000
1929,FL,1445000
1930,FL,1471000
1931,FL,1493000
1932,FL,1521000
1933,FL,1552000
1934,FL,1585000
1935,FL,1613000
1936,FL,1651000
1937,FL,1709000
1938,FL,1771000
1939,FL,1836000
1940,FL,1915000
1941,FL,2017000
1942,FL,2151000
1943,FL,2451000
1944,FL,2420000
1945,FL,2465000
1946,FL,2440000
1947,FL,2528000
1948,FL,2578000
1949,FL,2668000
1950,FL,2810000
1951,FL,2980000
1952,FL,3157000
1953,FL,3310000
1954,FL,3505000
1955,FL,3747000
1956,FL,4047000
1957,FL,4372000
1958,FL,4630000
1959,FL,4808000
1960,FL,5004000
1961,FL,5243000
1962,FL,5458000
1963,FL,5628000
1964,FL,5781000
1965,FL,5954000
1966,FL,6104000
1967,FL,6242000
1968,FL,6433000
1969,FL,6641000
1970,FL,6791418
1971,FL,7158304
1972,FL,7511463
1973,FL,7913696
1974,FL,8298762
1975,FL,8518422
1976,FL,8667379
1977,FL,8856183
1978,FL,9102032
1979,FL,9426159
1980,FL,9839835
1981,FL,10192774
1982,FL,10471407
1983,FL,10749851
1984,FL,11039925
1985,FL,11351118
1986,FL,11667505
1987,FL,11997283
1988,FL,12306395
1989,FL,12637715
1990,FL,13018365
1991,FL,13289497
1992,FL,13504775
1993,FL,13713593
1994,FL,13961798
1995,FL,14185403
1996,FL,14426911
1997,FL,14683350
1998,FL,14908230
1999,FL,15111244
2000,FL,16047515
2001,FL,16356966
2002,FL,16689370
2003,FL,17004085
2004,FL,17415318
2005,FL,17842038
2006,FL,18166990
2007,FL,18367842
2008,FL,18527305
2009,FL,18652644
2010,FL,18852220
2011,FL,19107900
2012,FL,19355257
2013,FL,19600311
2014,FL,19893297
2015,FL,20271272
1900,GA,2220000
1901,GA,2263000
1902,GA,2305000
1903,GA,2346000
1904,GA,2387000
1905,GA,2427000
1906,GA,2466000
1907,GA,2505000
1908,GA,2543000
1909,GA,2580000
1910,GA,2618000
1911,GA,2644000
1912,GA,2676000
1913,GA,2733000
1914,GA,2776000
1915,GA,2810000
1916,GA,2856000
1917,GA,2885000
1918,GA,2941000
1919,GA,2870000
1920,GA,2926000
1921,GA,2965000
1922,GA,2965000
1923,GA,2954000
1924,GA,2920000
1925,GA,2883000
1926,GA,2869000
1927,GA,2891000
1928,GA,2903000
1929,GA,2903000
1930,GA,2910000
1931,GA,2924000
1932,GA,2935000
1933,GA,2950000
1934,GA,2964000
1935,GA,2955000
1936,GA,2978000
1937,GA,3037000
1938,GA,3091000
1939,GA,3120000
1940,GA,3119000
1941,GA,3179000
1942,GA,3209000
1943,GA,3245000
1944,GA,3176000
1945,GA,3119000
1946,GA,3242000
1947,GA,3272000
1948,GA,3259000
1949,GA,3325000
1950,GA,3458000
1951,GA,3531000
1952,GA,3584000
1953,GA,3558000
1954,GA,3602000
1955,GA,3636000
1956,GA,3701000
1957,GA,3766000
1958,GA,3804000
1959,GA,3868000
1960,GA,3956000
1961,GA,4015000
1962,GA,4086000
1963,GA,4172000
1964,GA,4258000
1965,GA,4332000
1966,GA,4379000
1967,GA,4408000
1968,GA,4482000
1969,GA,4551000
1970,GA,4587930
1971,GA,4711550
1972,GA,4809490
1973,GA,4910374
1974,GA,4999419
1975,GA,5064075
1976,GA,5132812
1977,GA,5219697
1978,GA,5295751
1979,GA,5401384
1980,GA,5486174
1981,GA,5568345
1982,GA,5649792
1983,GA,5728250
1984,GA,5834954
1985,GA,5962661
1986,GA,6084666
1987,GA,6208467
1988,GA,6316142
1989,GA,6411099
1990,GA,6506531
1991,GA,6621279
1992,GA,6759474
1993,GA,6894092
1994,GA,7045900
1995,GA,7188538
1996,GA,7332225
1997,GA,7486094
1998,GA,7636522
1999,GA,7788240
2000,GA,8227303
2001,GA,8377038
2002,GA,8508256
2003,GA,8622793
2004,GA,8769252
2005,GA,8925922
2006,GA,9155813
2007,GA,9349988
2008,GA,9504843
2009,GA,9620846
2010,GA,9714464
2011,GA,9813201
2012,GA,9919000
2013,GA,9994759
2014,GA,10097343
2015,GA,10214860
1900,HI,NA
1901,HI,NA
1902,HI,NA
1903,HI,NA
1904,HI,NA
1905,HI,NA
1906,HI,NA
1907,HI,NA
1908,HI,NA
1909,HI,NA
1910,HI,NA
1911,HI,NA
1912,HI,NA
1913,HI,NA
1914,HI,NA
1915,HI,NA
1916,HI,NA
1917,HI,NA
1918,HI,NA
1919,HI,NA
1920,HI,NA
1921,HI,NA
1922,HI,NA
1923,HI,NA
1924,HI,NA
1925,HI,NA
1926,HI,NA
1927,HI,NA
1928,HI,NA
1929,HI,NA
1930,HI,NA
1931,HI,NA
1932,HI,NA
1933,HI,NA
1934,HI,NA
1935,HI,NA
1936,HI,NA
1937,HI,NA
1938,HI,NA
1939,HI,NA
1940,HI,NA
1941,HI,NA
1942,HI,NA
1943,HI,NA
1944,HI,NA
1945,HI,NA
1946,HI,NA
1947,HI,NA
1948,HI,NA
1949,HI,NA
1950,HI,498000
1951,HI,514000
1952,HI,517000
1953,HI,510000
1954,HI,505000
1955,HI,539000
1956,HI,559000
1957,HI,584000
1958,HI,605000
1959,HI,622000
1960,HI,642000
1961,HI,659000
1962,HI,684000
1963,HI,682000
1964,HI,700000
1965,HI,704000
1966,HI,710000
1967,HI,723000
1968,HI,734000
1969,HI,750000
1970,HI,769913
1971,HI,801644
1972,HI,828331
1973,HI,851595
1974,HI,867978
1975,HI,886160
1976,HI,904191
1977,HI,918259
1978,HI,931584
1979,HI,953306
1980,HI,967710
1981,HI,978195
1982,HI,993780
1983,HI,1012717
1984,HI,1027922
1985,HI,1039698
1986,HI,1051762
1987,HI,1067918
1988,HI,1079828
1989,HI,1094588
1990,HI,1112703
1991,HI,1131412
1992,HI,1149926
1993,HI,1161508
1994,HI,1173903
1995,HI,1180490
1996,HI,1184434
1997,HI,1189322
1998,HI,1190472
1999,HI,1185497
2000,HI,1213519
2001,HI,1225948
2002,HI,1239613
2003,HI,1251154
2004,HI,1273569
2005,HI,1292729
2006,HI,1309731
2007,HI,1315675
2008,HI,1332213
2009,HI,1346717
2010,HI,1363950
2011,HI,1378251
2012,HI,1392766
2013,HI,1408987
2014,HI,1419561
2015,HI,1431603
1900,ID,163000
1901,ID,176000
1902,ID,199000
1903,ID,216000
1904,ID,229000
1905,ID,246000
1906,ID,262000
1907,ID,277000
1908,ID,291000
1909,ID,311000
1910,ID,329000
1911,ID,343000
1912,ID,359000
1913,ID,371000
1914,ID,384000
1915,ID,394000
1916,ID,405000
1917,ID,413000
1918,ID,405000
1919,ID,424000
1920,ID,433000
1921,ID,435000
1922,ID,436000
1923,ID,436000
1924,ID,434000
1925,ID,436000
1926,ID,441000
1927,ID,447000
1928,ID,449000
1929,ID,447000
1930,ID,447000
1931,ID,454000
1932,ID,459000
1933,ID,464000
1934,ID,473000
1935,ID,481000
1936,ID,495000
1937,ID,507000
1938,ID,513000
1939,ID,521000
1940,ID,522000
1941,ID,501000
1942,ID,478000
1943,ID,500000
1944,ID,529000
1945,ID,507000
1946,ID,509000
1947,ID,522000
1948,ID,551000
1949,ID,570000
1950,ID,590000
1951,ID,589000
1952,ID,587000
1953,ID,596000
1954,ID,600000
1955,ID,618000
1956,ID,628000
1957,ID,642000
1958,ID,646000
1959,ID,657000
1960,ID,671000
1961,ID,684000
1962,ID,692000
1963,ID,683000
1964,ID,680000
1965,ID,686000
1966,ID,689000
1967,ID,688000
1968,ID,695000
1969,ID,707000
1970,ID,713015
1971,ID,738753
1972,ID,763237
1973,ID,782074
1974,ID,807990
1975,ID,831982
1976,ID,856983
1977,ID,883469
1978,ID,910690
1979,ID,932627
1980,ID,947983
1981,ID,962204
1982,ID,973721
1983,ID,981869
1984,ID,990839
1985,ID,994051
1986,ID,990224
1987,ID,984997
1988,ID,985664
1989,ID,994416
1990,ID,1011882
1991,ID,1038915
1992,ID,1066490
1993,ID,1101204
1994,ID,1135459
1995,ID,1165000
1996,ID,1187706
1997,ID,1210638
1998,ID,1230923
1999,ID,1251700
2000,ID,1299430
2001,ID,1319962
2002,ID,1340372
2003,ID,1363380
2004,ID,1391802
2005,ID,1428241
2006,ID,1468669
2007,ID,1505105
2008,ID,1534320
2009,ID,1554439
2010,ID,1570639
2011,ID,1583780
2012,ID,1595590
2013,ID,1612843
2014,ID,1634464
2015,ID,1654930
1900,IL,4828000
1901,IL,4914000
1902,IL,4992000
1903,IL,5071000
1904,IL,5161000
1905,IL,5241000
1906,IL,5309000
1907,IL,5384000
1908,IL,5474000
1909,IL,5567000
1910,IL,5668000
1911,IL,5757000
1912,IL,5828000
1913,IL,5961000
1914,IL,6109000
1915,IL,6194000
1916,IL,6274000
1917,IL,6313000
1918,IL,6275000
1919,IL,6392000
1920,IL,6663000
1921,IL,6858000
1922,IL,6958000
1923,IL,7068000
1924,IL,7215000
1925,IL,7306000
1926,IL,7395000
1927,IL,7519000
1928,IL,7576000
1929,IL,7606000
1930,IL,7644000
1931,IL,7687000
1932,IL,7736000
1933,IL,7768000
1934,IL,7772000
1935,IL,7797000
1936,IL,7840000
1937,IL,7857000
1938,IL,7866000
1939,IL,7890000
1940,IL,7905000
1941,IL,7995000
1942,IL,8057000
1943,IL,7761000
1944,IL,7719000
1945,IL,7601000
