song,artist,date,weeks_at_number_one,non_consecutive,rating_1,rating_2,rating_3,overall_rating,divisiveness,label,parent_label,cdr_genre,cdr_style,discogs_genre,discogs_style,artist_structure,featured_artists,multiple_lead_vocalists,group_named_after_non_lead_singer,talent_contestant,posthumous,artist_place_of_origin,front_person_age,artist_male,artist_white,artist_black,songwriters,songwriters_w_o_interpolation_sample_credits,songwriter_male,songwriter_white,artist_is_a_songwriter,artist_is_only_songwriter,producers,producer_male,producer_white,artist_is_a_producer,artist_is_only_producer,songwriter_is_a_producer,time_signature,keys,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,acousticness,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,accordion,banjo,bongos,clarinet,cowbell,falsetto_vocal,flute_piccolo,handclaps_snaps,harmonica,human_whistling,kazoo,mandolin,pedal_lap_steel,ocarina,saxophone,sitar,trumpet,ukulele,violin,sound_effects,song_structure,rap_verse_in_a_non_rap_song,length_sec,instrumental,instrumental_length_sec,intro_length_sec,vocal_introduction,free_time_vocal_introduction,fade_out,live,cover,sample,interpolation,inspired_by_a_different_song,lyrics,lyrical_topic,lyrical_narrative,spoken_word,explicit,foreign_language,written_for_a_play,featured_in_a_then_contemporary_play,written_for_a_film,featured_in_a_then_contemporary_film,written_for_a_t_v_show,featured_in_a_then_contemporary_t_v_show,associated_with_dance,topped_the_charts_by_multiple_artist,double_a_side,eurovision_entry,u_s_artwork
Rock Me Gently,Andy Kim,1974-09-28T00:00:00Z,1,0,9,7,8,8,1.3333333333333333,Capitol,EMI,Pop,Pop Rock,Rock,Pop Rock,1,NA,0,0,NA,0,Canada,27,1,1,0,Andy Kim,Andy Kim,1,1,1,1,Andy Kim,1,1,1,1,1,4/4,C,C,123,70,72,78,-8,23,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,C3,0,208,0,43,17,0,0,1,0,0,0,0,0,Ain't it good.Ain't it right.That you are with me here tonight.The music playing.Our bodies swaying in time.Touching you.So warm and tender.Lord I feel such a sweet surrender.Beautiful is the dream that makes you mine.Rock me gently.Rock me slowly.Take it easy.Don't you know.That I have never been.Loved like this before.Rock me gently.Rock me slowly.Take it easy.Don't you know.That I have never been.Loved like this before.Oh my darling.Oh my baby.You got the moves that drive me crazy.And on your face.I see a trace of love.Come hold me close.Don't let me go.I need you honey.I love you so.You were made for me by the stars above.Rock me gently.Rock me slowly.Take it easy.Don't you know.That I have never been loved like this before.And baby baby.Rock me gently.Rock me slowly.Take it easy.Don't you know.That I have never been Loved like this before.Rock me gently.Rock me slowly.Take it easy.Don't you know.That I have never been.Loved like this before.Ain't it good.Ain't it right.That you are with me here tonight.Rock me gently.Rock me slowly.Take it easy.Don't you know.That I have never been.Loved like this before.Baby baby.Rock me gently.Rock me slowly.Take it easy.Don't you know.That I have never been.Loved like this before.,Lust/Sex,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
I Honestly Love You,Olivia Newton-John,1974-10-05T00:00:00Z,2,0,4,4,6,4.666666666666667,1.3333333333333333,MCA,MCA,Pop,Vocal;Ballad,Pop,Ballad,1,NA,0,0,NA,0,Australia,26,0,1,0,Jeff Barry;Peter Allen,Jeff Barry;Peter Allen,1,1,0,0,John Farrar,1,1,0,0,0,4/4,Bb;B&%,Bb,135,11,36,15,-15,96,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,D1,0,221,0,72,22,0,0,0,0,0,0,0,0,Maybe I hang around here.A little more than I should.We both know I got somewhere else to go.But I got something to tell you.That I never thought I would.But I believe you really ought to know.I love you.I honestly love you.You don't have to answer.I see it in your eyes.Maybe it was better left unsaid.This is pure and simple.And you should realize.That it's coming from my heart and not my head.I love you.I honestly love you.I'm not trying to make you feel uncomfortable.I'm not trying to make you anything at all.But this feeling doesn't come along everyday.And you shouldn't blow the chance.When you've got the chance to say.I love you.I honestly love you.If we both were born.In another place and time.This moment might be ending in a kiss.But there you are with yours.And here I am with mine.So I guess we'll just be leaving it at this.I love you.I honestly love you.I honestly love you.,Love;Forbidden Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
Nothing from Nothing,Billy Preston,1974-10-19T00:00:00Z,1,0,5,7,6,6,1.3333333333333333,A&M,A&M,Funk/Soul,Soul,Funk/Soul,Soul;Disco,1,NA,0,0,NA,0,United States,28,1,0,1,Billy Preston;Bruce Fisher,Billy Preston;Bruce Fisher,1,0,1,0,Billy Preston,1,0,1,1,1,4/4,C,C,103,71,81,92,-8,58,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,C1,0,158,0,79,15,0,0,1,0,0,0,1,1,Nothing from nothing leaves nothing.You gotta have something if you want to be with me.Nothing from nothing leaves nothing.You gotta have something if you want to be with me.I'm not trying to be your hero.Cause that zero is too cold for me.I'm not trying to be your highness.Cause that minus is too low to see yeah.Nothing from nothing leaves nothing.And I'm not stuffing believe you me.Don't you remember I told you.I'm a soldier in the war on poverty yeah.Nothing from nothing leaves nothing.You gotta have something if you want to be with me.Nothing from nothing leaves nothing.You gotta have something if you want to be with me.That's right babe.Gotta have something if you want to be with me.You gotta bring a little something girl if you want to be with me.,Lust/Sex,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Artist Photograph
Then Came You,Dionne Warwick & The Spinners,1974-10-26T00:00:00Z,1,0,7,6,7,6.666666666666667,0.6666666666666666,Atlantic,Warner Bros.,Funk/Soul,Soul,Funk/Soul,Soul,0,NA,1,0,NA,0,United States,33,2,0,1,Sherman Marshall;Philip Pugh,Sherman Marshall;Philip Pugh,1,0,0,0,Thom Bell,1,0,0,0,0,4/4,F;G&%,F,116,59,84,80,-12,51,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,C1,0,239,0,60,18,0,0,1,0,0,0,0,0,Ever since I met you seems I can't forget you.The thought of you keeps running through the back of my mind.Every time I'm near you I get that urge to feel you.Just touching you and loving you makes everything right.I never knew love before then came you you then came you.I never knew love before then came you then came you.Now that I've found you how did I live without you.It's plain to see you're all I need to satisfy me.I'm so darned proud of you I wanna sing about you.You ought to know you made love grow by touching my hand.Oh oh I never knew love before then came you then came you.I never knew love before then came you then came you.Hey hey hey then came you.I never knew love before then came you then came you.I never knew love before then came you then came you.I never knew love before then came you then came you you.I never knew love before then came you.Oh no I never knew love before.Then came you.,Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
You Haven't Done Nothin',Stevie Wonder,1974-11-02T00:00:00Z,1,0,7,6,10,7.666666666666667,2.6666666666666665,Tamla,Motown,Funk/Soul,Funk,Funk/Soul,Disco,1,Jackson 5 (Vocals),0,0,NA,0,United States,24,1,0,1,Stevie Wonder,Stevie Wonder,1,0,1,1,Stevie Wonder;Malcolm Cecil;Robert Margouleff,1,2,1,0,1,4/4,Ebm,Ebm,101,63,75,82,-10,29,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,C1,0,203,0,67,28,0,0,1,0,0,0,0,0,We are amazed but not amused.By all the things you say that you'll do.Though much concerned but not involved.With decisions that are made by you.But we are sick and tired of hearing your song.Telling how you are gonna change right from wrong.Cause if you really want to hear our views.You haven't done nothing.It's not too cool to be ridiculed.But you brought this upon yourself.The world is tired of pacifiers.We want the truth and nothing else.And we are sick and tired of hearing your song.Telling how you are gonna change right from wrong.Cause if you really want to hear our views.You haven't done nothing.Jackson 5 join along with me say.We would not care to wake up to the nightmare.That's becoming real life.But when mislead who knows a person's mind.Can turn as cold as ice.Why do you keep on making us hear your song.Telling us how you are changing right from wrong.Cause if you really want to hear our views.You haven't done nothing.Yeah.Jackson 5 sing along again say.,Anger,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,1974-11-09T00:00:00Z,1,0,8,5,9,7.333333333333333,2.6666666666666665,Mercury,Polygram,Rock,Rock,Rock,Classic Rock,0,NA,0,0,NA,0,Canada,31,1,1,0,Randy Bachman,Randy Bachman,1,1,1,1,Randy Bachman,1,1,1,1,1,4/4,A,A,120,53,51,79,-12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,C3,0,218,0,77,17,0,0,1,0,0,0,0,0,I met a devil woman.She took my heart away.She said I've had it coming to me.But I wanted it that way.I think that any love is good loving.So I took what I could get.She looked at me with big brown eyes.And said.You ain't seen nothing yet.Baby you just ain't seen nothing yet.Here's something that you never gonna forget.Baby you just ain't seen nothing yet.Nothing yet.You ain't been around.That's what they told meAnd now I'm feeling better.Cause I found out for sure.She took me to her doctor.And he told me of a cure.He said that any love is good love.So I took what I could get.Yes I took what I could get.And then she looked at me with them big brown eyes.And said.You ain't seen nothing yet.Baby you just ain't seen nothing yet.Here's something here's something your never gonna forget.Baby you know you know you know you just ain't seen nothing yet.You need educatingYou got to go to school.Any love is good loving.So I took what I could get.Yes I took what I could get.And then and then and then.She looked at me with them big brown eyes.And said.You ain't seen nothing yet.Baby you just ain't seen nothing yet.Here's something here's something.Here's something that your never gonna forget.Baby baby baby you ain't seen nothing yet.You ain't been around.You ain't seen nothing yet.That's what she told me.She said I needed educating go to school.I know I ain't seen nothing yet.I know I ain't seen nothing yet.,Lust/Sex,1,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
Whatever Gets You Thru the Night,John Lennon,1974-11-16T00:00:00Z,1,0,8,6,6,6.666666666666667,1.3333333333333333,Apple,Apple,Rock,Pop Rock,Rock,Pop Rock,1,Elton John (Vocals/Piano),0,0,NA,0,United Kingdom,34,1,1,0,John Lennon,John Lennon,1,1,1,1,John Lennon,1,1,1,1,1,4/4,D,D,126,79,57,77,-11,56,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,D1,0,206,0,101,14,0,0,1,0,0,0,0,0,Whatever gets you through the night it’s alright it's alright.It's your money or your life it's alright it's alright.Don't need a sword to cut through flowers oh no oh no.Whatever gets you through your life it's alright it's alright.Do it wrong or do it right it's alright it's alright.Don't need a watch to waste your time oh no oh no.Hold me darling come on listen to me.I won't do you no harm.Trust me darling come on listen to me come on listen to me.Come on listen listen.Whatever gets you to the light it's alright it's alright.Out the blue or out of sight it's alright it's alright.Don't need a gun to blow your mind oh no oh no.Hold me darling come on listen to me.I won't do you no harm.Trust me darling come on listen to me come on listen to me.Come on listen listen.,Hope;Faithfulness,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
I Can Help,Billy Swam,1974-11-23T00:00:00Z,2,0,6,4,5,5,1.3333333333333333,Monument,Monument,Pop,Pop Rock,Rock,Country Rock;Soft Rock;Rockabilly,1,NA,0,0,NA,0,United States,32,1,1,0,Billy Swam,Billy Swam,1,1,1,1,Nick Shaffran,1,1,0,0,0,4/4,C,C,125,68,47,53,-9,51,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,D1,0,178,0,83,19,0,0,0,0,0,0,0,0,If you got a problem.Don't care what it is.If you need a hand.I can assure you this.I can help.I got two strong arms.I can help.It would sure do me good to do you good.Let me help.It's a fact that people get lonely.Ain't nothing new.But a woman like you.Baby should never have the blues.Let me help.I got two for me.Let me help.It would sure do me good to do you good.Let me help.When I go to sleep at night.You're always a part of my dream.Holding me tight and.Telling me everything I wanna hear.Don't forget me baby.All you gotta do is call.You know how I feel about you.If I can do anything at all.Let me help.If your child needs a daddy.I can help.It would sure do me good to do you good.Let me help.When I go to sleep at night.You're always a part of my dream.Holding me tight and.Telling me everything I wanna hear.Don't forget me baby.All you gotta do is call.You know how I feel about you.If I can do anything at all.Let me help.If your child needs a daddy.I can help.It would sure do me good to do you good.Let me help.,Lust/Sex,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
Kung Fu Fighting,Carl Douglas,1974-12-07T00:00:00Z,2,0,4,3,5,4,1.3333333333333333,20th Century,20th Century Fox,Funk/Soul,Funk,"Funk/Soul;Folk, World, & Country",Country;Funk;Disco,1,NA,0,0,NA,0,Jamaica,32,1,0,1,Carl Douglas,Carl Douglas,1,0,1,1,Biddu Appaiah,1,0,0,0,0,Free;4/4,D,D,102,67,60,59,-10,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,C2,0,195,0,0,26,1,1,1,0,0,0,1,1,Everybody was Kung Fu Fighting.Those kids were fast as lightning.In fact it was a little bit frightening.But they fought with expert timing.There were funky China men from funky Chinatown.They were chopping them up.They were chopping them down.It's an ancient Chinese art.And everybody knew their part.From a feigning to a slip.And a kicking from the hip.Everybody was Kung Fu fighting.Those kids were fast as lightning.In fact it was a little bit frightening.But they fought with expert timing.There was funky Billie Chin and little Sammy Chong.He said here comes the big boss let's get it on.We took the bow and made a stand.Started swaying with the hand.A sudden motion made me skip.Now we're into a brand new trip.Everybody was Kung Fu fighting.Those kids were fast as lightning.In fact it was a little bit frightening.But they did it with expert timing.Everybody was Kung Fu fighting.Those kids were fast as lightning.In fact it was a little bit frightening.Make sure you have expert timing.Kung Fu fighting had to be fast as lightning.,Fighting,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
Cat's in the Cradle,Harry Chapin,1974-12-21T00:00:00Z,1,0,8,8,9,8.333333333333334,0.6666666666666666,Elektra,Warner Bros.,Rock,Soft Rock,Rock,Pop Rock,1,NA,0,0,NA,0,United States,32,1,1,0,Harry Chapin;Sandra Chapin,Harry Chapin;Sandra Chapin,2,1,1,0,Paul Leka,1,1,0,0,0,4/4;2/4,F,F,78,48,46,51,-13,46,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,C1,0,212,0,59,13,0,0,0,0,0,0,0,0,My child arrived just the other day.He came to the world in the usual way.But there were planes to catch and bills to pay.He learned to walk while I was away.And he was talking before I knew it and as he grew.He'd say I'm gonna be like you Dad.You know I'm gonna be like you.And the cat's in the cradle and the silver spoon.Little boy blue and the man in the moon.When you coming home Dad.I don't know when but we'll get together then.You know we'll have a good time then.My son turned ten just the other day.He said Thanks for the ball Dad come on let's play.Can you teach me to throw I said Not today.I got a lot to do he said That's okay.And he walked away but his smile never dimmed.And said I'm gonna be like him yeah.You know I'm gonna be like him.And the cat's in the cradle and the silver spoon.Little boy blue and the man on the moon.When you coming home Dad.I don't know when but we'll get together then.You know we'll have a good time then.Well he came from college just the other day.So much like a man I just had to say.Son I'm proud of you can you sit for a while.He shook his head and then said with a smile.What I'd really like Dad is to borrow the car keys.See you later can I have them please.And the cat's in the cradle and the silver spoon.Little boy blue and the man on the moon.When you coming home son.I don't know when but we'll get together then Dad.You know we'll have a good time then.I've long since retired my son's moved away.I called him up just the other day.I said I'd like to see you if you don't mind.He said I'd love to Dad if I can find the time.You see my new job's a hassle and the kid's got the flu.But it's sure nice talking to you Dad.It's been sure nice talking to you.And as I hung up the phone it occurred to me.He'd grown up just like me.My boy was just like me.And the cat's in the cradle and the silver spoon.Little boy blue and the man on the moon.When you coming home son.I don't know when but we'll get together then Dad.We're gonna have a good time then.,Growing Up;Childhood;Bad Relationships,1,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
Angie Baby,Helen Reddy,1974-12-28T00:00:00Z,1,0,7,5,7,6.333333333333333,1.3333333333333333,Capitol,EMI,Pop,Pop Rock,Rock,Pop Rock,1,NA,0,0,NA,0,Australia,33,0,1,0,Alan O'Day,Alan O'Day,1,1,0,0,Jay Senter;Larry Marks;Tom Catalano,1,1,0,0,0,4/4,Gm,Gm,80,34,56,60,-16,48,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,D1,0,211,0,64,7,0,0,1,0,0,0,0,0,You live your life in the songs you hear.On the rock and roll radio.And when a young girl.Doesn't have any friends.That's a really nice place to go.Folks hoping you'd turn out cool.But they had to take you out of school.You're a little touched you know.Angie Baby.Lovers appear in your room each night.And they whirl you across the floor.But they always seem to fade away.When your daddy taps on your door.Angie girl are you alright.Tell the radio good night.All alone once more.Angie Baby.Angie Baby.You're a special lady.Living in a world of make-believe.Well maybe.Stopping at her house is a neighbor boy.With evil on his mind.Cause he's been peeking in Angie's room.At night through her window blind.I see your folks have gone away.Would you dance with me today.I'll show you how to have a good time.Angie Baby.Angie babyAngie babyWhen he walks in her room.He feels confused like he's walked into a play.And the music's so loud.It spins him around.Till his soul has lost its way.And as she turns the volume down.He's getting smaller with the sound.It seems to pull him off the ground.Toward the radio he's bound.Never to be found.The headlines read that a boy disappeared.And everyone thinks he died.Except a crazy girl with a secret lover who keeps her satisfied.It's so nice to be insane.No one asks you to explain.Radio by your side.Angie Baby.Angie Baby.You're a special lady.Living in a world of make-believe.Well maybe.Well maybe.,Lust/Sex;Dancing;Escape,1,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
Lucy in the Sky with Diamonds,Elton John,1975-01-04T00:00:00Z,2,0,4,4,4,4,0,MCA,MCA,Rock,Pop Rock,Rock,None,1,John Lennon (Vocals),0,0,NA,0,United Kingdom,27,1,1,0,John Lennon;Paul McCartney,John Lennon;Paul McCartney,1,1,0,0,Gus Dudgeon,1,1,0,0,0,3/4;4/4,G;Eb;F,Multiple Keys,164,57,39,54,-8,9,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,C3,0,354,0,81,26,0,0,1,0,1,0,0,1,Picture yourself in a boat on a river.With tangerine trees and marmalade skies.Somebody calls you you answer quite slowly.A girl with kaleidoscope eyes.Cellophane flowers of yellow and green.Towering over your head.Look for the girl with the sun in her eyes.And she's gone.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Follow her down to a bridge by a fountain.Where rocking horse people eat marshmallow pies.Everyone smiles as you drift past the flowers.That grow so incredibly high.Newspaper taxis appear on the shore.Waiting to take you away.Climb in the back with your head in the clouds.And you're gone.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Newspaper taxis appear on the shore.Waiting to take you away.Climb in the back with your head in the clouds.And you're gone.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Picture yourself on a train in a station.With plasticine porters with looking glass ties.Suddenly someone is there at the turnstile.The girl with kaleidoscope eyes.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.Lucy in the sky with diamonds.,Love;Appreciation,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Artist Photograph
Mandy,Barry Manilow,1975-01-18T00:00:00Z,1,0,3,6,4,4.333333333333333,2,Bell,Columbia Pictures,Pop,Vocal;Ballad,Rock;Pop,Soft Rock,1,NA,0,0,NA,0,United States,31,1,1,0,Scott English;Richard Kerr,Scott English;Richard Kerr,1,1,0,0,Barry Manilow;Ron Dante,1,1,1,0,0,4/4,Bb;C&%,Bb,104,46,31,32,-9,42,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,E1,0,195,0,66,18,0,0,1,0,1,0,0,1,I remember all my life.Raining down as cold as ice.Shadows of a man.A face through a window crying in the night.The night goes into.Morning just another day.Happy people pass my way.Looking in their eyes.I see a memory.I never realized.How happy you made me.Oh Mandy well.You came and you gave without taking.But I sent you away.Oh Mandy.Well you kissed me and stopped me from shaking.And I need you today.Oh Mandy.I'm standing on the edge of time.I've walked away when love was mine.Caught up in a world of uphill climbing.The tears are in my mind and nothing is rhyming.Oh Mandy well.You came and you gave without taking.But I sent you away.Oh Mandy.Well you kissed me and stopped me from shaking.And I need you today.Oh Mandy.Yesterday's a dream.I face the morning.Crying on a breeze.The pain is calling.Oh Mandy.Well you came and you gave without taking.But I sent you away oh Mandy.Well you kissed me and stopped me from shaking.And I need you today oh Mandy.You came and you gave without taking.But I sent you away oh Mandy.You kissed me and stopped me from shaking.And I need you.,Lost Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
Please Mr. Postman,The Carpenters,1975-01-25T00:00:00Z,1,0,1,2,2,1.6666666666666667,0.6666666666666666,A&M,A&M,Pop,Vocal,Pop,Vocal;Ballad,2,NA,1,0,NA,0,United States,24,2,1,0,Freddie Gorman;Brian Holland;Robert Bateman,Freddie Gorman;Brian Holland;Robert Bateman,1,0,0,0,Richard Carpenter;Karen Carpenter,2,1,1,1,0,4/4,A,A,133,55,66,96,-12,14,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,C1,0,172,0,62,10,1,0,1,0,1,0,0,1,Oh yes wait a minute mister PostmanWait Mister PostmanPlease mister Postman look and see.If there's a letter in your bag for me.Why's it taking such a long time.For me to hear from that boy of mine.There must be some word today.From my boyfriend so far away.Please mister Postman look and see.If there's a letter a letter for me.I've been standing here waiting mister Postman.So patiently.For just a card or just a letter.Saying he's returning home to me.Mister Postman look and see.If there's a letter in your bag for me.Why's it taking such a long time.For me to hear from that boy of mine.So many days you passed me by.See the tears standing in my eyes.You didn't stop to make me feel better.By leaving me a card or a letter.Mister Postman look and see.If there's a letter in your bag for me.Why's it taking such a long time.Why don't you check it and see one more time for me.You gotta wait a minute wait a minute.Wait a minute wait a minute.Mister Postman look and see.Come on deliver the letter the sooner the better.Mister Postman.,Lost Love;Love,0,0,0,0,0,NA,0,NA,0,NA,0,1,NA,0,Artist Photograph;Non-Text Graphics
Laughter in the Rain,Neil Sedaka,1975-02-01T00:00:00Z,1,0,4,2,2,2.6666666666666665,1.3333333333333333,Rocket,MCA,Pop,Vocal,Rock;Pop,Pop Rock;Ballad,1,NA,0,0,NA,0,United States,35,1,1,0,Neil Sedaka;Phil Cody,Neil Sedaka;Phil Cody,1,1,1,0,Neil Sedaka;Robert Appere,1,1,1,0,1,4/4,F,F,101,63,51,95,-9,36,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,C1,0,170,0,35,11,0,0,1,0,0,0,0,0,Strolling along country roads with my baby.It starts to rain it begins to pour.Without an umbrella we're soaked to the skin.I feel a shiver run up my spine.I feel the warmth of her hand in mine.Oh I hear laughter in the rain.Walking hand in hand with the one I love.Oh how I love the rainy days.And the happy way I feel inside.After a while we run under a tree.I turn to her and she kisses me.There with the beat of the rain on the leaves.Softly she breathes and I close my eyes.Sharing our love under stormy skies.Oh I hear laughter in the rain.Walking hand in hand with the one I love.Oh how I love the rainy days.And the happy way I feel inside.I feel the warmth of her hand in mine.Oh I hear laughter in the rain.Walking hand in hand with the one I love.Oh how I love the rainy days.And the happy way I feel inside.Oh I hear laughter in the rain.Walking hand in hand with the one I love.Oh how I love the rainy days.And the happy way I feel inside.Oh I hear laughter in the rain.Walking hand in hand with the one I love.Oh how I love the rainy days.And the happy way I feel inside.,Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
Fire,Ohio Players,1975-02-08T00:00:00Z,1,0,8,6,8,7.333333333333333,1.3333333333333333,Mercury,Polygram,Funk/Soul,Funk,Funk/Soul,Funk,0,NA,0,0,NA,0,United States,NA,1,0,1,William Beck;Leroy Bonner;Marshall Jones;Ralph Middlebrooks;Marvin Pierce;Clarence Satchell;James Williams,William Beck;Leroy Bonner;Marshall Jones;Ralph Middlebrooks;Marvin Pierce;Clarence Satchell;James Williams,1,0,1,1,William Beck;Leroy Bonner;Marshall Jones;Ralph Middlebrooks;Marvin Pierce;Clarence Satchell;James Williams,1,0,1,1,1,4/4,Cm;Dbm&%,Cm,107,68,62,84,-16,10,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirens,C1,0,192,0,81,24,0,0,1,0,0,0,0,0,FireFireFireFireFireThe way you walk and talk really sets me off.To a four-alarm child yes it does.The way you squeeze and tease knocks to me my knees.Cause you're smoking baby baby.The way you swerve and curve really wracks my nerves.And I'm so excited child.The way you push push lets me know that you're.Good.You're gonna get your wish.Fire.Fire.Got me burning got me burning.Got me burning got me burning.Got me burning got me burning.BabySays burning burning baby.Burning burning baby.Oh baby.Cause someone on me.When you shake what you got and girl you've got a lot.You really something child yes you are.Cause when you're hot you're hot you really shoot your shot.You're dynamite child yeah.Well I can tell by your game you're gonna start a flame.In my heart baby baby.I'm about to choke from the smoke got to tighten up my stroke.Can you feel it girl.Got me burning got me burning.Got me burning got me burning.Got me burning got me burning.Fire.Got me burning got me burning.Fire.Got me burning got me burning.Fire.Got me burning got me burning.Fire.Got me burning got me burning.Fire.,Lust/Sex,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
You're No Good,Linda Ronstadt,1975-02-15T00:00:00Z,1,0,8,6,7,7,1.3333333333333333,Capitol,EMI,Rock,Pop Rock;Soul,"Funk/Soul;Folk, World, & Country",Soul;Country,1,NA,0,0,NA,0,United States,28,0,1,0,"Clint Ballard, Jr.","Clint Ballard, Jr.",1,1,0,0,Peter Asher,1,1,0,0,0,4/4,Bbm,Bbm,105,52,67,63,-10,25,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,C1,0,224,0,110,10,0,0,1,0,1,0,0,1,Feeling better now that we're through.Feeling better cause I'm over you.I've learned my lesson it left a scar.Now I see how you really are.You're no good you're no good you're no good.Baby you're no good.I'm gonna say it again.You're no good you're no good you're no good.Baby you're no good.I broke a heart that's gentle and true.Well I broke a heart over someone like you.I'll beg his forgiveness on bended knee.I wouldn't blame him if he said to me.You're no good you're no good you're no good.Baby you're no good.I'm gonna say it again.You're no good you're no good you're no good.Baby you're no good.I'm telling you now baby that I'm going my way.Forget about me baby cause I'm leaving this day.You're no good you're no good you're no good.Baby you're no good.I'm gonna say it again.You're no good you're no good you're no good.Baby you're no good.Oh oh no.You're no good you're no good you're no good.Baby you're no good.,Bad Relationships;Lost Love;Longing for Love;Regret,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
Pick Up the Pieces,Average White Band,1975-02-22T00:00:00Z,1,0,5,6,9,6.666666666666667,2.6666666666666665,Atlantic,Warner Bros.,Funk/Soul,Funk,Funk/Soul,Funk;Soul,0,NA,0,0,NA,0,United Kingdom,27.2,1,1,0,Roger Ball;Malcolm Duncan;Alan Gorrie;Onnie McIntyre;Hamish Stuart;Robbie McIntosh,Roger Ball;Malcolm Duncan;Alan Gorrie;Onnie McIntyre;Hamish Stuart;Robbie McIntosh,1,1,1,1,Arif Mardin,1,1,0,0,0,4/4,Fm,Fm,107,80,76,93,-8,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,I,0,185,1,185,10,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
