"name","img","category","country","role","description"
"Nisreen Alwan","https://ichef.bbci.co.uk/news/300/cpsprodpb/9CA7/production/_115330104_nisreen_alwan.jpg","Knowledge","Iraq/UK","Public health expert","Nisreen is a public health doctor and academic in the UK who researches the health and wellbeing of women and children, focusing on pregnancy."
"Elizabeth Anionwu","https://ichef.bbci.co.uk/news/300/cpsprodpb/3A0F/production/_115336841_elizabeth_anionwu.jpg","Knowledge","UK","Nurse","Professor Dame Elizabeth Anionwu is an emeritus professor of nursing at the University of West London and a patron of the UK Sickle Cell Society. "
"Nadeen Ashraf","https://ichef.bbci.co.uk/news/300/cpsprodpb/11F1F/production/_115330537_nadeen_ashraf.jpg","Leadership","Egypt","Campaigner","Nadeen is a philosophy student who believes in social media as a tool for change. She is passionate about spreading knowledge in a way that’s accessible to the general population."
"Erica Baker","https://ichef.bbci.co.uk/news/300/cpsprodpb/F376/production/_115562326_erica_baker.jpg","Identity","Germany","Engineer","Erica is a director of engineering at GitHub. Erica's career in tech began 19 years ago providing tech support for the University of Alaska before moving to Google in 2006."
"Diana Barran","https://ichef.bbci.co.uk/news/300/cpsprodpb/A00B/production/_115517904_diana_barran.jpg","Knowledge","UK","Parliamentary Under Secretary of State","Baroness Barran was appointed the UK’s Minister for Civil Society in 2019, and is responsible for policy related to the Office for Civil Society. She is the founder and former chief executive of SafeLives, a national charity dedicated to ending domestic abuse. "
"Bilkis ","https://ichef.bbci.co.uk/news/300/cpsprodpb/182BB/production/_115330099_bilkis_bano.jpg","Leadership","India","Protest leader","At 82, Bilkis was part of a group of women who peacefully protested against a controversial citizenship law. "
"Cindy Bishop","https://ichef.bbci.co.uk/news/300/cpsprodpb/FFFF/production/_115553556_cindy_sirinya_bishop.jpg","Identity","Thailand","UN Women ambassador/model","Cindy Sirinya Bishop is a model, actress and TV host, who also campaigns on ending violence against women. This year she was appointed UN Women regional goodwill ambassador for Asia and the Pacific, promoting gender equality through education, communities and governments."
"Macinley Butson","https://ichef.bbci.co.uk/news/300/cpsprodpb/F808/production/_115369436_macinley_butson.jpg","Knowledge","Australia","Scientist and inventor","Macinley Butson began coming up with inventions when she was seven years old. Now 20, she has invented a range of devices, whose aims include improving outcomes for radiotherapy breast-cancer patients and providing safe drinking water for developing communities."
"Evelina Cabrera","https://ichef.bbci.co.uk/news/300/cpsprodpb/AB7F/production/_115330934_evelina_cabrera.jpg","Leadership","Argentina","Football coach and manager","Evelina was born into a context of vulnerability, but that did not prevent her from becoming a football coach and manager. She founded the Argentinian Women's Football Association at the age of 27."
"Wendy Beatriz Caishpal Jaco","https://ichef.bbci.co.uk/news/300/cpsprodpb/D0FF/production/_115330535_wendy_caishpal.jpg","Identity","El Salvador","Disability activist","Wendy Caishpal is an entrepreneur, activist, motivational speaker, and spokesperson for the rights of disabled people and survivors of armed conflicts."
"Carolina Castro","https://ichef.bbci.co.uk/news/300/cpsprodpb/6DA9/production/_115337082_carolina_castro.jpg","Leadership","Argentina","Union leader","Carolina Castro is the first woman to reach a governing position at the Argentine Industrial Union (UIA) in its 130-year history. Her activism has contributed to advancing the gender-equality agenda across party lines in a country where public debate is highly polarised."
"Agnes Chow","https://ichef.bbci.co.uk/news/300/cpsprodpb/15BAB/production/_115330098_agnes_chow.jpg","Leadership","Hong Kong","Pro-democracy activist","Agnes Chow, a 23-year-old pro-democracy activist in Hong Kong, was a key figure during the 2014 Umbrella Movement. This year she was one of a handful of activists arrested under a controversial new security law imposed by Beijing. She was accused of ""colluding with foreign forces”."
"Patrisse Cullors","https://ichef.bbci.co.uk/news/300/cpsprodpb/11F18/production/_115369437_patrisse_cullors.jpg","Identity","US","Human rights activist","Artist, organiser, educator, and popular public speaker, Patrisse Cullors is a Los Angeles native, co-Founder and executive director of the Black Lives Matter Global Network Foundation, founder of grassroots Los Angeles-based organisation Dignity and Power Now. "
"Tsitsi Dangarembga","https://ichef.bbci.co.uk/news/300/cpsprodpb/320D/production/_115331821_tsitsi_dangarembga.jpg","Creativity","Zimbabwe","Writer and film-maker","Tsitsi is a critically acclaimed writer, film-maker and cultural activist. She has written award-winning books that are regarded as Zimbabwean classics, and her films have screened at festivals across the world, including the Sundance Film Festival. She lives in Harare, working locally with female African film-makers."
"Shani Dhanda","https://ichef.bbci.co.uk/news/300/cpsprodpb/4FBD/production/_115331402_shani_dhanda.jpg","Identity","UK","Disability activist","Shani Dhanda is an award-winning disability specialist and social entrepreneur, recognised as one of the UK's most influential disabled people. Shani founded, and continues to lead, the Diversability Card initiative, the Asian Woman Festival and the Asian Disability Network. "
"Naomi Dickson","https://ichef.bbci.co.uk/news/300/cpsprodpb/A9E8/production/_115369434_naomi_dickson.jpg","Leadership","UK","Chief executive","Naomi has dedicated her professional life to supporting Jewish women and children who have experienced domestic abuse, and to educating the Jewish community so that they have the tools to highlight, expose and prevent domestic abuse, now and in the future.  "
"Karen Dolva","https://ichef.bbci.co.uk/news/300/cpsprodpb/16EA7/production/_115336839_karen_dolva.jpg","Creativity","Norway","Innovator","Karen Dolva is the chief executive and co-founder of No Isolation, an Oslo-based start-up founded in October 2015. Its mission is to bring people together through warm technology and knowledge. "
"Ilwad Elman","https://ichef.bbci.co.uk/news/300/cpsprodpb/14247/production/_115330528_ilwad_elman.jpg","Leadership","Somalia","Peace activist","Ilwad Elman is a young female leader at the forefront of the Somali peace process and a global authority on ending conflict and reconciling communities. "
"Jeong Eun-kyeong","https://ichef.bbci.co.uk/news/300/cpsprodpb/0585/production/_115331410_jeong_eun-kyeong.jpg","Leadership","South Korea","KDCA Commissioner","Dr Jeong Eun-kyeong has been described as a “virus-hunter” and has led South Korea’s response to the Covid-19 pandemic."
"Fang Fang","https://ichef.bbci.co.uk/news/300/cpsprodpb/2777/production/_115330101_fangfang.jpg","Knowledge","China","Writer","Fang Fang, whose real name is Wang Fang, is an award-winning Chinese author who has produced more than 100 works. This year, she began documenting events in Wuhan, where the coronavirus outbreak first emerged."
"Somaya Faruqi","https://ichef.bbci.co.uk/news/300/cpsprodpb/591D/production/_115331822_somaya_faruqi.jpg","Knowledge","Afghanistan","Robotics team leader","When Afghanistan’s first case of Covid-19 was reported in her home province of Herat, Somaya and her all-female robotics team – the ""Afghan Dreamers"" – set to work on a low-cost ventilator to treat coronavirus patients."
"Eileen Flynn","https://ichef.bbci.co.uk/news/300/cpsprodpb/D267/production/_115336835_eileen_flynn.jpg","Identity","Republic of Ireland","Senator","Eileen Flynn made history this year as the first woman from the Irish Travellers community to sit in the Seanad Éireann, the upper house of the Irish Parliament. "
"Jane Fonda","https://ichef.bbci.co.uk/news/300/cpsprodpb/5E5D/production/_115575142_jane_fonda.jpg","Creativity","US","Actress","On-screen, Jane Fonda is a two-time Academy Award-winning actress, renowened for her work in iconic films such as Klute, Coming Home, On Golden Pond and 9 to 5 to name a few. She currently stars in the hit Netflix series Grace and Frankie."
"Kiran Gandhi","https://ichef.bbci.co.uk/news/300/cpsprodpb/34BF/production/_115330531_madame_ghandi.jpg","Creativity","US","Singer","Kiran Gandhi, who performs as Madame Gandhi, is a singer and musician, artist and activist whose mission is to elevate and celebrate gender liberation. She has been on tour, drumming with acts such as MIA and Thievery Corporation."
"Lauren Gardner","https://ichef.bbci.co.uk/news/300/cpsprodpb/BE7B/production/_115336784_lauren_gardner.jpg","Knowledge","US","Scientist","Lauren Gardner is an engineering professor at Johns Hopkins University, and co-director of the Center for Systems Science and Engineering."
"Alicia Garza","https://ichef.bbci.co.uk/news/300/cpsprodpb/D0F8/production/_115369435_alicia_garza.jpg","Identity","US","Human-rights activist","Alicia Garza is an organiser, political strategist, and author of The Purpose of Power: How We Come Together When We Fall Apart. "
"Iman Ghaleb Al-Hamli","https://ichef.bbci.co.uk/news/300/cpsprodpb/16957/production/_115330529_iman.jpg","Knowledge","Yemen","Microgrid manager","Iman manages a group of 10 women who set up a solar microgrid, offering clean and low-impact energy, just 20 miles from the front line of the devastating Yemeni civil war."
"Sarah Gilbert","https://ichef.bbci.co.uk/news/300/cpsprodpb/F30F/production/_115332226_sarah_gilbert.jpg","Knowledge","UK","Scientist","The moment Chinese scientists published genetic details of the new coronavirus, Sarah and her team in Oxford set to work to create a Covid-19 vaccine. Trial results show 70% protection, but the researchers say the figure may be as high as 90% by tweaking the dose."
"Maggie Gobran","https://ichef.bbci.co.uk/news/300/cpsprodpb/181CB/production/_115336789_maggie_gobran.jpg","Leadership","Egypt","Coptic nun","Mama Maggie Gobran has devoted her life to transforming those of marginalised children in Egypt. Abandoning a life of affluence and a distinguished academic career, she has dedicated all her energy and resources to observing children, washing their feet, and looking into their eyes and telling them that they matter."
"Rebeca Gyumi","https://ichef.bbci.co.uk/news/300/cpsprodpb/5D37/production/_115336832_rebeca_gyumi.jpg","Knowledge","Tanzania","Lawyer","Rebeca Gyumi is the founder and executive director at the Msichana Initiative, a local NGO working to advance girls' rights. She is an advocate for gender equality, and has vast experience working on youth engagement and building women's movements,and providing advocacy at national and grassroots levels."
"Deta Hedman","https://ichef.bbci.co.uk/news/300/cpsprodpb/AB57/production/_115336834_deta_hedman.jpg","Leadership","Jamaica","Darts champion","Deta worked nights at Royal Mail for 22 years. She has won 215 darts titles – the second-highest tally in the whole game, beaten only by Phil Taylor. She has appeared in 341 finals, more than anyone else in darts history. Deta arrived in England in 1973 and is the current captain of England Darts."
"Muyesser Abdul’ehed Hendan","https://ichef.bbci.co.uk/news/300/cpsprodpb/CB78/production/_115588025_100_women_2020_grey.png","Identity","Exiled Uighur from Ghulja (in Chinese, Yining)","Writer","Muyesser Abdul’ehed who goes by her pen name, Hendan, began making a name for herself as a poet and essayist while studying medicine. By the time she completed her master’s degree in public health, she had resolved to focus on writing. "
"Uyaiedu  Ikpe-Etim","https://ichef.bbci.co.uk/news/300/cpsprodpb/1327/production/_115330940_uyaiedu_ipke.jpg","Identity","Nigeria","Film-maker","Uyaiedu Ipke-Etim is a feminist film-maker, director and LGBTQ+ activist, who has committed herself to creating stories about marginalised groups in Nigeria."
"Miho Imada","https://ichef.bbci.co.uk/news/300/cpsprodpb/82DF/production/_115330533_miho_imada.jpg","Creativity","Japan","Sake master brewer","Sake-brewing has long been a man’s world – for centuries, women were forbidden to set foot in Japan's breweries."
"Isaivani ","https://ichef.bbci.co.uk/news/300/cpsprodpb/0AFD/production/_115331820_isaivani.jpg","Creativity","India","Musician","Isaivani is a distinctive gaana singer in India. Gaana music emerged from the working class neighbourhoods of North Chennai (formerly Madras) in Tamil Nadu. Isaivani has spent years singing and performing in this male-dominated space."
"Manasi Joshi","https://ichef.bbci.co.uk/news/300/cpsprodpb/5BCF/production/_115330532_manasi_joshi.jpg","Leadership","India","Athlete","Manasi, an Indian para-athlete, is the current para-badminton world champion. In June 2020, the Badminton World Federation ranked her world number two in the SL3 singles. Manasi is also an engineer and a change-maker. "
"Nadine Kaadan","https://ichef.bbci.co.uk/news/300/cpsprodpb/2371/production/_115337090_nadine_kadaan.jpg","Creativity","France","Writer/illustrator","Nadine Kaadan is an award-winning children’s book author and illustrator from Syria now living in London. She is published in several countries and languages and her mission is to champion empowered and inclusive representation in children’s books, so that every child can see themselves in a story. "
"Mulenga Kapwepwe","https://ichef.bbci.co.uk/news/300/cpsprodpb/130F9/production/_115337087_mulenga_kapwepwe.jpg","Creativity","Zambia","Artist and curator","Mulenga Mpundu Kapwepwe co-founded the Zambian Women's History Museum, lauded in 2020 for marking Zambian women’s contribution to their nation. She has also built libraries for children in the Zambian capital, Lusaka."
"Jemimah Kariuki","https://ichef.bbci.co.uk/news/300/cpsprodpb/F80F/production/_115330536_jemimah_kariuki.jpg","Knowledge","Kenya","Doctor","Dr Jemimah Kariuki is deeply passionate about preventive medicine, especially in maternal and child health. She is the founder of the Peace Club, initiated in response to post-election violence in 2007, and the Public Health Club (which is instrumental in running cervical-cancer prevention drives)."
"Gülsüm  Kav","https://ichef.bbci.co.uk/news/300/cpsprodpb/7597/production/_115330103_gulsum_kav.jpg","Identity","Turkey","Social justice activist","Gülsüm Kav is a Turkish doctor, academic and co-founder of We Will Stop Femicide. Over the past year, high femicide rates and parliamentary debates over whether to repeal the Istanbul Convention (a legal framework designed to protect victims of domestic violence) have drawn widespread criticism in Turkey."
"Jackie Kay","https://ichef.bbci.co.uk/news/300/cpsprodpb/5D5F/production/_115330932_jackie_kay.jpg","Creativity","UK ","Poet","Jackie Kay is a Scottish poet, playwright and novelist. Her memoir, Red Dust Road, which details her search for her biological parents, has been described by the author as a ""love letter"" to her white adoptive parents. In 2016 she was named the Scots Makar – the national poet of Scotland. "
"Salsabila Khairunnisa","https://ichef.bbci.co.uk/news/300/cpsprodpb/C3B7/production/_115330105_salsabila.jpg","Leadership","Indonesia","Environmental campaigner","Salsabila is a 17 year-old student from Jakarta, Indonesia. Every Friday she leads a school strike against deforestation in front of the office of the Ministry of Environment and Forestry."
"Mahira Khan","https://ichef.bbci.co.uk/news/300/cpsprodpb/1130D/production/_115331407_mahira_khan.jpg","Creativity","Pakistan","Actor","Mahira Khan is no ordinary actress – she is outspoken against sexual violence, refuses to endorse skin-lightening creams and supports the fight against racism. She wants to tackle social issues in her native Pakistan by changing the narrative in films and on TV."
"Angelique Kidjo","https://ichef.bbci.co.uk/news/300/cpsprodpb/18000/production/_115340389_angelique_kidjo.jpg","Creativity","Benin","Musician","Four-time Grammy award winner Angélique Kidjo is one of the greatest artists in international music today. She has cross-pollinated the West African traditions of her childhood in Benin with elements of American R&B, funk and jazz, as well as influences from Europe and Latin America."
"Chu Kim Duc","https://ichef.bbci.co.uk/news/300/cpsprodpb/8447/production/_115336833_chu_kim_duc.jpg","Creativity","Vietnam","Architect","Architect Kim Duc is on a mission to promote children’s right to play in Vietnam. As the co-founder and director of Think Playgrounds, she has been working with partners and communities in the country to create over 180 public playgrounds made from recycled materials. "
"Safaa Kumari","https://ichef.bbci.co.uk/news/300/cpsprodpb/15809/production/_115337088_safaa_kumari.jpg","Knowledge","Syria","Plant virologist","As a plant virologist, Dr Safaa Kumari looks for solutions to epidemics that destroy crops. After discovering seeds that could safeguard food security in Syria, she risked her life to rescue them from Aleppo. "
"Ishtar Lakhani","https://ichef.bbci.co.uk/news/300/cpsprodpb/F977/production/_115336836_ishtar_lakhani.jpg","Knowledge","South Africa","Activist","Ishtar is a feminist, activist and self-proclaimed “troublemaker”. She is based in South Africa, where she collaborates with social-justice organisations, movements and networks around the world, providing the support needed to strengthen their approaches to human rights-advocacy. "
"Claudia López","https://ichef.bbci.co.uk/news/300/cpsprodpb/D28F/production/_115330935_claudia-lopez.jpg","Leadership","Colombia","Mayor","Claudia López is the first female mayor of Bogotá, Colombia’s capital and the largest city in the country. "
"Josina Machel","https://ichef.bbci.co.uk/news/300/cpsprodpb/12087/production/_115336837_josina_machel.jpg","Identity","Mozambique","Social-justice activist","Josina Z Machel is a long-standing defender of human rights, born into a legacy of activism. She is fiercely passionate in her life’s calling to advance women’s rights. "
"Sanna Marin","https://ichef.bbci.co.uk/news/300/cpsprodpb/2458/production/_115340390_sanna_marin.jpg","Leadership","Finland","Prime Minister of Finland","Sanna Marin is Prime Minister of Finland and leader of the Social Democratic Party of Finland. The coalition government she heads has been formed with four other parties, all led by women: Maria Ohisalo (Green League), Li Andersson (Left Alliance), Anna-Maja Henriksson (Swedish People’s Party) and Annika Saarikko (Centre Party). "
"Hayat Mirshad","https://ichef.bbci.co.uk/news/300/cpsprodpb/12FF/production/_115336840_hayat_mirshad.jpg","Identity","Lebanon","Activist","A feminist activist, journalist and humanitarian, Hayat is co-founder of Fe-Male, a pioneer feminist collective in Lebanon. Unapologetic and uncompromising, Hayat’s mission is to ensure girls and women have access to justice, information, protection and human rights. "
"Bulelwa Mkutukana","https://ichef.bbci.co.uk/news/300/cpsprodpb/CA65/production/_115331815_zahara_bulelwa_mkutukana.jpg","Creativity","South Africa","Singer/songwriter","Bulelwa Mkutukana is better known by her stage name Zahara. She came from humble beginnings in South Africa, and found her love of singing in the school choir. She started her singing career busking on the streets, but in 2011 Zahara’s debut album went double-platinum in less than three weeks. "
"Lucy Monaghan","https://ichef.bbci.co.uk/news/300/cpsprodpb/0DAF/production/_115330530_lucy_monaghan.jpg","Knowledge","Northern Ireland","Campaigner","Lucy Monaghan waived her right to anonymity, to talk about how she was treated by police and prosecutors in Northern Ireland after reporting her alleged rape in 2015. Police initially told her that, as there was evidence she had been “flirting” with her alleged perpetrator, the case was unlikely to result in a conviction. "
"Douce Namwezi N'Ibamba","https://ichef.bbci.co.uk/news/300/cpsprodpb/33A7/production/_115332231_namwezi_n'lbamba.jpg","Knowledge","DR Congo","Journalist","Douce Namwezi N'Ibamba is a multimedia journalist and the founder of Uwezo Afrika Initiative, a non-profit venture promoting women's empowerment through journalism, job training and social entrepreneurship. "
"Vanessa Nakate","https://ichef.bbci.co.uk/news/300/cpsprodpb/F175/production/_115331816_vanessa_nakate.jpg","Leadership","Uganda","Climate activist","Vanessa Nakate, 23, is a climate activist from Uganda and founder of the Africa-based Rise Up Movement. She campaigns internationally to highlight the impacts of climate change already occurring in Africa. She focuses particularly on how the climate crisis is exacerbating poverty, conflict and gender inequality."
"Ethelreda Nakimuli-Mpungu","https://ichef.bbci.co.uk/news/300/cpsprodpb/158F0/production/_115340388_ethel_mpungu.jpg","Knowledge","Uganda","Mental health expert","Dr Ethel Nakimuli-Mpungu, of Makerere University in Uganda, works towards making therapy more culturally appropriate, particularly for people living with HIV and depression. "
"Nandar ","https://ichef.bbci.co.uk/news/300/cpsprodpb/11A1F/production/_115332227_nandar.jpg","Creativity","Myanmar","Feminist activist","Nandar is a feminist advocate, translator, storyteller and creator of two podcasts: Feminist Talks and G-Taw Zagar Wyne. She founded the Purple Feminists Group, and co-directed a production of The Vagina Monologues in Yangon."
"Vernetta M Nay Moberly","https://ichef.bbci.co.uk/news/300/cpsprodpb/A9EF/production/_115330534_vernetta_m_nay_moberly.jpg","Knowledge","US","Environmental activist","Vernetta Moberly is a wife, mother, grandmother and friend. "
"Nemonte Nenquimo","https://ichef.bbci.co.uk/news/300/cpsprodpb/0C97/production/_115332230_nemonte_nenquimo.jpg","Leadership","Ecuador","Waorani leader","Nemonte Nenquimo is an indigenous Waorani woman committed to defending her ancestral territory, culture and way of life in the Amazon rainforest. "
"Sania Nishtar","https://ichef.bbci.co.uk/news/300/cpsprodpb/1683F/production/_115332229_sania_nishtar.jpg","Knowledge","Pakistan","Global health leader","Dr Sania Nishtar is a leader in global health and sustainable development. Since 2018, she has been spearheading the transformative Ehsaas Poverty Alleviation programme, which has improved the livelihoods of millions of Pakistanis by providing mobile banking and savings accounts, and other basic resources."
"Phyllis Omido","https://ichef.bbci.co.uk/news/300/cpsprodpb/4D33/production/_115336791_phylis_omido.jpg","Leadership","Kenya","Environmental activist","Phyllis Omido is founder and executive director of the Center for Justice Governance and Environmental Action (CJGEA), advocating the environmental and socio-economic rights of marginalised communities affected by Kenya’s extractive industries."
"Laleh Osmany","https://ichef.bbci.co.uk/news/300/cpsprodpb/976B/production/_115336783_laleh_osmany.jpg","Identity","Afghanistan","Activist","In Afghanistan, using a woman’s name in public is frowned upon. Only the father's name should be recorded on a birth certificate. When a woman marries, her name does not appear on her wedding invitations; when she is ill, her name does not appear on medical prescriptions, and when she dies, her name does not appear on her death certificate or even her headstone."
"Ridhima Pandey","https://ichef.bbci.co.uk/news/300/cpsprodpb/76CD/production/_115331403_ridhima_pandey.jpg","Leadership","India ","Climate activist","Ridhima Pandey is a climate activist who, at the age of nine, filed a petition against the government of India in response to its inaction to mitigate climate change. In 2019, along with 15 other child petitioners, Ridhima filed a lawsuit against five countries at the UN. "
"Lorna Prendergast","https://ichef.bbci.co.uk/news/300/cpsprodpb/133AB/production/_115336787_lorna_prendergast.jpg","Knowledge","Australia","Dementia researcher","In 2019, Lorna Prendergast made global headlines when she graduated from Melbourne University at the age of 90, with a master's degree in ageing. She dedicated her degree to her late husband, to whom she had been married for 64 years and who had suffered from dementia. "
"Oksana Pushkina","https://ichef.bbci.co.uk/news/300/cpsprodpb/EBFD/production/_115331406_oksana_pushkina.jpg","Leadership","Russia","State Duma Deputy","Oksana Pushkina is the deputy vice-chairwoman of the Committee on Family, Women and Children Issues, at Russia's State Duma. "
"Cibele Racy","https://ichef.bbci.co.uk/news/300/cpsprodpb/0067/production/_115330100_cibele_racy.jpg","Identity","Brazil","Teacher","Cibele is a retired headteacher who pioneered the teaching of racial equality to primary schoolchildren in São Paulo."
"Susana Raffalli ","https://ichef.bbci.co.uk/news/300/cpsprodpb/EAC7/production/_115330106_suana_raffali.jpg","Knowledge","Venezuela","Nutritionist","Susana is a humanitarian worker who has spent 22 years assisting in emergencies around the world. She helped Cáritas de Venezuela to establish a tool that showed, in real time, the impact of the humanitarian crisis on children at a time when the crisis was being denied in Venezuela. Susana also founded a network of centres providing nutritional support for children living in slums."
"Sapana Roka Magar","https://ichef.bbci.co.uk/news/300/cpsprodpb/C4ED/production/_115331405_sapana_roka_magar.jpg","Knowledge","Nepal","Crematorium technician","After becoming homeless for three months, Sapana travelled to Kathmandu where she became involved in an organisation that cremates unclaimed bodies."
"Pardis Sabeti","https://ichef.bbci.co.uk/news/300/cpsprodpb/4CE2/production/_115528691_pardis_sabeti.jpg","Knowledge","Iran","Computational geneticist","Pardis Sabeti is a professor at Harvard University, the Broad Institute of MIT and Harvard, and the Howard Hughes Medical Institute. She has contributed to human and microbial genomics, information theory, and rural infectious disease surveillance and education efforts in West Africa. "
"Febfi Setyawati","https://ichef.bbci.co.uk/news/300/cpsprodpb/F99F/production/_115330936_febfi.jpg","Knowledge","Indonesia","Activist","Febfi Setyawati is the founder of Untukteman.id, an organisation that helps vulnerable people – especially ill people with financial difficulties and those affected by Covid-19. "
"Ruth Shady","https://ichef.bbci.co.uk/news/300/cpsprodpb/14628/production/_115369438_ruth_shady.jpg","Knowledge","Peru","Archaeologist","Ruth Shady has a doctorate in archaeology and anthropology and is vice-dean of research at the Faculty of Social Sciences of the National University of San Marcos. She is director of multidisciplinary research at the Caral archaeological site, considered to be the oldest civilisation in the Americas."
"Panusaya Sithijirawattanakul","https://ichef.bbci.co.uk/news/300/cpsprodpb/17F19/production/_115337089_panusaya_sithijiriwattanaku.jpg","Leadership","Thailand","Student activist","This year pro-democracy protests have swept through Thailand, and students like 22-year-old Panusaya are at the heart of it. She and other activists were arrested for their involvement but she was later released on bail. "
"Nasrin Sotoudeh","https://ichef.bbci.co.uk/news/300/cpsprodpb/364F/production/_115330931_nasrin_sotoudeh.jpg","Leadership","Iran","Human rights activist","Nasrin Sotoudeh is an Iranian lawyer advocating for the rule of law and the rights of political prisoners, opposition activists, women and children in Iran. She is on temporary leave from a long prison sentence for standing up against the country’s much-criticised justice system."
"Kathy Sullivan","https://ichef.bbci.co.uk/news/300/cpsprodpb/14797/production/_115336838_kathy_sullivan.jpg","Knowledge","US","Scientist/astronaut","Kathy Sullivan is an accomplished scientist, astronaut, author and executive. She was one of the first six women to join the Nasa astronaut corps in 1978, and holds the distinction of being the first American woman to walk in space. "
"Rima Sultana Rimu","https://ichef.bbci.co.uk/news/300/cpsprodpb/120AF/production/_115330937_rima_sultana.jpg","Knowledge","Bangladesh","Teacher","Rima Sultana Rimu is a member of Young Women Leaders for Peace in Cox’s Bazar, Bangladesh. This programme, part of the Global Network of Women Peacebuilders, aims to empower young women from conflict-affected countries to be leaders and agents of peace."
"Lea T","https://ichef.bbci.co.uk/news/300/cpsprodpb/E58B/production/_115336785_lea_t.jpg","Identity","Brazil","Transgender model","Not many models can say their first ever job was for Givenchy, but that’s the case for Lea T. She’s been in the business for more than 10 years, and has graced the pages of many high-profile publications, including Marie Claire, Grazia and Vogue. "
"Ana Tijoux","https://ichef.bbci.co.uk/news/300/cpsprodpb/78FB/production/_115517903_ana_tijoux.jpg","Creativity","France","Musician","Ana Tijoux is a Chilean hip-hop protester. A feminist and activist in her lyrics, she denounces social and cultural deficiencies. Her parents went into exile during Augusto Pinochet's dictatorship in Chile, which left a mark on a career notable for a special sensitivity to political and social issues. "
"Opal Tometi","https://ichef.bbci.co.uk/news/300/cpsprodpb/C71B/production/_115517905_opal_tometi.jpg","Identity","US","Human-rights activist","Opal Tometi is an award-winning human-rights defender and one of three female co-founders of Black Lives Matter. She is also founder of a new media and advocacy hub, Diaspora Rising. "
"Sviatlana  Tsikhanouskaya","https://ichef.bbci.co.uk/news/300/cpsprodpb/28AD/production/_115331401_sviatlana_tsikhanouskaya.jpg","Leadership","Belarus","Politician","Sviatlana Tiskhanouskaya is a former presidential candidate in Belarus, where she led a national democratic movement. In August 2020, President Alexander Lukashenko claimed a landslide victory in the leadership election, sparking protests across the country amid widespread accusations of vote-rigging."
