acc_id,acc_date,acc_state,acc_city,fix_port,source,bus_type,industry_sector,device_category,device_type,tradename_or_generic,manufacturer,num_injured,age_youngest,gender,acc_desc,injury_desc,report,category,mechanical,op_error,employee,notes
1006928,1/4/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Spinning cups/tubs,tea cups,In-house,1,21,F,Patron stated she felt dizzy and nauseous after exiting the attraction. Normal ride operation.,"Dizziness, nausea",,Illness or neurological symptoms,,,,
1000347,1/4/2011,FL,KISSIMMEE,F,Florida Dept. of Agriculture,Go kart track,recreation,go-kart,Go-kart,go kart,,1,21,F,"A female patron, approximate age near 20, bumped into the rear of her mothers kart.  No injury was reported and it is unkown if the patron sought medical attention.",Body pain,,Collision: patron-controlled vehicles,,,,
1000485,1/5/2011,FL,KISSIMMEE,F,Florida Dept. of Agriculture,Amusement park,recreation,go-kart,Go-kart,go kart,,1,10,F,Ten year old female failed to brake while entering the pit area and struck a rail.,Back pain,,Collision: go-kart or bumper car hit stationary object,,,,
1000187,1/5/2011,FL,KISSIMMEE,F,Florida Dept. of Agriculture,Amusement park,recreation,go-kart,Go-kart,go kart,,1,39,F,Thirty nine year old patron was bumped from behind.,Neck and back pain,,Collision: patron-controlled vehicles,,,,
1002949,1/8/2011,NJ,Bridgewater,F,New Jersey Dept. of Community Affairs,Sports or recreation facility,recreation,play equipment,Play structure,play structure,,1,5,M,"Injured fell in soft play on shoulder in ball pit, got out on his own, received ice pack for shoulder. &nbsp;He couldn’t move his neck so father opted to call the squad for the injury. &nbsp;Finally the rescue squad responded. &nbsp;Guardian of injured refused ambulance transportation.",Shoulder injury,,Fall: in climb or play area,,,,
1001560,1/9/2011,NH,Bartlett,F,New Hampshire Dept. of Safety,Mountain resort,recreation,alpine activity,Alpine gravity course,mountain coaster,,1,15,F,Brake fin missed slot in magnet causing car to stop suddenly,Swollen nose/ abdominal pain,,Equipment failure,1,,,
1006902,1/12/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Boat ride,submarine ride,In-house,1,53,F,Patron stated she struck her right elbow on the hand railing as she was entering the attraction.,Elbow injury,,Load/Unload: scrape or stumble,,,,
1006929,1/14/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Track ride,dark ride,In-house,1,16,F,Patron stated she experienced coughing and dizziness after riding the attraction. Normal ride operation.,"Coughing, dizziness. Paramedics administered albuterol, then released.",,Illness or neurological symptoms,,,,
1000308,1/15/2011,FL,CAPE CORAL,F,Florida Dept. of Agriculture,Family entertainment center,recreation,go-kart,Go-kart,go kart,,1,10,F,Ten year old female patron was stopped at a light on the track when another kart bumped hers.,Back pain,,Collision: patron-controlled vehicles,,,,
1006901,1/17/2011,CA,Buena Park,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,inverted coaster,Bolliger & Mabillard,1,14,,Ride operated normally. Patron complained of pain after riding.,Mid-center abdominal pain,,Body pain (normal motion),,,,
1000894,1/17/2011,FL,ORLANDO,F,Florida Dept. of Agriculture,Sports or recreation facility,recreation,challenge activity,Indoor skydiving,Sky Venture,SkyVenture,1,42,F,Forty two year old female patron attempted to steady herself after attempting a maneuver in the wind tunnel.,Fractured wrist,,Impact: hit something in participatory attraction,,,,
1000646,1/17/2011,FL,WEST PALM BEACH,P,Florida Dept. of Agriculture,Carnival or rental,amusement ride,other attraction,Sky ride/ski lift,Sky Glider,"O.D. Hopkins Associates, Inc.",1,7,M,Seven year old male patron's right hand was pinched in the lapbar,Laceration to hand,,Load/Unload: hit or pinched by restraint,,,,
1000326,1/17/2011,FL,PENSACOLA,F,Florida Dept. of Agriculture,Amusement park,recreation,go-kart,Go-kart,go kart,,1,27,F,Twenty seven year old female patron was bumped causing her to depress the accelorator pedal and hit a barrier wall.,Ankle pain,,Collision: patron-controlled vehicles,,,,
1006900,1/22/2011,CA,San Jose,F,California Division of Occupational Safety and Health,Zoo or museum,amusement ride,spinning,Carousel,carousel,,1,66,F,"Patron was boarding while holding a small child. She tripped and fell forward. She hit the heel of one of the carousel animals, causing her glasses to give her a slight gash above the left eyebrow. She also scraped both knees. The child was not injured.",Small laceration above eyebrow; abrasions to both knees; probably stitches,,Load/Unload: scrape or stumble,,,,
1006927,1/23/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,looping coaster,Intamin AG,1,21,F,Patron stated that she consumed a cannabis brownie and felt faint and weak after riding. Normal ride operation,"Dizziness, weakness, cannabis intoxication",,Illness or neurological symptoms,,,,
1006925,1/23/2011,CA,Montclair,F,California Division of Occupational Safety and Health,"Mall, store or restaurant",amusement ride,cars & track rides,Track ride,Convoy,Sartori Import-Export S.r.l.,1,9,M,"Patron was getting off the ride, fell and hit his head.",Head injury,,Load/Unload: scrape or stumble,,,,
1005219,1/23/2011,OK,Edmond,F,Oklahoma Dept. of Labor,School or church,recreation,inflatable,Inflatable bouncer,inflatable bounce,,1,7,F,Child fell on someone's foot jumping on the moon bounce.,Injury to mouth,,Collision: patrons collided (participatory),,,,
1000288,1/23/2011,FL,CLEARWATER,F,Florida Dept. of Agriculture,Family entertainment center,recreation,go-kart,Go-kart,go kart,,1,8,F,A forty-one and an eight year old female were operating a double seat kart on the track when they were bumped from behind by another kart.,Cut eye,,Collision: patron-controlled vehicles,,,,
1000287,1/23/2011,FL,CLEARWATER,F,Florida Dept. of Agriculture,Family entertainment center,recreation,go-kart,Go-kart,go kart,,1,41,F,A forty-one and an eight year old female were operating a double seat kart on the track when they were bumped from behind by another kart.,Swollen ankle and hand,,Collision: patron-controlled vehicles,,,,
1001073,1/24/2011,FL,ARCADIA,P,Florida Dept. of Agriculture,Carnival or rental,amusement ride,spinning,Himalaya-type,Rock N Roll,Bertazzon 3B SLR,1,10,M,Ten year old male patron claimed that the restraint was not locked while the ride was in operation.,Bruised leg,,Unknown (not enough info),,,,
1004571,1/27/2011,WA,,P,Washington Dept. of Labor and Industries,Carnival or rental,recreation,inflatable,Inflatable bouncer,inflatable bounce,,1,,M,Child jumped off the inflatable and landed wrong.,Fractured ankle,,Fall: patron fell from device (participatory),,,,
1000621,1/27/2011,FL,WEST PALM BEACH,P,Florida Dept. of Agriculture,Carnival or rental,amusement ride,spinning,Rotor/gravitron,Gravitron/Starship,"Wisdom Industries, Ltd.",1,16,M,Sixteen year old male patron exited the ride and complained of anxiety.,Panic attack,,Illness or neurological symptoms,,,,
1006953,1/28/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Train/tram,train,In-house,1,3,F,Patron had a seizure while riding. Normal ride operation.,Seizure,,Illness: Seizure or LOC,,,,
1006926,1/29/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,Mine Train,Arrow Dynamics,1,9,F,Patron stated she tripped over another guest after disembarking and hit her shin on the train. Normal ride operation.,Injury to shin,,Load/Unload: scrape or stumble,,,,
1000598,1/29/2011,FL,ORLANDO,F,Florida Dept. of Agriculture,Sports or recreation facility,recreation,challenge activity,Indoor skydiving,Sky Venture,SkyVenture,1,45,M,Forty-five year old male patron experienced shoulder dislocation after attempting a maneuver.,Dislocated shoulder,,Hyperextension or dislocation,,,,
1006931,2/4/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,steel sitdown coaster,In-house,1,43,F,Patron stated she experienced chest pain during the ride and momentarily passed out. She wears a pacemaker. Normal ride operation.,"Chest pain, loss of consciousness.",,Body pain (normal motion),,,,
1006930,2/4/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Track ride,dark ride,In-house,1,44,M,Patron stated he had chest pain that worsened after riding. Normal ride operation.,Chest pain,,Body pain (normal motion),,,,
1006933,2/5/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,other attraction,Simulator,motion simulator,In-house,1,4,F,"Patron's mother stated child had a seizure during the ride. She has an earache, fever and history of febrile seizures. Normal ride operation.",Seizure,,Illness: Seizure or LOC,,,,
1006932,2/5/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,steel sitdown coaster,In-house,1,46,F,Patron stated she had a headache while on the ride and it got worse after resting in First Aid. Normal ride operation.,Headache,,Body pain (normal motion),,,,
1000633,2/5/2011,FL,LEISURE CITY,P,Florida Dept. of Agriculture,Carnival or rental,amusement ride,spinning,Carousel,carousel,,1,15,F,Fifteen year old patron pinched thumb in the exit gate while exiting ride.,Bruised thumb,,Injured in queue or exit,,,,
1008099,2/6/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,looping coaster,Intamin AG,1,54,F,Patron stated she has asthma and had difficulty breathing before riding. She said her illness was much worse while screaming on the coaster.,Asthma. Paramedics administered albuterol and she returned to the park.,,Illness or neurological symptoms,,,,
1006952,2/6/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Car ride,car ride,In-house,1,60,F,"Patron stated she was seated with her arm on the back of the seat and an attendant rubbed against her arm while assisting with the vehicle, causing a tear in the patron's fragile forearm skin.",Laceration to forearm,,Load/Unload: scrape or stumble,,,,
1006934,2/6/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Track ride,dark ride,In-house,1,26,F,Patron felt faint after riding. She has had a recent kindney infection. Normal ride operation.,Faintness,,Illness or neurological symptoms,,,,
1000809,2/6/2011,FL,ORLANDO,F,Florida Dept. of Agriculture,Sports or recreation facility,recreation,challenge activity,Water ski tow,water ski tow,,1,15,M,Fifteen year old male patron dislocated his shoulder when he fell after a jump off a slider.,Dislocated shoulder,,"Fall: patron fell off inner tube, mat or board",,,,
1005220,2/7/2011,OK,Edmond,F,Oklahoma Dept. of Labor,School or church,recreation,inflatable,Inflatable bouncer,inflatable bounce,,1,5,,Fell out of the moon bounce while jumping.,Sprain and brusing to arm and wrist,,Fall: patron fell from device (participatory),,,,
1001455,2/11/2011,NC,Greensboro,F,North Carolina Dept. of Labor,Family entertainment center,recreation,go-kart,Go-kart,go kart,,1,,F,"Ride ended, lady stopped and kart behind her did not.",,,Collision: patron-controlled vehicles,,,,
1006937,2/12/2011,CA,Los Angeles,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Shoot the chute,shoot the chute,Vekoma,1,29,M,"Patron stated he felt symptoms of seizure upon exiting the ride and said he has a history of epilepsy. Transported to the hospital as a precaution, treated and released.",Seizure,,Illness: Seizure or LOC,,,,
1006936,2/12/2011,CA,Valencia,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,looping coaster,Arrow Dynamics,1,13,F,"While getting off the ride at the end, the patron leaned forward and struck her forehead on the restraint.",Laceration to forehead.,,Load/Unload: scrape or stumble,,,,
1006941,2/13/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,steel sitdown coaster,In-house,1,49,F,Patron stated she had a headache and complained of nausea and dizziness after riding. She has pre-existing uncontrollable blood pressure. Normal ride operation.,"Headache, nausea, dizziness",,Illness or neurological symptoms,,,,
1005221,2/13/2011,OK,Oklahoma City,F,Oklahoma Dept. of Labor,School or church,recreation,inflatable,Inflatable bouncer,inflatable bounce,,1,8,F,Patron was jumping in the moon bounce and another child accidentally hit her in the right eye.,Bruised eye,,Collision: patrons collided (participatory),,,,
1000686,2/13/2011,FL,TAMPA,P,Florida Dept. of Agriculture,Carnival or rental,amusement ride,spinning,Spinning cups/tubs,Tempest,Hi-Lite Rides - Grover Watkins - Venture,1,4,F,Four year old female patron fell from trailer while walking backward to exit ride.,Abrasion to elbow,,Load/Unload: scrape or stumble,,,,
1000599,2/13/2011,FL,ORLANDO,F,Florida Dept. of Agriculture,Sports or recreation facility,recreation,challenge activity,Indoor skydiving,Sky Venture,SkyVenture,1,39,M,Thirty nine year old male patron dislocated his shoulder after attempting a rollover manuever. The patron did have a previous shoulder injury.,Dislocated shoulder,,Hyperextension or dislocation,,,,
1006942,2/16/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Train/tram,train,In-house,1,20,F,Patron came into the station unresponsive and appeared to be under mind altering condition. Normal ride operation.,Loss of consciousness,,Illness: Seizure or LOC,,,,
1001509,2/17/2011,NH,Nashua,F,New Hampshire Dept. of Safety,Family entertainment center,amusement ride,spinning,Carousel,carousel,,1,,F,Women callapsed on stairway after exiting ride.,unknown,,Illness: Seizure or LOC,,,,
1000600,2/17/2011,FL,ORLANDO,F,Florida Dept. of Agriculture,Sports or recreation facility,recreation,challenge activity,Indoor skydiving,Sky Venture,SkyVenture,1,30,M,Thirty year old male patron experienced a dislocated shoulder after attempting an advanced maneuver.,Dislocated shoulder,,Hyperextension or dislocation,,,,
1004470,2/18/2011,ME,South Portalnd,P,Maine Department of Public Safety,Zoo or museum,amusement ride,vertical drop,Bungee jump,bungee jump,,1,,,"Patron was strapped in by an employee. About 90 seconds into the ride, the patron flipped over going upside down and slid partway out of the harness. His legs were still in the harness, then he fell about 5.5 feet to the trampoline below. The patron was slight of build, but harnesses were provided based on patron's age, not size. The patron sought medical care as a precaution, and was released with instructions to rest. &nbsp;The patron raised concerns that there was only a 5' x 5' trampoline under the bungee ride with hardwood floor surrounding.","Minor injury, treated and released.",,Fall: ejection/fall from ride,1,,,
1004003,2/19/2011,AZ,Marana,P,United States Consumer Product Safety Commission,Carnival or rental,recreation,inflatable,Inflatable game,inflatable joust,Ninja Jump,2,9,F,"Two girls were playing in a rented inflatable device at a neighbor's birthday party. High winds pulled the ride up from the ground and blew it over a wall. The 11yo got out of the device when it landed in another yard. Winds picked it up again and it struck the roof of a house. The second girl fell out of the device onto the roof. The inflatable then took off again and finally crashed into a 2-storey house. The inflatable was staked into rocky ground. Stakes were described as looking like large nails with a small head, 12 inches long and 5/8&quot; diameter. The stakes were not hammered all the way into the ground, with about 4&quot; of top exposed. At the time of the party, the area was experiencing wind gusts exceeding 35mph. Arizona does not regulate the safety of inflatables. CPSC talked with the owner/operator who said his company doesn't have a copy of the owner's manual for the device, but that inflatables are easy to set up and operate. He said that the 25' inflatable has six sides and they used 4 stakes (12&quot; by 5/8&quot;) to anchor it. Winds were approx. 12mph when his people set up the device.",9yo and 11yo girls suffered scrapes and bruises. 9yo had a concussion and was hospitalized overnight.,https://saferparksdata.org/sites/default/files/accident_reports/CPSC-AZ-2011-02-19.pdf,"Device tipped over, blew away, or collapsed",1,,,
1003423,2/19/2011,NJ,Wallington,F,New Jersey Dept. of Community Affairs,Go kart track,recreation,go-kart,Go-kart,go kart,,1,21,F,"Driver involved drove straight into barrier without turning or using brake. &nbsp;After being warned by track staff driver continued race, driver once again lost control at next turn, hitting the wall. &nbsp;Staff advised her to pull &nbsp;pits, she drove into pits.",Injuries not described,,Collision: go-kart or bumper car hit stationary object,,,,
1001017,2/19/2011,FL,SANFORD,F,Florida Dept. of Agriculture,Adventure course,recreation,challenge activity,Adventure course,zipline,,1,22,F,Twenty two year old female patron was stepping onto the platform when she slipped and cut her leg on the platform wood.,Laceration to thigh,,Impact: hit something in participatory attraction,,,,
1000406,2/19/2011,FL,NORTH PORT,P,Florida Dept. of Agriculture,Carnival or rental,amusement ride,other attraction,Walk-through,Mardi Gras,Owens Trailers Inc.,1,5,F,Five year old female patron fell while on the conveyer belt and received an injury to her left hand.,Abrasion to hand,,Entrapment or pinch-point,,,,
1000176,2/19/2011,FL,ORLANDO,F,Florida Dept. of Agriculture,Family entertainment center,recreation,go-kart,Go-kart,go kart,,1,9,F,Nine year old female patron released the steering wheel and drove into a track wall and was then struck by a second kart.,Leg and neck pain,,Collision: patron-controlled vehicles,,,,
1006935,2/20/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,steel sitdown coaster,In-house,1,4,M,Patron stated he experienced pain in his left arm after riding the attraction. Normal ride operation.,Pain to left arm,,Body pain (normal motion),,,,
1000667,2/20/2011,FL,POMPANO BEACH,P,Florida Dept. of Agriculture,Carnival or rental,amusement ride,spinning,Spinning ride - misc.,Hang 10,SDC,1,69,F,Sixty nine year old female cut her shin while exiting the carrier.,Laceration to shin,,Load/Unload: scrape or stumble,,,,
1000142,2/20/2011,FL,ORLANDO,F,Florida Dept. of Agriculture,Amusement park,amusement ride,spinning,Carousel,carousel,,1,24,M,Twenty four year old male patron complained of back pain after he felt a sudden jolt while on a carousel horse.,Back pain,,Body pain (normal motion),,,,
1006938,2/24/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Carousel,carousel,Morgan,1,5,F,"Patron's mother stated her child fell off the carousel ""goldfish"" while trying to climb onto it by herself while her mother strapped the baby on the ride.",Laceration to back of head,,Load/Unload: scrape or stumble,,,,
1006940,2/25/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Boat ride,boat ride,Arrow Dynamics,1,17,F,Patron stated she has a history of asthma and had an asthma attack while on the ride. Normal ride operation.,Asthma attack,,Illness or neurological symptoms,,,,
1006943,2/26/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,looping coaster,Intamin AG,1,16,F,Patron stated she has a history of motion sickness and became ill after riding twice. Normal ride operation.,Motion sickness,,Illness or neurological symptoms,,,,
1002944,2/26/2011,NJ,West Windsor,F,New Jersey Dept. of Community Affairs,Family entertainment center,recreation,inflatable,Inflatable slide,inflatable slide,,1,12,F,"When child went down the second slide, she twisted her left elbow.",Elbow injury,,Impact: hit something in participatory attraction,,,,
1000423,2/26/2011,FL,WEST PALM BEACH,P,Florida Dept. of Agriculture,Carnival or rental,amusement ride,cars & track rides,Track ride,dark ride,,1,13,M,Thirteen year old male patron received a cut to the back of the head when the carrier tipped backwards.,Laceration to head,,Equipment failure,1,,,
1006944,2/27/2011,CA,Buena Park,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - wooden,wooden coaster,Custom Coasters Int.,1,43,F,Ride operating normally. Patron became ill.,"Dizziness, nausea, extensive cardiac history and diabetes",,Illness or neurological symptoms,,,,
1006939,2/27/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Track ride,dark ride,In-house,1,31,F,Patron stated she is 3 months pregnant and felt a discharge of fluid after riding. Normal ride operation.,Possible pregnancy complication,,Illness or neurological symptoms,,,,
1000213,2/27/2011,FL,TAMPA,F,Florida Dept. of Agriculture,Go kart track,recreation,go-kart,Go-kart,go kart,,1,54,M,Fifty four year old male patron was bumped from behind by another kart while in the pit area.  The patron refused to disclose injuries but did state he was seeking medical treatment.,Unknown,,Collision: patron-controlled vehicles,,,,
1006945,3/1/2011,CA,Escondido,F,California Division of Occupational Safety and Health,Zoo or museum,recreation,challenge activity,Adventure course,zipline,Greenheart Conservation Co.,1,37,M,Patron was observed unconscious mid-flight. A seizure was suspected upon arrival on the landing deck. Ride system was operating as normal.,"Loss of consciousness, paramedics suspected seizure. Parents confirmed history of seizures.",,Illness: Seizure or LOC,,,,
1001171,3/1/2011,IL,Springfield,F,Illinois Department of Labor,"Mall, store or restaurant",recreation,go-kart,Go-kart,go kart,,1,9,,Another cart blocked the patron's cart from turning and caused the patron's cart to hit the wall face forward.,Bloody nose,,Collision: go-kart or bumper car hit stationary object,,,,
1006946,3/2/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,looping coaster,Intamin AG,1,10,F,Patron stated she experienced a headache after riding. Normal ride operation.,Headache,,Body pain (normal motion),,,,
1005222,3/3/2011,OK,Edmond,F,Oklahoma Dept. of Labor,School or church,recreation,inflatable,Inflatable bouncer,inflatable bounce,,2,5,F,Child was jumping and her nose collided with another child's head.,"Bloody nose, bump on head",,Collision: patrons collided (participatory),,,,
1000348,3/3/2011,FL,KISSIMMEE,F,Florida Dept. of Agriculture,Go kart track,recreation,go-kart,Go-kart,go kart,,1,,M,"Male patron, age unkown, was bumped by another kart causing him to strike a gaurdrail.",Bump on wrist,,Collision: patron-controlled vehicles,,,,
1006947,3/4/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Boat ride,boat ride,Arrow Dynamics,1,30,F,Patron stated she felt dizzy after riding. Normal ride operation.,Dizziness,,Illness or neurological symptoms,,,,
