name,category,cr,size,type,descriptive_tags,alignment,ac,initiative,hp,hp_number,speed,speed_base_number,str,dex,con,int,wis,cha,str_save,dex_save,con_save,int_save,wis_save,cha_save,skills,resistances,vulnerabilities,immunities,gear,senses,languages,full_text
Dragon Turtle,Dragon Turtle,17,Gargantuan,Dragon,NA,Neutral,20,6,356 (23d20 + 115),356,"Speed 20 ft., Swim 50 ft.",20,25,10,20,10,12,12,7,0,11,0,7,1,NA,Fire,NA,NA,NA,Darkvision 120 ft.; Passive Perception 11,"Draconic, Primordial (Aquan)","Dragon Turtle
Gargantuan Dragon, Neutral
AC 20		                   Initiative +6 (16)
HP 356 (23d20 + 115)
Speed 20 ft., Swim 50 ft.
MOD SAVE            MOD SAVE             MOD SAVE
Str 25 +7 +7         Dex 10 +0 +0        Con 20 +5 +11
Int 10 +0 +0         Wis 12 +1 +7        Cha 12 +1 +1
Resistances Fire
Senses Darkvision 120 ft.; Passive Perception 11
Languages Draconic, Primordial (Aquan)
CR 17 (XP 18,000; PB +6)
Traits
Amphibious. The dragon can breathe air and water.
Actions
Multiattack. The dragon makes three Bite attacks. It
can replace one attack with a Tail attack.
Bite. Melee Attack Roll: +13, reach 15 ft. Hit: 23
(3d10 + 7) Piercing damage plus 7 (2d6) Fire damage.
Being underwater doesn’t grant Resistance to this
Fire damage.
Tail. Melee Attack Roll: +13, reach 15 ft. Hit: 18 (2d10
+ 7) Bludgeoning damage. If the target is a Huge or
smaller creature, it has the Prone condition.
Steam Breath (Recharge 5–6). Constitution Saving
Throw: DC 19, each creature in a 60-foot Cone. Failure:
56 (16d6) Fire damage. Success: Half damage. Failure or
Success: Being underwater doesn’t grant Resistance to
this Fire damage."
Dretch,Dretch,0.25,Small,Fiend,Demon,Chaotic Evil,11,0,18 (4d6 + 4),18,Speed 20 ft.,20,12,11,12,5,8,3,1,0,1,-3,-1,-4,NA,"Cold, Fire, Lightning",NA,Poison; Poisoned,NA,Darkvision 60 ft.; Passive Perception 9,Abyssal; telepathy 60 ft. (works only with creatures that understand Abyssal),"Dretch
Small Fiend (Demon), Chaotic Evil
AC 11		                    Initiative +0 (10)
HP 18 (4d6 + 4)
Speed 20 ft.
MOD SAVE            MOD SAVE             MOD SAVE
Str 12 +1 +1         Dex 11 +0 +0        Con 12 +1 +1
Int 5 −3 −3          Wis 8 −1 −1         Cha 3 −4 −4
Resistances Cold, Fire, Lightning
Immunities Poison; Poisoned
Senses Darkvision 60 ft.; Passive Perception 9
Languages Abyssal; telepathy 60 ft. (works only with
creatures that understand Abyssal)
CR 1/4 (XP 50; PB +2)
Actions
Rend. Melee Attack Roll: +3, reach 5 ft. Hit: 4 (1d6 + 1)
Slashing damage.
Fetid Cloud (1/Day). Constitution Saving Throw: DC 11,
each creature in a 10-foot Emanation originating from
the dretch. Failure: The target has the Poisoned condi-
tion until the end of its next turn. While Poisoned, the
creature can take either an action or a Bonus Action on
its turn, not both, and it can’t take Reactions."
Drider,Drider,6,Large,Monstrosity,NA,Chaotic Evil,19,4,123 (13d10 + 52),123,"Speed 30 ft., Climb 30 ft.",30,16,19,18,13,16,12,3,4,4,1,3,1,"Perception +6, Stealth +10",NA,NA,NA,NA,Darkvision 120 ft.; Passive Perception 16,"Elvish, Undercommon","Drider
Large Monstrosity, Chaotic Evil
AC 19		                    Initiative +4 (14)
HP 123 (13d10 + 52)
Speed 30 ft., Climb 30 ft.
MOD SAVE             MOD SAVE            MOD SAVE
Str 16 +3 +3         Dex 19 +4 +4         Con 18 +4 +4
Int 13 +1 +1         Wis 16 +3 +3         Cha 12 +1 +1
Skills Perception +6, Stealth +10
Senses Darkvision 120 ft.; Passive Perception 16
Languages Elvish, Undercommon
CR 6 (XP 2,300; PB +3)
Traits
Spider Climb. The drider can climb difficult surfaces,
including along ceilings, without needing to make an
ability check.
Sunlight Sensitivity. While in sunlight, the drider has
Disadvantage on ability checks and attack rolls.
Web Walker. The drider ignores movement restrictions
caused by webs, and the drider knows the location of
any other creature in contact with the same web.
Actions
Multiattack. The drider makes three attacks, using
Foreleg or Poison Burst in any combination.
Foreleg. Melee Attack Roll: +7, reach 10 ft. Hit: 13 (2d8
+ 4) Piercing damage.
Poison Burst. Ranged Attack Roll: +6, range 120 ft. Hit:
13 (3d6 + 3) Poison damage.
Bonus Actions
Magic of the Spider Queen (Recharge 5–6). The drider
casts Darkness, Faerie Fire, or Web, requiring no Mate-
rial components and using Wisdom as the spellcasting
ability (spell save DC 14)."
Druid,Druid,2,Medium or Small,Humanoid,Druid,Neutral,13,1,44 (8d8 + 8),44,Speed 30 ft.,30,10,12,13,12,16,11,0,1,1,1,3,0,"Medicine +5, Nature +3, Perception +5",NA,NA,NA,Studded Leather Armor,Passive Perception 15,"Common, Druidic, Sylvan","Druid
Medium or Small Humanoid (Druid), Neutral
AC 13		                   Initiative +1 (11)
HP 44 (8d8 + 8)
Speed 30 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 10 +0 +0         Dex 12 +1 +1        Con 13 +1 +1
Int 12 +1 +1         Wis 16 +3 +3        Cha 11 +0 +0
Skills Medicine +5, Nature +3, Perception +5
Gear Studded Leather Armor
Senses Passive Perception 15
Languages Common, Druidic, Sylvan
CR 2 (XP 450; PB +2)
Actions
Multiattack. The druid makes two attacks, using Vine
Staff or Verdant Wisp in any combination.
Vine Staff. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8
+ 3) Bludgeoning damage plus 2 (1d4) Poison damage.
Verdant Wisp. Ranged Attack Roll: +5, range 90 ft. Hit:
10 (3d6) Radiant damage.
Spellcasting. The druid casts one of the following
spells, using Wisdom as the spellcasting ability (spell
save DC 13):
At Will: Druidcraft, Speak with Animals
2/Day Each: Entangle, Thunderwave
1/Day Each: Animal Messenger, Long-
strider, Moonbeam"
Dryad,Dryad,1,Medium,Fey,NA,Neutral,16,1,22 (5d8),22,Speed 30 ft.,30,10,12,11,14,15,18,0,1,0,2,2,4,"Perception +4, Stealth +5",NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 14,"Elvish, Sylvan","Dryad
Medium Fey, Neutral
AC 16		                   Initiative +1 (11)
HP 22 (5d8)
Speed 30 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 10 +0 +0         Dex 12 +1 +1        Con 11 +0 +0
Int 14 +2 +2         Wis 15 +2 +2        Cha 18 +4 +4
Skills Perception +4, Stealth +5
Senses Darkvision 60 ft.; Passive Perception 14
Languages Elvish, Sylvan
CR 1 (XP 200; PB +2)
Traits
Magic Resistance. The dryad has Advantage on saving
throws against spells and other magical effects.
Speak with Beasts and Plants. The dryad can com-
municate with Beasts and Plants as if they shared
a language.
Actions
Multiattack. The dryad makes one Vine Lash or
Thorn Burst attack, and it can use Spellcasting to cast
Charm Monster.
Vine Lash. Melee Attack Roll: +6, reach 10 ft. Hit: 8
(1d8 + 4) Slashing damage.
Thorn Burst. Ranged Attack Roll: +6, range 60 ft. Hit: 7
(1d6 + 4) Piercing damage.
Spellcasting. The dryad casts one of the following
spells, requiring no Material components and using
Charisma as the spellcasting ability (spell save DC 14):
At Will: Animal Friendship, Charm Monster (lasts 24
hours; ends early if the dryad casts the spell again),
Druidcraft
1/Day Each: Entangle, Pass without Trace
Bonus Actions
Tree Stride. If within 5 feet of a Large or bigger tree, the
dryad teleports to an unoccupied space within 5 feet
of a second Large or bigger tree that is within 60 feet of
the previous tree."
Earth Elemental,Earth Elemental,5,Large,Elemental,NA,Neutral,17,-1,147 (14d10 + 70),147,"Speed 30 ft., Burrow 30 ft.",30,20,8,20,5,10,5,5,-1,5,-3,0,-3,NA,NA,Thunder,"Poison; Exhaustion, Paralyzed, Petrified, Poisoned, Unconscious",NA,"Darkvision 60 ft., Tremorsense 60 ft.; Passive Perception 10",Primordial (Terran),"Earth Elemental
Large Elemental, Neutral
AC 17		                     Initiative −1 (9)
HP 147 (14d10 + 70)
Speed 30 ft., Burrow 30 ft.
MOD SAVE             MOD SAVE            MOD SAVE
Str 20 +5 +5         Dex 8 −1 −1           Con 20 +5 +5
Int 5 −3 −3          Wis 10 +0 +0          Cha 5 −3 −3
Vulnerabilities Thunder
Immunities Poison; Exhaustion, Paralyzed, Petrified,
Poisoned, Unconscious
Senses Darkvision 60 ft., Tremorsense 60 ft.;
Passive Perception 10
Languages Primordial (Terran)
CR 5 (XP 1,800; PB +3)
Traits
Earth Glide. The elemental can burrow through
nonmagical, unworked earth and stone. While do-
ing so, the elemental doesn’t disturb the material it
moves through.
Siege Monster. The elemental deals double damage to
objects and structures.
Actions
Multiattack. The elemental makes two attacks, using
Slam or Rock Launch in any combination.
Slam. Melee Attack Roll: +8, reach 10 ft. Hit: 14 (2d8
+ 5) Bludgeoning damage.
Rock Launch. Ranged Attack Roll: +8, range 60 ft. Hit:
8 (1d6 + 5) Bludgeoning damage. If the target is a Large
or smaller creature, it has the Prone condition."
Efreeti,Efreeti,11,Large,Elemental,Genie,Neutral,17,1,212 (17d10 + 119),212,"Speed 40 ft., Fly 60 ft. (hover)",40,22,12,24,16,15,19,6,1,7,3,6,8,NA,NA,NA,Fire,NA,Darkvision 120 ft.; Passive Perception 12,Primordial (Ignan),"Efreeti
Large Elemental (Genie), Neutral
AC 17		                      Initiative +1 (11)
HP 212 (17d10 + 119)
Speed 40 ft., Fly 60 ft. (hover)
MOD SAVE              MOD SAVE           MOD SAVE
Str 22 +6 +6          Dex 12 +1 +1          Con 24 +7 +7
Int 16 +3 +3          Wis 15 +2 +6          Cha 19 +4 +8
Immunities Fire
Senses Darkvision 120 ft.; Passive Perception 12
Languages Primordial (Ignan)
CR 11 (XP 7,200; PB +4)
Traits
Elemental Restoration. If the efreeti dies outside the
Elemental Plane of Fire, its body dissolves into ash, and
it gains a new body in 1d4 days, reviving with all its Hit
Points somewhere on the Plane of Fire.
Magic Resistance. The efreeti has Advantage on saving
throws against spells and other magical effects.
Wishes. The efreeti has a 30 percent chance of know-
ing the Wish spell. If the efreeti knows it, the efreeti
can cast it only on behalf of a non-genie creature who
communicates a wish in a way the efreeti can under-
stand. If the efreeti casts the spell for the creature, the
efreeti suffers none of the spell’s stress. Once the efreeti
has cast it three times, the efreeti can’t do so again
for 365 days.
Actions
Multiattack. The efreeti makes three attacks, using
Heated Blade or Hurl Flame in any combination.
Heated Blade. Melee Attack Roll: +10, reach 5 ft.
Hit: 13 (2d6 + 6) Slashing damage plus 13 (2d12)
Fire damage.
Hurl Flame. Ranged Attack Roll: +8, range 120 ft. Hit:
24 (7d6) Fire damage.
Spellcasting. The efreeti casts one of the following
spells, requiring no Material components and using
Charisma as the spellcasting ability (spell save DC 16):
At Will: Detect Magic, Elementalism
1/Day Each: Gaseous Form, Invisibility, Major Image,
Plane Shift, Tongues, Wall of Fire (level 7 version)"
Erinyes,Erinyes,12,Medium,Fiend,Devil,Lawful Evil,18,7,178 (21d8 + 84),178,"Speed 30 ft., Fly 60 ft.",30,18,16,18,14,14,18,4,7,8,2,2,8,"Perception +6, Persuasion +8",Cold,NA,"Fire, Poison; Poisoned",NA,Truesight 120 ft.; Passive Perception 16,Infernal; telepathy 120 ft.,"Erinyes
Medium Fiend (Devil), Lawful Evil
AC 18		                    Initiative +7 (17)
HP 178 (21d8 + 84)
Speed 30 ft., Fly 60 ft.
MOD SAVE            MOD SAVE             MOD SAVE
Str 18 +4 +4          Dex 16 +3 +7       Con 18 +4 +8
Int 14 +2 +2          Wis 14 +2 +2       Cha 18 +4 +8
Skills Perception +6, Persuasion +8
Resistances Cold
Immunities Fire, Poison; Poisoned
Senses Truesight 120 ft.; Passive Perception 16
Languages Infernal; telepathy 120 ft.
CR 12 (XP 8,400; PB +4)
Traits
Diabolical Restoration. If the erinyes dies outside the
Nine Hells, its body disappears in sulfurous smoke, and
it gains a new body instantly, reviving with all its Hit
Points somewhere in the Nine Hells.
Magic Resistance. The erinyes has Advantage on saving
throws against spells and other magical effects.
Magic Rope. The erinyes has a magic rope. While bear-
ing it, the erinyes can use the Entangling Rope action.
The rope has AC 20, HP 90, and Immunity to Poison
and Psychic damage. The rope turns to dust if reduced
to 0 Hit Points, if it is 5+ feet away from the erinyes
for 1 hour or more, or if the erinyes dies. If the rope is
damaged or destroyed, the erinyes can fully restore it
when finishing a Short or Long Rest.
Actions
Multiattack. The erinyes makes three Withering Sword
attacks and can use Entangling Rope.
Withering Sword. Melee Attack Roll: +8, reach 5 ft.
Hit: 13 (2d8 + 4) Slashing damage plus 11 (2d10) Ne-
crotic damage.
Entangling Rope (Requires Magic Rope). Strength
Saving Throw: DC 16, one creature the erinyes can see
within 120 feet. Failure: 14 (4d6) Force damage, and the
target has the Restrained condition until the rope is de-
stroyed, the erinyes uses a Bonus Action to release the
target, or the erinyes uses Entangling Rope again.
Reactions
Parry. Trigger: The erinyes is hit by a melee attack roll
while holding a weapon. Response: The erinyes adds 4
to its AC against that attack, possibly causing it to miss."
Ettercap,Ettercap,2,Medium,Monstrosity,NA,Neutral Evil,13,2,44 (8d8 + 8),44,"Speed 30 ft., Climb 30 ft.",30,14,15,13,7,12,8,2,2,1,-2,1,-1,"Perception +3, Stealth +4, Survival +3",NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 13,None,"Ettercap
Medium Monstrosity, Neutral Evil
AC 13 		                   Initiative +2 (12)
HP 44 (8d8 + 8)
Speed 30 ft., Climb 30 ft.
MOD SAVE             MOD SAVE           MOD SAVE
Str 14 +2 +2         Dex 15 +2 +2          Con 13 +1 +1
Int 7 −2 −2          Wis 12 +1 +1          Cha 8 −1 −1
Skills Perception +3, Stealth +4, Survival +3
Senses Darkvision 60 ft.; Passive Perception 13
Languages None
CR 2 (XP 450; PB +2)
Traits
Spider Climb. The ettercap can climb difficult surfaces,
including along ceilings, without needing to make an
ability check.
Web Walker. The ettercap ignores movement re-
strictions caused by webs, and the ettercap knows
the location of any other creature in contact with
the same web.
Actions
Multiattack. The ettercap makes one Bite attack and
one Claw attack.
Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2)
Piercing damage plus 2 (1d4) Poison damage, and the
target has the Poisoned condition until the start of the
ettercap’s next turn.
Claw. Melee Attack Roll: +4, reach 5 ft. Hit: 7 (2d4 + 2)
Slashing damage.
Web Strand (Recharge 5–6). Dexterity Saving Throw:
DC 12, one Large or smaller creature the ettercap can
see within 30 feet. Failure: The target has the Restrained
condition until the web is destroyed (AC 10; HP 5;
Vulnerability to Fire damage; Immunity to Bludgeoning,
Poison, and Psychic damage).
Bonus Actions
Reel. The ettercap pulls one creature within 30 feet of
itself that is Restrained by its Web Strand up to 25 feet
straight toward itself."
Ettin,Ettin,4,Large,Giant,NA,Chaotic Evil,12,-1,85 (10d10 + 30),85,Speed 40 ft.,40,21,8,17,6,10,8,5,-1,3,-2,0,-1,Perception +4,NA,NA,"Blinded, Charmed, Deafened, Frightened, Stunned, Unconscious","Battleaxe, Morningstar",Darkvision 60 ft.; Passive Perception 14,Giant,"Ettin
Large Giant, Chaotic Evil
AC 12 		                    Initiative −1 (9)
HP 85 (10d10 + 30)
Speed 40 ft.
MOD SAVE
Str 21 +5 +5
MOD SAVE
Dex 8 −1 −1
MOD SAVE
Con 17 +3 +3
Int 6 −2 −2          Wis 10 +0 +0         Cha 8 −1 −1
Skills Perception +4
Immunities Blinded, Charmed, Deafened, Frightened,
Stunned, Unconscious
Gear Battleaxe, Morningstar
Senses Darkvision 60 ft.; Passive Perception 14
Languages Giant
CR 4 (XP 1,100; PB +2)
Actions
Multiattack. The ettin makes one Battleaxe attack and
one Morningstar attack.
Battleaxe. Melee Attack Roll: +7, reach 5 ft. Hit: 14
(2d8 + 5) Slashing damage. If the target is a Large or
smaller creature, it has the Prone condition.
Morningstar. Melee Attack Roll: +7, reach 5 ft. Hit: 14
(2d8 + 5) Piercing damage, and the target has Disad-
vantage on the next attack roll it makes before the end
of its next turn."
Fire Elemental,Fire Elemental,5,Large,Elemental,NA,Neutral,13,3,93 (11d10 + 33),93,Speed 50 ft.,50,10,17,16,6,10,7,0,3,3,-2,0,-2,NA,"Bludgeoning, Piercing, Slashing",NA,"Fire, Poison; Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",NA,Darkvision 60 ft.; Passive Perception 10,Primordial (Ignan),"Fire Elemental
Large Elemental, Neutral
AC 13		                    Initiative +3 (13)
HP 93 (11d10 + 33)
Speed 50 ft.
MOD SAVE            MOD SAVE           MOD SAVE
Str 10 +0 +0         Dex 17 +3 +3         Con 16 +3 +3
Int 6 −2 −2          Wis 10 +0 +0         Cha 7 −2 −2
Resistances Bludgeoning, Piercing, Slashing
Immunities Fire, Poison; Exhaustion, Grappled, Paralyzed,
Petrified, Poisoned, Prone, Restrained, Unconscious
Senses Darkvision 60 ft.; Passive Perception 10
Languages Primordial (Ignan)
CR 5 (XP 1,800; PB +3)
Traits
Fire Aura. At the end of each of the elemental’s turns,
each creature in a 10-foot Emanation originating from
the elemental takes 5 (1d10) Fire damage. Creatures and
flammable objects in the Emanation start burning.
Fire Form. The elemental can move through a space as
narrow as 1 inch without expending extra movement
to do so, and it can enter a creature’s space and stop
there. The first time it enters a creature’s space on a
turn, that creature takes 5 (1d10) Fire damage.
Illumination. The elemental sheds Bright Light in a 30-
foot radius and Dim Light for an additional 30 feet.
Water Susceptibility. The elemental takes 3 (1d6) Cold
damage for every 5 feet the elemental moves in water
or for every gallon of water splashed on it.
Actions
Multiattack. The elemental makes two Burn attacks.
Burn. Melee Attack Roll: +6, reach 5 ft. Hit: 10 (2d6 +
3) Fire damage. If the target is a creature or a flammable
object, it starts burning."
Fire Giant,Fire Giant,9,Huge,Giant,NA,Lawful Evil,18,3,162 (13d12 + 78),162,Speed 30 ft.,30,25,9,23,10,14,13,7,3,10,0,2,5,"Athletics +11, Perception +6",NA,NA,Fire,NA,Passive Perception 16,Giant,"Fire Giant
Huge Giant, Lawful Evil
AC 18		                    Initiative +3 (13)
HP 162 (13d12 + 78)
Speed 30 ft.
MOD SAVE            MOD SAVE           MOD SAVE
Str 25 +7 +7         Dex 9 −1 +3          Con 23 +6 +10
Int 10 +0 +0         Wis 14 +2 +2         Cha 13 +1 +5
Skills Athletics +11, Perception +6
Immunities Fire
Senses Passive Perception 16
Languages Giant
CR 9 (XP 5,000; PB +4)
Actions
Multiattack. The giant makes two attacks, using Flame
Sword or Hammer Throw in any combination.
Flame Sword. Melee Attack Roll: +11, reach 10 ft.
Hit: 21 (4d6 + 7) Slashing damage plus 10 (3d6)
Fire damage.
Hammer Throw. Ranged Attack Roll: +11, range 60/240
ft. Hit: 23 (3d10 + 7) Bludgeoning damage plus 4 (1d8)
Fire damage, and the target is pushed up to 15 feet
straight away from the giant and has Disadvantage
on the next attack roll it makes before the end of its
next turn."
Flesh Golem,Flesh Golem,5,Medium,Construct,NA,Neutral,9,-1,127 (15d8 + 60),127,Speed 30 ft.,30,19,9,18,6,10,5,4,-1,4,-2,0,-3,NA,NA,NA,"Lightning, Poison; Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",NA,Darkvision 60 ft.; Passive Perception 10,Understands Common plus one other language but can’t speak,"Flesh Golem
Medium Construct, Neutral
AC 9		                     Initiative −1 (9)
HP 127 (15d8 + 60)
Speed 30 ft.
MOD SAVE            MOD SAVE           MOD SAVE
Str 19 +4 +4         Dex 9 −1 −1          Con 18 +4 +4
Int 6 −2 −2          Wis 10 +0 +0         Cha 5 −3 −3
Immunities Lightning, Poison; Charmed, Exhaustion,
Frightened, Paralyzed, Petrified, Poisoned
Senses Darkvision 60 ft.; Passive Perception 10
Languages Understands Common plus one other language
but can’t speak
CR 5 (XP 1,800; PB +3)
Traits
Aversion to Fire. If the golem takes Fire damage, it has
Disadvantage on attack rolls and ability checks until the
end of its next turn.
Berserk. Whenever the golem starts its turn Bloodied,
roll 1d6. On a 6, the golem goes berserk. On each of
its turns while berserk, the golem attacks the nearest
creature it can see. If no creature is near enough to
move to and attack, the golem attacks an object. Once
the golem goes berserk, it remains so until it is de-
stroyed or it is no longer Bloodied.
The golem’s creator, if within 60 feet of the berserk
golem, can try to calm it by taking an action to make a
DC 15 Charisma (Persuasion) check; the golem must be
able to hear its creator. If this check succeeds, the go-
lem ceases being berserk until the start of its next turn,
at which point it resumes rolling for the Berserk trait
again if it is still Bloodied.
Immutable Form. The golem can’t shape-shift.
Lightning Absorption. Whenever the golem is sub-
jected to Lightning damage, it regains a number of Hit
Points equal to the Lightning damage dealt.
Magic Resistance. The golem has Advantage on saving
throws against spells and other magical effects.
Actions
Multiattack. The golem makes two Slam attacks.
Slam. Melee Attack Roll: +7, reach 5 ft. Hit: 13 (2d8 +
4) Bludgeoning damage plus 4 (1d8) Lightning damage."
Frost Giant,Frost Giant,8,Huge,Giant,NA,Neutral Evil,15,2,149 (13d12 + 65),149,Speed 40 ft.,40,23,9,21,9,10,12,6,-1,8,-1,3,4,"Athletics +9, Perception +3",NA,NA,Cold,NA,Passive Perception 13,Giant,"Frost Giant
Huge Giant, Neutral Evil
AC 15		                    Initiative +2 (12)
HP 149 (13d12 + 65)
Speed 40 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 23 +6 +6         Dex 9 −1 −1          Con 21 +5 +8
Int 9 −1 −1          Wis 10 +0 +3         Cha 12 +1 +4
Skills Athletics +9, Perception +3
Immunities Cold
Senses Passive Perception 13
Languages Giant
CR 8 (XP 3,900; PB +3)
Actions
Multiattack. The giant makes two attacks, using Frost
Axe or Great Bow in any combination.
Frost Axe. Melee Attack Roll: +9, reach 10 ft. Hit: 19
(2d12 + 6) Slashing damage plus 9 (2d8) Cold damage.
Great Bow. Ranged Attack Roll: +9, range 150/600 ft.
Hit: 17 (2d10 + 6) Piercing damage plus 7 (2d6) Cold
damage, and the target’s Speed decreases by 10 feet
until the end of its next turn.
Bonus Actions
War Cry (Recharge 5–6). The giant or one creature of
its choice that can see or hear it gains 16 (2d10 + 5)
Temporary Hit Points and has Advantage on attack rolls
until the start of the giant’s next turn."
Shrieker Fungus,Fungi,0,Medium,Plant,NA,Unaligned,5,-5,13 (3d8),13,Speed 5 ft.,5,1,1,10,1,3,1,-5,-5,0,-5,-4,-5,NA,NA,NA,"Blinded, Charmed, Deafened, Frightened",NA,Blindsight 30 ft.; Passive Perception 6,None,"Shrieker Fungus
Medium Plant, Unaligned
AC 5		                     Initiative −5 (5)
HP 13 (3d8)
Speed 5 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 1 −5 −5          Dex 1 −5 −5          Con 10 +0 +0
Int 1 −5 −5          Wis 3 −4 −4          Cha 1 −5 −5
Immunities Blinded, Charmed, Deafened, Frightened
Senses Blindsight 30 ft.; Passive Perception 6
Languages None
CR 0 (XP 0; PB +2)
Reactions
Shriek. Trigger: A creature or a source of Bright Light
moves within 30 feet of the shrieker. Response: The
shrieker emits a shriek audible within 300 feet of itself
for 1 minute or until the shrieker dies."
Violet Fungus,Fungi,0.25,Medium,Plant,NA,Unaligned,5,-5,18 (4d8),18,Speed 5 ft.,5,3,1,10,1,3,1,-4,-5,0,-5,-4,-5,NA,NA,NA,"Blinded, Charmed, Deafened, Frightened",NA,Blindsight 30 ft.; Passive Perception 6,None,"Violet Fungus
Medium Plant, Unaligned
AC 5		                     Initiative −5 (5)
HP 18 (4d8)
Speed 5 ft.
MOD SAVE            MOD SAVE           MOD SAVE
Str 3 −4 −4           Dex 1 −5 −5         Con 10 +0 +0
Int 1 −5 −5           Wis 3 −4 −4         Cha 1 −5 −5
Immunities Blinded, Charmed, Deafened, Frightened
Senses Blindsight 30 ft.; Passive Perception 6
Languages None
CR 1/4 (XP 50; PB +2)
Actions
Multiattack. The fungus makes two Rotting
Touch attacks.
Rotting Touch. Melee Attack Roll: +2, reach 10 ft. Hit:
4 (1d8) Necrotic damage."
Gargoyle,Gargoyle,2,Medium,Elemental,NA,Chaotic Evil,15,2,67 (9d8 + 27),67,"Speed 30 ft., Fly 60 ft.",30,15,11,16,6,11,7,2,0,3,-2,0,-2,Stealth +4,NA,NA,"Poison; Exhaustion, Petrified, Poisoned",NA,Darkvision 60 ft.; Passive Perception 10,Primordial (Terran),"Gargoyle
Medium Elemental, Chaotic Evil
AC 15		                    Initiative +2 (12)
HP 67 (9d8 + 27)
Speed 30 ft., Fly 60 ft.
MOD SAVE            MOD SAVE           MOD SAVE
Str 15 +2 +2          Dex 11 +0 +0        Con 16 +3 +3
Int 6 −2 −2           Wis 11 +0 +0        Cha 7 −2 −2
Skills Stealth +4
Immunities Poison; Exhaustion, Petrified, Poisoned
Senses Darkvision 60 ft.; Passive Perception 10
Languages Primordial (Terran)
CR 2 (XP 450; PB +2)
Traits
Flyby. The gargoyle doesn’t provoke an Opportunity
Attack when it flies out of an enemy’s reach.
Actions
Multiattack. The gargoyle makes two Claw attacks.
Claw. Melee Attack Roll: +4, reach 5 ft. Hit: 7 (2d4 + 2)
Slashing damage."
Gelatinous Cube,Gelatinous Cube,2,Large,Ooze,NA,Unaligned,6,-4,63 (6d10 + 30),63,Speed 15 ft.,15,14,3,20,1,6,1,2,-4,5,-5,-2,-5,NA,NA,NA,"Acid; Blinded, Charmed, Deafened, Exhaustion, Frightened, Prone",NA,Blindsight 60 ft.; Passive Perception 8,None,"Gelatinous Cube
Large Ooze, Unaligned
AC 6		                     Initiative −4 (6)
HP 63 (6d10 + 30)
Speed 15 ft.
MOD SAVE            MOD SAVE           MOD SAVE
Str 14 +2 +2         Dex 3 −4 −4         Con 20 +5 +5
Int 1 −5 −5          Wis 6 −2 −2         Cha 1 −5 −5
Immunities Acid; Blinded, Charmed, Deafened,
Exhaustion, Frightened, Prone
Senses Blindsight 60 ft.; Passive Perception 8
Languages None
CR 2 (XP 450; PB +2)
Traits
Ooze Cube. The cube fills its entire space and is trans-
parent. Other creatures can enter that space, but a
creature that does so is subjected to the cube’s Engulf
and has Disadvantage on the saving throw.
Creatures inside the cube have Total Cover, and the
cube can hold one Large creature or up to four Medium
or Small creatures inside itself at a time.
As an action, a creature within 5 feet of the cube can
pull a creature or an object out of the cube by suc-
ceeding on a DC 12 Strength (Athletics) check, and the
puller takes 10 (3d6) Acid damage.
Transparent. Even when the cube is in plain sight, a
creature must succeed on a DC 15 Wisdom (Percep-
tion) check to notice the cube if the creature hasn’t wit-
nessed the cube move or otherwise act.
Actions
Pseudopod. Melee Attack Roll: +4, reach 5 ft. Hit: 12
(3d6 + 2) Acid damage.
Engulf. The cube moves up to its Speed without
provoking Opportunity Attacks. The cube can move
through the spaces of Large or smaller creatures if it has
room inside itself to contain them (see the Ooze Cube
trait). Dexterity Saving Throw: DC 12, each creature
whose space the cube enters for the first time during
this move. Failure: 10 (3d6) Acid damage, and the target
is engulfed. An engulfed target is suffocating, can’t cast
spells with a Verbal component, has the Restrained
condition, and takes 10 (3d6) Acid damage at the start
of each of the cube’s turns. When the cube moves,
the engulfed target moves with it. An engulfed target
can try to escape by taking an action to make a DC
12 Strength (Athletics) check. On a successful check,
the target escapes and enters the nearest unoccupied
space. Success: Half damage, and the target moves to
an unoccupied space within 5 feet of the cube. If there
is no unoccupied space, the target fails the save instead."
