date,hour,country,vote_1,vote_2,vote_3,vote_4,vote_5
2019-10-28,9,"",Kererū,Kākāpō,Blue Duck,Little Spotted Kiwi,Orange-fronted Parakeet
2019-10-28,9,"",Kererū,Kākāpō,Yellow-eyed penguin,South Island Kōkako,Little Spotted Kiwi
2019-10-28,9,"",Tūī,New Zealand Falcon,Royal Spoonbill,Fantail,Kōkako
2019-10-28,9,"",Kākāpō,Tūī,Kea,Fiordland Crested Penguin,Fantail
2019-10-28,9,"",Bittern,Banded Dotterel,Black-fronted Tern,Fairy Tern,Wrybill
2019-10-28,9,"",New Zealand Falcon,Banded Dotterel,Orange-fronted Parakeet,Kea,Kākā
2019-10-28,9,"",Rockhopper Penguin,Takahē,Tomtit,Tūī,Kererū
2019-10-28,9,"",Kākāpō,Black Robin,Kea,Kākā,Orange-fronted Parakeet
2019-10-28,9,"",Kea,Kākā,Kākāpō,Tūī,Bellbird
2019-10-28,9,"",Harrier,Fantail,New Zealand Falcon,Southern Royal Albatross,New Zealand Robin
2019-10-28,9,"",Yellow-eyed penguin,Mōhua,Kākāpō,Banded Dotterel,Fiordland Crested Penguin
2019-10-28,9,"",Fairy Tern,Kākāpō,Blue Duck,Banded Dotterel,Black Robin
2019-10-28,9,"",Kererū,South Island Kōkako,Kākā,Yellow-eyed penguin,Black Robin
2019-10-28,9,"",Kākāpō,Great Spotted Kiwi,Little Penguin,Little Spotted Kiwi,North Island Brown Kiwi
2019-10-28,9,"",Fantail,Kea,Weka,Kākāpō,Kākā
2019-10-28,9,"",Saddleback,Rifleman,Shining Cuckoo,Kingfisher,Bellbird
2019-10-28,9,"",Bellbird,Blue Duck,Fernbird,Morepork,New Zealand Dotterel
2019-10-28,9,"",Kākāpō,Fiordland Crested Penguin,Bittern,Rockhopper Penguin,Yellow-eyed penguin
2019-10-28,9,"",Black Robin,Black-billed Gull,Blue Duck,Chatham Island Mollymawk,Chatham Island Oystercatcher
2019-10-28,9,"",Tomtit,Fantail,New Zealand Falcon,Morepork,Kōkako
2019-10-28,9,"",Bittern,Blue Duck,North Island Brown Kiwi,Saddleback,Southern Brown Kiwi
2019-10-28,9,"",Yellow-eyed penguin,Rock Wren,New Zealand Falcon,New Zealand Dabchick,Bar-tailed Godwit
2019-10-28,9,"",Mōhua,Little Spotted Kiwi,Black Robin,Kākā,Kea
2019-10-28,9,"",Kākāpō,"","","",""
2019-10-28,9,"",Kererū,"","","",""
2019-10-28,9,"",Kākāpō,Black Robin,Chatham Island Oystercatcher,Great Spotted Kiwi,Kea
2019-10-28,9,"",Kea,Kākā,Tūī,Orange-fronted Parakeet,Wrybill
2019-10-28,9,"",Rifleman,Grey Warbler,Tomtit,Stitchbird,Fantail
2019-10-28,9,"",Saddleback,Blue Duck,Morepork,Grey Warbler,Royal Spoonbill
2019-10-28,9,"",Kākāpō,Little Spotted Kiwi,Orange-fronted Parakeet,South Island Kōkako,Southern Brown Kiwi
2019-10-28,9,"",Orange-fronted Parakeet,The Otago Shag,Yellow-eyed penguin,Blue Duck,Banded Dotterel
2019-10-28,9,"",Kererū,Rockhopper Penguin,South Island Kōkako,Kākāpō,Orange-fronted Parakeet
2019-10-28,9,"",Kererū,Blue Duck,Weka,Yellow-eyed penguin,South Island Kōkako
2019-10-28,9,"",Kea,Northern Royal Albatross,New Zealand Robin,Antipodean Albatross,Southern Royal Albatross
2019-10-28,9,"",Kererū,Whenua Hou Diving Petrel,Fairy Tern,Yellow-eyed penguin,Chatham Island Oystercatcher
2019-10-28,9,"",Bellbird,Silvereye,Little Spotted Kiwi,Kākāpō,Morepork
2019-10-28,9,"",Kōkako,South Island Kōkako,Little Spotted Kiwi,Southern Brown Kiwi,Kingfisher
2019-10-28,9,"",Banded Dotterel,Black Robin,Kākāpō,Kōkako,Little Spotted Kiwi
2019-10-28,9,"",Little Penguin,Grey Warbler,Antipodean Albatross,Bellbird,Orange-fronted Parakeet
2019-10-28,9,"",Wrybill,South Island Kōkako,Saddleback,Kōkako,Royal Spoonbill
2019-10-28,9,"",Bittern,Fantail,Kōkako,Orange-fronted Parakeet,Saddleback
2019-10-28,9,"",Fairy Tern,Rockhopper Penguin,Yellow-eyed penguin,Chatham Island Mollymawk,Australasian Gannet
2019-10-28,9,"",Kākā,The Otago Shag,Blue Duck,North Island Brown Kiwi,Great Spotted Kiwi
2019-10-28,9,"",Rifleman,Royal Spoonbill,Bellbird,Rockhopper Penguin,Mōhua
2019-10-28,9,"",Saddleback,Black Robin,South Island Kōkako,Southern Brown Kiwi,Kākāpō
2019-10-28,9,"",Yellow-eyed penguin,Kākāpō,Kākā,Fantail,Takahē
2019-10-28,9,"",Morepork,White Heron,Kākāpō,Tūī,New Zealand Falcon
2019-10-28,9,"",Yellow-eyed penguin,"","","",""
2019-10-28,9,"",Kererū,Black-fronted Tern,Stitchbird,Spotless Crake,Black Stilt
2019-10-28,9,"",Kākāpō,"","","",""
2019-10-28,9,"",Kōkako,Grey Warbler,Bittern,Black Stilt,Kea
2019-10-28,9,"",Yellow-eyed penguin,Black Stilt,Fairy Tern,Banded Dotterel,Whenua Hou Diving Petrel
2019-10-28,9,"",White Heron,Grey Warbler,Fantail,Morepork,Silvereye
2019-10-28,9,"",Grey Warbler,Fantail,Kingfisher,Tūī,Kererū
2019-10-28,9,"",Harrier,"","","",""
2019-10-28,9,"",Morepork,Kōkako,Silvereye,Kākāpō,Tūī
2019-10-28,9,"",Tūī,Orange-fronted Parakeet,Mōhua,Little Spotted Kiwi,Black Robin
2019-10-28,9,"",North Island Brown Kiwi,Bellbird,Shining Cuckoo,Silvereye,Tūī
2019-10-28,9,"",Yellow-eyed penguin,Grey Warbler,Blue Duck,Harrier,New Zealand Falcon
2019-10-28,9,"",Kākāpō,Takahē,Kōkako,Bellbird,Fantail
2019-10-28,9,"",Saddleback,Morepork,Little Spotted Kiwi,Scaup,Kererū
2019-10-28,9,"",New Zealand Dotterel,Banded Dotterel,New Zealand Falcon,Yellow-eyed penguin,Antipodean Albatross
2019-10-28,9,"",Little Penguin,Saddleback,Barn Owl,Yellow-eyed penguin,Rockhopper Penguin
2019-10-28,9,"",Wrybill,"","","",""
2019-10-28,9,"",Fantail,Kererū,New Zealand Falcon,Shining Cuckoo,Harrier
2019-10-28,9,"",Bittern,Grey Warbler,Kākā,Kōkako,Little Penguin
2019-10-28,9,"",Antipodean Albatross,Fiordland Crested Penguin,Kākāpō,Orange-fronted Parakeet,Fairy Tern
2019-10-28,9,"",Fantail,Kākāpō,Pūkeko,Great Spotted Kiwi,Fiordland Crested Penguin
2019-10-28,9,"",Kōkako,New Zealand Falcon,Saddleback,Stitchbird,Yellow-eyed penguin
2019-10-28,9,"",Kea,Kākā,Kākāpō,New Zealand Robin,Rifleman
2019-10-28,9,"",Yellow-eyed penguin,Tomtit,Shore Plover,Rockhopper Penguin,Fiordland Crested Penguin
2019-10-28,9,"",New Zealand Falcon,New Zealand Dabchick,Rifleman,Black Robin,Kingfisher
2019-10-28,9,"",New Zealand Dabchick,Little Penguin,Fiordland Crested Penguin,Kererū,Tomtit
2019-10-28,9,"",Tūī,Kākāpō,Kererū,Bellbird,Fantail
2019-10-28,9,"",Harrier,Black Stilt,Morepork,Kākā,Yellow-eyed penguin
2019-10-28,9,"",Blue Duck,Little Penguin,Rifleman,Kingfisher,New Zealand Falcon
2019-10-28,9,"",Shore Plover,Black Stilt,Black Robin,Mōhua,New Zealand Dotterel
2019-10-28,9,"",Stitchbird,Shore Plover,Fernbird,Whitehead,New Zealand Robin
2019-10-28,9,"",South Island Kōkako,Takahē,Great Spotted Kiwi,Banded Dotterel,Orange-fronted Parakeet
2019-10-28,9,"",Black Robin,Banded Dotterel,Kingfisher,Kākā,Morepork
2019-10-28,9,"",Banded Dotterel,Bittern,Orange-fronted Parakeet,Mōhua,Rock Wren
2019-10-28,9,"",Kākāpō,Little Penguin,Kea,Kākā,Fantail
2019-10-28,9,"",Takahē,"","","",""
2019-10-28,9,"",Kererū,Kingfisher,Morepork,Stitchbird,Tomtit
2019-10-28,9,"",Kākāpō,Stitchbird,Rifleman,Rockhopper Penguin,Morepork
2019-10-28,9,"",Tūī,Black Robin,Kākāpō,Saddleback,Morepork
2019-10-28,9,"",North Island Brown Kiwi,Takahē,Tūī,Southern Brown Kiwi,Yellow-eyed penguin
2019-10-28,9,"",Yellow-eyed penguin,Kākāpō,South Island Kōkako,Kea,The Otago Shag
2019-10-28,9,"",Silvereye,Rifleman,Kingfisher,White-faced Heron,Blue Duck
2019-10-28,9,"",Tūī,Silvereye,Fantail,Black Robin,Yellow-eyed penguin
2019-10-28,9,"",Banded Dotterel,Kākā,North Island Brown Kiwi,Black Robin,Chatham Island Oystercatcher
2019-10-28,9,"",Antipodean Albatross,Bellbird,Black Robin,Blue Duck,Buller's Mollymawk
2019-10-28,9,"",Yellow-eyed penguin,Blue Duck,Saddleback,Kākāpō,Takahē
2019-10-28,9,"",Banded Dotterel,"","","",""
2019-10-28,9,"",Yellow-eyed penguin,Orange-fronted Parakeet,Kingfisher,Stitchbird,Kākāpō
2019-10-28,9,"",Yellow-eyed penguin,Kākā,New Zealand Dotterel,Southern Royal Albatross,New Zealand Falcon
2019-10-28,9,"",Black Robin,Rock Wren,Rockhopper Penguin,Kākā,Kingfisher
2019-10-28,9,"",Kākāpō,Black Robin,Great Spotted Kiwi,Kākā,Little Penguin
2019-10-28,9,"",Banded Dotterel,Bittern,Black Robin,Black Stilt,Black-billed Gull
2019-10-28,9,"",Yellow-eyed penguin,Black Robin,Blue Duck,Pūkeko,Kea
2019-10-28,9,"",Orange-fronted Parakeet,Rifleman,Silvereye,Fantail,Morepork
2019-10-28,9,"",Tūī,Kākā,Morepork,Stitchbird,New Zealand Robin
2019-10-28,9,"",Little Penguin,Kākā,Yellow-eyed penguin,Fiordland Crested Penguin,Morepork
2019-10-28,9,"",Rifleman,Rock Wren,Banded Dotterel,Takahē,Yellow-eyed penguin
2019-10-28,9,"",Kererū,Little Spotted Kiwi,Black Robin,Banded Dotterel,Barn Owl
2019-10-28,9,"",Fantail,Kingfisher,Rifleman,Saddleback,Morepork
2019-10-28,9,"",Kererū,Orange-fronted Parakeet,Mōhua,Yellow-eyed penguin,Chatham Island Mollymawk
2019-10-28,9,"",Yellow-eyed penguin,Kea,Takahē,Morepork,Fiordland Crested Penguin
2019-10-28,9,"",Black Robin,New Zealand Robin,Antipodean Albatross,Bittern,Yellow-eyed penguin
2019-10-28,9,"",South Island Kōkako,Fantail,Kererū,New Zealand Falcon,Rifleman
2019-10-28,9,"",Fiordland Crested Penguin,Little Penguin,Rockhopper Penguin,Yellow-eyed penguin,Orange-fronted Parakeet
2019-10-28,9,"",Takahē,Kererū,Kōkako,South Island Kōkako,Tūī
2019-10-28,9,"",South Island Kōkako,Morepork,Kākā,Rockhopper Penguin,Black Stilt
2019-10-28,9,"",Rockhopper Penguin,Little Penguin,Yellow-eyed penguin,Fiordland Crested Penguin,New Zealand Dotterel
2019-10-28,9,"",Blue Duck,Kākā,Yellow-eyed penguin,New Zealand Dotterel,North Island Brown Kiwi
2019-10-28,9,"",Kākā,Antipodean Albatross,New Zealand Falcon,Northern Royal Albatross,Black Robin
2019-10-28,9,"",Banded Dotterel,Fairy Tern,Black-fronted Tern,Black Petrel,Chatham Island Mollymawk
2019-10-28,9,"",Rifleman,"","","",""
2019-10-28,9,"",Kākāpō,Black Robin,South Island Kōkako,Orange-fronted Parakeet,Yellow-eyed penguin
2019-10-28,9,"",Banded Dotterel,Bittern,Black Robin,Black-billed Gull,Rifleman
2019-10-28,9,"",Banded Dotterel,Shore Plover,New Zealand Dotterel,Antipodean Albatross,Yellow-eyed penguin
2019-10-28,9,"",Southern Brown Kiwi,Saddleback,Barn Owl,Kea,Kākāpō
2019-10-28,9,"",Tūī,Black Robin,Kākāpō,Little Spotted Kiwi,Yellow-eyed penguin
2019-10-28,9,"",Kererū,New Zealand Falcon,Orange-fronted Parakeet,"",""
2019-10-28,9,"",Kererū,"","","",""
2019-10-28,9,"",Antipodean Albatross,New Zealand Falcon,Harrier,Black Robin,Rifleman
2019-10-28,9,"",South Island Kōkako,Yellow-eyed penguin,Australasian Crested Grebe,Takahē,Northern Royal Albatross
2019-10-28,9,"",Rockhopper Penguin,Kākā,Orange-fronted Parakeet,Chatham Island Oystercatcher,New Zealand Dotterel
2019-10-28,9,"",Yellow-eyed penguin,Kākā,Little Spotted Kiwi,Kākāpō,South Island Kōkako
2019-10-28,9,"",Bellbird,Kererū,Kōkako,Chatham Island Mollymawk,Black Robin
2019-10-28,9,"",Tomtit,Black Stilt,Yellow-eyed penguin,Rifleman,New Zealand Dotterel
2019-10-28,9,"",Banded Dotterel,Brown Teal,Blue Duck,Fernbird,Great Spotted Kiwi
2019-10-28,9,"",Rockhopper Penguin,Kākāpō,Little Spotted Kiwi,Shining Cuckoo,Silvereye
2019-10-28,9,"",Rock Wren,Kākāpō,Black Stilt,Kea,Tūī
2019-10-28,9,"",Yellow-eyed penguin,Black-billed Gull,Kākāpō,Black Stilt,Blue Duck
2019-10-28,9,"",Rock Wren,Mōhua,Chatham Island Mollymawk,Yellow-eyed penguin,South Island Kōkako
2019-10-28,9,"",Little Spotted Kiwi,Southern Brown Kiwi,Kākāpō,Antipodean Albatross,New Zealand Falcon
2019-10-28,9,"",Yellow-eyed penguin,Kākā,Kākāpō,Kea,Antipodean Albatross
2019-10-28,9,"",Yellow-eyed penguin,Blue Duck,Kingfisher,New Zealand Dotterel,Southern Brown Kiwi
2019-10-28,9,"",Yellow-eyed penguin,Southern Brown Kiwi,Shore Plover,The Otago Shag,South Island Kōkako
2019-10-28,9,"",Kea,Kākā,Kōkako,Fiordland Crested Penguin,South Island Kōkako
2019-10-28,9,"",Kākāpō,Black Robin,Kākā,Southern Brown Kiwi,Banded Dotterel
2019-10-28,9,"",Kākāpō,North Island Brown Kiwi,Little Spotted Kiwi,Kea,Kōkako
2019-10-28,9,"",New Zealand Dotterel,Yellow-eyed penguin,Antipodean Albatross,Kākāpō,Little Spotted Kiwi
2019-10-28,9,"",Yellow-eyed penguin,Shore Plover,New Zealand Falcon,Hutton's Shearwater,Kākāpō
2019-10-28,9,"",Fairy Tern,Banded Dotterel,Shore Plover,Kākā,Kākāpō
2019-10-28,9,"",Kea,South Island Kōkako,Kākā,Tūī,Saddleback
2019-10-28,9,"",Weka,Kākāpō,Kea,Little Spotted Kiwi,Antipodean Albatross
2019-10-28,9,"",Yellow-eyed penguin,"","","",""
2019-10-28,9,"",Yellow-eyed penguin,Southern Royal Albatross,Fairy Tern,Fantail,The Otago Shag
2019-10-28,9,"",South Island Kōkako,Black Stilt,Black Robin,Kākā,Mōhua
2019-10-28,9,"",Kākā,Kākāpō,Little Spotted Kiwi,Mōhua,Orange-fronted Parakeet
2019-10-28,9,"",Yellow-eyed penguin,Little Penguin,Rockhopper Penguin,Fiordland Crested Penguin,Little Spotted Kiwi
2019-10-28,9,"",Yellow-eyed penguin,Fiordland Crested Penguin,Rockhopper Penguin,Kākāpō,Little Spotted Kiwi
2019-10-28,9,"",Black-billed Gull,Banded Dotterel,Orange-fronted Parakeet,Shore Plover,Bittern
2019-10-28,9,"",Stitchbird,Saddleback,Rifleman,New Zealand Falcon,Silvereye
2019-10-28,9,"",North Island Brown Kiwi,"","","",""
2019-10-28,9,"",Stitchbird,Shore Plover,South Polar Skua,Fernbird,Spotless Crake
2019-10-28,9,"",Black Robin,Fiordland Crested Penguin,Kākāpō,Mōhua,Orange-fronted Parakeet
2019-10-28,9,"",Kākāpō,Fairy Tern,New Zealand Dabchick,Antipodean Albatross,The Otago Shag
2019-10-28,9,"",Yellow-eyed penguin,Banded Dotterel,Chatham Island Mollymawk,Antipodean Albatross,Kea
2019-10-28,9,"",Bellbird,Kingfisher,"","",""
2019-10-28,9,"",Kākāpō,Takahē,Tūī,Fantail,Black Robin
2019-10-28,9,"",Little Penguin,Fantail,Morepork,Rifleman,Rockhopper Penguin
2019-10-28,9,"",Wrybill,"","","",""
2019-10-28,9,"",Spotted Shag,Black Stilt,Bittern,Shore Plover,Yellow-eyed penguin
2019-10-28,9,"",Kererū,Little Penguin,Morepork,Tūī,Antipodean Albatross
2019-10-28,9,"",Kākāpō,Kea,Orange-fronted Parakeet,North Island Brown Kiwi,Kākā
2019-10-28,9,"",Takahē,Kākāpō,Orange-fronted Parakeet,Blue Duck,Bittern
2019-10-28,9,"",Tūī,Tomtit,Kingfisher,Saddleback,Australasian Gannet
2019-10-28,9,"",New Zealand Dotterel,Banded Dotterel,Bar-tailed Godwit,Little Penguin,Silvereye
2019-10-28,9,"",Yellow-eyed penguin,Fiordland Crested Penguin,Rockhopper Penguin,Little Penguin,""
2019-10-28,9,"",Bellbird,Banded Dotterel,Fiordland Crested Penguin,Kea,Mōhua
2019-10-28,9,"",Antipodean Albatross,Banded Dotterel,Bellbird,Black Robin,Chatham Island Oystercatcher
2019-10-28,9,"",Fantail,Bellbird,Grey Warbler,Kingfisher,Little Penguin
2019-10-28,9,"",Fairy Tern,Kākāpō,Orange-fronted Parakeet,Saddleback,Chatham Island Oystercatcher
2019-10-28,9,"",Morepork,South Island Kōkako,Yellow-eyed penguin,Blue Duck,Scaup
2019-10-28,9,"",Tūī,Fantail,Yellow-eyed penguin,Kererū,Kingfisher
2019-10-28,9,"",Tūī,Takahē,Kākā,New Zealand Falcon,Morepork
2019-10-28,9,"",Banded Dotterel,Wrybill,Bittern,Black Stilt,Mōhua
2019-10-28,9,"",Rockhopper Penguin,Fiordland Crested Penguin,Kākāpō,Southern Royal Albatross,Blue Duck
2019-10-28,9,"",Stitchbird,New Zealand Dotterel,Kōkako,Blue Duck,Saddleback
2019-10-28,9,"",Whitehead,Kererū,Morepork,Black Robin,New Zealand Falcon
2019-10-28,9,"",Bar-tailed Godwit,Fairy Tern,Fantail,Tūī,White-faced Heron
2019-10-28,9,"",Whenua Hou Diving Petrel,Black Petrel,Spotted Shag,Hutton's Shearwater,Northern Royal Albatross
2019-10-28,9,"",Kererū,Grey Warbler,Banded Dotterel,Black Robin,Campbell Black-Browed Albatross
2019-10-28,9,"",Blue Duck,South Island Kōkako,Black Robin,Mōhua,Kererū
2019-10-28,9,"",Takahē,Southern Brown Kiwi,Little Spotted Kiwi,North Island Brown Kiwi,Great Spotted Kiwi
2019-10-28,9,"",Kākā,Kōkako,Tūī,Fantail,""
2019-10-28,9,"",Chatham Island Mollymawk,Little Spotted Kiwi,Orange-fronted Parakeet,Rockhopper Penguin,Tūī
2019-10-28,9,"",Kākāpō,Kākā,Little Spotted Kiwi,Fairy Tern,Black Robin
2019-10-28,9,"",Kererū,"","","",""
2019-10-28,9,"",Tūī,Kākā,Pūkeko,Grey Warbler,""
2019-10-28,9,"",South Island Kōkako,Rockhopper Penguin,Black Robin,Orange-fronted Parakeet,Takahē
2019-10-28,9,"",Kea,Takahē,Harrier,Orange-fronted Parakeet,Fantail
2019-10-28,9,"",Takahē,Blue Duck,Kea,Kākā,Chatham Island Mollymawk
2019-10-28,9,"",Kea,Orange-fronted Parakeet,Kākāpō,Rock Wren,Kākā
2019-10-28,9,"",Kererū,Southern Brown Kiwi,North Island Brown Kiwi,Little Spotted Kiwi,Kākāpō
2019-10-28,9,"",Kākāpō,Bittern,Black Robin,Black Stilt,Little Spotted Kiwi
2019-10-28,9,"",Kākāpō,Kererū,Banded Dotterel,Australasian Crested Grebe,Kea
2019-10-28,9,"",Saddleback,Kākāpō,Black Robin,Kākā,Southern Brown Kiwi
2019-10-28,9,"",Fairy Tern,Southern Royal Albatross,Kea,South Island Kōkako,New Zealand Falcon
2019-10-28,9,"",Harrier,New Zealand Falcon,Black Robin,Blue Duck,Mōhua
2019-10-28,9,"",Kākāpō,Fairy Tern,Fantail,Antipodean Albatross,Morepork
2019-10-28,9,"",Spotted Shag,Bittern,Fantail,Kingfisher,Kākā
2019-10-28,9,"",Rockhopper Penguin,Yellow-eyed penguin,Fiordland Crested Penguin,Rifleman,Fantail
2019-10-28,9,"",South Island Kōkako,Rockhopper Penguin,Kākā,Blue Duck,Little Spotted Kiwi
2019-10-28,9,"",Kākāpō,Kea,Kererū,Morepork,Tūī
2019-10-28,9,"",Saddleback,Takahē,Blue Duck,Orange-fronted Parakeet,Whitehead
2019-10-28,9,"",Yellow-eyed penguin,Morepork,Little Penguin,New Zealand Falcon,Weka
2019-10-28,9,"",Saddleback,Kōkako,Black Robin,Rockhopper Penguin,Blue Duck
2019-10-28,9,"",Banded Dotterel,Black Robin,Mōhua,Bittern,Blue Duck
2019-10-28,9,"",Kākāpō,"","","",""
2019-10-28,9,"",Kea,Black Robin,Kākāpō,Shining Cuckoo,Kākā
2019-10-28,9,"",Yellow-eyed penguin,Blue Duck,Mōhua,"",""
2019-10-28,9,"",Black Robin,Banded Dotterel,Great Spotted Kiwi,Kākāpō,Little Spotted Kiwi
2019-10-28,9,"",Kākāpō,Kākā,Bittern,Banded Dotterel,New Zealand Dotterel
2019-10-28,9,"",Yellow-eyed penguin,South Island Kōkako,Fairy Tern,Chatham Island Oystercatcher,Little Spotted Kiwi
2019-10-28,9,"",Banded Dotterel,South Island Kōkako,Orange-fronted Parakeet,Yellow-eyed penguin,Grey Duck
2019-10-28,9,"",Kākāpō,Kākā,Kererū,Kea,Kōkako
2019-10-28,9,"",Yellow-eyed penguin,Banded Dotterel,"","",""
2019-10-28,9,"",Tomtit,New Zealand Dotterel,Black Robin,Orange-fronted Parakeet,Kākā
2019-10-28,9,"",Rockhopper Penguin,"","","",""
2019-10-28,9,"",Kākāpō,"","","",""
2019-10-28,9,"",Black-billed Gull,Fiordland Crested Penguin,Kea,New Zealand Dotterel,Yellow-eyed penguin
2019-10-28,9,"",Fairy Tern,Kākāpō,Antipodean Albatross,The Otago Shag,New Zealand Dabchick
2019-10-28,9,"",South Island Kōkako,Yellow-eyed penguin,Fairy Tern,Kākāpō,Kākā
2019-10-28,9,"",New Zealand Falcon,Harrier,Black Robin,Barn Owl,Wrybill
2019-10-28,9,"",Rifleman,Orange-fronted Parakeet,Kererū,Bellbird,Yellow-eyed penguin
2019-10-28,9,"",Yellow-eyed penguin,Silvereye,Saddleback,Kōkako,Rockhopper Penguin
2019-10-28,9,"",Kākāpō,Orange-fronted Parakeet,Kākā,Antipodean Albatross,South Island Kōkako
2019-10-28,9,"",Kererū,Black Robin,Antipodean Albatross,Gibson's Albatross,Weka
2019-10-28,9,"",Kākāpō,North Island Brown Kiwi,Little Spotted Kiwi,New Zealand Dotterel,Takahē
2019-10-28,9,"",Yellow-eyed penguin,Fiordland Crested Penguin,Rockhopper Penguin,Orange-fronted Parakeet,Takahē
2019-10-28,9,"",Tūī,Banded Dotterel,Yellow-eyed penguin,Fairy Tern,Black Stilt
2019-10-28,9,"",Orange-fronted Parakeet,Mōhua,Kākāpō,Kingfisher,Kea
