"","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
"22","11/5/2014","Interstellar",1.65e+08,188017894,667752422,"Paramount Pictures","PG-13","Adventure"
"23","6/24/2016","Independence Day: Resurgence",1.65e+08,103144286,384413934,"20th Century Fox","PG-13","Action"
"24","7/29/2011","Cowboys and Aliens",1.63e+08,100368560,176038324,"Universal","PG-13","Action"
"25","5/17/2007","Shrek the Third",1.6e+08,322719944,807330936,"Paramount Pictures","PG","Adventure"
"26","5/24/2013","Fast and Furious 6",1.6e+08,238679850,789300444,"Universal","PG-13","Action"
"27","5/16/2014","Godzilla",1.6e+08,200676069,529076069,"Sony Pictures","PG-13","Action"
"28","5/16/2014","Godzilla",1.6e+08,200676069,529076069,"Warner Bros.","PG-13","Action"
"29","6/3/2011","X-Men: First Class",1.6e+08,146408305,355408305,"20th Century Fox","PG-13","Action"
"30","12/25/2008","The Curious Case of Benjamin Button",1.6e+08,127509326,329631958,"Paramount Pictures","PG-13","Drama"
"31","7/14/2010","The Sorcerer's Apprentice",1.6e+08,63150991,217986320,"Walt Disney","PG","Adventure"
"32","5/12/2006","Poseidon",1.6e+08,60674817,181674817,"Warner Bros.","PG-13","Adventure"
"33","6/10/2016","Warcraft",1.6e+08,47225655,425547111,"Universal","PG-13","Action"
"34","12/21/2018","Aquaman",1.6e+08,0,0,"Warner Bros.","PG-13","Action"
"35","9/30/2016","Deepwater Horizon",1.56e+08,61433527,122631306,"Lionsgate","PG-13","Drama"
"36","7/1/2015","Terminator: Genisys",1.55e+08,89760956,432150894,"Paramount Pictures","PG-13","Action"
"37","3/23/2018","Pacific Rim: Uprising",1.55e+08,59185715,290241338,"Universal","PG-13","Action"
"38","11/24/2004","Alexander",1.55e+08,34297191,167297191,"Warner Bros.","R","Action"
"39","7/14/2017","War for the Planet of the Apes",1.52e+08,146880162,489592267,"20th Century Fox","PG-13","Action"
"40","5/25/2001","Pearl Harbor",151500000,198539855,449239855,"Walt Disney","PG-13","Action"
"41","7/2/2007","Transformers",1.51e+08,319246193,708272592,"Paramount Pictures","PG-13","Action"
"42","6/2/2017","Wonder Woman",1.5e+08,412563408,821133378,"Warner Bros.","PG-13","Action"
"43","11/22/2013","Frozen",1.5e+08,400738009,1272469910,"Anchor Bay Entertai…","R","Horror"
"44","3/4/2016","Zootopia",1.5e+08,341268248,1019706594,"Walt Disney","PG","Adventure"
"45","11/18/2005","Harry Potter and the Goblet of Fire",1.5e+08,290013036,896911078,"Warner Bros.","PG-13","Adventure"
"46","5/15/2003","The Matrix Reloaded",1.5e+08,281553689,738576929,"Warner Bros.","R","Action"
"47","12/14/2007","I am Legend",1.5e+08,256393010,585532684,"Warner Bros.","PG-13","Horror"
"48","7/1/2008","Hancock",1.5e+08,227946274,624234272,"Sony Pictures","PG-13","Action"
"49","7/15/2005","Charlie and the Chocolate Factory",1.5e+08,206459076,475825484,"Warner Bros.","PG","Adventure"
"50","6/29/2007","Ratatouille",1.5e+08,206445654,626549695,"Walt Disney","G","Adventure"
"51","11/8/2013","Thor: The Dark World",1.5e+08,206362140,644602516,"Walt Disney","PG-13","Action"
"52","6/15/2005","Batman Begins",1.5e+08,205343774,359142722,"Warner Bros.","PG-13","Action"
"53","7/31/2015","Mission: Impossible—Rogue Nation",1.5e+08,195042377,689388363,"Paramount Pictures","PG-13","Action"
"54","7/21/2017","Dunkirk",1.5e+08,190068280,499900860,"Warner Bros.","PG-13","Action"
"55","5/6/2011","Thor",1.5e+08,181030624,449326618,"Paramount Pictures","PG-13","Action"
"56","11/7/2008","Madagascar: Escape 2 Africa",1.5e+08,180174880,599680774,"Paramount Pictures","PG","Adventure"
"57","5/1/2009","X-Men Origins: Wolverine",1.5e+08,179883157,374825760,"20th Century Fox","PG-13","Action"
"58","5/26/2011","Kung Fu Panda 2",1.5e+08,165249063,664837547,"Paramount Pictures","PG","Adventure"
"59","5/15/2015","Mad Max: Fury Road",1.5e+08,153636354,370651733,"Warner Bros.","R","Action"
"60","8/10/2018","The Meg",1.5e+08,142700791,527100791,"Warner Bros.","PG-13","Action"
"61","11/5/2003","The Matrix Revolutions",1.5e+08,139270910,427300260,"Warner Bros.","R","Action"
"62","3/29/2018","Ready Player One",1.5e+08,137018455,578621729,"Warner Bros.","PG-13","Adventure"
"63","5/5/2006","Mission: Impossible III",1.5e+08,133501348,397501348,"Paramount Pictures","PG-13","Action"
"64","5/14/2004","Troy",1.5e+08,133298577,484161265,"Warner Bros.","R","Action"
"65","7/1/2010","The Last Airbender",1.5e+08,131772187,319713881,"Paramount Pictures","PG","Adventure"
"66","11/2/2007","Bee Movie",1.5e+08,126631277,287594577,"Paramount Pictures","PG","Adventure"
"67","7/24/2009","G-Force",1.5e+08,119436770,292817841,"Walt Disney","PG","Adventure"
"68","11/21/2008","Bolt",1.5e+08,114053579,328015029,"Walt Disney","PG","Adventure"
"69","3/30/2012","Wrath of the Titans",1.5e+08,83670083,305270083,"Warner Bros.","PG-13","Adventure"
"70","11/16/2007","Beowulf",1.5e+08,82280579,195080579,"Paramount Pictures","PG-13","Adventure"
"71","2/12/2010","The Wolfman",1.5e+08,62189884,142634358,"Universal","R","Horror"
"72","2/17/2017","The Great Wall",1.5e+08,45157105,334550106,"Universal","PG-13","Action"
"73","10/9/2015","Pan",1.5e+08,35088320,151543635,"Warner Bros.","PG","Adventure"
"74","3/11/2011","Mars Needs Moms",1.5e+08,21392758,39549758,"11.0","2011.0","Action"
"75","3/11/2011","Mars Needs Moms",1.5e+08,21392758,39549758,"Walt Disney","PG","Adventure"
"76","11/3/2006","Flushed Away",1.49e+08,64665672,179357126,"Paramount Pictures","PG","Adventure"
"77","6/8/2012","Madagascar 3: Europe's Most Wanted",1.45e+08,216391482,746921271,"Paramount Pictures","PG","Adventure"
"78","6/13/2014","How to Train Your Dragon 2",1.45e+08,177002924,614586270,"20th Century Fox","PG","Adventure"
"79","6/16/1999","Tarzan",1.45e+08,171091819,448191819,"Walt Disney","G","Adventure"
"80","3/7/2014","Mr. Peabody & Sherman",1.45e+08,111506430,269806430,"20th Century Fox","PG","Adventure"
"81","11/21/2012","Rise of the Guardians",1.45e+08,103412758,306900902,"Paramount Pictures","PG","Adventure"
"82","4/8/2005","Sahara",1.45e+08,68671925,121671925,"Cannon",NA,"Adventure"
"83","4/8/2005","Sahara",1.45e+08,68671925,121671925,"Paramount Pictures","PG-13","Adventure"
"84","7/15/2016","Ghostbusters",1.44e+08,128350574,229034050,"Sony Pictures","PG","Adventure"
"85","7/15/2016","Ghostbusters",1.44e+08,128350574,229034050,"Sony Pictures","PG-13","Comedy"
"86","11/22/2002","Die Another Day",1.42e+08,160942139,431942139,"MGM","PG-13","Action"
"87","5/8/2009","Star Trek",1.4e+08,257730019,385680446,"Paramount Pictures","PG-13","Adventure"
"88","7/1/1998","Armageddon",1.4e+08,201578182,554600000,"Walt Disney","PG-13","Adventure"
"89","7/3/2002","Men in Black 2",1.4e+08,190418803,441767803,"Sony Pictures","PG-13","Action"
"90","7/22/2011","Captain America: The First Avenger",1.4e+08,176654505,370569776,"Paramount Pictures","PG-13","Action"
"91","1/29/2016","Kung Fu Panda 3",1.4e+08,143528619,518418751,"20th Century Fox","PG","Adventure"
"92","7/10/1998","Lethal Weapon 4",1.4e+08,130444603,285400000,"Warner Bros.","R","Action"
"93","3/27/2013","G.I. Joe: Retaliation",1.4e+08,122523060,375740705,"Paramount Pictures","PG-13","Action"
"94","12/5/2003","The Last Samurai",1.4e+08,111110575,456810575,"Warner Bros.","R","Action"
"95","12/21/2005","Fun With Dick And Jane",1.4e+08,110550000,203018919,"Sony Pictures","PG-13","Comedy"
"96","12/12/2014","Exodus: Gods and Kings",1.4e+08,65014513,268314513,"20th Century Fox","PG-13","Drama"
"97","7/1/2016","The BFG",1.4e+08,55483770,199676255,"Walt Disney","PG","Adventure"
"98","2/26/2016","Gods of Egypt",1.4e+08,31153464,138587563,"Lionsgate","PG-13","Adventure"
"99","5/3/2002","Spider-Man",1.39e+08,403706375,821706375,"Sony Pictures","PG-13","Adventure"
"100","3/6/2009","Watchmen",1.38e+08,107509799,186976250,"Warner Bros.","R","Action"
"101","7/29/2005","Stealth",1.38e+08,32116746,76416746,"Sony Pictures","PG-13","Action"
"102","7/29/2005","Stealth",1.38e+08,32116746,76416746,"29.0","2005.0","Action"
"103","6/13/2008","The Incredible Hulk",137500000,134806913,265573859,"Universal","PG-13","Adventure"
"104","6/20/2003","Hulk",1.37e+08,132177234,245075434,"Universal","PG-13","Action"
"105","7/11/2001","Final Fantasy: The Spirits Within",1.37e+08,32131830,85131830,"11.0","2001.0","Action"
"106","7/11/2001","Final Fantasy: The Spirits Within",1.37e+08,32131830,85131830,"Sony Pictures","PG-13","Adventure"
"107","3/22/2013","The Croods",1.35e+08,187168425,573068425,"20th Century Fox","PG","Adventure"
"108","12/25/2015","The Revenant",1.35e+08,183637894,532950503,"20th Century Fox","R","Adventure"
"109","11/19/1999","The World is Not Enough",1.35e+08,126930660,361730660,"MGM","PG-13","Action"
"110","3/4/2011","Rango",1.35e+08,123477607,245724600,"Paramount Pictures","PG","Adventure"
"111","7/17/2013","Turbo",1.35e+08,83028130,286896578,"20th Century Fox","PG","Adventure"
"112","11/18/2011","Happy Feet Two",1.35e+08,64006466,157956466,"Warner Bros.","PG","Adventure"
"113","7/28/2006","Miami Vice",1.35e+08,63478838,163818556,"Universal","R","Action"
"114","6/29/2005","War of the Worlds",1.32e+08,234280354,606836535,"Paramount Pictures","PG-13","Action"
"115","11/26/2014","Penguins of Madagascar",1.32e+08,83350911,367650911,"20th Century Fox","PG","Adventure"
"116","11/22/2013","The Hunger Games: Catching Fire",1.3e+08,424668047,864868047,"Lionsgate","PG-13","Adventure"
"117","7/6/2018","Ant-Man and the Wasp",1.3e+08,216565229,617176819,"Walt Disney","PG-13","Action"
"118","6/6/2008","Kung Fu Panda",1.3e+08,215434591,631910531,"Paramount Pictures","PG","Adventure"
"119","7/17/2015","Ant-Man",1.3e+08,180202163,518860086,"Walt Disney","PG-13","Action"
"120","3/27/2015","Home",1.3e+08,177397510,386031994,"23.0","2009.0","Action"
"121","3/27/2015","Home",1.3e+08,177397510,386031994,"5.0","2009.0","Action"
"122","3/27/2015","Home",1.3e+08,177397510,386031994,"20th Century Fox","PG","Adventure"
"123","3/27/2015","Home",1.3e+08,177397510,386031994,"Monterey Media","PG-13","Drama"
"124","3/27/2015","Home",1.3e+08,177397510,386031994,"Lorber Films","Not Rated","Drama"
"125","10/28/2011","Puss in Boots",1.3e+08,149260504,554987477,"Paramount Pictures","PG","Adventure"
"126","11/5/2010","Megamind",1.3e+08,148415853,321887208,"Paramount Pictures","PG","Adventure"
"127","7/18/2003","Bad Boys II",1.3e+08,138540870,273271982,"Sony Pictures","R","Action"
"128","4/11/2014","Rio 2",1.3e+08,131538435,492846291,"20th Century Fox","G","Adventure"
"129","3/28/2014","Noah",1.3e+08,101200044,352831065,"Paramount Pictures","PG-13","Drama"
"130","12/21/2011","The Adventures of Tintin",1.3e+08,77591831,373993951,"Paramount Pictures","PG","Adventure"
"131","5/31/2013","After Earth",1.3e+08,60522097,251499665,"Sony Pictures","PG-13","Action"
"132","11/26/2008","Australia",1.3e+08,49554002,215080810,"20th Century Fox","PG-13","Drama"
"133","7/19/2013","R.I.P.D.",1.3e+08,33618855,79076678,"Universal","PG-13","Action"
"134","7/19/2013","R.I.P.D.",1.3e+08,33618855,79076678,"19.0","2013.0","Action"
"135","5/19/2000","Dinosaur",127500000,137748063,356148063,"Walt Disney","PG","Adventure"
"136","3/3/2017","Logan",1.27e+08,226277068,615476965,"20th Century Fox","R","Action"
"137","3/3/2017","Logan",1.27e+08,226277068,615476965,"Real Bean Entertain…","Not Rated","Drama"
"138","5/2/2003","X-Men 2",1.25e+08,214949694,406875536,"20th Century Fox","PG-13","Action"
"139","4/29/2011","Fast Five",1.25e+08,210031325,630163454,"Universal","PG-13","Action"
"140","8/8/2014","Teenage Mutant Ninja Turtles",1.25e+08,191204754,485004754,"New Line","PG","Adventure"
"141","8/8/2014","Teenage Mutant Ninja Turtles",1.25e+08,191204754,485004754,"Paramount Pictures","PG-13","Adventure"
"142","12/16/2011","Sherlock Holmes: A Game of Shadows",1.25e+08,186848418,535663443,"Warner Bros.","PG-13","Action"
"143","5/28/2004","The Day After Tomorrow",1.25e+08,186740799,556319450,"20th Century Fox","PG-13","Adventure"
"144","3/31/2017","The Boss Baby",1.25e+08,175003033,510888357,"20th Century Fox","PG","Adventure"
"145","4/1/2010","Clash of the Titans",1.25e+08,163214888,493214888,"Warner Bros.","PG-13","Action"
"146","4/1/2010","Clash of the Titans",1.25e+08,163214888,493214888,"12.0","1981.0","Action"
"147","4/1/2010","Clash of the Titans",1.25e+08,163214888,493214888,"MGM",NA,"Adventure"
"148","11/4/2016","Trolls",1.25e+08,153707064,344527425,"20th Century Fox","PG","Adventure"
"149","5/19/1998","Godzilla",1.25e+08,136314294,3.76e+08,"Sony Pictures","PG-13","Action"
"150","5/19/1998","Godzilla",1.25e+08,136314294,3.76e+08,"Warner Bros.","PG-13","Action"
"151","6/8/2012","Prometheus",1.25e+08,126477084,402448265,"20th Century Fox","R","Adventure"
"152","6/20/1997","Batman & Robin",1.25e+08,107325195,238317814,"Warner Bros.","PG-13","Action"
"153","7/13/2018","Skyscraper",1.25e+08,67796355,304034615,"Universal","PG","Action"
"154","8/3/2012","Total Recall",1.25e+08,58877969,211856088,"Sony Pictures","R","Action"
"155","8/3/2012","Total Recall",1.25e+08,58877969,211856088,"Sony Pictures","PG-13","Action"
"156","12/21/2016","Assassin’s Creed",1.25e+08,54647948,240497948,"20th Century Fox","PG-13","Action"
"157","1/13/2017","Monster Trucks",1.25e+08,33370166,61642798,"13.0","2017.0","Action"
"158","1/13/2017","Monster Trucks",1.25e+08,33370166,61642798,"Paramount Pictures","PG-13","Adventure"
"159","8/27/1999","The 13th Warrior",1.25e+08,32698899,61698899,"Walt Disney","R","Action"
"160","8/27/1999","The 13th Warrior",1.25e+08,32698899,61698899,"27.0","1999.0","Action"
"161","11/17/2000","How the Grinch Stole Christmas",1.23e+08,260044825,345141403,"Universal","PG","Adventure"
"162","5/24/2000","Mission: Impossible 2",1.2e+08,215409889,549588516,"Paramount Pictures","PG-13","Action"
"163","6/30/2000","The Perfect Storm",1.2e+08,182618434,328711434,"Warner Bros.","PG-13","Drama"
"164","7/29/2016","Jason Bourne",1.2e+08,162192920,416197059,"Universal","PG-13","Action"
"165","11/21/2012","Life of Pi",1.2e+08,124987022,607258634,"20th Century Fox","PG","Drama"
"166","2/16/2007","Ghost Rider",1.2e+08,115802596,229545589,"Sony Pictures","PG-13","Action"
"167","6/27/2003","Charlie's Angels: Full Throttle",1.2e+08,100814328,227200000,"Sony Pictures","PG-13","Action"
"168","4/13/2018","Rampage",1.2e+08,99345950,424745950,"Warner Bros.","PG-13","Action"
"169","8/9/2013","Elysium",1.2e+08,93050117,286192091,"Sony Pictures","R","Action"
"170","3/24/2017","Power Rangers",1.2e+08,85364450,142545357,"Lionsgate","PG-13","Action"
"171","7/19/2002","Stuart Little 2",1.2e+08,64956806,1.66e+08,"Sony Pictures","PG","Adventure"
"172","2/12/2014","RoboCop",1.2e+08,58607007,242981799,"Orion Pictures","R","Action"
"173","2/12/2014","RoboCop",1.2e+08,58607007,242981799,"Sony Pictures","PG-13","Action"
"174","2/12/2014","RoboCop",1.2e+08,58607007,242981799,"17.0","1987.0","Action"
"175","6/11/2004","The Chronicles of Riddick",1.2e+08,57712751,107212751,"Universal","PG-13","Adventure"
"176","8/7/2015","Fantastic Four",1.2e+08,56117548,167977596,"20th Century Fox","PG-13","Action"
"177","8/7/2015","Fantastic Four",1.2e+08,56117548,167977596,"20th Century Fox","PG-13","Action"
"178","5/9/2008","Speed Racer",1.2e+08,43945766,93394462,"Warner Bros.","PG","Action"
"179","7/22/2005","The Island",1.2e+08,35818913,163018913,"Dreamworks SKG","PG-13","Action"
"180","7/22/2005","The Island",1.2e+08,35818913,163018913,"13.0","1980.0","Action"
"181","7/22/2005","The Island",1.2e+08,35818913,163018913,"Universal","PG-13","Adventure"
"182","12/17/2010","How Do You Know?",1.2e+08,30212620,49628177,"17.0","2010.0","Action"
"183","6/23/2010","Knight and Day",1.17e+08,76423035,258751370,"20th Century Fox","PG-13","Action"
"184","5/19/1999","Star Wars Ep. I: The Phantom Menace",1.15e+08,474544677,1027044677,"20th Century Fox","PG","Adventure"
"185","11/2/2001","Monsters, Inc.",1.15e+08,289423425,559757719,"Walt Disney","G","Adventure"
"186","7/26/2013","The Wolverine",1.15e+08,132556852,416456852,"20th Century Fox","PG-13","Action"
"187","2/7/1997","Dante's Peak",1.15e+08,67163857,178200000,"Universal","PG-13","Drama"
"188","4/22/2016","The Huntsman: Winter’s War",1.15e+08,48003015,165149302,"Universal","PG-13","Action"
"189","6/14/2002","Windtalkers",1.15e+08,40914068,77628265,"MGM","R","Action"
"190","6/14/2002","Windtalkers",1.15e+08,40914068,77628265,"14.0","2002.0","Action"
"191","12/25/2010","Gulliver's Travels",1.12e+08,42779261,232017848,"20th Century Fox","PG","Adventure"
"192","12/15/2017","Ferdinand",1.11e+08,84410380,289867087,"20th Century Fox","PG","Adventure"
"193","5/18/2018","Deadpool 2",1.1e+08,318491426,733809601,"20th Century Fox","R","Action"
"194","12/22/2006","Night at the Museum",1.1e+08,250863268,579446407,"20th Century Fox","PG","Adventure"
"195","6/10/2005","Mr. and Mrs. Smith",1.1e+08,186336279,486124090,"20th Century Fox","PG-13","Action"
"196","5/29/2015","San Andreas",1.1e+08,155190832,457199280,"Warner Bros.","PG-13","Adventure"
"197","7/29/2011","The Smurfs",1.1e+08,142614158,563749323,"Sony Pictures","PG","Adventure"
"198","6/27/2007","Live Free or Die Hard",1.1e+08,134529403,382288147,"20th Century Fox","PG-13","Action"
"199","3/20/2015","The Divergent Series: Insurgent",1.1e+08,130179072,295075882,"Lionsgate","PG-13","Action"
"200","12/10/2004","Ocean's Twelve",1.1e+08,125531634,362989076,"Warner Bros.","PG-13","Adventure"
"201","12/19/1997","Tomorrow Never Dies",1.1e+08,125304276,339504276,"MGM","PG-13","Action"
"202","6/28/2000","The Patriot",1.1e+08,113330342,215300000,"Sony Pictures","R","Drama"
"203","3/7/2014","300: Rise of an Empire",1.1e+08,106580051,330780051,"Warner Bros.","R","Action"
"204","12/17/2004","The Aviator",1.1e+08,102608827,208370892,"MGM",NA,"Adventure"
"205","12/17/2004","The Aviator",1.1e+08,102608827,208370892,"Miramax","PG-13","Drama"
"206","1/14/2011","The Green Hornet",1.1e+08,98780042,229155503,"Sony Pictures","PG-13","Action"
"207","10/7/2011","Real Steel",1.1e+08,85463309,263880341,"Walt Disney","PG-13","Action"
"208","6/11/2010","The A-Team",1.1e+08,77222099,177241171,"20th Century Fox","PG-13","Action"
"209","7/31/2013","The Smurfs 2",1.1e+08,71017784,348547523,"Sony Pictures","PG","Adventure"
"210","3/18/2016","The Divergent Series: Allegiant",1.1e+08,66184051,171871661,"Lionsgate","PG-13","Action"
"211","6/12/2009","The Taking of Pelham 123",1.1e+08,65452312,152364370,"Sony Pictures","R","Action"
"212","11/1/2013","Ender's Game",1.1e+08,61737191,127983283,"Lionsgate","PG-13","Adventure"
"213","4/2/2004","Home on the Range",1.1e+08,50026353,76482461,"2.0","2004.0","Action"
"214","4/2/2004","Home on the Range",1.1e+08,50026353,76482461,"Walt Disney","PG","Adventure"
"215","6/13/1997","Speed 2: Cruise Control",1.1e+08,48097081,150468000,"20th Century Fox","PG-13","Action"
"216","5/6/2005","Kingdom of Heaven",1.1e+08,47398413,218853353,"20th Century Fox","R","Adventure"
"217","3/31/2017","Ghost in the Shell",1.1e+08,40563557,167918847,"Paramount Pictures","PG-13","Action"
"218","6/16/2004","Around the World in 80 Days",1.1e+08,24004159,72004159,"16.0","2004.0","Action"
"219","6/16/2004","Around the World in 80 Days",1.1e+08,24004159,72004159,"17.0","1956.0","Action"
"220","6/16/2004","Around the World in 80 Days",1.1e+08,24004159,72004159,"United Artists","PG","Adventure"
"221","6/16/2004","Around the World in 80 Days",1.1e+08,24004159,72004159,"Walt Disney","PG","Adventure"
"222","11/21/2003","The Cat in the Hat",1.09e+08,101018283,133818283,"Universal","PG","Adventure"
"223","12/25/2001","Ali",1.09e+08,58183966,87683966,"Sony Pictures","R","Drama"
"224","11/23/2016","Allied",1.06e+08,40098064,119285656,"Paramount Pictures","R","Drama"
"225","7/16/2004","I, Robot",1.05e+08,144801023,348629585,"20th Century Fox","PG-13","Action"
"226","12/17/1999","Stuart Little",1.05e+08,140015224,298815224,"Sony Pictures","PG","Adventure"
"227","11/25/2009","The Princess and the Frog",1.05e+08,104400899,270997378,"Walt Disney","G","Adventure"
"228","3/7/2008","10,000 B.C.",1.05e+08,94784201,269065678,"Warner Bros.","PG-13","Adventure"
"229","7/22/2016","Ice Age: Collision Course",1.05e+08,64063008,403092412,"20th Century Fox","PG","Adventure"
"230","4/27/2001","Town & Country",1.05e+08,6712451,10364769,"27.0","2001.0","Action"
"231","9/22/2017","Kingsman: The Golden Circle",1.04e+08,100234838,408822328,"20th Century Fox","R","Action"
"232","6/9/2000","Gone in 60 Seconds",103300000,101643008,232643008,"Walt Disney","PG-13","Action"
"233","5/5/2000","Gladiator",1.03e+08,187683805,457683805,"Sony Pictures","R","Action"
"234","5/5/2000","Gladiator",1.03e+08,187683805,457683805,"Dreamworks SKG","R","Action"
"235","5/23/2013","The Hangover 3",1.03e+08,112200072,362000072,"Warner Bros.","R","Comedy"
"236","3/9/2018","A Wrinkle in Time",1.03e+08,100478608,133401882,"Walt Disney","PG","Adventure"
"237","7/1/2009","Public Enemies",102500000,97104620,212282709,"Universal","R","Drama"
"238","11/17/2006","Casino Royale",1.02e+08,167365000,594420283,"Sony Pictures","PG-13","Action"
"239","11/17/2006","Casino Royale",1.02e+08,167365000,594420283,"28.0","1967.0","Action"
"240","11/17/2006","Casino Royale",1.02e+08,167365000,594420283,"Sony Pictures",NA,"Comedy"
"241","6/21/2002","Minority Report",1.02e+08,132024714,358824714,"20th Century Fox","PG-13","Action"
"242","10/26/2012","Cloud Atlas",1.02e+08,27108272,130673154,"Warner Bros.","R","Drama"
"243","7/2/1991","Terminator 2: Judgment Day",1e+08,203464105,515419827,"Sony Pictures","R","Action"
"244","6/16/1995","Batman Forever",1e+08,184031112,336529144,"Warner Bros.","PG-13","Action"
"245","7/27/2001","Planet of the Apes",1e+08,180011740,362211740,"8.0","1968.0","Action"
"246","7/27/2001","Planet of the Apes",1e+08,180011740,362211740,"20th Century Fox","PG-13","Adventure"
"247","11/19/2004","National Treasure",1e+08,173005002,331323410,"Walt Disney","PG","Adventure"
"248","10/5/2018","Venom",1e+08,171125095,461825095,"Sony Pictures","PG-13","Action"
"249","10/5/2018","Venom",1e+08,171125095,461825095,"16.0","2005.0","Action"
"250","10/5/2018","Venom",1e+08,171125095,461825095,"Paramount Pictures",NA,"Horror"
"251","10/5/2018","Venom",1e+08,171125095,461825095,"Miramax/Dimension","R","Horror"
"252","12/22/2010","Little Fockers",1e+08,148438600,310650574,"Universal","PG-13","Comedy"
"253","7/15/1994","True Lies",1e+08,146282411,365300000,"20th Century Fox","R","Action"
"254","11/2/2007","American Gangster",1e+08,130164645,267985456,"Universal","R","Drama"
"255","9/18/2009","Cloudy with a Chance of Meatballs",1e+08,124870275,236827677,"Sony Pictures","PG","Adventure"
"256","8/6/2010","The Other Guys",1e+08,119219978,170936470,"Sony Pictures","PG-13","Comedy"
"257","5/24/2013","Epic",1e+08,107518682,262794441,"20th Century Fox","PG","Adventure"
"258","6/21/1996","Eraser",1e+08,101295562,234400000,"Warner Bros.","R","Action"
"259","6/21/1996","The Hunchback of Notre Dame",1e+08,100138851,325500000,"Walt Disney","G","Adventure"
"260","6/21/1996","The Hunchback of Notre Dame",1e+08,100138851,325500000,"Universal","Not Rated","Drama"
"261","6/21/1996","The Hunchback of Notre Dame",1e+08,100138851,325500000,"RKO Radio Pictures","Not Rated","Horror"
"262","12/15/2000","The Emperor's New Groove",1e+08,89296573,169296573,"Walt Disney","G","Adventure"
"263","8/17/2012","The Expendables 2",1e+08,85028192,311979256,"Lionsgate","R","Action"
"264","10/16/2009","Where the Wild Things Are",1e+08,77233467,99123656,"Warner Bros.","PG","Adventure"
"265","12/15/2006","Eragon",1e+08,75030163,249488115,"20th Century Fox","PG","Adventure"
"266","7/25/2014","Hercules",1e+08,72688614,243388614,"Paramount Pictures","PG-13","Action"
"267","7/25/2014","Hercules",1e+08,72688614,243388614,"Cannon",NA,"Adventure"
"268","7/25/2014","Hercules",1e+08,72688614,243388614,"Walt Disney","G","Adventure"
"269","11/24/1999","End of Days",1e+08,66889043,212026975,"Universal","R","Action"
"270","6/11/2004","The Stepford Wives",1e+08,59475623,96221971,"Paramount Pictures","PG-13","Comedy"
"271","6/8/2007","Surf's Up",1e+08,58867694,145395745,"Sony Pictures","PG","Adventure"
"272","12/8/2006","Blood Diamond",1e+08,57377916,171377916,"Warner Bros.","R","Action"
"273","11/7/1997","Starship Troopers",1e+08,54768952,121100000,"Sony Pictures","R","Action"
"274","6/5/2009","Land of the Lost",1e+08,49438370,69548641,"5.0","2009.0","Action"
"275","6/5/2009","Land of the Lost",1e+08,49438370,69548641,"Universal","PG-13","Comedy"
"276","12/25/2003","Peter Pan",1e+08,48417850,95255485,"RKO Radio Pictures","PG","Adventure"
