observed,location_details,county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed
"Well it was a few weeks ago in Loudon, NH.  Me and my wife had just settled into a house nestled next to a farm.  It was night time no real overcast or anything.  From inside the house we heard what we thought was barking constantly.  We own several dogs so we were used to it.  this continued for about an hour or two then quieted down.  Later on that evening about 2am or so we heard the most bloodcurdling sound ever.  The only way i can describe it is like about 20 dogs all screaming and yaulping at once in a shrill chorused scream.  We haven't heard it again but it came from across the farmer's field in the woods across from The speedway.  I'd have to say the date was around January 10th or so.  We have heard other things too and seen plenty of deer...but never heading across the field.  We don't know what it was and did not see it at all.  We have seen shadows move down the dirt road we live on but figured it was just someone walking up the road. Maybe we're just paranoid...but i've lived in the woods here a long time and never heard anything like that before.",It happened in the woods across from the NH International Speedway in the areas between Loudon and Chichester or so...big patch of woods out there very rural all the way to winnepesaukee.,Merrimack County,New Hampshire,Winter,Report 1975: Couples hears late night scream in Loudon,43.28556,-71.46778,2001-01-10,1975.0,Class B,drtnjxyu8j,21.08,14.84,8.6,1.84,0.55,0.12,0.53,0.0001,1,snow,1011.39,Breezy in the morning and mostly cloudy overnight.,2,10,313,9.19
Having heard knocks and whoops between now and last spring I know we heard a scream/howl/whoop at 2 in the morning last night. My adult daughter and myself have also seen a Bigfoot crossing the road going down the side of our home. The whoop/scream last night was in our backyard. Wharton State forest is at our property line.,"We live in the woods with houses spattered down the street. Not very rural,  there is a state forest in back yard, with a creek running thru about 400 yards back. On a side note...we have NO skunks or rabbits now for about 5 years. None.",Camden County,New Jersey,Spring,,,,,51500.0,Class A,,,,,,,,,,,,,,,,,
Heard very loud screams. The screams were louder than anything I ever heard in my life. Did not sound like any animal or bird I ever heard anywhere. Every hair on my body was standing on end. I heard it walking around my tree stand less than fifty yards away. I thought it was a deer or my hunting partner coming over until it started screaming. I was in a climbing tree stand and opted to jump out rather than shimmy down because I didn't want to lower my bow to the ground. It followed me all the way out of the woods to the road I was parked on. When I came out on the road my hunting partner was standing on the roof of my car with his bow drawn back. He could not get into the car because I had the keys in my pocket.,,Burlington County,New Jersey,Fall,,,,,1429.0,Class B,,,,,,,,,,,,,,,,,
"Traveling south on interstate 25 on 12/24/1986. My wife and I both saw the bigfoot running across the hwy. I pulled over to shine my headlights on it. It had gone over an embankment. It must have squatted down because we never saw it again. The bigfoot was very tall, hairy, skinny, with long arms.","The bigfoot was headed west toward the Gila National Forest, and away from the Bosque del Apache National Wildlife Refuge.",Socorro County,New Mexico,Winter,Report 66089: Night time sighting on I-25 within Bosque del Apache National Wildlife Refuge,33.82819,-106.9285,1986-12-24,66089.0,Class A,9w5bqy1p3r,50.74,,,33.02,0.9,0.73,0.78,,,,1014.5,,3,,14,2.45
I live in Albuquerque New Mexico in the summer of 1998 during the September elk Hunt I had an experence while stalking for elk with a hunting buddy of mine I had the feeling something was near but could not tell what. I stopped and waited for a while but nothing when we started do walk again we heard a very loud and low growl and I mean a loud and low growl near by. I have been hunting far a long time now and have been in the wilderness since I was a boy and have never heard anything like this it scared my partner very much and since I was the only one armed with a firearm he did not leave my side for the rest of the day. I had an idea of what it was but kept it to myself and did not want to scare my friend more I told him it was just a bull in heat as their was cattle all through the area he kind of believed me when we got back to camp we kept the enconter to ourselves. A few other things happened that week the next day we found a bear hunting dog in camp he was very scared of something and very hungry we tried to get hold of him to check his collar but he would have nothing of it he would stay close to camp but not close enough to get him we finally had to leave him there. Also the next day I kept my eyes and ears open some of the elk rubs did not look right not till a couple of years later did I connect what I was seeing some of the them where tree twists not scrapes like an elk would do reading some books I have read say that sasquatch mark there territory this way. In 2000 I was deer hunting this time with most of the same people not in the same area while sitting around the fire I just happen to say something about bigfoot some of the people laughed but some did not so I took a chance and told them about 1998 hunting trip that night I found out the night before I got there the hunting party heard some loud screams and moans from the hill nearby it scarred them enough that they all armed themselves. Some of them to this day still do not believe but I have played a recording of sasquatch sounds for some of them and they say that was it. I know that New Mexico would not seem bigfoot country most people think of it as all desert but it is not we have one of the largest elk populations in the country and lately we are having more sittings where I herd the growl is not far from the Colorado border and two other sittings in southern NM near Ruidoso which has a large elk heard. I know what I heard and it was not anything I have heard before not a bear or big cat or a bull it almost sounded human and very powerfull it thrilled me and scare me but I know it is real and out there to think other wise would not be sensable.,Seven mile East of Cuba near the new baca ranch location,Sandoval County,New Mexico,Summer,,,,,5535.0,Class B,,,,,,,,,,,,,,,,,
"My wife and I were driving home from Denver, Colorado to Albuquerque, NM and stopped at a gas station in Las Vegas, NM (I believe it was a Philips 66) at approximately 0100 on 10/18/2013.  We pulled off of I-25 Southbound into the gas station parking lot.  When we were driving down the frontage road towards the gas station, we saw a few vehicles on the far end of the parking lot with 3-4 people talking and a NM State Police cruiser was leaving the lot, however, upon parking in front of the gas station, we discovered that it was closed.  I needed to pee rather urgently, so I ran around to the back of the station to find a dark place to do my business.  I walked about 15-20 meters behind the gas station to be out of sight of the occupied vehicles in the gas station lot.  As I was urinating I began to feel...uncomfortable.  I was peeing in open ground and initially thought somebody was walking up behind me (probably to do the same thing).  I craned a looked around and saw nobody and no animals; just a blanket feeling that somebody was very near me.  As I finished peeing, I turned and began briskly walking back towards our vehicle.  As I was hurrying back I turned to look behind me; and that is when I became a believer. Before I continue, I would like to preface my anecdote by alluding to my high-level of academic credentialing alongside my occupation as a healthcare executive.  I also provide executive and technical advise to elected and appointed officials; I have worked very hard to become an expert based on empirical analysis and studied fact.  I did not believe in Bigfoot, ghosts or another unexplained anomalies.  I believed in results, hard work and, well, results.  My perspective is now very different. As I turned and looked over my left shoulder, I saw an enormous, lurking animal.  The animal was crouched over, almost as if taking cover in the sparse and cold vegetation.  In fact, I think the creature watched me the whole time, and did not make so much as a noise.  However, the creature noticed when I saw it.  The creature stood up, and quickly lumbered into the dark away from the direction of the parking lot.  The one attribute of the creature that resounded with me was how heavy the footfall was.  It sounded like somebody dropping a sack of potatoes over and over again.  And it was fast.  I observed the creature for about 8-11 seconds, from the moment it realized I saw it, to watching the animal dart into the wood line.  Due to radiant light from the parking lot, I could make steady detail of the fleeing creature.  Here are the salient points from my memory (aside form the footfall): 1) The creature was approximately 8-10 feet tall.  I am 6""2 and this animal would have towered over me ( I observed it on flat land lending to my estimation). 2) The hair on the creature was matted, like dogs that live outside.  The coloration was dark brown. 3)  The creature had a defined gait.  It took strides that I would estimate to be 3-4 of my strides per 1 of it's strides. 4)  The creature had massive, human like hands. 5) The creature was very skittish, not moving until realizing I was observing it, lending to a higher intellect that a brown bear.  I believe the creature may have even fled in fear. 6)  I did not make eye contact, but noticed a massive brown and defined jaw and cranial structure. There is one other trait that I have since read about that may allude to this being a New Mexico Bigfoot.  The air was rank with what I thought was the dumpster behind the gas station.  However, this may be the ""musk"" eyewitnesses have reported in the past.  I cannot be sure, but it was very powerful, and somewhat reminiscent of what I perceived to be urine. This incident was fearful and moving.  I was unable to sleep for days and could not even bring myself to tell my wife until recently.  Due to my profession and reputation, I have extreme, extreme reluctance about openly sharing my encounter.  However, I have personal visual evidence of a so-called mythical beast, and I do not know what to do with it. Another fact: I have a concealed carry handgun license in the State of New Mexico and was carrying a 1911 .45 at the time of incident.  I was so scared that reaching for my weapon would have been an afterthought.  I was actually scared stiff.","It is the Southernmost gas station off of I-25 from Las Vegas, NM.  It is a large service center.",San Miguel County,New Mexico,Fall,"Report 43399: Scientist skeptic has early morning encounter behind gas station near Las Vegas, NM",35.52162,-105.2526,2013-10-18,43399.0,Class A,9wm4hft2kt,55.19,40.79,26.39,19.86,0.43,0.11,0.49,0,0,,1014.96,Overcast in the afternoon.,6,10,101,0.14
"My family would spend the summers in the mountains and help herd sheep. We had a cabin, corrals, tents, several other structures on the property and occasionally would have some weird experience with our animals. The dogs would bark at something unseen to us and the sheep would run away from something hidden in the forest, we would just feel like something was watching us from the shadows. It was near dusk and my family had just finished dinner and were socializing. I had been thumbing through a book when John, who I will call to respect his privacy, came running in the shade house we built next to the cabin crying and white as a sheet. He was always the macho type that showed no emotion so to see him this frightened alarmed my grandmother and my aunts and uncles to hurry out the front door. They stood at the threshold looking down in the direction of the well. I put the book down and walked to the door. They were all whispering in Navajo when I saw something down at the well. I first was excited because I thought it was a black bear. Then I noticed it was a grayish/brown color and was kneeling. I never heard of a bear that could kneel like a man. It looked as if it was washing something off or taking a drink. I had no problem with it until it looked over it's shoulder at us and I could see it's features. Manlike. That was all I needed to see. I ran into the cabin and hid in the bed under the covers. I was younger and to this day when I ask my mother about it she says that everyone else was in agreement that it was a Bigfoot. A few weeks later it was standing outside of our tent about 2 a.m. I saw the shadow on the tent, as for the dogs, they were not making a sound when typically when anything or anyone comes around they howl and bark.",Near mountain lake in the Chuska Mountains on the New Mexico/Arizona border. There is a road that runs the length of the mountain chain.,San Juan County,New Mexico,Summer,,,,,490.0,Class A,,,,,,,,,,,,,,,,,
"My encounter with ???????? The area and time: My encounter occurred during the November rifle deer hunt of 1982.  I was 14 years old, hunting deer with my father, grandfather, neighbor, and his son (same age as me).  The area we were hunting is called Mud Springs in unit 5A.  It is approximately 20 miles NW of Lindrith NM.  The area we hunted is bordered on 3 sides by the Jicarilla Indian reservation. The terrain of the area is a long cliff bluff on the West that leads down to several hills, knolls, and small canyons that dump out into big open flat lands to the East and North.  There are several deep arroyos in the flat areas (10 to 20 ft deep) that are not visible from the dirt roads that access the area. The Eastern border of our hunting area is a group of gradual slopping mountains.  The best way for me to describe the area is like a huge box canyon (2 miles wide, 5 miles long) with the cliff bluff as the Eastern border, and the gradual mountains as the Western border.  The flats dump out and slope downward to the North. There is pretty much only one way in; a dirt road that comes in from the highway (595) from the Northeast.  There are several natural gas pumps (look like oil wells) that run 24/7, and a quiet “thump, thump” can be heard pretty much any where you are on the flats from the pumps. The vegetation consists of Sage brush (4 to 5 feet tall) on the flats, juniper trees on the hills and knolls, to Ponderosas on the top of the cliff and mountain tops.  We have seen deer, elk, bear, coyotes, squirrels, rabbits, and a few mountain lions in the area.  My father and Grandfather hunted the area since the late 60’s. The story: (forgive the over-explaining, trying to get all important details down) It was late afternoon, my Grandfather and I returned to the camper by truck from hunting a nearby knoll that over-looked a water hole.  The camper (in-bed cab over camper) was parked in an opening on the Southern end of the box canyon with the cliffs to the West of it. The camper/truck was in a spot where the nearest trees were 60 to 80 feet away on the North, West, and South sides of camp, The East side of camp faced the flats and the road.  We were back a bit early (we usually stayed out till dark) because we had not seen a thing all day or the day before.  We did not expect my father, neighbor, or his son back until after dark.  It was cold (November), so my grandfather and I stayed inside the camper. About a half hour after arriving, my grandfather started dinner so it would be ready when everyone else got back.  Important note:  My neighbor and his son had their own camper they were staying in parked perpendicular to ours.  The back doors faced the center of camp where the fire pit was.  My grandfather’s truck was parked hood to hood with my dad’s which had the camper on it.  The tailgate of my grandfather’s truck was facing the flats to the NE. and the camper’s back door was facing SW.  The hood of my neighbor’s truck was facing SE. (I wish I could submit a diagram of the scenario). Right around dusk there was a loud bang on the side of the camper, I thought it was my dad, so I opened the back door of the camper and stepped down (I was young, and excited, hoping someone had seen or shot a deer).  There was no one around.  I was not scared, but thought my dad or neighbor’s son was messing around with us.  I walked around all of the trucks, thinking he or they were hiding, not the case.  We never took truck or camper keys out in the field hunting and kept them locked-up while we were gone.  We hid the keys under a rock so whoever got back to camp first was able to get into the campers or truck.  My neighbor’s camper was still locked-up.  I did not get the keys and check if they were inside, just assumed they were not.  I went back inside our camper; my grandfather (busy cooking hamburger helper) asked where they were.  I told him I didn’t know.  He squeezed past me (I was in between the door and him) and opened the door and started yelling at my dad.  Something like “come on you f***ers, dinner is almost done!”.  I don’t remember the exact dialogue but it was in a raised voice, and my father was known for messing around with my grandfather especially when my dad and neighbor where together (big jokers that brought the best out of each other).  My grandfather was easily irritated by their antics.  No one answered my grandfather’s ranting, he did not step out of the camper, but slammed the door shut, cussing under his breath.  We sat there knowing they would be opening the door any minute; my grandfather was scooping out dinner and putting it on paper plates. We sat there waiting for them for over an hour, it was well past dark when I heard them coming up the road to camp.  They were walking brisk, talking, not worried about making noise as hunting hours were long over; my father was smoking a cigarette.  My neighbor and his son got their keys and went inside their camper to put away their riffles and change clothes.  My dad walked up to me and asked if we had seen anything (I was next to the truck door, were he was laying his riffle down on the seat).  I told him no and then asked him where he went.  He pointed towards the mountains to the East and said we were hunting up there.  I said “no, where did you go after you came back here”, he looked at me puzzled and said “we just got here”.  I blew it off, and went back inside following him.  My grandfather was irritated still and was chewing him out for messing with us (I don’t remember the exact dialogue). Since I had already eaten(and there is not much room is a camper), I climbed up on the cab-over bed and laid on my stomach, watching and listening to my grandfather and father bicker about the banging incident.  The argument stopped when my neighbor and son came in.  The son got up on the cab-over bed with me and ate his cold dinner (we were propped up on our elbows facing the adults who were sitting at the small table eating dinner.  The banging incident did not get mentioned again (I don’t think my neighbor or his son knew anything or heard anything about it). After they were done eating, discussion among the three adults was centered on whether we should stay another day, or leave in the morning and get back home (it was a terrible hunt, we had not seen any deer).  My neighbor’s son and I wanted to make a camp fire, but were told not too because it was too cold outside, it was late, and we might leave in the morning and did not want to leave a smoldering fire. All of a sudden, the “banging” (2 distinct hard bangs) on the side of the camper happened again.  All five of us were in the camper, and the bangs were definitely on the side of the camper.  It was like someone knocking , except it was more violent (like cops banging on a door before they break it in, it could not have been something falling on the roof, or someone throwing something at the side of the camper).  Startled, my dad who was closest to the door grabbed his .357 mag that was in a drawer adjacent to the door and flung it open.  He waited for about 3 seconds, and then stepped out.  There was no one there.  If it was a gentle knock, he wouldn’t have grabbed the gun right away; he would have opened the door to see who was out there.  Whoever banged on the camper would have had to clear 60 feet of open ground very quickly to get to the nearest tree line.  I don’t remember if it was a full moon, but it was bright enough to see a silhouette if there was one. By then, my neighbor was up and out the door behind my father.  He went into his camper and got his pistol.  My grandfather went out also, but did not have a weapon.  I suppose my father thought someone was stalking our camp on foot (if a vehicle pulled up, we would have heard it and seen head lights long before it got to camp).  He started talking loudly (like he was speaking to an audience, not yelling), warning whoever was out there that we were hunters with guns.  He got no reply.  My father is a rational man, and is not quick to jump to the defensive; he did this time, so I knew something was wrong.  The neighbor’s son and I stayed in the camper.  After the adults walked around camp for about 5 minutes, my grandfather started a camp fire.  They stood out there for about 10 minutes talking quietly about what had happened.  They came to the conclusion that it must have been a drunken hunter or something, so they were going to stay out there for awhile to “ward-off” whoever was messing around. My neighbor’s son and I went out, and all five of us sat around the fire only whispering.  Nothing happened for about an hour, so everyone eased up and we started talking normal.  I guess it was probably 8 or 9 o’clock at night when my father told us all to shut up.  We all did and looked at him.  He asked if we “heard that” about the time my neighbor said “heard what?”  We all heard a screaming, moaning noise.  There was about 10 seconds of silence, and we heard it again.  It went on for about 15 minutes before my father, armed with his pistol, walked out of camp into the direction of the mountains to the east.  Camp was situated towards the end of the “box canyon” so it was difficult to judge how far away, or which direction the screams were coming from.  I followed my dad for about 100 yards down the road into the flat land.  We stopped and stood in silence until we heard it again.  As best we could tell it was coming from the tree line approximately 300 yards to the east across an arroyo at the foothills of the mountains.  The screams came almost on a regular interval 15 to 30 seconds apart.  It almost sounded like it was coming from multiple locations but it was difficult to tell because of echoing.  We did not hear rustling or footsteps.  But it was bright enough to see.  If anything was moving in the open we would have been able to make it out, we saw nothing. My dad decided to head in the direction we thought the screams were coming from.  I stayed and watched him.  He went across the arroyo and emerged about 50 yards from the edge of the tree line.  By then, the screams ceased.  I think whatever it was heard my dad coming (he was walking through sage brush with no flash light).  My father started heading south paralleling the tree line until I lost sight of him.  I was starting to get more spooked than I was when I heard the screams, I guess because when the screams were happening I could tell that they were fairly far away, now I did not know where or how far away “it” or “they” were.  I walked quickly back to camp.  My dad returned about 45 minutes later and reported that he did not see anything. We all stood around the fire for about an hour talking about the screams and everyone came to the same conclusion that it was not elk, coyotes, or any other animal we all were very familiar with in the woods of New Mexico.  The rest of the night was un-eventful.  We all spent the next day hunting the area were we thought the screams came from, but no one saw anything out of the ordinary.  My grandfather hunted the roads out of his truck (he could not hike around the mountains like the rest of us because of his age).  There were no other hunters or camps in the area. We packed up and went home that afternoon. About a month or so later, my dad and I were watching “In search of” with Leonard Nemoy.  They played some recordings of what were believed to be big foot.  It sent chills down my spine, I looked at my father, and it’s like he just saw a ghost, they were the same screams we heard on the hunt, the same recordings I heard on the BFRO website which has prompted me to write this. We returned to that area again the next year and did hear the screams again, but they were much further away.  Since then we only hunted the area 2 more years because the State of New Mexico shut the entire area down to hunters because of poaching, and the death of a rancher who tried stopping a poacher.  The last time we were there, the forest service had gone in and thinned out a lot of the wooded areas (late 80’s, early 90’s), and the natural gas pumps were not running.  The area is now open for hunting, but by lottery draw only.  We now hunt in the Gila. I cannot tell anyone that it was big foot because we did not see anything.  But what we heard was not any animal that we are familiar with.  I believe it is completely possible that big foot exists, and I think as our forests get smaller due to development, highways, homes, etc, we will eventually find one dead or alive.  I think big foot is a timid, shy creature that is very good at concealing itself, and there is probably very small numbers of them.  It took the producers of the show Planet Earth on Discovery channel 3 years to film 20 minutes worth of the only video images in existence of snow leopards in the wild.  It stands to reason that it would be harder to video a creature who’s numbers are probably much smaller than the leopards.  Also, I think that the big foot is much more intelligent than the leopard. Again, I apologize for the length of this report; I wanted as many details as possible to come out.  I am not looking for anything out of this, except that I would like a professional’s opinion of what we encountered, and would like to know of any other reported instances in the same area/time–frame.  Also, I would be glad to show someone the area this happened at.  My grandfather passed many years ago, but my father will tell you the same story I just told, my neighbor and his son probably would also, but we lost contact quite awhile ago.","Game unit 5A, would have to draw map to give directions (see report above)",Rio Arriba County,New Mexico,Fall,Report 20011: Hunters experience powerfull knocks on camper and hear vocalizations outside Jicarilla Indian Reservation,36.4178,-107.1612,1982-01-11,20011.0,Class B,9w7z1mxt51,,,,,,,,,,,,,,,,
"I believe it was 1976 when I and a couple of cousins (primos), were deer hunting in Otero county between the area of Weed and Pinon, New Mexico in Otero county. I am a loner by nature, so I  went off to do my own hunting. They went a different direction. As I climed the side of a mountain side I spotted some turkeys running up hill, so I gave chase so to speak. As I got to the top, I started going down the other side, it was very thick with pinon trees. As I went further down I saw a small meadow in the arroyo.  I was on my knees because of all the thick trees. Anyway as I sat there, tired of walking, I was looking towards the meadow, and from the left side of the meadow I saw something walk out from the tree line, and up the edge, and back into the tree line. It never saw me and I did not stick around for it to see me. What I saw was tall, maybe six and a half to seven feet tall, black long hair all over its body, and walked like a man. It was heavy set and appeared muscular. Its face was also covered with hair. I did not tell anybody about it until a few years ago, when I mentioned it to my grand kids. They laugh about it, so I do not tell it anymore.  But I know what I saw and I would not shoot at it if ever I see another one.  I had a 300 B.D.L. Remington with me at the time, but I didn't even rasied my gun at it.","Mountains, with deep forest, mostly pine trees.  It was during deer hunting season.  As far as directions, that's hard to remember, because I never went back to it. It was a long time ago. I was a young man then.",Otero County,New Mexico,Fall,,,,,8417.0,Class A,,,,,,,,,,,,,,,,,
"I work for (removed at request of witness). The headquarters dispatcher reported some customers were without water in the Rocksprings community. I responded and went up to the storage tank site which is located approximately 1 1/2 miles Northwest of the Sagebrush Bar. I checked the tank level and found them to be empty so I proceeded back towards Highway 264, the road to the tanksite is a dirt road. I was about 150 yards from the highway, the only light was from my unit's headlights shining straight down the road. My mind was traveling around the water system thinking about the scenarios that would be causing this water outage.About 20 yards from the truck I saw something walk out from behind a Juniper tree that is located on the west side of the dirt road. Right when it stepped out into the lights of the truck, it hesitated and it looked towards me,I stopped the truck at that moment. It then started to walk faster, picked up it's stride a little more. It took about 4 steps walking across that road, it did not cross the road in a straight manner, it crossed at an angle on the road and walked behind another Juniper tree that is located on the East side of the dirt road. I had stopped the truck as soon as it had stepped out onto the road, my visual contact time with what I now refer to as ""the Creature"" was about 15 seconds. I waited there to see if it would come back out or if I could see any type of movement, I did not see any. I sat there for awhile thinking,what did I just see ? My mind went through an elimination process, I thought, that was not a horse, a cow, a deer or an elk, 4 of the large animals that are prevalent in this area. The creature had a shiny brown hairy coat, it was approximately 7 feet tall, it's face was like a monkey's and the eyes were big and black, like a big teardrop shape. it's head was small and it came to a long point towards the back. The torso was skinny, narrow shoulders, the arms and legs were about 3to 4 inches in diameter, it had elbows and knees but I did not see any hands, fingers or a type of foot or toe structure. The hand and foot area were just rounded off, like nubbed. The only closest description would be like the way an amputee's arm or leg might look, rounded off.It took about 4 steps for it to cross the road,it's gait was long. I sat there about 30 seconds wondering if I should start driving forward towards the highway or turn around and use the other turnoff further west. Also at that time, a chill came over me and I hurriedly locked both doors, I did not even want to look out towared my side window because a fear had come aver me at that point. I just revved the engine and drove fast towards the highway. I drove fast down to the pumphouse and found the problem, it was a power outage to the wellsite. I had to go back to Ft. Defiance to pick up some fuses, I did not want to go back out to the area alone, so I had the dispatcher contact the Electric Line standby and I went back to the well along with him and  I got the well back in service. The next day, my co-worker and I went back to the site and found the footprints, he had a digital camera and he took some photos of the footprints. The footprints were about 4 to 5 ft apart, we tracked it to the East into the brush area. That night I went home and drew what I had seen and told my children of the incident.",,McKinley County,New Mexico,Fall,Report 10266: Witness sees unknown animal cross dirt road near New Mexico State Route 264,35.63736,-108.8676,2002-09-17,10266.0,Class A,9w6ddxt49j,74.6,64.69999999999999,54.8,39.32,0.44,0.41,0.38,,,rain,1005.9,Mostly cloudy in the morning and breezy until evening.,8,9.79,232,12.65
