broad_field,major_field,field,year,n_phds
Life sciences,Biological and biomedical sciences,Developmental biology and embryology,2008,185
Life sciences,Biological and biomedical sciences,Ecology,2008,439
Life sciences,Biological and biomedical sciences,Endocrinology,2008,22
Life sciences,Biological and biomedical sciences,Entomology,2008,119
Life sciences,Biological and biomedical sciences,Environmental toxicologyc,2008,NA
Life sciences,Biological and biomedical sciences,Epidemiology,2008,305
Life sciences,Biological and biomedical sciences,Evolutionary biology,2008,178
Life sciences,Biological and biomedical sciences,"Genetics, genomics, human and animal",2008,413
Life sciences,Biological and biomedical sciences,Immunology,2008,424
Life sciences,Biological and biomedical sciences,Microbiology,2008,538
Life sciences,Biological and biomedical sciences,Molecular biology,2008,786
Life sciences,Biological and biomedical sciences,Molecular medicine,2008,NA
Life sciences,Biological and biomedical sciences,"Neurosciences, neurobiologye",2008,883
Life sciences,Biological and biomedical sciences,Nutrition sciences,2008,176
Life sciences,Biological and biomedical sciences,Parasitology,2008,23
Life sciences,Biological and biomedical sciences,"Pathology, human and animal",2008,105
Life sciences,Biological and biomedical sciences,"Pharmacology, human and animal",2008,281
Life sciences,Biological and biomedical sciences,"Physiology, human and animal",2008,241
Life sciences,Biological and biomedical sciences,Plant genetics,2008,47
Life sciences,Biological and biomedical sciences,Plant pathology and phytopathology (biological sciences),2008,29
Life sciences,Biological and biomedical sciences,Plant physiology,2008,26
Life sciences,Biological and biomedical sciences,Structural biology,2008,NA
Life sciences,Biological and biomedical sciences,Toxicology,2008,137
Life sciences,Biological and biomedical sciences,Virology,2008,NA
Life sciences,Biological and biomedical sciences,Wildlife biology,2008,NA
Life sciences,Biological and biomedical sciences,Zoology,2008,61
Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, general",2008,150
Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, other",2008,82
Life sciences,Health sciences,Environmental health,2008,69
Life sciences,Health sciences,Environmental toxicologyc,2008,43
Life sciences,Health sciences,Gerontology (health sciences),2008,NA
Life sciences,Health sciences,Health and behavior,2008,NA
Life sciences,Health sciences,Health services research,2008,NA
Life sciences,Health sciences,Health systems administration,2008,70
Life sciences,Health sciences,"Kinesiology, exercise sciencef",2008,212
Life sciences,Health sciences,"Medical physics, radiological science",2008,NA
Life sciences,Health sciences,Nursing science,2008,504
Life sciences,Health sciences,"Oral biology, oral pathology",2008,NA
Life sciences,Health sciences,Pharmaceutical sciencesg,2008,277
Life sciences,Health sciences,Public health,2008,229
Life sciences,Health sciences,"Rehabilitation, therapeutic services",2008,89
Life sciences,Health sciences,Speech-language pathology and audiology,2008,112
Life sciences,Health sciences,Veterinary sciences,2008,54
Life sciences,Health sciences,"Health sciences, general",2008,31
Life sciences,Health sciences,"Health sciences, other",2008,96
Life sciences,Chemistry,Analytical chemistry,2008,371
Life sciences,Chemistry,Chemical biology,2008,NA
Life sciences,Chemistry,Inorganic chemistry,2008,301
Life sciences,Chemistry,Medicinal chemistryh,2008,NA
Life sciences,Chemistry,Organic chemistry,2008,640
Life sciences,Chemistry,Physical chemistry,2008,331
Life sciences,Chemistry,Polymer chemistry,2008,106
Life sciences,Chemistry,Theoretical chemistry,2008,80
Life sciences,Chemistry,"Chemistry, general",2008,271
Life sciences,Chemistry,"Chemistry, other",2008,146
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,2008,188
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric chemistry and climatology,2008,49
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric physics and dynamics,2008,59
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Meteorology,2008,23
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Atmospheric science and meteorology, general",2008,40
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Atmospheric science and meteorology, other",2008,17
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,2008,458
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geochemistry,2008,78
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geology,2008,141
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Geomorphology, glacial geology",2008,12
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geophysics and seismology,2008,116
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Mineralogy and petrology,2008,16
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Paleontology,2008,26
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Stratigraphy and sedimentation,2008,10
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Geological and earth sciences, general",2008,25
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Geological and earth sciences, other",2008,34
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,2008,219
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Hydrology and water resources,2008,45
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Marine biology and biological oceanography,2008,NA
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Marine sciences,2008,75
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Oceanography, chemical and physical",2008,83
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Ocean and marine sciences, other",2008,16
Life sciences,Physics and astronomy,Astronomy and astrophysics,2008,249
Life sciences,Physics and astronomy,Astronomy,2008,101
Life sciences,Physics and astronomy,Astrophysics,2008,148
Life sciences,Physics and astronomy,"Astronomy and astrophysics, other",2008,NA
Life sciences,Physics and astronomy,Physics,2008,1586
Life sciences,Physics and astronomy,Acoustics,2008,15
Life sciences,Physics and astronomy,Applied physics,2008,137
Life sciences,Physics and astronomy,"Atomic, molecular, chemical physics",2008,119
Life sciences,Physics and astronomy,Biophysics (physics),2008,119
Life sciences,Physics and astronomy,"Condensed matter, low-temperature physics",2008,397
Life sciences,Physics and astronomy,Elementary particle physics,2008,210
Life sciences,Physics and astronomy,Nuclear physics,2008,62
Life sciences,Physics and astronomy,"Optics, photonics",2008,148
Life sciences,Physics and astronomy,"Plasma, high-temperature physics",2008,59
Life sciences,Physics and astronomy,Polymer physics,2008,43
Life sciences,Physics and astronomy,"Physics, general",2008,159
Life sciences,Physics and astronomy,"Physics, other",2008,118
Mathematics and computer sciences,Computer and information sciences,Computer science,2008,1499
Mathematics and computer sciences,Computer and information sciences,"Information science, systems",2008,181
Mathematics and computer sciences,Computer and information sciences,"Computer and information sciences, general",2008,NA
Mathematics and computer sciences,Computer and information sciences,"Computer and information sciences, other",2008,107
Mathematics and computer sciences,Mathematics and statistics,Algebra,2008,124
Mathematics and computer sciences,Mathematics and statistics,Analysis and functional analysis,2008,112
Mathematics and computer sciences,Mathematics and statistics,Applied mathematics,2008,360
Mathematics and computer sciences,Mathematics and statistics,Computing theory and practice,2008,26
Mathematics and computer sciences,Mathematics and statistics,"Geometry, geometric analysis",2008,100
Mathematics and computer sciences,Mathematics and statistics,Logic,2008,25
Mathematics and computer sciences,Mathematics and statistics,Number theory,2008,62
Mathematics and computer sciences,Mathematics and statistics,Operations research (mathematics),2008,27
Mathematics and computer sciences,Mathematics and statistics,Statistics (mathematics),2008,303
Mathematics and computer sciences,Mathematics and statistics,Topology and foundations,2008,58
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, general",2008,140
Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, other",2008,63
Psychology and social sciences,Psychology,Behavioral analysis,2008,NA
Psychology and social sciences,Psychology,Clinical psychology,2008,1142
Psychology and social sciences,Psychology,Cognitive neuroscience,2008,NA
Psychology and social sciences,Psychology,Cognitive psychology and psycholinguistics,2008,181
Psychology and social sciences,Psychology,Community psychology,2008,NA
Psychology and social sciences,Psychology,Comparative psychology,2008,9
Psychology and social sciences,Psychology,Counseling,2008,422
Psychology and social sciences,Psychology,Developmental and child psychology,2008,197
Psychology and social sciences,Psychology,Educational psychology (psychology),2008,69
Psychology and social sciences,Psychology,Experimental psychology,2008,137
Psychology and social sciences,Psychology,Family psychology,2008,42
Psychology and social sciences,Psychology,"Health, medical psychology",2008,NA
Psychology and social sciences,Psychology,Human development and family studies,2008,121
Psychology and social sciences,Psychology,Industrial and organizational psychology,2008,215
Psychology and social sciences,Psychology,"Marriage and family therapy, counseling",2008,NA
Psychology and social sciences,Psychology,"Neuropsychology, physiological psychologyi",2008,81
Psychology and social sciences,Psychology,Personality psychology,2008,18
Psychology and social sciences,Psychology,Psychometrics and quantitative psychology,2008,23
Psychology and social sciences,Psychology,School psychology (psychology),2008,132
Psychology and social sciences,Psychology,Social psychology,2008,204
Psychology and social sciences,Psychology,"Psychology, general",2008,198
Psychology and social sciences,Psychology,"Psychology, other",2008,166
Psychology and social sciences,Psychology,Social sciences,2008,4278
Psychology and social sciences,Anthropology,"Anthropology, cultural",2008,NA
Psychology and social sciences,Anthropology,"Anthropology, generalj",2008,483
Psychology and social sciences,Anthropology,"Anthropology, physical and biological",2008,NA
Psychology and social sciences,Economics,Econometrics,2008,36
Psychology and social sciences,Economics,Natural resources and environmental economics (social sciences),2008,NA
Psychology and social sciences,Economics,Other economics,2008,1055
Psychology and social sciences,Other social sciences,"American, U.S. studies",2008,121
Psychology and social sciences,Other social sciences,Applied linguistics,2008,NA
Psychology and social sciences,Other social sciences,"Area, ethnic, cultural studiesk",2008,114
Psychology and social sciences,Other social sciences,Criminal justice and corrections,2008,74
Psychology and social sciences,Other social sciences,Criminology,2008,54
Psychology and social sciences,Other social sciences,Demography and population studies,2008,23
Psychology and social sciences,Other social sciences,Gender and women's studies,2008,NA
Psychology and social sciences,Other social sciences,Geography,2008,249
Psychology and social sciences,Other social sciences,Gerontology (social sciences),2008,NA
Psychology and social sciences,Other social sciences,Health policy analysis,2008,NA
Psychology and social sciences,Other social sciences,"International relations, international affairs",2008,82
Psychology and social sciences,Other social sciences,Linguistics,2008,254
Psychology and social sciences,Other social sciences,Public policy analysis,2008,196
Psychology and social sciences,Other social sciences,Statistics (social sciences),2008,20
Psychology and social sciences,Other social sciences,"Urban, city, community and regional planning",2008,116
Psychology and social sciences,Other social sciences,"Urban studies, affairs",2008,28
Psychology and social sciences,Other social sciences,"Social sciences, general",2008,37
Psychology and social sciences,Other social sciences,"Social sciences, other",2008,107
Engineering,Other engineering,Agricultural engineering,2008,61
Engineering,Other engineering,Ceramic sciences engineering,2008,7
Engineering,Other engineering,Communications engineering,2008,26
Engineering,Other engineering,Computer engineering,2008,386
Engineering,Other engineering,"Engineering management, administration",2008,39
Engineering,Other engineering,Engineering mechanics,2008,60
Engineering,Other engineering,Engineering physics,2008,26
Engineering,Other engineering,Engineering science,2008,35
Engineering,Other engineering,"Environmental, environmental health engineeringl",2008,153
Engineering,Other engineering,Geotechnical and geoenvironmental engineering,2008,NA
Engineering,Other engineering,Metallurgical engineering,2008,22
Engineering,Other engineering,Mining and mineral engineering,2008,13
Engineering,Other engineering,Nuclear engineering,2008,99
Engineering,Other engineering,Ocean engineering,2008,25
Engineering,Other engineering,Operations research (engineering),2008,80
Engineering,Other engineering,Petroleum engineering,2008,44
Engineering,Other engineering,"Polymer, plastics engineering",2008,49
Engineering,Other engineering,Robotics,2008,NA
Engineering,Other engineering,Structural engineering,2008,NA
Engineering,Other engineering,Systems engineering,2008,80
Engineering,Other engineering,Transportation and highway engineering,2008,NA
Engineering,Other engineering,"Engineering, general",2008,43
Engineering,Other engineering,"Engineering, other",2008,116
Education,Education administration,Educational administration and supervision,2008,665
Education,Education administration,"Educational and human resource studies, development",2008,NA
Education,Education administration,Educational leadership,2008,1573
Education,Education administration,Urban education and leadership,2008,NA
Education,Education research,"Counseling education, counseling and guidance",2008,208
Education,Education research,Curriculum and instruction,2008,744
Education,Education research,Educational and instructional media design,2008,177
Education,Education research,Educational and instructional technology,2008,NA
Education,Education research,"Educational assessment, testing, measurement",2008,73
Education,Education research,Educational policy analysis,2008,NA
Education,Education research,Educational psychology (education),2008,306
Education,Education research,"Educational statistics, research methods",2008,66
Education,Education research,Higher education evaluation and research,2008,578
Education,Education research,International education,2008,NA
Education,Education research,School psychology (education),2008,103
Education,Education research,Social and philosophical foundations of education,2008,122
Education,Education research,Special education,2008,263
Education,Teacher education,Adult and continuing teacher education,2008,118
Education,Teacher education,Elementary teacher education,2008,63
Education,Teacher education,"Pre-elementary, early childhood teacher education",2008,60
Education,Teacher education,Secondary teacher education,2008,33
Education,Teaching fields,Agricultural education,2008,33
Education,Teaching fields,Art education,2008,44
Education,Teaching fields,Bilingual and multilingual education,2008,NA
Education,Teaching fields,Business education,2008,14
Education,Teaching fields,English as a second or foreign language,2008,NA
Education,Teaching fields,English education,2008,71
Education,Teaching fields,"Family, consumer, and human sciences",2008,31
Education,Teaching fields,Foreign languages education,2008,68
Education,Teaching fields,Health education,2008,61
Education,Teaching fields,Literacy and reading educationm,2008,121
Education,Teaching fields,Mathematics education,2008,127
Education,Teaching fields,Music education,2008,76
Education,Teaching fields,Nursing education,2008,23
Education,Teaching fields,Physical education and coaching,2008,50
Education,Teaching fields,Science education,2008,94
Education,Teaching fields,Social science education,2008,22
Education,Teaching fields,"Teacher education and professional development, othern",2008,64
Education,Teaching fields,Trade and industrial education,2008,13
Education,Other education,Workforce education and development,2008,NA
Education,Other education,"Education, general",2008,239
Education,Other education,"Education, other",2008,258
Humanities and arts,Foreign languages and literature,Arabic language and literature,2008,7
Humanities and arts,Foreign languages and literature,Chinese language and literature,2008,22
Humanities and arts,Foreign languages and literature,French language and literature,2008,120
Humanities and arts,Foreign languages and literature,Germanic language and literature,2008,80
Humanities and arts,Foreign languages and literature,Italian language and literature,2008,31
Humanities and arts,Foreign languages and literature,Japanese language and literature,2008,17
Humanities and arts,Foreign languages and literature,Latin American languages and literature,2008,NA
Humanities and arts,Foreign languages and literature,Russian language and literature,2008,27
Humanities and arts,Foreign languages and literature,Slavic (other than Russian),2008,2
Humanities and arts,Foreign languages and literature,Spanish language and literature,2008,244
Humanities and arts,Foreign languages and literature,"Foreign languages and literatures, other",2008,77
Humanities and arts,History,African history,2008,22
Humanities and arts,History,"American history, United States and Canada",2008,384
Humanities and arts,History,Asian history,2008,74
Humanities and arts,History,European history,2008,196
Humanities and arts,History,"History, science and technology and society",2008,48
Humanities and arts,History,Latin American history,2008,62
Humanities and arts,History,"Middle, Near East history",2008,59
Humanities and arts,History,"History, general",2008,64
Humanities and arts,History,"History, other",2008,62
Humanities and arts,Letters,"American literature, United States and Canada",2008,338
Humanities and arts,Letters,Classics,2008,72
Humanities and arts,Letters,Comparative literature,2008,166
Humanities and arts,Letters,Creative writing,2008,73
Humanities and arts,Letters,English language,2008,156
Humanities and arts,Letters,"English literature, British and Commonwealth",2008,397
Humanities and arts,Letters,Folklore,2008,13
Humanities and arts,Letters,Rhetoric and composition,2008,NA
Humanities and arts,Letters,Speech and rhetorical studies,2008,126
Humanities and arts,Letters,"Letters, general",2008,34
Humanities and arts,Letters,"Letters, other",2008,45
Humanities and arts,Other humanities and arts,Archaeology (humanities),2008,47
Humanities and arts,Other humanities and arts,"Art history, criticism, and conservation",2008,208
Humanities and arts,Other humanities and arts,"Bible, biblical studies",2008,79
Humanities and arts,Other humanities and arts,Dance,2008,NA
Humanities and arts,Other humanities and arts,"Drama, theater arts",2008,83
Humanities and arts,Other humanities and arts,Ethics,2008,NA
Humanities and arts,Other humanities and arts,"Film, cinema, video studies",2008,NA
Humanities and arts,Other humanities and arts,"Jewish, Judaic studies",2008,NA
Humanities and arts,Other humanities and arts,Music,2008,67
Humanities and arts,Other humanities and arts,Musicology and ethnomusicology,2008,106
Humanities and arts,Other humanities and arts,Music performance,2008,60
Humanities and arts,Other humanities and arts,Music theory and composition,2008,90
Humanities and arts,Other humanities and arts,"Music, other",2008,17
Humanities and arts,Other humanities and arts,Philosophy,2008,400
Humanities and arts,Other humanities and arts,"Religion, religious studies",2008,333
Humanities and arts,Other humanities and arts,"Theology, religious education",2008,138
Humanities and arts,Other humanities and arts,"Humanities, general",2008,14
Humanities and arts,Other humanities and arts,"Humanities, other",2008,76
Other,Business management and administration,Accounting,2008,140
Other,Business management and administration,Banking/financial services,2008,4
Other,Business management and administration,Business administration and management,2008,204
Other,Business management and administration,"Business, managerial economics",2008,18
Other,Business management and administration,Finance,2008,241
Other,Business management and administration,"Hospitality, food service and tourism management",2008,NA
Other,Business management and administration,Human resources development,2008,65
Other,Business management and administration,"International business, trade, commerce",2008,31
Other,Business management and administration,"Management information systems, business statistics",2008,156
Other,Business management and administration,Marketing management and research,2008,190
Other,Business management and administration,Operations research (business),2008,78
Other,Business management and administration,Organizational behavior,2008,157
Other,Business management and administration,"Business management and administration, general",2008,60
Other,Business management and administration,"Business management and administration, other",2008,77
Other,Communication,Communication research,2008,104
Other,Communication,Communication theory,2008,32
Other,Communication,"Film, radio, TV and digital communication",2008,62
Other,Communication,"Mass communication, media studies",2008,175
Other,Communication,"Communication, general",2008,103
Other,Communication,"Communication, other",2008,81
Other,Non-S&E fields nec,Architecture and environmental design,2008,75
Other,Non-S&E fields nec,"Family, consumer sciences and human sciences",2008,58
Other,Non-S&E fields nec,Law,2008,88
Other,Non-S&E fields nec,Library science,2008,31
Other,Non-S&E fields nec,"Parks, sports, recreation, leisure and fitness",2008,76
Other,Non-S&E fields nec,Public administration,2008,114
Other,Non-S&E fields nec,Social work,2008,338
Other,Non-S&E fields nec,Other fields nec,2008,4
Life sciences,Agricultural sciences and natural resources,Agricultural economics,2009,116
Life sciences,Agricultural sciences and natural resources,Agricultural and horticultural plant breeding,2009,24
Life sciences,Agricultural sciences and natural resources,Agricultural animal breeding,2009,12
Life sciences,Agricultural sciences and natural resources,Agronomy and crop science,2009,77
Life sciences,Agricultural sciences and natural resources,Animal nutrition,2009,34
Life sciences,Agricultural sciences and natural resources,"Animal science, poultry or avian",2009,17
Life sciences,Agricultural sciences and natural resources,"Animal sciences, other",2009,74
Life sciences,Agricultural sciences and natural resources,Environmental science,2009,201
Life sciences,Agricultural sciences and natural resources,Fishing and fisheries sciences and management,2009,67
Life sciences,Agricultural sciences and natural resources,Food science,2009,110
Life sciences,Agricultural sciences and natural resources,"Food science and technology, other",2009,30
Life sciences,Agricultural sciences and natural resources,Forest sciences and biology,2009,43
Life sciences,Agricultural sciences and natural resources,"Forest management, forest resources management",2009,52
Life sciences,Agricultural sciences and natural resources,"Forestry, other",2009,26
Life sciences,Agricultural sciences and natural resources,Horticulture science,2009,55
Life sciences,Agricultural sciences and natural resources,Natural resource and environmental policy,2009,NA
Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,2009,84
Life sciences,Agricultural sciences and natural resources,Natural resources and environmental economics (agricultural sciences),2009,NA
Life sciences,Agricultural sciences and natural resources,"Plant pathology and phytopathology, agricultural",2009,61
Life sciences,Agricultural sciences and natural resources,"Plant sciences, other",2009,60
Life sciences,Agricultural sciences and natural resources,"Soil chemistry, microbiology",2009,18
Life sciences,Agricultural sciences and natural resources,"Soil sciences, other",2009,49
Life sciences,Agricultural sciences and natural resources,"Wildlife, range management",2009,34
Life sciences,Agricultural sciences and natural resources,"Wood science, pulp and paper technology",2009,17
Life sciences,Agricultural sciences and natural resources,"Agricultural sciences and natural resources, generala",2009,8
Life sciences,Agricultural sciences and natural resources,"Agricultural sciences and natural resources, otherb",2009,14
Life sciences,Biological and biomedical sciences,Anatomy,2009,15
Life sciences,Biological and biomedical sciences,Bacteriology,2009,20
Life sciences,Biological and biomedical sciences,Biochemistry (biological sciences),2009,858
Life sciences,Biological and biomedical sciences,Bioinformatics,2009,175
Life sciences,Biological and biomedical sciences,Biomedical sciences,2009,300
Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,2009,115
Life sciences,Biological and biomedical sciences,Biophysics (biological sciences),2009,195
Life sciences,Biological and biomedical sciences,Biotechnology,2009,26
Life sciences,Biological and biomedical sciences,Botany and plant biology,2009,113
Life sciences,Biological and biomedical sciences,Cancer biology,2009,273
Life sciences,Biological and biomedical sciences,"Cell, cellular biology, and histology",2009,354
Life sciences,Biological and biomedical sciences,Computational biology,2009,NA
Life sciences,Biological and biomedical sciences,Developmental biology and embryology,2009,185
Life sciences,Biological and biomedical sciences,Ecology,2009,456
Life sciences,Biological and biomedical sciences,Endocrinology,2009,33
Life sciences,Biological and biomedical sciences,Entomology,2009,131
Life sciences,Biological and biomedical sciences,Environmental toxicologyc,2009,NA
Life sciences,Biological and biomedical sciences,Epidemiology,2009,273
Life sciences,Biological and biomedical sciences,Evolutionary biology,2009,215
Life sciences,Biological and biomedical sciences,"Genetics, genomics, human and animal",2009,364
Life sciences,Biological and biomedical sciences,Immunology,2009,434
Life sciences,Biological and biomedical sciences,Microbiology,2009,586
Life sciences,Biological and biomedical sciences,Molecular biology,2009,763
Life sciences,Biological and biomedical sciences,Molecular medicine,2009,NA
Life sciences,Biological and biomedical sciences,"Neurosciences, neurobiologye",2009,983
Life sciences,Biological and biomedical sciences,Nutrition sciences,2009,174
Life sciences,Biological and biomedical sciences,Parasitology,2009,24
Life sciences,Biological and biomedical sciences,"Pathology, human and animal",2009,106
Life sciences,Biological and biomedical sciences,"Pharmacology, human and animal",2009,343
Life sciences,Biological and biomedical sciences,"Physiology, human and animal",2009,244
Life sciences,Biological and biomedical sciences,Plant genetics,2009,48
Life sciences,Biological and biomedical sciences,Plant pathology and phytopathology (biological sciences),2009,26
Life sciences,Biological and biomedical sciences,Plant physiology,2009,13
Life sciences,Biological and biomedical sciences,Structural biology,2009,NA
Life sciences,Biological and biomedical sciences,Toxicology,2009,120
Life sciences,Biological and biomedical sciences,Virology,2009,NA
Life sciences,Biological and biomedical sciences,Wildlife biology,2009,NA
Life sciences,Biological and biomedical sciences,Zoology,2009,79
Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, general",2009,173
Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, other",2009,81
Life sciences,Health sciences,Environmental health,2009,42
Life sciences,Health sciences,Environmental toxicologyc,2009,37
Life sciences,Health sciences,Gerontology (health sciences),2009,NA
Life sciences,Health sciences,Health and behavior,2009,NA
Life sciences,Health sciences,Health services research,2009,NA
Life sciences,Health sciences,Health systems administration,2009,70
Life sciences,Health sciences,"Kinesiology, exercise sciencef",2009,211
Life sciences,Health sciences,"Medical physics, radiological science",2009,NA
Life sciences,Health sciences,Nursing science,2009,511
Life sciences,Health sciences,"Oral biology, oral pathology",2009,NA
Life sciences,Health sciences,Pharmaceutical sciencesg,2009,277
Life sciences,Health sciences,Public health,2009,299
Life sciences,Health sciences,"Rehabilitation, therapeutic services",2009,80
Life sciences,Health sciences,Speech-language pathology and audiology,2009,121
Life sciences,Health sciences,Veterinary sciences,2009,60
Life sciences,Health sciences,"Health sciences, general",2009,35
Life sciences,Health sciences,"Health sciences, other",2009,79
Life sciences,Chemistry,Analytical chemistry,2009,364
Life sciences,Chemistry,Chemical biology,2009,NA
Life sciences,Chemistry,Inorganic chemistry,2009,331
Life sciences,Chemistry,Medicinal chemistryh,2009,NA
Life sciences,Chemistry,Organic chemistry,2009,684
Life sciences,Chemistry,Physical chemistry,2009,319
Life sciences,Chemistry,Polymer chemistry,2009,119
Life sciences,Chemistry,Theoretical chemistry,2009,86
Life sciences,Chemistry,"Chemistry, general",2009,298
Life sciences,Chemistry,"Chemistry, other",2009,190
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,2009,167
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric chemistry and climatology,2009,30
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric physics and dynamics,2009,43
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Meteorology,2009,14
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Atmospheric science and meteorology, general",2009,55
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Atmospheric science and meteorology, other",2009,25
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,2009,492
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geochemistry,2009,78
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geology,2009,140
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Geomorphology, glacial geology",2009,22
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geophysics and seismology,2009,102
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Mineralogy and petrology,2009,12
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Paleontology,2009,31
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Stratigraphy and sedimentation,2009,18
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Geological and earth sciences, general",2009,31
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences","Geological and earth sciences, other",2009,58
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,2009,218
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Hydrology and water resources,2009,38
Life sciences,"Geosciences, atmospheric sciences, and ocean sciences",Marine biology and biological oceanography,2009,NA
