current_up_to,region_id,iso3_code,total_members,deposits_ref,deposits_abstract,deposits_license,deposits_crossmark,deposits_updates,deposits_textmining,deposits_status_info,acknowledges_funding,deposits_funder_id,deposits_grant_id,deposits_orcid,deposits_orcid_for_authors,deposits_orcid_for_chairs,deposits_orcid_for_editors,deposits_orcid_for_translators,deposits_ror_id,deposits_ror_id_for_affiliations,deposits_ror_id_for_funders,deposits_ror_id_for_institutions
2026-04-30,ECS,CHE,161,47,132,65,7,3,53,0,23,20,0,91,89,0,32,1,15,13,1,5
2026-04-30,ECS,CYP,11,5,10,4,2,2,5,0,2,2,0,8,8,0,2,0,3,3,1,0
2026-04-30,ECS,CZE,131,65,99,56,7,4,41,0,16,12,0,88,87,0,16,0,22,22,3,2
2026-04-30,ECS,DEU,289,97,233,119,22,11,85,0,36,35,0,162,162,1,50,5,37,34,4,4
2026-04-30,ECS,DNK,27,10,21,11,3,1,8,0,4,5,0,17,17,0,4,0,1,1,0,0
2026-04-30,ECS,ESP,565,233,479,285,35,5,286,0,75,67,0,414,413,21,72,7,78,77,11,3
2026-04-30,ECS,EST,19,11,17,12,1,1,12,0,2,1,0,14,14,1,6,1,4,4,1,0
2026-04-30,ECS,FIN,150,9,147,96,1,1,129,0,10,10,0,121,121,0,9,1,5,5,1,0
2026-04-30,ECS,FRA,161,54,128,56,15,8,44,0,12,13,0,92,92,2,23,3,19,19,1,1
2026-04-30,ECS,FRO,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,ECS,GBR,732,256,558,275,74,41,247,1,85,81,1,409,407,2,67,6,73,72,6,7
2026-04-30,ECS,GEO,43,10,37,12,2,0,20,0,2,2,0,22,22,0,1,0,4,4,0,0
2026-04-30,ECS,GRC,46,8,35,11,2,2,8,0,2,1,0,20,20,0,2,0,2,2,0,0
2026-04-30,ECS,HRV,213,46,198,26,3,1,21,0,3,2,0,175,175,0,11,1,27,27,2,0
2026-04-30,ECS,HUN,332,77,294,91,2,2,132,0,6,6,0,171,170,0,22,8,8,8,1,1
2026-04-30,ECS,IRL,38,13,31,12,0,0,10,0,2,2,0,25,24,0,4,0,10,10,0,0
2026-04-30,ECS,ISL,7,1,6,3,1,0,3,0,0,0,0,4,4,0,1,0,1,1,0,0
2026-04-30,ECS,ITA,162,64,127,51,8,7,45,0,8,7,0,88,85,5,17,1,9,9,0,0
2026-04-30,ECS,KAZ,170,72,156,48,5,2,68,0,8,5,0,125,125,0,1,1,23,23,3,0
2026-04-30,ECS,KGZ,34,12,25,5,0,0,6,0,4,3,0,19,19,0,1,0,3,3,1,0
2026-04-30,ECS,LTU,50,24,43,25,9,3,26,0,4,4,0,34,33,1,7,2,12,12,0,0
2026-04-30,ECS,LUX,5,1,5,2,0,0,3,0,0,1,0,4,4,0,0,0,1,1,0,0
2026-04-30,ECS,LVA,15,8,13,9,1,0,7,0,1,1,0,11,11,4,4,1,3,3,0,0
2026-04-30,ECS,MCO,3,1,2,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
2026-04-30,ECS,MDA,47,25,38,17,0,0,4,0,0,0,0,30,30,0,3,0,5,5,0,0
2026-04-30,ECS,MKD,45,19,32,18,2,0,14,0,1,1,0,20,20,0,2,0,10,10,0,0
2026-04-30,ECS,MNE,13,6,12,4,0,0,4,0,1,0,0,6,6,0,1,0,1,1,1,0
2026-04-30,ECS,NLD,153,59,128,80,8,6,81,0,33,33,1,95,93,0,21,2,20,19,2,2
2026-04-30,ECS,NOR,37,19,29,18,2,2,16,0,5,5,0,29,29,0,3,0,4,4,0,0
2026-04-30,ECS,POL,378,203,329,209,23,7,199,0,27,22,0,333,332,8,81,19,45,42,6,2
2026-04-30,ECS,PRT,162,37,130,57,6,1,65,0,6,7,0,127,123,4,29,4,10,9,2,0
2026-04-30,ECS,ROU,268,134,232,74,7,1,68,0,12,11,0,160,160,0,14,1,19,19,1,0
2026-04-30,ECS,RUS,1564,792,1216,436,104,15,454,0,146,127,0,1140,1137,18,86,28,269,268,12,2
2026-04-30,ECS,SRB,108,51,94,56,6,1,48,0,29,25,0,85,84,2,17,1,32,32,5,0
2026-04-30,ECS,SVK,47,22,39,15,1,0,14,0,6,6,0,33,33,2,6,2,11,11,1,0
2026-04-30,ECS,SVN,52,19,43,24,1,0,21,0,9,7,0,33,33,1,6,2,11,11,5,1
2026-04-30,ECS,SWE,126,49,109,75,9,6,75,0,11,9,0,87,87,0,19,1,10,9,2,2
2026-04-30,ECS,TJK,9,4,8,1,1,0,1,0,0,0,0,6,6,0,0,0,2,2,0,0
2026-04-30,ECS,TUR,1847,1479,1601,173,28,3,174,0,1199,746,0,1565,1565,5,38,101,48,47,3,0
2026-04-30,ECS,UKR,616,329,547,303,12,1,334,0,22,18,0,517,517,22,80,15,116,115,7,0
2026-04-30,ECS,UZB,87,33,75,32,2,0,39,0,0,0,0,39,39,0,0,0,15,15,0,0
2026-04-30,ECS,VAT,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,ECS,XKX,8,4,8,5,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0
2026-04-30,LCN,ARG,133,51,124,91,3,1,100,0,5,5,0,110,110,3,13,3,15,14,0,1
2026-04-30,LCN,BHS,2,1,1,0,0,0,1,0,0,1,0,2,2,0,0,0,1,1,0,0
2026-04-30,LCN,BLZ,2,2,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,LCN,BOL,42,15,42,23,3,1,29,0,4,3,0,37,37,0,3,0,9,9,0,0
2026-04-30,LCN,BRA,1871,525,1585,1030,47,12,1281,0,93,87,0,1424,1417,33,148,27,87,84,11,2
2026-04-30,LCN,BRB,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,LCN,CHL,102,30,97,67,4,1,69,0,9,8,0,87,87,0,7,2,16,15,2,4
2026-04-30,LCN,COL,271,196,265,215,43,12,221,0,57,52,0,240,237,11,65,8,85,85,5,0
2026-04-30,LCN,CRI,32,10,32,27,0,0,24,0,2,2,0,26,26,0,0,0,3,3,0,0
2026-04-30,LCN,CUB,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,LCN,DOM,19,3,19,17,0,0,18,0,0,0,0,15,15,0,0,0,1,1,0,0
2026-04-30,LCN,ECU,225,107,220,166,10,1,179,0,8,8,0,205,205,8,30,1,35,35,0,1
2026-04-30,LCN,GTM,20,16,19,17,0,0,17,0,3,3,0,16,16,0,0,0,0,0,0,0
2026-04-30,LCN,GUY,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,LCN,HND,2,0,2,2,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0
2026-04-30,LCN,HTI,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,LCN,JAM,3,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,LCN,MEX,319,135,297,176,13,6,178,0,24,24,0,253,252,20,57,7,36,36,3,0
2026-04-30,LCN,NIC,2,1,2,2,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0
2026-04-30,LCN,PAN,24,12,24,21,0,0,22,0,1,1,0,20,20,0,3,0,4,4,0,0
2026-04-30,LCN,PER,235,83,231,180,7,0,193,0,5,3,0,207,207,2,17,1,28,28,2,0
2026-04-30,LCN,PRI,12,6,10,7,0,0,8,0,0,0,0,9,9,0,1,1,0,0,0,0
2026-04-30,LCN,PRY,43,14,42,32,2,0,34,0,0,0,0,42,42,1,2,0,7,7,0,0
2026-04-30,LCN,SLV,9,6,9,8,0,0,8,0,0,0,0,9,9,0,0,0,2,2,0,0
2026-04-30,LCN,TTO,4,2,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,LCN,URY,73,11,44,36,1,0,41,0,0,0,0,54,54,0,2,0,3,3,0,0
2026-04-30,LCN,VEN,38,25,35,24,1,0,23,0,4,4,0,32,32,0,9,2,8,8,2,0
2026-04-30,LCN,VGB,2,2,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
2026-04-30,MEA,AFG,28,7,27,14,3,1,18,0,1,0,0,17,17,0,0,0,2,2,0,0
2026-04-30,MEA,ARE,57,22,42,22,4,0,26,0,4,4,0,25,25,0,2,0,7,7,0,0
2026-04-30,MEA,BHR,5,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,MEA,DZA,143,18,38,32,2,1,33,0,2,1,0,21,21,2,1,0,3,3,1,0
2026-04-30,MEA,EGY,52,22,33,17,12,2,19,0,5,5,0,20,20,0,3,0,3,3,0,0
2026-04-30,MEA,IRQ,265,67,220,153,23,0,182,0,4,4,0,143,143,1,1,0,18,18,1,0
2026-04-30,MEA,ISR,25,6,18,3,0,0,4,0,0,0,0,11,11,0,2,0,3,3,0,0
2026-04-30,MEA,JOR,58,10,38,16,1,0,20,0,1,1,0,22,22,0,0,0,5,5,0,0
2026-04-30,MEA,KWT,10,1,6,2,0,0,2,0,0,0,0,3,3,0,0,0,1,1,0,0
2026-04-30,MEA,LBN,21,3,18,7,1,0,6,0,2,1,0,7,7,0,2,0,2,2,0,0
2026-04-30,MEA,LBY,49,18,43,34,4,0,36,0,1,0,0,18,18,0,2,0,11,11,1,0
2026-04-30,MEA,MAR,36,11,23,13,2,0,14,0,1,0,0,19,19,0,3,0,3,3,0,0
2026-04-30,MEA,MLT,4,1,3,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0
2026-04-30,MEA,OMN,13,3,10,4,1,0,4,0,0,0,0,6,6,0,0,0,1,1,0,0
2026-04-30,MEA,PAK,491,144,452,290,41,7,322,0,15,13,0,248,248,0,6,0,44,43,3,0
2026-04-30,MEA,PSE,22,7,14,7,0,0,7,0,0,0,0,5,5,0,0,0,2,2,0,0
2026-04-30,MEA,QAT,14,5,13,6,2,1,6,0,0,0,0,6,6,0,0,1,1,1,0,0
2026-04-30,MEA,SAU,65,16,38,21,7,1,22,0,4,4,0,35,35,0,0,0,10,10,1,0
2026-04-30,MEA,SYR,5,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,MEA,TUN,15,2,7,4,0,0,4,0,0,0,0,4,4,0,0,0,2,2,0,0
2026-04-30,MEA,YEM,37,8,26,17,2,0,21,0,2,2,0,14,14,0,0,0,5,5,0,0
2026-04-30,NAC,CAN,309,104,239,115,20,8,120,0,17,16,0,166,166,3,20,0,30,29,3,3
2026-04-30,NAC,USA,2419,934,1650,748,146,90,690,1,241,244,1,1168,1160,18,129,21,318,310,21,32
2026-04-30,SAS,BGD,168,46,152,58,11,2,49,0,9,6,0,81,81,0,0,0,16,16,0,0
2026-04-30,SAS,BTN,6,1,6,3,0,0,3,0,0,0,0,5,5,0,0,0,0,0,0,0
2026-04-30,SAS,IND,1568,370,1083,402,97,24,455,0,46,41,0,479,477,2,30,2,85,83,9,0
2026-04-30,SAS,LKA,32,6,29,6,0,0,2,0,2,1,0,21,21,1,1,0,8,8,1,0
2026-04-30,SAS,MDV,3,0,3,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0
2026-04-30,SAS,NPL,50,10,49,32,0,0,38,0,1,1,0,40,40,0,1,0,0,0,0,0
2026-04-30,SSF,AGO,6,3,6,6,0,0,6,0,0,0,0,6,6,0,2,0,0,0,0,0
2026-04-30,SSF,BDI,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,SSF,BEN,6,3,5,1,0,0,2,0,0,0,0,4,4,0,1,0,0,0,0,0
2026-04-30,SSF,BFA,7,3,7,5,0,0,5,0,0,0,0,3,3,0,0,0,2,2,0,0
2026-04-30,SSF,BWA,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,SSF,CAF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,SSF,CIV,2,2,2,1,1,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0
2026-04-30,SSF,CMR,9,0,8,2,0,0,3,0,0,0,0,4,4,0,0,0,1,1,0,0
2026-04-30,SSF,COD,23,5,22,5,1,0,5,0,0,0,0,7,7,0,0,0,4,4,0,0
2026-04-30,SSF,COG,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0
2026-04-30,SSF,COM,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,SSF,ETH,16,4,16,10,0,0,11,0,0,0,0,13,13,0,0,0,0,0,0,0
2026-04-30,SSF,GAB,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,SSF,GHA,38,13,35,23,2,0,24,0,1,1,0,22,22,0,1,0,8,7,0,1
2026-04-30,SSF,KEN,79,31,71,47,4,0,52,0,2,1,0,44,44,0,1,0,13,13,2,0
2026-04-30,SSF,LBR,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,SSF,MDG,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,SSF,MLI,5,0,5,2,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0
2026-04-30,SSF,MOZ,2,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,SSF,MRT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,SSF,MUS,5,0,4,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2026-04-30,SSF,MWI,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0
2026-04-30,SSF,NAM,6,1,6,5,0,0,5,0,0,0,0,3,3,0,0,0,1,1,0,0
2026-04-30,SSF,NER,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,SSF,NGA,190,60,163,78,10,1,89,0,7,4,0,88,88,1,1,0,27,27,2,0
2026-04-30,SSF,RWA,9,1,9,4,0,0,5,0,0,0,0,6,5,0,1,0,1,1,0,0
2026-04-30,SSF,SDN,13,2,11,4,0,0,7,0,0,0,0,7,7,0,0,0,2,2,0,0
2026-04-30,SSF,SEN,7,0,6,1,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0
2026-04-30,SSF,SLE,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
2026-04-30,SSF,SOM,9,1,9,3,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0
2026-04-30,SSF,SSD,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,SSF,TGO,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0
2026-04-30,SSF,TZA,30,12,30,14,0,0,16,0,1,0,0,18,18,0,1,0,6,6,0,0
2026-04-30,SSF,UGA,22,7,20,10,0,0,9,0,1,0,0,12,12,0,2,0,5,5,1,0
2026-04-30,SSF,ZAF,87,44,61,38,8,4,35,0,10,10,0,65,64,1,11,0,18,18,0,1
2026-04-30,SSF,ZMB,6,2,6,1,1,0,4,0,0,0,0,5,5,0,0,0,2,2,0,0
2026-04-30,SSF,ZWE,6,3,6,3,0,0,3,0,1,1,0,5,5,0,1,0,1,1,0,0
2026-03-31,EAS,AUS,248,69,183,74,13,8,64,0,15,15,0,155,155,1,25,0,23,23,2,1
2026-03-31,EAS,BRN,5,0,5,2,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0
2026-03-31,EAS,CHN,181,73,105,50,18,7,47,0,14,13,0,54,54,0,2,0,13,13,1,0
2026-03-31,EAS,FJI,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
2026-03-31,EAS,HKG,142,49,116,68,10,3,67,0,10,9,0,53,53,2,5,1,17,17,2,0
2026-03-31,EAS,IDN,4489,625,4400,3660,193,12,4347,0,106,92,0,2797,2796,0,12,0,147,147,3,0
2026-03-31,EAS,JPN,684,624,28,23,7,5,19,0,75,72,0,98,98,0,5,0,75,75,1,0
2026-03-31,EAS,KHM,14,5,13,6,0,0,7,0,0,0,0,11,11,0,0,0,2,2,0,0
2026-03-31,EAS,KOR,2614,1237,640,440,616,213,447,0,563,527,0,365,365,0,1,0,0,0,0,0
2026-03-31,EAS,LAO,5,4,5,2,1,1,3,0,0,0,0,4,4,0,1,1,1,1,0,0
2026-03-31,EAS,MAC,10,2,5,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
2026-03-31,EAS,MMR,3,2,3,1,0,0,1,0,0,0,0,2,2,0,0,0,1,1,0,0
2026-03-31,EAS,MNG,21,8,21,13,2,0,14,0,1,1,0,12,12,0,1,0,3,3,0,0
2026-03-31,EAS,MYS,189,56,160,86,4,1,98,0,18,16,0,104,104,0,5,0,21,19,4,1
2026-03-31,EAS,NZL,50,21,46,24,2,1,22,0,3,3,0,37,37,2,8,1,7,7,1,1
2026-03-31,EAS,PHL,176,49,159,63,11,0,69,0,4,2,0,96,95,1,4,0,33,33,4,0
2026-03-31,EAS,PNG,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-03-31,EAS,PYF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-31,EAS,SGP,65,26,54,35,10,3,33,0,8,8,0,42,41,0,4,0,5,5,3,0
2026-03-31,EAS,THA,100,59,92,68,4,1,72,0,6,4,0,65,65,0,2,0,6,6,4,0
2026-03-31,EAS,TLS,4,2,4,3,0,0,4,0,1,1,0,2,2,0,0,0,0,0,0,0
2026-03-31,EAS,TWN,34,15,20,9,5,2,9,0,3,3,0,15,15,0,0,0,2,2,0,0
2026-03-31,EAS,VNM,168,36,162,42,3,2,120,0,5,5,0,65,65,0,0,1,11,11,0,0
2026-03-31,EAS,WSM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-31,ECS,ALB,18,9,17,10,0,0,10,0,1,0,0,8,8,0,1,1,3,3,1,0
2026-03-31,ECS,AND,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-03-31,ECS,ARM,61,51,57,7,1,0,9,0,5,5,0,24,24,0,1,0,25,25,1,0
2026-03-31,ECS,AUT,74,17,55,23,2,0,24,0,1,3,0,45,45,2,8,0,5,4,1,0
2026-03-31,ECS,AZE,66,14,52,9,3,0,10,0,2,1,0,38,38,0,0,0,13,12,1,0
2026-03-31,ECS,BEL,62,21,46,22,1,0,20,0,9,8,0,41,40,0,10,0,10,10,0,1
2026-03-31,ECS,BGR,87,28,81,29,5,2,32,0,9,8,0,54,54,1,2,3,17,17,3,1
2026-03-31,ECS,BIH,86,23,81,43,2,0,50,0,4,4,0,46,46,0,1,0,22,22,0,0
2026-03-31,ECS,BLR,35,19,27,16,3,0,16,0,1,1,0,24,24,0,2,0,3,3,0,0
2026-03-31,ECS,CHE,160,47,131,64,7,3,53,0,23,20,0,90,88,0,32,1,13,11,0,5
2026-03-31,ECS,CYP,10,4,9,3,1,1,4,0,1,1,0,7,7,0,2,0,2,2,1,0
2026-03-31,ECS,CZE,130,65,98,55,7,4,39,0,16,12,0,87,86,0,15,0,19,19,3,2
2026-03-31,ECS,DEU,287,97,231,118,21,10,84,0,35,34,0,161,159,1,50,5,32,29,4,4
2026-03-31,ECS,DNK,27,10,21,11,3,1,8,0,4,5,0,17,17,0,4,0,1,1,0,0
2026-03-31,ECS,ESP,559,230,474,283,35,5,284,0,75,67,0,408,408,20,71,7,70,68,11,3
2026-03-31,ECS,EST,19,11,17,12,1,1,12,0,2,1,0,13,13,1,5,1,4,4,1,0
2026-03-31,ECS,FIN,149,9,146,95,1,1,128,0,10,10,0,121,121,0,9,1,2,2,1,0
2026-03-31,ECS,FRA,159,54,126,55,14,7,44,0,12,13,0,91,91,2,23,3,18,18,1,1
2026-03-31,ECS,FRO,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-03-31,ECS,GBR,731,252,556,274,73,41,245,1,85,81,1,406,404,2,67,6,68,67,6,7
2026-03-31,ECS,GEO,43,10,37,12,2,0,20,0,2,2,0,21,21,0,1,0,3,3,0,0
2026-03-31,ECS,GRC,46,8,35,11,2,2,8,0,2,1,0,20,20,0,2,0,2,2,0,0
2026-03-31,ECS,HRV,212,46,195,25,3,1,20,0,2,2,0,173,173,0,10,1,24,24,1,0
2026-03-31,ECS,HUN,342,78,304,99,2,2,142,0,5,5,0,171,170,0,22,7,8,8,1,1
2026-03-31,ECS,IRL,38,12,31,11,0,0,9,0,2,2,0,25,24,0,4,0,9,9,0,0
2026-03-31,ECS,ISL,7,1,6,3,1,0,3,0,0,0,0,4,4,0,1,0,1,1,0,0
2026-03-31,ECS,ITA,159,64,125,51,7,6,45,0,8,7,0,85,83,4,15,1,8,8,0,0
2026-03-31,ECS,KAZ,166,71,153,48,3,2,67,0,8,5,0,123,123,0,1,1,18,18,3,0
2026-03-31,ECS,KGZ,34,12,25,5,0,0,5,0,4,3,0,19,19,0,1,0,3,3,1,0
2026-03-31,ECS,LTU,50,24,43,25,9,3,26,0,4,4,0,34,33,1,7,2,12,12,0,0
2026-03-31,ECS,LUX,5,1,4,2,0,0,3,0,0,1,0,3,3,0,0,0,1,1,0,0
2026-03-31,ECS,LVA,15,8,13,9,1,0,7,0,1,1,0,11,11,4,4,1,2,2,0,0
2026-03-31,ECS,MCO,3,1,2,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
2026-03-31,ECS,MDA,47,25,38,13,0,0,4,0,0,0,0,30,30,0,3,0,5,5,0,0
2026-03-31,ECS,MKD,46,18,31,17,2,0,14,0,1,1,0,19,19,0,2,0,9,9,0,0
2026-03-31,ECS,MNE,13,6,12,4,0,0,4,0,1,0,0,6,6,0,1,0,1,1,1,0
2026-03-31,ECS,NLD,152,59,127,80,8,6,81,0,33,33,1,94,93,0,20,2,20,19,2,2
2026-03-31,ECS,NOR,37,19,29,18,2,2,16,0,5,5,0,29,29,0,3,0,2,2,0,0
2026-03-31,ECS,POL,375,203,326,207,22,7,199,0,27,22,0,329,328,8,80,19,40,37,6,2
2026-03-31,ECS,PRT,160,37,129,57,6,1,65,0,6,7,0,126,122,4,29,4,9,8,2,0
2026-03-31,ECS,ROU,269,134,233,74,7,1,68,0,12,11,0,161,161,0,14,1,19,19,1,0
2026-03-31,ECS,RUS,1561,783,1211,433,101,15,450,0,144,127,0,1134,1132,18,85,27,256,255,11,2
2026-03-31,ECS,SRB,106,50,92,54,6,1,48,0,28,25,0,83,82,2,17,1,30,30,5,0
2026-03-31,ECS,SVK,48,23,40,15,1,0,14,0,6,6,0,34,34,2,6,2,10,10,1,0
2026-03-31,ECS,SVN,52,19,43,24,1,0,21,0,9,7,0,33,33,1,6,2,10,10,5,1
2026-03-31,ECS,SWE,126,49,109,75,9,6,75,0,11,9,0,87,87,0,19,1,9,8,2,2
2026-03-31,ECS,TJK,7,3,6,1,1,0,1,0,0,0,0,5,5,0,0,0,1,1,0,0
2026-03-31,ECS,TUR,1841,1473,1595,168,26,3,169,0,1194,741,0,1560,1560,5,38,100,44,43,3,0
2026-03-31,ECS,UKR,614,326,544,297,12,1,331,0,21,18,0,513,513,20,78,14,95,94,6,0
2026-03-31,ECS,UZB,82,33,71,32,2,0,39,0,0,0,0,38,38,0,0,0,13,13,0,0
2026-03-31,ECS,VAT,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-31,ECS,XKX,8,4,8,5,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0
