season,show_number,episode,airdate,18_49_rating_share,viewers_in_millions,timeslot_et,dvr_18_49,dvr_viewers_millions,total_18_49,total_viewers_millions,weekrank,ref,share,nightlyrank,rating_share_households,rating_share
2,39,Top 2 Showdown,"May 20, 2003",11.2,25.7,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
2,40,Finale Pre-show Special,"May 21, 2003",13.1,30.4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
2,41,American Idol Season 2 Finale,"May 21, 2003",16.8,38.1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
3,1,Audition: New York,"January 19, 2004",12.9,29,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
3,2,Audition: Atlanta,"January 20, 2004",12.5,28.6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
3,3,Audition: Houston,"January 21, 2004",12.7,29.4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
3,4,Audition: Los Angeles and San Francisco,"January 27, 2004",13,29.6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
3,5,Audition: Hawaii,"January 28, 2004",12,28.3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
3,6,"Road to Hollywood, Best and Worst of the Rest","February 2, 2004",9.7,21.1,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
3,7,Hollywood Week: Part 1,"February 3, 2004",13.1,30.1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
3,8,Hollywood Week: Part 2,"February 4, 2004",12.6,28.8,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
3,9,Top 32: Group 1,"February 10, 2004",11.1,26.2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
3,10,Top 32: Group 1 Results,"February 11, 2004",10.5,24.5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
3,11,Top 32: Group 2,"February 17, 2004",10.9,25.2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
3,12,Top 32: Group 2 Results,"February 18, 2004",9.8,22.1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
3,13,Top 32: Group 3,"February 24, 2004",11.3,26.6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
3,14,Top 32: Group 3 Results,"February 25, 2004",10.3,23,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
3,15,"Special: Uncut, Uncensored and Untalented","March 1, 2004",8.5,19.7,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
3,16,Top 32: Group 4,"March 2, 2004",11.1,25.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
3,17,Top 32: Group 4 Results,"March 3, 2004",8.5,19.3,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
3,18,Wildcard,"March 9, 2004",10.7,24.6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
3,19,Wildcard Results,"March 10, 2004",9.7,22,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
3,20,Top 12 Perform,"March 16, 2004",11.3,26.7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
3,21,Top 12 Results,"March 17, 2004",9.7,22.9,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
3,22,Top 11 Perform,"March 23, 2004",11.5,27,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
3,23,Top 11 Results,"March 24, 2004",8.8,20.4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
3,24,Top 10 Perform,"March 30, 2004",8.8,25.9,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
3,25,Top 10 Results,"March 31, 2004",9.4,21.9,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
3,26,Top 9 Perform,"April 6, 2004",10.1,23.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
3,27,Top 9 Results,"April 7, 2004",8.9,20.6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
3,28,Top 8 Perform(1),"April 14, 2004",9.7,23.1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
3,29,Top 8 Results(1),"April 15, 2004",6.2,15.3,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
3,30,Top 7 Perform,"April 20, 2004",10.1,23.4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
3,31,Top 7 Results,"April 21, 2004",9.3,21.2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
3,32,Top 6 Perform,"April 27, 2004",10.4,23.4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
3,33,Top 6 Results,"April 28, 2004",9.3,21.2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
3,34,Special: The Final Five,"May 3, 2004",4.8,11.7,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA
3,35,Top 5 Perform,"May 4, 2004",9,22.8,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
3,36,Top 5 Results,"May 5, 2004",8.8,21.2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
3,37,Top 4 Perform,"May 11, 2004",9.6,23.2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
3,38,Top 4 Results,"May 12, 2004",10,22.3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
3,39,Special: The Final Three,"May 17, 2004",4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,40,Top 3 Perform,"May 18, 2004",10,23.6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
3,41,Top 3 Results,"May 19, 2004",9.8,22.4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
3,42,Special: The American Idol Phenomenon,"May 23, 2004",3.7,10.8,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA
3,43,Top 2 Perform (Finale),"May 25, 2004",10.6,25.1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
3,44,American Idol Season 3 Finale,"May 26, 2004",12,28.8,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
4,1,Washington D.C. Auditions,"January 18, 2005",14,33.6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4,2,St. Louis Auditions,"January 19, 2005",11.2,26.7,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
4,3,New Orleans Auditions,"January 25, 2005",12.1,28.1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
4,4,Las Vegas Auditions,"January 26, 2005",11.2,26.6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4,5,Cleveland & Orlando Auditions,"February 1, 2005",11.9,28.5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
4,6,San Francisco Auditions,"February 2, 2005",10.9,26.2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
4,7,Hollywood Week: Part 1,"February 8, 2005",12,28.8,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
4,8,Hollywood Week: Part 2,"February 9, 2005",11.4,26.1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
4,9,Hollywood Week: Part 3,"February 15, 2005",11.5,27.1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4,10,Hollywood Week: Part 4,"February 16, 2005",11.5,26.3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
4,11,Top 12 Men Perform,"February 21, 2005",9.9,23.5,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
4,12,Top 12 Women Perform,"February 22, 2005",11.5,28.3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4,13,Top 24 Results,"February 23, 2005",11.3,26.7,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
4,14,Top 10 Men Perform,"February 28, 2005",10.1,23.6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
4,15,Top 10 Women Perform,"March 1, 2005",11,26.9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
4,16,Top 20 Results,"March 2, 2005",10.3,24.3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
4,17,Top 8 Men Perform,"March 7, 2005",10.1,23.9,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
4,18,Top 8 Women Perform,"March 8, 2005",11.7,27.7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4,19,Top 16 Results,"March 9, 2005",11.7,26.9,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
4,20,Top 12 Perform,"March 15, 2005",11.5,28.4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
4,21,Top 12 Results,"March 16, 2005",10.8,24.7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4,22,Top 11 Perform,"March 22, 2005",11.6,27.6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
4,23,Top 11 Finalists Repeat Special(1),"March 23, 2005",9,20.9,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
4,24,Top 11 Results,"March 24, 2005",8.6,20.2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
4,25,Top 10 Perform,"March 29, 2005",11,26.4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4,26,Top 10 Results,"March 30, 2005",10.6,24.9,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
4,27,Top 9 Perform,"April 5, 2005",10,24.5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4,28,Top 9 Results,"April 6, 2005",10.2,24.1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
4,29,Top 8 Perform,"April 12, 2005",10.7,25.6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4,30,Top 8 Results,"April 13, 2005",10.8,25,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
4,31,Top 7 Perform,"April 19, 2005",9.8,24.1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4,32,Top 7 Results,"April 20, 2005",9.8,22.7,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
4,33,Top 6 Perform,"April 26, 2005",10.8,25.5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4,34,Top 6 Results,"April 27, 2005",10.5,24.4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
4,35,Top 5 Perform,"May 3, 2005",9.9,24.4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
4,36,Top 5 Results,"May 4, 2005",10.8,25.4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
4,37,Top 4 Perform,"May 10, 2005",10.2,24.7,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
4,38,Top 4 Results,"May 11, 2005",11.5,26.6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
4,39,Top 3 Perform,"May 17, 2005",10.4,25,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
4,40,Top 3 Results,"May 18, 2005",11.8,27.9,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
4,41,Special: The World's Worst Auditions,"May 19, 2005",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,42,Top 2 Perform,"May 24, 2005",11.6,28.1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
4,43,American Idol Season 4 Finale,"May 25, 2005",12.5,30.3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5,1,Chicago Auditions,"January 17, 2006",15.3 / 34,35.53,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,19.3 / 28
5,2,Denver Auditions,"January 18, 2006",13.0 / 33,31.65,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,17.8 / 27
5,3,Greensboro Auditions,"January 24, 2006",15.1 / 35,34.96,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,19.6 / 29
5,4,San Francisco Auditions,"January 25, 2006",13.0 / 33,32.44,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,18.2 / 28
5,5,Las Vegas Auditions,"January 31, 2006",12.4 / 31,30.18,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,17.4 / 27
5,6,Austin Auditions,"February 1, 2006",12.5 / 32,30.4,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,16.9 / 25
5,7,Boston Auditions,"February 7, 2006",12.9 / 32,31.15,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,17.6 / 26
5,8,Hollywood Round 1,"February 8, 2006",11.4 / 29,28.74,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16.3 / 24
5,9,Hollywood Round 2,"February 14, 2006",11.4 / 29,26.96,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16.5 / 25
5,10,Hollywood: Top 24 Revealed,"February 15, 2006",11.9 / 30,28.78,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,15.5 / 24
5,11,Top 12 Women Perform,"February 21, 2006",13.0 / 30,30.16,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16.9 / 24
5,12,Top 12 Men Perform,"February 22, 2006",13.5 / 33,31.69,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,18.2 / 27
5,13,Top 24 Results,"February 23, 2006",9.9 / 24,23.38,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,13.3 / 20
5,14,Top 10 Women Perform,"February 28, 2006",12.4 / 31,30.09,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,17.0 / 25
5,15,Top 10 Men Perform,"March 1, 2006",12.2 / 31,29.64,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,16.6 / 26
5,16,Top 20 Results,"March 2, 2006",10.9 / 27,26.32,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,15.2 / 23
5,17,Top 8 Women Men Perform,"March 7, 2006",11.8 / 31,28.56,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16.7 / 25
5,18,Top 8 Men Perform,"March 8, 2006",12.4 / 32,30.38,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,17.2 / 27
5,19,Top 12 Revealed,"March 9, 2006",10.8 / 28,26.63,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,15.4 / 24
5,20,Top 12 Perform,"March 14, 2006",13.7 / 33,32.77,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,18.5 / 27
5,21,Top 12 Results,"March 15, 2006",11.5 / 27,28.09,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.3 / 25
5,22,Top 11 Perform,"March 21, 2006",13.6 / 33,33.36,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,19.2 / 28
5,23,Top 11 Results,"March 22, 2006",11.4 / 27,27.68,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.9 / 24
5,24,Top 10 Perform,"March 28, 2006",13.0 / 33,31.71,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,18.0 / 27
5,25,Top 10 Results,"March 29, 2006",11.3 / 27,27.66,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.9 / 24
5,26,Top 9 Perform,"April 4, 2006",11.6 / 32,28.83,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.6 / 23
5,27,Top 9 Results,"April 5, 2006",10.8 / 26,26.23,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.7 / 23
5,28,Top 8 Perform,"April 11, 2006",12.0 / 33,29.65,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14.2 / 22
5,29,Top 8 Results,"April 12, 2006",9.2 / 24,22.64,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,12.0 / 19
5,30,Top 7 Perform,"April 18, 2006",11.4 / 32,28.44,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.6 / 26
5,31,Top 7 Results,"April 19, 2006",11.3 / 30,27.63,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16.5 / 25
5,32,Top 6 Perform,"April 25, 2006",11.5 / 30,28.67,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.7 / 26
5,33,Top 6 Results,"April 26, 2006",11.6 / 28,28.27,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16.6 / 25
5,34,Top 5 Perform,"May 2, 2006",11.4 / 31,28.58,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16.6 / 26
5,35,Top 5 Results,"May 3, 2006",11.7 / 28,29.26,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.9 / 25
5,36,Top 4 Perform,"May 9, 2006",11.6 / 31,28.85,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.8 / 26
5,37,Top 4 Results,"May 10, 2006",11.2 / 27,27.88,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16.1 / 24
5,38,Top 3 Perform,"May 16, 2006",11.0 / 30,28.33,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16.6 / 26
5,39,Top 3 Results,"May 17, 2006",10.7 / 25,27.67,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16.6 / 26
5,40,Top 2 Perform,"May 23, 2006",12.3 / 34,31.78,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,18.2/ 29
5,41,Season 5 Finale,"May 24, 2006",14.2 / 35,36.38,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,20.5 / 32
6,1,Minneapolis Auditions,"January 16, 2007",15.8 / 36,37.44,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,20.3 / 29
6,2,Seattle Auditions,"January 17, 2007",15.5 / 36,36.94,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,20.1 / 30
6,3,Memphis Auditions,"January 23, 2007",13.3 / 33,32.6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,18.0 / 26
6,4,New York Auditions,"January 24, 2007",14.1 / 35,33.87,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,18.9 / 28
6,5,Birmingham Auditions,"January 30, 2007",13.5 / 33,33.65,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,18.6 /28
6,6,Los Angeles Auditions,"January 31, 2007",13.7 / 32,31.85,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,18.0 / 27
6,7,San Antonio Auditions,"February 6, 2007",13.5 / 33,33.36,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,18.4 / 27
6,8,Best of the Rest,"February 7, 2007",12.0 / 27,27.91,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15.9 / 23
6,9,"Hollywood Round, Part 1","February 13, 2007",13.0 / 31,31.2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,17.4 / 25
6,10,"Hollywood Round, Part 2","February 14, 2007",12.2 / 29,28.89,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,16.2 / 24
6,11,Top 12 Men Perform,"February 20, 2007",11.8 / 30,29.53,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,16.5 / 25
6,12,Top 12 Women Perform,"February 21, 2007",12.3 / 31,30.46,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,17.2 / 26
6,13,Top 24 Results,"February 22, 2007",9.1 / 23,24.44,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,14.1 / 21
6,14,Top 10 Men Perform,"February 27, 2007",12.2 / 30,30.65,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,17.1 / 26
6,15,Top 10 Women Perform,"February 28, 2007",11.9 / 30,29.78,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,17.5 / 27
6,16,Top 20 Results,"March 1, 2007",10.5 / 26,27.39,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,15.5 / 23
