year,sample_size,employment,members,covered,p_members,p_covered,facet
2005,179148,125889.26202059096,15685.388399841619,17223.36534790834,0.12459671497344971,0.13681361079216003,all wage and salary workers
2006,178661,128237.18093777647,15359.10269724175,16860.18015935845,0.11977105587720871,0.1314765363931656,all wage and salary workers
2007,177023,129767.0020113655,15670.346927841583,17243.343096624907,0.1207575649023056,0.13287925720214844,all wage and salary workers
2008,174897,129377.17670944167,16097.530057458373,17760.58462451672,0.12442325800657272,0.13727757334709167,all wage and salary workers
2009,169727,124489.87076529785,15327.285125883402,16903.60256526673,0.1231207400560379,0.13578295707702637,all wage and salary workers
2010,167828,124073.03997424194,14715.056266066636,16289.530650783301,0.11859995126724243,0.13128985464572906,all wage and salary workers
2011,166259,125210.12086580544,14754.669859041594,16281.017976449913,0.1178392767906189,0.1300295740365982,all wage and salary workers
2012,166084,127603.16331974116,14349.353534841606,15905.90514512492,0.11245296150445938,0.12465133517980576,all wage and salary workers
2013,165878,129136.60615942007,14515.752714099948,16016.168974691669,0.1124061793088913,0.12402500957250595,all wage and salary workers
2014,167074,131452.77927449107,14569.935701449978,16142.440017633278,0.11083779484033585,0.1228002980351448,all wage and salary workers
2015,165282,133770.48226769842,14786.280509733351,16432.8103475083,0.11053470522165298,0.12284331768751144,all wage and salary workers
2016,165808,136131.88846326648,14549.6338494749,16264.573281383224,0.10687895119190216,0.11947658658027649,all wage and salary workers
2017,163781,137912.91188465228,14811.525050758448,16436.129358008435,0.1073976680636406,0.11917759478092194,all wage and salary workers
2018,159855,140129.22963046705,14740.188334283308,16374.391573574942,0.1051899641752243,0.11685207486152649,all wage and salary workers
2019,154727,141766.44663578368,14566.65681579167,16374.919705725026,0.10275109112262726,0.11550631374120712,all wage and salary workers
2020,133671,132205.2777124337,14250.23358911675,15935.814233016685,0.10778868943452835,0.12053841352462769,all wage and salary workers
2021,134177,136420.8239846426,14003.553250774987,15795.44258620002,0.10264967381954193,0.11578468978404999,all wage and salary workers
2022,129714,141698.4973142668,14280.076476591588,15995.893904383236,0.10077789425849915,0.11288683116436005,all wage and salary workers
1973,3022,4661.476250000003,1774.9385500000017,NA,0.38076746463775635,NA,construction
1974,2831,4576.695809999984,1641.7893599999982,NA,0.3587280809879303,NA,construction
1975,2466,4058.825220000004,1434.9753199999993,NA,0.3535445034503937,NA,construction
1976,2509,4189.345619999995,1457.4027000000024,NA,0.3478831350803375,NA,construction
1977,3278,4493.52873,1606.1850300000003,1701.5982900000013,0.35744401812553406,0.37867751717567444,construction
1978,3428,4984.263270000005,1613.6895499999969,1712.6162499999978,0.3237568736076355,0.3436046838760376,construction
1979,3481,5093.91867999999,1660.0979199999986,1780.8180699999996,0.3258979916572571,0.34959688782691956,construction
1980,4037,4981.9248799999905,1573.7972700000007,1651.3239700000013,0.3159014582633972,0.3314630389213562,construction
1981,878,4870.161759999999,1621.702000000001,1692.9198800000013,0.33298730850219727,0.34761059284210205,construction
1983,9150,4609.241757500005,1292.6891500000008,1400.9823425000013,0.28045591711997986,0.3039507269859314,construction
1984,9624,5013.734070833339,1216.8223225000024,1288.5381300000001,0.2426978200674057,0.25700169801712036,construction
1985,9765,5211.791707499992,1202.6134924999965,1285.5006999999976,0.23074857890605927,0.24665234982967377,construction
1986,9840,5467.51455166667,1271.3549241666667,1358.731654166667,0.23252886533737183,0.24850992858409882,construction
1987,9911,5608.066830833351,1230.8489899999997,1320.909999166667,0.2194783091545105,0.23553749918937683,construction
1988,9516,5703.997629999972,1250.5609708333361,1333.0189766666686,0.2192429006099701,0.23369908332824707,construction
1989,9550,5797.627217500042,1320.462791666667,1402.407799166666,0.22775916755199432,0.24189341068267822,construction
1990,9874,5742.40884583332,1271.410928333331,1355.083781666667,0.22140724956989288,0.23597829043865204,construction
1991,8741,5174.751924999989,1143.751998333333,1223.702674166667,0.2210254669189453,0.2364756166934967,construction
1992,8427,5113.401275833318,1086.579139166669,1159.0990900000022,0.21249635517597198,0.22667868435382843,construction
1993,8369,5194.0061258333335,1104.9050025000004,1162.4649308333342,0.21272693574428558,0.22380892932415009,construction
1994,8331,5409.180655599991,1109.6981594499994,1173.2998426583338,0.20515087246894836,0.21690897643566132,construction
1995,8511,5658.43967994167,1071.5809459333339,1151.1831222916671,0.18937745690345764,0.20344533026218414,construction
1996,7916,5873.975086933314,1157.5626124000019,1214.7602648416685,0.1970663070678711,0.20680378377437592,construction
1997,8168,6201.273376091661,1222.9717978750011,1287.2687978500014,0.19721300899982452,0.20758137106895447,construction
1998,8432,6412.4987141916545,1212.2880038333333,1266.903542916668,0.1890507936477661,0.19756785035133362,construction
1999,8884,6746.593027316655,1362.0036165166653,1416.0691379333307,0.20188021659851074,0.20989395678043365,construction
2000,9442,7156.892185933293,1389.7249756416652,1458.2859495249993,0.1941799521446228,0.20375967025756836,construction
2001,10287,7329.084929758351,1421.2248060500044,1475.4891423583374,0.1939157247543335,0.20131969451904297,construction
2002,10908,7174.026017208318,1346.3660955083324,1398.9853494999986,0.18767231702804565,0.19500701129436493,construction
2003,10943,7630.3523416583375,1335.2502809500006,1406.4237973250006,0.17499195039272308,0.1843196451663971,construction
2004,11167,8051.4017895749785,1273.3595829666679,1347.0643693333357,0.15815377235412598,0.167308047413826,construction
2005,11712,8512.869187508308,1209.2028599916634,1280.6738105583295,0.1420440971851349,0.15043973922729492,construction
2006,12066,8877.175566883334,1246.5213527000012,1307.364265891668,0.14041869342327118,0.14727254211902618,construction
2007,11768,9002.463673633325,1358.5604470833314,1406.17170660833,0.15090985596179962,0.15619854629039764,construction
2008,10611,8088.7536850083325,1331.0737852416687,1386.5941044333345,0.16455857455730438,0.17142246663570404,construction
2009,9331,7066.010495691685,1130.5084792666662,1180.0274729499988,0.15999247133731842,0.16700053215026855,construction
2010,8551,6549.962042233321,953.7292685833321,1001.2844933583315,0.14560836553573608,0.15286874771118164,construction
2011,8591,6658.914425533328,1012.5214803499993,1075.2904309333321,0.1520550400018692,0.1614813357591629,construction
2012,8449,6599.784869758341,952.9438046833333,997.2359468833333,0.14439013600349426,0.1511012762784958,construction
2013,8710,6898.633575883359,1058.6371818833345,1119.3131711416681,0.15345606207847595,0.16225142776966095,construction
2014,9193,7401.177656291663,1116.8385141333326,1184.0686702083337,0.15090011060237885,0.1599838137626648,construction
2015,9094,7492.975593008331,1049.5081486666666,1110.7018805250004,0.14006561040878296,0.14823241531848907,construction
2016,9402,7839.588246541664,1149.7674959666674,1212.6890701250002,0.14666171371936798,0.15468785166740417,construction
2017,9522,8185.4970760000015,1218.1559724500019,1281.6973383333345,0.14881882071495056,0.15658149123191833,construction
2018,9547,8534.270747216664,1163.6665303833317,1243.9116988333315,0.13635219633579254,0.1457548886537552,construction
2019,9406,8736.278610791676,1183.3217993500007,1270.0962331083338,0.13544918596744537,0.1453818380832672,construction
2020,8054,8211.85801335834,1100.9076273916673,1168.11025265,0.13406315445899963,0.1422467678785324,construction
2021,8232,8558.78314419167,1144.566190450001,1238.7698518083341,0.13373000919818878,0.14473667740821838,construction
2022,8092,9062.764185458376,1144.4183461249995,1211.0359254083326,0.12627696990966797,0.13362765312194824,construction
1973,13201,20249.101299999853,7866.6076099999955,NA,0.388491690158844,NA,manufacturing
1974,12954,20620.92266000019,7803.844470000015,NA,0.37844303250312805,NA,manufacturing
1975,11464,18620.859139999902,6696.804070000021,NA,0.3596399128437042,NA,manufacturing
1976,11905,19645.756049999924,6990.84887,NA,0.35584524273872375,NA,manufacturing
1977,13408,20162.462260000066,7159.284359999988,7583.243619999991,0.35507985949516296,0.37610700726509094,manufacturing
1978,13227,20787.953629999978,7107.239720000009,7629.602700000006,0.34189221262931824,0.3670203685760498,manufacturing
1979,13488,21377.70786000006,7567.590589999995,8181.237869999992,0.3539944887161255,0.38269948959350586,manufacturing
1980,15134,20975.68239999998,6771.1052499999905,7308.615379999992,0.3228074014186859,0.3484327793121338,manufacturing
1981,3450,21435.16727999999,6702.555440000009,7267.110400000011,0.3126896619796753,0.339027464389801,manufacturing
1983,35796,19223.1002,5353.695563333324,5875.927420000004,0.2785032391548157,0.3056701123714447,manufacturing
1984,37239,20361.61503249993,5297.896624999966,5792.186224999979,0.2601903975009918,0.2844659388065338,manufacturing
1985,37294,20278.616742499904,5034.657744999999,5471.562811666663,0.24827422201633453,0.26981931924819946,manufacturing
1986,36515,20442.024908333136,4909.557265000001,5282.107069166678,0.24016980826854706,0.2583945095539093,manufacturing
1987,36020,20383.903668333365,4732.660490000008,5057.877664166682,0.23217636346817017,0.24813096225261688,manufacturing
1988,34040,20563.22465250002,4560.96125333333,4905.787955833338,0.22180184721946716,0.2385709434747696,manufacturing
1989,34531,20830.94635083319,4504.032254166695,4820.741665833355,0.21621832251548767,0.23142211139202118,manufacturing
1990,35279,20626.68878999977,4222.641395000012,4552.9023116666785,0.20471736788749695,0.22072871029376984,manufacturing
1991,33442,19873.47674499988,4016.8239166666713,4327.709420000003,0.202119842171669,0.21776308119297028,manufacturing
1992,32038,19369.641618333273,3805.6058658333345,4076.1498033333382,0.19647270441055298,0.21044012904167175,manufacturing
1993,30772,18983.9392825,3628.3968808333307,3857.6603658333297,0.19112981855869293,0.20320652425289154,manufacturing
1994,29999,19379.841490900122,3533.031436583342,3817.374562283335,0.18230445683002472,0.19697655737400055,manufacturing
1995,29475,19626.692284616714,3469.3229486916716,3695.8353016500087,0.1767655462026596,0.18830658495426178,manufacturing
1996,25517,19736.86829405006,3411.8119625333393,3629.4218551166678,0.1728649139404297,0.1838904619216919,manufacturing
1997,25814,20033.54412603326,3270.336563616665,3462.787391558334,0.16324304044246674,0.17284946143627167,manufacturing
1998,25385,19821.913808466765,3137.4270877916597,3328.008268766664,0.15828073024749756,0.16789540648460388,manufacturing
1999,24855,19408.218161983274,3036.6934162416687,3226.594705541669,0.15646430850028992,0.1662488877773285,manufacturing
2000,24494,19230.107004358284,2842.4957713833282,3011.465432283325,0.14781486988067627,0.15660159289836884,manufacturing
2001,24782,18220.793745866547,2678.6232203249947,2830.8734683083276,0.14700913429260254,0.155364990234375,manufacturing
2002,25144,16994.72341132497,2444.5720803916674,2577.565373316667,0.14384301006793976,0.15166856348514557,manufacturing
2003,23001,16202.318447400043,2192.117484908336,2337.4293471416668,0.1352965384721756,0.14426511526107788,manufacturing
2004,22011,15810.203345300057,2052.1797560083364,2204.4635838750005,0.1298009753227234,0.13943296670913696,manufacturing
2005,21561,15596.473118024973,2033.955937850002,2148.400058641669,0.1304112672805786,0.1377490907907486,manufacturing
2006,21070,15725.13689985835,1850.4377829250022,1975.709749466668,0.11767387390136719,0.12564022839069366,manufacturing
2007,20392,15437.966829233326,1757.872314699997,1875.9086918083306,0.11386682838201523,0.12151268124580383,manufacturing
2008,19975,15239.03085417491,1746.1665071499986,1888.1284873999987,0.11458513885736465,0.12390082329511642,manufacturing
2009,18053,13571.540357700089,1501.0570046166652,1630.8326396249997,0.11060328781604767,0.1201656237244606,manufacturing
2010,17645,13362.827432633341,1444.130082258333,1569.652343166667,0.10807069391012192,0.1174640879034996,manufacturing
2011,17645,13691.870806716597,1446.8577880333312,1546.9678951333326,0.10567276179790497,0.11298440396785736,manufacturing
2012,17904,14039.73576424998,1359.7375915583348,1494.3826487083345,0.0968492329120636,0.1064395159482956,manufacturing
2013,18021,14298.529152125055,1455.4905309666653,1585.070659774998,0.10179302096366882,0.11085550487041473,manufacturing
2014,17951,14552.859493383365,1420.8586792666672,1528.418438958334,0.09763433039188385,0.10502529889345169,manufacturing
2015,17512,14612.810977891484,1379.0250469499993,1476.8690944249984,0.09437096118927002,0.10106673836708069,manufacturing
2016,17576,14887.470337591594,1320.909255258335,1451.346326875001,0.0887262374162674,0.09748777002096176,manufacturing
2017,17107,14756.948749008307,1349.440995258333,1484.4090785083333,0.09144444763660431,0.10059051215648651,manufacturing
2018,16661,14951.704004983267,1358.9084365500028,1466.2557616750028,0.09088652580976486,0.09806612879037857,manufacturing
2019,16256,15179.892378491586,1306.7937747000012,1448.394136516667,0.08608715981245041,0.09541530907154083,manufacturing
2020,13799,13975.396361083314,1190.3263283666683,1301.0920974833325,0.08517299592494965,0.09309875965118408,manufacturing
2021,13812,14246.942794541688,1105.5635820999998,1230.9207065416663,0.07760005444288254,0.08639893680810928,manufacturing
2022,13175,14696.464126458333,1161.4777742833328,1278.8243538833315,0.07903110235929489,0.0870157852768898,manufacturing
1973,9660,14788.861879999982,1781.6863700000013,NA,0.12047488242387772,NA,wholesale/retail
1974,9419,14992.844880000013,1715.3319199999974,NA,0.11441003531217575,NA,wholesale/retail
1975,9477,15392.992699999975,1636.843649999999,NA,0.10633693635463715,NA,wholesale/retail
1976,9733,16009.110760000021,1725.1010500000007,NA,0.10775745660066605,NA,wholesale/retail
1977,11753,16599.317280000025,1774.5137100000009,1924.7095300000005,0.10690281540155411,0.11595112830400467,wholesale/retail
1978,11765,17230.564159999976,1701.399049999999,1896.6537099999994,0.09874308109283447,0.1100749596953392,wholesale/retail
1979,11734,17556.25995999996,1812.7939899999994,2028.5995899999996,0.10325627774000168,0.1155485063791275,wholesale/retail
1980,13664,17400.556270000045,1752.767179999997,1896.4792299999967,0.1007305234670639,0.10898957401514053,wholesale/retail
1981,3128,18092.71507999997,1720.2332399999993,1950.4757200000001,0.09507878124713898,0.10780447721481323,wholesale/retail
1983,35710,18166.891814999944,1590.5003966666675,1808.0058758333357,0.08754939585924149,0.09952202439308167,wholesale/retail
1984,36411,18939.08805999984,1504.4194475000008,1683.734155833335,0.07943463325500488,0.08890260010957718,wholesale/retail
1985,37111,19508.26939249985,1412.169721666667,1568.2310350000034,0.07238826155662537,0.08038801699876785,wholesale/retail
1986,36756,19948.26441583335,1439.2675383333321,1571.3254041666648,0.07215001434087753,0.07877003401517868,wholesale/retail
1987,37252,20514.308337499886,1452.138651666666,1588.152345833332,0.07078662514686584,0.0774168148636818,wholesale/retail
1988,35368,20689.960143333497,1396.958593333333,1575.1987874999982,0.06751866638660431,0.07613348215818405,wholesale/retail
1989,36268,21240.939819166502,1332.6112774999965,1492.7245883333308,0.06273786723613739,0.07027582824230194,wholesale/retail
1990,37862,21739.320243333474,1369.5762833333322,1535.0099799999996,0.06299995630979538,0.07060984522104263,wholesale/retail
1991,36720,21490.572896666763,1437.8371724999975,1591.4901999999986,0.06690548360347748,0.0740552693605423,wholesale/retail
1992,36435,21844.805656666693,1440.8929308333313,1589.6648058333296,0.06596043705940247,0.07277083396911621,wholesale/retail
1993,36078,22132.164805833294,1396.2651099999994,1538.633972500001,0.063087597489357,0.0695202648639679,wholesale/retail
1994,35071,22408.512422266667,1391.9415576666663,1538.9761823750002,0.06211664155125618,0.06867819279432297,wholesale/retail
1995,35348,23128.418030008477,1410.4954030583337,1567.1729260416666,0.06098538264632225,0.06775962561368942,wholesale/retail
1996,32005,23751.08995966674,1343.2013592416686,1489.3962692750015,0.056553252041339874,0.0627085417509079,wholesale/retail
1997,31960,23772.73230037507,1329.4322757833324,1486.8014663416643,0.05592256784439087,0.06254230439662933,wholesale/retail
1998,32584,24354.37518885819,1295.1576787083338,1404.7516254583343,0.05317967012524605,0.057679641991853714,wholesale/retail
1999,32924,24771.673292708274,1290.9804332416697,1421.0696870166673,0.05211518704891205,0.05736672133207321,wholesale/retail
2000,33339,25231.254586166604,1209.3044045166678,1333.4568152500021,0.0479288250207901,0.05284940451383591,wholesale/retail
2001,35360,25191.978534191385,1187.4384613583336,1301.2605406583343,0.047135576605796814,0.05165376514196396,wholesale/retail
2002,38057,25204.74632513333,1143.7546734499979,1260.5101696749987,0.04537854343652725,0.05001082643866539,wholesale/retail
2003,27201,18420.33771262511,1136.6692206416642,1220.1364042166663,0.06170729547739029,0.06623854488134384,wholesale/retail
2004,26986,18847.234076091612,1041.0394654833328,1122.068318925,0.05523566156625748,0.05953490734100342,wholesale/retail
2005,27029,19100.58486995007,1037.8050236166666,1145.8234171583335,0.054333679378032684,0.05998891964554787,wholesale/retail
2006,26641,19349.429301225115,967.5451581500001,1038.862439325,0.05000380799174309,0.053689565509557724,wholesale/retail
2007,25742,18998.779018999925,1000.3928699583334,1087.712032325,0.05265564098954201,0.05725168064236641,wholesale/retail
2008,25298,18748.525090575065,987.7871619250009,1111.363100291668,0.05268612504005432,0.05927736312150955,wholesale/retail
2009,24331,17953.0763219917,947.0783703583338,1042.407326841668,0.052752986550331116,0.05806288123130798,wholesale/retail
2010,24022,17914.27101167485,876.9687320249994,970.477095608333,0.04895363748073578,0.05417340621352196,wholesale/retail
2011,23592,18118.15595654986,874.7654878083353,975.6705642000018,0.04828115552663803,0.053850434720516205,wholesale/retail
2012,23486,18312.584993116572,872.1632992249987,978.8253269999994,0.047626443207263947,0.05345096439123154,wholesale/retail
2013,23042,18117.177904816777,848.490662333334,937.976346300001,0.04683348909020424,0.05177276208996773,wholesale/retail
2014,23174,18498.375816824984,782.200092116667,910.2309605500004,0.04228479787707329,0.04920599237084389,wholesale/retail
2015,22976,18925.981530425088,886.8342371833347,981.2402043500009,0.046858031302690506,0.05184619873762131,wholesale/retail
2016,22476,18625.01331693344,792.2360187583333,899.6112152166664,0.04253613203763962,0.04830123856663704,wholesale/retail
2017,22127,18899.219341108223,849.317338625001,952.464347750001,0.04493928328156471,0.05039701983332634,wholesale/retail
2018,21271,18824.275420099944,819.5648495249984,942.3577278916654,0.04353765770792961,0.05006077140569687,wholesale/retail
2019,19841,18209.5841456583,751.4355384916664,873.5823327583332,0.04126593470573425,0.047973766922950745,wholesale/retail
2020,17598,17508.91448110011,799.5702801000012,887.7085040250003,0.045666467398405075,0.05070037394762039,wholesale/retail
2021,17849,18170.75404659994,783.1472315166676,894.3919342333342,0.04309932515025139,0.04922150820493698,wholesale/retail
2022,16499,17980.17516885012,748.7245131500003,867.4543900999992,0.04164167121052742,0.04824504628777504,wholesale/retail
1973,3828,5949.248169999989,3046.09271,NA,0.5120130777359009,NA,"transportation, communication, and utilities"
1974,3829,6195.520809999991,3125.652850000001,NA,0.5045020580291748,NA,"transportation, communication, and utilities"
1975,3628,5940.543310000009,2926.5011600000053,NA,0.4926319122314453,NA,"transportation, communication, and utilities"
1976,3590,5978.766319999991,2954.373260000001,NA,0.4941442906856537,NA,"transportation, communication, and utilities"
1977,4344,6146.7228600000035,3094.99053,3362.187440000003,0.50351881980896,0.5469886064529419,"transportation, communication, and utilities"
1978,4388,6485.3975900000005,3248.2819299999996,3487.8361199999995,0.500860869884491,0.5377983450889587,"transportation, communication, and utilities"
1979,4519,6706.249190000031,3428.9389999999885,3684.9279699999884,0.511305034160614,0.5494767427444458,"transportation, communication, and utilities"
1980,5310,6739.477930000004,3412.675169999991,3682.5831899999903,0.5063708424568176,0.5464196801185608,"transportation, communication, and utilities"
1981,1165,6839.207680000003,3140.0564000000013,3372.40916,0.4591257572174072,0.4930993914604187,"transportation, communication, and utilities"
1983,12986,6536.074685833351,3033.9694708333354,3330.571549166672,0.4641883075237274,0.5095675587654114,"transportation, communication, and utilities"
1984,13212,6930.175616666669,2984.0517208333267,3276.7148408333255,0.43058818578720093,0.47281843423843384,"transportation, communication, and utilities"
1985,13537,7106.718934999985,2961.8408458333442,3210.7076966666796,0.41676628589630127,0.45178481936454773,"transportation, communication, and utilities"
1986,13251,7208.365750833329,2936.0583233333273,3192.184686666661,0.40731263160705566,0.4428444504737854,"transportation, communication, and utilities"
1987,13364,7411.593137499978,2914.3499858333316,3170.154255,0.3932150602340698,0.42772912979125977,"transportation, communication, and utilities"
1988,12942,7642.650475833294,2967.5948099999996,3198.097620000001,0.38829392194747925,0.41845399141311646,"transportation, communication, and utilities"
1989,13045,7691.804038333324,2870.329421666673,3109.3399008333436,0.3731672465801239,0.4042406678199768,"transportation, communication, and utilities"
1990,13638,7733.5059491666525,2914.7005133333137,3165.9602549999836,0.37689250707626343,0.40938228368759155,"transportation, communication, and utilities"
1991,13344,7714.723824166626,2869.587099166664,3095.869614999997,0.37196239829063416,0.40129363536834717,"transportation, communication, and utilities"
1992,13102,7836.942124999983,2855.6902808333293,3076.5643874999982,0.3643883466720581,0.3925720453262329,"transportation, communication, and utilities"
1993,12953,7995.1872333333495,2880.907922499991,3097.8728699999924,0.3603302538394928,0.3874672055244446,"transportation, communication, and utilities"
1994,12680,8143.639443075008,2846.7475487083457,3077.932068008345,0.3495669960975647,0.3779553472995758,"transportation, communication, and utilities"
1995,12444,8140.79583065003,2770.1221849416656,2974.013195675,0.3402765691280365,0.36532217264175415,"transportation, communication, and utilities"
1996,10984,8180.536827858301,2692.294469933333,2888.9473407499972,0.3291097581386566,0.353148877620697,"transportation, communication, and utilities"
1997,11369,8524.40247422501,2736.1384810916675,2921.4454146333346,0.3209771513938904,0.3427155613899231,"transportation, communication, and utilities"
1998,11569,8767.401883941704,2794.728000516663,2951.1260986333264,0.31876352429389954,0.336602121591568,"transportation, communication, and utilities"
1999,11867,8943.990420708342,2795.037454516661,2966.776375899991,0.31250452995300293,0.33170613646507263,"transportation, communication, and utilities"
2000,12123,9162.997657616688,2755.696334175003,2919.993586983335,0.3007417917251587,0.3186722993850708,"transportation, communication, and utilities"
2001,12667,9038.084390241713,2707.773058574998,2862.6371738999956,0.2995958924293518,0.3167305290699005,"transportation, communication, and utilities"
2002,13483,8958.743551091684,2651.097212158331,2815.1792860749943,0.2959228754043579,0.31423819065093994,"transportation, communication, and utilities"
2003,14324,9921.484531824992,2637.1049809999977,2806.9186379166704,0.2657974064350128,0.2829131782054901,"transportation, communication, and utilities"
2004,13626,9629.479237675003,2539.1022651333324,2707.2079264083345,0.2636801302433014,0.28113752603530884,"transportation, communication, and utilities"
2005,13770,9848.558481858303,2530.0446336416735,2676.8628870916746,0.25689491629600525,0.27180251479148865,"transportation, communication, and utilities"
2006,13784,10127.604468666646,2492.0088696750054,2655.4096452500025,0.2460610419511795,0.2621952295303345,"transportation, communication, and utilities"
2007,13798,10400.137335158332,2449.9338901499955,2615.29313063333,0.23556745052337646,0.25146716833114624,"transportation, communication, and utilities"
2008,13620,10336.46099335837,2495.1485037833313,2663.4993080666695,0.24139292538166046,0.2576799988746643,"transportation, communication, and utilities"
2009,12854,9622.595424399991,2248.5302094166664,2417.931937816665,0.2336719036102295,0.25127649307250977,"transportation, communication, and utilities"
2010,12651,9531.806711983334,2221.2530316750085,2370.1874150833432,0.2330358922481537,0.2486608773469925,"transportation, communication, and utilities"
2011,12453,9575.07756144165,2197.053716774999,2327.6304997250013,0.22945544123649597,0.2430925965309143,"transportation, communication, and utilities"
2012,12216,9551.203063975012,2158.6574638083393,2315.903712025006,0.22600896656513214,0.24247245490550995,"transportation, communication, and utilities"
2013,12120,9682.540353149981,2115.2544381250027,2249.063273275,0.21846069395542145,0.23228028416633606,"transportation, communication, and utilities"
2014,12304,9879.772375866598,2107.6404299500045,2240.373008966675,0.21332883834838867,0.22676362097263336,"transportation, communication, and utilities"
2015,11758,9725.21921367502,2023.481749758336,2172.103794758337,0.20806540548801422,0.22334754467010498,"transportation, communication, and utilities"
2016,11877,9941.254215008317,2081.343924566666,2259.5035407083355,0.20936432480812073,0.22728556394577026,"transportation, communication, and utilities"
2017,11814,10198.854711516651,2113.4168473916675,2261.057389716666,0.20722100138664246,0.22169718146324158,"transportation, communication, and utilities"
2018,11673,10519.117742650005,2112.9320526583338,2241.8746739083313,0.20086589455604553,0.21312382817268372,"transportation, communication, and utilities"
2019,11130,10574.352113141686,2081.083251699996,2247.1484900749992,0.19680480659008026,0.21250933408737183,"transportation, communication, and utilities"
2020,9888,10006.268723724996,2017.1679781083376,2166.4373572416707,0.201590433716774,0.21650801599025726,"transportation, communication, and utilities"
2021,10218,10827.577315575014,1990.2156223750007,2160.215437349997,0.18380987644195557,0.19951049983501434,"transportation, communication, and utilities"
2022,10081,11469.654791691697,2048.1721121416667,2182.954420766665,0.1785731315612793,0.1903243362903595,"transportation, communication, and utilities"
1973,2659,4105.0682099999995,180.6432599999999,NA,0.04400493577122688,NA,"finance, insurance, and real estate"
1974,2633,4193.400749999992,164.80030999999997,NA,0.039299920201301575,NA,"finance, insurance, and real estate"
1975,2605,4259.231459999996,167.45157999999998,NA,0.03931497409939766,NA,"finance, insurance, and real estate"
1976,2647,4365.490259999996,169.7360500000001,NA,0.0388813242316246,NA,"finance, insurance, and real estate"
