response_id,pair_id,term1,term2,selected
5171,4,May Happen,Highly Likely,Highly Likely
5171,5,Better than Even,Highly Unlikely,Better than Even
5171,6,Likely,Improbable,Likely
5171,7,Almost No Chance,Remote Chance,Remote Chance
5171,8,Chances are Slight,Probable,Probable
5171,9,About Even,Realistic Possibility,Realistic Possibility
5171,10,Might Happen,Almost Certain,Almost Certain
5170,1,Will Happen,Almost No Chance,Will Happen
5170,2,About Even,Highly Likely,Highly Likely
5170,3,Better than Even,Chances are Slight,Better than Even
5170,4,Remote Chance,Improbable,Improbable
5170,5,Realistic Possibility,May Happen,Realistic Possibility
5170,6,Probable,Very Good Chance,Very Good Chance
5170,7,Almost Certain,Unlikely,Almost Certain
5170,8,Highly Unlikely,Little Chance,Little Chance
5170,9,Likely,Could Happen,Likely
5170,10,Almost No Chance,Will Happen,Will Happen
5169,1,Will Happen,Almost No Chance,Will Happen
5169,2,About Even,Highly Likely,Highly Likely
5169,3,Better than Even,Chances are Slight,Better than Even
5169,4,Remote Chance,Improbable,Improbable
5169,5,Realistic Possibility,May Happen,Realistic Possibility
5169,6,Probable,Very Good Chance,Very Good Chance
5169,7,Almost Certain,Unlikely,Almost Certain
5169,8,Highly Unlikely,Little Chance,Little Chance
5169,9,Likely,Could Happen,Likely
5169,10,Almost No Chance,Will Happen,Will Happen
5168,1,Will Happen,Could Happen,Will Happen
5168,2,Remote Chance,Highly Unlikely,Highly Unlikely
5168,3,Almost Certain,Better than Even,Almost Certain
5168,4,Realistic Possibility,Almost No Chance,Realistic Possibility
5168,5,Unlikely,Might Happen,Might Happen
5168,6,About Even,Chances are Slight,About Even
5168,7,Little Chance,Likely,Likely
5168,8,Very Good Chance,Probable,Very Good Chance
5168,9,Improbable,Highly Likely,Highly Likely
5168,10,Could Happen,Will Happen,Will Happen
5167,1,May Happen,Realistic Possibility,Realistic Possibility
5167,2,Unlikely,Will Happen,Will Happen
5167,3,Might Happen,Almost Certain,Almost Certain
5167,4,Probable,About Even,Probable
5167,5,Highly Unlikely,Likely,Likely
5167,6,Chances are Slight,Very Good Chance,Very Good Chance
5167,7,Remote Chance,Improbable,Remote Chance
5167,8,Could Happen,Highly Likely,Highly Likely
5167,9,Little Chance,Almost No Chance,Little Chance
5167,10,Realistic Possibility,May Happen,Realistic Possibility
5166,1,Little Chance,Probable,Probable
5166,2,About Even,Almost Certain,Almost Certain
5166,3,Will Happen,Unlikely,Will Happen
5166,4,Highly Likely,Likely,Highly Likely
5166,5,Improbable,Could Happen,Could Happen
5166,6,Highly Unlikely,Chances are Slight,Chances are Slight
5166,7,Remote Chance,Almost No Chance,Remote Chance
5166,8,Might Happen,Realistic Possibility,Realistic Possibility
5166,9,May Happen,Very Good Chance,Very Good Chance
5166,10,Probable,Little Chance,Probable
5165,1,Highly Likely,Chances are Slight,Highly Likely
5165,2,May Happen,Very Good Chance,Very Good Chance
5165,3,Almost No Chance,Might Happen,Might Happen
5165,4,Improbable,Remote Chance,Remote Chance
5165,5,Will Happen,Almost Certain,Will Happen
5165,6,Unlikely,Likely,Likely
5165,7,Probable,Better than Even,Probable
5165,8,Little Chance,Could Happen,Could Happen
5165,9,Realistic Possibility,Highly Unlikely,Realistic Possibility
5165,10,Chances are Slight,Highly Likely,Highly Likely
5164,1,Improbable,Might Happen,Might Happen
5164,2,Chances are Slight,Better than Even,Better than Even
5164,3,Almost No Chance,Very Good Chance,Very Good Chance
5164,4,About Even,May Happen,May Happen
5164,5,Highly Unlikely,Realistic Possibility,Realistic Possibility
5164,6,Unlikely,Likely,Likely
5164,7,Remote Chance,Probable,Probable
5164,8,Will Happen,Almost Certain,Will Happen
5164,9,Little Chance,Highly Likely,Highly Likely
5164,10,Might Happen,Improbable,Might Happen
5163,1,Remote Chance,Little Chance,Remote Chance
5163,2,Probable,Unlikely,Probable
5163,3,Improbable,Realistic Possibility,Realistic Possibility
5163,4,Might Happen,Almost No Chance,Might Happen
5163,5,Better than Even,Highly Unlikely,Better than Even
5163,6,Likely,Could Happen,Likely
5163,7,May Happen,About Even,May Happen
5163,8,Almost Certain,Chances are Slight,Almost Certain
5163,9,Very Good Chance,Will Happen,Will Happen
5163,10,Little Chance,Remote Chance,Remote Chance
5162,1,Highly Unlikely,Little Chance,Little Chance
5162,2,Could Happen,Chances are Slight,Could Happen
5162,3,Better than Even,About Even,Better than Even
5162,4,Highly Likely,Probable,Highly Likely
5162,5,Very Good Chance,Might Happen,Very Good Chance
5162,6,Will Happen,Almost No Chance,Will Happen
5162,7,Realistic Possibility,Remote Chance,Realistic Possibility
5162,8,Unlikely,May Happen,May Happen
5162,9,Almost Certain,Likely,Almost Certain
5162,10,Little Chance,Highly Unlikely,Little Chance
5161,1,Highly Likely,Might Happen,Highly Likely
5161,2,Better than Even,Remote Chance,Better than Even
5161,3,About Even,Improbable,About Even
5161,4,Almost Certain,Likely,Almost Certain
5161,5,Little Chance,Will Happen,Will Happen
5161,6,Could Happen,Unlikely,Could Happen
5161,7,Highly Unlikely,Chances are Slight,Chances are Slight
5161,8,Almost No Chance,Probable,Probable
5161,9,Very Good Chance,Realistic Possibility,Very Good Chance
5161,10,Might Happen,Highly Likely,Highly Likely
5160,1,Very Good Chance,Probable,Very Good Chance
5160,2,Almost Certain,Will Happen,Will Happen
5160,3,Better than Even,Unlikely,Better than Even
5160,4,Could Happen,Highly Unlikely,Could Happen
5160,5,Remote Chance,Might Happen,Might Happen
5160,6,Realistic Possibility,Highly Likely,Highly Likely
5160,7,Chances are Slight,About Even,About Even
5160,8,Improbable,May Happen,May Happen
5160,9,Likely,Little Chance,Likely
5160,10,Probable,Very Good Chance,Very Good Chance
5159,1,Remote Chance,Chances are Slight,Chances are Slight
5159,2,Unlikely,Highly Likely,Highly Likely
5159,3,Probable,May Happen,Probable
5159,4,Could Happen,Little Chance,Could Happen
5159,5,Better than Even,Almost No Chance,Better than Even
5159,6,Likely,Realistic Possibility,Likely
5159,7,Very Good Chance,Improbable,Very Good Chance
5159,8,Will Happen,Highly Unlikely,Will Happen
5159,9,Might Happen,About Even,About Even
5159,10,Chances are Slight,Remote Chance,Chances are Slight
5158,1,Probable,Unlikely,Probable
5158,2,Will Happen,Chances are Slight,Will Happen
5158,3,Almost No Chance,Realistic Possibility,Realistic Possibility
5158,4,Remote Chance,Highly Likely,Highly Likely
5158,5,Might Happen,Almost Certain,Almost Certain
5158,6,Could Happen,Better than Even,Better than Even
5158,7,Highly Unlikely,Likely,Likely
5158,8,May Happen,Little Chance,May Happen
5158,9,About Even,Improbable,About Even
5158,10,Unlikely,Probable,Probable
5157,1,Almost Certain,Probable,Almost Certain
5157,2,Could Happen,Better than Even,Better than Even
5157,3,Improbable,Chances are Slight,Improbable
5157,4,Highly Likely,Realistic Possibility,Highly Likely
5157,5,Little Chance,Very Good Chance,Very Good Chance
5157,6,Unlikely,Likely,Likely
5157,7,Might Happen,Remote Chance,Might Happen
5157,8,May Happen,Almost No Chance,May Happen
5157,9,About Even,Highly Unlikely,About Even
5157,10,Probable,Almost Certain,Almost Certain
5156,1,Unlikely,Could Happen,Unlikely
5156,2,Very Good Chance,About Even,About Even
5156,3,Improbable,May Happen,May Happen
5156,4,Little Chance,Better than Even,Better than Even
5156,5,Will Happen,Highly Unlikely,Will Happen
5156,6,Realistic Possibility,Almost Certain,Realistic Possibility
5156,7,Probable,Highly Likely,Probable
5156,8,Likely,Might Happen,Likely
5156,9,Remote Chance,Chances are Slight,Remote Chance
5156,10,Could Happen,Unlikely,Unlikely
5155,1,Highly Unlikely,Probable,Probable
5155,2,Almost No Chance,Unlikely,Unlikely
5155,3,Likely,Realistic Possibility,Likely
5155,4,Remote Chance,Very Good Chance,Very Good Chance
5155,5,Might Happen,Improbable,Might Happen
5155,6,May Happen,Highly Likely,Highly Likely
5155,7,Almost Certain,Could Happen,Almost Certain
5155,8,Chances are Slight,Little Chance,Chances are Slight
5155,9,About Even,Better than Even,Better than Even
5155,10,Probable,Highly Unlikely,Probable
5154,1,Realistic Possibility,Highly Likely,Highly Likely
5154,2,Chances are Slight,Probable,Probable
5154,3,May Happen,Little Chance,May Happen
5154,4,Could Happen,Might Happen,Could Happen
5154,5,Remote Chance,Will Happen,Will Happen
5154,6,About Even,Better than Even,Better than Even
5154,7,Improbable,Almost Certain,Almost Certain
5154,8,Highly Unlikely,Unlikely,Unlikely
5154,9,Almost No Chance,Very Good Chance,Very Good Chance
5154,10,Highly Likely,Realistic Possibility,Highly Likely
5153,1,Highly Unlikely,Almost No Chance,Highly Unlikely
5153,2,Better than Even,Likely,Likely
5153,3,Little Chance,Could Happen,Could Happen
5153,4,About Even,Will Happen,Will Happen
5153,5,Improbable,Almost Certain,Almost Certain
5153,6,May Happen,Realistic Possibility,Realistic Possibility
5153,7,Highly Likely,Might Happen,Highly Likely
5153,8,Chances are Slight,Probable,Probable
5153,9,Remote Chance,Unlikely,Remote Chance
5153,10,Almost No Chance,Highly Unlikely,Highly Unlikely
5152,1,Unlikely,Almost Certain,Almost Certain
5152,2,Very Good Chance,May Happen,Very Good Chance
5152,3,Realistic Possibility,Will Happen,Will Happen
5152,4,About Even,Remote Chance,About Even
5152,5,Better than Even,Almost No Chance,Better than Even
5152,6,Likely,Probable,Likely
5152,7,Chances are Slight,Might Happen,Might Happen
5152,8,Improbable,Highly Likely,Highly Likely
5152,9,Highly Unlikely,Little Chance,Little Chance
5152,10,Almost Certain,Unlikely,Almost Certain
5151,1,Remote Chance,Unlikely,Unlikely
5151,2,Chances are Slight,About Even,About Even
5151,3,Very Good Chance,Might Happen,Very Good Chance
5151,4,Better than Even,Likely,Likely
5151,5,Highly Likely,Improbable,Highly Likely
5151,6,Almost No Chance,Highly Unlikely,Highly Unlikely
5151,7,Will Happen,Little Chance,Will Happen
5151,8,Realistic Possibility,Could Happen,Realistic Possibility
5151,9,Probable,Almost Certain,Almost Certain
5151,10,Unlikely,Remote Chance,Unlikely
5150,1,Unlikely,Little Chance,Little Chance
5150,2,Almost Certain,Better than Even,Almost Certain
5150,3,Remote Chance,About Even,About Even
5150,4,Will Happen,Probable,Will Happen
5150,5,Almost No Chance,Chances are Slight,Almost No Chance
5150,6,Might Happen,May Happen,Might Happen
5150,7,Likely,Highly Unlikely,Likely
5150,8,Could Happen,Realistic Possibility,Could Happen
5150,9,Improbable,Highly Likely,Highly Likely
5150,10,Little Chance,Unlikely,Unlikely
5149,1,Very Good Chance,About Even,Very Good Chance
5149,2,Will Happen,Probable,Will Happen
5149,3,Likely,Better than Even,Likely
5149,4,Unlikely,Chances are Slight,Unlikely
5149,5,May Happen,Improbable,May Happen
5149,6,Remote Chance,Little Chance,Little Chance
5149,7,Highly Likely,Almost Certain,Almost Certain
5149,8,Could Happen,Might Happen,Could Happen
5149,9,Highly Unlikely,Almost No Chance,Highly Unlikely
5149,10,About Even,Very Good Chance,Very Good Chance
5148,1,Almost Certain,Likely,Almost Certain
5148,2,Will Happen,Realistic Possibility,Will Happen
5148,3,Probable,About Even,Probable
5148,4,Very Good Chance,Remote Chance,Very Good Chance
5148,5,Might Happen,Could Happen,Could Happen
5148,6,Almost No Chance,Better than Even,Better than Even
5148,7,Chances are Slight,Unlikely,Unlikely
5148,8,Little Chance,Highly Unlikely,Little Chance
5148,9,May Happen,Improbable,May Happen
5148,10,Likely,Almost Certain,Almost Certain
5147,1,Realistic Possibility,Little Chance,Realistic Possibility
5147,2,Highly Likely,Will Happen,Will Happen
5147,3,Probable,May Happen,Probable
5147,4,Likely,About Even,Likely
5147,5,Could Happen,Unlikely,Could Happen
5147,6,Might Happen,Improbable,Might Happen
5147,7,Very Good Chance,Remote Chance,Very Good Chance
5147,8,Better than Even,Almost No Chance,Better than Even
5147,9,Highly Unlikely,Chances are Slight,Chances are Slight
5147,10,Little Chance,Realistic Possibility,Realistic Possibility
5146,1,About Even,Remote Chance,About Even
5146,2,Will Happen,Could Happen,Will Happen
5146,3,Likely,Little Chance,Likely
5146,4,Highly Unlikely,Unlikely,Unlikely
5146,5,Probable,Highly Likely,Highly Likely
5146,6,Realistic Possibility,Almost No Chance,Realistic Possibility
5146,7,Improbable,Might Happen,Might Happen
5146,8,Better than Even,Chances are Slight,Better than Even
5146,9,Very Good Chance,Almost Certain,Almost Certain
5146,10,Remote Chance,About Even,About Even
5145,1,Unlikely,Could Happen,Could Happen
5145,2,Very Good Chance,About Even,Very Good Chance
5145,3,Improbable,May Happen,May Happen
5145,4,Little Chance,Better than Even,Better than Even
5145,5,Will Happen,Highly Unlikely,Will Happen
5145,6,Realistic Possibility,Almost Certain,Almost Certain
5145,7,Probable,Highly Likely,Highly Likely
5145,8,Likely,Might Happen,Likely
5145,9,Remote Chance,Chances are Slight,Remote Chance
5145,10,Could Happen,Unlikely,Could Happen
5144,1,Chances are Slight,Probable,Probable
5144,2,Highly Unlikely,Highly Likely,Highly Likely
5144,3,Improbable,About Even,About Even
5144,4,Better than Even,May Happen,Better than Even
5144,5,Could Happen,Likely,Likely
5144,6,Almost No Chance,Might Happen,Might Happen
5144,7,Unlikely,Almost Certain,Almost Certain
5144,8,Little Chance,Remote Chance,Little Chance
5144,9,Will Happen,Realistic Possibility,Will Happen
5144,10,Probable,Chances are Slight,Probable
5143,1,About Even,Almost No Chance,About Even
5143,2,Could Happen,Might Happen,Might Happen
5143,3,Almost Certain,Better than Even,Almost Certain
5143,4,Chances are Slight,Realistic Possibility,Realistic Possibility
5143,5,Remote Chance,Highly Unlikely,Remote Chance
5143,6,Probable,Very Good Chance,Very Good Chance
5143,7,Improbable,Unlikely,Unlikely
5143,8,May Happen,Little Chance,May Happen
5143,9,Likely,Will Happen,Will Happen
5143,10,Almost No Chance,About Even,About Even
5142,1,Could Happen,May Happen,May Happen
5142,2,Highly Unlikely,Realistic Possibility,Realistic Possibility
5142,3,Improbable,Probable,Probable
5142,4,Remote Chance,Will Happen,Will Happen
5142,5,Unlikely,Better than Even,Better than Even
5142,6,Might Happen,Likely,Likely
5142,7,Little Chance,About Even,About Even
5142,8,Chances are Slight,Almost Certain,Almost Certain
5142,9,Almost No Chance,Very Good Chance,Very Good Chance
5142,10,May Happen,Could Happen,May Happen
5141,1,Highly Unlikely,Likely,Likely
5141,2,Realistic Possibility,Will Happen,Will Happen
5141,3,Improbable,May Happen,May Happen
5141,4,Almost Certain,Unlikely,Almost Certain
5141,5,Chances are Slight,Highly Likely,Highly Likely
5141,6,Better than Even,Almost No Chance,Better than Even
5141,7,About Even,Remote Chance,About Even
5141,8,Could Happen,Little Chance,Could Happen
5141,9,Very Good Chance,Probable,Very Good Chance
5141,10,Likely,Highly Unlikely,Likely
5140,1,About Even,Might Happen,About Even
5140,2,Very Good Chance,Unlikely,Very Good Chance
5140,3,Highly Likely,Better than Even,Highly Likely
5140,4,Will Happen,Chances are Slight,Will Happen
5140,5,Little Chance,Probable,Probable
5140,6,Could Happen,Remote Chance,Could Happen
5140,7,Likely,Highly Unlikely,Likely
5140,8,Almost Certain,Almost No Chance,Almost Certain
5140,9,Realistic Possibility,May Happen,Realistic Possibility
5140,10,Might Happen,About Even,Might Happen
5139,1,Almost Certain,Highly Unlikely,Almost Certain
5139,2,Remote Chance,Unlikely,Unlikely
5139,3,Very Good Chance,Could Happen,Very Good Chance
5139,4,Realistic Possibility,Will Happen,Will Happen
5139,5,Improbable,Better than Even,Better than Even
5139,6,Highly Likely,May Happen,Highly Likely
5139,7,Almost No Chance,Likely,Likely
5139,8,About Even,Might Happen,About Even
5139,9,Little Chance,Probable,Probable
5139,10,Highly Unlikely,Almost Certain,Almost Certain
5138,1,Little Chance,Highly Likely,Highly Likely
5138,2,Highly Unlikely,Remote Chance,Highly Unlikely
5138,3,Will Happen,Realistic Possibility,Will Happen
5138,4,Improbable,Unlikely,Unlikely
5138,5,Almost Certain,Probable,Almost Certain
5138,6,Might Happen,About Even,About Even
5138,7,Very Good Chance,Almost No Chance,Very Good Chance
5138,8,Could Happen,May Happen,May Happen
5138,9,Better than Even,Chances are Slight,Better than Even
5138,10,Highly Likely,Little Chance,Highly Likely
5137,1,Might Happen,About Even,About Even
5137,2,Highly Unlikely,Highly Likely,Highly Likely
5137,3,May Happen,Likely,Likely
5137,4,Remote Chance,Will Happen,Will Happen
5137,5,Realistic Possibility,Almost Certain,Almost Certain
5137,6,Unlikely,Improbable,Unlikely
5137,7,Better than Even,Very Good Chance,Very Good Chance
5137,8,Almost No Chance,Chances are Slight,Chances are Slight
5137,9,Probable,Little Chance,Little Chance
5137,10,About Even,Might Happen,About Even
5136,1,About Even,Almost No Chance,About Even
5136,2,Highly Unlikely,Almost Certain,Almost Certain
5136,3,Realistic Possibility,Probable,Probable
5136,4,Chances are Slight,May Happen,May Happen
5136,5,Remote Chance,Might Happen,Might Happen
5136,6,Little Chance,Better than Even,Better than Even
5136,7,Highly Likely,Unlikely,Highly Likely
5136,8,Likely,Very Good Chance,Very Good Chance
5136,9,Will Happen,Improbable,Will Happen
5136,10,Almost No Chance,About Even,About Even
5135,1,About Even,Highly Likely,Highly Likely
5135,2,Almost No Chance,Little Chance,Little Chance
5135,3,Better than Even,May Happen,May Happen
5135,4,Realistic Possibility,Very Good Chance,Very Good Chance
5135,5,Remote Chance,Highly Unlikely,Remote Chance
5135,6,Unlikely,Probable,Probable
5135,7,Improbable,Could Happen,Improbable
5135,8,Chances are Slight,Almost Certain,Almost Certain
5135,9,Likely,Will Happen,Will Happen
5135,10,Highly Likely,About Even,Highly Likely
5134,1,Unlikely,Little Chance,Little Chance
5134,2,Almost Certain,Better than Even,Almost Certain
5134,3,Remote Chance,About Even,About Even
5134,4,Will Happen,Probable,Will Happen
5134,5,Almost No Chance,Chances are Slight,Chances are Slight
5134,6,Might Happen,May Happen,May Happen
5134,7,Likely,Highly Unlikely,Likely
5134,8,Could Happen,Realistic Possibility,Could Happen
5134,9,Improbable,Highly Likely,Highly Likely
5134,10,Little Chance,Unlikely,Little Chance
5133,1,Unlikely,Could Happen,Could Happen
5133,2,Very Good Chance,About Even,Very Good Chance
5133,3,Improbable,May Happen,May Happen
5133,4,Little Chance,Better than Even,Better than Even
5133,5,Will Happen,Highly Unlikely,Will Happen
5133,6,Realistic Possibility,Almost Certain,Almost Certain
5133,7,Probable,Highly Likely,Highly Likely
5133,8,Likely,Might Happen,Likely
5133,9,Remote Chance,Chances are Slight,Remote Chance
5133,10,Could Happen,Unlikely,Could Happen
5132,1,About Even,Almost No Chance,About Even
5132,2,Could Happen,Might Happen,Might Happen
5132,3,Almost Certain,Better than Even,Almost Certain
5132,4,Chances are Slight,Realistic Possibility,Realistic Possibility
5132,5,Remote Chance,Highly Unlikely,Remote Chance
5132,6,Probable,Very Good Chance,Probable
5132,7,Improbable,Unlikely,Unlikely
5132,8,May Happen,Little Chance,May Happen
5132,9,Likely,Will Happen,Will Happen
5132,10,Almost No Chance,About Even,About Even
5131,1,Better than Even,Little Chance,Better than Even
5131,2,Chances are Slight,Improbable,Chances are Slight
5131,3,Might Happen,May Happen,May Happen
5131,4,Could Happen,Almost Certain,Almost Certain
5131,5,Highly Likely,Realistic Possibility,Highly Likely
5131,6,Will Happen,Remote Chance,Will Happen
5131,7,Probable,Likely,Probable
5131,8,About Even,Unlikely,About Even
5131,9,Very Good Chance,Highly Unlikely,Very Good Chance
5131,10,Little Chance,Better than Even,Better than Even
5130,1,Realistic Possibility,Probable,Probable
5130,2,Improbable,Likely,Likely
5130,3,Little Chance,Very Good Chance,Very Good Chance
5130,4,About Even,Chances are Slight,About Even
5130,5,Highly Likely,Remote Chance,Highly Likely
5130,6,Almost No Chance,Might Happen,Might Happen
5130,7,Will Happen,Unlikely,Will Happen
5130,8,Highly Unlikely,Could Happen,Could Happen
5130,9,Better than Even,May Happen,Better than Even
5130,10,Probable,Realistic Possibility,Probable
5129,1,Better than Even,Almost No Chance,Better than Even
5129,2,Unlikely,Very Good Chance,Very Good Chance
5129,3,Realistic Possibility,Highly Unlikely,Realistic Possibility
5129,4,Improbable,Little Chance,Improbable
5129,5,Will Happen,Highly Likely,Will Happen
5129,6,About Even,Likely,Likely
5129,7,Could Happen,Remote Chance,Could Happen
5129,8,Probable,Almost Certain,Almost Certain
5129,9,Chances are Slight,Might Happen,Might Happen
5129,10,Almost No Chance,Better than Even,Better than Even
5128,1,May Happen,Could Happen,May Happen
5128,2,Almost Certain,Might Happen,Almost Certain
5128,3,Remote Chance,Almost No Chance,Remote Chance
5128,4,Unlikely,Highly Unlikely,Unlikely
5128,5,Chances are Slight,Probable,Probable
5128,6,Realistic Possibility,Little Chance,Realistic Possibility
5128,7,About Even,Improbable,About Even
5128,8,Highly Likely,Will Happen,Will Happen
5128,9,Better than Even,Likely,Better than Even
5128,10,Could Happen,May Happen,May Happen
5127,1,About Even,Almost No Chance,About Even
5127,2,Could Happen,Might Happen,Might Happen
5127,3,Almost Certain,Better than Even,Almost Certain
5127,4,Chances are Slight,Realistic Possibility,Realistic Possibility
5127,5,Remote Chance,Highly Unlikely,Remote Chance
5127,6,Probable,Very Good Chance,Very Good Chance
5127,7,Improbable,Unlikely,Unlikely
5127,8,May Happen,Little Chance,May Happen
5127,9,Likely,Will Happen,Will Happen
5127,10,Almost No Chance,About Even,About Even
5126,1,Almost Certain,Could Happen,Almost Certain
5126,2,Might Happen,Likely,Likely
5126,3,About Even,Will Happen,Will Happen
5126,4,Highly Likely,Very Good Chance,Highly Likely
5126,5,Improbable,Realistic Possibility,Realistic Possibility
5126,6,Unlikely,May Happen,May Happen
5126,7,Probable,Remote Chance,Probable
5126,8,Highly Unlikely,Little Chance,Little Chance
5126,9,Almost No Chance,Better than Even,Better than Even
5126,10,Could Happen,Almost Certain,Almost Certain
5125,1,Remote Chance,About Even,About Even
5125,2,Unlikely,Very Good Chance,Very Good Chance
5125,3,Highly Likely,Better than Even,Highly Likely
5125,4,Might Happen,Almost No Chance,Might Happen
5125,5,Highly Unlikely,Will Happen,Will Happen
5125,6,Likely,Almost Certain,Almost Certain
5125,7,Probable,Could Happen,Probable
5125,8,Improbable,May Happen,May Happen
5125,9,Realistic Possibility,Chances are Slight,Realistic Possibility
5125,10,About Even,Remote Chance,About Even
5124,1,Improbable,Will Happen,Will Happen
5124,2,Probable,Unlikely,Probable
5124,3,Almost No Chance,Highly Unlikely,Highly Unlikely
5124,4,May Happen,Very Good Chance,Very Good Chance
5124,5,Highly Likely,Remote Chance,Highly Likely
5124,6,Little Chance,Could Happen,Could Happen
5124,7,Chances are Slight,Almost Certain,Almost Certain
5124,8,Realistic Possibility,About Even,Realistic Possibility
5124,9,Might Happen,Better than Even,Better than Even
5124,10,Will Happen,Improbable,Will Happen
5123,1,May Happen,Remote Chance,May Happen
5123,2,Highly Likely,Might Happen,Highly Likely
5123,3,Little Chance,Unlikely,Little Chance
5123,4,Could Happen,Realistic Possibility,Realistic Possibility
5123,5,Will Happen,Almost No Chance,Will Happen
5123,6,Probable,Better than Even,Probable
5123,7,Chances are Slight,Almost Certain,Almost Certain
5123,8,About Even,Very Good Chance,Very Good Chance
5123,9,Likely,Improbable,Likely
5123,10,Remote Chance,May Happen,May Happen
5122,1,Could Happen,Remote Chance,Could Happen
5122,2,Might Happen,Highly Unlikely,Might Happen
5122,3,May Happen,Little Chance,May Happen
5122,4,Improbable,Very Good Chance,Very Good Chance
5122,5,About Even,Almost Certain,Almost Certain
5122,6,Highly Likely,Better than Even,Highly Likely
5122,7,Likely,Chances are Slight,Likely
5122,8,Realistic Possibility,Probable,Realistic Possibility
5122,9,Unlikely,Will Happen,Will Happen
5122,10,Remote Chance,Could Happen,Could Happen
5121,1,Almost Certain,Likely,Almost Certain
5121,2,Better than Even,Remote Chance,Better than Even
5121,3,May Happen,Highly Likely,Highly Likely
5121,4,Very Good Chance,Might Happen,Very Good Chance
5121,5,Little Chance,Highly Unlikely,Little Chance
5121,6,Improbable,About Even,About Even
5121,7,Chances are Slight,Realistic Possibility,Realistic Possibility
5121,8,Almost No Chance,Probable,Probable
5121,9,Unlikely,Will Happen,Will Happen
5121,10,Likely,Almost Certain,Almost Certain
5120,1,About Even,Could Happen,About Even
5120,2,Remote Chance,Little Chance,Little Chance
5120,3,Probable,Might Happen,Probable
5120,4,Better than Even,Highly Likely,Highly Likely
5120,5,Almost No Chance,Unlikely,Unlikely
5120,6,Improbable,Chances are Slight,Improbable
5120,7,Very Good Chance,Will Happen,Will Happen
5120,8,Almost Certain,Likely,Almost Certain
5120,9,Realistic Possibility,May Happen,Realistic Possibility
5120,10,Could Happen,About Even,About Even
5119,1,About Even,Better than Even,Better than Even
5119,2,Probable,Will Happen,Will Happen
5119,3,Chances are Slight,Little Chance,Little Chance
5119,4,Could Happen,Almost No Chance,Could Happen
5119,5,Likely,Unlikely,Likely
5119,6,Might Happen,Highly Likely,Highly Likely
