response_id,timestamp,age_band,english_background,education_level,country_of_residence
5143,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,Greece
5142,2026-02,25-34,English is my first language,Postgraduate,Ireland
5141,2026-02,NA,NA,NA,NA
5140,2026-02,NA,NA,NA,NA
5139,2026-02,45-54,English is my first language,Postgraduate,New Zealand
5138,2026-02,35-44,English is my first language,Postgraduate,United States
5137,2026-02,65-74,English is my first language,Postgraduate,United Kingdom
5136,2026-02,NA,NA,NA,NA
5135,2026-02,35-44,English is my first language,Bachelor,United States
5134,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,Switzerland
5133,2026-02,25-34,English is my first language,Bachelor,United States
5132,2026-02,45-54,English is my first language,Postgraduate,United Kingdom
5131,2026-02,35-44,English is my first language,Postgraduate,United States
5130,2026-02,35-44,English is my first language,Postgraduate,United States
5129,2026-02,25-34,English is not my first language but I am fluent,Bachelor,India
5128,2026-02,NA,NA,NA,NA
5127,2026-02,25-34,English is not my first language but I am fluent,Some college,Greece
5126,2026-02,25-34,English is my first language,Bachelor,United States
5125,2026-02,NA,NA,NA,NA
5124,2026-02,18-24,English is my first language,Postgraduate,United States
5123,2026-02,35-44,English is my first language,Postgraduate,United States
5122,2026-02,45-54,English is my first language,Postgraduate,United States
5121,2026-02,NA,NA,NA,NA
5120,2026-02,55-64,English is my first language,Postgraduate,United Kingdom
5119,2026-02,55-64,English is my first language,Postgraduate,Canada
5118,2026-02,55-64,English is my first language,Bachelor,United Kingdom
5117,2026-02,55-64,English is my first language,Postgraduate,United Kingdom
5116,2026-02,45-54,English is my first language,Bachelor,United Kingdom
5115,2026-02,18-24,English is my first language,Bachelor,United States
5114,2026-02,NA,NA,NA,NA
5113,2026-02,18-24,English is my first language,Bachelor,United States
5112,2026-02,25-34,English is my first language,Postgraduate,United States
5111,2026-02,25-34,English is my first language,Postgraduate,United States
5110,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,United Kingdom
5109,2026-02,25-34,English is my first language,Bachelor,United States
5108,2026-02,25-34,English is my first language,Postgraduate,United States
5107,2026-02,35-44,English is my first language,Postgraduate,United States
5106,2026-02,25-34,English is my first language,Postgraduate,United States
5105,2026-02,NA,NA,NA,NA
5104,2026-02,45-54,English is my first language,Postgraduate,United States
5103,2026-02,NA,NA,NA,NA
5102,2026-02,45-54,English is my first language,Bachelor,New Zealand
5101,2026-02,55-64,English is my first language,Postgraduate,United States
5100,2026-02,45-54,English is my first language,Postgraduate,United States
5099,2026-02,25-34,English is my first language,Postgraduate,United Kingdom
5098,2026-02,35-44,English is my first language,Bachelor,United States
5097,2026-02,NA,NA,NA,NA
5096,2026-02,NA,NA,NA,NA
5095,2026-02,45-54,English is my first language,Bachelor,United States
5094,2026-02,45-54,English is my first language,Postgraduate,United States
5093,2026-02,25-34,English is my first language,Bachelor,United States
5092,2026-02,25-34,English is my first language,Postgraduate,United States
5091,2026-02,NA,NA,NA,NA
5090,2026-02,45-54,English is my first language,Bachelor,United Kingdom
5089,2026-02,45-54,English is my first language,Bachelor,Ireland
5088,2026-02,25-34,English is my first language,Bachelor,United States
5087,2026-02,55-64,English is my first language,Bachelor,United States
5086,2026-02,NA,NA,NA,NA
5085,2026-02,25-34,English is my first language,Postgraduate,France
5084,2026-02,45-54,English is my first language,Postgraduate,United Kingdom
5083,2026-02,45-54,English is my first language,Bachelor,United States
5082,2026-02,65-74,English is my first language,Postgraduate,United States
5081,2026-02,25-34,English is my first language,Some college,United States
5080,2026-02,45-54,English is my first language,Postgraduate,Ireland
5079,2026-02,55-64,English is my first language,Postgraduate,United States
5078,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,Australia
5077,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,United States
5076,2026-02,45-54,English is not my first language but I am fluent,Postgraduate,Australia
5075,2026-02,NA,NA,NA,NA
5074,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,United States
5073,2026-02,35-44,English is my first language,Bachelor,United States
5072,2026-02,45-54,English is my first language,Postgraduate,United States
5071,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,Afghanistan
5070,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,United States
5069,2026-02,35-44,English is not my first language and I am not fluent,Bachelor,United States
5068,2026-02,25-34,English is my first language,Postgraduate,United States
5067,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,United States
5066,2026-02,25-34,English is my first language,Postgraduate,Canada
5065,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,United States
5064,2026-02,35-44,English is my first language,Bachelor,United States
5063,2026-02,65-74,English is my first language,Postgraduate,United States
5062,2026-02,NA,NA,NA,NA
5061,2026-02,35-44,English is my first language,Postgraduate,United States
5060,2026-02,35-44,English is my first language,Bachelor,Canada
5059,2026-02,25-34,English is my first language,Postgraduate,United States
5058,2026-02,35-44,English is my first language,Postgraduate,United Kingdom
5057,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,Denmark
5056,2026-02,45-54,English is my first language,Bachelor,United Kingdom
5055,2026-02,45-54,English is not my first language but I am fluent,Postgraduate,NA
5054,2026-02,65-74,English is my first language,Bachelor,United Kingdom
5053,2026-02,25-34,English is my first language,Bachelor,United States
5052,2026-02,25-34,English is my first language,Bachelor,United States
5051,2026-02,NA,NA,NA,NA
5050,2026-02,35-44,English is my first language,Bachelor,United States
5049,2026-02,25-34,English is my first language,Bachelor,United States
5048,2026-02,35-44,English is my first language,Bachelor,United States
5047,2026-02,NA,NA,NA,NA
5046,2026-02,35-44,English is my first language,Bachelor,United States
5045,2026-02,35-44,English is my first language,Bachelor,United States
5044,2026-02,35-44,English is my first language,Bachelor,United States
5043,2026-02,25-34,English is my first language,Bachelor,United States
5042,2026-02,35-44,English is my first language,Bachelor,United States
5041,2026-02,25-34,English is my first language,Bachelor,United States
5040,2026-02,NA,NA,NA,NA
5039,2026-02,35-44,English is my first language,Bachelor,United States
5038,2026-02,25-34,English is my first language,Bachelor,United States
5037,2026-02,18-24,English is my first language,Bachelor,United States
5036,2026-02,25-34,English is my first language,High school,United Kingdom
5035,2026-02,25-34,English is my first language,Some college,United Kingdom
5034,2026-02,35-44,English is not my first language but I am fluent,Some college,Chile
5033,2026-02,25-34,English is not my first language but I am fluent,Bachelor,Venezuela
5032,2026-02,45-54,English is my first language,Bachelor,United Kingdom
5031,2026-02,25-34,English is my first language,Some college,United Kingdom
5030,2026-02,25-34,English is my first language,High school,United States
5029,2026-02,35-44,English is my first language,Bachelor,United States
5028,2026-02,55-64,English is my first language,Postgraduate,United States
5027,2026-02,25-34,English is my first language,Postgraduate,United States
5026,2026-02,25-34,English is my first language,Bachelor,United States
5025,2026-02,35-44,English is my first language,Postgraduate,United Kingdom
5024,2026-02,18-24,English is my first language,Postgraduate,United Kingdom
5023,2026-02,35-44,English is my first language,Bachelor,United States
5022,2026-02,35-44,English is my first language,Bachelor,Canada
5021,2026-02,45-54,English is my first language,Bachelor,New Zealand
5020,2026-02,25-34,English is my first language,Bachelor,United States
5019,2026-02,25-34,English is my first language,Bachelor,United States
5018,2026-02,25-34,English is my first language,Postgraduate,United States
5017,2026-02,55-64,English is my first language,Some college,United States
5016,2026-02,35-44,English is my first language,Postgraduate,United States
5015,2026-02,NA,NA,NA,NA
5014,2026-02,25-34,English is my first language,Bachelor,United States
5013,2026-02,35-44,English is my first language,Postgraduate,United States
5012,2026-02,45-54,English is my first language,Bachelor,United States
5011,2026-02,35-44,English is my first language,Postgraduate,United States
5010,2026-02,NA,NA,NA,NA
5009,2026-02,35-44,English is my first language,Postgraduate,United States
5008,2026-02,25-34,English is my first language,Postgraduate,United States
5007,2026-02,35-44,English is my first language,Postgraduate,United States
5006,2026-02,35-44,English is my first language,Postgraduate,United States
5005,2026-02,35-44,English is my first language,Postgraduate,United States
5004,2026-02,35-44,English is my first language,Postgraduate,United States
5003,2026-02,45-54,English is my first language,Postgraduate,United States
5002,2026-02,35-44,English is my first language,Postgraduate,United Kingdom
5001,2026-02,35-44,English is my first language,Postgraduate,United States
5000,2026-02,45-54,English is my first language,Some college,United States
4999,2026-02,25-34,English is my first language,Bachelor,United States
4998,2026-02,35-44,English is not my first language but I am fluent,Bachelor,Denmark
4997,2026-02,45-54,English is my first language,Postgraduate,United States
4996,2026-02,25-34,English is my first language,High school,United States
4995,2026-02,25-34,English is my first language,Postgraduate,United States
4994,2026-02,35-44,English is my first language,Bachelor,United States
4993,2026-02,25-34,English is my first language,Bachelor,Canada
4992,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,Denmark
4991,2026-02,25-34,English is my first language,Postgraduate,Canada
4990,2026-02,45-54,English is my first language,Postgraduate,United States
4989,2026-02,25-34,English is my first language,Postgraduate,United States
4988,2026-02,25-34,English is my first language,Bachelor,United States
4987,2026-02,25-34,English is my first language,Postgraduate,United States
4986,2026-02,35-44,English is my first language,Bachelor,Canada
4985,2026-02,NA,NA,NA,NA
4984,2026-02,35-44,English is my first language,Bachelor,Canada
4983,2026-02,NA,NA,NA,NA
4982,2026-02,25-34,English is my first language,Bachelor,Australia
4981,2026-02,55-64,English is my first language,Some college,United States
4980,2026-02,18-24,English is my first language,Bachelor,United States
4979,2026-02,25-34,English is my first language,Postgraduate,United States
4978,2026-02,45-54,English is my first language,Bachelor,United States
4977,2026-02,25-34,English is my first language,Bachelor,NA
4976,2026-02,35-44,English is my first language,Bachelor,Germany
4975,2026-02,35-44,English is my first language,Postgraduate,United States
4974,2026-02,25-34,English is my first language,Bachelor,United States
4973,2026-02,25-34,English is my first language,Bachelor,United States
4972,2026-02,35-44,English is my first language,Postgraduate,United States
4971,2026-02,55-64,English is my first language,Postgraduate,United States
4970,2026-02,45-54,English is my first language,Bachelor,United States
4969,2026-02,NA,NA,NA,NA
4968,2026-02,35-44,English is my first language,Postgraduate,United States
4967,2026-02,35-44,English is my first language,Some college,United States
4966,2026-02,25-34,English is my first language,Postgraduate,United States
4965,2026-02,35-44,English is my first language,Postgraduate,United States
4964,2026-02,25-34,English is my first language,Bachelor,United States
4963,2026-02,25-34,English is my first language,Bachelor,United States
4962,2026-02,25-34,English is my first language,Postgraduate,United States
4961,2026-02,55-64,English is my first language,Bachelor,United States
4960,2026-02,45-54,English is my first language,Bachelor,China
4959,2026-02,35-44,English is my first language,Postgraduate,United States
4958,2026-02,45-54,English is my first language,Bachelor,United States
4957,2026-02,25-34,English is my first language,Bachelor,United States
4956,2026-02,35-44,English is my first language,Bachelor,United States
4955,2026-02,18-24,English is not my first language but I am fluent,Bachelor,Russia
4954,2026-02,65-74,English is my first language,Postgraduate,Canada
4953,2026-02,35-44,English is my first language,Postgraduate,United Kingdom
4952,2026-02,35-44,English is my first language,Bachelor,Australia
4951,2026-02,35-44,English is my first language,Postgraduate,Canada
4950,2026-02,35-44,English is my first language,Postgraduate,United States
4949,2026-02,35-44,English is my first language,Bachelor,Australia
4948,2026-02,35-44,English is my first language,Postgraduate,United States
4947,2026-02,75+,English is my first language,Postgraduate,United Kingdom
4946,2026-02,25-34,English is my first language,Bachelor,United States
4945,2026-02,35-44,English is my first language,Postgraduate,United States
4944,2026-02,75+,English is my first language,Postgraduate,United States
4943,2026-02,35-44,English is my first language,Postgraduate,United States
4942,2026-02,45-54,English is my first language,Bachelor,New Zealand
4941,2026-02,35-44,English is my first language,Postgraduate,United States
4940,2026-02,25-34,English is my first language,Postgraduate,United States
4939,2026-02,25-34,English is my first language,Bachelor,United States
4938,2026-02,18-24,English is my first language,Some college,Canada
4937,2026-02,NA,NA,NA,NA
4936,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,Italy
4935,2026-02,NA,NA,NA,NA
4934,2026-02,25-34,English is my first language,Postgraduate,United States
4933,2026-02,35-44,English is my first language,Bachelor,United States
4932,2026-02,NA,NA,NA,NA
4931,2026-02,18-24,English is my first language,Bachelor,United States
4930,2026-02,45-54,English is my first language,Bachelor,United States
4929,2026-02,45-54,English is my first language,Bachelor,United States
4928,2026-02,45-54,English is not my first language but I am fluent,Some college,United States
4927,2026-02,25-34,English is my first language,Bachelor,United States
4926,2026-02,55-64,English is my first language,Postgraduate,Canada
4925,2026-02,18-24,English is my first language,Bachelor,United States
4924,2026-02,25-34,English is my first language,Bachelor,United Kingdom
4923,2026-02,35-44,English is my first language,Postgraduate,United States
4922,2026-02,35-44,English is my first language,Bachelor,United States
4921,2026-02,45-54,English is my first language,Bachelor,United Kingdom
4920,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,France
4919,2026-02,35-44,English is my first language,Postgraduate,United States
4918,2026-02,45-54,English is not my first language but I am fluent,Postgraduate,United States
4917,2026-02,35-44,English is my first language,Bachelor,United States
4916,2026-02,35-44,English is my first language,Bachelor,United States
4915,2026-02,NA,NA,NA,NA
4914,2026-02,35-44,English is my first language,Bachelor,United States
4913,2026-02,25-34,English is my first language,Postgraduate,United States
4912,2026-02,45-54,English is my first language,Bachelor,Canada
4911,2026-02,45-54,English is my first language,Postgraduate,United States
4910,2026-02,35-44,English is my first language,Bachelor,United States
4909,2026-02,45-54,English is my first language,Postgraduate,United States
4908,2026-02,35-44,English is my first language,Postgraduate,Canada
4907,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,Netherlands
4906,2026-02,Under 18,English is my first language,Some college,Canada
4905,2026-02,25-34,English is my first language,Bachelor,United States
4904,2026-02,25-34,English is my first language,Some college,United States
4903,2026-02,25-34,English is my first language,Some college,United States
4902,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,Canada
4901,2026-02,25-34,English is my first language,Postgraduate,United States
4900,2026-02,25-34,English is my first language,Postgraduate,United States
4899,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,Canada
4898,2026-02,NA,NA,NA,NA
4897,2026-02,25-34,English is my first language,Some college,United States
4896,2026-02,25-34,English is my first language,Bachelor,United States
4895,2026-02,35-44,English is my first language,Postgraduate,United States
4894,2026-02,NA,NA,NA,NA
4893,2026-02,55-64,English is my first language,Some college,United Kingdom
4892,2026-02,55-64,English is my first language,Postgraduate,United States
4891,2026-02,35-44,English is my first language,Bachelor,South Africa
4890,2026-02,35-44,English is my first language,Some college,United States
4889,2026-02,45-54,English is my first language,Some college,United States
4888,2026-02,25-34,English is my first language,Bachelor,Canada
4887,2026-02,35-44,English is my first language,Bachelor,United States
4886,2026-02,25-34,English is my first language,Bachelor,United Kingdom
4885,2026-02,35-44,English is my first language,Postgraduate,United States
4884,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,Hungary
4883,2026-02,35-44,English is my first language,Postgraduate,United States
4882,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,Italy
4881,2026-02,45-54,English is my first language,Postgraduate,United Kingdom
4880,2026-02,NA,NA,NA,NA
4879,2026-02,NA,NA,NA,NA
4878,2026-02,25-34,English is my first language,Postgraduate,United States
4877,2026-02,35-44,English is my first language,Postgraduate,United States
4876,2026-02,35-44,English is my first language,Postgraduate,United States
4875,2026-02,45-54,English is my first language,Bachelor,United States
4874,2026-02,45-54,English is my first language,Postgraduate,United States
4873,2026-02,35-44,English is my first language,Bachelor,United States
4872,2026-02,35-44,English is my first language,Postgraduate,United States
4871,2026-02,35-44,English is my first language,Bachelor,United States
4870,2026-02,25-34,English is my first language,Bachelor,United States
4869,2026-02,35-44,English is my first language,Bachelor,United States
4868,2026-02,25-34,English is my first language,Bachelor,United States
4867,2026-02,45-54,English is not my first language but I am fluent,Bachelor,Peru
4866,2026-02,45-54,English is my first language,Postgraduate,United States
4865,2026-02,45-54,English is not my first language but I am fluent,Postgraduate,United States
4864,2026-02,35-44,English is my first language,Bachelor,United States
4863,2026-02,45-54,English is my first language,Postgraduate,United Kingdom
4862,2026-02,45-54,English is not my first language but I am fluent,Postgraduate,Canada
4861,2026-02,35-44,English is my first language,Postgraduate,United States
4860,2026-02,35-44,English is my first language,Postgraduate,United States
4859,2026-02,25-34,English is my first language,Bachelor,United States
4858,2026-02,45-54,English is my first language,Some college,United States
4857,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,Italy
4856,2026-02,45-54,English is not my first language but I am fluent,Some college,Serbia
4855,2026-02,35-44,English is not my first language but I am fluent,Bachelor,Mexico
4854,2026-02,65-74,English is my first language,Bachelor,United States
4853,2026-02,45-54,English is my first language,Bachelor,United States
4852,2026-02,35-44,English is my first language,Some college,United Kingdom
4851,2026-02,45-54,English is my first language,Bachelor,United States
4850,2026-02,45-54,English is my first language,Postgraduate,United States
4849,2026-02,35-44,English is my first language,Bachelor,United States
4848,2026-02,35-44,English is my first language,Bachelor,United States
4847,2026-02,25-34,English is my first language,Postgraduate,United Kingdom
4846,2026-02,45-54,English is my first language,Bachelor,United States
4845,2026-02,25-34,English is my first language,Bachelor,United States
4844,2026-02,35-44,English is my first language,Postgraduate,United States
4843,2026-02,45-54,English is my first language,Postgraduate,New Zealand
4842,2026-02,35-44,English is my first language,Bachelor,United States
4841,2026-02,35-44,English is my first language,Bachelor,United States
4840,2026-02,35-44,English is my first language,Postgraduate,United States
4839,2026-02,55-64,English is my first language,Bachelor,United States
4838,2026-02,35-44,English is my first language,Bachelor,New Zealand
4837,2026-02,35-44,English is my first language,Bachelor,United States
4836,2026-02,25-34,English is my first language,Bachelor,United States
4835,2026-02,45-54,English is my first language,Postgraduate,United States
4834,2026-02,25-34,English is my first language,Bachelor,United States
4833,2026-02,25-34,English is my first language,Bachelor,United States
4832,2026-02,45-54,English is my first language,Postgraduate,Switzerland
4831,2026-02,NA,NA,NA,NA
4830,2026-02,35-44,English is my first language,Bachelor,United States
4829,2026-02,25-34,English is my first language,Bachelor,United States
4828,2026-02,35-44,English is my first language,Bachelor,United States
4827,2026-02,25-34,English is my first language,Postgraduate,United States
4826,2026-02,45-54,English is my first language,Postgraduate,United States
4825,2026-02,25-34,English is my first language,Postgraduate,United States
4824,2026-02,NA,NA,NA,NA
4823,2026-02,35-44,English is my first language,Postgraduate,United States
4822,2026-02,35-44,English is my first language,Postgraduate,United States
4821,2026-02,25-34,English is my first language,Postgraduate,United States
4820,2026-02,35-44,English is my first language,Bachelor,United States
4819,2026-02,35-44,English is my first language,Bachelor,United States
4818,2026-02,35-44,English is my first language,Postgraduate,United States
4817,2026-02,25-34,English is my first language,Bachelor,United States
4816,2026-02,NA,NA,NA,NA
4815,2026-02,55-64,English is my first language,Postgraduate,United States
4814,2026-02,25-34,English is my first language,Bachelor,France
4813,2026-02,35-44,English is my first language,Bachelor,United States
4812,2026-02,NA,English is not my first language but I am fluent,NA,NA
4811,2026-02,35-44,English is my first language,NA,NA
4810,2026-02,NA,NA,NA,NA
4809,2026-02,NA,NA,NA,NA
4808,2026-02,18-24,English is not my first language but I am fluent,Bachelor,Germany
4807,2026-02,35-44,English is my first language,Bachelor,United States
4806,2026-02,45-54,English is my first language,Postgraduate,United Kingdom
4805,2026-02,35-44,English is my first language,Postgraduate,United States
4804,2026-02,35-44,English is my first language,Postgraduate,United States
4803,2026-02,35-44,English is my first language,Postgraduate,United States
4802,2026-02,35-44,English is my first language,Bachelor,United States
4801,2026-02,NA,NA,NA,NA
4800,2026-02,35-44,English is my first language,Bachelor,United States
4799,2026-02,45-54,English is my first language,Bachelor,United States
4798,2026-02,45-54,English is my first language,Postgraduate,United States
4797,2026-02,35-44,English is my first language,Postgraduate,United States
4796,2026-02,25-34,English is my first language,Postgraduate,United States
4795,2026-02,NA,NA,NA,NA
4794,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,Lithuania
4793,2026-02,35-44,English is my first language,Bachelor,United States
4792,2026-02,25-34,English is my first language,Some college,United States
4791,2026-02,Under 18,English is my first language,High school,United States
4790,2026-02,35-44,English is my first language,Bachelor,United States
4789,2026-02,35-44,English is my first language,Bachelor,United States
4788,2026-02,35-44,English is my first language,Postgraduate,United States
4787,2026-02,NA,NA,NA,NA
4786,2026-02,25-34,English is my first language,Postgraduate,United States
4785,2026-02,25-34,English is my first language,Bachelor,United States
4784,2026-02,NA,NA,NA,NA
4783,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,United States
4782,2026-02,45-54,English is my first language,Postgraduate,United States
4781,2026-02,35-44,English is my first language,Postgraduate,United States
4780,2026-02,Under 18,English is not my first language but I am fluent,Less than high school,NA
4779,2026-02,35-44,English is my first language,Postgraduate,United States
4778,2026-02,35-44,English is my first language,Bachelor,United States
4777,2026-02,NA,NA,NA,NA
4776,2026-02,35-44,English is my first language,Bachelor,United States
4775,2026-02,18-24,English is my first language,Bachelor,United States
4774,2026-02,35-44,English is my first language,Some college,United States
4773,2026-02,25-34,English is my first language,Postgraduate,United States
4772,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,France
4771,2026-02,25-34,English is my first language,Postgraduate,United States
4770,2026-02,35-44,English is my first language,Postgraduate,United States
4769,2026-02,35-44,English is my first language,Postgraduate,United States
4768,2026-02,25-34,English is my first language,Postgraduate,United States
4767,2026-02,35-44,English is my first language,Bachelor,United States
4766,2026-02,25-34,English is my first language,Bachelor,United Kingdom
4765,2026-02,25-34,English is my first language,Bachelor,United States
4764,2026-02,NA,NA,NA,NA
4763,2026-02,35-44,English is my first language,Bachelor,United States
4762,2026-02,35-44,English is my first language,Postgraduate,United States
4761,2026-02,65-74,English is my first language,Postgraduate,United Kingdom
4760,2026-02,45-54,English is my first language,Postgraduate,United States
4759,2026-02,NA,NA,NA,NA
4758,2026-02,NA,NA,NA,NA
4757,2026-02,45-54,English is my first language,Bachelor,Ireland
4756,2026-02,25-34,English is my first language,Bachelor,United Kingdom
4755,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,Germany
4754,2026-02,25-34,English is my first language,Postgraduate,United Kingdom
4753,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,United States
4752,2026-02,55-64,English is my first language,Bachelor,Germany
4751,2026-02,35-44,English is my first language,Bachelor,United States
4750,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,Spain
4749,2026-02,35-44,English is my first language,Bachelor,Australia
4748,2026-02,25-34,English is my first language,Postgraduate,United Kingdom
4747,2026-02,45-54,English is not my first language but I am fluent,Some college,Czechia
4746,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,NA
4745,2026-02,25-34,English is not my first language but I am fluent,Some college,NA
4744,2026-02,45-54,English is not my first language but I am fluent,Postgraduate,Netherlands
4743,2026-02,45-54,English is my first language,Postgraduate,Netherlands
4742,2026-02,NA,NA,NA,NA
4741,2026-02,45-54,English is my first language,Bachelor,United Kingdom
4740,2026-02,25-34,English is my first language,Postgraduate,United States
4739,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,Belgium
4738,2026-02,35-44,English is my first language,Postgraduate,United Kingdom
4737,2026-02,35-44,English is my first language,Postgraduate,United States
4736,2026-02,35-44,English is my first language,Postgraduate,United States
4735,2026-02,35-44,English is my first language,Postgraduate,United Kingdom
4734,2026-02,45-54,English is not my first language but I am fluent,Bachelor,Italy
4733,2026-02,45-54,English is not my first language but I am fluent,Postgraduate,Italy
4732,2026-02,NA,NA,NA,NA
4731,2026-02,35-44,English is not my first language but I am fluent,Some college,Austria
4730,2026-02,18-24,English is not my first language but I am fluent,Bachelor,NA
4729,2026-02,18-24,English is not my first language but I am fluent,Bachelor,Germany
4728,2026-02,35-44,English is my first language,Bachelor,United States
4727,2026-02,18-24,English is not my first language but I am fluent,Bachelor,Germany
4726,2026-02,35-44,English is my first language,Some college,United States
4725,2026-02,35-44,English is my first language,Some college,South Africa
4724,2026-02,45-54,English is my first language,Bachelor,Italy
4723,2026-02,NA,NA,NA,NA
4722,2026-02,35-44,English is my first language,Bachelor,United States
4721,2026-02,35-44,English is not my first language but I am fluent,Some college,United States
4720,2026-02,35-44,English is my first language,Postgraduate,United States
4719,2026-02,25-34,English is my first language,Bachelor,United Kingdom
4718,2026-02,NA,NA,NA,NA
4717,2026-02,35-44,English is my first language,Some college,United States
4716,2026-02,25-34,English is my first language,Bachelor,United States
4715,2026-02,55-64,English is my first language,High school,United Kingdom
4714,2026-02,NA,NA,NA,NA
4713,2026-02,45-54,English is my first language,Postgraduate,United Kingdom
4712,2026-02,45-54,English is my first language,Postgraduate,United States
4711,2026-02,65-74,English is my first language,Bachelor,United States
4710,2026-02,35-44,English is my first language,Bachelor,United States
4709,2026-02,25-34,English is my first language,Bachelor,United States
4708,2026-02,NA,NA,NA,NA
4707,2026-02,35-44,English is my first language,Postgraduate,United States
4706,2026-02,45-54,English is my first language,Postgraduate,United States
4705,2026-02,35-44,English is my first language,Bachelor,Australia
4704,2026-02,25-34,English is my first language,Bachelor,United States
4703,2026-02,65-74,English is my first language,Bachelor,United States
4702,2026-02,35-44,English is my first language,Postgraduate,United States
4701,2026-02,55-64,English is my first language,Postgraduate,United States
4700,2026-02,25-34,English is my first language,Bachelor,United States
4699,2026-02,18-24,English is my first language,Bachelor,United States
4698,2026-02,35-44,English is my first language,Bachelor,Singapore
4697,2026-02,NA,NA,NA,NA
4696,2026-02,45-54,English is my first language,Bachelor,United States
4695,2026-02,35-44,English is my first language,Bachelor,United States
4694,2026-02,25-34,English is my first language,Bachelor,United States
4693,2026-02,35-44,English is my first language,Postgraduate,United States
4692,2026-02,35-44,English is my first language,Postgraduate,Canada
4691,2026-02,25-34,English is my first language,Postgraduate,Australia
4690,2026-02,NA,NA,NA,NA
4689,2026-02,35-44,English is my first language,Bachelor,United States
4688,2026-02,45-54,English is my first language,Postgraduate,United States
4687,2026-02,35-44,English is my first language,Bachelor,United States
4686,2026-02,NA,NA,NA,NA
4685,2026-02,NA,NA,NA,NA
4684,2026-02,55-64,English is my first language,Bachelor,United States
4683,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,United States
4682,2026-02,35-44,English is not my first language but I am fluent,Bachelor,United States
