taxonomic_name,common_name,cultivation,sunlight,water,preferred_ph_lower,preferred_ph_upper,nutrients,soil,season,temperature_class,temperature_germination,temperature_growing,days_germination,days_harvest,nutritional_info,energy,sensitivities,description,requirements
Cucurbita pepo,Zucchini or Courgette,Cucurbit,Full sun,Medium,6,7,High,Any well-drained and fertile,Annual,Tender,21,21-35,7,50-60,NA,NA,NA,"Used as a vegetable, it has a very mild flavour and is very watery. Tends to be harvested when very young.",Courgettes are easy to grow and will crop prolifically through summer and early autumn. They are ready for picking very soon after flowering. They will swell and form marrows if not harvested.
Cucumis sativus,Cucumber,Cucurbit,Full sun/partial shade,High,5.5,7,High,Any well-drained and fertile,Annual,Tender,35,16-35,3,90-120,NA,NA,NA,A climbing plant that produces fruits that are used raw in salads or cooked. Valued for its crisp texture and juiciness.,"There are indoor and outdoor varieties available so it’s worth checking what's the right type for you before you start sowing. You can grow cucumbers in the ground, in growbags and even in containers."
Cucumis melo,Melon,Cucurbit,Full sun,High,5.5,7.5,High,Loamy,Annual,Tender,24-32,18-,4-10,75-100,NA,NA,NA,A sweet fruit eaten raw with a high water content so is refreshing. The seeds can also be eaten and are rich in oil.,"Melons are tender plants. They need a warm, and sunny spot with high humidity and a rich, fertile, moisture retentive, deep and well-drained soil."
Cucurbita moschata,Pumpkin,Cucurbit,Full sun,Medium,6,7,High,Any well-drained and fertile,Annual,Hardy,35,21-35,4,90-120,NA,NA,NA,"Both the flesh and the seed of the fruit can be eaten. The flesh is eaten cooked, and seeds can be eaten raw.","Pumpkins are fun and easy to cultivate, but need a sunny position, plenty of water, and shelter from cold winds. Once the first fruits start to swell, feed every 10-14 days with a high potash liquid fertiliser."
Citrullus lanatus,Water melon,Cucurbit,Full sun,High,6,7,High,Sandy,Annual,Tender,35,26,4,80-100,NA,NA,NA,"The flesh of these large fruits are eaten raw. They have a very high water content, so are often used to make refreshing drinks.","Native to Africa, melons are very tender and need warmth (up to 25°F during the day) along with a long growing season. They are heavy feeders, and grow best on raised rows to ensure good drainage and heat retention."
Lactuca sativa,Lettuce (Headed),Salad,Partial shade,High,6,7,Medium,Any well-drained and fertile,Annual,Tender,24,4-27,3,45-100,NA,NA,NA,"Hearting lettuces have a dense centre of leaves which can be used in salads. Choose the right variety and you can have lettuce almost all year, with difference colours and flavours to try.",Lettuce requires full sun on moisture-retentive soil. It is a cool season crop and can tolerate light frosts. It will bolt in warm weather.
Apium graveolens,Celery,Salad,Full sun/partial shade,High,6,7,High,Loamy,NA,Tender,21,13-,7,90-140,NA,NA,NA,"The leaves and stems of this plant are eaten either raw or cooked. When raw they are a common salad ingredient, and cooked they are used in soups.","Celery is a long-season crop that can be tricky to grow. It prefers a temperature range of 12-21°C, is a heavy feeder, and requires lots of water."
cichorium intybus,Chicory,Salad,Full sun/partial shade,Low,6,6.7,Low,"Chalky, sandy and clay",NA,Hardy,21,10-25,6,75-80,NA,NA,NA,"The leaves are eaten raw or cooked and are often blanched by excluding light by earthing over, or covering the plant. The root is cooked similar to parsnip, or roasted and used as a coffee substitute.","Chicory prefers an open, sunny site, with moderately fertile well-drained moisture retentive soil."
Amaranthus cruentus,Amaranth (Grain),Miscellaneous,Full sun,Medium,6,7,Medium,Well-drained and fertile,NA,Tender,18-24,15-20,4,90-120,NA,NA,NA,"Grown for its very small seed. These can be eaten cooked, or ground into a powder for baking. Eaten raw they are sprouted and used in salads.","Amaranth is a warm season crop that requires full sun. Described as disease-free and drought-tolerant, they thrive in rich and well drained soil. Once established, they produce abundant harvests under dry conditions."
Cynara cardunculus,Artichoke (Globe),Brassica,Full sun/partial shade,Medium,6,7,High potassium fertiliser every 2 weeks.,Loamy,perennial,Tender,NA,10-24,10-21,100-150,NA,NA,NA,The inner heart of the flower buds from this perennial are eaten raw or cooked.,"Globe artichokes are large, architectural perennial plants, that are ornamental enough for the flower garden. They grow well in reasonably fertile, well drained soils."
Helianthus tuberosus,Artichoke (Jerusalem),Miscellaneous,Full sun,Low,6.5,7.5,Low,Sand/loam/clay,NA,Very hardy,18-32,18-32,10-17,110-150,NA,NA,NA,"This statuesque plant is a relative of the sunflower. It is grown for it's below-ground tubers that can be cooked or eaten raw, it also boasts attractive yellow flowers perched on 3m (10ft) stems.",Jerusalem artichokes are grown from tubers and will grow in just about any soil. Plant the least lumpy ones to breed out the knobbly artichokes which are more difficulty to peel.
Asparagus officinalis,Asparagus,Miscellaneous,Full sun/partial shade,Medium,6.5,7.5,Medium,Sandy and loamy,NA,Hardy,24,20,10,NA,NA,NA,NA,"Asparagus is a herbaceous, perennial plant of which only the newly emerging shoots from young plants are eaten.","Grows best in an open, sunny site, but will tolerate dappled shade. It is not fussy about the soil type as long as it is well drained."
Solanum melongena,Aubergine,Solanaceae,Full sun,very high,5.5,7,High potassium fertiliser every 2 weeks.,Loamy and potting mix,NA,Tender,30,24-32,4,65-80,NA,NA,NA,"Grown for it's egg-shaped, glossy, purple fruit which has white flesh. Eaten cooked, it is normally baked, stewed or added to soups.",Sunshine and warm growing conditions are the key to success. Water regularly and feed with a high potassium liquid fertiliser every two weeks once the first fruit has set.
Phaseolus vulgaris,Beans (Borlotti),Legume,Full sun/partial shade,Medium,6,6.5,Low,Any well-drained and fertile,NA,Tender,16,16-30,7,55-80,NA,NA,NA,Pods are picked when mature and then dried.,They are not frost hardy and need sunshine and warm soil to flourish. Beans will not germinate if the soil temperatures are below 10°C.
Beta vulgaris,Beetroot,Umbelliferae,Full sun/partial shade,Medium,6,7.5,Medium,Loamy,NA,Half hardy,30,10-30,4,55-80,"Packed with antioxidants, carbohydrates, potassium and folic acid.",0,NA,"Grown for both the root and the leaves. The root is normally boiled then pickled, but if harvested young they can be used raw. The leaves can be eaten raw or cooked, but excessive harvesting can reduce the yield of the tape root.","Beetroot will grow in well-drained, loose, fertile soil, with plenty of well rotted organic matter added. Beetroot is one of the few root crops that can be grown from transplants."
Brassica rapa (Chinensis group),Bok Choy,Brassica,Full sun,High,6.5,7,Low,Loamy,NA,Tender,13-24,10-24,6-10,45-60,NA,NA,NA,The stalks are crisp and the leaves are smooth and tender with a flavour somewhere between cabbage and chard. It can be used raw or cooked.,"Bok choy can handle full sun, but it grows best in partial shade. It needs about 3 - 5 hours of sun each day and can be harvested in 45 - 60 days. It tolerates light frost, but exposure to cold temperatures in spring can trigger early bolting."
Brassica oleracea,Cabbage (Autumn red),Brassica,Full sun,High,6,7.5,High,Sand/loam/clay,biennial,Hardy,26,7-30,4,60-110,NA,NA,NA,"Also known as headed cabbage, grown for it's tightly packed leaves. There are many difference varieties that also vary in flavour. Can be eaten raw or cooked.",Cabbage is a cool-season crop best planted in early spring or mid to late summer. They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.
Brassica oleracea,Cabbage (Autumn),Brassica,Full sun,High,6,7.5,High,Sand/loam/clay,biennial,Hardy,26,7-30,4,60-110,NA,NA,NA,"Also known as headed cabbage, grown for it's tightly packed leaves. There are many difference varieties that also vary in flavour. Can be eaten raw or cooked.",Cabbage is a cool-season crop best planted in early spring or mid to late summer. They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.
Brassica rapa (Chinensis group),Cabbage (Chinese),Brassica,Full sun,High,6,7.5,High,Loamy,NA,Tender,13-24,10-24,6-10,45-60,NA,NA,NA,Also know as napa cabbage and is a close relation to pak choi. This plant has crinkly pal green leaves that grown in a tight oval shaped head. Can be eaten raw or cooked.,"Chinese cabbage can handle full sun, but it grows best in partial shade. It needs about 3 - 5 hours of sun each day and can be harvested in 45 - 60 days. It tolerates light frost, but exposure to cold temperatures in spring can trigger early bolting."
Brassica oleracea,Cabbage (Spring red),Brassica,Full sun,High,6,7.5,High,Sand/loam/clay,biennial,Hardy,26,7-30,4,60-110,NA,NA,NA,"Also known as headed cabbage, grown for it's tightly packed leaves. There are many difference varieties that also vary in flavour. Can be eaten raw or cooked.",Cabbage is a cool-season crop best planted in early spring or mid to late summer. They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.
Brassica oleracea,Cabbage (Summer red),Brassica,Full sun,High,6,7.5,High,Sand/loam/clay,biennial,Hardy,26,7-30,4,60-110,NA,NA,NA,"Also known as headed cabbage, grown for it's tightly packed leaves. There are many difference varieties that also vary in flavour. Can be eaten raw or cooked.",Cabbage is a cool-season crop best planted in early spring or mid to late summer. They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.
Brassica oleracea,Cabbage (Summer),Brassica,Full sun,High,6,7.5,High,Sand/loam/clay,biennial,Hardy,26,7-30,4,60-110,NA,NA,NA,"Also known as headed cabbage, grown for it's tightly packed leaves. There are many difference varieties that also vary in flavour. Can be eaten raw or cooked.",Cabbage is a cool-season crop best planted in early spring or mid to late summer. They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.
Brassica oleracea,Calabrese,Brassica,partial shade,Medium,6,7,High,Loamy and sandy,NA,Tender,24,7-30,7,55-85,NA,NA,NA,"Often described as broccoli, calabrese has one large head, but does produce smaller ones after the main head is harvested.",This cool-season crop grows best when daytime temperatures are in the high teens °C .
Daucus carota,Carrot,Umbelliferae,Full sun/partial shade,High,5.5,7,Low,Loamy and sandy,biennial,Hardy,26,7-30,4,60-80,NA,NA,NA,"The swollen taproot of this fast growing plant can be eaten raw or cooked. Normally orange, but varieties range from white to black.","Best grown in light, fertile soil in a sunny position. Heavy or stony soils can cause stunted or forked carrots. They like hot weather and are drought resistant, seldom needing water. However if foliage starts wilt, give a thorough soaking of water."
Apium graveolens (var. rapaceum),Celeriac,Umbelliferae,Full sun,High,5.5,6.5,Medium,NA,NA,Hardy,21-24,15-18,11,90-120,NA,NA,NA,"Also called turnip-rooted celery. The whole plant can eaten. However, it is usually grown for its knobbly, odd-shaped root, which has a celery-like flavour. It can be eaten raw or cooked.","Celeriac is hardier and more disease resistant than its relative celery. It is a moisture-loving plant that needs fertile, organic rich, moisture retentive soil. Keep the soil constantly moist – it should never be allowed to dry out."
Capsicum annuum (Longum group),Chilli Pepper,Solanaceae,Full sun,Medium,7,8.5,High,Loamy and sandy,NA,Tender,30,17-,10,60-90,NA,NA,NA,"The fruit, the chilli peppers, vary wildly in size, shape and colour, they are green to start with and ripen to a rich red but they can also be orange, yellow, purple or brown. Chillies are used to add heat to dishes and can be eaten cooked or raw.","Chilli plants love heat, and require 30°C or more for the fruit to ripen with night temperatures not general dropping below 15°C. They grow best in rich and free draining soil, but will grow in any reasonably fertile soil."
Allium schoenoprasum,Chives,Allium,Full sun/partial shade/full shade,Medium,6,7.5,Low,"Sandy, clay and peat-rich soil",NA,Hardy,21,4-30,10,continual,NA,NA,NA,"A member of the onion family. Chives take up very little space. The bulbs can be eaten as mild onions, the leaves are great in salads and as flavouring, and the flower heads add a splash of colour to any dish.","Chives are perennial plants that do best in moisture retentive, well-drained soil. They prefer well-dug soil with the addition of well-rotted compost or organic material. However, they will grow in almost any soil and are fairly tolerant of drought."
Lepidium sativum,Cress,Miscellaneous,full sun/partial shade/ full shade,Medium,6,7,Low,NA,NA,Tender,10-18,10-18,5,7-11,NA,NA,NA,"You can use entire seedlings for micro greens. However, when allowed to grow on to produce mature leaves, they can be used raw in salads.","Cress is a cool season annual. It grows well in loose soil with a sunny location and. Cress prefers a consistently moist soil, and thrives in hydroponics."
Cichorium endivia,Endive,Miscellaneous,Full sun/partial shade,Medium,6,7,Low,NA,NA,Half hardy,21,10-25,6,70-85,"Rich in many vitamins and minerals, especially in folate and vitamins A and K and is high in fibre. It is used in salads, soups and sautéed",0,NA,A salad green similar to lettuce but stronger in flavour. It is commonly blanched before harvesting to give it a paler appearance and a milder flavour. It grows from a large rosette of light-green leaves in the centre that become dark towards outer edges.,"Endive is a cool-season biennial grown as annuals. They prefer soils that are light, rich and free draining, but any soil can be used as long as it is not waterlogged. Extender periods of temperatures less than 5°C or dry soil can cause ‘bolting’"
Foeniculum vulgare,Fennel,Umbelliferae,Full sun,Medium,6,7,High,NA,NA,Hardy,21,15-30,7,80-,NA,NA,NA,"The whole plant is used for it’s aromatic, slightly sweet, and slightly spicy anise flavour. The swollen leaf bases, the crispy stems and the delicate fonds for are used garnish. The blossoms are also highly prized for their pollen.","Fennel can be grown either as an annual for its swollen leaf bases or ‘bulbs’ and edible leaves. Or as an perennial herb for its leaves and seeds. Once established it is a drought tolerant and prefers a sunny spot in light, free-draining soil."
Allium sativum,Garlic,Allium,Full sun/partial shade,Medium,5.5,7.5,Low,Loamy,NA,Very hard,NA,NA,NA,70-,NA,NA,NA,The bulb of the garlic plant has a very strong flavour. It is usually used cooked in small quantities as a flavouring.,"Garlic is best planted between November and April and prefers a position in full sun with a well drained, light soil."
Zingiber officinale,Ginger,Miscellaneous,Partial shade,High,5,6,Medium,NA,NA,Tender,NA,NA,NA,240-,NA,NA,NA,"This flowering plant is a herbaceous perennial grown for the rhizome, or root, which has a hot and fragrant flavour. It has many uses from flavouring dishes to made into candy.","In warm climates it can be grown outdoors, chooses deep, enriched, sandy loam soil with part-day shade. In cooler climates, grow ginger in containers placed in sun, and move to partial shade during summer heat waves."
Brassica oleracea (Gongylodes group),Kohlrabi,Brassica,Full sun/partial shade,Medium,6,7.5,Medium,NA,NA,Very hardy,26,NA,4,70-80,NA,NA,NA,"Also know and the ""turnip cabbage"", the swollen stem has a sweet flavour and crunchy texture.","This odd looking brassica it is more drought resistant than most brassicas, and succeeds where swedes and turnips fail. It does not need a deep soil, as it is the stem that grows into a bulb. Provide soil that is free-draining but moisture retentive."
Allium ampeloprasum,Leek,Allium,Full sun/partial shade,Medium,6.5,7.5,Medium,NA,NA,Very hardy,21,NA,7,85-150,NA,NA,NA,"A member of the onion family that produces a long cylinder of leaves. Often blanched by placing soil round the stems as they grow, to keep the lower part of the leaves white.","Leeks are very hardy vegetables that grow best on a moist, light soil that’s had plenty of organic matter added to it. Grow leeks in a sunny, open position in well-dug soil."
Valerianella locusta,Lettuce (Lambs/Corn Salad),Miscellaneous,Full sun,High,6,7,Medium,Loamy,NA,Tender,13,4-27,7,30-60,NA,NA,NA,"A small annual plant who’s leaves are eaten raw as salad greens. It has a characteristic nutty flavour, dark green colour, and a soft texture.","Corn salad grows best on fertilizer remaining in the bed after summer crops have been harvested, but will grow vigorously in almost any soil. It is a hardy survivor and will be bountiful in the early spring."
Lactuca sativa,Lettuce (Loose Leaf),Miscellaneous,Partial shade,High,6,7,Medium,Loamy,NA,Tender,24,4-27,NA,60-,NA,NA,NA,The crisp leaves of lettuce are used in salads. There is no tight head in these varieties and for this reason are more perishable.,"Grow lettuces in full sun on moisture-retentive soil, by choosing the right varieties and you can have lettuce almost all year round. High soil temperatures in summer can prevent some cultivars from germinating."
Claytonia perfoliata,Winter Purslane (Miners lettuce),Miscellaneous,Full sun/partial shade,High,6,7,Medium,NA,NA,Very hardy,10,4-27,NA,60-,NA,NA,NA,These succulent and juicy leaves are on of the hardiest salad leaves and can be grown all year round.,"Plants do best in a slightly shaded position, protected from harsh hot weather. Keep soil moist during dry periods, and can tolerate frost. This plant is a prolific self seeder, and can tolerate low fertility."
Pisum sativum (var. macrocarpon),Mangetout,Legume,Full sun/partial shade,Medium,6,7,Medium,Loamy,NA,Half hardy,11,4-24,6,50-170,NA,NA,NA,A flat podded variety of pea eaten whole while the peas within are still small.,Require a sunny position with well drained rich soil. Provide something for plants to climb up.
Cucurbita pepo,Marrow,Cucurbit,Full sun,Medium,6,7.5,High,NA,NA,Tender,21,NA,7,85-90,NA,NA,NA,The mature fruit of the courgette.,"Easy to grow and will crop prolifically. They require the soil to be constantly moist, but water round the plant not over them."
Brassica juncea (var. japonica),Mizuna,Brassica,Full sun/partial shade,High,6.5,7,High,NA,NA,Hardy,NA,NA,NA,21-50,NA,NA,NA,A finely desiccated leaf with a peppery flavour. Used in salads or stir-frys.,"Prefer to be grown on rich, loamy soils with high water retention. Grow in and open sunny position with some shade as this plant dislikes extreme heat."
Brassicaceae sinapis alba,Mustard,Brassica,Full sun/partial shade,Medium,6,7.5,Medium,NA,NA,Hardy,NA,NA,NA,30-50,NA,NA,NA,"Grown for the round hard seeds, but the leaves can also be eaten prior to flowering. In warm weather the taste is stronger.","Easy to grow as not only do these thrive in cool weather, but they are also heat tolerant. Can also be grown as a green manure in in late summer."
Abelmoschus esculentus,Okra,Miscellaneous,Full sun,High,6,7.5,Medium,Loamy,NA,Tender,35,NA,6,50-60,NA,NA,NA,"A tapering seed pod which produces a sticky, viscous liquid when cooked which thickens soups and sauces. Widely used in Indian and Caribbean dishes, or whole as a side dish.","Okra likes well drained soil warm weather and full sun, seed pods are best picked a week after pollination while still tender. Soak seeds overnight before planting."
Allium cepa,Onion,Allium,Full sun/partial shade,Medium,6,7,Medium,"Loamy, clay and sandy",NA,Hardy,24,10-35,6,90-130,NA,NA,NA,Onion is a multi layered bulb which has a sharp pungent flavour. Used raw in salad or cooked to add flavour to dishes.,"Onions can be grown from either seed or a set (small bulb). They are easy to grow and can be planted in the spring, or autumn in most soil types."
Allium cepa,Onion (Autumn planted),Allium,Full sun/partial shade,Medium,6,7,Medium,"Loamy, clay and sandy",NA,Hardy,24,NA,6,90-130,NA,NA,NA,Onion is a multi layered bulb which has a sharp pungent flavour. Used raw in salad or cooked to add flavour to dishes.,"Onions can be grown from either seed or a set (small bulb). They are easy to grow and can be planted in the spring, or autumn in most soil types."
Allium fistulosum,Onions (Perennial),Allium,Full sun/partial shade,Medium,6,7,Low,Loamy and sandy,NA,Very hardy,24,NA,6,60 -,NA,NA,NA,"These plants don’t develop bulbs, but have hollow leaves with the distinctive taste of onion. Seeds can also be used as sprouts.","Easy to grow, and only require watering when dry, and feed occasionally. Will grow in most climates."
Allium cepa,Onions (Red),Allium,Full sun/partial shade,Medium,6,7,Medium,"Loamy, clay and sandy",NA,Very hardy,24,NA,6,90-130,NA,NA,NA,Onion is a multi layered bulb which has a sharp pungent flavour. Used raw in salad or cooked to add flavour to dishes.,"Onions can be grown from either seed or a set (small bulb). They are easy to grow and can be planted in the spring, or autumn in most soil types."
Pastinaca sativa,Parsnip,Umbelliferae,Full sun/partial shade,Medium,5.5,7.5,Low,NA,NA,Half hardy,18,10-21,14,80-120,NA,NA,NA,"Closely related to the carrot, and grown for it's swollen root. Becomes sweeter after a frost.","Will grow in most soils, but do best in light rich soils which are stone free."
Capsicum annuum (Grossum group),Bell Pepper,Solanaceae,Full sun/partial shade,Medium,5.5,7,High,Loamy and silty,NA,Tender,30,17-35,8,60-80,NA,31,NA,"Bell or Sweet Peppers come in many different colours, sizes and flavours. They are all categorized by their rating on the Scoville Scale - the standard for describing hotness. Sweet peppers have a rating or 0 or 1 and placed in the Grossum group.","Sweet pepper grows as an annual in well drained soil, but be sure to maintain adequate moisture either with mulch or plastic covering. They are also heat sensitive (above 30ºC), so mulching during the summer months helps keep the soil temperature down."
Solanum tuberosum,Potatoes (Early),Solanaceae,Full sun,Medium,4.5,6,Low,"Well-drained, fertile and high in organic matter. Loamy and clay",NA,Tender,NA,7-26,NA,90-115,NA,NA,NA,"A versatile tuber which is high in starch and a staple ingredient in many meals. Comes in many different varieties, with different cooking properties. Some suited to frying, others to boiling.",Plant once soil temperatures are above 7°C. Potatoes are planted in ridges with the soil drawn up round the stems to protect the swelling tubers from sunlight.
Solanum tuberosum,Potatoes (Main crop),Solanaceae,Full sun,Medium,4.5,6,Low,"Well-drained, fertile and high in organic matter. Loamy and clay",NA,Tender,NA,7-26,NA,100-115,NA,NA,NA,"A versatile tuber which is high in starch and a staple ingredient in many meals. Comes in many different varieties, with different cooking properties. Some suited to frying, others to boiling.",Plant once soil temperatures are above 7°C. Potatoes are planted in ridges with the soil drawn up round the stems to protect the swelling tubers from sunlight.
Portulaca oleracea,Purslane,Miscellaneous,Full sun/partial shade,Low,5.5,7,Low,"Loamy, sandy and silty",NA,Hardy,32,NA,NA,40-100,NA,NA,NA,"Purslane is an annual succulent that is eaten either fresh as a salad, or cooked similar to spinach. Its flavour is slightly sour and salty.","Purslane is a fast-growing annual with succulent leaves and stems, often considered a weed. Will grow in any soil, and does best in warm weather with regular water."
Chenopodium quinoa,Quinoa,Miscellaneous,Full sun,Low,6,7,Low,"Well-drained, fertile and loamy",NA,Tender,18-24,15-20,4,90-120,NA,NA,NA,"Mainly grown for it's seeds which are cooked like rice. The outer coating of the seed is bitter in taste and requires removing. Quinoa is also gluten free, and high in protein.","Quinoa is a cool season crop that requires full sun. Described as disease-free and drought-tolerant, they thrive in rich and well drained soil. Once established, they produce abundant harvests under dry conditions."
Raphanus raphanistrum (subsp. sativus),Radish,Brassica,Full sun/partial shade,Medium,6,7,Low,"Loamy, clay and sandy",NA,Half hardy,30,NA,4,25-50,NA,NA,NA,This swollen root is a crunchy salad vegetable with a sharp sweet flavour.,"A cool season crop which is fast to mature and easy to grow. Requires full sun and moisture. Can be grown as a 'catch crop' between rows of slower maturing vegetables, or as a row marker in slow to germinate crops."
Rheum rhabarbarum,Rhubarb,Miscellaneous,Full sun/partial shade,Medium,5.5,7,Low,NA,perennial,Hardy,21,24,7,x,NA,NA,NA,"The crisp sharp flavoured stalks of this perennial can be eaten raw, but normally cooked with sugar and prepared similar to fruit. The large leaves are not eaten as they contain oxalic acid that can cause poisoning.",Rhubarb prefers an open sunny site with well drained soil. Do not allow the crowns to be covered as they are prone to rotting.
Brassicaceae eruca sativa,Rocket,Brassica,Full sun/partial shade,Medium,6,7,Low,NA,NA,Half hardy,18-22,NA,6,40-90,NA,NA,NA,An edible herb which is used as a leafy salad vegetable. Also used in cooking due to it's strong peppery flavour.,"Plants prefer some shade to keep the leaves tender, and keeping the soil moist and the plants growing will prevent them going to seed. Can be sown throughout the spring and summer for continual cropping."
Tragopogon porrifolius,Salsify,Miscellaneous,Full sun,Medium,6,7.5,Low,Loamy and sandy,NA,Half hardy,21,NA,6,120-,NA,NA,NA,"Used in a similar way to other root vegetables (mashed, boiled or roasted). This creamy fleshed taproot with its oyster like taste makes a welcome change.",An easy slow growing cool weather plant that likes loose rich soil. The edible roots will become fibrous if watering is not even and adequate.
Scorzonera hispanica,Scorzonera (Black salsify),Miscellaneous,Full sun,Medium,6,7,Low,Loamy and sandy,NA,Hardy,21,NA,6,120-,NA,NA,NA,"Used in a similar way to other root vegetables (mashed, boiled or roasted). This creamy fleshed taproot with its oyster like taste makes a welcome change.",An easy slow growing cool weather plant that likes loose rich soil. The edible roots will become fibrous if watering is not even and adequate.
Allium cepa (var. aggregatum),Shallots,Allium,Full sun,Medium,6,7,Low,Loamy,NA,Very hardy,24,NA,21,90-,NA,NA,NA,"Similar to onions, but are smaller and grow in clumps.","Easy to grow and will do well in any well-drained fertile soil. They do not require much attention, but will need a long growing period and a sunny position. Water when weather is dry, and remove flowers as soon as possible."
Rumex acetosa,Sorrel,Miscellaneous,Full sun/partial shade,Medium,5.5,7,Medium,Well drained,NA,Very hardy,20,NA,7,60-,NA,NA,NA,"Sorrel is a sour tasting leafy herb used raw in salads, or used as a herb in cooking.","This perennial plant grows well in a lightly shaded spot, do not allow to dry out. Established plants can be divided."
