TEAM ID,TEAM,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
59,Fresno St.,-0.4,147,-0.2,119,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
60,Furman,0.7,45,0.8,46,2,1,1,0.5,1,1,0,0,0,0,0,0,0.20%,0.00%
61,Gardner Webb,0,76,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
62,George Mason,-0.2,118,-0.2,119,3,1,2,0.333,2,1,0,0,0,0,0,0,2.40%,0.30%
63,George Washington,-0.6,165,-0.6,164,1,0,1,0,1,0,0,0,0,0,0,0,1.20%,0.10%
64,Georgetown,-6.2,235,-8.5,236,10,3,7,0.3,7,3,0,0,0,0,0,2,38.70%,7.30%
65,Georgia,-1.2,191,-1.4,195,3,0,3,0,3,0,0,0,0,0,0,0,1.60%,0.00%
66,Georgia St.,0.3,66,0.6,54,5,1,4,0.2,4,1,0,0,0,0,0,0,0.20%,0.00%
67,Georgia Tech,-0.4,147,-0.2,119,3,1,2,0.333,2,1,0,0,0,0,0,0,4.90%,0.50%
68,Gonzaga,3.1,18,3.8,14,47,32,15,0.681,15,14,9,5,2,2,0,6,97.20%,68.20%
69,Grand Canyon,-0.3,137,-0.3,138,2,0,2,0,2,0,0,0,0,0,0,0,0.10%,0.00%
70,Green Bay,-0.2,118,-0.2,119,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
71,Hampton,-0.1,91,0,78,3,0,3,0,3,0,0,0,0,0,0,0,0.00%,0.00%
72,Hartford,0,76,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
73,Harvard,0.2,70,0.6,54,6,2,4,0.333,4,2,0,0,0,0,0,0,3.70%,0.20%
74,Hawaii,0.4,63,0.8,46,2,1,1,0.5,1,1,0,0,0,0,0,0,0.60%,0.00%
75,Holy Cross,0,76,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
76,Houston,0,76,2.1,24,18,12,6,0.667,6,5,4,2,1,0,0,2,77.80%,32.40%
77,Howard,-0.1,91,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
78,Illinois,-3.3,224,-4.1,229,10,4,6,0.4,6,4,0,0,0,0,0,1,39.00%,8.70%
79,Indiana,-1.6,202,-2.4,215,14,7,7,0.5,7,4,3,0,0,0,0,1,49.20%,12.60%
80,Indiana St.,-0.2,118,-0.2,119,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
81,Iona,-1,185,-1,181,7,0,7,0,7,0,0,0,0,0,0,0,0.60%,0.00%
82,Iowa,-3.1,223,-2.6,217,10,4,6,0.4,6,4,0,0,0,0,0,1,33.00%,7.20%
83,Iowa St.,-2,209,-1.5,198,18,9,9,0.5,9,6,3,0,0,0,0,0,40.70%,6.00%
84,Jacksonville St.,-0.2,118,-0.2,119,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
85,James Madison,-0.1,91,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
86,Kansas,4.2,13,-1.8,205,53,40,13,0.755,15,15,9,7,4,3,2,12,98.80%,73.20%
87,Kansas St.,1.4,32,0.3,68,22,12,10,0.545,10,6,3,3,0,0,0,1,42.70%,8.10%
88,Kennesaw St.,-0.2,118,-0.2,119,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
89,Kent St.,-1.2,191,-1,181,3,0,3,0,3,0,0,0,0,0,0,0,1.10%,0.00%
90,Kentucky,6.9,6,8.5,5,43,32,11,0.744,12,10,8,7,4,2,1,6,96.80%,63.70%
91,La Salle,1.5,29,1.8,26,3,2,1,0.667,1,1,1,0,0,0,0,0,0.80%,0.00%
92,Lafayette,0,76,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
94,Lehigh,0.5,56,0.9,41,3,1,2,0.333,2,1,0,0,0,0,0,0,0.60%,0.00%
95,Liberty,0.3,66,0.2,71,3,1,2,0.333,2,1,0,0,0,0,0,0,0.30%,0.00%
96,Lipscomb,-0.1,91,-0.1,103,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
97,Little Rock,0.5,56,0.5,59,2,1,1,0.5,1,1,0,0,0,0,0,0,0.90%,0.10%
98,LIU Brooklyn,-0.3,137,-0.1,103,2,0,2,0,2,0,0,0,0,0,0,0,0.10%,0.00%
99,Long Beach St.,-0.6,165,-0.5,159,1,0,1,0,1,0,0,0,0,0,0,0,1.60%,0.20%
100,Longwood,-0.1,91,-0.2,119,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
101,Louisiana Lafayette,-0.4,147,-0.4,150,2,0,2,0,2,0,0,0,0,0,0,0,0.30%,0.00%
102,Louisville,1.8,28,3.5,16,31,22,9,0.71,10,7,6,5,2,1,1,3,89.90%,48.70%
103,Loyola Chicago,3.4,16,4,11,9,6,3,0.667,3,2,2,1,1,0,0,0,9.50%,1.20%
104,Loyola MD,-0.1,91,-0.1,103,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
105,LSU,-0.8,175,-1,181,9,4,5,0.444,5,3,1,0,0,0,0,0,16.10%,1.60%
106,Manhattan,-0.2,118,-0.3,138,1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
107,Marquette,-1.6,202,-2.2,213,20,10,10,0.5,10,6,3,1,0,0,0,1,44.50%,7.80%
108,Marshall,0.7,45,0.8,46,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
109,Maryland,0.4,63,-0.3,138,16,8,8,0.5,8,7,1,0,0,0,0,0,20.90%,2.80%
110,Massachusetts,-0.4,147,-1.1,187,1,0,1,0,1,0,0,0,0,0,0,0,0.50%,0.00%
111,Memphis,-1,185,0,78,18,10,8,0.556,8,5,2,1,1,1,0,2,72.70%,32.50%
112,Mercer,0.8,43,0.8,46,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
113,Miami FL,4.1,14,3.4,18,19,12,7,0.632,7,5,4,2,1,0,0,1,31.10%,4.90%
114,Michigan,7,4,7.6,6,35,24,11,0.686,11,9,7,4,2,2,0,3,75.90%,26.50%
115,Michigan St.,8,3,9.2,3,45,31,14,0.689,14,12,9,5,4,1,0,4,86.00%,34.00%
116,Middle Tennessee,1.1,37,1.4,30,4,2,2,0.5,2,2,0,0,0,0,0,0,1.60%,0.10%
117,Milwaukee,-0.1,91,-0.1,103,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
118,Minnesota,-1.5,200,-1.7,201,7,2,5,0.286,5,2,0,0,0,0,0,0,9.30%,0.90%
119,Mississippi,-0.6,165,-0.9,175,4,1,3,0.25,3,1,0,0,0,0,0,0,3.00%,0.20%
120,Mississippi St.,-1.2,191,-1.1,187,4,1,3,0.25,3,1,0,0,0,0,0,0,5.70%,0.30%
121,Mississippi Valley St.,0,76,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
122,Missouri,-2.9,222,-3.3,222,13,5,8,0.385,8,3,1,1,0,0,0,1,35.30%,7.30%
123,Montana,-1,185,-0.9,175,5,0,5,0,5,0,0,0,0,0,0,0,0.60%,0.00%
124,Montana St.,-0.4,147,-0.3,138,2,0,2,0,2,0,0,0,0,0,0,0,0.20%,0.00%
125,Morehead St.,0.5,56,0.6,54,4,1,3,0.25,3,1,0,0,0,0,0,0,0.10%,0.00%
126,Morgan St.,-0.2,118,-0.2,119,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
127,Mount St. Mary's,-0.1,91,0,78,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
128,Murray St.,0.7,45,0.8,46,9,4,5,0.444,5,4,0,0,0,0,0,0,6.40%,0.30%
129,Nebraska,-0.6,165,-0.6,164,1,0,1,0,1,0,0,0,0,0,0,0,1.30%,0.10%
130,Nevada,0.3,66,-0.3,138,5,2,3,0.4,3,1,1,0,0,0,0,0,3.30%,0.20%
131,New Mexico,-2.7,220,-3.8,228,6,2,4,0.333,4,2,0,0,0,0,0,0,17.10%,1.70%
132,New Mexico St.,-1.9,208,-2,209,10,1,9,0.1,9,1,0,0,0,0,0,0,2.50%,0.00%
134,Norfolk St.,0.8,43,0.9,41,4,1,3,0.25,3,1,0,0,0,0,0,0,0.00%,0.00%
135,North Carolina,12,1,9.8,2,50,39,11,0.78,13,12,9,7,5,4,2,8,95.80%,54.20%
136,North Carolina A&T,0,76,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
137,North Carolina Central,-0.3,137,-0.2,119,1,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
138,North Carolina St.,-0.1,91,0.2,71,10,4,6,0.4,6,2,2,0,0,0,0,0,9.00%,0.50%
139,North Dakota,-0.1,91,-0.1,103,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
140,North Dakota St.,0.1,73,0.2,71,5,1,4,0.2,4,1,0,0,0,0,0,0,1.00%,0.00%
142,North Texas,0.5,56,0.6,54,3,1,2,0.333,2,1,0,0,0,0,0,0,0.20%,0.00%
143,Northeastern,-0.3,137,-0.4,150,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
144,Northern Colorado,-0.1,91,-0.1,103,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
145,Northern Iowa,0.5,56,1.1,36,8,4,4,0.5,4,3,1,0,0,0,0,0,13.10%,1.60%
146,Northern Kentucky,-0.2,118,-0.3,138,3,0,3,0,3,0,0,0,0,0,0,0,0.00%,0.00%
147,Northwestern,0.6,53,0.4,65,4,2,2,0.5,2,2,0,0,0,0,0,0,3.00%,0.30%
148,Northwestern St.,-0.1,91,-0.2,119,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
149,Notre Dame,-0.2,118,-1.1,187,19,10,9,0.526,9,6,2,2,0,0,0,1,38.00%,6.50%
150,Oakland,-0.5,160,-0.4,150,2,0,2,0,2,0,0,0,0,0,0,0,0.60%,0.00%
151,Ohio,2.7,20,3.3,20,7,4,3,0.571,3,3,1,0,0,0,0,0,2.00%,0.10%
152,Ohio St.,-4.1,229,-2.7,218,26,15,11,0.577,11,8,4,2,1,0,0,5,85.90%,43.70%
153,Oklahoma,1.4,32,0.7,52,21,12,9,0.571,9,6,3,2,1,0,0,2,46.30%,9.10%
154,Oklahoma St.,-4.1,229,-4.2,230,9,2,7,0.222,7,2,0,0,0,0,0,0,19.30%,2.70%
155,Old Dominion,-0.6,165,-0.4,150,4,1,3,0.25,3,1,0,0,0,0,0,0,4.40%,0.40%
156,Oral Roberts,1.2,35,1.1,36,5,2,3,0.4,3,1,1,0,0,0,0,0,0.50%,0.00%
157,Oregon,5.2,8,5.7,8,23,15,8,0.652,8,7,5,2,1,0,0,1,43.10%,8.30%
158,Oregon St.,1.9,26,1.6,28,5,3,2,0.6,2,1,1,1,0,0,0,0,2.30%,0.10%
159,Pacific,-0.2,118,-0.1,103,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
160,Penn,-0.1,91,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
161,Penn St.,-0.4,147,-0.2,119,3,1,2,0.333,2,1,0,0,0,0,0,0,3.80%,0.30%
162,Pittsburgh,-3.5,227,-4.6,232,16,8,8,0.5,8,6,1,1,0,0,0,2,63.30%,20.10%
163,Portland St.,-0.3,137,-0.3,138,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
165,Princeton,1.1,37,1.1,36,5,2,3,0.4,3,1,1,0,0,0,0,0,0.70%,0.00%
166,Providence,-1.3,197,-2.1,210,9,3,6,0.333,6,2,1,0,0,0,0,0,9.40%,0.70%
167,Purdue,-4.4,232,-4.4,231,29,16,13,0.552,13,9,6,1,0,0,0,2,75.60%,23.30%
168,Radford,0,76,0,78,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
169,Rhode Island,0.7,45,0.5,59,4,2,2,0.5,2,2,0,0,0,0,0,0,2.20%,0.10%
170,Richmond,1.2,35,1.1,36,6,3,3,0.5,3,2,1,0,0,0,0,0,4.40%,0.30%
171,Robert Morris,-0.2,118,-0.2,119,3,0,3,0,3,0,0,0,0,0,0,0,0.00%,0.00%
172,Rutgers,0.3,66,0.4,65,2,1,1,0.5,1,1,0,0,0,0,0,0,1.60%,0.10%
173,Saint Joseph's,-0.9,179,-1,181,4,1,3,0.25,3,1,0,0,0,0,0,0,5.40%,0.30%
174,Saint Louis,-0.2,118,-0.6,164,7,3,4,0.429,4,3,0,0,0,0,0,0,11.00%,1.70%
175,Saint Mary's,-2.7,220,-1.6,200,13,5,8,0.385,8,4,1,0,0,0,0,0,26.70%,5.20%
176,Saint Peter's,2.6,21,2.7,22,5,3,2,0.6,2,1,1,1,0,0,0,0,0.20%,0.00%
177,Sam Houston St.,-0.2,118,-0.2,119,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
178,San Diego,0.7,45,0.8,46,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
179,San Diego St.,-0.1,91,0.2,71,21,11,10,0.524,10,5,3,1,1,1,0,1,46.40%,10.30%
180,San Francisco,-1,185,-0.6,164,1,0,1,0,1,0,0,0,0,0,0,0,3.30%,0.30%
181,Seton Hall,-2.4,213,-2.7,218,6,1,5,0.167,5,1,0,0,0,0,0,0,9.90%,1.10%
182,Siena,0.5,56,0.9,41,5,2,3,0.4,3,2,0,0,0,0,0,0,1.80%,0.00%
183,SMU,-2.6,216,-2.1,210,2,0,2,0,2,0,0,0,0,0,0,0,13.60%,2.50%
184,South Alabama,-0.4,147,-0.6,164,1,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
185,South Carolina,2.9,19,3.1,21,5,4,1,0.8,1,1,1,1,1,0,0,0,4.50%,0.60%
186,South Dakota St.,-1.6,202,-1.7,201,6,0,6,0,6,0,0,0,0,0,0,0,2.10%,0.00%
187,South Florida,0.1,73,0.5,59,2,1,1,0.5,1,1,0,0,0,0,0,0,3.50%,0.30%
189,Southern,-0.1,91,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
190,Southern Miss,-0.4,147,-0.6,164,1,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
191,St. Bonaventure,-1.6,202,-1.4,195,3,0,3,0,3,0,0,0,0,0,0,0,3.00%,0.20%
192,St. John's,-1.3,197,-1.7,201,2,0,2,0,2,0,0,0,0,0,0,0,3.40%,0.20%
193,Stanford,1.5,29,1.5,29,6,4,2,0.667,2,2,2,0,0,0,0,0,10.70%,1.50%
194,Stephen F. Austin,0.1,73,0.5,59,7,2,5,0.286,5,2,0,0,0,0,0,0,4.60%,0.30%
195,Stony Brook,-0.2,118,-0.3,138,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
196,Syracuse,5.6,7,4.7,10,31,21,10,0.677,10,9,7,3,2,0,0,2,69.80%,20.80%
197,TCU,-0.8,175,-0.7,171,5,2,3,0.4,3,2,0,0,0,0,0,0,7.60%,0.80%
198,Temple,-2.6,216,-3.6,226,9,2,7,0.222,7,2,0,0,0,0,0,0,13.50%,1.40%
199,Tennessee,-2.6,216,-1,181,23,13,10,0.565,10,7,5,1,0,0,0,2,68.50%,20.80%
200,Texas,-5.5,234,-4.6,232,22,10,12,0.455,12,6,2,2,0,0,0,2,64.40%,16.90%
201,Texas A&M,0,76,0.1,77,14,7,7,0.5,7,5,2,0,0,0,0,0,30.00%,4.00%
202,Texas A&M Corpus Chris,0,76,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
203,Texas Southern,-0.1,91,-0.2,119,5,0,5,0,5,0,0,0,0,0,0,0,0.00%,0.00%
204,Texas Tech,1.9,26,3.7,15,16,11,5,0.688,5,4,3,2,1,1,0,0,54.40%,19.40%
205,Troy,-0.1,91,-0.1,103,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
206,Tulsa,-0.3,137,-0.3,138,1,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
207,UAB,0.6,53,0.3,68,3,1,2,0.333,2,1,0,0,0,0,0,0,0.50%,0.00%
208,UC Davis,0,76,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
209,UC Irvine,0.5,56,0.5,59,3,1,2,0.333,2,1,0,0,0,0,0,0,0.20%,0.00%
210,UC Santa Barbara,-0.9,179,-0.9,175,4,0,4,0,4,0,0,0,0,0,0,0,0.30%,0.00%
211,UCF,0.2,70,0.4,65,2,1,1,0.5,1,1,0,0,0,0,0,0,2.40%,0.10%
212,UCLA,4.5,10,5.1,9,30,20,10,0.667,10,9,7,2,2,0,0,2,74.90%,26.30%
213,UMBC,0.9,41,0.9,41,3,1,2,0.333,2,1,0,0,0,0,0,0,0.00%,0.00%
214,UNC Asheville,-0.3,137,-0.2,119,4,0,4,0,4,0,0,0,0,0,0,0,0.10%,0.00%
215,UNC Greensboro,-0.4,147,-0.5,159,2,0,2,0,2,0,0,0,0,0,0,0,0.20%,0.00%
216,UNC Wilmington,-0.7,173,-0.8,172,2,0,2,0,2,0,0,0,0,0,0,0,1.00%,0.00%
217,UNLV,-2.5,215,-3.4,223,6,1,5,0.167,5,1,0,0,0,0,0,0,7.80%,0.70%
218,USC,-1.1,189,-0.6,164,12,5,7,0.417,7,3,1,1,0,0,0,0,20.90%,3.90%
219,UT Arlington,0,76,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
220,Utah,-0.8,175,-1.2,192,6,3,3,0.5,3,2,1,0,0,0,0,0,19.50%,2.90%
221,Utah St.,-4.4,232,-3.6,226,6,0,6,0,6,0,0,0,0,0,0,0,12.40%,1.50%
222,UTEP,-0.6,165,-0.5,159,1,0,1,0,1,0,0,0,0,0,0,0,2.20%,0.20%
223,UTSA,0,76,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
224,Valparaiso,-0.9,179,-0.4,150,2,0,2,0,2,0,0,0,0,0,0,0,0.70%,0.00%
225,Vanderbilt,-3.4,225,-5,234,6,1,5,0.167,5,1,0,0,0,0,0,0,12.50%,1.80%
226,VCU,-0.4,147,-1.1,187,18,7,11,0.389,11,4,1,1,1,0,0,0,21.80%,2.50%
227,Vermont,-1.7,206,-0.9,175,6,0,6,0,6,0,0,0,0,0,0,0,1.60%,0.00%
228,Villanova,4.8,9,4,11,40,29,11,0.725,13,11,6,4,4,2,2,7,92.90%,55.10%
229,Virginia,-6.7,236,-7.3,235,21,13,8,0.619,9,5,3,2,1,1,1,5,92.80%,51.90%
230,Virginia Tech,-2.6,216,-2.1,210,7,2,5,0.286,5,1,1,0,0,0,0,0,19.20%,2.50%
231,Wake Forest,-0.6,165,-1.2,192,3,1,2,0.333,2,1,0,0,0,0,0,0,5.20%,0.40%
232,Washington,0.7,45,1.3,32,9,5,4,0.556,4,4,1,0,0,0,0,0,16.20%,2.70%
233,Washington St.,0.2,70,0.5,59,3,2,1,0.667,1,1,1,0,0,0,0,0,12.00%,1.50%
234,Weber St.,-0.3,137,-0.1,103,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
235,West Virginia,-1.1,189,-0.2,119,25,14,11,0.56,11,7,5,1,1,0,0,1,64.20%,17.60%
236,Western Kentucky,2,24,2,25,7,3,4,0.429,4,2,1,0,0,0,0,0,1.80%,0.10%
237,Western Michigan,-0.2,118,-0.2,119,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
238,Wichita St.,-0.8,175,0.2,71,16,9,7,0.562,7,5,2,1,1,0,0,1,47.60%,13.50%
239,Winthrop,-0.7,173,-1,181,3,0,3,0,3,0,0,0,0,0,0,0,0.20%,0.00%
240,Wisconsin,2.5,22,4,11,36,23,13,0.639,13,11,7,2,2,1,0,2,81.40%,31.10%
241,Wofford,-1.2,191,-0.9,175,6,1,5,0.167,5,1,0,0,0,0,0,0,3.60%,0.20%
242,Wright St.,-0.2,118,-0.2,119,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
243,Wyoming,-0.2,118,-0.5,159,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
244,Xavier,4.1,14,2.7,22,28,18,10,0.643,10,9,7,2,0,0,0,2,51.90%,8.70%
245,Yale,-0.1,91,0.2,71,4,1,3,0.25,3,1,0,0,0,0,0,0,3.00%,0.20%
