spec_name,acc_genus,acc_species,palm_tribe,palm_subfamily,climbing,acaulescent,erect,stem_solitary,stem_armed,leaves_armed,max_stem_height_m,max_stem_dia_cm,understorey_canopy,max_leaf_number,max__blade__length_m,max__rachis__length_m,max__petiole_length_m,average_fruit_length_cm,min_fruit_length_cm,max_fruit_length_cm,average_fruit_width_cm,min_fruit_width_cm,max_fruit_width_cm,fruit_size_categorical,fruit_shape,fruit_color_description,main_fruit_colors,conspicuousness
Aiphanes eggersii,Aiphanes,eggersii,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,solitary,non-armed,non-armed,10,8,canopy,10,2.2,2.05,0.17,1.75,NA,NA,1.75,1.5,2,small,ovoid,bright red,red,conspicuous
Aiphanes erinacea,Aiphanes,erinacea,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,solitary,non-armed,non-armed,5,5,understorey,8,2.2,1.65,0.6,0.75,NA,NA,0.75,0.7,0.8,small,globose,dark red soon turning brown or black,red; brown; black,conspicuous
Aiphanes gelatinosa,Aiphanes,gelatinosa,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,both,non-armed,non-armed,9,10,canopy,11,5.6,4,1.7,1.5,NA,NA,1.5,1,1.5,small,globose,red with black apex; becomming brown or shiny black at maturity,brown; black,cryptic
Aiphanes graminifolia,Aiphanes,graminifolia,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,solitary,non-armed,non-armed,5,2,understorey,6,0.89,0.89,NA,0.5,NA,NA,0.5,NA,NA,small,NA,NA,NA,NA
Aiphanes grandis,Aiphanes,grandis,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,21,20,canopy,10,5.5,2.5,2.75,2.15,NA,NA,2.15,2,3,small,elongate,dull green,green,cryptic
Aiphanes hirsuta,Aiphanes,hirsuta,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,solitary,non-armed,non-armed,10,10,canopy,8,2.94,1.94,NA,1.35,NA,NA,1.35,0.7,2,small,globose,red or less often purple or white; pinkish red,red; purple; white,conspicuous
Aiphanes horrida,Aiphanes,horrida,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,10,15,canopy,15,2,NA,NA,1.95,1.6,2.3,1.95,1.6,2.3,small,ovoid,bright red; rarely orange or white; with orange mesocarp,red,conspicuous
Aiphanes leiostachys,Aiphanes,leiostachys,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,solitary,non-armed,non-armed,5,3,understorey,11,2.08,1.08,NA,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Aiphanes lindeniana,Aiphanes,lindeniana,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,both,non-armed,non-armed,7,10,canopy,10,1.31,0.75,0.61,1.5,NA,NA,1.5,1.4,1.6,small,NA,red to orange,red; orange,conspicuous
Aiphanes linearis,Aiphanes,linearis,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,solitary,non-armed,non-armed,12,12,canopy,9,2.73,2.39,0.49,4.5,NA,NA,2.65,1.8,3.5,large,globose,NA,NA,NA
Aiphanes macroloba,Aiphanes,macroloba,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,solitary,non-armed,non-armed,3,3,understorey,8,1.86,1.5,0.41,1,NA,NA,0.7,NA,NA,small,ovoid,red to orange,red; orange,conspicuous
Aiphanes minima,Aiphanes,minima,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,18,50,canopy,9,4.2,3,1.25,1.4,1.2,1.6,1.55,1.4,1.7,small,globose,red,red,conspicuous
Aiphanes multiplex,Aiphanes,multiplex,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,NA,NA,non-armed,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,1.45,NA,NA,small,NA,red,red,conspicuous
Aiphanes parvifolia,Aiphanes,parvifolia,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,non-armed,2,3,understorey,10,0.95,0.7,0.28,0.85,0.7,1,NA,NA,NA,small,NA,orange to red,orange; red,conspicuous
Aiphanes pilaris,Aiphanes,pilaris,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,7,15,canopy,10,NA,NA,NA,4.7,NA,NA,4.7,NA,NA,large,ovoid,brown,brown,cryptic
Aiphanes simplex,Aiphanes,simplex,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,solitary,non-armed,non-armed,4,2,understorey,9,0.96,0.7,0.29,0.9,NA,NA,0.9,0.8,1,small,ovoid,red,red,conspicuous
Aiphanes spicata,Aiphanes,spicata,Cocoseae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,non-armed,0.3,2,understorey,12,1.05,0.8,0.25,1,NA,NA,0.9,NA,NA,small,NA,NA,NA,NA
Aiphanes stergiosii,Aiphanes,stergiosii,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,NA,non-armed,non-armed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,red-orange,red; orange,conspicuous
Aiphanes tricuspidata,Aiphanes,tricuspidata,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,4.5,6,understorey,10,1.38,1.2,0.2,0.75,NA,NA,0.75,0.6,1,small,NA,reddish-brown; speckled brown and red,brown,cryptic
Aiphanes ulei,Aiphanes,ulei,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,6,5,canopy,15,2.5,1.8,0.75,0.7,NA,NA,0.7,NA,1,small,NA,red,red,conspicuous
Aiphanes verrucosa,Aiphanes,verrucosa,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,solitary,non-armed,non-armed,8,5,canopy,5,1.3,1.15,0.17,2.25,NA,NA,2.25,2,2.5,small,globose,greenish white,white,cryptic
Aiphanes weberbaueri,Aiphanes,weberbaueri,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,both,armed,non-armed,1.5,6,understorey,13,2,1.2,NA,0.85,NA,NA,0.85,0.7,1,small,ovoid,red to purple,red; purple,conspicuous
Allagoptera arenaria,Allagoptera,arenaria,Cocoseae,Arecoideae,climbing,non-acaulescent,erect,both,armed,armed,0.2,15,understorey,15,1.8,NA,1,1.6,1.2,2,1.15,1,1.3,small,NA,yellowish green,green,cryptic
Allagoptera brevicalyx,Allagoptera,brevicalyx,Cocoseae,Arecoideae,climbing,non-acaulescent,erect,both,armed,armed,2,NA,understorey,8,1.2,NA,0.34,1.75,1.5,2,1.25,1,1.5,small,ovoid,yellowish green,green,cryptic
Allagoptera campestris,Allagoptera,campestris,Cocoseae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,0.2,NA,understorey,10,0.97,0.66,0.34,1.35,1.2,1.5,0.6,0.5,0.7,small,globose,yellowish green,green,cryptic
Allagoptera caudescens,Allagoptera,caudescens,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,8,25,canopy,16,4,NA,0.61,4.25,4,4.5,3.25,3,3.5,large,ovoid,greenish brown,brown,cryptic
Allagoptera leucocalyx,Allagoptera,leucocalyx,Cocoseae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,2,NA,understorey,30,2,1.3,0.75,2.65,2.3,3,1.75,1.5,2,small,ovoid,yellowish green,green,cryptic
Ammandra decasperma,Ammandra,decasperma,Phytelepheae,Ceroxyloideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,1.5,15,understorey,10,4.5,4,3.25,10,NA,NA,10,8,12,large,globose,dark brown,brown,cryptic
Aphandra natalia,Aphandra,natalia,Phytelepheae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,11,30,canopy,36,6,5.4,1.6,4.75,NA,3.2,3.2,NA,NA,large,rounded,brown,brown,cryptic
Archontophoenix alexandrae,Archontophoenix,alexandrae,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,30,30,canopy,12,4.5,4,0.55,1.1,0.8,1.4,0.85,0.6,1.1,small,ovoid,bright red,red,conspicuous
Archontophoenix cunninghamiana,Archontophoenix,cunninghamiana,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,30,30,canopy,12,4.5,4,0.55,1.25,1,1.5,1.1,NA,1.5,small,ovoid,bright red,red,conspicuous
Archontophoenix maxima,Archontophoenix,maxima,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,22,30,canopy,11,5,3.4,1.7,1.25,1.1,1.4,0.9,0.7,1.1,small,globose,red,red,conspicuous
Archontophoenix myolensis,Archontophoenix,myolensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,30,canopy,12,4,3.8,0.22,1.7,1.3,2.1,1.1,1,1.2,small,globose,red,red,conspicuous
Archontophoenix purpurea,Archontophoenix,purpurea,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,25,45,canopy,15,6,4,2.1,2.3,2,2.6,2,1.8,2.2,small,globose,red-crimson; dark red,red,conspicuous
Archontophoenix tuckeri,Archontophoenix,tuckeri,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,26,canopy,12,3.15,1.75,1.45,2,1.5,2.5,1.25,1,1.5,small,ovoid,bright red to dark brick red at maturity (drying dark ocre),red,conspicuous
Areca abdulrahmanii,Areca,abdulrahmanii,Areceae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,2.5,1.3,understorey,NA,1,NA,NA,4,NA,NA,1.2,NA,NA,large,NA,NA,NA,NA
Areca ahmadii,Areca,ahmadii,Areceae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,0.08,2.5,understorey,NA,1,0.58,0.47,4.3,NA,NA,2,NA,NA,large,globose,black,black,cryptic
Areca andersonii,Areca,andersonii,Areceae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,2.5,1.3,understorey,NA,0.8,0.8,NA,2.1,NA,NA,0.7,NA,NA,small,ovoid,deep green,green,cryptic
Areca arundinacea,Areca,arundinacea,Areceae,Arecoideae,climbing,non-acaulescent,erect,solitary,armed,armed,2.5,0.8,understorey,8,0.5,NA,NA,1.9,NA,NA,1.1,NA,NA,small,elongate,bright red,red,conspicuous
Areca bakeri,Areca,bakeri,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,NA,NA,NA,NA,NA,NA,NA,6.26,6,6.5,1.4,1.3,1.45,large,NA,young fruit dark green,NA,NA
Areca brachypoda,Areca,brachypoda,Areceae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,0.06,0.3,understorey,NA,1.15,NA,0.45,2.2,NA,NA,0.5,NA,NA,small,globose,NA,NA,NA
Areca caliso,Areca,caliso,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,6,12,canopy,6,2.15,NA,NA,3,NA,NA,1.6,NA,NA,small,globose,Bright orange,orange,conspicuous
Areca camarinensis,Areca,camarinensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,3,9,understorey,NA,1.5,NA,NA,5,3.5,5.5,1.7,1.5,2.5,large,globose,green to orange to red,green; orange; red,conspicuous
Areca catechu,Areca,catechu,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,25,30,canopy,10,3.15,2.05,1.25,6.5,5,8,4.75,3.5,6,large,ovoid,ripening yellow; orange; red; to scarlet,yellow; orange; red,conspicuous
Areca chaiana,Areca,chaiana,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,3,8,understorey,NA,1.15,NA,0.7,3,NA,NA,0.8,NA,NA,small,elongate,red to black,red; black,conspicuous
Areca churchii,Areca,churchii,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dull green,green,cryptic
Areca concinna,Areca,concinna,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,5,6,understorey,8,2,1.5,0.18,3,NA,NA,1.2,NA,NA,small,ovoid,red; scarlet; from green to orange to red,red; green; orange; red,conspicuous
Areca congesta,Areca,congesta,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Areca costulata,Areca,costulata,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,5,NA,understorey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Areca dayung,Areca,dayung,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Areca dransfieldii,Areca,dransfieldii,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,1,NA,NA,small,NA,dark green in immature fruit,NA,NA
Areca furcata,Areca,furcata,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,2,2,understorey,NA,NA,NA,NA,1,NA,NA,0.4,NA,NA,small,ovoid,pale yellow to red; bright red,yellow; red,conspicuous
Areca gurita,Areca,gurita,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,small,NA,white with green in immature fruit,NA,NA
Areca hutchinsoniana,Areca,hutchinsoniana,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,3,3,understorey,NA,2,NA,NA,3,NA,NA,1.7,NA,NA,small,globose,white to yellow to red,white; yellow; red,conspicuous
Areca insignis,Areca,insignis,Areceae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,3.5,2.5,understorey,10,1.2,1.2,0,2.2,NA,NA,1,NA,NA,small,globose,moroon with green tip,red,conspicuous
Areca ipot,Areca,ipot,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,4,12.7,understorey,NA,2.4,2.4,NA,5,NA,NA,3,NA,NA,large,NA,red,red,conspicuous
Areca jugahpunya,Areca,jugahpunya,Areceae,Arecoideae,climbing,non-acaulescent,erect,both,armed,armed,1.5,15,understorey,NA,2.5,1.5,NA,5.5,NA,NA,1,NA,NA,large,NA,immature dark green,NA,NA
Areca kinabaluensis,Areca,kinabaluensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,5,2.5,understorey,6,1.5,NA,1.85,2,NA,NA,0.8,NA,NA,small,globose,whitish green to reddish,green,cryptic
Areca klingkangensis,Areca,klingkangensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,4,10,understorey,NA,1.5,1.15,0.4,2.6,NA,NA,0.5,NA,NA,small,globose,yellow,yellow,conspicuous
Areca laosensis,Areca,laosensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,6,4,canopy,12,1.26,1.19,0.09,7.5,7,8,5.5,5,6,large,ovoid,orange; infrequently yellow,orange,conspicuous
Areca ledermanniana,Areca,ledermanniana,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Areca macrocalyx,Areca,macrocalyx,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,10,10,canopy,12,4,4,NA,3.75,3.5,4,2.5,NA,NA,small,ovoid,yellow to orange,yellow; orange,conspicuous
Areca mandacanii,Areca,mandacanii,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,NA,NA,NA,NA,NA,NA,NA,4.49,NA,NA,2.29,NA,NA,large,NA,NA,NA,NA
Areca minuta,Areca,minuta,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,2,1.5,understorey,NA,0.3,0.3,NA,1.2,NA,NA,0.4,NA,NA,small,ovoid,orange to cherry red,orange; red,conspicuous
Areca mogeana,Areca,mogeana,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,0.3,NA,NA,small,NA,light orange to red and darker red at tip in immature fruits,NA,NA
Areca montana,Areca,montana,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,4,8,understorey,8,1.75,1.35,0.45,2.5,NA,NA,1.35,1.2,1.5,small,ovoid,deep red,red,conspicuous
Areca novohibernica,Areca,novohibernica,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,4,NA,understorey,5,1.5,NA,0.17,3.2,NA,NA,1.35,NA,NA,small,NA,green turning bright red,green; red,conspicuous
Areca oxycarpa,Areca,oxycarpa,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,2,2.5,understorey,8,1.5,1.1,0.45,2.5,NA,NA,1.3,NA,NA,small,globose,bright ochrish yellow,yellow,conspicuous
Areca parens,Areca,parens,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,25,15,canopy,NA,2.1,NA,NA,6,NA,NA,4,NA,NA,large,ovoid,white to green to reddish-orange,white; green; orange,conspicuous
Areca rheophytica,Areca,rheophytica,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,2,2,understorey,8,0.4,0.31,0.11,2,NA,NA,0.7,NA,NA,small,globose,Pink; merah jambu; red,pink; red,conspicuous
Areca ridleyana,Areca,ridleyana,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,2.5,NA,understorey,10,0.3,NA,NA,0.5,NA,0.8,0.4,NA,NA,small,NA,brilliant red,red,conspicuous
Areca riparia,Areca,riparia,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,NA,NA,NA,NA,NA,NA,NA,2.4,2,2.8,1.25,1,1.5,small,NA,bright crimson skin and flesh,red,conspicuous
Areca songthanhensis,Areca,songthanhensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,1.5,2,understorey,NA,NA,0.49,0.13,3,NA,NA,1.3,NA,NA,small,ellipsoid,red,red,conspicuous
Areca subacaulis,Areca,subacaulis,Areceae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,1.5,3.5,understorey,6,1,NA,NA,2.5,NA,NA,1.1,NA,NA,small,NA,purple,purple,cryptic
Areca triandra,Areca,triandra,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,6,7,canopy,7,2,1.8,0.22,2.5,NA,NA,1.5,NA,NA,small,NA,red; bright orange-red; pinkish-red,red; orange,conspicuous
Areca triginticollina,Areca,triginticollina,Areceae,Arecoideae,climbing,acaulescent,non-erect,NA,armed,armed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,young fruits green,NA,NA
Areca tunku,Areca,tunku,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,5,6,understorey,10,2.5,2.5,NA,4.5,NA,NA,3,NA,NA,large,globose,purple-brown; dull,purple; brown,cryptic
Areca vestiaria,Areca,vestiaria,Areceae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,15,12,canopy,NA,2.22,1.82,0.45,2,NA,NA,1.15,NA,NA,small,globose,deep orange; orange-red,orange; red,conspicuous
Areca vidaliana,Areca,vidaliana,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,3,5,understorey,7,1.5,1.2,0.33,1.4,NA,NA,0.5,NA,NA,small,NA,red,red,conspicuous
Areca whitfordii,Areca,whitfordii,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,10,20,canopy,NA,NA,NA,NA,4.5,4,5,2,NA,NA,large,globose,brownish,brown,cryptic
Arenga australasica,Arenga,australasica,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,20,30,canopy,18,4,3.5,0.55,1.7,0.8,2.6,1.8,0.8,2.8,small,globose,red,red,conspicuous
Arenga brevipes,Arenga,brevipes,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,15,35,canopy,10,5,5,NA,2.65,1.3,4,2.05,1.1,3,small,ovoid,light green to dark purplish black,green; black,cryptic
Arenga caudata,Arenga,caudata,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,1.5,2,understorey,10,1,0.6,0.45,1.5,NA,NA,0.8,NA,NA,small,globose,red; orange red,red; orange,conspicuous
Arenga distincta,Arenga,distincta,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,5,1.5,understorey,9,NA,NA,NA,1,NA,NA,0.92,NA,NA,small,globose,green to brown,green; brown,cryptic
Arenga engleri,Arenga,engleri,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,4,15,understorey,8,4.5,3,1.55,1.5,NA,NA,1.5,NA,NA,small,NA,orange to reddish,orange,conspicuous
Arenga hastata,Arenga,hastata,Caryoteae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,2,1.2,understorey,6,1,NA,NA,0.7,NA,NA,0.7,NA,NA,small,globose,purple-brown,purple; brown,cryptic
