date,weightclass,fighter,rank
2013-02-04,Lightweight,Rafael Dos Anjos,8
2013-02-04,Lightweight,Joe Lauzon,9
2013-02-04,Lightweight,Khabib Nurmagomedov,10
2013-02-04,Welterweight,Georges St-Pierre,0
2013-02-04,Welterweight,Johny Hendricks,1
2013-02-04,Welterweight,Carlos Condit,2
2013-02-04,Welterweight,Nick Diaz,3
2013-02-04,Welterweight,Rory MacDonald,4
2013-02-04,Welterweight,Demian Maia,5
2013-02-04,Welterweight,Jake Ellenberger,6
2013-02-04,Welterweight,Martin Kampmann,7
2013-02-04,Welterweight,Josh Koscheck,8
2013-02-04,Welterweight,Jon Fitch,9
2013-02-04,Welterweight,Tarec Saffiedine,10
2013-02-04,Middleweight,Anderson Silva,0
2013-02-04,Middleweight,Chris Weidman,1
2013-02-04,Middleweight,Vitor Belfort,2
2013-02-04,Middleweight,Michael Bisping,3
2013-02-04,Middleweight,Yushin Okami,4
2013-02-04,Middleweight,Mark Munoz,5
2013-02-04,Middleweight,Costas Philippou,6
2013-02-04,Middleweight,Luke Rockhold,7
2013-02-04,Middleweight,Hector Lombard,8
2013-02-04,Middleweight,Alan Belcher,9
2013-02-04,Middleweight,Tim Boetsch,10
2013-02-04,Light Heavyweight,Jon Jones,0
2013-02-04,Light Heavyweight,Dan Henderson,1
2013-02-04,Light Heavyweight,Lyoto Machida,2
2013-02-04,Light Heavyweight,Alexander Gustafsson,3
2013-02-04,Light Heavyweight,Glover Teixeira,4
2013-02-04,Light Heavyweight,Antonio Rogerio Nogueira,5
2013-02-04,Light Heavyweight,Rashad Evans,6
2013-02-04,Light Heavyweight,Mauricio Rua,7
2013-02-04,Light Heavyweight,Phil Davis,8
2013-02-04,Light Heavyweight,Ryan Bader,9
2013-02-04,Light Heavyweight,Gegard Mousasi,10
2013-02-04,Heavyweight,Cain Velasquez,0
2013-02-04,Heavyweight,Junior dos Santos,1
2013-02-04,Heavyweight,Fabricio Werdum,2
2013-02-04,Heavyweight,Daniel Cormier,3
2013-02-04,Heavyweight,Antonio Silva,4
2013-02-04,Heavyweight,Frank Mir,5
2013-02-04,Heavyweight,Alistair Overeem,6
2013-02-04,Heavyweight,Antonio Rodrigo Nogueira,7
2013-02-04,Heavyweight,Roy Nelson,8
2013-02-04,Heavyweight,Stefan Struve,9
2013-02-04,Heavyweight,Shane Carwin,10
2013-02-11,Pound-for-Pound,Anderson Silva,1
2013-02-11,Pound-for-Pound,Jon Jones,2
2013-02-11,Pound-for-Pound,Georges St-Pierre,3
2013-02-11,Pound-for-Pound,Jose Aldo,4
2013-02-11,Pound-for-Pound,Benson Henderson,5
2013-02-11,Pound-for-Pound,Cain Velasquez,6
2013-02-11,Pound-for-Pound,Dominick Cruz,7
2013-02-11,Pound-for-Pound,Demetrious Johnson,8
2013-02-11,Pound-for-Pound,Frankie Edgar,9
2013-02-11,Pound-for-Pound,Dan Henderson,10
2013-02-11,Flyweight,Demetrious Johnson,0
2013-02-11,Flyweight,Joseph Benavidez,1
2013-02-11,Flyweight,John Dodson,2
2013-02-11,Flyweight,Ian McCall,3
2013-02-11,Flyweight,John Moraga,4
2013-02-11,Flyweight,Jussier Formiga,5
2013-02-11,Flyweight,Louis Gaudinot,6
2013-02-11,Flyweight,Chris Cariaso,7
2013-02-11,Flyweight,John Lineker,8
2013-02-11,Flyweight,Darren Uyenoyama,9
2013-02-11,Flyweight,Ulysses Gomez,10
2013-02-11,Bantamweight,Dominick Cruz,0
2013-02-11,Bantamweight,Renan Barao,1
2013-02-11,Bantamweight,Michael McDonald,2
2013-02-11,Bantamweight,Urijah Faber,3
2013-02-11,Bantamweight,Eddie Wineland,4
2013-02-11,Bantamweight,Brad Pickett,5
2013-02-11,Bantamweight,Brian Bowles,6
2013-02-11,Bantamweight,Raphael Assuncao,7
2013-02-11,Bantamweight,Scott Jorgensen,8
2013-02-11,Bantamweight,Mike Easton,9
2013-02-11,Bantamweight,Ivan Menjivar,10
2013-02-11,Featherweight,Jose Aldo,0
2013-02-11,Featherweight,Chad Mendes,1
2013-02-11,Featherweight,Ricardo Lamas,2
2013-02-11,Featherweight,Chan Sung Jung,3
2013-02-11,Featherweight,Frankie Edgar,4
2013-02-11,Featherweight,Dennis Siver,5
2013-02-11,Featherweight,Cub Swanson,6
2013-02-11,Featherweight,Dustin Poirier,7
2013-02-11,Featherweight,Nik Lentz,8
2013-02-11,Featherweight,Erik Koch,9
2013-02-11,Featherweight,Clay Guida,10
2013-02-11,Lightweight,Benson Henderson,0
2013-02-11,Lightweight,Gilbert Melendez,1
2013-02-11,Lightweight,Anthony Pettis,2
2013-02-11,Lightweight,Gray Maynard,3
2013-02-11,Lightweight,Nate Diaz,4
2013-02-11,Lightweight,Jim Miller,5
2013-02-11,Lightweight,Donald Cerrone,6
2013-02-11,Lightweight,TJ Grant,7
2013-02-11,Lightweight,Rafael Dos Anjos,8
2013-02-11,Lightweight,Joe Lauzon,9
2013-02-11,Lightweight,Khabib Nurmagomedov,10
2013-02-11,Welterweight,Georges St-Pierre,0
2013-02-11,Welterweight,Johny Hendricks,1
2013-02-11,Welterweight,Carlos Condit,2
2013-02-11,Welterweight,Nick Diaz,3
2013-02-11,Welterweight,Rory MacDonald,4
2013-02-11,Welterweight,Demian Maia,5
2013-02-11,Welterweight,Jake Ellenberger,6
2013-02-11,Welterweight,Martin Kampmann,7
2013-02-11,Welterweight,Josh Koscheck,8
2013-02-11,Welterweight,Jon Fitch,9
2013-02-11,Welterweight,Tarec Saffiedine,10
2013-02-11,Middleweight,Anderson Silva,0
2013-02-11,Middleweight,Chris Weidman,1
2013-02-11,Middleweight,Vitor Belfort,2
2013-02-11,Middleweight,Michael Bisping,3
2013-02-11,Middleweight,Yushin Okami,4
2013-02-11,Middleweight,Mark Munoz,5
2013-02-11,Middleweight,Costas Philippou,6
2013-02-11,Middleweight,Luke Rockhold,7
2013-02-11,Middleweight,Hector Lombard,8
2013-02-11,Middleweight,Alan Belcher,9
2013-02-11,Middleweight,Tim Boetsch,10
2013-02-11,Light Heavyweight,Jon Jones,0
2013-02-11,Light Heavyweight,Dan Henderson,1
2013-02-11,Light Heavyweight,Lyoto Machida,2
2013-02-11,Light Heavyweight,Alexander Gustafsson,3
2013-02-11,Light Heavyweight,Glover Teixeira,4
2013-02-11,Light Heavyweight,Antonio Rogerio Nogueira,5
2013-02-11,Light Heavyweight,Rashad Evans,6
2013-02-11,Light Heavyweight,Mauricio Rua,7
2013-02-11,Light Heavyweight,Phil Davis,8
2013-02-11,Light Heavyweight,Ryan Bader,9
2013-02-11,Light Heavyweight,Gegard Mousasi,10
2013-02-11,Heavyweight,Cain Velasquez,0
2013-02-11,Heavyweight,Junior dos Santos,1
2013-02-11,Heavyweight,Fabricio Werdum,2
2013-02-11,Heavyweight,Daniel Cormier,3
2013-02-11,Heavyweight,Antonio Silva,4
2013-02-11,Heavyweight,Frank Mir,5
2013-02-11,Heavyweight,Alistair Overeem,6
2013-02-11,Heavyweight,Antonio Rodrigo Nogueira,7
2013-02-11,Heavyweight,Roy Nelson,8
2013-02-11,Heavyweight,Stefan Struve,9
2013-02-11,Heavyweight,Shane Carwin,10
2013-02-18,Pound-for-Pound,Anderson Silva,1
2013-02-18,Pound-for-Pound,Jon Jones,2
2013-02-18,Pound-for-Pound,Georges St-Pierre,3
2013-02-18,Pound-for-Pound,Jose Aldo,4
2013-02-18,Pound-for-Pound,Benson Henderson,5
2013-02-18,Pound-for-Pound,Cain Velasquez,6
2013-02-18,Pound-for-Pound,Dominick Cruz,7
2013-02-18,Pound-for-Pound,Demetrious Johnson,8
2013-02-18,Pound-for-Pound,Renan Barao,9
2013-02-18,Pound-for-Pound,Dan Henderson,10
2013-02-18,Flyweight,Demetrious Johnson,0
2013-02-18,Flyweight,Joseph Benavidez,1
2013-02-18,Flyweight,John Dodson,2
2013-02-18,Flyweight,Ian McCall,3
2013-02-18,Flyweight,John Moraga,4
2013-02-18,Flyweight,Jussier Formiga,5
2013-02-18,Flyweight,Louis Gaudinot,6
2013-02-18,Flyweight,Chris Cariaso,7
2013-02-18,Flyweight,Darren Uyenoyama,8
2013-02-18,Flyweight,John Lineker,9
2013-02-18,Flyweight,Tim Elliott,10
2013-02-18,Bantamweight,Dominick Cruz,0
2013-02-18,Bantamweight,Renan Barao,1
2013-02-18,Bantamweight,Urijah Faber,2
2013-02-18,Bantamweight,Michael McDonald,3
2013-02-18,Bantamweight,Eddie Wineland,4
2013-02-18,Bantamweight,Brad Pickett,5
2013-02-18,Bantamweight,Raphael Assuncao,6
2013-02-18,Bantamweight,Brian Bowles,7
2013-02-18,Bantamweight,Scott Jorgensen,8
2013-02-18,Bantamweight,Mike Easton,9
2013-02-18,Bantamweight,Ivan Menjivar,10
2013-02-18,Featherweight,Jose Aldo,0
2013-02-18,Featherweight,Chad Mendes,1
2013-02-18,Featherweight,Ricardo Lamas,2
2013-02-18,Featherweight,Chan Sung Jung,3
2013-02-18,Featherweight,Frankie Edgar,4
2013-02-18,Featherweight,Cub Swanson,5
2013-02-18,Featherweight,Dennis Siver,6
2013-02-18,Featherweight,Dustin Poirier,7
2013-02-18,Featherweight,Erik Koch,8
2013-02-18,Featherweight,Nik Lentz,9
2013-02-18,Featherweight,Clay Guida,10
2013-02-18,Lightweight,Benson Henderson,0
2013-02-18,Lightweight,Gilbert Melendez,1
2013-02-18,Lightweight,Anthony Pettis,2
2013-02-18,Lightweight,Gray Maynard,3
2013-02-18,Lightweight,Nate Diaz,4
2013-02-18,Lightweight,Jim Miller,5
2013-02-18,Lightweight,Donald Cerrone,6
2013-02-18,Lightweight,TJ Grant,7
2013-02-18,Lightweight,Rafael Dos Anjos,8
2013-02-18,Lightweight,Joe Lauzon,9
2013-02-18,Lightweight,Khabib Nurmagomedov,10
2013-02-18,Welterweight,Georges St-Pierre,0
2013-02-18,Welterweight,Johny Hendricks,1
2013-02-18,Welterweight,Carlos Condit,2
2013-02-18,Welterweight,Nick Diaz,3
2013-02-18,Welterweight,Rory MacDonald,4
2013-02-18,Welterweight,Demian Maia,5
2013-02-18,Welterweight,Jake Ellenberger,6
2013-02-18,Welterweight,Martin Kampmann,7
2013-02-18,Welterweight,Josh Koscheck,8
2013-02-18,Welterweight,Tarec Saffiedine,9
2013-02-18,Welterweight,Mike Pierce,10
2013-02-18,Middleweight,Anderson Silva,0
2013-02-18,Middleweight,Chris Weidman,1
2013-02-18,Middleweight,Vitor Belfort,2
2013-02-18,Middleweight,Michael Bisping,3
2013-02-18,Middleweight,Yushin Okami,4
2013-02-18,Middleweight,Costas Philippou,5
2013-02-18,Middleweight,Mark Munoz,6
2013-02-18,Middleweight,Luke Rockhold,7
2013-02-18,Middleweight,Hector Lombard,8
2013-02-18,Middleweight,Alan Belcher,9
2013-02-18,Middleweight,Chael Sonnen,10
2013-02-18,Light Heavyweight,Jon Jones,0
2013-02-18,Light Heavyweight,Dan Henderson,1
2013-02-18,Light Heavyweight,Lyoto Machida,2
2013-02-18,Light Heavyweight,Alexander Gustafsson,3
2013-02-18,Light Heavyweight,Glover Teixeira,4
2013-02-18,Light Heavyweight,Antonio Rogerio Nogueira,5
2013-02-18,Light Heavyweight,Rashad Evans,6
2013-02-18,Light Heavyweight,Mauricio Rua,7
2013-02-18,Light Heavyweight,Phil Davis,8
2013-02-18,Light Heavyweight,Ryan Bader,9
2013-02-18,Light Heavyweight,Gegard Mousasi,10
2013-02-18,Heavyweight,Cain Velasquez,0
2013-02-18,Heavyweight,Junior dos Santos,1
2013-02-18,Heavyweight,Fabricio Werdum,2
2013-02-18,Heavyweight,Daniel Cormier,3
2013-02-18,Heavyweight,Antonio Silva,4
2013-02-18,Heavyweight,Frank Mir,5
2013-02-18,Heavyweight,Alistair Overeem,6
2013-02-18,Heavyweight,Antonio Rodrigo Nogueira,7
2013-02-18,Heavyweight,Roy Nelson,8
2013-02-18,Heavyweight,Stefan Struve,9
2013-02-18,Heavyweight,Shane Carwin,10
2013-02-25,Pound-for-Pound,Anderson Silva,1
2013-02-25,Pound-for-Pound,Jon Jones,2
2013-02-25,Pound-for-Pound,Georges St-Pierre,3
2013-02-25,Pound-for-Pound,Jose Aldo,4
2013-02-25,Pound-for-Pound,Benson Henderson,5
2013-02-25,Pound-for-Pound,Cain Velasquez,6
2013-02-25,Pound-for-Pound,Demetrious Johnson,7
2013-02-25,Pound-for-Pound,Dominick Cruz,8
2013-02-25,Pound-for-Pound,Renan Barao,9
2013-02-25,Pound-for-Pound,Frankie Edgar,10
2013-02-25,Flyweight,Demetrious Johnson,0
2013-02-25,Flyweight,Joseph Benavidez,1
2013-02-25,Flyweight,John Dodson,2
2013-02-25,Flyweight,Ian McCall,3
2013-02-25,Flyweight,John Moraga,4
2013-02-25,Flyweight,Jussier Formiga,5
2013-02-25,Flyweight,Louis Gaudinot,6
2013-02-25,Flyweight,Chris Cariaso,7
2013-02-25,Flyweight,Darren Uyenoyama,8
2013-02-25,Flyweight,John Lineker,9
2013-02-25,Flyweight,Tim Elliott,10
2013-02-25,Bantamweight,Dominick Cruz,0
2013-02-25,Bantamweight,Renan Barao,1
2013-02-25,Bantamweight,Urijah Faber,2
2013-02-25,Bantamweight,Michael McDonald,3
2013-02-25,Bantamweight,Eddie Wineland,4
2013-02-25,Bantamweight,Brad Pickett,5
2013-02-25,Bantamweight,Raphael Assuncao,6
2013-02-25,Bantamweight,Scott Jorgensen,7
2013-02-25,Bantamweight,Brian Bowles,8
2013-02-25,Bantamweight,Mike Easton,9
2013-02-25,Bantamweight,Ivan Menjivar,10
2013-02-25,Featherweight,Jose Aldo,0
2013-02-25,Featherweight,Chad Mendes,1
2013-02-25,Featherweight,Ricardo Lamas,2
2013-02-25,Featherweight,Frankie Edgar,3
2013-02-25,Featherweight,Chan Sung Jung,4
2013-02-25,Featherweight,Cub Swanson,5
2013-02-25,Featherweight,Dennis Siver,6
2013-02-25,Featherweight,Dustin Poirier,7
2013-02-25,Featherweight,Nik Lentz,8
2013-02-25,Featherweight,Clay Guida,9
2013-02-25,Featherweight,Erik Koch,10
2013-02-25,Lightweight,Benson Henderson,0
2013-02-25,Lightweight,Gilbert Melendez,1
2013-02-25,Lightweight,Anthony Pettis,2
2013-02-25,Lightweight,Gray Maynard,3
2013-02-25,Lightweight,Nate Diaz,4
2013-02-25,Lightweight,Jim Miller,5
2013-02-25,Lightweight,Donald Cerrone,6
2013-02-25,Lightweight,TJ Grant,7
2013-02-25,Lightweight,Rafael Dos Anjos,8
2013-02-25,Lightweight,Joe Lauzon,9
2013-02-25,Lightweight,Khabib Nurmagomedov,10
2013-02-25,Welterweight,Georges St-Pierre,0
2013-02-25,Welterweight,Johny Hendricks,1
2013-02-25,Welterweight,Carlos Condit,2
2013-02-25,Welterweight,Nick Diaz,3
2013-02-25,Welterweight,Rory MacDonald,4
2013-02-25,Welterweight,Demian Maia,5
2013-02-25,Welterweight,Jake Ellenberger,6
2013-02-25,Welterweight,Martin Kampmann,7
2013-02-25,Welterweight,Tarec Saffiedine,8
2013-02-25,Welterweight,Josh Koscheck,9
2013-02-25,Welterweight,Robbie Lawler,10
2013-02-25,Middleweight,Anderson Silva,0
2013-02-25,Middleweight,Chris Weidman,1
2013-02-25,Middleweight,Vitor Belfort,2
2013-02-25,Middleweight,Michael Bisping,3
2013-02-25,Middleweight,Yushin Okami,4
2013-02-25,Middleweight,Costas Philippou,5
2013-02-25,Middleweight,Luke Rockhold,6
2013-02-25,Middleweight,Mark Munoz,7
2013-02-25,Middleweight,Hector Lombard,8
2013-02-25,Middleweight,Chael Sonnen,9
2013-02-25,Middleweight,Ronaldo Souza,10
2013-02-25,Light Heavyweight,Jon Jones,0
2013-02-25,Light Heavyweight,Lyoto Machida,1
2013-02-25,Light Heavyweight,Alexander Gustafsson,2
2013-02-25,Light Heavyweight,Dan Henderson,3
2013-02-25,Light Heavyweight,Glover Teixeira,4
2013-02-25,Light Heavyweight,Antonio Rogerio Nogueira,5
2013-02-25,Light Heavyweight,Mauricio Rua,6
2013-02-25,Light Heavyweight,Rashad Evans,6
2013-02-25,Light Heavyweight,Phil Davis,8
2013-02-25,Light Heavyweight,Ryan Bader,9
2013-02-25,Light Heavyweight,Gegard Mousasi,10
2013-02-25,Heavyweight,Cain Velasquez,0
2013-02-25,Heavyweight,Junior dos Santos,1
2013-02-25,Heavyweight,Fabricio Werdum,2
2013-02-25,Heavyweight,Daniel Cormier,3
2013-02-25,Heavyweight,Antonio Silva,4
2013-02-25,Heavyweight,Frank Mir,5
2013-02-25,Heavyweight,Alistair Overeem,6
2013-02-25,Heavyweight,Roy Nelson,7
2013-02-25,Heavyweight,Antonio Rodrigo Nogueira,8
2013-02-25,Heavyweight,Stefan Struve,9
2013-02-25,Heavyweight,Shane Carwin,10
2013-03-04,Pound-for-Pound,Anderson Silva,1
2013-03-04,Pound-for-Pound,Jon Jones,2
2013-03-04,Pound-for-Pound,Georges St-Pierre,3
2013-03-04,Pound-for-Pound,Jose Aldo,4
2013-03-04,Pound-for-Pound,Benson Henderson,5
2013-03-04,Pound-for-Pound,Cain Velasquez,6
2013-03-04,Pound-for-Pound,Demetrious Johnson,7
2013-03-04,Pound-for-Pound,Renan Barao,8
2013-03-04,Pound-for-Pound,Dominick Cruz,9
2013-03-04,Pound-for-Pound,Frankie Edgar,10
2013-03-04,Flyweight,Demetrious Johnson,0
2013-03-04,Flyweight,Joseph Benavidez,1
2013-03-04,Flyweight,John Dodson,2
2013-03-04,Flyweight,Ian McCall,3
2013-03-04,Flyweight,John Moraga,4
2013-03-04,Flyweight,Jussier Formiga,5
2013-03-04,Flyweight,Louis Gaudinot,6
2013-03-04,Flyweight,Chris Cariaso,7
2013-03-04,Flyweight,Darren Uyenoyama,8
2013-03-04,Flyweight,John Lineker,9
2013-03-04,Flyweight,Tim Elliott,10
2013-03-04,Bantamweight,Dominick Cruz,0
2013-03-04,Bantamweight,Renan Barao,1
2013-03-04,Bantamweight,Urijah Faber,2
2013-03-04,Bantamweight,Michael McDonald,3
2013-03-04,Bantamweight,Eddie Wineland,4
2013-03-04,Bantamweight,Brad Pickett,5
2013-03-04,Bantamweight,Raphael Assuncao,6
2013-03-04,Bantamweight,Scott Jorgensen,7
2013-03-04,Bantamweight,Brian Bowles,8
2013-03-04,Bantamweight,Mike Easton,9
2013-03-04,Bantamweight,Ivan Menjivar,10
2013-03-04,Featherweight,Jose Aldo,0
2013-03-04,Featherweight,Chad Mendes,1
2013-03-04,Featherweight,Ricardo Lamas,2
2013-03-04,Featherweight,Frankie Edgar,3
2013-03-04,Featherweight,Chan Sung Jung,4
2013-03-04,Featherweight,Cub Swanson,5
2013-03-04,Featherweight,Dennis Siver,6
2013-03-04,Featherweight,Dustin Poirier,7
2013-03-04,Featherweight,Clay Guida,8
2013-03-04,Featherweight,Nik Lentz,9
2013-03-04,Featherweight,Erik Koch,10
2013-03-04,Lightweight,Benson Henderson,0
2013-03-04,Lightweight,Gilbert Melendez,1
2013-03-04,Lightweight,Anthony Pettis,2
2013-03-04,Lightweight,Gray Maynard,3
2013-03-04,Lightweight,Nate Diaz,4
2013-03-04,Lightweight,Jim Miller,5
2013-03-04,Lightweight,Donald Cerrone,6
2013-03-04,Lightweight,TJ Grant,7
2013-03-04,Lightweight,Rafael Dos Anjos,8
2013-03-04,Lightweight,Joe Lauzon,9
2013-03-04,Lightweight,Khabib Nurmagomedov,10
2013-03-04,Welterweight,Georges St-Pierre,0
2013-03-04,Welterweight,Johny Hendricks,1
2013-03-04,Welterweight,Carlos Condit,2
2013-03-04,Welterweight,Nick Diaz,3
2013-03-04,Welterweight,Rory MacDonald,4
2013-03-04,Welterweight,Demian Maia,5
2013-03-04,Welterweight,Jake Ellenberger,6
2013-03-04,Welterweight,Martin Kampmann,7
2013-03-04,Welterweight,Tarec Saffiedine,8
2013-03-04,Welterweight,Robbie Lawler,9
2013-03-04,Welterweight,Josh Koscheck,10
2013-03-04,Middleweight,Anderson Silva,0
2013-03-04,Middleweight,Chris Weidman,1
2013-03-04,Middleweight,Vitor Belfort,2
2013-03-04,Middleweight,Yushin Okami,3
2013-03-04,Middleweight,Michael Bisping,4
2013-03-04,Middleweight,Luke Rockhold,5
2013-03-04,Middleweight,Costas Philippou,6
2013-03-04,Middleweight,Mark Munoz,7
2013-03-04,Middleweight,Ronaldo Souza,8
2013-03-04,Middleweight,Chael Sonnen,9
2013-03-04,Middleweight,Hector Lombard,10
2013-03-04,Light Heavyweight,Jon Jones,0
2013-03-04,Light Heavyweight,Lyoto Machida,1
2013-03-04,Light Heavyweight,Alexander Gustafsson,2
2013-03-04,Light Heavyweight,Dan Henderson,3
2013-03-04,Light Heavyweight,Glover Teixeira,4
2013-03-04,Light Heavyweight,Antonio Rogerio Nogueira,5
2013-03-04,Light Heavyweight,Mauricio Rua,6
2013-03-04,Light Heavyweight,Rashad Evans,7
2013-03-04,Light Heavyweight,Phil Davis,8
2013-03-04,Light Heavyweight,Ryan Bader,9
2013-03-04,Light Heavyweight,Gegard Mousasi,10
2013-03-04,Heavyweight,Cain Velasquez,0
2013-03-04,Heavyweight,Junior dos Santos,1
2013-03-04,Heavyweight,Fabricio Werdum,2
2013-03-04,Heavyweight,Daniel Cormier,3
2013-03-04,Heavyweight,Antonio Silva,4
2013-03-04,Heavyweight,Frank Mir,5
2013-03-04,Heavyweight,Alistair Overeem,6
2013-03-04,Heavyweight,Antonio Rodrigo Nogueira,7
2013-03-04,Heavyweight,Roy Nelson,8
2013-03-04,Heavyweight,Mark Hunt,9
2013-03-04,Heavyweight,Stefan Struve,10
2013-03-04,Women's Bantamweight,Ronda Rousey,0
2013-03-04,Women's Bantamweight,Miesha Tate,1
2013-03-04,Women's Bantamweight,Liz Carmouche,2
2013-03-04,Women's Bantamweight,Sarah Kaufman,3
2013-03-04,Women's Bantamweight,Alexis Davis,4
2013-03-04,Women's Bantamweight,Cat Zingano,5
2013-03-04,Women's Bantamweight,Sara McMann,6
2013-03-04,Women's Bantamweight,Julie Kedzie,7
2013-03-04,Women's Bantamweight,Amanda Nunes,8
2013-03-04,Women's Bantamweight,Germaine de Randamie,9
2013-03-18,Pound-for-Pound,Anderson Silva,1
2013-03-18,Pound-for-Pound,Jon Jones,2
2013-03-18,Pound-for-Pound,Georges St-Pierre,3
2013-03-18,Pound-for-Pound,Jose Aldo,4
2013-03-18,Pound-for-Pound,Benson Henderson,5
2013-03-18,Pound-for-Pound,Cain Velasquez,6
2013-03-18,Pound-for-Pound,Demetrious Johnson,7
2013-03-18,Pound-for-Pound,Renan Barao,8
2013-03-18,Pound-for-Pound,Dominick Cruz,9
2013-03-18,Pound-for-Pound,Frankie Edgar,10
2013-03-18,Flyweight,Demetrious Johnson,0
2013-03-18,Flyweight,Joseph Benavidez,1
2013-03-18,Flyweight,John Dodson,2
2013-03-18,Flyweight,Ian McCall,3
2013-03-18,Flyweight,John Moraga,4
2013-03-18,Flyweight,Jussier Formiga,5
2013-03-18,Flyweight,Louis Gaudinot,6
2013-03-18,Flyweight,Chris Cariaso,7
2013-03-18,Flyweight,Darren Uyenoyama,8
2013-03-18,Flyweight,John Lineker,9
2013-03-18,Flyweight,Tim Elliott,10
2013-03-18,Bantamweight,Dominick Cruz,0
2013-03-18,Bantamweight,Renan Barao,1
2013-03-18,Bantamweight,Urijah Faber,2
2013-03-18,Bantamweight,Michael McDonald,3
2013-03-18,Bantamweight,Eddie Wineland,4
2013-03-18,Bantamweight,Brad Pickett,5
2013-03-18,Bantamweight,Raphael Assuncao,6
2013-03-18,Bantamweight,Scott Jorgensen,7
2013-03-18,Bantamweight,Brian Bowles,8
2013-03-18,Bantamweight,Mike Easton,9
2013-03-18,Bantamweight,Ivan Menjivar,10
2013-03-18,Featherweight,Jose Aldo,0
2013-03-18,Featherweight,Chad Mendes,1
2013-03-18,Featherweight,Ricardo Lamas,2
2013-03-18,Featherweight,Frankie Edgar,3
2013-03-18,Featherweight,Chan Sung Jung,4
2013-03-18,Featherweight,Cub Swanson,5
2013-03-18,Featherweight,Dennis Siver,6
2013-03-18,Featherweight,Dustin Poirier,7
2013-03-18,Featherweight,Clay Guida,8
2013-03-18,Featherweight,Nik Lentz,9
2013-03-18,Featherweight,Erik Koch,10
2013-03-18,Lightweight,Benson Henderson,0
2013-03-18,Lightweight,Gilbert Melendez,1
2013-03-18,Lightweight,Anthony Pettis,2
2013-03-18,Lightweight,Gray Maynard,3
2013-03-18,Lightweight,Nate Diaz,4
2013-03-18,Lightweight,Jim Miller,5
2013-03-18,Lightweight,Donald Cerrone,6
2013-03-18,Lightweight,TJ Grant,7
2013-03-18,Lightweight,Rafael Dos Anjos,8
2013-03-18,Lightweight,Khabib Nurmagomedov,9
2013-03-18,Lightweight,Joe Lauzon,10
2013-03-18,Welterweight,Georges St-Pierre,0
2013-03-18,Welterweight,Johny Hendricks,1
2013-03-18,Welterweight,Carlos Condit,2
2013-03-18,Welterweight,Rory MacDonald,3
2013-03-18,Welterweight,Jake Ellenberger,4
2013-03-18,Welterweight,Demian Maia,5
2013-03-18,Welterweight,Nick Diaz,6
2013-03-18,Welterweight,Martin Kampmann,7
2013-03-18,Welterweight,Tarec Saffiedine,8
2013-03-18,Welterweight,Robbie Lawler,9
2013-03-18,Welterweight,Josh Koscheck,10
