name,nickname,weight_class,url,profile_name,profile_nickname,status,place_of_birth,age,height,weight,octagon_debut,sig_strikes_landed,sig_strikes_attempted,sig_str_landed,sig_str_absorbed,takedown_avg,submission_avg,sig_str_defense,takedown_defense,knockdown_avg,average_fight_time,takedowns_attempted,fighting_style,reach,leg_reach,takedowns_landed,trains_at,wins,losses,draws,standing_count,standing_pct,clinch_count,clinch_percent,ground_count,ground_percent,ko_tko_win,ko_tko_percent,dec_wins,dec_percent,sub_wins,sub_percent
Ricardo Abreu,Demente,Middleweight,https://www.ufc.com/athlete/ricardo-abreu,Ricardo Abreu,Demente,Retired,"Dourados, Brazil",39,71,183,2014-05-31,80,252,3.79,3.98,2.13,0.71,0.68,1,1.42,10M 33S,7,NA,73,NA,NA,"Kings MMA - Huntington Beach, CA",5,1,0,58,0.73,13,0.16,9,0.11,3,0.6,0,0,2,0.4
John Adajar,NA,Welterweight,https://www.ufc.com/athlete/john-adajar,John Adajar,NA,Not Fighting,NA,31,NA,170,2022-06-10,18,34,3.9,6.28,0,0,0.44,NA,0,4M 37S,NA,NA,NA,NA,NA,NA,0,1,0,17,0.9400000000000001,1,0.06,0,0,0,0,0,0,0,0
Juan Adams,The Kraken,Heavyweight,https://www.ufc.com/athlete/juan-adams,Juan Adams,The Kraken,Not Fighting,"Houston, United States",31,77,266,2018-12-15,234,420,7.09,4.06,0.91,0,0.35000000000000003,0.5700000000000001,0,6M 36S,3,MMA,80,42.5,2,NA,5,3,0,112,0.48,52,0.22,70,0.3,5,1,0,0,0,0
Scott Adams,NA,Heavyweight,https://www.ufc.com/athlete/tenk-ebbott,Scott Adams,NA,Not Fighting,"San Luis Obispo, United States",49,72,225,2000-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Adams,NA,Middleweight,https://www.ufc.com/athlete/anthony-adams,Anthony Adams,NA,Not Fighting,"Philadelphia, United States",35,73,184.5,2026-06-25,95,227,3.17,5.93,0,0,0.44,NA,0,15M 0S,7,NA,76.5,43,NA,NA,8,2,0,84,0.88,11,0.12,0,0,0,0,0,0,0,0
Zarrukh Adashev,The Lion,Flyweight,https://www.ufc.com/athlete/zarrukh-adashev,Zarrukh Adashev,The Lion,Not Fighting,"Samarkand, Uzbekistan",30,65,125.5,2020-06-13,115,285,3.65,3.04,0,0.48,0.65,1,0,7M 53S,5,MMA,65,35,NA,Team Lion,4,4,0,107,0.93,6,0.05,2,0.02,2,0.5,2,0.5,0,0
Israel Adesanya,The Last Stylebender,Middleweight,https://www.ufc.com/athlete/israel-adesanya,Israel Adesanya,The Last Stylebender,Active,"Lagos, Nigeria",36,76,185,2018-02-11,1313,2714,4.03,3.22,0.05,0.14,0.56,0.76,0.6,17M 9S,11,Freestyle,80,44.5,NA,City Kickboxing,24,6,0,1212,0.92,64,0.05,37,0.03,16,0.67,8,0.33,0,0
Sam Adkins,NA,Light Heavyweight,https://www.ufc.com/athlete/sam-adkins,Sam Adkins,NA,Not Fighting,United States,60,72,205,1996-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Agallar,NA,Lightweight,https://www.ufc.com/athlete/nick-agallar,Nick Agallar,NA,Not Fighting,"Racine, United States",44,67,155,2003-11-21,5,43,0.69,4.56,0,0,0.42,NA,0,7M 14S,2,NA,NA,NA,NA,NA,12,3,0,4,0.8,1,0.2,0,0,0,0,0,0,0,0
Mariya Agapova,Money Mashka,Women's Flyweight,https://www.ufc.com/athlete/mariya-agapova,Mariya Agapova,Money Mashka,NA,Kazakhstan,27,66,125,2020-06-13,241,441,4.43,3.62,0.55,0.83,0.52,0.45,0.55,7M 47S,3,Kickboxer,68.5,38.5,2,NA,10,5,0,163,0.68,38,0.16,40,0.17,3,0.3,2,0.2,5,0.5
Fabio Agu,NA,Middleweight,https://www.ufc.com/athlete/fabio-agu,Fabio Agu,NA,Active,NA,35,NA,NA,2026-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcello Aguiar,NA,Welterweight,https://www.ufc.com/athlete/marcello-aguiar,Marcello Aguiar,NA,Not Fighting,Brazil,NA,72,200,2000-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Aguilar,Angel of Death,Featherweight,https://www.ufc.com/athlete/kevin-aguilar,Kevin Aguilar,Angel of Death,Not Fighting,"Gladewater, United States",34,67,145,2018-11-30,370,924,3.96,4.81,0.16,0,0.52,0.79,0.32,13M 20S,6,MMA,72,38,NA,Team 515,17,5,0,321,0.87,29,0.08,20,0.05,9,0.53,6,0.35000000000000003,2,0.12
Jessica Aguilar,Jag,Women's Strawweight,https://www.ufc.com/athlete/jessica-aguilar,Jessica Aguilar,Jag,Not Fighting,"Houston, United States",41,63,115.3,2015-08-01,314,620,4.93,7.19,0.94,0.24,0.54,0.5,0,12M 44S,16,NA,63,35.5,4,"American Top Team ATT Coconut Creek, FL",20,8,0,194,0.62,96,0.31,24,0.08,3,0.15,10,0.5,7,0.35000000000000003
Jesus Aguilar,NA,Flyweight,https://www.ufc.com/athlete/jesus-aguilar,Jesus Aguilar,NA,Not Fighting,"Ensenada, Mexico",30,64,126,2023-02-04,201,526,2.54,2.29,1.52,1.14,0.61,0.45,0.19,9M 54S,27,Freestyle,62.5,36,NA,Entram Gym,12,4,0,163,0.81,19,0.09,19,0.09,1,0.08,4,0.33,7,0.58
Christian Aguilera,The Beast,Welterweight,https://www.ufc.com/athlete/christian-aguilera,Christian Aguilera,The Beast,Not Fighting,"Whittier, United States",31,69,170.5,2020-06-13,27,72,2.54,4.04,0,0,0.49,0.6,0,3M 33S,1,Boxing,72,40,NA,NA,14,8,0,27,1,0,0,0,0,11,0.73,4,0.27,0,0
Nick Aguirre,Slick,Bantamweight,https://www.ufc.com/athlete/nick-aguirre,Nick Aguirre,Slick,Not Fighting,"Cicero, United States",29,69,136,2023-01-14,19,56,0.73,2.89,1.16,0.58,0.46,0.33,0,12M 59S,10,Freestyle,74,40,NA,NA,7,2,0,18,0.9500000000000001,1,0.05,0,0,3,0.43,0,0,4,0.5700000000000001
Ashiek Ajim,NA,Bantamweight,https://www.ufc.com/athlete/ashiek-ajim,Ashiek Ajim,NA,Not Fighting,NA,29,NA,135.5,2026-06-29,4,10,5,11.25,0,0,0.25,NA,0,48S,NA,NA,NA,NA,NA,NA,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0
Omari Akhmedov,Wolverine,Middleweight,https://www.ufc.com/athlete/omari-akhmedov,Omari Akhmedov,Wolverine,Not Fighting,"Dagestan Republic, Russia",35,72,185.5,2013-11-09,535,1556,2.97,2.84,2.58,0.25,0.56,0.66,0.17,12M 1S,68,Kickboxer,73,40.5,19,Dag Fighter Team,21,6,1,389,0.73,65,0.12,81,0.15,7,0.33,8,0.38,6,0.29
Yoshihiro Akiyama,Sexyama,Welterweight,https://www.ufc.com/athlete/yoshihiro-akiyama,Yoshihiro Akiyama,Sexyama,Not Fighting,Japan,47,70,170,2009-07-11,466,1122,3.1,3.62,2.29,1,0.58,0.93,0.4,6M 50S,34,NA,73.5,42,12,Cloud Akiyama,15,6,0,316,0.68,28,0.06,122,0.26,0,0,0,0,0,0
Rostem Akman,NA,Welterweight,https://www.ufc.com/athlete/rostam-akman,Rostem Akman,NA,Not Fighting,"Stockholm, Sweden",31,70,171,2019-06-01,54,210,1.8,3.97,1,0,0.58,0.88,0,15M 0S,5,NA,72,38.5,2,NA,0,2,0,42,0.78,12,0.22,0,0,5,0.8300000000000001,0,0,1,0.17
Mostapha Al Turk,NA,Heavyweight,https://www.ufc.com/athlete/mostapha-al-turk,Mostapha Al Turk,NA,Not Fighting,"Beirut, Lebanon",49,74,235,2008-12-27,31,161,1.36,3.61,0,0,0.53,NA,0,7M 34S,9,NA,NA,NA,NA,NA,6,6,0,28,0.9,3,0.1,0,0,0,0,0,0,0,0
Razak Al-Hassan,Razor,Light Heavyweight,https://www.ufc.com/athlete/razak-al-hassan,Razak Al-Hassan,Razor,Not Fighting,"Milwaukee, United States",41,74,205,2008-12-10,75,191,3.27,3.14,0.65,0,0.6,0.5700000000000001,0,7M 38S,7,NA,NA,NA,NA,NA,7,2,0,68,0.91,7,0.09,0,0,0,0,0,0,0,0
Ali Al-Qaisi,The Royal Fighter,Bantamweight,https://www.ufc.com/athlete/ali-alqaisi,Ali Al-Qaisi,The Royal Fighter,Not Fighting,"Amman, Jordan",32,68,136,2020-08-08,73,172,2.43,1.97,3.5,1,0.56,0.6,0,15M 0S,24,NA,68,38,NA,NA,8,5,0,63,0.86,9,0.12,1,0.01,1,0.13,3,0.38,4,0.5
Abdul-Kareem Al-Selwady,Pride of Palestine,Lightweight,https://www.ufc.com/athlete/abdul-kareem-al-selwady,Abdul-Kareem Al-Selwady,Pride of Palestine,Active,"Baton Rouge, United States",30,68,156,2024-03-02,188,455,4.61,3.43,1.47,0,0.61,0.55,0,13M 36S,17,MMA,69,39,3,NA,16,4,0,173,0.92,13,0.07,2,0.01,8,0.5,6,0.38,2,0.13
Herdem Alacabek,NA,Light Heavyweight,https://www.ufc.com/athlete/herdem-alacabek,Herdem Alacabek,NA,Active,NA,32,74,205,2026-06-29,56,85,3.84,6.66,2.06,0,0.23,0.43,0,14M 34S,4,NA,74.5,41,NA,NA,0,0,0,24,0.43,26,0.46,6,0.11,0,0,0,0,0,0
Alatengheili,The Mongolian Knight,Bantamweight,https://www.ufc.com/athlete/heili-alateng,Alatengheili,The Mongolian Knight,Active,"Alxa, China",33,65,136,2019-08-31,340,1039,2.82,5.12,1.74,0,0.5700000000000001,0.75,0.12,13M 25S,32,Wrestling,66.5,35,3,"Fight Ready - Scottsdale, AZ",17,10,2,325,0.96,2,0.01,13,0.04,5,0.29,9,0.53,3,0.18
Amir Albazi,The Prince,Flyweight,https://www.ufc.com/athlete/amir-albazi,Amir Albazi,The Prince,Active,"Baghdad, Iraq",32,65,125.5,2020-07-18,251,743,2.47,3.88,1.18,0.44,0.59,0.63,0.3,14M 30S,32,Jiu-Jitsu,68,38,3,Atreus MMA,17,3,0,214,0.85,7,0.03,30,0.12,5,0.29,3,0.18,9,0.53
John Albert,Prince,Bantamweight,https://www.ufc.com/athlete/john-albert,John Albert,Prince,Not Fighting,"Reno, United States",36,68,137,2011-12-04,67,135,3.05,2.82,0,6.14,0.35000000000000003,0.5,0.68,4M 24S,3,NA,NA,NA,NA,NA,7,5,0,34,0.51,15,0.22,18,0.27,0,0,0,0,0,0
Junior Albini,Baby,Heavyweight,https://www.ufc.com/athlete/junior-albini,Junior Albini,Baby,Not Fighting,"Paranaguá, Brazil",32,75,266,2017-07-22,116,227,3.98,6.08,1.54,0,0.52,1,0.51,5M 50S,8,NA,74,42,1,NA,14,6,0,90,0.78,22,0.19,4,0.03,6,0.43,2,0.14,6,0.43
Wes Albritton,NA,Lightweight,https://www.ufc.com/athlete/wes-albritton,Wes Albritton,NA,Not Fighting,United States,NA,0,0,1997-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandra Albu,Stitch,Women's Strawweight,https://www.ufc.com/athlete/alexandra-albu,Alexandra Albu,Stitch,Not Fighting,"Vulcanesti, Moldova",32,62,116,2015-04-11,191,405,4.83,5.56,2.27,0.38,0.39,0.78,0,9M 54S,12,NA,63,36,5,NA,7,2,0,112,0.59,62,0.32,17,0.09,4,0.5700000000000001,1,0.14,2,0.29
Ildemar Alcantara,Marajo,Middleweight,https://www.ufc.com/athlete/igor-araudzho-1,Ildemar Alcantara,Marajo,Not Fighting,"Soure, Portugal",40,74.5,185.5,2013-01-20,188,486,1.93,2.63,2,0.92,0.5,0.8200000000000001,0,13M 57S,19,NA,78,44,NA,NA,21,8,0,129,0.6900000000000001,34,0.18,25,0.13,10,0.48,5,0.24,6,0.29
Iuri Alcantara,Marajo,Bantamweight,https://www.ufc.com/athlete/iuri-alcantara,Iuri Alcantara,Marajo,Not Fighting,"Soure, Brazil",42,69,136,2011-08-27,483,1057,2.72,2.79,1.44,0.84,0.49,0.6,0.42,9M 21S,27,NA,71,40,17,Marajo Brothers,35,10,0,303,0.63,45,0.09,135,0.28,0,0,0,0,0,0
Alfonso Alcarez,NA,Lightweight,https://www.ufc.com/athlete/alfonso-alcarez,Alfonso Alcarez,NA,Not Fighting,United States,53,75,0,1999-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hector Aldana,El Charro,Welterweight,https://www.ufc.com/athlete/hector-aldana,Hector Aldana,El Charro,Not Fighting,"San Luis Río Colorado, Mexico",34,71,170,2018-06-23,116,302,3.59,5.08,0.93,0,0.6,NA,0,10M 46S,2,NA,72.5,40.5,2,NA,4,2,0,109,0.9400000000000001,6,0.05,1,0.01,2,0.5,1,0.25,1,0.25
Gilbert Aldana,El Peligroso,Heavyweight,https://www.ufc.com/athlete/gilbert-aldana,Gilbert Aldana,El Peligroso,Not Fighting,"Chandler, United States",45,74,251,2006-02-04,34,62,2.91,6.26,2.57,0,0.26,0.33,0,5M 50S,5,NA,NA,NA,NA,NA,5,0,0,6,0.18,19,0.56,9,0.26,0,0,0,0,0,0
Irene Aldana,NA,Women's Bantamweight,https://www.ufc.com/athlete/irene-aldana,Irene Aldana,NA,Active,"Culiacán, Mexico",38,69,136,2016-12-18,1065,2667,5.19,6.64,0.15,0.22,0.56,0.78,0.22,14M 39S,4,Striker,68.5,38.5,2,NA,15,8,0,948,0.89,55,0.05,62,0.06,8,0.53,4,0.27,3,0.2
Jose Alday,NA,Bantamweight,https://www.ufc.com/athlete/jose-alday,Jose Alday,NA,Active,"Nacozari de García, Mexico",31,67,136,2026-06-25,47,106,3.13,3.13,0,0,0.59,0.5700000000000001,0,15M 0S,1,NA,68,38,NA,NA,0,1,0,44,0.9400000000000001,3,0.06,0,0,0,0,0,0,0,0
José Aldo,NA,Featherweight,https://www.ufc.com/athlete/jose-aldo,José Aldo,NA,Retired,"Manaus, Brazil",38,67,143,2011-04-30,1617,3492,3.65,3.81,0.47,0.14,0.6,0.93,0.41,14M 17S,27,Jiu-Jitsu,70,40,12,Nova União,32,10,0,1409,0.87,60,0.04,148,0.09,17,0.53,14,0.44,1,0.03
JJ Aldrich,NA,Women's Flyweight,https://www.ufc.com/athlete/jj-aldrich,JJ Aldrich,NA,Active,"Denver, United States",33,65,126,2016-12-10,922,1999,3.92,4.34,0.7,0,0.62,0.68,0,13M 51S,43,Striker,67.5,37,1,Tiger Beetle Martial Arts,15,7,0,741,0.8,102,0.11,79,0.09,3,0.2,12,0.8,0,0
Irina Alekseeva,Russian Ronda,Women's Bantamweight,https://www.ufc.com/athlete/irina-alekseeva,Irina Alekseeva,Russian Ronda,Not Fighting,Kazakhstan,35,68,135.5,2023-04-29,135,353,3.42,5.02,0.38,0.38,0.45,0.5,0.38,9M 51S,5,Sambo,67,37,NA,NA,5,4,0,125,0.93,8,0.06,2,0.01,1,0.2,2,0.4,2,0.4
Talita Alencar,Problem Child,Women's Strawweight,https://www.ufc.com/athlete/talita-alencar,Talita Alencar,Problem Child,Active,"Carutapera, Brazil",35,61,115,2023-12-09,277,768,3.09,3.67,3.01,0.5,0.51,0.67,0,14M 56S,61,Grappler,58.5,35,1,Team Reis & M80 Wrestling,8,1,1,170,0.61,32,0.12,75,0.27,0,0,4,0.5,4,0.5
Jim Alers,The Beast,Featherweight,https://www.ufc.com/athlete/jim-alers,Jim Alers,The Beast,Not Fighting,"New York, United States",36,69,145,2014-04-11,135,335,2.9,4.38,2.26,0.32,0.5700000000000001,0.8,0.32,11M 38S,17,NA,71,40,NA,Vagner Rocha Martial Arts,13,3,0,102,0.76,21,0.16,12,0.09,2,0.15,2,0.15,9,0.6900000000000001
John Alessio,The Natural,Lightweight,https://www.ufc.com/athlete/john-alessio,John Alessio,The Natural,Not Fighting,United States,43,0,156,2000-06-09,273,697,2.1,2.91,1.85,1.16,0.55,0.71,0.12,9M 59S,42,NA,NA,NA,2,NA,34,16,0,135,0.49,60,0.22,78,0.29,0,0,0,0,0,0
Houston Alexander,The Assassin,Light Heavyweight,https://www.ufc.com/athlete/houston-alexander,Houston Alexander,The Assassin,Not Fighting,"East St. Louis, United States",51,72,208,2007-05-27,154,281,3.06,3.2,1.19,0,0.53,0.33,0.9,6M 17S,7,NA,NA,NA,NA,NA,9,5,0,94,0.61,32,0.21,28,0.18,0,0,0,0,0,0
Lucas Alexander,The Lion,Featherweight,https://www.ufc.com/athlete/lucas-alexander,Lucas Alexander,The Lion,Not Fighting,Brazil,29,71,148.5,2022-10-15,131,228,4.69,2.87,0,0,0.5700000000000001,0.6,0.54,6M 59S,2,Striker,73,41,NA,NA,8,5,0,119,0.91,4,0.03,8,0.06,3,0.38,5,0.63,0,0
Marcio Alexandre,Lyoto,Middleweight,https://www.ufc.com/athlete/marcio-alexandre,Marcio Alexandre,Lyoto,Active,"Florianopolis, Brazil",34,73,186,2014-05-31,68,151,1.61,2.89,0.35,0.71,0.42,0.67,0,10M 34S,5,NA,75,NA,1,Black House MMA,13,3,0,51,0.75,9,0.13,8,0.12,10,0.77,1,0.08,2,0.15
Olaf Alfonso,NA,Welterweight,https://www.ufc.com/athlete/olaf-alfonso,Olaf Alfonso,NA,Not Fighting,"Enseneda, Mexico",48,70,170,2026-06-29,67,172,1.65,4.77,0.37,0.74,0.53,0.22,0,10M 10S,14,NA,NA,NA,NA,NA,0,0,0,50,0.75,17,0.25,0,0,0,0,0,0,0,0
Bill Algeo,Senor Perfecto,Featherweight,https://www.ufc.com/athlete/bill-algeo,Bill Algeo,Senor Perfecto,Not Fighting,"Boothwyn, United States",35,72,146,2020-08-29,771,1494,5.88,4.38,1.03,0.11,0.47000000000000003,0.55,0.23,11M 55S,18,NA,73,40,4,NA,18,9,0,628,0.81,80,0.1,63,0.08,4,0.24,6,0.35000000000000003,7,0.41000000000000003
Royce Alger,NA,Middleweight,https://www.ufc.com/athlete/royce-alger,Royce Alger,NA,Not Fighting,United States,NA,0,0,1997-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0S,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdul Razak Alhassan,NA,Middleweight,https://www.ufc.com/athlete/abdul-razak-alhassan,Abdul Razak Alhassan,NA,Not Fighting,Ghana,39,70,185.5,2016-11-19,325,652,3.64,4.01,0.84,0.17,0.55,0.52,1.85,5M 58S,15,Judo,73,39,1,Team Elevation,12,7,0,221,0.68,52,0.16,52,0.16,12,1,0,0,0,0
Amir Aliakbari,NA,Heavyweight,https://www.ufc.com/athlete/amir-aliakbari,Amir Aliakbari,NA,Not Fighting,NA,39,NA,NA,2026-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sultan Aliev,NA,Welterweight,https://www.ufc.com/athlete/sultan-aliev,Sultan Aliev,NA,Not Fighting,"Dagestan, Russia",38,71,170,2015-01-24,60,131,1.41,2.2,1.76,0,0.5700000000000001,1,0,10M 41S,13,NA,74.5,40,3,NA,15,3,0,37,0.62,13,0.22,10,0.17,10,0.71,4,0.29,0,0
Nurullo Aliev,Tajik Eagle,Lightweight,https://www.ufc.com/athlete/nurullo-aliev,Nurullo Aliev,Tajik Eagle,Active,"Dushanbe, Tajikistan",25,70,155,2023-02-25,135,301,2.72,1.63,2.12,0.3,0.58,0.8,0,12M 24S,16,Wrestling,72,38,3,NA,11,0,0,71,0.53,8,0.06,56,0.41000000000000003,2,0.18,9,0.8200000000000001,0,0
Ikram Aliskerov,NA,Middleweight,https://www.ufc.com/athlete/ikram-aliskerov,Ikram Aliskerov,NA,Active,"Makhachkala, Dagestan, Russia",33,72,185.5,2023-05-06,240,396,5.56,4.01,3.82,0.7,0.45,1,1.04,6M 10S,16,Sambo,76,40,NA,NA,18,2,0,196,0.8200000000000001,6,0.03,38,0.16,7,0.39,6,0.33,5,0.28
Leon Aliu,NA,Middleweight,https://www.ufc.com/athlete/leon-aliu,Leon Aliu,NA,Active,NA,33,NA,186,2026-06-29,10,20,6.32,10.11,0,0,0.38,NA,0,1M 35S,1,NA,NA,NA,NA,NA,0,1,0,7,0.7000000000000001,3,0.3,0,0,0,0,0,0,0,0
John Allan,NA,Light Heavyweight,https://www.ufc.com/athlete/john-allan,John Allan,NA,Not Fighting,"Curitiba, Brazil",30,73,205,2026-06-29,191,449,3.56,5.74,1.4,0.84,0.52,0.5,0,13M 25S,7,NA,75,42.5,4,NA,13,7,0,163,0.85,13,0.07,15,0.08,9,0.6900000000000001,1,0.08,3,0.23
Arnold Allen,Almighty,Featherweight,https://www.ufc.com/athlete/arnold-allen,Arnold Allen,Almighty,Active,"Ipswich, England",32,68,145.5,2015-06-20,765,1739,3.52,3.15,1.24,0.28,0.6,0.73,0.28,14M 28S,30,MMA,70,39,8,BKK / Tristar,21,4,0,681,0.89,30,0.04,54,0.07,7,0.33,10,0.48,4,0.19
Brendan Allen,All In,Middleweight,https://www.ufc.com/athlete/brendan-allen,Brendan Allen,All In,Active,"Beaufort, United States",30,74,186,2019-10-18,848,1618,3.75,3.78,1.52,1.06,0.48,0.58,0.27,11M 19S,56,MMA,75,42,2,Kill Cliff FC,27,7,0,656,0.77,63,0.07,129,0.15,6,0.22,7,0.26,14,0.52
Benny Alloway,Blanco,Welterweight,https://www.ufc.com/athlete/benny-alloway,Benny Alloway,Blanco,Not Fighting,"Ipswich, Australia",42,71,170,2012-12-16,31,63,1.28,1.9,0.62,0,0.59,0.27,0.62,8M 5S,2,NA,75,NA,NA,NA,13,6,0,20,0.65,5,0.16,6,0.19,6,0.46,3,0.23,4,0.31
Asu Almabayev,Zulfikar,Flyweight,https://www.ufc.com/athlete/asu-almabayev,Asu Almabayev,Zulfikar,Active,Kazakhstan,32,64,125.5,2023-08-05,238,463,2.28,1.94,4.74,1.44,0.54,0.44,0.14,13M 3S,72,Jiu-Jitsu,65,36,2,Dar Team,24,3,0,154,0.65,24,0.1,60,0.25,3,0.13,10,0.42,11,0.46
Bekzat Almakhan,The Turan Warrior,Bantamweight,https://www.ufc.com/athlete/bekzat-almakhan,Bekzat Almakhan,The Turan Warrior,Active,Kazakhstan,28,67,136,2024-03-02,119,305,2.58,4.23,0,0,0.53,0.59,0.98,11M 31S,1,Karate,68,38,NA,NA,12,4,0,112,0.9400000000000001,5,0.04,2,0.02,10,0.8300000000000001,1,0.08,1,0.08
Estefani Almeida,NA,Women's Flyweight,https://www.ufc.com/athlete/estefani-almeida,Estefani Almeida,NA,Active,"Manaus, Brazil",34,64,126,2026-06-29,47,127,3.13,6.07,0,0,0.42,NA,0,15M 0S,3,NA,NA,NA,NA,NA,0,0,0,46,0.98,1,0.02,0,0,0,0,0,0,0,0
