name,wins,losses,draws,nc,height,weight,reach,stance,dob,s_lp_m,str_acc,s_ap_m,str_def,td_avg,td_acc,td_def,sub_avg
John Albert,6,5,0,0,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",3.05,49%,2.82,35%,0,0%,50%,6.1
Junior Albini,14,6,0,0,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",3.98,51%,6.08,52%,1.54,37%,100%,0
Wes Albritton,0,1,0,0,"5' 10""",188 lbs.,NA,Orthodox,NA,0,0%,0,0%,0,0%,0%,0
Aleksandra Albu,3,2,0,0,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",4.83,47%,5.56,38%,2.27,50%,77%,0.4
Israel Albuquerque,0,3,0,0,NA,185 lbs.,NA,Orthodox,NA,0.32,13%,3.34,25%,0,0%,0%,0
Juan Alcain,1,2,0,0,NA,NA,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Iuri Alcantara,35,10,0,1,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2.72,45%,2.79,49%,1.44,62%,60%,0.8
Ildemar Alcantara,21,11,0,0,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",1.93,38%,2.63,50%,2,68%,81%,0.9
Alfonso Alcarez,1,3,1,0,"5' 3""",145 lbs.,NA,NA,"Jun 10, 1970",0,0%,0,0%,0,0%,0%,0
Gilbert Aldana,6,2,0,0,"6' 1""",250 lbs.,NA,Orthodox,"Aug 25, 1977",2.91,54%,6.26,26%,2.57,40%,33%,0
Irene Aldana,15,8,0,0,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",5.19,39%,6.64,56%,0.15,50%,77%,0.2
Hector Aldana,4,3,0,0,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",3.59,38%,5.08,59%,0.93,100%,0%,0
Jose Alday,14,6,1,0,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991",3.13,44%,3.13,58%,0,0%,57%,0
Jose Aldo,32,10,0,0,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",3.65,46%,3.81,60%,0.47,51%,92%,0.1
JJ Aldrich,15,7,0,0,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",3.92,46%,4.34,61%,0.7,25%,67%,0
Irina Alekseeva,5,4,0,0,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990",3.42,38%,5.02,45%,0.38,20%,50%,0.4
Talita Alencar,8,1,1,0,"5' 1""",115 lbs.,"58""",Orthodox,"Oct 17, 1990",3.09,36%,3.67,51%,3.01,29%,66%,0.5
Jim Alers,13,3,0,1,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.9,40%,4.38,56%,2.26,41%,80%,0.3
John Alessio,35,17,0,2,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",2.1,39%,2.91,54%,1.85,38%,70%,1.2
Houston Alexander,17,15,1,2,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54%,3.2,52%,1.19,57%,33%,0
Kenneth Alexander,7,6,0,1,"5' 9""",155 lbs.,NA,Orthodox,"Sep 25, 1977",0.88,19%,2.2,66%,4.71,26%,0%,0
Lucas Alexander,8,5,0,0,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995",4.69,57%,2.87,56%,0,0%,60%,0
Marcio Alexandre Junior,17,4,0,0,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",1.61,45%,2.89,42%,0.35,20%,66%,0.7
Olaf Alfonso,8,12,0,0,"6' 2""",170 lbs.,NA,Orthodox,"Aug 06, 1974",1.65,38%,4.77,53%,0.37,7%,22%,0.7
Pablo Alfonso,9,7,0,0,"5' 8""",145 lbs.,NA,NA,"May 09, 1983",0,0%,0,0%,0,0%,0%,0
Levi Alford,1,7,0,0,NA,NA,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Bill Algeo,18,9,0,0,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",5.88,51%,4.38,47%,1.03,50%,55%,0.1
Royce Alger,3,2,0,0,"5' 10""",199 lbs.,NA,Orthodox,"Mar 06, 1965",0,0%,0,0%,0,0%,0%,0
Amir Aliakbari,10,1,0,0,"6' 3""",250 lbs.,NA,NA,"Jun 10, 1984",0,0%,0,0%,0,0%,0%,0
Sultan Aliev,15,3,0,0,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",1.41,45%,2.2,56%,1.76,38%,100%,0
Nurullo Aliev,11,0,0,0,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 08, 2000",2.72,44%,1.63,58%,2.12,43%,80%,0.3
Kimbert Alintozon,7,4,0,0,"5' 3""",135 lbs.,"65""",Orthodox,"Jan 21, 1999",2.39,52%,4.06,46%,1.56,33%,75%,0
Ikram Aliskerov,18,2,0,0,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 07, 1992",5.56,60%,4.01,45%,3.82,68%,100%,0.7
Leon Aliu,10,2,0,0,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 14, 1989",6.32,50%,10.11,38%,0,0%,0%,0
John Allan,13,7,0,1,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",3.56,42%,5.74,52%,1.4,71%,50%,0.8
George Allen,13,19,2,0,"6' 2""",205 lbs.,NA,Open Stance,"Jan 13, 1967",0.8,38%,3.1,43%,0,0%,50%,0
Arnold Allen,21,4,0,0,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",3.52,43%,3.15,60%,1.24,60%,73%,0.3
Brendan Allen,27,7,0,0,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",3.75,52%,3.78,47%,1.52,41%,57%,1.1
Daniel Allen,5,0,0,0,"6' 0""",155 lbs.,"75""",Southpaw,"Aug 10, 1992",7.6,51%,5.87,53%,2,66%,100%,0
Ben Alloway,18,8,0,0,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",1.28,49%,1.9,59%,0.62,50%,26%,0
Asu Almabayev,24,3,0,0,"5' 4""",125 lbs.,"65""",Orthodox,"Jan 25, 1994",2.28,51%,1.94,53%,4.74,45%,44%,1.4
Bekzat Almakhan,12,4,0,0,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 08, 1997",2.58,39%,4.23,52%,0,0%,59%,0
John Dave Almanza,6,1,0,0,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 22, 2004",1.92,41%,5.75,27%,0,0%,0%,0
Ricardo Almeida,13,5,0,0,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,49%,1.2,61%,3.74,38%,31%,1.2
Magno Almeida,10,3,0,1,"6' 0""",155 lbs.,NA,NA,"Jun 06, 1985",1.67,36%,2.6,41%,0,0%,40%,5
Thomas Almeida,22,5,0,0,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",4.84,43%,4.93,61%,0.17,14%,75%,0
Ericka Almeida,7,3,0,0,"5' 6""",115 lbs.,NA,Orthodox,"Mar 05, 1989",1.07,39%,3.33,43%,0.5,33%,37%,0
Estefani Almeida,7,3,0,0,"5' 4""",125 lbs.,NA,Orthodox,"Oct 17, 1988",3.13,37%,6.07,42%,0,0%,0%,0
Jailton Almeida,22,5,0,0,"6' 3""",225 lbs.,"79""",Orthodox,"Jun 26, 1991",2.23,62%,1.3,43%,5.64,55%,60%,1.7
Lucas Almeida,15,5,0,0,"5' 11""",145 lbs.,"71""",Orthodox,"Jan 31, 1991",4.94,39%,5.36,44%,0,0%,53%,0
Cesar Almeida,7,2,0,0,"6' 1""",185 lbs.,"74""",Orthodox,"Mar 28, 1988",3.46,58%,2.03,46%,0,0%,52%,0.2
Mauricio Alonso,13,7,0,1,"6' 2""",170 lbs.,NA,NA,"Feb 27, 1980",5.74,34%,1.91,67%,0,0%,0%,0
Sarah Alpar,9,6,0,0,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",2.36,44%,6.06,38%,1.61,26%,20%,0.4
Ali AlQaisi,8,5,0,0,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",2.43,42%,1.97,56%,3.5,29%,60%,1
Rico Altamirano,4,3,0,0,"5' 10""",170 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Victor Altamirano,12,5,0,0,"5' 8""",125 lbs.,"70""",Switch,"Jan 23, 1991",4.58,53%,3.82,53%,2.88,38%,63%,0
Mike Altman,1,4,0,0,"5' 10""",185 lbs.,NA,Orthodox,NA,1.56,20%,2.08,75%,0,0%,0%,0
Patricia Alujas,9,3,0,0,"5' 4""",115 lbs.,"64""",Orthodox,"May 08, 1996",5.83,31%,9.25,44%,0,0%,0%,0
Sean Alvarez,4,3,0,0,"6' 0""",235 lbs.,NA,Orthodox,"Jul 14, 1971",0.89,37%,3.25,47%,0,0%,0%,0
Eddie Alvarez,29,6,0,1,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.32,41%,4.39,55%,2.92,36%,92%,0.5
Jaime Alvarez,6,1,0,0,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",2.73,40%,4.53,56%,1,33%,50%,0
Joel Alvarez,23,4,0,0,"6' 3""",170 lbs.,"77""",Orthodox,"Mar 02, 1993",4.53,54%,3.03,53%,0.18,33%,46%,1.1
Thiago Alves,23,15,0,0,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3
Anthony Alves,1,4,0,0,NA,NA,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Amilcar Alves,15,12,0,0,"6' 0""",170 lbs.,NA,Southpaw,"Aug 08, 1988",0.5,46%,2.02,30%,0,0%,53%,0
Warlley Alves,15,8,0,0,"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991",3.04,48%,3.95,50%,1.22,50%,62%,0.8
Rafael Alves,20,12,0,0,"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990",1.85,48%,3.3,58%,0.29,25%,44%,1.5
Sam Alvey,33,18,1,1,"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986",3.28,44%,3.63,52%,0.06,14%,82%,0.1
Christopher Alvidrez,7,1,0,0,"6' 0""",170 lbs.,"74""",Orthodox,"Dec 27, 1996",6.97,62%,2.11,50%,0,0%,100%,0
Mahamed Aly,4,1,0,0,"6' 2""",205 lbs.,"78""",Orthodox,"Jan 11, 1994",6,66%,12,33%,0,0%,0%,0
Andre Amado,6,4,1,0,"6' 0""",154 lbs.,NA,Orthodox,"Oct 09, 1983",2.27,24%,5.91,63%,0,0%,20%,0
Adlan Amagov,14,2,1,0,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",3.29,47%,0.82,78%,5.84,56%,100%,0
Maiara Amanajas dos Santos,7,3,0,0,"5' 5""",115 lbs.,NA,Southpaw,"Jul 11, 1987",5.53,35%,24.47,33%,0,0%,100%,0
Chris Amarante,2,0,0,0,NA,185 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Jimmy Ambriz,17,21,1,0,"6' 2""",315 lbs.,NA,Southpaw,"Jan 26, 1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8
JJ Ambrose,28,7,0,2,"5' 10""",170 lbs.,NA,Orthodox,"Feb 06, 1987",3.16,69%,6.32,33%,0,0%,50%,0
Alen Amedovski,8,4,0,0,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",0.99,30%,3.85,46%,0,0%,0%,0
Hyder Amil,11,3,0,0,"5' 9""",145 lbs.,"70""",Switch,"May 28, 1990",5.83,52%,4.04,50%,0.52,16%,65%,0.8
Hamid Amiri,9,0,0,0,NA,145 lbs.,NA,NA,"Jun 15, 2003",0,0%,0,0%,0,0%,0%,0
Makwan Amirkhani,17,9,0,0,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",1.33,44%,2.98,46%,3.96,43%,35%,1.1
Jaqueline Amorim,11,2,0,0,"5' 3""",115 lbs.,"68""",Orthodox,"Jun 24, 1995",2.26,49%,2.06,54%,2.01,33%,0%,4.3
Yaroslav Amosov,30,1,0,0,"6' 0""",170 lbs.,"75""",Orthodox,"Sep 09, 1993",2.65,53%,1.38,60%,11.11,53%,0%,3.2
Bertrand Amoussou,1,1,0,0,"5' 8""",190 lbs.,NA,Orthodox,"May 28, 1966",6.75,39%,2.01,83%,0,0%,0%,0
Karl Amoussou,27,7,2,0,"5' 11""",185 lbs.,NA,Orthodox,"Nov 21, 1985",1.47,34%,2.67,54%,0,0%,25%,1
Eryk Anders,18,9,0,1,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",3.44,47%,4.03,50%,1.83,25%,80%,0.1
Matt Andersen,14,8,1,0,"6' 2""",230 lbs.,NA,Southpaw,"May 29, 1971",0,0%,0,0%,0,0%,0%,0
Andy Anderson,0,1,0,0,"5' 6""",240 lbs.,NA,NA,"Jul 16, 1974",0,0%,0,0%,0,0%,0%,0
Lowell Anderson,0,1,0,0,"5' 6""",160 lbs.,NA,Orthodox,NA,0,0%,0,0%,0,0%,0%,0
Corey Anderson,14,5,0,0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0
Derek Anderson,14,3,0,1,"6' 0""",155 lbs.,NA,NA,"Feb 02, 1990",3.97,37%,3.08,61%,0.34,14%,60%,0
Megan Anderson,11,5,0,0,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",1.76,46%,3.35,37%,0.52,25%,53%,0.5
Liam Anderson,6,3,0,0,"6' 3""",185 lbs.,"75""",Orthodox,"Jan 13, 1995",3,52%,6.53,31%,1,20%,50%,0
Tatsuya Ando,14,4,1,0,"5' 4""",145 lbs.,"68""",Southpaw,"Apr 26, 1990",0.93,19%,4.93,50%,0,0%,0%,0
Alex Andrade,10,5,0,0,"5' 11""",200 lbs.,NA,Orthodox,"May 14, 1974",0.2,36%,2.6,53%,0,0%,25%,0.8
Jessica Andrade,26,15,0,0,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.37,48%,5.58,54%,2.1,54%,75%,0.3
Viscardi Andrade,19,6,0,0,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3
Jermaine Andre,14,4,0,0,"5' 7""",200 lbs.,NA,Orthodox,"Jul 16, 1973",0,0%,0,0%,0,0%,0%,0
Fellipe Andrew,0,0,0,0,NA,NA,NA,NA,"Oct 24, 1994",0,0%,0,0%,0,0%,0%,0
Dylan Andrews,18,7,0,1,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4
Reese Andy,7,3,0,0,"6' 0""",205 lbs.,NA,Orthodox,"Mar 31, 1973",2.87,50%,3.5,58%,0.67,20%,40%,0
Angga,13,3,0,0,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 13, 1989",3.56,38%,3.77,53%,0,0%,33%,0
Julius Anglickas,5,1,0,0,"6' 3""",205 lbs.,NA,Orthodox,"Jul 23, 1991",4.62,78%,1.86,50%,4.47,50%,60%,1.1
Collin Anglin,8,3,0,0,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",4.59,48%,5.54,51%,2.28,66%,100%,0
Chad Anheliger,13,8,0,0,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 01, 1986",3.11,46%,2.76,53%,0.68,30%,38%,0.5
Yoji Anjo,0,5,1,0,"5' 11""",205 lbs.,NA,Orthodox,"Mar 28, 1967",0,0%,3.13,25%,0,0%,0%,0
Magomed Ankalaev,21,2,1,1,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.65,52%,2.59,56%,0.79,22%,87%,0
Gadzhimurad Antigulov,20,8,0,0,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4
Adam Antolin,12,3,0,0,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",5.73,52%,5,69%,0,0%,100%,0
Angelo Antonio,1,4,0,0,NA,205 lbs.,NA,Orthodox,"Oct 04, 1998",1.09,50%,7.64,50%,0,0%,0%,0
Vanilto Antunes,16,7,0,0,"6' 0""",170 lbs.,"72""",Orthodox,"Dec 28, 1994",5.49,48%,14.27,43%,0,0%,0%,0
Azunna Anyanwu,14,5,0,0,"6' 1""",251 lbs.,NA,Orthodox,"Aug 05, 1981",2.47,42%,2.47,69%,0.65,100%,0%,0
Shinsho Anzai,10,3,0,0,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",3.23,58%,3.75,45%,1.83,16%,75%,0
Jin Aoi,16,7,1,0,"5' 7""",145 lbs.,"67""",Orthodox,"Jan 21, 1997",1.73,35%,4.23,51%,3.17,35%,71%,0.6
Shinya Aoki,39,7,0,1,"5' 11""",154 lbs.,NA,Southpaw,"May 09, 1983",0.97,58%,1.25,58%,2.54,41%,60%,4
Aoriqileng,26,13,0,1,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 25, 1993",4.4,49%,5.66,46%,1.11,46%,59%,0.2
Josh Appelt,15,7,0,0,"5' 10""",255 lbs.,NA,Southpaw,"Jun 19, 1983",1.35,40%,11.5,32%,0,0%,33%,0
Erik Apple,10,3,0,0,"6' 0""",170 lbs.,NA,Orthodox,"Aug 26, 1977",0,0%,0.54,81%,0,0%,0%,8.1
Kenji Arai,15,15,5,0,"5' 10""",145 lbs.,NA,Southpaw,"Oct 05, 1979",8.79,27%,10.29,39%,0,0%,0%,0
Romie Aram,7,1,0,0,"5' 10""",170 lbs.,NA,Orthodox,"Dec 02, 1977",1.8,35%,2.83,50%,2.5,62%,83%,0
Felipe Arantes,18,10,1,2,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2.37,45%,2.66,64%,0.93,47%,41%,0.7
Igor Araujo,25,9,0,1,"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",1.52,42%,2.86,49%,0.86,15%,22%,0.6
Viviane Araujo,13,7,0,0,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",3.84,47%,4.83,55%,1.72,43%,75%,0.6
Julio Arce,19,6,0,0,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",4.36,36%,3.05,68%,0.46,28%,96%,0.3
Art Arciniega,15,7,0,0,"5' 8""",145 lbs.,NA,NA,"Oct 15, 1981",1.53,46%,2.73,51%,0,0%,50%,1
Alice Ardelean,12,7,0,0,"5' 3""",115 lbs.,"62""",Orthodox,"Apr 19, 1992",7,46%,4.97,61%,1.08,50%,85%,0.2
Tristan Arenal,7,4,0,0,NA,155 lbs.,NA,NA,"Mar 06, 1985",0,0%,0,0%,0,0%,0%,0
Gabriel Arges,0,0,0,0,NA,170 lbs.,NA,NA,"Jan 29, 1993",0,0%,0,0%,0,0%,0%,0
Dan Argueta,9,3,0,2,"5' 7""",135 lbs.,"68""",Southpaw,"Aug 13, 1993",2.48,43%,3.44,50%,4.36,35%,55%,1.4
Reza Arianto,5,0,0,0,NA,155 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Ryoga Arimoto,10,2,2,0,"5' 3""",125 lbs.,"63""",Orthodox,"Dec 07, 1998",5.07,43%,5.4,47%,1,50%,60%,0
Hashem Arkhagha,6,1,0,0,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 11, 1989",1.84,44%,8.97,43%,0,0%,50%,0
Andrei Arlovski,34,24,0,2,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.82,45%,3.22,57%,0.37,35%,76%,0.2
