year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
1934,Italy,Rome,Round of 16,Italy,United States,7,1,H,,Italy,United States,1934-05-27,May,Sunday
1934,Italy,Milan,Round of 16,Netherlands,Switzerland,2,3,A,,Switzerland,Netherlands,1934-05-27,May,Sunday
1934,Italy,Bologna,Quarterfinals,Austria,Hungary,2,1,H,,Austria,Hungary,1934-05-31,May,Thursday
1934,Italy,Turin,Quarterfinals,Czechoslovakia,Switzerland,3,2,H,,Czechoslovakia,Switzerland,1934-05-31,May,Thursday
1934,Italy,Milan,Quarterfinals,Germany,Sweden,2,1,H,,Germany,Sweden,1934-05-31,May,Thursday
1934,Italy,Florence,Quarterfinals,Italy,Spain,1,1,D,,NA,NA,1934-05-31,May,Thursday
1934,Italy,Florence,Quarterfinals,Italy,Spain,1,0,H,,Italy,Spain,1934-06-01,Jun,Friday
1934,Italy,Rome,Semifinals,Czechoslovakia,Germany,3,1,H,,Czechoslovakia,Germany,1934-06-03,Jun,Sunday
1934,Italy,Milan,Semifinals,Italy,Austria,1,0,H,,Italy,Austria,1934-06-03,Jun,Sunday
1934,Italy,Naples,Third place,Austria,Germany,2,3,A,,Germany,Austria,1934-06-07,Jun,Thursday
1934,Italy,Rome,Final,Italy,Czechoslovakia,2,1,H,Italy won in AET,Italy,Czechoslovakia,1934-06-10,Jun,Sunday
1938,France,Paris,Round of 16,Germany,Switzerland,1,1,D,,NA,NA,1938-06-04,Jun,Saturday
1938,France,Strasbourg,Round of 16,Brazil,Poland,6,5,H,Brazil won in AET,Brazil,Poland,1938-06-05,Jun,Sunday
1938,France,Toulouse,Round of 16,Cuba,Romania,3,3,D,,NA,NA,1938-06-05,Jun,Sunday
1938,France,Le Havre,Round of 16,Czechoslovakia,Netherlands,3,0,H,Czechoslovakia won in AET,Czechoslovakia,Netherlands,1938-06-05,Jun,Sunday
1938,France,Colombes,Round of 16,France,Belgium,3,1,H,,France,Belgium,1938-06-05,Jun,Sunday
1938,France,Reims,Round of 16,Hungary,Dutch West Indies,6,0,H,,Hungary,Dutch West Indies,1938-06-05,Jun,Sunday
1938,France,Marseille,Round of 16,Italy,Norway,2,1,H,Italy won in AET,Italy,Norway,1938-06-05,Jun,Sunday
1938,France,Toulouse,Round of 16,Cuba,Romania,2,1,H,,Cuba,Romania,1938-06-09,Jun,Thursday
1938,France,Paris,Round of 16,Germany,Switzerland,2,4,A,,Switzerland,Germany,1938-06-09,Jun,Thursday
1938,France,Bordeaux,Quarterfinals,Brazil,Czechoslovakia,1,1,D,,NA,NA,1938-06-12,Jun,Sunday
1938,France,Antibes,Quarterfinals,Cuba,Sweden,0,8,A,,Sweden,Cuba,1938-06-12,Jun,Sunday
1938,France,Colombes,Quarterfinals,France,Italy,1,3,A,,Italy,France,1938-06-12,Jun,Sunday
1938,France,Lille,Quarterfinals,Hungary,Switzerland,2,0,H,,Hungary,Switzerland,1938-06-12,Jun,Sunday
1938,France,Bordeaux,Quarterfinals,Brazil,Czechoslovakia,2,1,H,,Brazil,Czechoslovakia,1938-06-14,Jun,Tuesday
1938,France,Marseille,Semifinals,Brazil,Italy,1,2,A,,Italy,Brazil,1938-06-16,Jun,Thursday
1938,France,Paris,Semifinals,Hungary,Sweden,5,1,H,,Hungary,Sweden,1938-06-16,Jun,Thursday
1938,France,Bordeaux,Third place,Brazil,Sweden,4,2,H,,Brazil,Sweden,1938-06-19,Jun,Sunday
1938,France,Colombes,Final,Hungary,Italy,2,4,A,,Italy,Hungary,1938-06-19,Jun,Sunday
1950,Brazil,Rio de Janeiro,Group 1,Brazil,Mexico,4,0,H,,Brazil,Mexico,1950-06-24,Jun,Saturday
1950,Brazil,Rio de Janeiro,Group 2,Chile,England,0,2,A,,England,Chile,1950-06-25,Jun,Sunday
1950,Brazil,São Paulo,Group 3,Italy,Sweden,2,3,A,,Sweden,Italy,1950-06-25,Jun,Sunday
1950,Brazil,Curitiba,Group 2,Spain,United States,3,1,H,,Spain,United States,1950-06-25,Jun,Sunday
1950,Brazil,Belo Horizonte,Group 1,Switzerland,Yugoslavia,0,3,A,,Yugoslavia,Switzerland,1950-06-25,Jun,Sunday
1950,Brazil,São Paulo,Group 1,Brazil,Switzerland,2,2,D,,NA,NA,1950-06-28,Jun,Wednesday
1950,Brazil,Porto Alegre,Group 1,Mexico,Yugoslavia,1,4,A,,Yugoslavia,Mexico,1950-06-28,Jun,Wednesday
1950,Brazil,Rio de Janeiro,Group 2,Chile,Spain,0,2,A,,Spain,Chile,1950-06-29,Jun,Thursday
1950,Brazil,Belo Horizonte,Group 2,England,United States,0,1,A,,United States,England,1950-06-29,Jun,Thursday
1950,Brazil,Curitiba,Group 3,Paraguay,Sweden,2,2,D,,NA,NA,1950-06-29,Jun,Thursday
1950,Brazil,Rio de Janeiro,Group 1,Brazil,Yugoslavia,2,0,H,,Brazil,Yugoslavia,1950-07-01,Jul,Saturday
1950,Brazil,Belo Horizonte,Group 4,Bolivia,Uruguay,0,8,A,,Uruguay,Bolivia,1950-07-02,Jul,Sunday
1950,Brazil,Recife,Group 2,Chile,United States,5,2,H,,Chile,United States,1950-07-02,Jul,Sunday
1950,Brazil,Rio de Janeiro,Group 2,England,Spain,0,1,A,,Spain,England,1950-07-02,Jul,Sunday
1950,Brazil,São Paulo,Group 3,Italy,Paraguay,2,0,H,,Italy,Paraguay,1950-07-02,Jul,Sunday
1950,Brazil,Porto Alegre,Group 1,Mexico,Switzerland,1,2,A,,Switzerland,Mexico,1950-07-02,Jul,Sunday
1950,Brazil,Rio de Janeiro,Final Round,Brazil,Sweden,7,1,H,,Brazil,Sweden,1950-07-09,Jul,Sunday
1950,Brazil,São Paulo,Final Round,Spain,Uruguay,2,2,D,,NA,NA,1950-07-09,Jul,Sunday
1950,Brazil,Rio de Janeiro,Final Round,Brazil,Spain,6,1,H,,Brazil,Spain,1950-07-13,Jul,Thursday
1950,Brazil,São Paulo,Final Round,Sweden,Uruguay,2,3,A,,Uruguay,Sweden,1950-07-13,Jul,Thursday
1950,Brazil,Rio de Janeiro,Final Round,Brazil,Uruguay,1,2,A,,Uruguay,Brazil,1950-07-16,Jul,Sunday
1950,Brazil,São Paulo,Final Round,Spain,Sweden,1,3,A,,Sweden,Spain,1950-07-16,Jul,Sunday
1954,Switzerland,Zürich,Group 3,Austria,Scotland,1,0,H,,Austria,Scotland,1954-06-16,Jun,Wednesday
1954,Switzerland,Geneva,Group 1,Brazil,Mexico,5,0,H,,Brazil,Mexico,1954-06-16,Jun,Wednesday
1954,Switzerland,Berne,Group 3,Czechoslovakia,Uruguay,0,2,A,,Uruguay,Czechoslovakia,1954-06-16,Jun,Wednesday
1954,Switzerland,Lausanne,Group 1,France,Yugoslavia,0,1,A,,Yugoslavia,France,1954-06-16,Jun,Wednesday
1954,Switzerland,Basel,Group 4,Belgium,England,4,4,D,,NA,NA,1954-06-17,Jun,Thursday
1954,Switzerland,Berne,Group 2,West Germany,Turkey,4,1,H,,West Germany,Turkey,1954-06-17,Jun,Thursday
1954,Switzerland,Zürich,Group 2,Hungary,South Korea,9,0,H,,Hungary,South Korea,1954-06-17,Jun,Thursday
1954,Switzerland,Lausanne,Group 4,Switzerland,Italy,2,1,H,,Switzerland,Italy,1954-06-17,Jun,Thursday
1954,Switzerland,Zürich,Group 3,Austria,Czechoslovakia,5,0,H,,Austria,Czechoslovakia,1954-06-19,Jun,Saturday
1954,Switzerland,Lausanne,Group 1,Brazil,Yugoslavia,1,1,D,,NA,NA,1954-06-19,Jun,Saturday
1954,Switzerland,Geneva,Group 1,France,Mexico,3,2,H,,France,Mexico,1954-06-19,Jun,Saturday
1954,Switzerland,Basel,Group 3,Scotland,Uruguay,0,7,A,,Uruguay,Scotland,1954-06-19,Jun,Saturday
1954,Switzerland,Lugano,Group 4,Belgium,Italy,1,4,A,,Italy,Belgium,1954-06-20,Jun,Sunday
1954,Switzerland,Basel,Group 2,West Germany,Hungary,3,8,A,,Hungary,West Germany,1954-06-20,Jun,Sunday
1954,Switzerland,Geneva,Group 2,South Korea,Turkey,0,7,A,,Turkey,South Korea,1954-06-20,Jun,Sunday
1954,Switzerland,Berne,Group 4,Switzerland,England,0,2,A,,England,Switzerland,1954-06-20,Jun,Sunday
1954,Switzerland,Zürich,Group 2,West Germany,Turkey,7,2,H,,West Germany,Turkey,1954-06-23,Jun,Wednesday
1954,Switzerland,Basel,Group 4,Switzerland,Italy,4,1,H,,Switzerland,Italy,1954-06-23,Jun,Wednesday
1954,Switzerland,Basel,Quarterfinals,England,Uruguay,2,4,A,,Uruguay,England,1954-06-26,Jun,Saturday
1954,Switzerland,Lausanne,Quarterfinals,Switzerland,Austria,5,7,A,,Austria,Switzerland,1954-06-26,Jun,Saturday
1954,Switzerland,Berne,Quarterfinals,Brazil,Hungary,2,4,A,,Hungary,Brazil,1954-06-27,Jun,Sunday
1954,Switzerland,Geneva,Quarterfinals,West Germany,Yugoslavia,2,0,H,,West Germany,Yugoslavia,1954-06-27,Jun,Sunday
1954,Switzerland,Basel,Semifinals,Austria,West Germany,1,6,A,,West Germany,Austria,1954-06-30,Jun,Wednesday
1954,Switzerland,Lausanne,Semifinals,Hungary,Uruguay,4,2,H,Hungary won in AET,Hungary,Uruguay,1954-06-30,Jun,Wednesday
1954,Switzerland,Zürich,Third place,Austria,Uruguay,3,1,H,,Austria,Uruguay,1954-07-03,Jul,Saturday
1954,Switzerland,Berne,Final,West Germany,Hungary,3,2,H,,West Germany,Hungary,1954-07-04,Jul,Sunday
1958,Sweden,Malmö,Group 1,Argentina,West Germany,1,3,A,,West Germany,Argentina,1958-06-08,Jun,Sunday
1958,Sweden,Uddevalla,Group 4,Austria,Brazil,0,3,A,,Brazil,Austria,1958-06-08,Jun,Sunday
1958,Sweden,Halmstad,Group 1,Czechoslovakia,Northern Ireland,0,1,A,,Northern Ireland,Czechoslovakia,1958-06-08,Jun,Sunday
1958,Sweden,Gothenburg,Group 4,England,Soviet Union,2,2,D,,NA,NA,1958-06-08,Jun,Sunday
1958,Sweden,Norrköping,Group 2,France,Paraguay,7,3,H,,France,Paraguay,1958-06-08,Jun,Sunday
1958,Sweden,Sandviken,Group 3,Hungary,Wales,1,1,D,,NA,NA,1958-06-08,Jun,Sunday
1958,Sweden,Västerås,Group 2,Scotland,Yugoslavia,1,1,D,,NA,NA,1958-06-08,Jun,Sunday
1958,Sweden,Solna,Group 3,Sweden,Mexico,3,0,H,,Sweden,Mexico,1958-06-08,Jun,Sunday
1958,Sweden,Halmstad,Group 1,Argentina,Northern Ireland,3,1,H,,Argentina,Northern Ireland,1958-06-11,Jun,Wednesday
1958,Sweden,Borås,Group 4,Austria,Soviet Union,0,2,A,,Soviet Union,Austria,1958-06-11,Jun,Wednesday
1958,Sweden,Gothenburg,Group 4,Brazil,England,0,0,D,,NA,NA,1958-06-11,Jun,Wednesday
1958,Sweden,Helsingborg,Group 1,Czechoslovakia,West Germany,2,2,D,,NA,NA,1958-06-11,Jun,Wednesday
1958,Sweden,Västerås,Group 2,France,Yugoslavia,2,3,A,,Yugoslavia,France,1958-06-11,Jun,Wednesday
1958,Sweden,Solna,Group 3,Mexico,Wales,1,1,D,,NA,NA,1958-06-11,Jun,Wednesday
1958,Sweden,Norrköping,Group 2,Paraguay,Scotland,3,2,H,,Paraguay,Scotland,1958-06-11,Jun,Wednesday
1958,Sweden,Solna,Group 3,Sweden,Hungary,2,1,H,,Sweden,Hungary,1958-06-12,Jun,Thursday
1958,Sweden,Helsingborg,Group 1,Argentina,Czechoslovakia,1,6,A,,Czechoslovakia,Argentina,1958-06-15,Jun,Sunday
1958,Sweden,Borås,Group 4,Austria,England,2,2,D,,NA,NA,1958-06-15,Jun,Sunday
1958,Sweden,Gothenburg,Group 4,Brazil,Soviet Union,2,0,H,,Brazil,Soviet Union,1958-06-15,Jun,Sunday
1958,Sweden,Örebro,Group 2,France,Scotland,2,1,H,,France,Scotland,1958-06-15,Jun,Sunday
1958,Sweden,Malmö,Group 1,West Germany,Northern Ireland,2,2,D,,NA,NA,1958-06-15,Jun,Sunday
1958,Sweden,Sandviken,Group 3,Hungary,Mexico,4,0,H,,Hungary,Mexico,1958-06-15,Jun,Sunday
1958,Sweden,Eskilstuna,Group 2,Paraguay,Yugoslavia,3,3,D,,NA,NA,1958-06-15,Jun,Sunday
1958,Sweden,Solna,Group 3,Sweden,Wales,0,0,D,,NA,NA,1958-06-15,Jun,Sunday
1958,Sweden,Malmö,Group 1,Czechoslovakia,Northern Ireland,1,2,A,Northern Ireland won in AET,Northern Ireland,Czechoslovakia,1958-06-17,Jun,Tuesday
1958,Sweden,Gothenburg,Group 4,England,Soviet Union,0,1,A,,Soviet Union,England,1958-06-17,Jun,Tuesday
1958,Sweden,Solna,Group 3,Hungary,Wales,1,2,A,,Wales,Hungary,1958-06-17,Jun,Tuesday
1958,Sweden,Gothenburg,Quarterfinals,Brazil,Wales,1,0,H,,Brazil,Wales,1958-06-19,Jun,Thursday
1958,Sweden,Norrköping,Quarterfinals,France,Northern Ireland,4,0,H,,France,Northern Ireland,1958-06-19,Jun,Thursday
1958,Sweden,Malmö,Quarterfinals,West Germany,Yugoslavia,1,0,H,,West Germany,Yugoslavia,1958-06-19,Jun,Thursday
1958,Sweden,Solna,Quarterfinals,Sweden,Soviet Union,2,0,H,,Sweden,Soviet Union,1958-06-19,Jun,Thursday
1958,Sweden,Solna,Semifinals,Brazil,France,5,2,H,,Brazil,France,1958-06-24,Jun,Tuesday
1958,Sweden,Gothenburg,Semifinals,Sweden,West Germany,3,1,H,,Sweden,West Germany,1958-06-24,Jun,Tuesday
1958,Sweden,Gothenburg,Third place,France,West Germany,6,3,H,,France,West Germany,1958-06-28,Jun,Saturday
1958,Sweden,Solna,Final,Sweden,Brazil,2,5,A,,Brazil,Sweden,1958-06-29,Jun,Sunday
1962,Chile,Rancagua,Group 4,Argentina,Bulgaria,1,0,H,,Argentina,Bulgaria,1962-05-30,May,Wednesday
1962,Chile,Viña del Mar,Group 3,Brazil,Mexico,2,0,H,,Brazil,Mexico,1962-05-30,May,Wednesday
1962,Chile,Santiago,Group 2,Chile,Switzerland,3,1,H,,Chile,Switzerland,1962-05-30,May,Wednesday
1962,Chile,Arica,Group 1,Colombia,Uruguay,1,2,A,,Uruguay,Colombia,1962-05-30,May,Wednesday
1962,Chile,Viña del Mar,Group 3,Czechoslovakia,Spain,1,0,H,,Czechoslovakia,Spain,1962-05-31,May,Thursday
1962,Chile,Rancagua,Group 4,England,Hungary,1,2,A,,Hungary,England,1962-05-31,May,Thursday
1962,Chile,Santiago,Group 2,West Germany,Italy,0,0,D,,NA,NA,1962-05-31,May,Thursday
1962,Chile,Arica,Group 1,Soviet Union,Yugoslavia,2,0,H,,Soviet Union,Yugoslavia,1962-05-31,May,Thursday
1962,Chile,Rancagua,Group 4,Argentina,England,1,3,A,,England,Argentina,1962-06-02,Jun,Saturday
1962,Chile,Viña del Mar,Group 3,Brazil,Czechoslovakia,0,0,D,,NA,NA,1962-06-02,Jun,Saturday
1962,Chile,Santiago,Group 2,Chile,Italy,2,0,H,,Chile,Italy,1962-06-02,Jun,Saturday
1962,Chile,Arica,Group 1,Uruguay,Yugoslavia,1,3,A,,Yugoslavia,Uruguay,1962-06-02,Jun,Saturday
1962,Chile,Rancagua,Group 4,Bulgaria,Hungary,1,6,A,,Hungary,Bulgaria,1962-06-03,Jun,Sunday
1962,Chile,Arica,Group 1,Colombia,Soviet Union,4,4,D,,NA,NA,1962-06-03,Jun,Sunday
1962,Chile,Santiago,Group 2,West Germany,Switzerland,2,1,H,,West Germany,Switzerland,1962-06-03,Jun,Sunday
1962,Chile,Viña del Mar,Group 3,Mexico,Spain,0,1,A,,Spain,Mexico,1962-06-03,Jun,Sunday
1962,Chile,Rancagua,Group 4,Argentina,Hungary,0,0,D,,NA,NA,1962-06-06,Jun,Wednesday
1962,Chile,Viña del Mar,Group 3,Brazil,Spain,2,1,H,,Brazil,Spain,1962-06-06,Jun,Wednesday
1962,Chile,Santiago,Group 2,Chile,West Germany,0,2,A,,West Germany,Chile,1962-06-06,Jun,Wednesday
1962,Chile,Arica,Group 1,Soviet Union,Uruguay,2,1,H,,Soviet Union,Uruguay,1962-06-06,Jun,Wednesday
1962,Chile,Rancagua,Group 4,Bulgaria,England,0,0,D,,NA,NA,1962-06-07,Jun,Thursday
1962,Chile,Arica,Group 1,Colombia,Yugoslavia,0,5,A,,Yugoslavia,Colombia,1962-06-07,Jun,Thursday
1962,Chile,Viña del Mar,Group 3,Czechoslovakia,Mexico,1,3,A,,Mexico,Czechoslovakia,1962-06-07,Jun,Thursday
1962,Chile,Santiago,Group 2,Italy,Switzerland,3,0,H,,Italy,Switzerland,1962-06-07,Jun,Thursday
1962,Chile,Viña del Mar,Quarterfinals,Brazil,England,3,1,H,,Brazil,England,1962-06-10,Jun,Sunday
1962,Chile,Arica,Quarterfinals,Chile,Soviet Union,2,1,H,,Chile,Soviet Union,1962-06-10,Jun,Sunday
1962,Chile,Rancagua,Quarterfinals,Czechoslovakia,Hungary,1,0,H,,Czechoslovakia,Hungary,1962-06-10,Jun,Sunday
1962,Chile,Santiago,Quarterfinals,West Germany,Yugoslavia,0,1,A,,Yugoslavia,West Germany,1962-06-10,Jun,Sunday
1962,Chile,Santiago,Semifinals,Chile,Brazil,2,4,A,,Brazil,Chile,1962-06-13,Jun,Wednesday
1962,Chile,Viña del Mar,Semifinals,Czechoslovakia,Yugoslavia,3,1,H,,Czechoslovakia,Yugoslavia,1962-06-13,Jun,Wednesday
1962,Chile,Santiago,Third place,Chile,Yugoslavia,1,0,H,,Chile,Yugoslavia,1962-06-16,Jun,Saturday
1962,Chile,Santiago,Final,Brazil,Czechoslovakia,3,1,H,,Brazil,Czechoslovakia,1962-06-17,Jun,Sunday
1966,England,London,Group 1,England,Uruguay,0,0,D,,NA,NA,1966-07-11,Jul,Monday
1966,England,Liverpool,Group 3,Brazil,Bulgaria,2,0,H,,Brazil,Bulgaria,1966-07-12,Jul,Tuesday
1966,England,Sheffield,Group 2,West Germany,Switzerland,5,0,H,,West Germany,Switzerland,1966-07-12,Jul,Tuesday
1966,England,Middlesbrough,Group 4,North Korea,Soviet Union,0,3,A,,Soviet Union,North Korea,1966-07-12,Jul,Tuesday
1966,England,Birmingham,Group 2,Argentina,Spain,2,1,H,,Argentina,Spain,1966-07-13,Jul,Wednesday
1966,England,Sunderland,Group 4,Chile,Italy,0,2,A,,Italy,Chile,1966-07-13,Jul,Wednesday
1966,England,London,Group 1,France,Mexico,1,1,D,,NA,NA,1966-07-13,Jul,Wednesday
1966,England,Manchester,Group 3,Hungary,Portugal,1,3,A,,Portugal,Hungary,1966-07-13,Jul,Wednesday
1966,England,Liverpool,Group 3,Brazil,Hungary,1,3,A,,Hungary,Brazil,1966-07-15,Jul,Friday
1966,England,Middlesbrough,Group 4,Chile,North Korea,1,1,D,,NA,NA,1966-07-15,Jul,Friday
1966,England,London,Group 1,France,Uruguay,1,2,A,,Uruguay,France,1966-07-15,Jul,Friday
1966,England,Sheffield,Group 2,Spain,Switzerland,2,1,H,,Spain,Switzerland,1966-07-15,Jul,Friday
1966,England,Birmingham,Group 2,Argentina,West Germany,0,0,D,,NA,NA,1966-07-16,Jul,Saturday
1966,England,Manchester,Group 3,Bulgaria,Portugal,0,3,A,,Portugal,Bulgaria,1966-07-16,Jul,Saturday
1966,England,London,Group 1,England,Mexico,2,0,H,,England,Mexico,1966-07-16,Jul,Saturday
1966,England,Sunderland,Group 4,Italy,Soviet Union,0,1,A,,Soviet Union,Italy,1966-07-16,Jul,Saturday
1966,England,Sheffield,Group 2,Argentina,Switzerland,2,0,H,,Argentina,Switzerland,1966-07-19,Jul,Tuesday
1966,England,Liverpool,Group 3,Brazil,Portugal,1,3,A,,Portugal,Brazil,1966-07-19,Jul,Tuesday
1966,England,Middlesbrough,Group 4,Italy,North Korea,0,1,A,,North Korea,Italy,1966-07-19,Jul,Tuesday
1966,England,London,Group 1,Mexico,Uruguay,0,0,D,,NA,NA,1966-07-19,Jul,Tuesday
1966,England,Manchester,Group 3,Bulgaria,Hungary,1,3,A,,Hungary,Bulgaria,1966-07-20,Jul,Wednesday
1966,England,Sunderland,Group 4,Chile,Soviet Union,1,2,A,,Soviet Union,Chile,1966-07-20,Jul,Wednesday
1966,England,London,Group 1,England,France,2,0,H,,England,France,1966-07-20,Jul,Wednesday
1966,England,Birmingham,Group 2,West Germany,Spain,2,1,H,,West Germany,Spain,1966-07-20,Jul,Wednesday
1966,England,London,Quarterfinals,England,Argentina,1,0,H,,England,Argentina,1966-07-23,Jul,Saturday
1966,England,Sheffield,Quarterfinals,West Germany,Uruguay,4,0,H,,West Germany,Uruguay,1966-07-23,Jul,Saturday
1966,England,Sunderland,Quarterfinals,Hungary,Soviet Union,1,2,A,,Soviet Union,Hungary,1966-07-23,Jul,Saturday
1966,England,Liverpool,Quarterfinals,North Korea,Portugal,3,5,A,,Portugal,North Korea,1966-07-23,Jul,Saturday
1966,England,Liverpool,Semifinals,West Germany,Soviet Union,2,1,H,,West Germany,Soviet Union,1966-07-25,Jul,Monday
1966,England,London,Semifinals,England,Portugal,2,1,H,,England,Portugal,1966-07-26,Jul,Tuesday
1966,England,London,Third place,Portugal,Soviet Union,2,1,H,,Portugal,Soviet Union,1966-07-28,Jul,Thursday
1966,England,London,Final,England,West Germany,4,2,H,England won in AET,England,West Germany,1966-07-30,Jul,Saturday
1970,Mexico,Mexico City,Group 1,Mexico,Soviet Union,0,0,D,,NA,NA,1970-05-31,May,Sunday
1970,Mexico,León,Group 4,Bulgaria,Peru,2,3,A,,Peru,Bulgaria,1970-06-02,Jun,Tuesday
1970,Mexico,Guadalajara,Group 3,England,Romania,1,0,H,,England,Romania,1970-06-02,Jun,Tuesday
1970,Mexico,Puebla,Group 2,Israel,Uruguay,0,2,A,,Uruguay,Israel,1970-06-02,Jun,Tuesday
1970,Mexico,Mexico City,Group 1,Belgium,El Salvador,3,0,H,,Belgium,El Salvador,1970-06-03,Jun,Wednesday
1970,Mexico,Guadalajara,Group 3,Brazil,Czechoslovakia,4,1,H,,Brazil,Czechoslovakia,1970-06-03,Jun,Wednesday
1970,Mexico,León,Group 4,West Germany,Morocco,2,1,H,,West Germany,Morocco,1970-06-03,Jun,Wednesday
1970,Mexico,Toluca,Group 2,Italy,Sweden,1,0,H,,Italy,Sweden,1970-06-03,Jun,Wednesday
1970,Mexico,Mexico City,Group 1,Belgium,Soviet Union,1,4,A,,Soviet Union,Belgium,1970-06-06,Jun,Saturday
1970,Mexico,Guadalajara,Group 3,Czechoslovakia,Romania,1,2,A,,Romania,Czechoslovakia,1970-06-06,Jun,Saturday
1970,Mexico,Puebla,Group 2,Italy,Uruguay,0,0,D,,NA,NA,1970-06-06,Jun,Saturday
1970,Mexico,León,Group 4,Morocco,Peru,0,3,A,,Peru,Morocco,1970-06-06,Jun,Saturday
1970,Mexico,Guadalajara,Group 3,Brazil,England,1,0,H,,Brazil,England,1970-06-07,Jun,Sunday
1970,Mexico,León,Group 4,Bulgaria,West Germany,2,5,A,,West Germany,Bulgaria,1970-06-07,Jun,Sunday
1970,Mexico,Toluca,Group 2,Israel,Sweden,1,1,D,,NA,NA,1970-06-07,Jun,Sunday
1970,Mexico,Mexico City,Group 1,Mexico,El Salvador,4,0,H,,Mexico,El Salvador,1970-06-07,Jun,Sunday
1970,Mexico,Guadalajara,Group 3,Brazil,Romania,3,2,H,,Brazil,Romania,1970-06-10,Jun,Wednesday
1970,Mexico,Mexico City,Group 1,El Salvador,Soviet Union,0,2,A,,Soviet Union,El Salvador,1970-06-10,Jun,Wednesday
1970,Mexico,León,Group 4,West Germany,Peru,3,1,H,,West Germany,Peru,1970-06-10,Jun,Wednesday
1970,Mexico,Puebla,Group 2,Sweden,Uruguay,1,0,H,,Sweden,Uruguay,1970-06-10,Jun,Wednesday
1970,Mexico,León,Group 4,Bulgaria,Morocco,1,1,D,,NA,NA,1970-06-11,Jun,Thursday
1970,Mexico,Guadalajara,Group 3,Czechoslovakia,England,0,1,A,,England,Czechoslovakia,1970-06-11,Jun,Thursday
1970,Mexico,Toluca,Group 2,Israel,Italy,0,0,D,,NA,NA,1970-06-11,Jun,Thursday
1970,Mexico,Mexico City,Group 1,Mexico,Belgium,1,0,H,,Mexico,Belgium,1970-06-11,Jun,Thursday
1970,Mexico,Guadalajara,Quarterfinals,Brazil,Peru,4,2,H,,Brazil,Peru,1970-06-14,Jun,Sunday
1970,Mexico,León,Quarterfinals,England,West Germany,2,3,A,West Germany won in AET,West Germany,England,1970-06-14,Jun,Sunday
