date,fuel,grade,formulation,price
1992-10-12,gasoline,regular,conventional,1.115
1992-10-19,gasoline,regular,all,1.113
1992-10-19,gasoline,regular,conventional,1.113
1992-10-26,gasoline,regular,all,1.113
1992-10-26,gasoline,regular,conventional,1.113
1992-11-02,gasoline,regular,all,1.12
1992-11-02,gasoline,regular,conventional,1.12
1992-11-09,gasoline,regular,all,1.12
1992-11-09,gasoline,regular,conventional,1.12
1992-11-16,gasoline,regular,all,1.112
1992-11-16,gasoline,regular,conventional,1.112
1992-11-23,gasoline,regular,all,1.106
1992-11-23,gasoline,regular,conventional,1.106
1992-11-30,gasoline,regular,all,1.098
1992-11-30,gasoline,regular,conventional,1.098
1992-12-07,gasoline,regular,all,1.089
1992-12-07,gasoline,regular,conventional,1.089
1992-12-14,gasoline,regular,all,1.078
1992-12-14,gasoline,regular,conventional,1.078
1992-12-21,gasoline,regular,all,1.074
1992-12-21,gasoline,regular,conventional,1.074
1992-12-28,gasoline,regular,all,1.069
1992-12-28,gasoline,regular,conventional,1.069
1993-01-04,gasoline,regular,all,1.065
1993-01-04,gasoline,regular,conventional,1.065
1993-01-11,gasoline,regular,all,1.066
1993-01-11,gasoline,regular,conventional,1.066
1993-01-18,gasoline,regular,all,1.061
1993-01-18,gasoline,regular,conventional,1.061
1993-01-25,gasoline,regular,all,1.055
1993-01-25,gasoline,regular,conventional,1.055
1993-02-01,gasoline,regular,all,1.055
1993-02-01,gasoline,regular,conventional,1.055
1993-02-08,gasoline,regular,all,1.062
1993-02-08,gasoline,regular,conventional,1.062
1993-02-15,gasoline,regular,all,1.053
1993-02-15,gasoline,regular,conventional,1.053
1993-02-22,gasoline,regular,all,1.047
1993-02-22,gasoline,regular,conventional,1.047
1993-03-01,gasoline,regular,all,1.042
1993-03-01,gasoline,regular,conventional,1.042
1993-03-08,gasoline,regular,all,1.048
1993-03-08,gasoline,regular,conventional,1.048
1993-03-15,gasoline,regular,all,1.058
1993-03-15,gasoline,regular,conventional,1.058
1993-03-22,gasoline,regular,all,1.056
1993-03-22,gasoline,regular,conventional,1.056
1993-03-29,gasoline,regular,all,1.057
1993-03-29,gasoline,regular,conventional,1.057
1993-04-05,gasoline,all,all,1.068
1993-04-05,gasoline,regular,all,1.068
1993-04-05,gasoline,regular,conventional,1.068
1993-04-12,gasoline,all,all,1.079
1993-04-12,gasoline,regular,all,1.079
1993-04-12,gasoline,regular,conventional,1.079
1993-04-19,gasoline,all,all,1.079
1993-04-19,gasoline,regular,all,1.079
1993-04-19,gasoline,regular,conventional,1.079
1993-04-26,gasoline,all,all,1.086
1993-04-26,gasoline,regular,all,1.086
1993-04-26,gasoline,regular,conventional,1.086
1993-05-03,gasoline,all,all,1.086
1993-05-03,gasoline,regular,all,1.086
1993-05-03,gasoline,regular,conventional,1.086
1993-05-10,gasoline,all,all,1.097
1993-05-10,gasoline,regular,all,1.097
1993-05-10,gasoline,regular,conventional,1.097
1993-05-17,gasoline,all,all,1.106
1993-05-17,gasoline,regular,all,1.106
1993-05-17,gasoline,regular,conventional,1.106
1993-05-24,gasoline,all,all,1.106
1993-05-24,gasoline,regular,all,1.106
1993-05-24,gasoline,regular,conventional,1.106
1993-05-31,gasoline,all,all,1.107
1993-05-31,gasoline,regular,all,1.107
1993-05-31,gasoline,regular,conventional,1.107
1993-06-07,gasoline,all,all,1.104
1993-06-07,gasoline,regular,all,1.104
1993-06-07,gasoline,regular,conventional,1.104
1993-06-14,gasoline,all,all,1.101
1993-06-14,gasoline,regular,all,1.101
1993-06-14,gasoline,regular,conventional,1.101
1993-06-21,gasoline,all,all,1.095
1993-06-21,gasoline,regular,all,1.095
1993-06-21,gasoline,regular,conventional,1.095
1993-06-28,gasoline,all,all,1.089
1993-06-28,gasoline,regular,all,1.089
1993-06-28,gasoline,regular,conventional,1.089
1993-07-05,gasoline,all,all,1.086
1993-07-05,gasoline,regular,all,1.086
1993-07-05,gasoline,regular,conventional,1.086
1993-07-12,gasoline,all,all,1.081
1993-07-12,gasoline,regular,all,1.081
1993-07-12,gasoline,regular,conventional,1.081
1993-07-19,gasoline,all,all,1.075
1993-07-19,gasoline,regular,all,1.075
1993-07-19,gasoline,regular,conventional,1.075
1993-07-26,gasoline,all,all,1.069
1993-07-26,gasoline,regular,all,1.069
1993-07-26,gasoline,regular,conventional,1.069
1993-08-02,gasoline,all,all,1.062
1993-08-02,gasoline,regular,all,1.062
1993-08-02,gasoline,regular,conventional,1.062
1993-08-09,gasoline,all,all,1.06
1993-08-09,gasoline,regular,all,1.06
1993-08-09,gasoline,regular,conventional,1.06
1993-08-16,gasoline,all,all,1.059
1993-08-16,gasoline,regular,all,1.059
1993-08-16,gasoline,regular,conventional,1.059
1993-08-23,gasoline,all,all,1.065
1993-08-23,gasoline,regular,all,1.065
1993-08-23,gasoline,regular,conventional,1.065
1993-08-30,gasoline,all,all,1.062
1993-08-30,gasoline,regular,all,1.062
1993-08-30,gasoline,regular,conventional,1.062
1993-09-06,gasoline,all,all,1.055
1993-09-06,gasoline,regular,all,1.055
1993-09-06,gasoline,regular,conventional,1.055
1993-09-13,gasoline,all,all,1.051
1993-09-13,gasoline,regular,all,1.051
1993-09-13,gasoline,regular,conventional,1.051
1993-09-20,gasoline,all,all,1.045
1993-09-20,gasoline,regular,all,1.045
1993-09-20,gasoline,regular,conventional,1.045
1993-09-27,gasoline,all,all,1.047
1993-09-27,gasoline,regular,all,1.047
1993-09-27,gasoline,regular,conventional,1.047
1993-10-04,gasoline,all,all,1.092
1993-10-04,gasoline,regular,all,1.092
1993-10-04,gasoline,regular,conventional,1.092
1993-10-11,gasoline,all,all,1.09
1993-10-11,gasoline,regular,all,1.09
1993-10-11,gasoline,regular,conventional,1.09
1993-10-18,gasoline,all,all,1.093
1993-10-18,gasoline,regular,all,1.093
1993-10-18,gasoline,regular,conventional,1.093
1993-10-25,gasoline,all,all,1.092
1993-10-25,gasoline,regular,all,1.092
1993-10-25,gasoline,regular,conventional,1.092
1993-11-01,gasoline,all,all,1.084
1993-11-01,gasoline,regular,all,1.084
1993-11-01,gasoline,regular,conventional,1.084
1993-11-08,gasoline,all,all,1.075
1993-11-08,gasoline,regular,all,1.075
1993-11-08,gasoline,regular,conventional,1.075
1993-11-15,gasoline,all,all,1.064
1993-11-15,gasoline,regular,all,1.064
1993-11-15,gasoline,regular,conventional,1.064
1993-11-22,gasoline,all,all,1.058
1993-11-22,gasoline,regular,all,1.058
1993-11-22,gasoline,regular,conventional,1.058
1993-11-29,gasoline,all,all,1.051
1993-11-29,gasoline,regular,all,1.051
1993-11-29,gasoline,regular,conventional,1.051
1993-12-06,gasoline,all,all,1.036
1993-12-06,gasoline,regular,all,1.036
1993-12-06,gasoline,regular,conventional,1.036
1993-12-13,gasoline,all,all,1.018
1993-12-13,gasoline,regular,all,1.018
1993-12-13,gasoline,regular,conventional,1.018
1993-12-20,gasoline,all,all,1.003
1993-12-20,gasoline,regular,all,1.003
1993-12-20,gasoline,regular,conventional,1.003
1993-12-27,gasoline,all,all,0.999
1993-12-27,gasoline,regular,all,0.999
1993-12-27,gasoline,regular,conventional,0.999
1994-01-03,gasoline,all,all,0.992
1994-01-03,gasoline,regular,all,0.992
1994-01-03,gasoline,regular,conventional,0.992
1994-01-10,gasoline,all,all,0.995
1994-01-10,gasoline,regular,all,0.995
1994-01-10,gasoline,regular,conventional,0.995
1994-01-17,gasoline,all,all,1.001
1994-01-17,gasoline,regular,all,1.001
1994-01-17,gasoline,regular,conventional,1.001
1994-01-24,gasoline,all,all,0.999
1994-01-24,gasoline,regular,all,0.999
1994-01-24,gasoline,regular,conventional,0.999
1994-01-31,gasoline,all,all,1.005
1994-01-31,gasoline,regular,all,1.005
1994-01-31,gasoline,regular,conventional,1.005
1994-02-07,gasoline,all,all,1.007
1994-02-07,gasoline,regular,all,1.007
1994-02-07,gasoline,regular,conventional,1.007
1994-02-14,gasoline,all,all,1.016
1994-02-14,gasoline,regular,all,1.016
1994-02-14,gasoline,regular,conventional,1.016
1994-02-21,gasoline,all,all,1.009
1994-02-21,gasoline,regular,all,1.009
1994-02-21,gasoline,regular,conventional,1.009
1994-02-28,gasoline,all,all,1.004
1994-02-28,gasoline,regular,all,1.004
1994-02-28,gasoline,regular,conventional,1.004
1994-03-07,gasoline,all,all,1.007
1994-03-07,gasoline,regular,all,1.007
1994-03-07,gasoline,regular,conventional,1.007
1994-03-14,gasoline,all,all,1.005
1994-03-14,gasoline,regular,all,1.005
1994-03-14,gasoline,regular,conventional,1.005
1994-03-21,gasoline,all,all,1.007
1994-03-21,gasoline,regular,all,1.007
1994-03-21,gasoline,regular,conventional,1.007
1994-03-21,diesel,all,NA,1.106
1994-03-28,gasoline,all,all,1.012
1994-03-28,gasoline,regular,all,1.012
1994-03-28,gasoline,regular,conventional,1.012
1994-03-28,diesel,all,NA,1.107
1994-04-04,gasoline,all,all,1.011
1994-04-04,gasoline,regular,all,1.011
1994-04-04,gasoline,regular,conventional,1.011
1994-04-04,diesel,all,NA,1.109
1994-04-11,gasoline,all,all,1.028
1994-04-11,gasoline,regular,all,1.028
1994-04-11,gasoline,regular,conventional,1.028
1994-04-11,diesel,all,NA,1.108
1994-04-18,gasoline,all,all,1.033
1994-04-18,gasoline,regular,all,1.033
1994-04-18,gasoline,regular,conventional,1.033
1994-04-18,diesel,all,NA,1.105
1994-04-25,gasoline,all,all,1.037
1994-04-25,gasoline,regular,all,1.037
1994-04-25,gasoline,regular,conventional,1.037
1994-04-25,diesel,all,NA,1.106
1994-05-02,gasoline,all,all,1.04
1994-05-02,gasoline,regular,all,1.04
1994-05-02,gasoline,regular,conventional,1.04
1994-05-02,diesel,all,NA,1.104
1994-05-09,gasoline,all,all,1.045
1994-05-09,gasoline,regular,all,1.045
1994-05-09,gasoline,regular,conventional,1.045
1994-05-09,diesel,all,NA,1.101
1994-05-16,gasoline,all,all,1.046
1994-05-16,gasoline,regular,all,1.046
1994-05-16,gasoline,regular,conventional,1.046
1994-05-16,diesel,all,NA,1.099
1994-05-23,gasoline,all,all,1.05
1994-05-23,gasoline,regular,all,1.05
1994-05-23,gasoline,regular,conventional,1.05
1994-05-23,diesel,all,NA,1.099
1994-05-30,gasoline,all,all,1.056
1994-05-30,gasoline,regular,all,1.056
1994-05-30,gasoline,regular,conventional,1.056
1994-05-30,diesel,all,NA,1.098
1994-06-06,gasoline,all,all,1.065
1994-06-06,gasoline,regular,all,1.065
1994-06-06,gasoline,regular,conventional,1.065
1994-06-06,diesel,all,NA,1.101
1994-06-13,gasoline,all,all,1.073
1994-06-13,gasoline,regular,all,1.073
1994-06-13,gasoline,regular,conventional,1.073
1994-06-13,diesel,all,NA,1.098
1994-06-20,gasoline,all,all,1.079
1994-06-20,gasoline,regular,all,1.079
1994-06-20,gasoline,regular,conventional,1.079
1994-06-20,diesel,all,NA,1.103
1994-06-27,gasoline,all,all,1.095
1994-06-27,gasoline,regular,all,1.095
1994-06-27,gasoline,regular,conventional,1.095
1994-06-27,diesel,all,NA,1.108
1994-07-04,gasoline,all,all,1.097
1994-07-04,gasoline,regular,all,1.097
1994-07-04,gasoline,regular,conventional,1.097
1994-07-04,diesel,all,NA,1.109
1994-07-11,gasoline,all,all,1.103
1994-07-11,gasoline,regular,all,1.103
1994-07-11,gasoline,regular,conventional,1.103
1994-07-11,diesel,all,NA,1.11
1994-07-18,gasoline,all,all,1.109
1994-07-18,gasoline,regular,all,1.109
1994-07-18,gasoline,regular,conventional,1.109
1994-07-18,diesel,all,NA,1.111
1994-07-25,gasoline,all,all,1.114
1994-07-25,gasoline,regular,all,1.114
1994-07-25,gasoline,regular,conventional,1.114
1994-07-25,diesel,all,NA,1.111
1994-08-01,gasoline,all,all,1.13
1994-08-01,gasoline,regular,all,1.13
1994-08-01,gasoline,regular,conventional,1.13
1994-08-01,diesel,all,NA,1.116
1994-08-08,gasoline,all,all,1.157
1994-08-08,gasoline,regular,all,1.157
1994-08-08,gasoline,regular,conventional,1.157
1994-08-08,diesel,all,NA,1.127
1994-08-15,gasoline,all,all,1.161
1994-08-15,gasoline,regular,all,1.161
1994-08-15,gasoline,regular,conventional,1.161
1994-08-15,diesel,all,NA,1.127
1994-08-22,gasoline,all,all,1.165
1994-08-22,gasoline,regular,all,1.165
1994-08-22,gasoline,regular,conventional,1.165
1994-08-22,diesel,all,NA,1.124
1994-08-29,gasoline,all,all,1.161
1994-08-29,gasoline,regular,all,1.161
1994-08-29,gasoline,regular,conventional,1.161
1994-08-29,diesel,all,NA,1.122
1994-09-05,gasoline,all,all,1.156
1994-09-05,gasoline,regular,all,1.156
1994-09-05,gasoline,regular,conventional,1.156
1994-09-05,diesel,all,NA,1.126
1994-09-12,gasoline,all,all,1.15
1994-09-12,gasoline,regular,all,1.15
1994-09-12,gasoline,regular,conventional,1.15
1994-09-12,diesel,all,NA,1.128
1994-09-19,gasoline,all,all,1.14
1994-09-19,gasoline,regular,all,1.14
1994-09-19,gasoline,regular,conventional,1.14
1994-09-19,diesel,all,NA,1.126
1994-09-26,gasoline,all,all,1.129
1994-09-26,gasoline,regular,all,1.129
1994-09-26,gasoline,regular,conventional,1.129
1994-09-26,diesel,all,NA,1.12
1994-10-03,gasoline,all,all,1.12
1994-10-03,gasoline,regular,all,1.12
1994-10-03,gasoline,regular,conventional,1.12
1994-10-03,diesel,all,NA,1.118
1994-10-10,gasoline,all,all,1.114
1994-10-10,gasoline,regular,all,1.114
1994-10-10,gasoline,regular,conventional,1.114
1994-10-10,diesel,all,NA,1.117
1994-10-17,gasoline,all,all,1.106
1994-10-17,gasoline,regular,all,1.106
1994-10-17,gasoline,regular,conventional,1.106
1994-10-17,diesel,all,NA,1.119
1994-10-24,gasoline,all,all,1.107
1994-10-24,gasoline,regular,all,1.107
1994-10-24,gasoline,regular,conventional,1.107
1994-10-24,diesel,all,NA,1.122
1994-10-31,gasoline,all,all,1.121
1994-10-31,gasoline,regular,all,1.121
1994-10-31,gasoline,regular,conventional,1.121
1994-10-31,diesel,all,NA,1.133
1994-11-07,gasoline,all,all,1.123
1994-11-07,gasoline,regular,all,1.123
1994-11-07,gasoline,regular,conventional,1.123
1994-11-07,diesel,all,NA,1.133
1994-11-14,gasoline,all,all,1.122
1994-11-14,gasoline,regular,all,1.122
1994-11-14,gasoline,regular,conventional,1.122
1994-11-14,diesel,all,NA,1.135
1994-11-21,gasoline,all,all,1.113
1994-11-21,gasoline,regular,all,1.113
1994-11-21,gasoline,regular,conventional,1.113
1994-11-21,diesel,all,NA,1.13
1994-11-28,gasoline,all,all,1.117
1994-11-28,gasoline,all,conventional,1.175
1994-11-28,gasoline,all,reformulated,1.259
1994-11-28,gasoline,regular,all,1.105
1994-11-28,gasoline,regular,conventional,1.082
1994-11-28,gasoline,regular,reformulated,1.149
1994-11-28,gasoline,midgrade,all,1.197
1994-11-28,gasoline,midgrade,conventional,1.174
1994-11-28,gasoline,midgrade,reformulated,1.249
1994-11-28,gasoline,premium,all,1.303
1994-11-28,gasoline,premium,conventional,1.27
1994-11-28,gasoline,premium,reformulated,1.351
1994-11-28,diesel,all,NA,1.126
1994-12-05,gasoline,all,all,1.127
1994-12-05,gasoline,all,conventional,1.143
1994-12-05,gasoline,all,reformulated,1.254
1994-12-05,gasoline,regular,all,1.103
1994-12-05,gasoline,regular,conventional,1.075
1994-12-05,gasoline,regular,reformulated,1.169
1994-12-05,gasoline,midgrade,all,1.197
1994-12-05,gasoline,midgrade,conventional,1.167
1994-12-05,gasoline,midgrade,reformulated,1.272
1994-12-05,gasoline,premium,all,1.301
1994-12-05,gasoline,premium,conventional,1.26
1994-12-05,gasoline,premium,reformulated,1.37
1994-12-05,diesel,all,NA,1.123
1994-12-12,gasoline,all,all,1.131
1994-12-12,gasoline,all,conventional,1.118
1994-12-12,gasoline,all,reformulated,1.231
1994-12-12,gasoline,regular,all,1.095
1994-12-12,gasoline,regular,conventional,1.064
1994-12-12,gasoline,regular,reformulated,1.167
1994-12-12,gasoline,midgrade,all,1.188
1994-12-12,gasoline,midgrade,conventional,1.156
1994-12-12,gasoline,midgrade,reformulated,1.268
1994-12-12,gasoline,premium,all,1.288
1994-12-12,gasoline,premium,conventional,1.244
1994-12-12,gasoline,premium,reformulated,1.363
1994-12-12,diesel,all,NA,1.114
1994-12-19,gasoline,all,all,1.134
1994-12-19,gasoline,all,conventional,1.099
1994-12-19,gasoline,all,reformulated,1.216
1994-12-19,gasoline,regular,all,1.087
1994-12-19,gasoline,regular,conventional,1.056
1994-12-19,gasoline,regular,reformulated,1.167
1994-12-19,gasoline,midgrade,all,1.179
1994-12-19,gasoline,midgrade,conventional,1.147
1994-12-19,gasoline,midgrade,reformulated,1.262
1994-12-19,gasoline,premium,all,1.279
1994-12-19,gasoline,premium,conventional,1.233
1994-12-19,gasoline,premium,reformulated,1.36
1994-12-19,diesel,all,NA,1.109
1994-12-26,gasoline,all,all,1.125
1994-12-26,gasoline,all,conventional,1.088
1994-12-26,gasoline,all,reformulated,1.213
1994-12-26,gasoline,regular,all,1.077
1994-12-26,gasoline,regular,conventional,1.044
1994-12-26,gasoline,regular,reformulated,1.165
1994-12-26,gasoline,midgrade,all,1.171
1994-12-26,gasoline,midgrade,conventional,1.136
1994-12-26,gasoline,midgrade,reformulated,1.265
1994-12-26,gasoline,premium,all,1.27
1994-12-26,gasoline,premium,conventional,1.222
1994-12-26,gasoline,premium,reformulated,1.358
1994-12-26,diesel,all,NA,1.106
1995-01-02,gasoline,all,all,1.127
1995-01-02,gasoline,all,conventional,1.104
1995-01-02,gasoline,all,reformulated,1.231
1995-01-02,gasoline,regular,all,1.079
1995-01-02,gasoline,regular,conventional,1.063
1995-01-02,gasoline,regular,reformulated,1.167
1995-01-02,gasoline,midgrade,all,1.17
1995-01-02,gasoline,midgrade,conventional,1.159
1995-01-02,gasoline,midgrade,reformulated,1.298
1995-01-02,gasoline,premium,all,1.272
1995-01-02,gasoline,premium,conventional,1.25
1995-01-02,gasoline,premium,reformulated,1.386
1995-01-02,diesel,all,NA,1.104
1995-01-09,gasoline,all,all,1.134
1995-01-09,gasoline,all,conventional,1.111
1995-01-09,gasoline,all,reformulated,1.232
1995-01-09,gasoline,regular,all,1.086
1995-01-09,gasoline,regular,conventional,1.07
1995-01-09,gasoline,regular,reformulated,1.169
1995-01-09,gasoline,midgrade,all,1.177
1995-01-09,gasoline,midgrade,conventional,1.164
1995-01-09,gasoline,midgrade,reformulated,1.3
