sex,race,ethnic_origin,age,year,quarter,n_persons,median_weekly_earn
Men,All Races,All Origins,16 years and over,2011,1,54251000,829
Men,All Races,All Origins,16 years and over,2011,2,56053000,825
Men,All Races,All Origins,16 years and over,2011,3,56900000,827
Men,All Races,All Origins,16 years and over,2011,4,56678000,843
Men,All Races,All Origins,16 years and over,2012,1,56022000,848
Men,All Races,All Origins,16 years and over,2012,2,57319000,865
Men,All Races,All Origins,16 years and over,2012,3,58069000,828
Men,All Races,All Origins,16 years and over,2012,4,57735000,875
Men,All Races,All Origins,16 years and over,2013,1,56829000,867
Men,All Races,All Origins,16 years and over,2013,2,58164000,860
Men,All Races,All Origins,16 years and over,2013,3,58990000,847
Men,All Races,All Origins,16 years and over,2013,4,57995000,869
Men,All Races,All Origins,16 years and over,2014,1,57654000,872
Men,All Races,All Origins,16 years and over,2014,2,59714000,857
Men,All Races,All Origins,16 years and over,2014,3,60502000,870
Men,All Races,All Origins,16 years and over,2014,4,59930000,882
Men,All Races,All Origins,16 years and over,2015,1,59361000,895
Men,All Races,All Origins,16 years and over,2015,2,60638000,886
Men,All Races,All Origins,16 years and over,2015,3,61974000,889
Men,All Races,All Origins,16 years and over,2015,4,61013000,907
Men,All Races,All Origins,16 years and over,2016,1,60639000,912
Men,All Races,All Origins,16 years and over,2016,2,62045000,909
Men,All Races,All Origins,16 years and over,2016,3,63104000,911
Men,All Races,All Origins,16 years and over,2016,4,61933000,927
Men,All Races,All Origins,16 years and over,2017,1,61488000,950
Men,All Races,All Origins,16 years and over,2017,2,63222000,934
Men,All Races,All Origins,16 years and over,2017,3,64179000,937
Men,All Races,All Origins,16 years and over,2017,4,63033000,946
Men,All Races,All Origins,16 years and over,2018,1,63037000,965
Men,All Races,All Origins,16 years and over,2018,2,64437000,959
Men,All Races,All Origins,16 years and over,2018,3,65216000,973
Men,All Races,All Origins,16 years and over,2018,4,63879000,993
Men,All Races,All Origins,16 years and over,2019,1,64075000,1004
Men,All Races,All Origins,16 years and over,2019,2,65354000,1000
Men,All Races,All Origins,16 years and over,2019,3,65655000,1002
Men,All Races,All Origins,16 years and over,2019,4,64942000,1022
Men,All Races,All Origins,16 years and over,2020,1,63555000,1066
Men,All Races,All Origins,16 years and over,2020,2,57994000,1087
Men,All Races,All Origins,16 years and over,2020,3,60699000,1104
Men,All Races,All Origins,16 years and over,2020,4,61396000,1072
Women,All Races,All Origins,16 years and over,2010,1,43794000,665
Women,All Races,All Origins,16 years and over,2010,2,44562000,672
Women,All Races,All Origins,16 years and over,2010,3,44912000,662
Women,All Races,All Origins,16 years and over,2010,4,44620000,679
Women,All Races,All Origins,16 years and over,2011,1,44077000,683
Women,All Races,All Origins,16 years and over,2011,2,44539000,689
Women,All Races,All Origins,16 years and over,2011,3,44548000,673
Women,All Races,All Origins,16 years and over,2011,4,44779000,688
Women,All Races,All Origins,16 years and over,2012,1,44808000,697
Women,All Races,All Origins,16 years and over,2012,2,45450000,689
Women,All Races,All Origins,16 years and over,2012,3,45508000,685
Women,All Races,All Origins,16 years and over,2012,4,46084000,692
Women,All Races,All Origins,16 years and over,2013,1,45777000,704
Women,All Races,All Origins,16 years and over,2013,2,46030000,707
Women,All Races,All Origins,16 years and over,2013,3,46469000,698
Women,All Races,All Origins,16 years and over,2013,4,46796000,713
Women,All Races,All Origins,16 years and over,2014,1,46673000,722
Women,All Races,All Origins,16 years and over,2014,2,46840000,716
Women,All Races,All Origins,16 years and over,2014,3,47353000,715
Women,All Races,All Origins,16 years and over,2014,4,47438000,724
Women,All Races,All Origins,16 years and over,2015,1,47833000,730
Women,All Races,All Origins,16 years and over,2015,2,48131000,726
Women,All Races,All Origins,16 years and over,2015,3,48472000,721
Women,All Races,All Origins,16 years and over,2015,4,48900000,729
Women,All Races,All Origins,16 years and over,2016,1,48508000,750
Women,All Races,All Origins,16 years and over,2016,2,49121000,744
Women,All Races,All Origins,16 years and over,2016,3,49680000,745
Women,All Races,All Origins,16 years and over,2016,4,49335000,758
Women,All Races,All Origins,16 years and over,2017,1,49218000,765
Women,All Races,All Origins,16 years and over,2017,2,50150000,780
Women,All Races,All Origins,16 years and over,2017,3,50680000,767
Women,All Races,All Origins,16 years and over,2017,4,51118000,769
Women,All Races,All Origins,16 years and over,2018,1,50359000,783
Women,All Races,All Origins,16 years and over,2018,2,51321000,780
Women,All Races,All Origins,16 years and over,2018,3,51968000,796
Women,All Races,All Origins,16 years and over,2018,4,52050000,794
Women,All Races,All Origins,16 years and over,2019,1,52047000,806
Women,All Races,All Origins,16 years and over,2019,2,52214000,814
Women,All Races,All Origins,16 years and over,2019,3,52703000,825
Women,All Races,All Origins,16 years and over,2019,4,53344000,843
Women,All Races,All Origins,16 years and over,2020,1,52375000,857
Women,All Races,All Origins,16 years and over,2020,2,46493000,913
Women,All Races,All Origins,16 years and over,2020,3,48954000,902
Women,All Races,All Origins,16 years and over,2020,4,50083000,894
Both Sexes,All Races,All Origins,16 to 24 years,2010,1,7767000,443
Both Sexes,All Races,All Origins,16 to 24 years,2010,2,8550000,430
Both Sexes,All Races,All Origins,16 to 24 years,2010,3,9626000,422
Both Sexes,All Races,All Origins,16 to 24 years,2010,4,8264000,443
Both Sexes,All Races,All Origins,16 to 24 years,2011,1,8103000,448
Both Sexes,All Races,All Origins,16 to 24 years,2011,2,8670000,433
Both Sexes,All Races,All Origins,16 to 24 years,2011,3,9390000,432
Both Sexes,All Races,All Origins,16 to 24 years,2011,4,8730000,447
Both Sexes,All Races,All Origins,16 to 24 years,2012,1,8400000,448
Both Sexes,All Races,All Origins,16 to 24 years,2012,2,9098000,429
Both Sexes,All Races,All Origins,16 to 24 years,2012,3,9612000,437
Both Sexes,All Races,All Origins,16 to 24 years,2012,4,9010000,459
Both Sexes,All Races,All Origins,16 to 24 years,2013,1,8439000,459
Both Sexes,All Races,All Origins,16 to 24 years,2013,2,9373000,452
Both Sexes,All Races,All Origins,16 to 24 years,2013,3,10056000,430
Both Sexes,All Races,All Origins,16 to 24 years,2013,4,9121000,474
Both Sexes,All Races,All Origins,16 to 24 years,2014,1,8577000,465
Both Sexes,All Races,All Origins,16 to 24 years,2014,2,9858000,464
Both Sexes,All Races,All Origins,16 to 24 years,2014,3,10141000,480
Both Sexes,All Races,All Origins,16 to 24 years,2014,4,9755000,493
Both Sexes,All Races,All Origins,16 to 24 years,2015,1,9106000,480
Both Sexes,All Races,All Origins,16 to 24 years,2015,2,9647000,476
Both Sexes,All Races,All Origins,16 to 24 years,2015,3,10591000,491
Both Sexes,All Races,All Origins,16 to 24 years,2015,4,9815000,502
Both Sexes,All Races,All Origins,16 to 24 years,2016,1,9344000,502
Both Sexes,All Races,All Origins,16 to 24 years,2016,2,10140000,492
Both Sexes,All Races,All Origins,16 to 24 years,2016,3,11100000,497
Both Sexes,All Races,All Origins,16 to 24 years,2016,4,9719000,516
Both Sexes,All Races,All Origins,16 to 24 years,2017,1,9509000,516
Both Sexes,All Races,All Origins,16 to 24 years,2017,2,10467000,512
Both Sexes,All Races,All Origins,16 to 24 years,2017,3,11173000,514
Both Sexes,All Races,All Origins,16 to 24 years,2017,4,9975000,549
Both Sexes,All Races,All Origins,16 to 24 years,2018,1,9641000,555
Both Sexes,All Races,All Origins,16 to 24 years,2018,2,10665000,519
Both Sexes,All Races,All Origins,16 to 24 years,2018,3,11397000,539
Both Sexes,All Races,All Origins,16 to 24 years,2018,4,10011000,581
Both Sexes,All Races,All Origins,16 to 24 years,2019,1,10248000,579
Both Sexes,All Races,All Origins,16 to 24 years,2019,2,10905000,571
Both Sexes,All Races,All Origins,16 to 24 years,2019,3,11724000,572
Both Sexes,All Races,All Origins,16 to 24 years,2019,4,10186000,600
Both Sexes,All Races,All Origins,16 to 24 years,2020,1,9680000,588
Both Sexes,All Races,All Origins,16 to 24 years,2020,2,8426000,617
Both Sexes,All Races,All Origins,16 to 24 years,2020,3,9716000,606
Both Sexes,All Races,All Origins,16 to 24 years,2020,4,9632000,614
Men,All Races,All Origins,16 to 24 years,2010,1,4209000,473
Men,All Races,All Origins,16 to 24 years,2010,2,4765000,442
Men,All Races,All Origins,16 to 24 years,2010,3,5454000,424
Men,All Races,All Origins,16 to 24 years,2010,4,4652000,449
Men,All Races,All Origins,16 to 24 years,2011,1,4418000,470
Men,All Races,All Origins,16 to 24 years,2011,2,5009000,446
Men,All Races,All Origins,16 to 24 years,2011,3,5433000,440
Men,All Races,All Origins,16 to 24 years,2011,4,4943000,466
Men,All Races,All Origins,16 to 24 years,2012,1,4786000,469
Men,All Races,All Origins,16 to 24 years,2012,2,5200000,460
Men,All Races,All Origins,16 to 24 years,2012,3,5576000,459
Men,All Races,All Origins,16 to 24 years,2012,4,5094000,480
Men,All Races,All Origins,16 to 24 years,2013,1,4727000,487
Men,All Races,All Origins,16 to 24 years,2013,2,5304000,479
Men,All Races,All Origins,16 to 24 years,2013,3,5733000,452
Men,All Races,All Origins,16 to 24 years,2013,4,5064000,492
Men,All Races,All Origins,16 to 24 years,2014,1,4871000,480
Men,All Races,All Origins,16 to 24 years,2014,2,5663000,481
Men,All Races,All Origins,16 to 24 years,2014,3,5827000,498
Men,All Races,All Origins,16 to 24 years,2014,4,5611000,508
Men,All Races,All Origins,16 to 24 years,2015,1,5067000,491
Men,All Races,All Origins,16 to 24 years,2015,2,5335000,497
Men,All Races,All Origins,16 to 24 years,2015,3,5992000,517
Men,All Races,All Origins,16 to 24 years,2015,4,5511000,543
Men,All Races,All Origins,16 to 24 years,2016,1,5278000,511
Men,All Races,All Origins,16 to 24 years,2016,2,5724000,505
Men,All Races,All Origins,16 to 24 years,2016,3,6181000,510
Men,All Races,All Origins,16 to 24 years,2016,4,5400000,522
Men,All Races,All Origins,16 to 24 years,2017,1,5335000,558
Men,All Races,All Origins,16 to 24 years,2017,2,5983000,524
Men,All Races,All Origins,16 to 24 years,2017,3,6343000,527
Men,All Races,All Origins,16 to 24 years,2017,4,5503000,581
Men,All Races,All Origins,16 to 24 years,2018,1,5482000,563
Men,All Races,All Origins,16 to 24 years,2018,2,6009000,528
Men,All Races,All Origins,16 to 24 years,2018,3,6363000,575
Men,All Races,All Origins,16 to 24 years,2018,4,5417000,609
Men,All Races,All Origins,16 to 24 years,2019,1,5546000,605
Men,All Races,All Origins,16 to 24 years,2019,2,6100000,601
Men,All Races,All Origins,16 to 24 years,2019,3,6493000,601
Men,All Races,All Origins,16 to 24 years,2019,4,5605000,621
Men,All Races,All Origins,16 to 24 years,2020,1,5251000,593
Men,All Races,All Origins,16 to 24 years,2020,2,4600000,640
Men,All Races,All Origins,16 to 24 years,2020,3,5516000,631
Men,All Races,All Origins,16 to 24 years,2020,4,5399000,625
Women,All Races,All Origins,16 to 24 years,2010,1,3558000,422
Women,All Races,All Origins,16 to 24 years,2010,2,3784000,417
Women,All Races,All Origins,16 to 24 years,2010,3,4172000,419
Women,All Races,All Origins,16 to 24 years,2010,4,3612000,436
Women,All Races,All Origins,16 to 24 years,2011,1,3685000,426
Women,All Races,All Origins,16 to 24 years,2011,2,3661000,417
Women,All Races,All Origins,16 to 24 years,2011,3,3957000,422
Women,All Races,All Origins,16 to 24 years,2011,4,3787000,420
Women,All Races,All Origins,16 to 24 years,2012,1,3614000,421
Women,All Races,All Origins,16 to 24 years,2012,2,3897000,409
Women,All Races,All Origins,16 to 24 years,2012,3,4036000,414
Women,All Races,All Origins,16 to 24 years,2012,4,3916000,422
Women,All Races,All Origins,16 to 24 years,2013,1,3712000,419
Women,All Races,All Origins,16 to 24 years,2013,2,4069000,422
Women,All Races,All Origins,16 to 24 years,2013,3,4324000,414
Women,All Races,All Origins,16 to 24 years,2013,4,4058000,449
Women,All Races,All Origins,16 to 24 years,2014,1,3707000,434
Women,All Races,All Origins,16 to 24 years,2014,2,4195000,449
Women,All Races,All Origins,16 to 24 years,2014,3,4314000,448
Women,All Races,All Origins,16 to 24 years,2014,4,4144000,469
Women,All Races,All Origins,16 to 24 years,2015,1,4039000,461
Women,All Races,All Origins,16 to 24 years,2015,2,4313000,444
Women,All Races,All Origins,16 to 24 years,2015,3,4598000,442
Women,All Races,All Origins,16 to 24 years,2015,4,4304000,453
Women,All Races,All Origins,16 to 24 years,2016,1,4065000,488
Women,All Races,All Origins,16 to 24 years,2016,2,4415000,470
Women,All Races,All Origins,16 to 24 years,2016,3,4919000,480
Women,All Races,All Origins,16 to 24 years,2016,4,4319000,506
Women,All Races,All Origins,16 to 24 years,2017,1,4174000,489
Women,All Races,All Origins,16 to 24 years,2017,2,4485000,496
Women,All Races,All Origins,16 to 24 years,2017,3,4830000,500
Women,All Races,All Origins,16 to 24 years,2017,4,4472000,512
Women,All Races,All Origins,16 to 24 years,2018,1,4159000,545
Women,All Races,All Origins,16 to 24 years,2018,2,4656000,511
Women,All Races,All Origins,16 to 24 years,2018,3,5034000,515
Women,All Races,All Origins,16 to 24 years,2018,4,4594000,539
Women,All Races,All Origins,16 to 24 years,2019,1,4702000,539
Women,All Races,All Origins,16 to 24 years,2019,2,4805000,522
Women,All Races,All Origins,16 to 24 years,2019,3,5231000,538
Women,All Races,All Origins,16 to 24 years,2019,4,4581000,566
Women,All Races,All Origins,16 to 24 years,2020,1,4428000,582
Women,All Races,All Origins,16 to 24 years,2020,2,3826000,594
Women,All Races,All Origins,16 to 24 years,2020,3,4201000,583
Women,All Races,All Origins,16 to 24 years,2020,4,4234000,596
Both Sexes,All Races,All Origins,16 to 19 years,2010,1,715000,356
Both Sexes,All Races,All Origins,16 to 19 years,2010,2,1119000,346
Both Sexes,All Races,All Origins,16 to 19 years,2010,3,1383000,335
Both Sexes,All Races,All Origins,16 to 19 years,2010,4,933000,360
Both Sexes,All Races,All Origins,16 to 19 years,2011,1,673000,360
Both Sexes,All Races,All Origins,16 to 19 years,2011,2,968000,349
Both Sexes,All Races,All Origins,16 to 19 years,2011,3,1182000,356
Both Sexes,All Races,All Origins,16 to 19 years,2011,4,964000,346
Both Sexes,All Races,All Origins,16 to 19 years,2012,1,851000,362
Both Sexes,All Races,All Origins,16 to 19 years,2012,2,1068000,357
Both Sexes,All Races,All Origins,16 to 19 years,2012,3,1290000,347
Both Sexes,All Races,All Origins,16 to 19 years,2012,4,864000,363
Both Sexes,All Races,All Origins,16 to 19 years,2013,1,876000,372
Both Sexes,All Races,All Origins,16 to 19 years,2013,2,1068000,362
Both Sexes,All Races,All Origins,16 to 19 years,2013,3,1422000,369
Both Sexes,All Races,All Origins,16 to 19 years,2013,4,968000,392
Both Sexes,All Races,All Origins,16 to 19 years,2014,1,843000,395
Both Sexes,All Races,All Origins,16 to 19 years,2014,2,1241000,365
Both Sexes,All Races,All Origins,16 to 19 years,2014,3,1340000,368
Both Sexes,All Races,All Origins,16 to 19 years,2014,4,1150000,387
Both Sexes,All Races,All Origins,16 to 19 years,2015,1,995000,378
Both Sexes,All Races,All Origins,16 to 19 years,2015,2,1083000,376
Both Sexes,All Races,All Origins,16 to 19 years,2015,3,1465000,387
Both Sexes,All Races,All Origins,16 to 19 years,2015,4,1079000,410
Both Sexes,All Races,All Origins,16 to 19 years,2016,1,948000,394
Both Sexes,All Races,All Origins,16 to 19 years,2016,2,1298000,404
Both Sexes,All Races,All Origins,16 to 19 years,2016,3,1763000,401
Both Sexes,All Races,All Origins,16 to 19 years,2016,4,1148000,420
Both Sexes,All Races,All Origins,16 to 19 years,2017,1,1050000,426
Both Sexes,All Races,All Origins,16 to 19 years,2017,2,1408000,422
Both Sexes,All Races,All Origins,16 to 19 years,2017,3,1774000,417
Both Sexes,All Races,All Origins,16 to 19 years,2017,4,1204000,448
Both Sexes,All Races,All Origins,16 to 19 years,2018,1,1069000,435
Both Sexes,All Races,All Origins,16 to 19 years,2018,2,1503000,450
Both Sexes,All Races,All Origins,16 to 19 years,2018,3,1699000,437
Both Sexes,All Races,All Origins,16 to 19 years,2018,4,1257000,472
Both Sexes,All Races,All Origins,16 to 19 years,2019,1,1270000,472
Both Sexes,All Races,All Origins,16 to 19 years,2019,2,1408000,460
Both Sexes,All Races,All Origins,16 to 19 years,2019,3,1768000,487
Both Sexes,All Races,All Origins,16 to 19 years,2019,4,1310000,494
Both Sexes,All Races,All Origins,16 to 19 years,2020,1,1316000,477
Both Sexes,All Races,All Origins,16 to 19 years,2020,2,1169000,506
Both Sexes,All Races,All Origins,16 to 19 years,2020,3,1533000,498
Both Sexes,All Races,All Origins,16 to 19 years,2020,4,1327000,503
Men,All Races,All Origins,16 to 19 years,2010,1,423000,349
Men,All Races,All Origins,16 to 19 years,2010,2,659000,356
Men,All Races,All Origins,16 to 19 years,2010,3,856000,343
Men,All Races,All Origins,16 to 19 years,2010,4,588000,377
Men,All Races,All Origins,16 to 19 years,2011,1,396000,374
Men,All Races,All Origins,16 to 19 years,2011,2,602000,370
Men,All Races,All Origins,16 to 19 years,2011,3,682000,370
Men,All Races,All Origins,16 to 19 years,2011,4,550000,367
Men,All Races,All Origins,16 to 19 years,2012,1,485000,376
Men,All Races,All Origins,16 to 19 years,2012,2,648000,372
Men,All Races,All Origins,16 to 19 years,2012,3,793000,360
Men,All Races,All Origins,16 to 19 years,2012,4,485000,393
Men,All Races,All Origins,16 to 19 years,2013,1,495000,400
Men,All Races,All Origins,16 to 19 years,2013,2,619000,373
Men,All Races,All Origins,16 to 19 years,2013,3,824000,381
Men,All Races,All Origins,16 to 19 years,2013,4,583000,407
Men,All Races,All Origins,16 to 19 years,2014,1,509000,410
Men,All Races,All Origins,16 to 19 years,2014,2,766000,372
Men,All Races,All Origins,16 to 19 years,2014,3,809000,382
Men,All Races,All Origins,16 to 19 years,2014,4,718000,406
Men,All Races,All Origins,16 to 19 years,2015,1,619000,394
Men,All Races,All Origins,16 to 19 years,2015,2,609000,382
Men,All Races,All Origins,16 to 19 years,2015,3,813000,419
Men,All Races,All Origins,16 to 19 years,2015,4,601000,431
Men,All Races,All Origins,16 to 19 years,2016,1,561000,408
Men,All Races,All Origins,16 to 19 years,2016,2,730000,422
Men,All Races,All Origins,16 to 19 years,2016,3,1045000,414
Men,All Races,All Origins,16 to 19 years,2016,4,642000,449
Men,All Races,All Origins,16 to 19 years,2017,1,629000,482
Men,All Races,All Origins,16 to 19 years,2017,2,862000,440
Men,All Races,All Origins,16 to 19 years,2017,3,995000,437
Men,All Races,All Origins,16 to 19 years,2017,4,687000,488
Men,All Races,All Origins,16 to 19 years,2018,1,644000,453
Men,All Races,All Origins,16 to 19 years,2018,2,918000,465
Men,All Races,All Origins,16 to 19 years,2018,3,1062000,462
Men,All Races,All Origins,16 to 19 years,2018,4,724000,501
Men,All Races,All Origins,16 to 19 years,2019,1,714000,488
Men,All Races,All Origins,16 to 19 years,2019,2,838000,507
Men,All Races,All Origins,16 to 19 years,2019,3,1012000,507
Men,All Races,All Origins,16 to 19 years,2019,4,790000,513
Men,All Races,All Origins,16 to 19 years,2020,1,705000,483
Men,All Races,All Origins,16 to 19 years,2020,2,701000,518
Men,All Races,All Origins,16 to 19 years,2020,3,943000,513
Men,All Races,All Origins,16 to 19 years,2020,4,852000,543
Women,All Races,All Origins,16 to 19 years,2010,1,293000,377
Women,All Races,All Origins,16 to 19 years,2010,2,459000,333
Women,All Races,All Origins,16 to 19 years,2010,3,526000,326
Women,All Races,All Origins,16 to 19 years,2010,4,345000,335
Women,All Races,All Origins,16 to 19 years,2011,1,277000,346
Women,All Races,All Origins,16 to 19 years,2011,2,366000,321
Women,All Races,All Origins,16 to 19 years,2011,3,500000,338
Women,All Races,All Origins,16 to 19 years,2011,4,414000,318
Women,All Races,All Origins,16 to 19 years,2012,1,366000,347
Women,All Races,All Origins,16 to 19 years,2012,2,420000,322
Women,All Races,All Origins,16 to 19 years,2012,3,497000,325
Women,All Races,All Origins,16 to 19 years,2012,4,379000,329
Women,All Races,All Origins,16 to 19 years,2013,1,382000,339
Women,All Races,All Origins,16 to 19 years,2013,2,449000,326
Women,All Races,All Origins,16 to 19 years,2013,3,598000,352
Women,All Races,All Origins,16 to 19 years,2013,4,385000,370
Women,All Races,All Origins,16 to 19 years,2014,1,333000,369
Women,All Races,All Origins,16 to 19 years,2014,2,475000,356
Women,All Races,All Origins,16 to 19 years,2014,3,531000,345
Women,All Races,All Origins,16 to 19 years,2014,4,432000,358
Women,All Races,All Origins,16 to 19 years,2015,1,376000,356
Women,All Races,All Origins,16 to 19 years,2015,2,474000,366
Women,All Races,All Origins,16 to 19 years,2015,3,653000,354
Women,All Races,All Origins,16 to 19 years,2015,4,479000,389
Women,All Races,All Origins,16 to 19 years,2016,1,387000,368
Women,All Races,All Origins,16 to 19 years,2016,2,568000,390
Women,All Races,All Origins,16 to 19 years,2016,3,717000,382
Women,All Races,All Origins,16 to 19 years,2016,4,506000,402
Women,All Races,All Origins,16 to 19 years,2017,1,421000,394
Women,All Races,All Origins,16 to 19 years,2017,2,546000,404
Women,All Races,All Origins,16 to 19 years,2017,3,780000,403
Women,All Races,All Origins,16 to 19 years,2017,4,517000,408
Women,All Races,All Origins,16 to 19 years,2018,1,425000,417
Women,All Races,All Origins,16 to 19 years,2018,2,585000,424
Women,All Races,All Origins,16 to 19 years,2018,3,637000,405
Women,All Races,All Origins,16 to 19 years,2018,4,534000,437
Women,All Races,All Origins,16 to 19 years,2019,1,556000,444
Women,All Races,All Origins,16 to 19 years,2019,2,570000,407
Women,All Races,All Origins,16 to 19 years,2019,3,756000,439
Women,All Races,All Origins,16 to 19 years,2019,4,520000,451
Women,All Races,All Origins,16 to 19 years,2020,1,611000,464
Women,All Races,All Origins,16 to 19 years,2020,2,469000,481
Women,All Races,All Origins,16 to 19 years,2020,3,589000,480
Women,All Races,All Origins,16 to 19 years,2020,4,475000,438
Both Sexes,All Races,All Origins,20 to 24 years,2010,1,7052000,457
Both Sexes,All Races,All Origins,20 to 24 years,2010,2,7431000,450
Both Sexes,All Races,All Origins,20 to 24 years,2010,3,8243000,446
Both Sexes,All Races,All Origins,20 to 24 years,2010,4,7331000,465
Both Sexes,All Races,All Origins,20 to 24 years,2011,1,7429000,459
Both Sexes,All Races,All Origins,20 to 24 years,2011,2,7702000,451
Both Sexes,All Races,All Origins,20 to 24 years,2011,3,8208000,448
Both Sexes,All Races,All Origins,20 to 24 years,2011,4,7766000,467
Both Sexes,All Races,All Origins,20 to 24 years,2012,1,7548000,463
Both Sexes,All Races,All Origins,20 to 24 years,2012,2,8029000,453
Both Sexes,All Races,All Origins,20 to 24 years,2012,3,8322000,461
Both Sexes,All Races,All Origins,20 to 24 years,2012,4,8146000,476
Both Sexes,All Races,All Origins,20 to 24 years,2013,1,7563000,475
Both Sexes,All Races,All Origins,20 to 24 years,2013,2,8305000,472
Both Sexes,All Races,All Origins,20 to 24 years,2013,3,8634000,454
Both Sexes,All Races,All Origins,20 to 24 years,2013,4,8153000,484
Both Sexes,All Races,All Origins,20 to 24 years,2014,1,7735000,476
Both Sexes,All Races,All Origins,20 to 24 years,2014,2,8616000,483
Both Sexes,All Races,All Origins,20 to 24 years,2014,3,8801000,496
Both Sexes,All Races,All Origins,20 to 24 years,2014,4,8605000,505
Both Sexes,All Races,All Origins,20 to 24 years,2015,1,8111000,493
Both Sexes,All Races,All Origins,20 to 24 years,2015,2,8565000,489
Both Sexes,All Races,All Origins,20 to 24 years,2015,3,9125000,508
Both Sexes,All Races,All Origins,20 to 24 years,2015,4,8736000,513
Both Sexes,All Races,All Origins,20 to 24 years,2016,1,8396000,514
Both Sexes,All Races,All Origins,20 to 24 years,2016,2,8842000,505
Both Sexes,All Races,All Origins,20 to 24 years,2016,3,9337000,510
Both Sexes,All Races,All Origins,20 to 24 years,2016,4,8571000,528
Both Sexes,All Races,All Origins,20 to 24 years,2017,1,8459000,528
Both Sexes,All Races,All Origins,20 to 24 years,2017,2,9059000,525
Both Sexes,All Races,All Origins,20 to 24 years,2017,3,9399000,537
Both Sexes,All Races,All Origins,20 to 24 years,2017,4,8771000,571
Both Sexes,All Races,All Origins,20 to 24 years,2018,1,8571000,576
Both Sexes,All Races,All Origins,20 to 24 years,2018,2,9162000,540
Both Sexes,All Races,All Origins,20 to 24 years,2018,3,9699000,580
Both Sexes,All Races,All Origins,20 to 24 years,2018,4,8754000,594
Both Sexes,All Races,All Origins,20 to 24 years,2019,1,8978000,596
Both Sexes,All Races,All Origins,20 to 24 years,2019,2,9497000,589
Both Sexes,All Races,All Origins,20 to 24 years,2019,3,9956000,592
Both Sexes,All Races,All Origins,20 to 24 years,2019,4,8875000,616
Both Sexes,All Races,All Origins,20 to 24 years,2020,1,8364000,605
Both Sexes,All Races,All Origins,20 to 24 years,2020,2,7257000,640
