industry,major_occupation,minor_occupation,race_gender,industry_total,employ_n,year
Information,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,2594000,219000,2020
Information,"Production, transportation, and material moving occupations",Production occupations,TOTAL,2594000,23000,2020
Information,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,2594000,23000,2020
Financial activities,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,10646000,4729000,2020
Financial activities,"Management, professional, and related occupations",Professional and related occupations,TOTAL,10646000,1081000,2020
Financial activities,Service occupations,Protective service occupations,TOTAL,10646000,56000,2020
Financial activities,Service occupations,"Service occupations, except protective",TOTAL,10646000,222000,2020
Financial activities,Sales and office occupations,Sales and related occupations,TOTAL,10646000,2283000,2020
Financial activities,Sales and office occupations,Office and administrative support occupations,TOTAL,10646000,1932000,2020
Financial activities,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,10646000,1000,2020
Financial activities,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,10646000,48000,2020
Financial activities,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,10646000,164000,2020
Financial activities,"Production, transportation, and material moving occupations",Production occupations,TOTAL,10646000,45000,2020
Financial activities,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,10646000,83000,2020
Professional and business services,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,18816000,5064000,2020
Professional and business services,"Management, professional, and related occupations",Professional and related occupations,TOTAL,18816000,6601000,2020
Professional and business services,Service occupations,Protective service occupations,TOTAL,18816000,540000,2020
Professional and business services,Service occupations,"Service occupations, except protective",TOTAL,18816000,2757000,2020
Professional and business services,Sales and office occupations,Sales and related occupations,TOTAL,18816000,583000,2020
Professional and business services,Sales and office occupations,Office and administrative support occupations,TOTAL,18816000,2006000,2020
Professional and business services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,18816000,12000,2020
Professional and business services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,18816000,153000,2020
Professional and business services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,18816000,286000,2020
Professional and business services,"Production, transportation, and material moving occupations",Production occupations,TOTAL,18816000,269000,2020
Professional and business services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,18816000,545000,2020
Education and health services,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,34105000,3693000,2020
Education and health services,"Management, professional, and related occupations",Professional and related occupations,TOTAL,34105000,19540000,2020
Education and health services,Service occupations,Protective service occupations,TOTAL,34105000,179000,2020
Education and health services,Service occupations,"Service occupations, except protective",TOTAL,34105000,6495000,2020
Education and health services,Sales and office occupations,Sales and related occupations,TOTAL,34105000,138000,2020
Education and health services,Sales and office occupations,Office and administrative support occupations,TOTAL,34105000,3258000,2020
Education and health services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,34105000,5000,2020
Education and health services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,34105000,83000,2020
Education and health services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,34105000,197000,2020
Education and health services,"Production, transportation, and material moving occupations",Production occupations,TOTAL,34105000,164000,2020
Education and health services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,34105000,352000,2020
Leisure and hospitality,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,11480000,2009000,2020
Leisure and hospitality,"Management, professional, and related occupations",Professional and related occupations,TOTAL,11480000,795000,2020
Leisure and hospitality,Service occupations,Protective service occupations,TOTAL,11480000,149000,2020
Leisure and hospitality,Service occupations,"Service occupations, except protective",TOTAL,11480000,6482000,2020
Leisure and hospitality,Sales and office occupations,Sales and related occupations,TOTAL,11480000,860000,2020
Leisure and hospitality,Sales and office occupations,Office and administrative support occupations,TOTAL,11480000,604000,2020
Leisure and hospitality,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,11480000,8000,2020
Leisure and hospitality,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,11480000,35000,2020
Leisure and hospitality,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,11480000,92000,2020
Leisure and hospitality,"Production, transportation, and material moving occupations",Production occupations,TOTAL,11480000,106000,2020
Leisure and hospitality,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,11480000,340000,2020
Other services,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,6742000,763000,2020
Other services,"Management, professional, and related occupations",Professional and related occupations,TOTAL,6742000,994000,2020
Other services,Service occupations,Protective service occupations,TOTAL,6742000,19000,2020
Other services,Service occupations,"Service occupations, except protective",TOTAL,6742000,2406000,2020
Other services,Sales and office occupations,Sales and related occupations,TOTAL,6742000,348000,2020
Other services,Sales and office occupations,Office and administrative support occupations,TOTAL,6742000,540000,2020
Other services,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,6742000,3000,2020
Other services,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,6742000,24000,2020
Other services,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,6742000,987000,2020
Other services,"Production, transportation, and material moving occupations",Production occupations,TOTAL,6742000,380000,2020
Other services,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,6742000,280000,2020
"Other services, except private households","Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,6088000,755000,2020
"Other services, except private households","Management, professional, and related occupations",Professional and related occupations,TOTAL,6088000,987000,2020
"Other services, except private households",Service occupations,Protective service occupations,TOTAL,6088000,19000,2020
"Other services, except private households",Service occupations,"Service occupations, except protective",TOTAL,6088000,1795000,2020
"Other services, except private households",Sales and office occupations,Sales and related occupations,TOTAL,6088000,348000,2020
"Other services, except private households",Sales and office occupations,Office and administrative support occupations,TOTAL,6088000,531000,2020
"Other services, except private households","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,6088000,3000,2020
"Other services, except private households","Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,6088000,24000,2020
"Other services, except private households","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,6088000,986000,2020
"Other services, except private households","Production, transportation, and material moving occupations",Production occupations,TOTAL,6088000,370000,2020
"Other services, except private households","Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,6088000,270000,2020
Private households,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,654000,9000,2020
Private households,"Management, professional, and related occupations",Professional and related occupations,TOTAL,654000,7000,2020
Private households,Service occupations,Protective service occupations,TOTAL,654000,0,2020
Private households,Service occupations,"Service occupations, except protective",TOTAL,654000,611000,2020
Private households,Sales and office occupations,Sales and related occupations,TOTAL,654000,0,2020
Private households,Sales and office occupations,Office and administrative support occupations,TOTAL,654000,8000,2020
Private households,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,654000,0,2020
Private households,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,654000,0,2020
Private households,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,654000,0,2020
Private households,"Production, transportation, and material moving occupations",Production occupations,TOTAL,654000,10000,2020
Private households,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,654000,10000,2020
Public administration,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,7501000,1451000,2020
Public administration,"Management, professional, and related occupations",Professional and related occupations,TOTAL,7501000,2035000,2020
Public administration,Service occupations,Protective service occupations,TOTAL,7501000,1897000,2020
Public administration,Service occupations,"Service occupations, except protective",TOTAL,7501000,395000,2020
Public administration,Sales and office occupations,Sales and related occupations,TOTAL,7501000,39000,2020
Public administration,Sales and office occupations,Office and administrative support occupations,TOTAL,7501000,1248000,2020
Public administration,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,7501000,13000,2020
Public administration,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,7501000,92000,2020
Public administration,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,7501000,143000,2020
Public administration,"Production, transportation, and material moving occupations",Production occupations,TOTAL,7501000,77000,2020
Public administration,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,7501000,111000,2020
NA,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,NA,NA,2020
NA,"Management, professional, and related occupations",Professional and related occupations,TOTAL,NA,NA,2020
NA,Service occupations,Protective service occupations,TOTAL,NA,NA,2020
NA,Service occupations,"Service occupations, except protective",TOTAL,NA,NA,2020
NA,Sales and office occupations,Sales and related occupations,TOTAL,NA,NA,2020
NA,Sales and office occupations,Office and administrative support occupations,TOTAL,NA,NA,2020
NA,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,NA,NA,2020
NA,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,NA,NA,2020
NA,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,NA,NA,2020
NA,"Production, transportation, and material moving occupations",Production occupations,TOTAL,NA,NA,2020
NA,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,NA,NA,2020
Men,"Management, professional, and related occupations","Management, business, and financial operations occupations",TOTAL,NA,NA,2020
Men,"Management, professional, and related occupations",Professional and related occupations,TOTAL,NA,NA,2020
Men,Service occupations,Protective service occupations,TOTAL,NA,NA,2020
Men,Service occupations,"Service occupations, except protective",TOTAL,NA,NA,2020
Men,Sales and office occupations,Sales and related occupations,TOTAL,NA,NA,2020
Men,Sales and office occupations,Office and administrative support occupations,TOTAL,NA,NA,2020
Men,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",TOTAL,NA,NA,2020
Men,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,TOTAL,NA,NA,2020
Men,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",TOTAL,NA,NA,2020
Men,"Production, transportation, and material moving occupations",Production occupations,TOTAL,NA,NA,2020
Men,"Production, transportation, and material moving occupations",Transportation and material moving occupations,TOTAL,NA,NA,2020
Agriculture and related,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,1699000,707000,2020
Agriculture and related,"Management, professional, and related occupations",Professional and related occupations,Men,1699000,36000,2020
Agriculture and related,Service occupations,Protective service occupations,Men,1699000,11000,2020
Agriculture and related,Service occupations,"Service occupations, except protective",Men,1699000,52000,2020
Agriculture and related,Sales and office occupations,Sales and related occupations,Men,1699000,6000,2020
Agriculture and related,Sales and office occupations,Office and administrative support occupations,Men,1699000,16000,2020
Agriculture and related,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,1699000,714000,2020
Agriculture and related,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,1699000,10000,2020
Agriculture and related,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,1699000,31000,2020
Agriculture and related,"Production, transportation, and material moving occupations",Production occupations,Men,1699000,36000,2020
Agriculture and related,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,1699000,80000,2020
"Mining, quarrying, and oil and gas extraction","Management, professional, and related occupations","Management, business, and financial operations occupations",Men,585000,104000,2020
"Mining, quarrying, and oil and gas extraction","Management, professional, and related occupations",Professional and related occupations,Men,585000,90000,2020
"Mining, quarrying, and oil and gas extraction",Service occupations,Protective service occupations,Men,585000,1000,2020
"Mining, quarrying, and oil and gas extraction",Service occupations,"Service occupations, except protective",Men,585000,4000,2020
"Mining, quarrying, and oil and gas extraction",Sales and office occupations,Sales and related occupations,Men,585000,9000,2020
"Mining, quarrying, and oil and gas extraction",Sales and office occupations,Office and administrative support occupations,Men,585000,11000,2020
"Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,585000,0,2020
"Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,585000,200000,2020
"Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,585000,38000,2020
"Mining, quarrying, and oil and gas extraction","Production, transportation, and material moving occupations",Production occupations,Men,585000,56000,2020
"Mining, quarrying, and oil and gas extraction","Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,585000,72000,2020
Construction,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,9613000,1894000,2020
Construction,"Management, professional, and related occupations",Professional and related occupations,Men,9613000,256000,2020
Construction,Service occupations,Protective service occupations,Men,9613000,10000,2020
Construction,Service occupations,"Service occupations, except protective",Men,9613000,32000,2020
Construction,Sales and office occupations,Sales and related occupations,Men,9613000,112000,2020
Construction,Sales and office occupations,Office and administrative support occupations,Men,9613000,101000,2020
Construction,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,9613000,6000,2020
Construction,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,9613000,6157000,2020
Construction,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,9613000,604000,2020
Construction,"Production, transportation, and material moving occupations",Production occupations,Men,9613000,147000,2020
Construction,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,9613000,294000,2020
Manufacturing,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,10255000,1831000,2020
Manufacturing,"Management, professional, and related occupations",Professional and related occupations,Men,10255000,1722000,2020
Manufacturing,Service occupations,Protective service occupations,Men,10255000,26000,2020
Manufacturing,Service occupations,"Service occupations, except protective",Men,10255000,111000,2020
Manufacturing,Sales and office occupations,Sales and related occupations,Men,10255000,402000,2020
Manufacturing,Sales and office occupations,Office and administrative support occupations,Men,10255000,466000,2020
Manufacturing,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,10255000,15000,2020
Manufacturing,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,10255000,287000,2020
Manufacturing,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,10255000,607000,2020
Manufacturing,"Production, transportation, and material moving occupations",Production occupations,Men,10255000,3857000,2020
Manufacturing,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,10255000,932000,2020
Durable goods,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,6814000,1197000,2020
Durable goods,"Management, professional, and related occupations",Professional and related occupations,Men,6814000,1305000,2020
Durable goods,Service occupations,Protective service occupations,Men,6814000,12000,2020
Durable goods,Service occupations,"Service occupations, except protective",Men,6814000,50000,2020
Durable goods,Sales and office occupations,Sales and related occupations,Men,6814000,257000,2020
Durable goods,Sales and office occupations,Office and administrative support occupations,Men,6814000,290000,2020
Durable goods,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,6814000,7000,2020
Durable goods,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,6814000,221000,2020
Durable goods,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,6814000,383000,2020
Durable goods,"Production, transportation, and material moving occupations",Production occupations,Men,6814000,2562000,2020
Durable goods,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Men,6814000,530000,2020
Nondurable goods,"Management, professional, and related occupations","Management, business, and financial operations occupations",Men,3441000,634000,2020
Nondurable goods,"Management, professional, and related occupations",Professional and related occupations,Men,3441000,417000,2020
Nondurable goods,Service occupations,Protective service occupations,Men,3441000,13000,2020
Nondurable goods,Service occupations,"Service occupations, except protective",Men,3441000,61000,2020
Nondurable goods,Sales and office occupations,Sales and related occupations,Men,3441000,145000,2020
Nondurable goods,Sales and office occupations,Office and administrative support occupations,Men,3441000,176000,2020
Nondurable goods,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Men,3441000,8000,2020
Nondurable goods,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Men,3441000,66000,2020
Nondurable goods,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Men,3441000,224000,2020
Nondurable goods,"Production, transportation, and material moving occupations",Production occupations,Men,3441000,1295000,2020
