Contestant,Birthday,Birthplace,Hometown,Description,Season
Constantine Maroulis,17-Sep-75,"Brooklyn, New York",NA,"He wanted to bring an edgy New York City's rock and roll to American Idol.  Prior to Idol he was in a band Pray for the Soul of Betty and worked in musical theater. In the Hollywood week, he performed The Box Tops's ""The Letterand Four Tops's ""I Can't Help Myselffor the group round.",4
Anwar Robinson,21-Apr-79,"Newark, New Jersey",NA,"He was a music teacher before Idol.  He performed Four Tops's ""I Can't Help Myselffor the group round in the Hollywood.",4
Nadia Turner,11-Jan-77,"Miami, Florida",NA,NA,4
Nikko Smith,28-Apr-82,"San Diego, California",NA,"Louis, Missouri and auditioned there with his birth name Osborne Smith.  He performed Stevie Wonder's ""All I Do"".  In Hollywood, he performed The Temptations' Get Ready in Bo Bice's group.",4
Jessica Sierra,11-Nov-85,"Tampa, Florida",NA,"She worked as a nanny before Idol.  In the Hollywood week, she performed Diana Ross' ""When You Tell Me That You Love Me""",4
Mikalah Gordon,14-Jan-88,"Las Vegas, Nevada",NA,"She performed Dusty Springfield's ""You Don't Have to Say You Love Mein the Hollywood rounds.",4
Lindsey Cardinale,5-Feb-85,"Hammond, Louisiana","Ponchatoula, Louisiana","She performed The Supremes' ""Ain't No Mountain High Enoughduring Hollywood week.",4
Ayla Brown,28-Jul-88,"Wrentham, Massachusetts","Wrentham, Massachusetts","She originally auditioned in Boston, singing ""Ain't No Mountain High Enough"".",5
Kinnik Sky,13-May-77,"Duluth, Georgia","Duluth, Georgia","She auditioned in Greensboro. She was grouped with Nicole Turk, Celeste Scalone and Tyra Schwartz during the group rounds.",5
Heather Cox,16-Nov-83,"Jonesville, North Carolina","Jonesville, North Carolina",She auditioned in Denver. Grouped with Halicia Thompson and Kellie Pickler during Hollywood group performances.,5
Brenna Gethers,7-Oct-80,"Mount Vernon, New York",NA,"She auditioned in Boston, and was known for her ""cattyattitude. She became the lead singer for Bomb Squad, a funk-rock band that won an American Music Award for Best New Music in 2003.",5
Stevie Scott,10-Oct-84,NA,NA,"She auditioned in Denver. She sang ""Gold by Spandau Balletduring performances in Hollywood. She was eliminated on February 23, 2006, along with Becky O'Donohue, Bobby Bennett, and Patrick Hall.",5
"Rebecca ""Becky"" O'Donohue",13-Jul-80,"Dobbs Ferry, New York",NA,"Her original audition was in Boston with her twin sister (who did not sing due to recent throat surgery). Simon Cowell praised her looks, but said no to her voice. She was let through to Hollywood by Randy Jackson and Paula Abdul.",5
Gedeon McKinney,1-Oct-88,"Memphis, Tennessee","Memphis, Tennessee","He intended to audition in Memphis, but the auditions there were canceled due to the city's role in relief efforts for Hurricane Katrina. He raised funds to travel to the Chicago auditions by putting on a benefit concert. His elimination was a surprise to many, including Simon Cowell, who had criticized him previously. McKinney's father, Tony McKinney, also a performing artist, died in December 2005 before the show aired. In 2018, his younger sister, Evvie won the first season of The Four: Battle for Stardom.",5
"William ""Will"" Makar",2-Mar-89,"The Woodlands, Texas",NA,"In high school, Will starred in several musical productions, including The Woodlands College Park High School Musical in January 2006, the performance of which began the day after the airing of his American Idol audition and was covered by local media. He has also performed for Presidents Clinton and Bush and with singer Celine Dion as part of the Houston Children's Chorus. He has performed the National Anthem at many sporting events and was also a member of the band Last Born. During the Hollywood rounds, he performed Fly Me to the Moon with David Radford and Kevin Covais. Will was signed to Double Deal Brand Records, which also signed fellow Top 16 semifinalist Ayla Brown, and released his debut single titled ""I Won't Make It Outon iTunes on April 27, 2007.",5
"José ""Sway"" Penala",23-Jan-78,NA,NA,"He was the only Asian-American who made it to the semifinals that season. He has performed with such groups as DnH and 6th Day. When he competed, on stage, Penala often wore a Fedora hat and coat and military dog tags. He developed friendships with Elliott Yamin, Taylor Hicks, and Chris Daughtry during the season. Elliott was also his Hollywood Week group mate and later his roommate.",5
David Radford,22-Mar-88,"Crystal Lake, Illinois",NA,"In addition to singing, David plays the trumpet. He originally auditioned in Chicago.",5
Patrick Hall,24-Sep-77,"Gravette, Arkansas","Gravette, Arkansas","During the Hollywood rounds, Simon Cowell called him 'very likable', and compared him to Clay Aiken. He received many positive comments during these rounds. To separate himself from the Clay Aiken comparison, however, he chose to perform ""Come to My Windowin the first week of the Top 24. He was eliminated that week.",5
"Bobby Bennett, Jr.",4-Jun-86,"Denver, Colorado","Denver, Colorado","(born June 4, 1986) is from Denver, Colorado, where his audition was held. He is most known for his rousing rendition of the song ""Copacabanaand was named the ""showmanof the semifinalists. He also made an appearance in the March 21 episode on which Barry Manilow performed.",5
Jordin Sparks,22-Dec-89,"Glendale, Arizona",NA,"She was a contestant on America's Most Talented Kid in 2003 and also appeared on the program's Tournament of Champions, on which she sang the Celine Dion ballad ""Because You Loved Mein her auditions. She is the daughter of former NFL defensive back Philippi Sparks. With her win, Jordin became the youngest Idol yet and joins the ranks of Kelly Clarkson, Carrie Underwood and Taylor Hicks by winning without ever appearing in the bottom two or three.",6
Blake Lewis,21-Jul-81,"Bothell, Washington","Bothell, Washington","He is a former member of the a cappella group KickShaw. Claiming to be the city's beatboxing champion, Lewis sampled a hip hop tune to the judges before rendering Seal's ""Crazy"". He passed the auditions but Simon commented to him that ""you are not as good as you think you are"", reminding him not to be cocky and overconfident in the future.",6
Melinda Doolittle,6-Oct-77,"Brentwood, Tennessee","Brentwood, Tennessee","Despite being a professional back-up singer, she admitted she was still tense and nervous about competing in the show. She auditioned with ""For Once in My Lifepopularized by Stevie Wonder, and was met with universal praise from the three judges on her vocal ability. The judges did express concern about her nerves and told her to believe in herself. Her elimination the week before the finale had Simon Cowell looking disappointed, as he felt that she deserved to be in the finale for ""week to week consistency"".",6
LaKisha Jones,13-Jan-80,"Flint, Michigan",NA,"Viewers were first introduced to Jones during the ""Best of the Restepisode. After her audition in New York, LaKisha celebrated with her family and cried tears of happiness with her daughter. She is also the runner up of the Houston show, KPRC Local 2 Gimme the Mike, in 2005. She listed Fort Meade, Maryland as home on her application, and also has a Houston following.",6
Chris Richardson,19-Feb-84,"Chesapeake, Virginia","Chesapeake, Virginia","He is from Chesapeake, Virginia, and auditioned in New York with Leon Russell's A Song for You as interpreted by Donny Hathaway.  During Richardson's audition Randy compared him to Justin Timberlake.",6
Phil Stacey,21-Jan-78,"Jacksonville, Florida","Jacksonville, Florida","He auditioned in Memphis and is from Jacksonville, Florida. He missed the birth of his daughter, McKayla, to audition for Idol. He performed two songs before getting through to Hollywood: ""My Girland ""Let's Get It On"".",6
Sanjaya Malakar,10-Sep-89,"Federal Way, Washington",NA,"He auditioned in Seattle with his sister Shyamali, singing ""Signed, Sealed, Delivered I'm Yours"". He is from Federal Way, Washington, the same town as Amy Krebs. After Sanjaya's audition, Simon commented that he had a better voice than his sister. Both made it to Hollywood, but Sanjaya was shown tearfully embracing his sister when he made it to the top 40 in Hollywood and she was cut.",6
Haley Scarnato,15-Jun-82,"San Antonio, Texas",NA,"She sang ""I Can't Make You Love Meby Bonnie Raitt during her audition. She lives in San Antonio, Texas.",6
Gina Glocksen,4-Jul-84,"Naperville, Illinois","Naperville, Illinois","She originally auditioned in Chicago during season five and made it to Hollywood, but she was cut before the Top 40.",6
Chris Sligh,13-Apr-78,"Greenville, South Carolina",NA,"He auditioned in Birmingham and sang ""Kiss from a Roseby Seal, after which Paula gave a standing ovation and stated, ""I like you very much"".",6
Stephanie Edwards,5-Nov-87,"Savannah, Georgia",NA,She auditioned in Memphis.,6
Brandon Rogers,11-Dec-77,"North Hollywood, California",NA,"He auditioned in Los Angeles and is from North Hollywood, California. Rogers has been a backup singer to established artists, performing on Justin Timberlake and Christina Aguilera's 2003 Justified and Stripped Tour and Anastacia's 2005 Encore Tour. After hearing his audition song, the judges (including guest judge Olivia Newton-John) were impressed with his vocals. Simon Cowell later mentioned he was the best auditioner coming from that city.",6
David Cook,20-Dec-82,"Houston, Texas",NA,"Cook's interest in music began early in life; he received his first guitar at the age of 2.  He formed a band while still at high school called Axium, which was chosen as the best band in Kansas City in 2004. He later joined Midwest Kings in Tulsa, but left to pursue a solo project where he released an album titled Analog Heart.  Prior to Idol, he worked as a bartender at the ""Blank Slatein Tulsa, where he  also occasionally played shows.  He enjoys doing crossword puzzles in his spare time and calls himself a ""word nerd"".  His Hollywood performance of Bryan Adams's ""(Everything I Do) I Do It for Youdid not impress Simon Cowell, but did so with his second performance, Edwin McCain's ""I'll Be"".  He wore an orange wristband to support a seven-year-old fan with leukemia from top-12 week onward. He was never in the ""bottom three"".  On May 21, 2008, he was declared the winner.  He was signed to RCA Records and released a self-titled album on November 18, 2008.",7
David Archuleta,28-Dec-90,"Miami, Florida","Murray, Utah","In 2003, at the age of 12, he sang on several episodes of the television show Star Search and went on to win the season finale and the $100,000 grand prize.  In one episode, he competed against Alexandréa Lushington, who was a fellow semifinalist this season. He suffered from vocal paralysis after that show, which affected one of his vocal cords.  He impressed the judges with his performance of Gnarls Barkley's ""Crazyand Bryan Adams's ""Heavenduring the Hollywood round.  He was never in the ""bottom threeand finished as the season-seven runner-up. He was signed to Jive Records.",7
Syesha Mercado,2-Jan-87,"Bridgeport, Connecticut","Sarasota, Florida","She is a student at Florida International University and has been singing and dancing since she was a child. During Hollywood week, she became ill and almost completely lost her voice. In preparation for her final Hollywood performance with Aretha Franklin's ""Chain of Fools"", she went on voice rest and wrote down everything she had to say on a pad of paper.  Prior to American Idol, she appeared on the short-lived US version of Star Academy (known as The One: Making a Music Star when it aired on ABC in July 2006 for two weeks).  Kara DioGuardi, who was one of the coaches on the Endemol franchise, joined Idol for season eight.  She was voted off as a third-place finisher.",7
Jason Castro,25-Mar-87,"Rockwall, Texas",NA,"He started in music playing the drums. In high school, he played for a band, Keeping Lions, which has since disbanded.  In 2006, he appeared on Cheyenne Kimball's MTV reality TV series, as her real-life dating interest. Castro is the first person in his family, which is originally from Colombia, to be born in the United States. He is a student at Texas A&M University, with a construction science major and music minor. He began growing his hair out for dreadlocks during his senior year of high school.  He exited the competition in fourth place.",7
Brooke White,2-Jun-83,"Mesa, Arizona",NA,"During her audition, she admitted to never having seen an R-rated movie, prompting Cowell to state that the show will ""bring her over to the dark side.In 2005, she released an album titled Songs from the Attic under New Millennium Records.  She performed Carole King's ""Beautifulon Hollywood week.  She finished in fifth place.  After the contest, she started her own record label, June Baby Records, with Randy Jackson, and released an album, High Hopes & Heartbreak.",7
Carly Smithson,12-Sep-83,"Dublin, Ireland",NA,"Smithson previously signed a recording contract with major US label MCA Records and released an album in 2001 entitled Ultimate High under her birth name, Carly Hennessy. The album sold about 300 copies in the first three months following its release. Smithson was originally auditioned in Las Vegas during the fifth season, but was dropped from the show due to a problem with her visa.  She auditioned in San Diego with Whitney Houston's ""I'm Every Woman"", and performed Leo Sayer's version of ""When I Need Youand Heart's version of  ""Alonein the Hollywood rounds. She finished sixth in the show.",7
Kristy Lee Cook,18-Jan-84,"Selma, Oregon",NA,"She sold her prized horse  to afford the trip to audition in Philadelphia, where she auditioned with ""Amazing Grace"", a song she also performed during the Hollywood week. In 2001, she was signed to a major label, Arista Nashville. Cook also signed with Britney Spears' production company, and Spears herself was supposed to have a cameo in Cook's first video. At the time of signing, she was managed by the former manager of LeAnn Rimes.",7
Michael Johns,20-Oct-78,"Perth, Western Australia",NA,"He moved to the U.S. from Australia in 1998 and lived in Buckhead, Atlanta for six years, performing at local venues solo and with local band Film. Afterwards, he lived in Los Angeles. After recording a demo and traveling to Los Angeles to showcase for a number of labels in 2001, he signed with Maverick Records and formed a rock band called The Rising. Before focusing on his singing career, he was a sportsman, winning a tennis scholarship and playing Australian rules football for the USAFL club Atlanta Kookaburras. During the Hollywood round, he performed The Doors' ""Light My Firebut it was his performance of Queen's Bohemian Rhapsody that was one of the highlights of that week.  He was eliminated on April 10 and finished in eighth place. Johns died on August 1, 2014, making him the first American Idol finalist to die.",7
Ramiele Malubay,6-Sep-87,"Miramar, Florida",NA,"Prior to auditioning on Idol, she was a nursing student at Broward Community College and worked part-time at a sushi restaurant. She started Polynesian dancing when she was in the first grade and started singing at the age of 12. Since the age of 12, Ramiele has sung at various Filipino-American events.  She performed Aretha Franklin's ""Until You Come Back to Meand The Kiki Dee Band's ""I've Got The Music In Meat the Hollywood rounds.  She was eliminated in ninth place.",7
Chikezie Eze,11-Sep-85,"Inglewood, California",NA,"During the competition, he dropped using his last name because it was so frequently mispronounced ('eh-zee' and not 'EE-zee'). He previously auditioned for the show's sixth season, and made it into the Hollywood round, where he was cut before the top 44. Before auditioning for Idol, he worked as a Transportation Security Administration officer at Los Angeles International Airport.",7
Amanda Overmyer,26-Oct-84,"Mulberry, Indiana","Mulberry, Indiana","She received a nursing degree from Ivy Tech Community College and deals predominantly in respiratory issues. She has been the lead singer of several local hard rock bands, including Steeleto and Ruinaces. A week before the Hollywood week, she was injured in a serious car accident.  She performed The Doors' ""Light My Fireat the Hollywood rounds.  After the season ended, she married her fiancé Casey Taylor.",7
David Hernandez,31-May-83,"Glendale, Arizona","Glendale, Arizona","He was a student at Arizona State University with a major in broadcast journalism. He gave up his apartment to move to Hollywood. Until September 30, 2007, Hernandez worked as a male stripper named ""Cadenat Dick's Cabaret in Phoenix, Arizona, performing fully nude and giving lap dances to male patrons. This did not prevent him from being on the show.  He performed Stephen Stills's ""Love the One You're Withon Hollywood week.  He was voted off in 12th place.",7
Kris Allen,21-Jun-85,"Jacksonville, Arkansas","Conway, Arkansas","Allen's interest in music began at an early age; he taught himself how to play guitar at the age of 13, as well as numerous other instruments. Prior to Idol, he worked as a worship leader at New Life Church in Maumelle, Arkansas, and is a member of Chi Alpha Campus Ministries at the University of Central Arkansas, where he is a business major. Allen was announced the winner on May 20. He went on to release his first official single, ""No Boundaries"", which was written by Idol judge Kara DioGuardi. As a part of winning Idol, Allen was signed by Jive Records and 19 Entertainment.",8
Adam Lambert,29-Jan-82,"Indianapolis, Indiana",NA,"Lambert grew up in Rancho Pe√±asquitos, San Diego, California and attended Deer Canyon Elementary School, Mesa Verde Middle School, and Mt. Carmel High School, where he took part in theater and choir, and also performed with the school's jazz band. Lambert has been a stage actor since the age of ten, performing in such productions as You're a Good Man, Charlie Brown and Wicked.  He joined the band The Citizen Vein briefly.  He also worked as a demo singer, and those recordings were released after his appearance on Idol in the album Take One. Lambert roomed with Kris Allen during the show. Lambert was the runner-up.  He was signed to RCA Records after the show and released his debut album For Your Entertainment.",8
Danny Gokey,24-Apr-80,"Milwaukee, Wisconsin","Milwaukee, Wisconsin","Gokey first began singing in church with his family, and has been a worship leader for his church in Milwaukee, Faith Builders International Ministries, for several years. Four weeks before Gokey auditioned for American Idol, in July 2008, his wife Sophia underwent surgery due to congenital heart disease. She later died from complications regarding the extensive surgery. He was eliminated from the Top 3 on May 13, 2009.",8
Allison Iraheta,27-Apr-92,"Glendale, California",NA,"Iraheta began singing at an early age, performing at small venues for her family and friends. In 2006, Iraheta won the Telemundo television series Quincea√±era, where she won $50,000 and a recording contract, where only the prize money was granted. She was eliminated from the Top 4 on May 6. In making the final she became the series' youngest finalist at sixteen and turned seventeen during the Top 5 week. Her debut album, Just Like You, was released on December 1, 2009, with the single ""Friday I'll Be Over U"".",8
Matt Giraud,11-May-85,"Dearborn, Michigan","Kalamazoo, Michigan","Giraud grew up in Ypsilanti, Michigan, where he graduated from Lincoln High School in 2003. Initially eliminated from the Top 13, Giraud was chosen by the judges to rejoin the competition during the Wild Card round.  Giraud was the lowest vote-getter during the Top 7, but was saved by the judges and eventually eliminated in Top 5.  He released an album called Perspective in 2003 and another in 2006 called Mind Body and Soul.",8
Anoop Desai,20-Dec-86,"Cary, North Carolina",NA,"Desai is an only child, whose father was born in India and mother was born in South Africa. He began his career as an actor for the television station WRAL-TV in Raleigh, North Carolina in a local television series entitled CentralXpress.com, and played the character ""Raj"". Desai attended Carnage Middle School and Phillips Middle School, then later went on to attend East Chapel Hill High School, graduating in 2004. Desai's performance as a soloist on the song ""She Has No Timewas included on the 2007 iteration of the annual BOCA (Best of College A Cappella) compilation album. Desai has credited his decision to audition for American Idol to the death of a friend, Eve Carson, who was murdered. Initially eliminated from the Top 13, he was chosen by the judges to rejoin the competition during the Wild Card round.  His advancement to the finals made Idol history, making it a top 13.",8
Lil Rounds,20-Oct-84,"Memphis, Tennessee","Memphis, Tennessee","Shortly before her audition on Idol, a tornado hit Memphis, forcing Rounds to temporarily live in a motel. Her grandfather once worked with the musician B.B. King.  Her performance of Dolly Parton's ""I Will Always Love Youin the Hollywood round impressed the judges; however, she failed to impress the judges in the finals and was eliminated in joint-seventh place with Anoop Desai.",8
Scott MacIntyre,22-Jun-85,"Scottsdale, Arizona","Scottsdale, Arizona","MacIntyre is the first legally blind person to audition for American Idol. MacIntyre began practicing music at the age of six. Home-schooled until the age of fourteen, he later attended Arizona State University's Barrett Honors College and Herberger College of the Arts soon afterwards. In 2005, USA Today named him one of its twenty College Academic All-Stars. He obtained his master's degree at Royal Holloway, University of London and the Royal College of Music, where he studied on a Marshall Scholarship. MacIntyre produced his first CD when he was eleven, and has recorded five more CDs since then. He was accepted to both Oxford University and Cambridge University for further graduate-level education.",8
Megan Joy,18-Sep-85,"Sandy, Utah",NA,"Initially eliminated from the Top 13, Joy was chosen by the judges to rejoin the competition during the Wild Card round. In high school, Joy unsuccessfully tried out for numerous performance groups, including choir, and never had any singing lessons before her audition on Idol. Joy graduated from Taylorsville High School in Taylorsville, Utah in 2003. She has one son named Ryder.",8
Michael Sarver,28-Mar-81,"Sulphur, Louisiana","Jasper, Texas","Sarver, an oil rig worker, began singing at the age of twelve, and has written over 890 songs for himself since that time. Sarver graduated from Sulphur High School in 1998.",8
Lee DeWyze,2-Apr-86,"Mount Prospect, Illinois",NA,"He performed The Fray's ""You Found Meduring Hollywood week.  Prior to his appearance on American Idol, he had worked in various jobs, including as a paint salesman and a trading floor clerk at the Chicago Mercantile Exchange.  He also appeared as an actor in a short low-budget film 'Deadscapes: Broken Road.'  When he was 17, he was signed to Wuli Records and had released two CDs ‚Äì So I'm Told and Slumberland. He was declared the winner on May 26.  He was signed to RCA Records after the competition and released an album Live It Up on November 16, 2010.",9
Crystal Bowersox,4-Aug-85,"Elliston, Ohio","Elliston, Ohio","She auditioned for Idol to try to make a better life for her son.  Her Hollywood performance of Aretha Franklin's ""(You Make Me Feel Like) A Natural Womanimpressed the judges and fellow contestants alike.  She had performed as a singer from the age of 10 and moved to Chicago aged 17, frequently working as a busker at train stations there.  She was diagnosed with Type 1 diabetes when she was six, and while on the show, she suffered diabetic complication and was hospitalized which resulted in the Top 20 performance nights for the male and female contestants being switched.  She became the runner-up and was signed to Jive Records.  Her debut album Farmer's Daughter was released on December 14, 2010.",9
Casey James,31-May-82,"Princeton, Texas",NA,"He performed professionally after finishing school, but suffered a serious motorcycle accident when he was 21.  He took his shirt off during audition after prompting from Kara DioGuardi and Randy Jackson, and Kara's interest in him became a recurring joke in the season.  He is an accomplished guitarist and demonstrated his skill with his Hollywood round performance of Ray Charles's ""I Don't Need No Doctorand Top 20 performance of Gavin DeGraw's ""I Don't Want to Be.He had never previously watched the show before he auditioned. He was eliminated as a third-place finisher on May 19. He was signed to Sony Music Nashville after the show.",9
Michael Lynche,31-May-83,"Orlando, Florida",NA,"Petersburg, Florida auditioned in Orlando, Florida with Todd Duncan' ""Unchained Melody"".  He worked as personal trainer prior to Idol.  His is married and his daughter was born during Hollywood round, and the unfolding drama of his wife's labor was heavily featured during the Hollywood round where he performed John Mayer's ""Waiting on the World to Change"".  He was saved by the judges when he became the lowest vote-getter on April 7, 2010, but finally he was eliminated at fourth place on May 12.",9
Aaron Kelly,2-Apr-93,"Davenport, Florida","Sonestown, Pennsylvania","His audition song was Miley Cyrus's ""The Climb"", and performed Sarah McLachlan's ""Angelduring the Hollywood rounds but forgot his words. He was adopted by his aunt and uncle at age 5.  He had performed from a young age, and was a finalist on PAX-TV's America's Most Talented Kid at the age of 11.  He was in 2010 the youngest American Idol contestant to reach Top 12. He was eliminated at fifth place on May 5.",9
Siobhan Magnus,15-Mar-90,"Barnstable, Massachusetts",NA,"Before Idol she performed as the lead vocalist of her band, Lunar Valve, and she worked as a glassblower in Hyannis, Massachusetts.  She performed  Stevie Wonder's ""Living for the City in the Hollywood rounds.  She was noted in the show for her ability to sustain a long high-pitched note.  She was eliminated as sixth-placed finisher on April 28.",9
Tim Urban,1-May-89,"Tacoma, Washington","Duncanville, Texas",He performed David Cook's Come Back To Me during the Hollywood round.  He did not qualify initially for the semi-finals but was chosen as a replacement for Chris Golightly who was disqualified for having a prior record deal.  He finished at seventh place on April 21.,9
Katie Stevens,8-Dec-92,"Southbury, Connecticut","Middlebury, Connecticut","She looked after her Portuguese grandmother who suffered from Alzheimer's disease, and she is fluent in Portuguese.  She performed Jean DuShon's ""For Once in My Lifein the Hollywood rounds where Kara DioGuardi considered her a possible season's winner.  She finished eighth place on April 14 in a double elimination, due to judges' save being used the previous week.",9
