season,week,order,contestant,song,artist,song_theme,result
Season_02,20030218_top_32_group_3,6,Louis Gazzara,How Am I Supposed to Live Without You,Laura Branigan,NA,Eliminated
Season_02,20030218_top_32_group_3,7,Equoia Coleman,The Way We Were,Barbra Streisand,NA,Top 3/Eliminated
Season_02,20030218_top_32_group_3,8,George Trice,Unchained Melody,The Righteous Brothers,NA,Eliminated
Season_02,20030225_top_32_group_4,1,Sylvia Chibiliti,Didn't We Almost Have It All,Whitney Houston,NA,Eliminated
Season_02,20030225_top_32_group_4,2,Chip Days,A Song for You,Leon Russell,NA,Wild Card
Season_02,20030225_top_32_group_4,3,Juanita Barber,What About the Children,Yolanda Adams,NA,Eliminated
Season_02,20030225_top_32_group_4,4,Patrick Lake,When I See You Smile,Bad English,NA,Top 3/Eliminated
Season_02,20030225_top_32_group_4,5,Nasheka Siddall,Open My Heart,Yolanda Adams,NA,Wild Card
Season_02,20030225_top_32_group_4,6,Joshua Gracin,I'll Be,Edwin McCain,NA,Advanced
Season_02,20030225_top_32_group_4,7,Ashley Hartman,Touch Me in the Morning,Diana Ross,NA,Eliminated
Season_02,20030225_top_32_group_4,8,Corey Clark,Foolish Heart,Steve Perry,NA,Advanced
Season_02,20030304_wildcard_show,1,Kimberly Caldwell,I Feel the Earth Move,Carole King,NA,Advanced (Randy's choice)
Season_02,20030304_wildcard_show,2,Clay Aiken,Don't Let the Sun Go Down on Me,Elton John,NA,Advanced (Public vote)
Season_02,20030304_wildcard_show,3,Nasheka Siddall,Wind Beneath My Wings,Roger Whitaker,NA,Eliminated
Season_02,20030304_wildcard_show,4,Carmen Rasmusen,Can't Fight the Moonlight,LeAnn Rimes,NA,Advanced (Simon's choice)
Season_02,20030304_wildcard_show,5,Olivia Mojica,Because You Loved Me,Celine Dion,NA,Eliminated
Season_02,20030304_wildcard_show,6,Janine Falsone,We Belong,Pat Benatar,NA,Eliminated
Season_02,20030304_wildcard_show,7,Chip Days,Rock with You,Michael Jackson,NA,Eliminated
Season_02,20030304_wildcard_show,8,Aliceyn Cooney,Angel,Sarah McLachlan,NA,Eliminated
Season_02,20030304_wildcard_show,9,Trenyce,Let's Stay Together,Al Green,NA,Advanced (Paula's choice)
Season_02,20030311_top_12_perform,1,Kimberley Locke,(Love Is Like a) Heat Wave,Martha and the Vandellas,NA,Bottom Three
Season_02,20030311_top_12_perform,2,Joshua Gracin,Baby I Need Your Loving,The Four Tops,NA,Safe
Season_02,20030311_top_12_perform,3,Charles Grigsby,How Sweet It Is (To Be Loved by You),Marvin Gaye,NA,Safe
Season_02,20030311_top_12_perform,4,Kimberly Caldwell,Nowhere to Run,Martha and the Vandellas,NA,Safe
Season_02,20030311_top_12_perform,5,Rickey Smith,1-2-3,Len Barry,NA,Safe
Season_02,20030311_top_12_perform,6,Julia DeMato,Where Did Our Love Go,The Supremes,NA,Bottom Two
Season_02,20030311_top_12_perform,7,Clay Aiken,I Can't Help Myself (Sugar Pie Honey Bunch),The Four Tops,NA,Safe
Season_02,20030311_top_12_perform,8,Vanessa Olivarez,You Keep Me Hangin' On,The Supremes,NA,Eliminated
Season_02,20030311_top_12_perform,9,Corey Clark,This Old Heart of Mine (Is Weak for You),The Isley Brothers,NA,Safe
Season_02,20030311_top_12_perform,10,Carmen Rasmusen,You Can't Hurry Love,The Supremes,NA,Safe
Season_02,20030311_top_12_perform,11,Trenyce,Come See About Me,The Supremes,NA,Safe
Season_02,20030311_top_12_perform,12,Ruben Studdard,Baby I Need Your Loving,The Four Tops,NA,Safe
Season_02,20030318_top_11_perform,1,Corey Clark,Against All Odds (Take a Look at Me Now),Phil Collins,Against All Odds,Bottom Two
Season_02,20030318_top_11_perform,2,Ruben Studdard,A Whole New World,Brad Kane & Lea Salonga,Aladdin,Safe
Season_02,20030318_top_11_perform,3,Trenyce,I Have Nothing,Whitney Houston,The Bodyguard,Safe
Season_02,20030318_top_11_perform,4,Clay Aiken,Somewhere Out There,Linda Ronstadt & James Ingram,An American Tail,Safe
Season_02,20030318_top_11_perform,5,Kimberly Caldwell,The Shoop Shoop Song (It's in His Kiss),Betty Everett,Mermaids,Safe
Season_02,20030318_top_11_perform,6,Joshua Gracin,I Don't Want to Miss a Thing,Aerosmith,Armageddon,Safe
Season_02,20030318_top_11_perform,7,Carmen Rasmusen,Hopelessly Devoted to You,Olivia Newton-John,Grease,Safe
Season_02,20030318_top_11_perform,8,Charles Grigsby,You Can't Win,Michael Jackson,The Wiz,Eliminated
Season_02,20030318_top_11_perform,9,Rickey Smith,It Might Be You,Stephen Bishop,Tootsie,Safe
Season_02,20030318_top_11_perform,10,Julia DeMato,Flashdance... What a Feeling,Irene Cara,Flashdance,Bottom Three
Season_02,20030318_top_11_perform,11,Kimberley Locke,Home,Diana Ross,The Wiz,Safe
Season_02,20030325_top_10_perform,1,Joshua Gracin,Ain't Goin' Down ('Til The Sun Comes Up),Garth Brooks,NA,Safe
Season_02,20030325_top_10_perform,2,Trenyce,I Need You,LeAnn Rimes,NA,Safe
Season_02,20030325_top_10_perform,3,Kimberley Locke,I Can't Make You Love Me,Bonnie Raitt,NA,Safe
Season_02,20030325_top_10_perform,4,Corey Clark,Drift Away,John Henry Kurtz,NA,Disqualified
Season_02,20030325_top_10_perform,5,Carmen Rasmusen,Wild Angels,Martina McBride,NA,Safe
Season_02,20030325_top_10_perform,6,Rickey Smith,I've Done Enough Dyin' Today,Larry Gatlin,NA,Bottom Three
Season_02,20030325_top_10_perform,7,Kimberly Caldwell,Anymore,Travis Tritt,NA,Bottom Two
Season_02,20030325_top_10_perform,8,Ruben Studdard,Sweet Home Alabama,Lynyrd Skynyrd,NA,Safe
Season_02,20030325_top_10_perform,9,Julia DeMato,Breathe,Faith Hill,NA,Eliminated
Season_02,20030325_top_10_perform,10,Clay Aiken,Someone Else's Star,Bryan White,NA,Safe
Season_02,20030401_top_8_perform,1,Rickey Smith,Let's Groove,"Earth, Wind & Fire",NA,Safe
Season_02,20030401_top_8_perform,2,Carmen Rasmusen,Turn the Beat Around,Vicki Sue Robinson,NA,Bottom Two
Season_02,20030401_top_8_perform,3,Kimberly Caldwell,Knock on Wood,Amii Stewart,NA,Safe
Season_02,20030401_top_8_perform,4,Clay Aiken,Everlasting Love,Carl Carlton,NA,Safe
Season_02,20030401_top_8_perform,5,Trenyce,I'm Every Woman,Chaka Khan,NA,Bottom Two
Season_02,20030401_top_8_perform,6,Ruben Studdard,"Can't Get Enough of Your Love, Babe",Barry White,NA,Safe
Season_02,20030401_top_8_perform,7,Kimberley Locke,It's Raining Men,The Weather Girls,NA,Bottom Three
Season_02,20030401_top_8_perform,8,Joshua Gracin,Celebration,Kool & the Gang,NA,Safe
Season_02,20030408_top_8_perform,1,Clay Aiken,At This Moment,Billy Vera & The Beaters,NA,Safe
Season_02,20030408_top_8_perform,2,Kimberley Locke,My Heart Will Go On,Celine Dion,NA,Bottom Three
Season_02,20030408_top_8_perform,3,Rickey Smith,Endless Love,Diana Ross and Lionel Richie,NA,Eliminated
Season_02,20030408_top_8_perform,4,Kimberly Caldwell,(Everything I Do) I Do It for You,Bryan Adams,NA,Bottom Two
Season_02,20030408_top_8_perform,5,Joshua Gracin,Amazed,Lonestar,NA,Safe
Season_02,20030408_top_8_perform,6,Carmen Rasmusen,Call Me,Blondie,NA,Safe
Season_02,20030408_top_8_perform,7,Trenyce,The Power of Love,Jennifer Rush,NA,Safe
Season_02,20030408_top_8_perform,8,Ruben Studdard,Kiss and Say Goodbye,The Manhattans,NA,Safe
Season_02,20030415_top_7_perform,1,Kimberly Caldwell,It's Still Rock and Roll to Me,Billy Joel,NA,Eliminated
Season_02,20030415_top_7_perform,2,Ruben Studdard,Just the Way You Are,Billy Joel,NA,Safe
Season_02,20030415_top_7_perform,3,Kimberley Locke,New York State of Mind,Billy Joel,NA,Safe
Season_02,20030415_top_7_perform,4,Carmen Rasmusen,And So It Goes,Billy Joel,NA,Bottom Two
Season_02,20030415_top_7_perform,5,Joshua Gracin,Piano Man,Billy Joel,NA,Safe
Season_02,20030415_top_7_perform,6,Trenyce,Baby Grand,Have Mercy,NA,Bottom Three
Season_02,20030415_top_7_perform,7,Clay Aiken,Tell Her About It,Billy Joel,NA,Safe
Season_02,20030422_top_6_perform,1,Kimberley Locke,If You Asked Me To,Patti LaBelle,NA,Safe
Season_02,20030422_top_6_perform,2,Clay Aiken,I Could Not Ask for More,Edwin McCain,NA,Safe
Season_02,20030422_top_6_perform,3,Trenyce,Have You Ever?,Brandy,NA,Bottom Three
Season_02,20030422_top_6_perform,4,Joshua Gracin,That's When I'll Stop Loving You,NSYNC,NA,Bottom Two
Season_02,20030422_top_6_perform,5,Carmen Rasmusen,Love Will Lead You Back,Taylor Dayne,NA,Eliminated
Season_02,20030422_top_6_perform,6,Ruben Studdard,Music of My Heart,Gloria Estefan and NSYNC,NA,Safe
Season_02,20030429_top_5_perform,1,Ruben Studdard,Ain't Too Proud to Beg,The Temptations,First Song,Bottom Two
Season_02,20030429_top_5_perform,2,Trenyce,Proud Mary,Credence Clearwater Revival,First Song,Eliminated
Season_02,20030429_top_5_perform,3,Joshua Gracin,Then You Can Tell Me Goodbye,The Casinos,First Song,Safe
Season_02,20030429_top_5_perform,4,Kimberley Locke,I Heard It Through the Grapevine,Gladys Knight & the Pips,First Song,Safe
Season_02,20030429_top_5_perform,5,Clay Aiken,Build Me Up Buttercup,The Foundations,First Song,Safe
Season_02,20030429_top_5_perform,6,Ruben Studdard,Breaking Up is Hard to Do,Neil Sedaka,Second Song,Bottom Two
Season_02,20030429_top_5_perform,7,Trenyce,Love Will Keep Us Together,Captain & Tennille,Second Song,Eliminated
Season_02,20030429_top_5_perform,8,Joshua Gracin,Bad Blood,Neil Sedaka,Second Song,Safe
Season_02,20030429_top_5_perform,9,Kimberley Locke,Where the Boys Are,Connie Francis,Second Song,Safe
Season_02,20030429_top_5_perform,10,Clay Aiken,Solitaire,Neil Sedaka,Second Song,Safe
Season_02,20030506_top_4_perform,1,Joshua Gracin,Jive Talkin',Bee Gees,First Song,Eliminated
Season_02,20030506_top_4_perform,2,Clay Aiken,To Love Somebody,Bee Gees,First Song,Safe
Season_02,20030506_top_4_perform,3,Kimberley Locke,I Just Want to Be Your Everything,Andy Gibb,First Song,Bottom Two
Season_02,20030506_top_4_perform,4,Ruben Studdard,Nights on Broadway,Bee Gees,First Song,Safe
Season_02,20030506_top_4_perform,5,Joshua Gracin,To Love Somebody,Bee Gees,Second Song,Eliminated
Season_02,20030506_top_4_perform,6,Clay Aiken,Grease,Frankie Valli,Second Song,Safe
Season_02,20030506_top_4_perform,7,Kimberley Locke,Emotion,Samantha Sang,Second Song,Bottom Two
Season_02,20030506_top_4_perform,8,Ruben Studdard,How Can You Mend a Broken Heart,Bee Gees,Second Song,Safe
Season_02,20030513_top_3_perform,1,Kimberley Locke,Band of Gold,Freda Payne,First Song,Third Place
Season_02,20030513_top_3_perform,2,Ruben Studdard,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,First Song,Safe
Season_02,20030513_top_3_perform,3,Clay Aiken,Vincent,Don McLean,First Song,Safe
Season_02,20030513_top_3_perform,4,Kimberley Locke,Anyone Who Had a Heart,Dionne Warwick,Second Song,Third Place
Season_02,20030513_top_3_perform,5,Ruben Studdard,Smile,Charlie Chaplin,Second Song,Safe
Season_02,20030513_top_3_perform,6,Clay Aiken,Mack the Knife,Bobby Darin,Second Song,Safe
Season_02,20030513_top_3_perform,7,Kimberley Locke,Inseparable,Natalie Cole,Third Song,Third Place
Season_02,20030513_top_3_perform,8,Ruben Studdard,If Ever You're in My Arms Again,Peabo Bryson,Third Song,Safe
Season_02,20030513_top_3_perform,9,Clay Aiken,Unchained Melody,The Righteous Brothers,Third Song,Safe
Season_02,20030520_top_2_showdown,1,Ruben Studdard,A House is Not a Home,Dionne Warwick,First Song,Winner
Season_02,20030520_top_2_showdown,2,Clay Aiken,This Is the Night,The The,First Song,Runner-up
Season_02,20030520_top_2_showdown,3,Ruben Studdard,Imagine,John Lennon,Second Song,Winner
Season_02,20030520_top_2_showdown,4,Clay Aiken,"Here, There and Everywhere",The Beatles,Second Song,Runner-up
Season_02,20030520_top_2_showdown,5,Ruben Studdard,Flying Without Wings,Westlife,Third Song,Winner
Season_02,20030520_top_2_showdown,6,Clay Aiken,Bridge Over Troubled Water,Simon & Garfunkel,Third Song,Runner-up
Season_03,20040210_top_32_group_1,1,Diana DeGarmo,I've Got the Music in Me,Kiki Dee,NA,Advanced
Season_03,20040210_top_32_group_1,2,Marque Lynche,Wind Beneath My Wings,Roger Whittaker,NA,Eliminated
Season_03,20040210_top_32_group_1,3,Ashley Thomas,Crazy,Willie Nelson,NA,Eliminated
Season_03,20040210_top_32_group_1,4,Katie Webber,Orange Colored Sky,Nat King Cole,NA,Wild Card
Season_03,20040210_top_32_group_1,5,Erskine Walcott,Open Arms,Journey,NA,Eliminated
Season_03,20040210_top_32_group_1,6,Jennifer Hudson,Imagine,John Lennon,NA,Wild Card
Season_03,20040210_top_32_group_1,7,Matthew Metzger,Walking in Memphis,Marc Cohn,NA,Wild Card (Top 3)
Season_03,20040210_top_32_group_1,8,Fantasia Barrino,Something to Talk About,Bonnie Raitt,NA,Advanced
Season_03,20040217_top_32_group_2,1,Matthew Rogers,What You Won't Do for Love,Bobby Caldwell,NA,Advanced
Season_03,20040217_top_32_group_2,2,Briana Ramirez-Rial,Don't Know Why,Norah Jones,NA,Eliminated
Season_03,20040217_top_32_group_2,3,Noel Roman,This I Promise You (*NSYNC),*NSYNC,NA,Eliminated
Season_03,20040217_top_32_group_2,4,Kara Master,I'm Outta Love,Anastacia,NA,Eliminated
Season_03,20040217_top_32_group_2,5,Lisa Leuschner,Sweet Thing,Chaka Khan,NA,Top 3/Eliminated
Season_03,20040217_top_32_group_2,6,Jesus Roman,Back at One,Brian McKnight,NA,Eliminated
Season_03,20040217_top_32_group_2,7,Camile Velasco,One Last Cry,Brian McKnight,NA,Advanced
Season_03,20040217_top_32_group_2,8,Marisa Joy,Some Kind of Wonderful,Soul Brothers Six,NA,Eliminated
Season_03,20040224_top_32_group_3,1,Elizabeth LeTendre,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,NA,Wild Card
Season_03,20040224_top_32_group_3,2,Eric Yoder,In the Still of the Night,The Five Satins,NA,Eliminated
Season_03,20040224_top_32_group_3,3,Amy Adams,The Power of Love,Jennifer Rush,NA,Advanced
Season_03,20040224_top_32_group_3,4,Jon Peter Lewis,Tiny Dancer,Elton John,NA,Wild Card (Top 3)
Season_03,20040224_top_32_group_3,5,Charly Lowry,Chain of Fools,Aretha Franklin,NA,Eliminated
Season_03,20040224_top_32_group_3,6,Jonah Moananu,I Wish,Carl Thomas,NA,Eliminated
Season_03,20040224_top_32_group_3,7,Leah LaBelle,I Have Nothing,Whitney Houston,NA,Wild Card
Season_03,20040224_top_32_group_3,8,LaToya London,All By Myself,Eric Carmen,NA,Advanced
Season_03,20040302_top_32_group_4,1,Suzy Vulaca,Un-Break My Heart,Toni Braxton,NA,Wild Card
Season_03,20040302_top_32_group_4,2,John Preator,That's What Love Is All About,Michael Bolton,NA,Eliminated
Season_03,20040302_top_32_group_4,3,Heather Piccinini,New Attitude,Patti LaBelle,NA,Eliminated
Season_03,20040302_top_32_group_4,4,John Stevens,She's Always a Woman,Billy Joel,NA,Advanced
Season_03,20040302_top_32_group_4,5,Jasmine Trias,Run to You,Whitney Houston,NA,Advanced
Season_03,20040302_top_32_group_4,6,George Huff,Always and Forever,Heatwave,NA,Wild Card (Top 3)
