season,place,gender,contestant,top_36,top_36_2,top_36_3,top_36_4,top_32,top_32_2,top_32_3,top_32_4,top_30,top_30_2,top_30_3,top_25,top_25_2,top_25_3,top_24,top_24_2,top_24_3,top_20,top_20_2,top_16,top_14,top_13,top_12,top_11,top_11_2,wildcard,comeback,top_10,top_9,top_9_2,top_8,top_8_2,top_7,top_7_2,top_6,top_6_2,top_5,top_5_2,top_4,top_4_2,top_3,finale
1,11–14,Female,Angela Peel,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Wild Card,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11–14,Female,Kelli Glover,NA,NA,NA,NA,NA,NA,NA,NA,Wild Card,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11–14,Male,Christopher Aaron,NA,NA,NA,NA,NA,NA,NA,NA,Wild Card,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Female,Alexandra Bachelier,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Female,Jazmin Lowery,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Female,Kristin Holt,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Female,Melanie Sanders,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Female,Natalie Burge,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Female,Rodesia Eaves,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Female,Tanesha Ross,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Female,Tenia Taylor,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Male,Adriel Herrera,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Male,Brad Estrin,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Male,Chris Badano,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Male,Gil Sinuet,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Male,Jamar,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Male,Justinn Waddell,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Male,Khaleef Chiles,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15–30,Male,Mark Scott,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,Male,Ruben Studdard,N/A,Safe (1st),N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,NA,N/A,NA,Safe,NA,NA,Safe,Safe,Safe,NA,Safe,NA,Bottom Two,NA,Safe,NA,Safe,Winner
2,2,Male,Clay Aiken,N/A,Wild Card (3rd),N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,NA,Safe (1st),NA,Safe,NA,NA,Safe,Safe,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,Runner-Up
2,3,Female,Kimberley Locke,N/A,Safe (2nd),N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bottom Three,Safe,NA,N/A,NA,Safe,NA,NA,Bottom Three,Bottom Three,Safe,NA,Safe,NA,Safe,NA,Bottom Two,NA,Eliminated,NA
2,4,Male,Joshua Gracin,N/A,N/A,N/A,Safe (1st),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,NA,N/A,NA,Safe,NA,NA,Safe,Safe,Safe,NA,Bottom Two,NA,Safe,NA,Eliminated,NA,NA,NA
2,5,Female,Trenyce,Wild Card,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,NA,Safe (Paula's choice),NA,Safe,NA,NA,Bottom Two,Safe,Bottom Three,NA,Bottom Three,NA,Eliminated,NA,NA,NA,NA,NA
2,6,Female,Carmen Rasmusen,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,NA,Safe (Simon's choice),NA,Safe,NA,NA,Bottom Two,Safe,Bottom Two,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA
2,7,Female,Kimberly Caldwell,Wild Card (3rd),N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,NA,Safe (Randy's choice),NA,Bottom Two,NA,NA,Safe,Bottom Two,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,Male,Rickey Smith,N/A,N/A,Safe (2nd),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,NA,N/A,NA,Bottom Three,NA,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,9,Male,Corey Clark,N/A,N/A,N/A,Safe (2nd),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Bottom Two,NA,N/A,NA,Safe,NA,NA,Disqualified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,10,Female,Julia DeMato,Safe (2nd),N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bottom Two,Bottom Three,NA,N/A,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,11,Male,Charles Grigsby,Safe (1st),N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Eliminated,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,12,Female,Vanessa Olivarez,N/A,N/A,Safe (1st),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,13–17,Female,Aliceyn Cooney,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,13–17,Female,Janine Falsone,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,13–17,Female,Nasheka Siddall,N/A,N/A,N/A,Wild Card,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,13–17,Female,Olivia Mojica,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,13–17,Male,Chip Days,N/A,N/A,N/A,Wild Card,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Female,Ashley Hartman,N/A,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Female,Candice Coleman,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Female,Equoia Coleman,N/A,N/A,Eliminated (3rd),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Female,Hadas,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Female,Jennifer Fuentes,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Female,Juanita Barber,N/A,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Female,Kimberly Kelsey,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Female,Meosha Denton,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Female,Rebecca Bond,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Female,Samantha Cohen,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Female,Sylvia Chibiliti,N/A,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Male,Bettis Richardson,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Male,George Trice,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Male,J.D. Adams,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Male,Jacob John Smalley,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Male,Jordan Segundo,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Male,Louis Gazzara,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Male,Patrick Fortson,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18–36,Male,Patrick Lake,N/A,N/A,N/A,Eliminated (3rd),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,Female,Fantasia Barrino,NA,NA,NA,NA,Safe (1st),N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,NA,N/A,NA,Safe,Safe,NA,Safe,NA,Bottom Two,NA,Safe,NA,Safe,NA,Bottom Two,NA,Safe,Winner
3,2,Female,Diana DeGarmo,NA,NA,NA,NA,Safe (2nd),N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Bottom Three,NA,N/A,NA,Safe,Bottom Three,NA,Bottom Three,NA,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,Runner-Up
3,3,Female,Jasmine Trias,NA,NA,NA,NA,N/A,N/A,N/A,Safe (2nd),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,NA,N/A,NA,Safe,Bottom Two,NA,Safe,NA,Safe,NA,Bottom Three,NA,Bottom Two,NA,Safe,NA,Eliminated,NA
3,4,Female,LaToya London,NA,NA,NA,NA,N/A,N/A,Safe (1st),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,NA,N/A,NA,Bottom Three,Safe,NA,Safe,NA,Bottom Three,NA,Safe,NA,Safe,NA,Eliminated,NA,NA,NA
3,5,Male,George Huff,NA,NA,NA,NA,N/A,N/A,N/A,Wild Card (3rd),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,NA,Safe (Simon's choice),NA,Safe,Safe,NA,Safe,NA,Safe,NA,Bottom Two,NA,Eliminated,NA,NA,NA,NA,NA
3,6,Male,John Stevens,NA,NA,NA,NA,N/A,N/A,N/A,Safe (1st),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,NA,N/A,NA,Safe,Safe,NA,Bottom Two,NA,Safe,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA
3,7,Female,Jennifer Hudson,NA,NA,NA,NA,Wild Card,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bottom Two,Safe,NA,Safe (Randy's choice),NA,Bottom Two,Safe,NA,Safe,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8,Male,Jon Peter Lewis,NA,NA,NA,NA,N/A,N/A,Wild Card (3rd),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Safe,NA,Safe (1st),NA,Safe,Safe,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,Female,Camile Velasco,NA,NA,NA,NA,N/A,Safe (1st),N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Bottom Two,NA,N/A,NA,Safe,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,Female,Amy Adams,NA,NA,NA,NA,N/A,N/A,Safe (2nd),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bottom Three,Safe,NA,N/A,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,11,Male,Matthew Rogers,NA,NA,NA,NA,N/A,Safe (2nd),N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Safe,Eliminated,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,12,Female,Leah LaBelle,NA,NA,NA,NA,N/A,N/A,Wild Card,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,Safe (Paula's choice),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,13–16,Female,Elizabeth LeTendre,NA,NA,NA,NA,N/A,N/A,Wild Card,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,13–16,Female,Katie Webber,NA,NA,NA,NA,Wild Card,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,13–16,Female,Suzy Vulaca,NA,NA,NA,NA,N/A,N/A,N/A,Wild Card,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,13–16,Male,Matthew Metzger,NA,NA,NA,NA,Wild Card (3rd),N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Female,Ashley Thomas,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Female,Briana Ramirez-Rial,NA,NA,NA,NA,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Female,Charly Lowry,NA,NA,NA,NA,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Female,Heather Piccinni,NA,NA,NA,NA,N/A,N/A,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17–32,Female,Kara Master,NA,NA,NA,NA,N/A,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
