season,audition_date_start,audition_date_end,audition_city,audition_venue,episodes,episode_air_date,callback_venue,callback_date_start,callback_date_end,tickets_to_hollywood,guest_judge
5,2005-08-25,2005-08-26,"Austin, Texasa",Frank Erwin Center,NA,1-Feb-06,"Parc 55 Hotel, San Francisco",NA,NA,12,NA
5,2005-08-31,2005-08-31,"Boston, Massachusetts",Gillette Stadium,NA,7-Feb-06,Seaport Hotel and World Trade Center,2005-08-31,2005-08-31,28,NA
5,2005-09-11,2005-09-11,"Denver, Colorado",Invesco Field at Mile High,NA,18-Jan-06,Colorado Convention Center,2005-09-11,2005-09-11,37,NA
5,2005-09-16,2005-09-16,"Chicago, Illinois",Soldier Field,NA,17-Jan-06,W Hotel,2005-09-16,2005-09-16,34,NA
5,2005-10-03,2005-10-03,"Greensboro, North Carolina",Greensboro Coliseum,NA,24-Jan-06,Marriott Downtown,2005-10-03,2005-10-03,33,NA
5,2005-10-10,2005-10-11,"Las Vegas, Nevada",Las Vegas Convention Center,NA,31-Jan-06,Renaissance Las Vegas,2005-10-12,2005-10-13,11,NA
6,2006-08-06,2006-08-06,"Los Angeles, California","Rose Bowl, Pasadena",NA,31-Jan-07,Millennium Biltmore Hotel,2006-08-06,2006-08-06,40,NA
6,2006-08-11,2006-08-11,"San Antonio, Texas",Alamodome,NA,6-Feb-07,Henry B. Gonzalez Convention Center,2006-08-11,2006-08-11,24,NA
6,2006-08-14,2006-08-14,"New York City, New York","Continental Airlines Arena, East Rutherford",NA,24-Jan-07,"Chelsea Piers, New York",2006-08-14,2006-08-14,35,NA
6,2006-08-21,2006-08-21,"Birmingham, Alabama",Birmingham Jefferson Convention Complex,NA,30-Jan-07,Sheraton Hotel,2006-09-29,2006-09-30,20,NA
6,2006-09-03,2006-09-03,"Memphis, Tennessee",FedEx Forum,NA,23-Jan-07,Memphis Cook Convention Center,2006-10-05,2006-10-06,22,NA
6,2006-09-08,2006-09-08,"Minneapolis, Minnesota",Target Center,NA,16-Jan-07,Minneapolis Convention Center,2006-09-08,2006-09-08,17,NA
6,2006-09-19,2006-09-19,"Seattle, Washington",KeyArena,NA,17-Jan-07,W Hotel,2006-10-02,2006-10-03,14,NA
7,2007-07-30,2007-07-30,"San Diego, California",Qualcomm Stadium,NA,22-Jan-08,Rancho Bernardo Inn,2007-09-12,2007-09-13,31,NA
7,2007-08-06,2007-08-06,"Dallas, Texas",Texas Stadium,NA,16-Jan-08,W Hotel Dallas Victory,2007-09-20,2007-09-23,24,NA
7,2007-08-10,2007-08-10,"Omaha, Nebraska",Qwest Center Omaha,NA,29-Jan-08,Qwest Convention Center,2007-10-05,2007-10-06,19,NA
7,2007-08-14,2007-08-14,"Atlanta, Georgia",Georgia Dome,NA,5-Feb-08,Georgia International Convention Center,2007-10-08,2007-10-10,21,NA
7,2007-08-18,2007-08-18,"Charleston, South Carolina",North Charleston Coliseum,NA,23-Jan-08,Charleston Area Convention Center,2007-09-06,2007-09-07,23,NA
7,2007-08-22,2007-08-22,"Miami, Florida",American Airlines Arena,NA,30-Jan-08,JW Marriott Hotel,2007-09-29,2007-09-30,17,NA
7,2007-08-27,2007-08-27,"Philadelphia, Pennsylvania",Wachovia Center,NA,15-Jan-08,Hyatt Regency,2007-09-01,2007-09-02,29,NA
8,2008-07-17,2008-07-17,"San Francisco, California",Cow Palace,NA,20-Jan-09,Westin St. Francis,2008-07-17,2008-07-17,12,NA
8,2008-07-21,2008-07-21,"Louisville, Kentucky",Freedom Hall,NA,21-Jan-09,Churchill Downs,2008-09-07,2008-09-08,19,NA
8,2008-07-25,2008-07-25,"Phoenix, Arizona","Jobing.com Arena, Glendale",NA,13-Jan-09,"The Boulders, Scottsdale",2008-07-25,2008-07-25,27,NA
8,2008-07-29,2008-07-29,"Salt Lake City, Utah",EnergySolutions Arena,NA,28-Jan-09,Wells Fargo Center,2008-09-18,2008-09-19,13,NA
8,2008-08-02,2008-08-02,"San Juan, Puerto Rico",Coliseo de Puerto Rico,NA,29-Jan-09,Conrad San Juan Condado Plaza,2008-08-02,2008-08-02,9,NA
8,2008-08-08,2008-08-08,"Kansas City, Missouri",Kemper Arena,NA,14-Jan-09,Firestone Building,2008-08-08,2008-08-08,27,NA
8,2008-08-13,2008-08-13,"Jacksonville, Florida",Jacksonville VeteransMemorial Arena,NA,27-Jan-09,Amelia Island Plantation,2008-08-13,2008-08-13,16,NA
8,2008-08-19,2008-08-19,"New York City, New York","Izod Center, East Rutherford",NA,29-Jan-09,"Chelsea Piers, New York",2008-08-19,2008-08-19,26,NA
9,2009-06-14,2009-06-14,"Boston, Massachusetts",Gillette Stadium,NA,12-Jan-10,60 State Street,2009-06-14,2009-06-14,32,Victoria Beckham
9,2009-06-18,2009-06-18,"Atlanta, Georgia",Georgia Dome,NA,13-Jan-10,W Hotel Atlanta Midtown,2009-06-18,2009-06-18,25,Mary J. Blige
9,2009-06-22,2009-06-22,"Chicago, Illinois",United Center,NA,19-Jan-10,Hyatt Regency Chicago,2009-06-22,2009-06-22,13,Shania Twain
9,2009-06-26,2009-06-26,"Dallas, Texas",Cowboys Stadium,NA,27-Jan-10,W Hotel Dallas Victory,2009-06-26,2009-06-26,31,Joe Jonas
9,2009-06-26,2009-06-26,"Dallas, Texas",Cowboys Stadium,NA,27-Jan-10,W Hotel Dallas Victory,2009-06-26,2009-06-26,31,Neil Patrick Harris
9,2009-06-30,2009-06-30,"Los Angeles, California",Rose Bowl Stadium,NA,26-Jan-10,Marina del Rey Marriott,2009-06-30,2009-06-30,23,Katy Perry
9,2009-06-30,2009-06-30,"Los Angeles, California",Rose Bowl Stadium,NA,26-Jan-10,Marina del Rey Marriott,2009-06-30,2009-06-30,23,Avril Lavigne
9,2009-07-09,2009-07-09,"Orlando, Florida",Amway Arena,NA,20-Jan-10,Rosen Shingle Creek Resort,2009-07-09,2009-07-09,31,Kristin Chenoweth
9,2009-07-14,2009-07-14,"Denver, Colorado",Invesco Field,NA,2-Feb-10,Grand Hyatt,2009-07-14,2009-07-14,26,Victoria Beckham
10,2010-07-17,2010-07-17,"Nashville, Tennessee",Bridgestone Arena,NA,27-Jan-11,Ryman Auditorium,2010-10-25,2010-10-26,561,NA
10,2010-07-21,2010-07-21,"Milwaukee, Wisconsin",Bradley Center,NA,26-Jan-11,Milwaukee Art Museum,2010-10-02,2010-10-03,53,NA
10,2010-07-26,2010-07-26,"New Orleans, Louisiana",New Orleans Arena,NA,20-Jan-11,Hilton Riverside Hotel,2010-10-17,2010-10-18,37,NA
10,2010-08-03,2010-08-03,"East Rutherford, New Jersey",Izod Center,NA,19-Jan-11,Liberty House Restaurant,2010-09-28,2010-09-30,51,NA
10,2010-08-11,2010-08-11,"Austin, Texas",Frank Erwin Center,NA,2-Feb-11,Barton Creek Resort & Spa,2010-10-08,2010-10-09,50,NA
10,2010-08-19,2010-08-19,"San Francisco, California",AT&T Park,NA,9-Feb-11,Westin St. Francis,2010-11-09,2010-11-10,471,NA
10,2010-09-22,2010-09-22,"Los Angeles, California",The Forum,NA,3-Feb-11,AT&T Center,2010-11-03,2010-11-04,301,NA
11,2011-06-28,2011-06-28,"St. Louis, Missouri",Scottrade Center,NA,2-Feb-12,Hilton St. Louis at the Ballpark,2011-09-02,2011-09-03,46,NA
11,2011-07-02,2011-07-02,"Portland, Oregon",Rose Garden,NA,1-Feb-12,Red Lion Hotel,2011-10-01,2011-10-02,45,NA
11,2011-07-08,2011-07-08,"San Diego, California",Petco Park,NA,22-Jan-12,USS Midway Aircraft Carrier,2011-10-09,2011-10-10,53,NA
11,2011-07-15,2011-07-15,"Pittsburgh, Pennsylvania",Heinz Field,NA,19-Jan-12,David L. Lawrence Convention Center,2011-09-28,2011-09-29,38,NA
11,2011-07-22,2011-07-22,"North Charleston, South Carolina",North Charleston Coliseum,NA,18-Jan-12,"Hyatt Regency, Savannah, Georgia",2011-08-17,2011-08-18,42,NA
11,2011-07-29,2011-07-29,"Denver, Colorado",Invesco Field,NA,25-Jan-12,"Doerr-Hosier Center, Aspen",2011-10-05,2011-10-06,31,NA
11,2011-08-26,2011-08-26,"Houston, Texas",Reliant Arena,NA,26-Jan-12,Galveston Island Convention Center,2011-08-30,2011-08-31,55,NA
11,2011-09-22,2011-09-22,"East Rutherford, New Jersey",IZOD Center,NA,NA,Unknown,2011-09-24,2011-09-25,NA,NA
12,2012-06-07,2012-06-07,"Los Angeles, California",Dodger Stadium,NA,30-Jan-13,"Queen Mary, (Long Beach, California)",2012-06-07,2012-06-07,50,NA
12,2012-06-14,2012-06-14,"San Antonio, Texas",Alamodome,NA,30-Jan-13,Sunset Station,2012-06-14,2012-06-14,31,NA
12,2012-06-19,2012-06-19,"Charlotte, North Carolina",Time Warner Cable Arena,NA,23-Jan-13,"Charlotte Motor Speedway, (Concord, North Carolina)",2012-06-19,2012-06-19,37,NA
12,2012-06-23,2012-06-23,"Newark, New Jersey",Prudential Center,NA,16-Jan-13,"Jazz at Lincoln Center, (New York City, New York)",2012-06-23,2012-06-23,41,NA
12,2012-07-12,2012-07-12,"Chicago, Illinois",United Center,NA,17-Jan-13,Adler Planetarium,2012-07-12,2012-07-12,47,NA
12,2012-07-17,2012-07-17,"New Orleans, Louisiana",New Orleans Arena,NA,24-Jan-13,"Baton Rouge River Center, (Baton Rouge, Louisiana)",2012-07-17,2012-07-17,35,NA
12,2012-07-20,2012-07-20,"Oklahoma City, Oklahoma",Chesapeake Energy Arena,NA,31-Jan-13,Devon Boathouse,2012-07-20,2012-07-20,45,NA
13,2013-07-11,2013-07-11,"Salt Lake City, Utah",EnergySolutions Arena,NA,29-Jan-14,Marriott Hotel at City Creek,2013-10-02,2013-10-03,30,NA
13,2013-07-16,2013-07-16,"San Francisco, California",AT&T Park,NA,16-Jan-14,Westin St. Francis,2013-10-21,2013-10-22,19,NA
13,2013-07-21,2013-07-21,"Detroit, Michigan",Ford Field,NA,22-Jan-14,Book-Cadillac Hotel,2013-10-08,2013-10-09,40,NA
13,2013-07-26,2013-07-26,"Atlanta, Georgia",Gwinnett Center,NA,23-Jan-14,W Atlanta Midtown,2013-10-29,2013-10-30,44,NA
13,2013-08-02,2013-08-02,"Boston, Massachusetts",Gillette Stadium,NA,15-Jan-14,Boston Marriott Copley Place,2013-09-03,2013-09-04,25,NA
13,2013-08-07,2013-08-07,"Austin, Texas",Frank Erwin Center,NA,15-Jan-14,Austin Convention Center,2013-09-25,2013-09-26,35,NA
13,2013-08-07,2013-08-07,"Austin, Texas",Frank Erwin Center,NA,16-Jan-14,Austin Convention Center,2013-09-25,2013-09-26,35,NA
13,2013-08-11,2013-08-11,"Omaha, Nebraska",CenturyLink Center,NA,30-Jan-14,CenturyLink Center Omaha,2013-10-13,2013-10-14,21,NA
14,2014-06-18,2014-06-18,"Minneapolis, Minnesota",Mariucci Arena,NA,21-Jan-15,Minneapolis Convention Center,2014-09-24,2014-09-25,NA,NA
14,2014-06-25,2014-06-25,"New Orleans, Louisiana",Lakefront Arena,NA,22-Jan-15,Morial Convention Center,2014-08-26,2014-08-27,NA,NA
14,2014-07-09,2014-07-21,Bus tour – various cities,Various,NA,"January 8 & 14, 2015","Bartle Hall Convention Center, Kansas City",2014-08-13,2014-08-14,NA,NA
14,2014-07-23,2014-07-23,"Uniondale, New York",Nassau Veterans Memorial Coliseum,NA,15-Jan-15,Marriott Hotel in Downtown BrooklynA,2014-09-16,2014-09-17,NA,NA
14,2014-07-30,2014-07-30,"Nashville, Tennessee",Nashville Municipal Auditorium,NA,"January 7–8, 2015",Music City Center,2014-08-03,2014-08-04,NA,NA
14,2014-09-29,2014-09-29,"San Francisco, California",Cow Palace,NA,"January 28–29, 2015",Westin St. Francis,2014-10-03,2014-10-04,NA,NA
15,2015-07-09,2015-07-21,Bus tour – various cities,Various,NA,14-Jan-16,NA,2015-09-21,2015-09-21,NA,NA
15,2015-07-10,2015-07-10,"Denver, Colorado",Denver Coliseum,NA,6-Jan-16,Colorado Convention Center,2015-09-26,2015-09-27,NA,NA
15,2015-07-22,2015-07-22,"Savannah, Georgia","Martin Luther King, Jr. Arena",NA,6-Jan-16,"W Midtown Hotel, Atlanta",2015-09-13,2015-09-14,NA,NA
15,2015-08-02,2015-08-02,"Philadelphia, Pennsylvania",Liacouras Center,NA,13-Jan-16,Pennsylvania Convention Center,2015-08-15,2015-08-16,NA,NA
15,2015-08-08,2015-08-08,"Little Rock, Arkansas",Verizon Arena,NA,7-Jan-16,Statehouse Convention Center,2015-08-22,2015-08-23,NA,NA
15,2015-09-15,2015-09-15,"Daly City, California",Cow Palace,NA,7-Jan-16,Westin St. Francis,2015-10-10,2015-10-11,NA,NA
16,2017-10-03,2017-10-04,"New York City, New York",Madison Square Garden,"1, 2, 3, 4, 5",NA,NA,2017-03-04,2017-03-04,NA,NA
16,2017-10-14,2017-10-14,"New Orleans, Louisiana",Mardi Gras World,"2, 4, 2005",NA,NA,2017-10-14,2017-10-14,NA,NA
16,2017-10-19,2017-10-20,"Nashville, Tennessee",Country Music Hall of Fame and Museum,"1, 3, 4, 5",NA,NA,NA,NA,NA,NA
16,2017-10-28,2017-10-29,"Savannah, Georgia",Kehoe Iron Works,"2, 3, 2005",NA,NA,NA,NA,NA,NA
16,2017-11-16,2017-11-17,"Los Angeles, California",Hollywood and Highland Center,"1, 2, 3, 4, 5",NA,NA,NA,NA,NA,NA
17,2018-10-02,2018-10-02,"Denver, Colorado",Wings Over the Rockies Air and Space Museum,"1, 3, 4, 5",NA,NA,2018-10-02,2018-10-02,NA,NA
17,2018-10-14,2018-10-15,"Coeur d'Alene, Idaho",Hagadone Events Center at the Coeur d'Alene Resort,"1, 2, 3, 4, 5",NA,NA,NA,NA,NA,NA
17,2018-10-22,2018-10-24,"Louisville, Kentucky",Muhammad Ali Center,"1, 2, 3, 4, 5",NA,NA,NA,NA,NA,NA
17,2018-10-29,2018-10-30,"New York City, New York",Madison Square Garden,"1, 3, 4, 5",NA,NA,NA,NA,NA,NA
17,2018-11-08,2018-11-10,"Los Angeles, California",Hollywood and Highland Center,"1, 2, 3, 4, 5",NA,NA,2018-08-10,2018-08-10,NA,NA
18,2019-06-07,2019-06-07,"Nashville, Tennessee",CMA Music Festival,NA,NA,NA,2019-06-07,2019-06-07,NA,NA
18,2019-06-08,2019-06-08,"Nashville, Tennessee",CMA Music Festival,NA,NA,NA,2019-06-08,2019-06-08,NA,NA
18,2019-07-23,2019-07-23,"New York City, New York",Brooklyn Expo Center,NA,NA,NA,2019-07-23,2019-07-23,NA,NA
18,2019-08-20,2019-08-20,"Mobile, Alabama",GulfQuest Maritime Museum 2,NA,NA,NA,2019-08-20,2019-08-20,NA,NA
18,2019-08-20,2019-08-20,"Mobile, Alabama",Mobile Convention Center 1,NA,NA,NA,2019-08-20,2019-08-20,NA,NA
18,2019-08-23,2019-08-23,"Macon, Georgia",Macon City Auditorium,NA,NA,NA,2019-08-23,2019-08-23,NA,NA
18,2019-08-23,2019-08-23,"Santa Barbara, California",Santa Barbara Veterans Memorial Building,NA,NA,NA,2019-08-23,2019-08-23,NA,NA
18,2019-08-23,2019-08-23,"Tallahassee, Florida",Donald L. Tucker Civic Center,NA,NA,NA,2019-08-23,2019-08-23,NA,NA
18,2019-08-25,2019-08-25,"Baton Rouge, Louisiana",Hilton Baton Rouge Capitol Center,NA,NA,NA,2019-08-25,2019-08-25,NA,NA
18,2019-08-26,2019-08-26,"Columbia, South Carolina",Pastides Alumni Center,NA,NA,NA,2019-08-26,2019-08-26,NA,NA
18,2019-08-26,2019-08-26,"Las Vegas, Nevada",Cambridge Recreation Center,NA,NA,NA,2019-08-26,2019-08-26,NA,NA
18,2019-08-27,2019-08-27,"Waco, Texas",Waco Convention Center,NA,NA,NA,2019-08-27,2019-08-27,NA,NA
18,2019-08-29,2019-08-29,"Knoxville, Tennessee",Knoxville Convention Center,NA,NA,NA,2019-08-29,2019-08-29,NA,NA
18,2019-08-29,2019-08-29,"Salt Lake City, Utah",Salt Lake City Northwest Community Center,NA,NA,NA,2019-08-29,2019-08-29,NA,NA
18,2019-09-01,2019-09-01,"Colorado Springs, Colorado",Colorado Springs Auditorium,NA,NA,NA,2019-09-01,2019-09-01,NA,NA
18,2019-09-01,2019-09-01,"Raleigh, North Carolina",Duke Energy Center for the Performing Arts,NA,NA,NA,2019-09-01,2019-09-01,NA,NA
18,2019-09-04,2019-09-04,"Washington, D.C.",Ronald Reagan Building,NA,NA,NA,2019-09-04,2019-09-04,NA,NA
18,2019-09-04,2019-09-04,"Wichita, Kansas",Century II Performing Arts & Convention Center,NA,NA,NA,2019-09-04,2019-09-04,NA,NA
18,2019-09-06,2019-09-06,"San Jose, California",San Jose Convention Center,NA,NA,NA,2019-09-06,2019-09-06,NA,NA
18,2019-09-07,2019-09-07,"Pittsburgh, Pennsylvania",David L. Lawrence Convention Center,NA,NA,NA,2019-09-07,2019-09-07,NA,NA
18,2019-09-07,2019-09-07,"Springfield, Illinois",B.O.S. Center,NA,NA,NA,2019-09-07,2019-09-07,NA,NA
18,2019-09-08,2019-09-08,"Spokane, Washington",Grand Hotel Davenport – Autograph Collection,NA,NA,NA,2019-09-08,2019-09-08,NA,NA
18,2019-09-10,2019-09-10,"Detroit, Michigan",Cobo Center,NA,NA,NA,2019-09-10,2019-09-10,NA,NA
18,2019-09-18,2019-09-18,"Nashville, Tennessee",Nashville Municipal Auditorium,NA,NA,NA,2019-09-18,2019-09-18,NA,NA
18,2019-09-21,2019-09-21,"Chicago, Illinois",Wintrust Arena,NA,NA,NA,2019-09-21,2019-09-21,NA,NA
