make,model,vehicle_year,chassis,extra,vehicle_class,origin_country,built_in,made_for,movie_title,movie_type,movie_year,movie_year_end,vehicle_url,movie_url
Acura,NSX,1991,NA1,NA,Coupé,Japan,NA,United States of America,爆走NSX かっとびブギ,Movie,1992,NA,https://www.imcdb.org/vehicle_2071834-Acura-NSX-NA1-1991.html,https://www.imcdb.org/movie_1004526262-%E7%88%86%E8%B5%B0NSX-%E3%81%8B%E3%81%A3%E3%81%A8%E3%81%B3%E3%83%96%E3%82%AE.html
AdiPutro,Jetbus 2 HD,2014,NA,NA,Single-deck,Indonesia,NA,NA,Dunia Loko,Animation Series,2019,2026,https://www.imcdb.org/vehicle_2043690-AdiPutro-Jetbus-2-HD-2014.html,https://www.imcdb.org/movie_1004526086-Dunia-Loko.html
AdiPutro,Jetbus 2 SHD,2014,NA,NA,Single-deck,Indonesia,NA,NA,Dunia Loko,Animation Series,2019,2026,https://www.imcdb.org/vehicle_2043680-AdiPutro-Jetbus-2-SHD-2014.html,https://www.imcdb.org/movie_1004526086-Dunia-Loko.html
AdiPutro,Jetbus 3,2017,NA,NA,Single-deck,Indonesia,NA,NA,Dunia Loko,Animation Series,2019,2026,https://www.imcdb.org/vehicle_2043745-AdiPutro-Jetbus-3-2017.html,https://www.imcdb.org/movie_1004526086-Dunia-Loko.html
AdiPutro,Jetbus HD,2011,NA,NA,Single-deck,Indonesia,NA,NA,Dunia Loko,Animation Series,2019,2026,https://www.imcdb.org/vehicle_2043679-AdiPutro-Jetbus-HD-2011.html,https://www.imcdb.org/movie_1004526086-Dunia-Loko.html
AEC,Regal IV,1953,NA,Alexander,Single-deck,United Kingdom,NA,NA,Busman's Holiday,Documentary,1959,NA,https://www.imcdb.org/vehicle_714178-AEC-Regal-IV-1953.html,https://www.imcdb.org/movie_4723988-Busman-s-Holiday.html
AEC,Regent III,1949,NA,RT,Double-deck,United Kingdom,NA,NA,Summer Holiday,Movie,1963,NA,https://www.imcdb.org/vehicle_71267-AEC-Regent-III-1949.html,https://www.imcdb.org/movie_57541-Summer-Holiday.html
AEC,Regent III,1952,NA,Park Royal 'Roofbox' RT2884,Double-deck,United Kingdom,NA,NA,L'or du duc,Movie,1965,NA,https://www.imcdb.org/vehicle_2040011-AEC-Regent-III-1952.html,https://www.imcdb.org/movie_59551-L-or-du-duc.html
AEC,Routemaster,NA,NA,NA,Double-deck,United Kingdom,NA,NA,Perpetual Motion: The Routemaster Bus,Documentary,1992,NA,https://www.imcdb.org/vehicle_500942-AEC-Routemaster.html,https://www.imcdb.org/movie_3962612-Perpetual-Motion--The-Routemaster-Bus.html
Aero,500 10HP,NA,NA,'Klingeling',Convertible,Czechia,NA,NA,Klaun Ferdinand a raketa,Movie,1963,NA,https://www.imcdb.org/vehicle_1469894-Aero-500-10HP.html,https://www.imcdb.org/movie_57228-Klaun-Ferdinand-a-raketa.html
Alan Mann,Chitty Chitty Bang Bang,1967,NA,Created for movie,Convertible,United Kingdom,NA,NA,Chitty Chitty Bang Bang,Movie,1968,NA,https://www.imcdb.org/vehicle_45860-Alan-Mann-Chitty-Chitty-Bang-Bang-1967.html,https://www.imcdb.org/movie_62803-Chitty-Chitty-Bang-Bang.html
Albar,Sonic,NA,NA,GT,Coupé,Switzerland,NA,NA,Killing Cars,Movie,1986,NA,https://www.imcdb.org/vehicle_124013-Albar-Sonic.html,https://www.imcdb.org/movie_89416-Killing-Cars.html
Alexander Dennis,Enviro400,2013,NA,NA,Double-deck,United Kingdom,NA,Hong Kong (1932+),阿索的故事 (The Calling of a Bus Driver),Movie,2020,NA,https://www.imcdb.org/vehicle_1514374-Alexander-Dennis-Enviro400-2013.html,https://www.imcdb.org/movie_30516468-A-sok-dik-gu-si.html
Alfa Romeo,2000 Spider Veloce,1981,115.38,NA,Convertible,Italy,NA,NA,Yello: I Love You,Music Video,1983,NA,https://www.imcdb.org/vehicle_1602328-Alfa-Romeo-2000-Spider-Veloce-11538-1981.html,https://www.imcdb.org/movie_10760266-Yello--I-Love-You.html
Alfa Romeo,Giulia TI,1962,105.14,NA,Sedan,Italy,NA,NA,Morire gratis,Movie,1969,NA,https://www.imcdb.org/vehicle_920774-Alfa-Romeo-Giulia-TI-10514-1962.html,https://www.imcdb.org/movie_188068-Morire-gratis.html
Alfa Romeo,Spider,1988,115.41,2.0 Graduate,Convertible,Italy,NA,United States of America,Francesco's Italy: Top to Toe,Non-fiction TV,2006,NA,https://www.imcdb.org/vehicle_41782-Alfa-Romeo-Spider-11541-1988.html,https://www.imcdb.org/movie_770536-Francesco-s-Italy--Top-to-Toe.html
Allis-Chalmers,M8 High-Speed Tractor,NA,NA,as 'MBT-90 Thunderblast',Military armored vehicle,USA (United States of America),NA,NA,Bulletproof,Movie,1988,NA,https://www.imcdb.org/vehicle_354684-Allis-Chalmers-M8-High-Speed-Tractor.html,https://www.imcdb.org/movie_94813-Bulletproof.html
AM General,FJ-8,NA,NA,'Sweet Tooth',Van / MPV,USA (United States of America),NA,NA,Twisted Metal,TV Series,2023,NA,https://www.imcdb.org/vehicle_1832843-AM-General-FJ-8.html,https://www.imcdb.org/movie_14261112-Twisted-Metal.html
AMC,Javelin,1968,NA,Custom (NMC) 'Hawk' by Curt Brubaker,Custom,USA (United States of America),NA,NA,Wheels,Mini-Series,1978,NA,https://www.imcdb.org/vehicle_236792-AMC-Javelin-1968.html,https://www.imcdb.org/movie_77099-Wheels.html
Amphicar,Model 770,1962,NA,NA,Convertible,Germany,NA,NA,Jungle Erotic,Movie,1970,NA,https://www.imcdb.org/vehicle_265019-Amphicar-Model-770-1962.html,https://www.imcdb.org/movie_189634-Jungle-Erotic.html
Amphicar,Model 770,1962,NA,NA,Convertible,Germany,NA,NA,Kapitein Zeppos,TV Series,1964,1968,https://www.imcdb.org/vehicle_410531-Amphicar-Model-770-1962.html,https://www.imcdb.org/movie_231873-Kapitein-Zeppos.html
Anadol,STC-16,1973,NA,NA,Coupé,Türkiye,NA,NA,Zaman Makinesi 1973,Movie,2014,NA,https://www.imcdb.org/vehicle_1300463-Anadol-STC-16-1973.html,https://www.imcdb.org/movie_3475504-Zaman-Makinesi-1973.html
Argosy,26,1975,NA,NA,Class A Motorhome,USA (United States of America),NA,NA,Motor Home Massacre,Movie made for TV,2005,NA,https://www.imcdb.org/vehicle_44720-Argosy-26-1975.html,https://www.imcdb.org/movie_491063-Motor-Home-Massacre.html
Aston Martin,DB5,1963,DP216/1,Pre-production,Coupé,United Kingdom,NA,NA,Goldfinger,Movie,1964,NA,https://www.imcdb.org/vehicle_1820-Aston-Martin-DB5-DP216-1-1963.html,https://www.imcdb.org/movie_58150-Goldfinger.html
Aston Martin,DBS Volante,2009,NA,NA,Convertible,United Kingdom,NA,United States of America,Rick Ross Feat. Drake & Chrisette Michele: Aston Martin Music,Music Video,2010,NA,https://www.imcdb.org/vehicle_349415-Aston-Martin-DBS-Volante-2009.html,https://www.imcdb.org/movie_15106848-Rick-Ross-Feat-Drake-%26-Chrisette-Michele--Aston-Martin-Music.html
Atkinson,L746,1940,NA,British Road Services,Simple truck,United Kingdom,NA,NA,Journey to the Sea,Short Movie,1952,NA,https://www.imcdb.org/vehicle_1126992-Atkinson-L746-1940.html,https://www.imcdb.org/movie_1373153-Journey-to-the-Sea.html
Audi,80 B3,1988,Typ 89,Turbo D,Sedan,Germany,NA,NA,"Czterdziestolatek, dwadziescia lat pózniej",TV Series,1993,NA,https://www.imcdb.org/vehicle_147850-Audi-80-Typ-89-1988.html,https://www.imcdb.org/movie_294048-Czterdziestolatek%2C-dwadziescia-lat-p%C3%B3zniej.html
Audi,A1,2011,Typ 8X,NA,Hatchback,Germany,Belgium,NA,The Next Big Thing,Mini-Series,2010,NA,https://www.imcdb.org/vehicle_300287-Audi-A1-Typ-8X-2011.html,https://www.imcdb.org/movie_3406906-The-Next-Big-Thing.html
Audi,A3,2004,Typ 8P,3.2 quattro,Hatchback,Germany,NA,NA,The Other Side of the Road,Short Movie,2003,NA,https://www.imcdb.org/vehicle_110572-Audi-A3-Typ-8P-2004.html,https://www.imcdb.org/movie_1073506-The-Other-Side-of-the-Road.html
Audi,A4 B5,1998,Typ 8D,2.8 quattro,Sedan,Germany,NA,United States of America,P.1,Short Movie,1999,NA,https://www.imcdb.org/vehicle_580661-Audi-A4-Typ-8D-1998.html,https://www.imcdb.org/movie_361999-P1.html
Audi,A6 C7,2013,Typ 4G,2.0 TDI,Sedan,Germany,NA,NA,Allnighter,Short Movie,2013,NA,https://www.imcdb.org/vehicle_981342-Audi-A6-Typ-4G-2013.html,https://www.imcdb.org/movie_3753482-Allnighter.html
Audi,A8 D3,2008,Typ 4E,(as 6.0 W12 quattro),Sedan,Germany,NA,NA,Transporter 3,Movie,2008,NA,https://www.imcdb.org/vehicle_174447-Audi-A8-Typ-4E-2008.html,https://www.imcdb.org/movie_1129442-Transporter-3.html
Audi,A8 D4,2010,Typ 4H,TDI quattro,Sedan,Germany,NA,NA,Transporter: The Series,TV Series,2012,2014,https://www.imcdb.org/vehicle_539177-Audi-A8-Typ-4H-2010.html,https://www.imcdb.org/movie_1885102-Transporter--The-Series.html
Audi,A8 L D3,2004,Typ 4E,4.2 quattro (with 6.0 W12 front),Sedan,Germany,NA,United States of America,Transporter 2,Movie,2005,NA,https://www.imcdb.org/vehicle_9694-Audi-A8-L-Typ-4E-2004.html,https://www.imcdb.org/movie_388482-Transporter-2.html
Audi,A8 L D3,2004,Typ 4E,4.2 quattro,Sedan,Germany,NA,United States of America,"J. Futuristic: Rari, Audi, Bently",Music Video,2010,NA,https://www.imcdb.org/vehicle_294008-Audi-A8-L-Typ-4E-2004.html,https://www.imcdb.org/movie_1004510397-J-Futuristic--Rari%2C-Audi%2C-Bently.html
Audi,A8 L D4,2010,Typ 4H,TDI quattro,Sedan,Germany,NA,NA,Transporter: The Series,TV Series,2012,2014,https://www.imcdb.org/vehicle_762350-Audi-A8-L-Typ-4H-2010.html,https://www.imcdb.org/movie_1885102-Transporter--The-Series.html
Audi,R10 TDI,2008,NA,LMP1,Racecar,Germany,NA,NA,Truth in 24,Documentary,2008,NA,https://www.imcdb.org/vehicle_216858-Audi-R10-TDI-2008.html,https://www.imcdb.org/movie_1320302-Truth-in-24.html
Audi,R18 TDI,2011,NA,LMP1,Racecar,Germany,NA,NA,Truth in 24 II: Every Second Counts,Documentary,2012,NA,https://www.imcdb.org/vehicle_523207-Audi-R18-TDI-2011.html,https://www.imcdb.org/movie_2200022-Truth-in-24-II--Every-Second-Counts.html
Audi,R8,2007,Typ 42,4.2 FSI quattro,Coupé,Germany,NA,NA,Génétiquement avancée,Short Movie,2007,NA,https://www.imcdb.org/vehicle_217227-Audi-R8-Typ-42-2007.html,https://www.imcdb.org/movie_1004509583-G%C3%A9n%C3%A9tiquement-avanc%C3%A9e.html
AUSA,PTV 250,1958,NA,NA,Microcar,Spain,NA,NA,La boda era a las doce,Movie,1964,NA,https://www.imcdb.org/vehicle_289065-AUSA-PTV-250-1958.html,https://www.imcdb.org/movie_55806-La-boda-era-a-las-doce.html
Austin,A125 Sheerline,1951,DS1,NA,Limousine,United Kingdom,NA,NA,The Man in the Back Seat,Movie,1961,NA,https://www.imcdb.org/vehicle_503964-Austin-A125-Sheerline-DS1-1951.html,https://www.imcdb.org/movie_244055-The-Man-in-the-Back-Seat.html
Austin,A35,1956,A2S5,NA,Sedan,United Kingdom,NA,NA,Making The Most Of It,Documentary,1957,NA,https://www.imcdb.org/vehicle_821384-Austin-A35-A2S5-1956.html,https://www.imcdb.org/movie_1004516486-Making-The-Most-Of-It.html
Austin,A50 Cambridge,1954,HS5,Pre-production,Sedan,United Kingdom,NA,NA,I Am A Car,Documentary,1954,NA,https://www.imcdb.org/vehicle_821181-Austin-A50-Cambridge-HS5-1954.html,https://www.imcdb.org/movie_1004516487-I-Am-A-Car.html
Austin,A55 Cambridge MkI,1959,HS6,NA,Sedan,United Kingdom,NA,NA,Britain's Best Drives,Non-fiction TV,2009,NA,https://www.imcdb.org/vehicle_1138730-Austin-A55-Cambridge-HS6-1959.html,https://www.imcdb.org/movie_1445537-Britain-s-Best-Drives.html
Austin,A95 Westminster,1956,BS6,NA,Sedan,United Kingdom,NA,NA,Return Journey,Documentary,1957,NA,https://www.imcdb.org/vehicle_822234-Austin-A95-Westminster-BS6-1956.html,https://www.imcdb.org/movie_1004516485-Return-Journey.html
Austin,K2/Y,NA,NA,on CMP 4x4 Chassis,Ambulance,United Kingdom,NA,NA,Ice Cold in Alex,Movie,1958,NA,https://www.imcdb.org/vehicle_196101-Austin-K2-Y.html,https://www.imcdb.org/movie_53935-Ice-Cold-in-Alex.html
Austin,Mini Cooper S 1275 MkI,1967,ADO50,NA,Supermini,United Kingdom,NA,NA,The Italian Job,Movie,1969,NA,https://www.imcdb.org/vehicle_1839-Austin-Mini-Cooper-S-1275-ADO50-1967.html,https://www.imcdb.org/movie_64505-The-Italian-Job.html
Austin,Mini Cooper S 1275 MkII,1967,ADO50,NA,Supermini,United Kingdom,NA,NA,Vive le sport,Short Movie,1969,NA,https://www.imcdb.org/vehicle_244518-Austin-Mini-Cooper-S-1275-ADO50-1967.html,https://www.imcdb.org/movie_1471289-Vive-le-sport.html
Austin,Mini Van,1961,NA,NA,Van / MPV,United Kingdom,NA,NA,Confessions of a Window Cleaner,Movie,1974,NA,https://www.imcdb.org/vehicle_412095-Austin-Mini-Van-1961.html,https://www.imcdb.org/movie_71357-Confessions-of-a-Window-Cleaner.html
Austin,Seven Tourer,1927,AD,NA,Convertible,United Kingdom,NA,NA,The Adventures of Hal 5,Movie,1958,NA,https://www.imcdb.org/vehicle_733932-Austin-Seven-Tourer-AD-1927.html,https://www.imcdb.org/movie_165076-The-Adventures-of-Hal-5.html
Autosan,H6-10.02 ZK,1997,NA,NA,Prison / Police,Poland,NA,NA,Konwój,Movie,2016,NA,https://www.imcdb.org/vehicle_1967595-Autosan-H6-1002-ZK-1997.html,https://www.imcdb.org/movie_6421366-Konw%C3%B3j.html
Bajaj,NA,NA,NA,NA,Three-wheeler,India,NA,Indonesia (1955+),Si Bajaj,TV Series,2004,2005,https://www.imcdb.org/vehicle_2040560-Bajaj.html,https://www.imcdb.org/movie_1004526069-Si-Bajaj.html
Barris Kustom Industries,Munsters Koach,NA,NA,NA,Custom,USA (United States of America),NA,NA,The Munsters,TV Series,1964,1966,https://www.imcdb.org/vehicle_92403-Barris-Kustom-Industries-Munsters-Koach.html,https://www.imcdb.org/movie_57773-The-Munsters.html
Barris Kustom Industries,Supervan,NA,NA,based on Dodge Sportsman,Custom,USA (United States of America),NA,NA,Supervan,Movie,1977,NA,https://www.imcdb.org/vehicle_179043-Barris-Kustom-Industries-Supervan.html,https://www.imcdb.org/movie_70756-Supervan.html
Batavus,Go Go,1978,NA,NA,Moped,Netherlands,NA,NA,Les petites fugues,Movie,1979,NA,https://www.imcdb.org/vehicle_448361-Batavus-Go-Go-1978.html,https://www.imcdb.org/movie_78080-Les-petites-fugues.html
Beaumont,Custom,1966,NA,Convertible w Sports Option,Convertible,Canada,NA,NA,For Today I Do,Movie,2018,NA,https://www.imcdb.org/vehicle_1267403-Beaumont-Custom-1966.html,https://www.imcdb.org/movie_8319098-For-Today-I-Do.html
Bedford,CA Mk1,1955,NA,NA,Van / MPV,United Kingdom,NA,NA,A Weekend With Lulu,Movie,1961,NA,https://www.imcdb.org/vehicle_801892-Bedford-CA-1955.html,https://www.imcdb.org/movie_56683-A-Weekend-With-Lulu.html
Bedford,OWL,1943,NA,NA,Simple truck,United Kingdom,NA,NA,A Ride With Uncle Joe,Short Movie,1943,NA,https://www.imcdb.org/vehicle_1360841-Bedford-OWL-1943.html,https://www.imcdb.org/movie_6027050-A-Ride-With-Uncle-Joe.html
Bedford,TK,1975,NA,NA,Simple truck,United Kingdom,NA,NA,The Chain,Movie,1984,NA,https://www.imcdb.org/vehicle_1543795-Bedford-TK-1975.html,https://www.imcdb.org/movie_88898-The-Chain.html
Beijing-Hyundai,Lafesta,2019,DN8,NA,Sedan,South Korea,China,China (People's Republic of China),Turbowin: I do it for my La Festa,Music Video,2019,NA,https://www.imcdb.org/vehicle_1808726-Beijing-Hyundai-Lafesta-DN8-2019.html,https://www.imcdb.org/movie_1004523960-Turbowin--I-do-it-for-my-La-Festa.html
Bentley,3/4½,1927,ML1505,NA,Convertible,United Kingdom,NA,NA,The Fast Lady,Movie,1962,NA,https://www.imcdb.org/vehicle_124184-Bentley-3-4%C2%BD-ML1505-1927.html,https://www.imcdb.org/movie_55977-The-Fast-Lady.html
Bentley,Mk.VI,1952,B263PU,NA,Sedan,United Kingdom,NA,NA,Britain's Best Drives,Non-fiction TV,2009,NA,https://www.imcdb.org/vehicle_1138748-Bentley-MkVI-B263PU-1952.html,https://www.imcdb.org/movie_1445537-Britain-s-Best-Drives.html
Bentley,R-Type,1952,NA,Standard Steel Saloon,Sedan,United Kingdom,NA,NA,The Candy Tangerine Man,Movie,1975,NA,https://www.imcdb.org/vehicle_1071826-Bentley-R-Type-1952.html,https://www.imcdb.org/movie_72759-The-Candy-Tangerine-Man.html
Benz,Patent-Motorwagen Nummer 1,1886,NA,NA,Three-wheeler,Germany,NA,NA,Carl & Bertha,Movie made for TV,2011,NA,https://www.imcdb.org/vehicle_430378-Benz-Patent-Motorwagen-Nummer-1-1886.html,https://www.imcdb.org/movie_1753569-Carl-%26-Bertha.html
Berliet,CBOE,1924,NA,Skabo 'Gamla',Single-deck,France,Norway,NA,Bussen,Movie,1961,NA,https://www.imcdb.org/vehicle_327590-Berliet-CBOE-1924.html,https://www.imcdb.org/movie_54708-Bussen.html
Berliet,GBC 8 M Gazelle,1958,NA,NA,Simple truck,France,NA,NA,Cent mille dollars au soleil,Movie,1964,NA,https://www.imcdb.org/vehicle_11121-Berliet-GBC-8-M-Gazelle-1958.html,https://www.imcdb.org/movie_56917-Cent-mille-dollars-au-soleil.html
Berliet,TLM 10 M2,1961,NA,NA,Trailer truck (tractor),France,NA,NA,Cent mille dollars au soleil,Movie,1964,NA,https://www.imcdb.org/vehicle_11122-Berliet-TLM-10-M2-1961.html,https://www.imcdb.org/movie_56917-Cent-mille-dollars-au-soleil.html
Berliet,TR 250,NA,NA,NA,Trailer truck (tractor),France,NA,NA,"Nako, Dako i Cako - Shofiori",Movie,1976,NA,https://www.imcdb.org/vehicle_628913-Berliet-TR-250.html,https://www.imcdb.org/movie_1004514566-Nako%2C-Dako-i-Cako-Shofiori.html
Bernard,120 MC,NA,NA,NA,Simple truck,France,NA,NA,La Route,TV Series,1963,NA,https://www.imcdb.org/vehicle_281089-Bernard-120-MC.html,https://www.imcdb.org/movie_171007-La-Route.html
Bernard,19 TDA,NA,NA,Pelpel 'Cabine Télévision',Simple truck,France,NA,NA,La Route,TV Series,1963,NA,https://www.imcdb.org/vehicle_281090-Bernard-19-TDA.html,https://www.imcdb.org/movie_171007-La-Route.html
BJC,Jeep 2500,2003,XJ,BJ6420EC,Off-road / SUV,USA (United States of America),China,China (People's Republic of China),野马分鬃 (Striding Into the Wind),Movie,2020,NA,https://www.imcdb.org/vehicle_1767750-BJC-Jeep-2500-XJ-2003.html,https://www.imcdb.org/movie_11090178-Ye-ma-fen-zong.html
BMW,2000 C,1967,NA,Automatic,Coupé,Germany,NA,Thailand (1955+),Wan sudthay..Kxn bay thex (One for the Road),Movie,2021,NA,https://www.imcdb.org/vehicle_1648001-BMW-2000-C-1967.html,https://www.imcdb.org/movie_11508438-Wan-sudthayKxn-bay-thex.html
BMW,2002,1972,NA,NA,Sedan,Germany,NA,United States of America,Neutral,Short Movie,2017,NA,https://www.imcdb.org/vehicle_1288914-BMW-2002-1972.html,https://www.imcdb.org/movie_7448724-Neutral.html
BMW,2002,1974,NA,NA,Sedan,Germany,NA,United States of America,Try Seventeen,Movie,2002,NA,https://www.imcdb.org/vehicle_42164-BMW-2002-1974.html,https://www.imcdb.org/movie_311941-Try-Seventeen.html
BMW,2002 tii,1974,NA,NA,Sedan,Germany,NA,NA,Autobahnraser,Movie,2004,NA,https://www.imcdb.org/vehicle_51-BMW-2002-tii-1974.html,https://www.imcdb.org/movie_391774-Autobahnraser.html
BMW,3,NA,E30,NA,Sedan,Germany,NA,NA,Balkanika,Mini-Series,2021,NA,https://www.imcdb.org/vehicle_1915782-BMW-3-E30.html,https://www.imcdb.org/movie_19499900-Balkanika.html
BMW,3,1984,E30,NA,Sedan,Germany,NA,NA,Drifter,Documentary,2014,NA,https://www.imcdb.org/vehicle_1014072-BMW-3-E30-1984.html,https://www.imcdb.org/movie_4277250-Drifter.html
BMW,3,1991,E36,NA,Sedan,Germany,NA,NA,BMW Vermelho,Short Movie,2000,NA,https://www.imcdb.org/vehicle_345106-BMW-3-E36-1991.html,https://www.imcdb.org/movie_275950-BMW-Vermelho.html
BMW,320i,1980,E21,1.8 Automatic,Sedan,Germany,NA,United States of America,Penny Dreadful,Movie,2006,NA,https://www.imcdb.org/vehicle_219752-BMW-320i-E21-1980.html,https://www.imcdb.org/movie_454224-Penny-Dreadful.html
BMW,325iS Coupé,1993,E36,NA,Coupé,Germany,NA,United States of America,The Chase,Movie,1994,NA,https://www.imcdb.org/vehicle_10851-BMW-325iS-Coup%C3%A9-E36-1993.html,https://www.imcdb.org/movie_109402-The-Chase.html
BMW,328i Cabrio,1996,E36,NA,Convertible,Germany,NA,United States of America,Interstate 60: Episodes of the Road,Movie,2002,NA,https://www.imcdb.org/vehicle_1864-BMW-328i-Cabrio-E36-1996.html,https://www.imcdb.org/movie_165832-Interstate-60--Episodes-of-the-Road.html
BMW,330Ci,2001,E46,NA,Coupé,Germany,NA,United States of America,The Follow,Short Movie,2001,NA,https://www.imcdb.org/vehicle_1466-BMW-330Ci-E46-2001.html,https://www.imcdb.org/movie_285104-The-Follow.html
BMW,420i,2014,F32,M Sport,Coupé,Germany,NA,NA,The Driver,Movie,2019,NA,https://www.imcdb.org/vehicle_1325950-BMW-420i-F32-2014.html,https://www.imcdb.org/movie_9272568-The-Driver.html
BMW,501,1952,NA,'Isar 12',Sedan,Germany,NA,NA,Funkstreife Isar 12,TV Series,1961,1963,https://www.imcdb.org/vehicle_43054-BMW-501-1952.html,https://www.imcdb.org/movie_54541-Funkstreife-Isar-12.html
BMW,503,1957,NA,Cabriolet Baur,Convertible,Germany,NA,NA,The Last Run,Movie,1971,NA,https://www.imcdb.org/vehicle_1553-BMW-503-1957.html,https://www.imcdb.org/movie_67329-The-Last-Run.html
BMW,525e,1987,E28,Lux,Sedan,Germany,NA,United Kingdom of Great Britain and Northern Ireland,The Fly,Short Movie,2015,NA,https://www.imcdb.org/vehicle_1663180-BMW-525e-E28-1987.html,https://www.imcdb.org/movie_3670330-The-Fly.html
BMW,525i,1985,E28,NA,Sedan,Germany,NA,NA,Tatort - Nachtsicht,Movie made for TV,2017,NA,https://www.imcdb.org/vehicle_1014297-BMW-525i-E28-1985.html,https://www.imcdb.org/movie_6574894-Tatort-Nachtsicht.html
BMW,528i,1978,E12,NA,Sedan,Germany,NA,France,Les compères,Movie,1983,NA,https://www.imcdb.org/vehicle_1868-BMW-528i-E12-1978.html,https://www.imcdb.org/movie_85354-Les-comp%C3%A8res.html
BMW,540i,2001,E39,NA,Sedan,Germany,NA,United States of America,Chosen,Short Movie,2001,NA,https://www.imcdb.org/vehicle_4288-BMW-540i-E39-2001.html,https://www.imcdb.org/movie_283994-Chosen.html
BMW,540i,2017,G30,Pre-production,Sedan,Germany,NA,Canada,The Escape,Short Movie,2016,NA,https://www.imcdb.org/vehicle_970374-BMW-540i-G30-2017.html,https://www.imcdb.org/movie_6078822-The-Escape.html
BMW,635 CSi,1978,E24,NA,Coupé,Germany,NA,NA,KBV - Keine besonderen Vorkommnisse,TV Series,2021,NA,https://www.imcdb.org/vehicle_1496486-BMW-635-CSi-E24-1978.html,https://www.imcdb.org/movie_13959642-KBV-Keine-besonderen-Vorkommnisse.html
BMW,7,1989,E32,NA,Sedan,Germany,NA,NA,Gladbeck,Mini-Series,2018,NA,https://www.imcdb.org/vehicle_1124474-BMW-7-E32-1989.html,https://www.imcdb.org/movie_5760392-Gladbeck.html
BMW,7,2002,E65,NA,Sedan,Germany,NA,NA,Серёга: Чёрный Бумер (Seryoga: Black Beamer),Music Video,2004,NA,https://www.imcdb.org/vehicle_950483-BMW-7-E65-2002.html,https://www.imcdb.org/movie_1004517484-Seryoga--Chyornyi-bumer.html
BMW,740i,2001,E38,NA,Sedan,Germany,NA,United States of America,Ambush,Short Movie,2001,NA,https://www.imcdb.org/vehicle_4287-BMW-740i-E38-2001.html,https://www.imcdb.org/movie_283875-Ambush.html
BMW,750iL,1995,E38,NA,Sedan,Germany,NA,NA,Бумер (Bummer),Movie,2003,NA,https://www.imcdb.org/vehicle_25038-BMW-750iL-E38-1995.html,https://www.imcdb.org/movie_381936-Bumer.html
BMW,840Ci,1993,E31,NA,Coupé,Germany,NA,NA,Chauffeur de maître,Movie made for TV,1996,NA,https://www.imcdb.org/vehicle_81985-BMW-840Ci-E31-1993.html,https://www.imcdb.org/movie_259925-Chauffeur-de-ma%C3%AEtre.html
BMW,Isetta,1957,NA,NA,Microcar,Germany,NA,NA,The Small Escape,Short Movie,2019,NA,https://www.imcdb.org/vehicle_1493797-BMW-Isetta-1957.html,https://www.imcdb.org/movie_11959732-The-Small-Escape.html
BMW,M5,2001,E39,NA,Sedan,Germany,NA,United States of America,Star,Short Movie,2001,NA,https://www.imcdb.org/vehicle_1356-BMW-M5-E39-2001.html,https://www.imcdb.org/movie_286151-Star.html
BMW,M5,2001,E39,NA,Sedan,Germany,NA,NA,보호자 (A Man of Reason),Movie,2022,NA,https://www.imcdb.org/vehicle_1837032-BMW-M5-E39-2001.html,https://www.imcdb.org/movie_21387514-Bohoja.html
BMW,R 1150 GS,2004,NA,NA,Trail bike,Germany,NA,NA,Long Way Round,Non-fiction TV,2004,NA,https://www.imcdb.org/vehicle_69248-BMW-R-1150-GS-2004.html,https://www.imcdb.org/movie_403778-Long-Way-Round.html
BMW,R 60/2,1960,NA,NA,Sidecar,Germany,NA,NA,The Best Bar in America,Movie,2009,NA,https://www.imcdb.org/vehicle_940137-BMW-R-60-2-1960.html,https://www.imcdb.org/movie_1388390-The-Best-Bar-in-America.html
BMW,X3,2007,E83,NA,Off-road / SUV,Germany,Austria,NA,Am Ende des Tages,Movie,2011,NA,https://www.imcdb.org/vehicle_1388012-BMW-X3-E83-2007.html,https://www.imcdb.org/movie_2044739-Am-Ende-des-Tages.html
BMW,X5,2001,E53,3.0i,Off-road / SUV,Germany,USA (United States of America),NA,Powder Keg,Short Movie,2001,NA,https://www.imcdb.org/vehicle_4290-BMW-X5-E53-2001.html,https://www.imcdb.org/movie_285930-Powder-Keg.html
BMW,X5,2004,E53,NA,Off-road / SUV,Germany,USA (United States of America),NA,Маршрут построен (Paranormal Drive),Movie,2016,NA,https://www.imcdb.org/vehicle_946479-BMW-X5-E53-2004.html,https://www.imcdb.org/movie_5644006-Marshrut-postroen.html
BMW,X5,2012,E70,M50d,Off-road / SUV,Germany,USA (United States of America),NA,Locke,Movie,2013,NA,https://www.imcdb.org/vehicle_701647-BMW-X5-E70-2012.html,https://www.imcdb.org/movie_2692904-Locke.html
BMW,Z3,2001,E36/7,3.0i,Convertible,Germany,USA (United States of America),United States of America,The Follow,Short Movie,2001,NA,https://www.imcdb.org/vehicle_4289-BMW-Z3-E36-7-2001.html,https://www.imcdb.org/movie_285104-The-Follow.html
BMW,Z4,2003,E85,3.0i,Convertible,Germany,USA (United States of America),United States of America,Beat the Devil,Short Movie,2002,NA,https://www.imcdb.org/vehicle_4130-BMW-Z4-E85-2003.html,https://www.imcdb.org/movie_338768-Beat-the-Devil.html
