"","yearly_rank","region","state","loc_id","city","airport_name","airport_classification","hub_type","year","passengers"
"30",406,"AL","AK","HNH","Hoonah","Hoonah","Primary","Nonhub",2013,10468
"31",412,"AL","AK","YAK","Yakutat","Yakutat","Primary","Nonhub",2013,10135
"32",413,"AL","AK","HNS","Haines","Haines","Primary","Nonhub",2013,10106
"33",415,"AL","AK","GST","Gustavus","Gustavus","Primary","Nonhub",2013,10076
"34",421,"AL","AK","CDB","Cold Bay","Cold Bay","Commercial Service",NA,2013,8665
"35",425,"AL","AK","ENM","Emmonak","Emmonak","Commercial Service",NA,2013,8268
"36",429,"AL","AK","SGY","Skagway","Skagway","Commercial Service",NA,2013,8050
"37",433,"AL","AK","FYU","Fort Yukon","Fort Yukon","Commercial Service",NA,2013,7441
"38",435,"AL","AK","AQH","Quinhagak","Quinhagak","Commercial Service",NA,2013,7134
"39",448,"AL","AK","IIK","Kipnuk","Kipnuk","Commercial Service",NA,2013,6114
"40",455,"AL","AK","ILI","Iliamna","Iliamna","Commercial Service",NA,2013,5688
"41",463,"AL","AK","5Z9","Katmai National Park","Lake Brooks","General Aviation",NA,2013,5220
"42",465,"AL","AK","OOK","Toksook Bay","Toksook Bay","Commercial Service",NA,2013,5206
"43",466,"AL","AK","VAK","Chevak","Chevak","Commercial Service",NA,2013,5203
"44",469,"AL","AK","Z09","Kasigluk","Kasigluk","Commercial Service",NA,2013,5089
"45",470,"AL","AK","UUO","Willow","Willow","General Aviation",NA,2013,5002
"46",474,"AL","AK","HPB","Hooper Bay","Hooper Bay","Commercial Service",NA,2013,4783
"47",475,"AL","AK","PHO","Point Hope","Point Hope","Commercial Service",NA,2013,4735
"48",476,"AL","AK","MOU","Mountain Village","Mountain Village","Commercial Service",NA,2013,4571
"49",477,"AL","AK","CFK","Chefornak","Chefornak","General Aviation",NA,2013,4414
"50",479,"AL","AK","WLK","Selawik","Selawik","Commercial Service",NA,2013,4336
"51",480,"AL","AK","MTM","Metlakatla","Metlakatla","Commercial Service",NA,2013,4243
"52",481,"AL","AK","D76","Noorvik","Robert /Bob/ Curtis Memorial","Commercial Service",NA,2013,4188
"53",482,"AL","AK","SCM","Scammon Bay","Scammon Bay","Commercial Service",NA,2013,4178
"54",487,"AL","AK","WTK","Noatak","Noatak","Commercial Service",NA,2013,4088
"55",488,"AL","AK","CXF","Coldfoot","Coldfoot","Commercial Service",NA,2013,4067
"56",490,"AL","AK","SDP","Sand Point","Sand Point","Commercial Service",NA,2013,3976
"57",491,"AL","AK","AWI","Wainwright","Wainwright","Commercial Service",NA,2013,3959
"58",493,"AL","AK","EEK","Eek","Eek","Commercial Service",NA,2013,3913
"59",494,"AL","AK","DUY","Kongiganak","Kongiganak","Commercial Service",NA,2013,3904
"60",495,"AL","AK","KWT","Kwethluk","Kwethluk","Commercial Service",NA,2013,3871
"61",497,"AL","AK","SOV","Seldovia","Seldovia","Commercial Service",NA,2013,3774
"62",501,"AL","AK","A61","Tuntutuliak","Tuntutuliak","Commercial Service",NA,2013,3665
"63",502,"AL","AK","MCG","McGrath","McGrath","Commercial Service",NA,2013,3658
"64",503,"AL","AK","16A","Nunapitchuk","Nunapitchuk","Commercial Service",NA,2013,3652
"65",504,"AL","AK","AKP","Anaktuvuk Pass","Anaktuvuk Pass","Commercial Service",NA,2013,3637
"66",505,"AL","AK","2A9","Kotlik","Kotlik","Commercial Service",NA,2013,3622
"67",506,"AL","AK","GGV","Kwigillingok","Kwigillingok","Commercial Service",NA,2013,3602
"68",509,"AL","AK","IAN","Kiana","Bob Baker Memorial","Commercial Service",NA,2013,3463
"69",511,"AL","AK","CGA","Craig","Craig","Commercial Service",NA,2013,3387
"70",513,"AL","AK","GAM","Gambell","Gambell","Commercial Service",NA,2013,3312
"71",518,"AL","AK","AUK","Alakanuk","Alakanuk","General Aviation",NA,2013,3152
"72",520,"AL","AK","BVK","Buckland","Buckland","Commercial Service",NA,2013,3138
"73",521,"AL","AK","KLG","Kalskag","Kalskag","Commercial Service",NA,2013,3127
"74",522,"AL","AK","0AK","Pilot Station","Pilot Station","Commercial Service",NA,2013,3123
"75",523,"AL","AK","SVA","Savoonga","Savoonga","Commercial Service",NA,2013,3099
"76",529,"AL","AK","TYE","Tyonek","Tyonek","General Aviation",NA,2013,3023
"77",530,"AL","AK","HLA","Huslia","Huslia","Commercial Service",NA,2013,3012
"78",531,"AL","AK","KVL","Kivalina","Kivalina","Commercial Service",NA,2013,2975
"79",532,"AL","AK","Z13","Akiachak","Akiachak","Commercial Service",NA,2013,2928
"80",534,"AL","AK","6R7","Old Harbor","Old Harbor","Commercial Service",NA,2013,2870
"81",535,"AL","AK","KVC","King Cove","King Cove","Commercial Service",NA,2013,2829
"82",538,"AL","AK","TAL","Tanana","Ralph M Calhoun Memorial","Commercial Service",NA,2013,2811
"83",540,"AL","AK","MDM","Marshall","Marshall Don Hunter Sr","Commercial Service",NA,2013,2786
"84",545,"AL","AK","EWU","Newtok","Newtok","Commercial Service",NA,2013,2744
"85",548,"AL","AK","KTB","Thorne Bay","Thorne Bay","Commercial Service",NA,2013,2681
"86",550,"AL","AK","SNP","Saint Paul Island","St Paul Island","Commercial Service",NA,2013,2676
"87",552,"AL","AK","TLT","Tuluksak","Tuluksak","Commercial Service",NA,2013,2641
"88",559,"AL","AK","4A2","Atmautluak","Atmautluak","Commercial Service",NA,2013,2500
"89",561,"AL","AK","SHH","Shishmaref","Shishmaref","General Aviation",NA,2013,2490
"90",565,"AL","AK","NUL","Nulato","Nulato","General Aviation",NA,2013,2442
"91",566,"AL","AK","RBY","Ruby","Ruby","General Aviation",NA,2013,2388
"92",567,"AL","AK","BTI","Kaktovik","Barter Island LRRS","General Aviation",NA,2013,2382
"93",569,"AL","AK","2A3","Larsen Bay","Larsen Bay","General Aviation",NA,2013,2336
"94",571,"AL","AK","AQT","Nuiqsut","Nuiqsut","General Aviation",NA,2013,2326
"95",576,"AL","AK","RSH","Russian Mission","Russian Mission","General Aviation",NA,2013,2272
"96",578,"AL","AK","WBB","Stebbins","Stebbins","General Aviation",NA,2013,2244
"97",579,"AL","AK","SMK","St Michael","St Michael","General Aviation",NA,2013,2233
"98",582,"AL","AK","VEE","Venetie","Venetie","General Aviation",NA,2013,2183
"99",583,"AL","AK","SHG","Shungnak","Shungnak","General Aviation",NA,2013,2151
"100",585,"AL","AK","KEB","English Bay","Nanwalek","General Aviation",NA,2013,2138
"101",586,"AL","AK","ATK","Atqasuk","Atqasuk Edward Burnell Sr Memorial","General Aviation",NA,2013,2126
"102",588,"AL","AK","KKA","Koyuk","Koyuk Alfred Adams","General Aviation",NA,2013,2118
"103",589,"AL","AK","AKI","Akiak","Akiak","General Aviation",NA,2013,2104
"104",593,"AL","AK","BTT","Bettles","Bettles","General Aviation",NA,2013,2079
"105",595,"AL","AK","ELI","Elim","Elim","General Aviation",NA,2013,2030
"106",597,"AL","AK","ADK","Adak (Naval) Station/Mitchell Field","Adak","General Aviation",NA,2013,2023
"107",598,"AL","AK","2C7","Shaktoolik","Shaktoolik","General Aviation",NA,2013,2022
"108",600,"AL","AK","PIZ","Point Lay","Point Lay LRRS","General Aviation",NA,2013,1999
"109",602,"AL","AK","AFM","Ambler","Ambler","General Aviation",NA,2013,1971
"110",605,"AL","AK","IGT","Nightmute","Nightmute","General Aviation",NA,2013,1942
"111",607,"AL","AK","4K5","Ouzinkie","Ouzinkie","General Aviation",NA,2013,1862
"112",608,"AL","AK","ORI","Port Lions","Port Lions","General Aviation",NA,2013,1860
"113",610,"AL","AK","WNA","Napakiak","Napakiak","General Aviation",NA,2013,1815
"114",611,"AL","AK","PGM","Port Graham","Port Graham","General Aviation",NA,2013,1806
"115",613,"AL","AK","6A8","Allakaket","Allakaket","General Aviation",NA,2013,1801
"116",614,"AL","AK","4KA","Tununak","Tununak","General Aviation",NA,2013,1791
"117",616,"AL","AK","LKK","Kulik Lake","Kulik Lake","General Aviation",NA,2013,1779
"118",617,"AL","AK","PKA","Napaskiak","Napaskiak","General Aviation",NA,2013,1764
"119",618,"AL","AK","ARC","Arctic Village","Arctic Village","General Aviation",NA,2013,1754
"120",619,"AL","AK","AGN","Angoon","Angoon","General Aviation",NA,2013,1734
"121",620,"AL","AK","BLG","Beluga","Beluga","General Aviation",NA,2013,1734
"122",621,"AL","AK","KAE","Kake","Kake","General Aviation",NA,2013,1723
"123",622,"AL","AK","KTS","Brevig Mission","Brevig Mission","General Aviation",NA,2013,1722
"124",625,"AL","AK","KAL","Kaltag","Kaltag","General Aviation",NA,2013,1645
"125",627,"AL","AK","GLV","Golovin","Golovin","General Aviation",NA,2013,1606
"126",628,"AL","AK","EDF","Anchorage","Elmendorf AFB","General Aviation",NA,2013,1602
"127",630,"AL","AK","OBU","Kobuk","Kobuk","General Aviation",NA,2013,1575
"128",631,"AL","AK","AKW","Klawock","Klawock","General Aviation",NA,2013,1550
"129",632,"AL","AK","GNU","Goodnews Bay","Goodnews","General Aviation",NA,2013,1540
"130",635,"AL","AK","HCA","Holy Cross","Holy Cross","General Aviation",NA,2013,1513
"131",639,"AL","AK","EII","Egegik","Egegik","General Aviation",NA,2013,1429
"132",644,"AL","AK","MYU","Mekoryuk","Mekoryuk","General Aviation",NA,2013,1365
"133",645,"AL","AK","HYL","Hollis","Hollis Clark Bay","General Aviation",NA,2013,1360
"134",646,"AL","AK","DEE","Deering","Deering","General Aviation",NA,2013,1341
"135",648,"AL","AK","T44","Kodiak","Trident Basin","General Aviation",NA,2013,1293
"136",651,"AL","AK","WMO","White Mountain","White Mountain","General Aviation",NA,2013,1270
"137",652,"AL","AK","IWK","Wales","Wales","General Aviation",NA,2013,1259
"138",658,"AL","AK","SXP","Sheldon Point","Sheldon Point","General Aviation",NA,2013,1199
"139",660,"AL","AK","KWF","Waterfall","Waterfall","General Aviation",NA,2013,1175
"140",665,"AL","AK","HUS","Hughes","Hughes","General Aviation",NA,2013,1092
"141",670,"AL","AK","ANV","Anvik","Anvik","General Aviation",NA,2013,962
"142",671,"AL","AK","PTU","Platinum","Platinum","General Aviation",NA,2013,961
"143",672,"AL","AK","AKK","Akhiok","Akhiok","General Aviation",NA,2013,955
"144",674,"AL","AK","TOG","Togiak Village","Togiak","General Aviation",NA,2013,943
"145",675,"AL","AK","WBQ","Beaver","Beaver","General Aviation",NA,2013,943
"146",680,"AL","AK","TER","Teller","Teller","General Aviation",NA,2013,927
"147",682,"AL","AK","SHX","Shageluk","Shageluk","General Aviation",NA,2013,921
"148",683,"AL","AK","KGX","Grayling","Grayling","General Aviation",NA,2013,920
"149",689,"AL","AK","FBK","Fairbanks/Ft Wainwright","Ladd AAF","General Aviation",NA,2013,882
"150",690,"AL","AK","9K2","Kokhanok","Kokhanok","General Aviation",NA,2013,881
"151",693,"AL","AK","PEC","Pelican","Pelican","General Aviation",NA,2013,850
"152",694,"AL","AK","KYU","Koyukuk","Koyukuk","General Aviation",NA,2013,847
"153",696,"AL","AK","Z78","Chignik","Chignik Bay","General Aviation",NA,2013,845
"154",702,"AL","AK","TKE","Tenakee Springs","Tenakee","General Aviation",NA,2013,798
"155",705,"AL","AK","CIK","Chalkyitsik","Chalkyitsik","General Aviation",NA,2013,770
"156",710,"AL","AK","PTH","Port Heiden","Port Heiden","General Aviation",NA,2013,730
"157",715,"AL","AK","KKU","Ekuk","Ekuk","General Aviation",NA,2013,701
"158",719,"AL","AK","KNW","New Stuyahok","New Stuyahok","General Aviation",NA,2013,672
"159",721,"AL","AK","UMT","Umiat","Umiat","General Aviation",NA,2013,652
"160",724,"AL","AK","PNP","Pilot Point","Pilot Point","General Aviation",NA,2013,644
"161",726,"AL","AK","PPC","Prospect Creek","Prospect Creek","General Aviation",NA,2013,631
"162",734,"AL","AK","GBH","Galbraith Lake","Galbraith Lake","General Aviation",NA,2013,582
"163",736,"AL","AK","SVS","Stevens Village","Stevens Village","General Aviation",NA,2013,578
"164",741,"AL","AK","EAA","Eagle","Eagle","General Aviation",NA,2013,551
"165",750,"AL","AK","EIL","Fairbanks","Eielson AFB","General Aviation",NA,2013,502
"166",754,"AL","AK","CRC","Circle","Circle City","General Aviation",NA,2013,483
"167",756,"AL","AK","8AK9","Tok","Tok 2","General Aviation",NA,2013,462
"168",758,"AL","AK","ELV","Elfin Cove","Elfin Cove","General Aviation",NA,2013,453
"169",765,"AL","AK","PEV","Perryville","Perryville","General Aviation",NA,2013,421
"170",769,"AL","AK","JZZ","Koliganek","Koliganek","General Aviation",NA,2013,405
"171",770,"AL","AK","63A","Petersburg","Lloyd R Roundtree Seaplane Facility","General Aviation",NA,2013,404
"172",776,"AL","AK","CJX","Crooked Creek","Crooked Creek","General Aviation",NA,2013,386
"173",777,"AL","AK","5NN","Nondalton","Nondalton","General Aviation",NA,2013,384
"174",779,"AL","AK","TCT","Takotna","Takotna","General Aviation",NA,2013,380
"175",783,"AL","AK","PBV","St. George","St George","General Aviation",NA,2013,372
"176",785,"AL","AK","KFP","False Pass","False Pass","General Aviation",NA,2013,371
"177",793,"AL","AK","7AK","Akutan","Akutan","General Aviation",NA,2013,340
"178",794,"AL","AK","CLP","Clarks Point","Clarks Point","General Aviation",NA,2013,339
"179",797,"AL","AK","KCL","Chignik Flats","Chignik Lagoon","General Aviation",NA,2013,330
"180",799,"AL","AK","9A3","Chuathbaluk","Chuathbaluk","General Aviation",NA,2013,327
"181",802,"AL","AK","IGG","Igiugig","Igiugig","General Aviation",NA,2013,320
"182",804,"AL","AK","SLQ","Sleetmute","Sleetmute","General Aviation",NA,2013,313
"183",808,"AL","AK","FSP","Nikolai","Nikolai","General Aviation",NA,2013,306
"184",809,"AL","AK","OUL","Nelson Lagoon","Nelson Lagoon","General Aviation",NA,2013,305
"185",812,"AL","AK","AJC","Chignik","Chignik","General Aviation",NA,2013,298
"186",819,"AL","AK","9Z8","Levelock","Levelock","General Aviation",NA,2013,292
"187",821,"AL","AK","AK78","Deadhorse","Badami","General Aviation",NA,2013,291
"188",823,"AL","AK","Z91","Birch Creek","Birch Creek","General Aviation",NA,2013,290
"189",825,"AL","AK","ENN","Nenana","Nenana Municipal","General Aviation",NA,2013,289
"190",827,"AL","AK","KYK","Karluk","Karluk","General Aviation",NA,2013,287
"191",829,"AL","AK","MHM","Lake Minchumina","Minchumina","General Aviation",NA,2013,284
"192",833,"AL","AK","1AK3","Cold Bay","Port Moller","General Aviation",NA,2013,275
"193",841,"AL","AK","RMP","Rampart","Rampart","General Aviation",NA,2013,248
"194",862,"AL","AK","IYS","Wasilla","Wasilla","General Aviation",NA,2013,208
"195",868,"AL","AK","KEK","Ekwok","Ekwok","General Aviation",NA,2013,202
"196",870,"AL","AK","51Z","Minto","Minto Al Wright","General Aviation",NA,2013,192
"197",871,"AL","AK","96Z","North Whale Pass","North Whale","General Aviation",NA,2013,189
"198",884,"AL","AK","SKW","Skwentna","Skwentna","General Aviation",NA,2013,170
"199",893,"AL","AK","WSB","Steamboat Bay","Steamboat Bay","General Aviation",NA,2013,163
"200",896,"AL","AK","84K","Meyers Chuck","Meyers Chuck","General Aviation",NA,2013,158
"201",900,"AL","AK","KCC","Coffman Cove","Coffman Cove","General Aviation",NA,2013,155
"202",902,"AL","AK","4Z7","Hyder","Hyder","General Aviation",NA,2013,154
"203",909,"AL","AK","9AK3","Tyonek","Nikolai Creek","General Aviation",NA,2013,150
"204",922,"AL","AK","TNC","Tin City","Tin City LRRS","General Aviation",NA,2013,142
"205",926,"AL","AK","KXA","Kasaan","Kasaan","General Aviation",NA,2013,139
"206",929,"AL","AK","UGB","Pilot Point","Ugashik Bay","General Aviation",NA,2013,135
"207",933,"AL","AK","AKA","Atka","Atka","General Aviation",NA,2013,131
"208",936,"AL","AK","LUR","Cape Lisburne","Cape Lisburne LRRS","General Aviation",NA,2013,128
"209",948,"AL","AK","ALZ","Lazy Bay","Alitak","General Aviation",NA,2013,121
"210",953,"AL","AK","TPO","Port Alsworth","Port Alsworth","General Aviation",NA,2013,117
"211",954,"AL","AK","MLY","Manley Hot Springs","Manley Hot Springs","General Aviation",NA,2013,116
"212",956,"AL","AK","UTO","Utopia Creek","Indian Mountain LRRS","General Aviation",NA,2013,116
"213",967,"AL","AK","DCK","Dahl Creek","Dahl Creek","General Aviation",NA,2013,109
"214",991,"AL","AK","19P","Port Protection","Port Protection","General Aviation",NA,2013,97
"215",1008,"AL","AK","4K0","Pedro Bay","Pedro Bay","General Aviation",NA,2013,90
"216",1014,"AL","AK","CZN","Chisana","Chisana","General Aviation",NA,2013,88
"217",1020,"AL","AK","IKO","Nikolski","Nikolski AS","General Aviation",NA,2013,86
"218",1022,"AL","AK","76AK","Delta Junction","Pogo Mine Airstrip","General Aviation",NA,2013,85
"219",1027,"AL","AK","CZF","Cape Romanzof","Cape Romanzof LRRS","General Aviation",NA,2013,81
"220",1031,"AL","AK","WSN","South Naknek","South Naknek Nr 2","General Aviation",NA,2013,79
"221",1039,"AL","AK","AK71","Lonely","Lonely AS","General Aviation",NA,2013,75
"222",1049,"AL","AK","UBW","Kuparuk","Ugnu-Kuparuk","General Aviation",NA,2013,71
"223",1056,"AL","AK","SRV","Stony River","Stony River 2","General Aviation",NA,2013,67
"224",1057,"AL","AK","EHM","Cape Newenham","Cape Newenham LRRS","General Aviation",NA,2013,66
"225",1060,"AL","AK","EXI","Excursion Inlet","Excursion Inlet","General Aviation",NA,2013,65
"226",1061,"AL","AK","A79","Chignik Lake","Chignik Lake","General Aviation",NA,2013,64
"227",1065,"AL","AK","TLJ","Takotna","Tatalina LRRS","General Aviation",NA,2013,63
"228",1066,"AL","AK","PAQ","Palmer","Palmer Municipal","General Aviation",NA,2013,61
"229",1078,"AL","AK","3AK5","Kenai","Drift River","General Aviation",NA,2013,57
"230",1091,"AL","AK","KWP","West Point","West Point Village","General Aviation",NA,2013,52
"231",1119,"AL","AK","A63","Twin Hills","Twin Hills","General Aviation",NA,2013,43
"232",1129,"AL","AK","SXQ","Soldotna","Soldotna","General Aviation",NA,2013,43
"233",1140,"AL","AK","5NK","Naknek","Naknek","General Aviation",NA,2013,40
"234",1147,"AL","AK","RDV","Red Devil","Red Devil","General Aviation",NA,2013,40
"235",1163,"AL","AK","CEM","Central","Central","General Aviation",NA,2013,36
"236",1171,"AL","AK","KMY","Moser Bay","Moser Bay","General Aviation",NA,2013,36
"237",1176,"AL","AK","KKB","Kitoi Bay","Kitoi Bay","General Aviation",NA,2013,35
"238",1180,"AL","AK","2AK6","Hogatza","Hog River","General Aviation",NA,2013,34
"239",1194,"AL","AK","WSJ","San Juan","San Juan /Uganik/","General Aviation",NA,2013,33
"240",1232,"AL","AK","WCR","Chandalar Lake","Chandalar Lake","General Aviation",NA,2013,28
"241",1239,"AL","AK","3T4","Tetlin","Tetlin","General Aviation",NA,2013,26
"242",1249,"AL","AK","5A8","Aleknagik","Aleknagik /New","General Aviation",NA,2013,25
"243",1257,"AL","AK","HRR","Healy","Healy River","General Aviation",NA,2013,24
"244",1259,"AL","AK","HYG","Hydaburg","Hydaburg","General Aviation",NA,2013,24
"245",1260,"AL","AK","KOY","Olga Bay","Olga Bay","General Aviation",NA,2013,24
"246",1276,"AL","AK","CKX","Chicken","Chicken","General Aviation",NA,2013,22
"247",1278,"AL","AK","GKN","Eureka","Gulkana","General Aviation",NA,2013,22
"248",1282,"AL","AK","KPR","Port Williams","Port Williams","General Aviation",NA,2013,22
"249",1296,"AL","AK","AK81","Amook Bay","Amook Bay","General Aviation",NA,2013,20
"250",1320,"AL","AK","SYA","Shemya","Eareckson AS","General Aviation",NA,2013,19
"251",1354,"AL","AK","AHP","Port Alexander","Port Alexander","General Aviation",NA,2013,16
"252",1356,"AL","AK","CXC","Chitina","Chitina","General Aviation",NA,2013,16
"253",1362,"AL","AK","KPB","Point Baker","Point Baker","General Aviation",NA,2013,16
"254",1363,"AL","AK","KPC","Port Clarence","Port Clarence CGS","General Aviation",NA,2013,16
"255",1374,"AL","AK","DM2","Diomede","Diomede","General Aviation",NA,2013,15
"256",1408,"AL","AK","ZNC","Nyac","Nyac","General Aviation",NA,2013,14
"257",1410,"AL","AK","5AK0","Trading Bay","Trading Bay Production","General Aviation",NA,2013,13
"258",1415,"AL","AK","FWL","Farewell","Farewell","General Aviation",NA,2013,13
"259",1416,"AL","AK","KQA","Akutan","Akutan","General Aviation",NA,2013,13
"260",1419,"AL","AK","MDO","Middleton Island","Middleton Island","General Aviation",NA,2013,13
"261",1429,"AL","AK","2K5","Telida","Telida","General Aviation",NA,2013,12
"262",1431,"AL","AK","A14","Portage Creek","Portage Creek","General Aviation",NA,2013,12
"263",1461,"AL","AK","FLT","Flat","Flat","General Aviation",NA,2013,11
"264",1474,"AL","AK","Z17","Ophir","Ophir","General Aviation",NA,2013,11
"265",1475,"AL","AK","2AK","Lime Village","Lime Village","General Aviation",NA,2013,10
"266",1480,"AL","AK","AK40","McGrath","Nixon Fork Mine","General Aviation",NA,2013,10
"267",1507,"AL","AK","9A8","Ugashik","Ugashik","General Aviation",NA,2013,9
"268",1508,"AL","AK","9AK2","Russian Mission","Kako","General Aviation",NA,2013,9
"269",1526,"AL","AK","ORT","Fairbanks North Star (Borough)","Northway","General Aviation",NA,2013,9
"270",1541,"AL","AK","CHP","Circle Hot Springs","Circle Hot Springs","General Aviation",NA,2013,8
"271",1645,"AL","AK","4AK","Livengood","Livengood Camp","General Aviation",NA,2013,5
"272",1649,"AL","AK","AK75","Candle","Candle 2","General Aviation",NA,2013,5
"273",1656,"AL","AK","D66","Delta Junction","Delta Junction","General Aviation",NA,2013,5
"274",1690,"AL","AK","57A","Tokeen","Tokeen","General Aviation",NA,2013,4
"275",1705,"AL","AK","CKU","Cordova","Cordova Municipal","General Aviation",NA,2013,4
"276",1720,"AL","AK","KPY","Port Bailey","Port Bailey","General Aviation",NA,2013,4
"277",1760,"AL","AK","46AK","Homer","Bear Cove Farm","General Aviation",NA,2013,3
"278",1761,"AL","AK","4AK1","Deadhorse","Inigok","General Aviation",NA,2013,3
"279",1781,"AL","AK","GSZ","Granite Mountain","Granite Mountain AS","General Aviation",NA,2013,3
"280",1816,"AL","AK","TKA","Talkeetna","Talkeetna","General Aviation",NA,2013,3
"281",1833,"AL","AK","A13","Anchorage","Bold","General Aviation",NA,2013,2
"282",1882,"AL","AK","KCR","Colorado Creek","Colorado Creek","General Aviation",NA,2013,2
"283",1893,"AL","AK","MOS","Elim","Moses Point","General Aviation",NA,2013,2
"284",1928,"AL","AK","4AK8","Napaimute","Napaimute Pioneer Airfield","General Aviation",NA,2013,1
"285",1931,"AL","AK","78K","Yes Bay","Yes Bay Lodge","General Aviation",NA,2013,1
"286",1939,"AL","AK","BYA","Boundary","Boundary","General Aviation",NA,2013,1
"287",76,"SO","AL","BHM","Birmingham","Birmingham-Shuttlesworth International","Primary","Small",2013,1334177
"288",118,"SO","AL","HSV","Huntsville","Huntsville International-Carl T Jones Field","Primary","Small",2013,505541
"289",159,"SO","AL","MOB","Mobile","Mobile Regional","Primary","Nonhub",2013,287661
"290",196,"SO","AL","MGM","Montgomery","Montgomery Regional (Dannelly Field)","Primary","Nonhub",2013,157958
"291",280,"SO","AL","DHN","Dothan","Dothan Regional","Primary","Nonhub",2013,48423
"292",556,"SO","AL","TCL","Tuscaloosa","Tuscaloosa Regional","General Aviation",NA,2013,2539
"293",568,"SO","AL","MSL","Muscle Shoals","Northwest Alabama Regional","General Aviation",NA,2013,2345
"294",642,"SO","AL","BFM","Mobile","Mobile Downtown","General Aviation",NA,2013,1387
"295",711,"SO","AL","ANB","Anniston","Anniston Regional","General Aviation",NA,2013,722
"296",733,"SO","AL","AUO","Auburn","Auburn University Regional","General Aviation",NA,2013,586
"297",864,"SO","AL","CQF","Fairhope","H. L. (Sonny) Callahan","General Aviation",NA,2013,206
"298",889,"SO","AL","JKA","Gulf Shores","Jack Edwards","General Aviation",NA,2013,166
"299",1083,"SO","AL","4R3","Jackson","Jackson Municipal","General Aviation",NA,2013,55
"300",1132,"SO","AL","CMD","Cullman","Cullman Regional-Folsom Field","General Aviation",NA,2013,42
"301",1216,"SO","AL","ASN","Talladega","Talladega Municipal","General Aviation",NA,2013,29
"302",1233,"SO","AL","EET","Alabaster","Shelby County","General Aviation",NA,2013,27
"303",1234,"SO","AL","EKY","Bessemer","Bessemer","General Aviation",NA,2013,27
"304",1273,"SO","AL","1A9","Prattville","Prattville - Grouby Field","General Aviation",NA,2013,22
"305",1324,"SO","AL","ALX","Alexander City","Thomas C Russell Field","General Aviation",NA,2013,18
"306",1343,"SO","AL","DCU","Mooresville","Pryor Field Regional","General Aviation",NA,2013,17
"307",1470,"SO","AL","SEM","Selma","Craig Field","General Aviation",NA,2013,11
"308",1535,"SO","AL","79J","Andalusia","South Alabama Regional at Bill Benton Field","General Aviation",NA,2013,8
"309",1536,"SO","AL","AIV","Aliceville","George Downer","General Aviation",NA,2013,8
"310",1595,"SO","AL","SCD","Sylacauga","Merkel Field Sylacauga Municipal","General Aviation",NA,2013,7
