game_id,description,image,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,thumbnail,year_published,artist,category,compilation,designer,expansion,family,mechanic,publisher,average_rating,users_rated
4401,"A card-game version of San Marco. Once again players are trying to gain influence in the districts of Venice.&#10;&#10;One player divides a set of cards in two piles, the other chooses who gets which pile. Cards give influence in districts, actions or negative points.&#10;&#10;",//cf.geekdo-images.com/images/pic48636.jpg,2,45,12,2,45,Canal Grande,45,//cf.geekdo-images.com/images/pic48636_t.jpg,2002,Jürgen Martens,"Card Game,Renaissance",NA,"Alan R. Moon,Aaron Weissblum",NA,"Admin: Better Description Needed!,Cities: Venice,Country: Italy",Set Collection,Adlung-Spiele,6.41501,534
4402,"Players hire explorers who must be sent on expeditions. Each explorer has different abilities, and each expedition has different requirements (the more difficult the expedition, the higher the reward in gold). Often it is necessary to use more than one explorer for an expedition.&#10;The first player to win a certain amount of gold wins the game.&#10;&#10;",//cf.geekdo-images.com/images/pic293818.jpg,4,30,10,2,30,Bayon,30,//cf.geekdo-images.com/images/pic293818_t.jpg,2002,Thomas Hammer,"Adventure,Card Game,Economic,Exploration",NA,Wolfgang Werner,NA,Country: Cambodia,"Card Drafting,Set Collection",Adlung-Spiele,5.57482,164
4405,"A game of quickly changing fortunes, where you try to climb the ladder of success by buying into wacky business opportunities (Rent-A-Monster, Kangaroo Airlines, Paint-On Socks, etc.) and hopefully selling them for a fortune.  (How little things have changed since...)&#10;&#10;Your net worth is kept track of using a slide rule of sorts, dubbed the &quot;ladder of success&quot;.  The first player to move into the Ritz by buying or winning steps on his ladder wins.  You can buy into up to four opportunities at once; when you land on another player's opportunity, you can attempt to &quot;bail him out&quot; of it by paying the bail out price and beating him on the dice.&#10;&#10;The &quot;Chance of a Lifetime&quot; circle is entered on doubles or by landing on an entry space; if you enter it, you may roll as often as you wish, hoping to land on the Big Deal space (which gives you 3 ladder steps) or another good space (where you sell your opportunities for varying profit).  Of course, the circle also includes bad spaces, so there is considerable risk...&#10;&#10;A few other spaces round out the board, giving you the opportunity to challenge other players (swapping a ladder step) and other things like that.&#10;&#10;The game is sort of a cross between Can't Stop and Monopoly.&#10;&#10;",//cf.geekdo-images.com/images/pic14194.jpg,4,90,8,2,90,Big Deal,90,//cf.geekdo-images.com/images/pic14194_t.jpg,1977,(Uncredited),Economic,NA,(Uncredited),NA,NA,"Betting/Wagering,Roll / Spin and Move,Stock Holding",Lakeside,5.33871,62
4413,"Set of three solitaire games in one box, none of which has very much to do with the movie &quot;Star Trek III.&quot;&#10;&#10;In &quot;The Sherwood Syndrome,&quot; the Enterprise crew must stop a renegade Federation sociologist who has set up a &quot;king of the world&quot; on a planet with medieval technology -- but they must do this *without* causing any further major disruptions to the planet's society. So you control them as they become the equivalent of Robin Hood and his merry men. Strange.&#10;&#10;In &quot;The Kobayashi Maru,&quot; you take the infamous final Starfleet Academy test and see how far you can get. You can measure yourself against either the standard version of the test, which can't be beaten, or against Kirk's reprogrammed version of the test, which can.&#10;&#10;In &quot;Free Enterpri$e,&quot; you as the Federation are competing with the Klingons for the allegiance of the Glista, a species obsessed with mercantile trade. You have two weeks to warp back and forth between the Glista worlds and out-trade the Klingons.&#10;&#10;Playing time is completely arbitrary; it will depend on which variety of which of these games you choose to play and how fast or methodically you choose to play it.&#10;&#10;",//cf.geekdo-images.com/images/pic58394.jpg,1,60,10,1,60,Star Trek III,60,//cf.geekdo-images.com/images/pic58394_t.jpg,1985,NA,"Adventure,Economic,Movies / TV / Radio theme,Science Fiction,Wargame",NA,"Greg Costikyan,John M. Ford,Doug Kaufman",NA,"Solitaire Games,Solitaire Wargames,Star Trek",NA,West End Games,5.92626,99
4421,"A day in public service - the usual horror. The colleagues in the town office are desperately trying to keep everyone working, in the tax office the civil servants are trying to avoid giving money to anybody and the ecologists in the environmental office can hardly accept the job office's plans to build even more plants.&#10;&#10;Of course everybody works as fast as possible, and the messengers are running for their life. That's no surprise, as all files have to be transported strictly through the official channels - all files?&#10;&#10;Well, maybe one or another player manages to speed up some files through less official channels. A telephone call here, a special delivery there, and in cases of emergency the consumption of dextrose drops increases rapidly. Main thing is to put things to file (&quot;ad acta&quot;) at the right time. But be cautious: Delayed files might get into the shredder ...&#10;&#10;Players lead the town hall, the tax- environment- or job-office and try to put their own dossiers to file at the time promising the highest score.&#10;&#10;",//cf.geekdo-images.com/images/pic99549.jpg,4,60,12,2,60,Ad Acta,60,//cf.geekdo-images.com/images/pic99549_t.jpg,2002,Sebastian Wagner,Card Game,NA,Andrea Meyer,NA,NA,Action Point Allowance System,BeWitched Spiele,6.19756,205
4424,"A timed version of Cranium, designed for two or more players to play cooperatively.&#10;&#10;Each player is dealt 4 cards depicting commonly known people, places, or objects. Another 8 cards are added to a common Play Pile. Players then take turns rolling a die to determine what type of clues can be given, starting the timer, selecting a card from their hand, and trying to get the other players to guess what is on that card as quickly as possible.&#10;&#10;The four types of clues that can be given to describe your cards are:&#10;&#10;    Cloodle - provide clues by drawing and doodling&#10;    Tongue-Tied - use alliteration to give as many clues as possible that start with a single letter&#10;    Soundstage - act out or provide sound effects for clues (but you can't use words!)&#10;    Tweener - give hints in the form &quot;It's bigger than blank but smaller than blank&quot;, using two objects that imply the answer&#10;&#10;&#10;&#10;&#10;After someone guesses the card in play, stop the timer and draw a new card from the Play Pile. The next player takes the die and repeats the same process, until either no cards are left or the available 15 minutes are gone.&#10;&#10;Players who are stuck on a particular card can choose to discard that card, but two new cards must then be added to the game instead - one card is placed directly in that player's hand, and a penalty card is added to the Play Pile.&#10;&#10;The game is won by all players if they can work together to guess all of the cards in play before the timer runs out.&#10;&#10;",//cf.geekdo-images.com/images/pic196086.jpg,8,20,13,2,20,Hoopla,20,//cf.geekdo-images.com/images/pic196086_t.jpg,2002,NA,"Card Game,Party Game,Real-time,Trivia,Word Game",NA,NA,NA,Cranium,"Acting,Co-operative Play,Hand Management,Paper-and-Pencil","Cranium, Inc.",6.28652,837
4425,"The theme is the battle of Waterloo, with one player controlling the French forces, and the other controlling the Anglo-Dutch-Prussian forces (this side can be played by two players acting in concert). Cards are used to move units, enhance unit strength in combat, or for other special effects (e.g., artillery fire). The game is diceless.&#10;&#10;This is the second in Phalanx's series of low complexity,  historical wargames (the first being the Third Edition of 'A House Divided'). Beautiful components and an emphasis on playability over simulation put this squarely in the category of &quot;wargames that might appeal to a euro-gamer.&quot;&#10;&#10;",//cf.geekdo-images.com/images/pic325387.jpg,3,120,12,2,120,Waterloo: Napoleon's Last Battle,120,//cf.geekdo-images.com/images/pic325387_t.jpg,2002,Franz Vohwinkel,"Card Game,Napoleonic,Wargame",NA,Alexander S. Berg,NA,NA,NA,"Mayfair Games,Phalanx Games B.V.",6.09361,366
4427,"An extended version of Cluedo, employing a more complicated system.  There are now 9 suspects and 9 weapons, plus the house gardens in which are placed four garden ornaments.&#10;&#10;Cards are number and color coded uniquely, murder cards are kept in special holders, and not all remaining clue cards are dealt to the players.&#10;&#10;Clues are collected by obtaining special counters, and referencing the number on this to a list of clues on the detective notes.  Some clues will inform players of a super clue, and give its location (e.g. &quot;There is a clue on the bird table&quot;).&#10;&#10;There are never any suggestions as in normal Cluedo/Clue; only accusations.&#10;&#10;",//cf.geekdo-images.com/images/pic325667.jpg,9,120,8,2,120,Super Cluedo Challenge,120,//cf.geekdo-images.com/images/pic325667_t.jpg,1986,NA,"Deduction,Murder/Mystery",NA,(Uncredited),NA,Cluedo,Paper-and-Pencil,"Damm / Egmont,Editrice Giochi,Waddington's Games, Inc.",5.84271,144
4436,"Cityfight: Modern Combat in the Urban Environment, is a super-detailed tactical simulation of post World War II combat in the urban environment. Placed in the role of platoon, company, or battalion commander, the player is faced with a wide variety of offensive or defensive missions to be carried out in a built-up area. The player must manage such specialized units as sappers, snipers, spotters, flamethrowers, and military police.&#10;&#10;Very limited intelligence with respect to the location of Enemy forces is a key characteristic of the game system. You can name it &quot;double-blind&quot; due to the fact that you just manage your own troops on your own map while your opponent is managing his forces on his own map. The opponent's forces have to be detected and then be marked with &quot;known/unknown&quot;-markers on your own map.&#10;&#10;Twenty scenarios include historical conflicts ranging from 1956 to 1979, and hypothetical situations involving NATO, Soviet, Chinese, and irregular forces.&#10;&#10;A comprehensive guide to scenario design is included.&#10;&#10;[Note: The actual name of the game, as given in the rules, is &quot;Cityfight.&quot; People often call it &quot;City-Fight&quot; because the name had to be hyphenated on the front of the box cover, and is also hyphenated on the box sides and on the maps where there is no such imperative.]&#10;&#10;Firefight is a similar game utilizing the same base system but without the many complications introduced in Cityfight.&#10;&#10;Game Scale:&#10;Game Turn: 20 seconds&#10;Hex: 55 feet / 16.67 meters&#10;Units: Individual Infantry &amp; Vehicles to Fireteams&#10;&#10;Game Inventory:&#10;Two identical 17 x 22&quot; four color mapsheets&#10;Five dual-side printed countersheets (1400 1/2&quot; counters - 567 combat &amp; 833 markers)&#10;Two 64-page Cityfight rulebook&#10;One 40-page Cityfight TO&amp;E, Charts &amp; Tables booklet&#10;One 8-page Charts &amp; Tables booklet&#10;Four 6-sided dice&#10;&#10;Solitaire Playability: Very Low&#10;Complexity Level: Variable&#10;Players: 2 or more&#10;Playing Time: 2-100 hours&#10;&#10;",//cf.geekdo-images.com/images/pic33526.jpg,3,360,12,2,360,Cityfight: Modern Combat in the Urban Environment,360,//cf.geekdo-images.com/images/pic33526_t.jpg,1979,Redmond A. Simonsen,"Modern Warfare,Wargame",NA,"Joseph M. Balkoski,Stephen A. Donaldson",NA,NA,"Action Point Allowance System,Dice Rolling,Hex-and-Counter,Secret Unit Deployment,Simultaneous Action Selection","SPI (Simulations Publications, Inc.)",6.78333,87
4437,"Based on tile designs from architect Antoni Gaud&iacute; (as the ones you can find along Passeig de Gr&agrave;cia in Barcelona), celebrating Gaud&iacute;'s International Year 2002.&#10;&#10;Players place up to 3 hexagonal tiles adjacent to the ones already played, matching the animals and colors shown. They get points if they complete their secret animal and/or color.&#10;&#10;Rules booklet contains the full rules in Catalan, Spanish, English, French, German, and Japanese.&#10;&#10;",//cf.geekdo-images.com/images/pic21040.jpg,6,30,8,2,30,Gaudí,30,//cf.geekdo-images.com/images/pic21040_t.jpg,2002,NA,Abstract Strategy,NA,"Oriol Comas i Coma,Jep Ferret",NA,"Catalonia,Cities: Barcelona (Spain)","Pattern Building,Tile Placement",CASA Consultors i Arquitectes SL,5.93786,70
4442,"From the Splotter website:&#10;Alexander, the Great King, will visit the Oracle! Apollo, God of Clairvoyance, help us! Why is this bad? Well, as high priest of the oracle, it is your craft to tell the future. No issues there. But it will be hard to tell only that part of the future that the King wants to hear. Because if the prediction displeases His Majesty, your own future may not look too bright...&#10;&#10;In Oraklos, players predict the future by throwing many-colored dice onto the table. By gazing at the resulting pattern, they simultaneously try to find elements of the prediction Alexander wants to hear. The fastest sweet talking soothsayer wins the game.&#10;&#10;Apart from the standard game, Oraklos contains 2 variants. Oraklos Junior, an easy variant, is suited for children from 6 years onwards and children will often beat the adults! Antipodes is a more difficult game, suitable for players from 10 years onwards. All variants take about 15 minutes.&#10;&#10;The playing material consists of 70 wish cards, 54 dice, 3 audience tokens, a measuring cord and rules in English, Dutch and German.&#10;&#10;",//cf.geekdo-images.com/images/pic154563.jpg,5,15,6,2,15,Oraklos,15,//cf.geekdo-images.com/images/pic154563_t.jpg,2002,"Herman Haverkort,Jacqueline Jannink",Real-time,NA,"Tamara Jannink,Joris Wiersinga",NA,NA,Pattern Recognition,Splotter Spellen,5.24048,127
4445,"In the prime of ancient Greece, the mightiest city states (Polis) of the peninsula compete bitterly for supremacy. This epoch is now evoked again in a playful manner. Each player represents one of the famous cities: Athens, Corinth, Thebes, or Sparta.  &#10;  &#10;In order to demonstrate power and strength, warriors and mighty heroes must be displayed in splendid parades. However, it is also valid to use the favor and gifts of the fickle Gods of Mount Olympus as skillfully and impressively as possible.  &#10;  &#10;Each City State card set has the same number and type of Warrior/Hero cards and God cards. Warrior/Hero cards have values between 2 and 10. Gods have certain abilities that can change the displayed values dramatically. In the game, each player must try to use his 25 cards as skillfully as possible in order to collect the most Fame points.  &#10;  &#10;The game extends over three Parades, each of which has three Marches. Fame scoring occurs after each March. The city with the lowest display loses Fame points. The two cities with the highest displays earn Fame points. Twice only during the entire game, each city may send emissaries to the mighty oracle at Delphi, in order to beg for her aid and, possibly, turn Fate in their favor.&#10;&#10;",//cf.geekdo-images.com/images/pic1008962.jpg,4,20,10,3,20,Delphi,20,//cf.geekdo-images.com/images/pic1008962_t.jpg,2002,Alexander Jung,"Bluffing,Card Game,Memory",NA,Günter Burkhardt,NA,NA,"Hand Management,Memory","Heidelberger Spieleverlag,Nürnberger-Spielkarten-Verlag",5.73034,89
4449,"The battle of Monmouth, June 28 1778, was the last major fight in the northern theater, during the American Revolutionary War, and largest one-day battle of the whole war, for the number of men involved. Gen. Washington attacks Lt. Gen Henry Clinton's rearguard at Monmouth Court House.  The legend of Molly Pitcher is generally associated with this battle.&#10;&#10;The game uses Wellington's Victory's system, modified for the American Revolution era. No cavalry charges and complex rules. The main aspects of the rules include unit facing, morale modified by casualties received, command control and fatigue due to hot temperatures during the battle. Victory is determined by eliminating enemy strength points and capturing the 4 crossroads in the battle area.&#10;&#10;Map terrain has five levels in increments of 30 feet, with each hex spanning 100 yards side to side. Each infantry unit represents a regiment (or several regiments for some Colonial units); each artillery unit represents a battery of two guns; each dragoon unit represents a regiment of cavalry. Turns represent 20 minutes of real time. Three scenarios are provided: one introductory involving the hedgerow battle, and two advanced covering Monmouth Courthouse and the Grand Battle.&#10;&#10;",//cf.geekdo-images.com/images/pic62546.jpg,2,180,12,2,180,The Battle of Monmouth,180,//cf.geekdo-images.com/images/pic62546_t.jpg,1982,Redmond A. Simonsen,"Age of Reason,American Revolutionary War,Wargame",NA,"David G. Martin,Leonard Millman,Eric Lee Smith",NA,"Magazine: Strategy & Tactics,Wellington's Victory system",Hex-and-Counter,"SPI (Simulations Publications, Inc.)",6.55556,99
4453,"The Game of Professional Basketball:&#10;&#10;Inside this box you'll find everything you need to recreate an entire professional season. Every player from every pro team is here, each one ready to play for you just the same way he did in the regular season. The only difference between STATIS PRO BASKETBALL and the real thing is that now YOU are the coach!&#10;&#10;YOU pick the starting line-ups, send in substitutes, and call the fast break and full-court press. YOU call the slowdown, take out players to rest for the final period...and much more!&#10;&#10;Every player in STATIS PRO BASKETBALL is statistically rated to display his real abilities in each of the following areas: Field Goal Shooting, Free Throw Shooting, Rebounding, Fouls, Foul Drawing, Blocking Shots, Stealing the Ball, Assists, Defense, and Stamina.&#10;&#10;Luck is a factor in every basketball game, and STATIS PRO BASKETBALL represents the effect of chance with a unique system of FAST ACTION CARDS that keep the game moving fast while at the same time allowing everything that takes place in a real game to occur.&#10;&#10;&#10;    Game Equipment:&#10;        Scorepad&#10;        Rules Folder&#10;        Mounted full-color Playing Board with Reference Charts &amp; Tables&#10;        Set of Fast Action Cards&#10;        Player Cards representing players of every pro team.&#10;    &#10;&#10;&#10;",//cf.geekdo-images.com/images/pic690318.jpg,2,90,12,1,90,Statis Pro Basketball,90,//cf.geekdo-images.com/images/pic690318_t.jpg,1972,"Jean Baer,Dave Dobyski,Kim Gromoll,Charles Kibler,Georgia Wilson","Card Game,Sports",NA,Jim Barnes,NA,"Sports Illustrated (Time, Inc) Line,Sports: Basketball",Simulation,"Avalon Hill,Midwest Research",6.93504,234
4454,"More of a simulation than a balanced game, Statis Pro   Football uses the AH Fast Action Card system. Individual players are rated for their ability to throw/catch/run, block, rush the passer, and several other ratings. You are the coach for your team, and choose from a selection of offensive or defensive moves (Inside Run, Short Pass or Blitz, Run No Key as examples) which affect the outcome, and then flip a deck of cards to work out the result. So if I call the right pass defense against your pass, it becomes harder to complete the pass, or a Run defense means your Run gets less yardage. But if I get it wrong, my defense may have no effect or even greatly increase your chances.&#10;&#10;The game rules cover pretty much every eventuality, but with all the modifiers, it can slow down when combinations happen. In particular turnovers or penalties can make it slow. And luck can be a factor. Get it all right and you still lose the ball, or concede the TD.&#10;&#10;The basic game comes with stats cards for every player in every team. Avalon Hill produced several years worth of cards for use with the game, which you could buy separately. And a strong team will overwhelm a weaker team. Strong offense generally pushes past a weak D and there's not a lot you can do except be lucky. But by picking evenly-matched teams, it does require some forethought to work your team to a score. It's best to include the endurance rules, which mean that some players must 'rest' before you can re-direct a play to them. This means cycling players and dealing with injuries makes tricky decisions for you.&#10;&#10;If you love American Football and know the players and enjoy stats, then Statis Pro Football is for you.&#10;&#10;",//cf.geekdo-images.com/images/pic56265.jpg,2,120,12,1,120,Statis Pro Football,120,//cf.geekdo-images.com/images/pic56265_t.jpg,1973,NA,Sports,NA,Jim Barnes,Statis Pro Football AFC/NFC Player Cards,Sports: American Football / Gridiron,NA,"Avalon Hill,Midwest Research",6.41687,335
4470,"Based on the fantasy Xanth novels by Piers Anthony.&#10;&#10;From the box: On Xanth... Anyone who doesn't believe in magic must reckon with the rainbow, which shows up only at a distance and retreats if anyone walks toward it. If one person stands still and another walks, the rainbow remains in place for the one and retreats for the other - simultaneously. It is one-sided, like a one-way path, invisible from the other side. That is obviously magic. - Piers Anthony&#10;&#10;Xanth, the magical, pun-filled world of Piers Anthony's fantasy novels, comes to life in this hilarious game. As one of many colorful characters, players must travel across land and sea in order to fulfill their wild and wacky quests. For 1 to 6 players, ages 12 to adult.&#10;&#10;Contents: 162 playing cards, 15 dice, 6 pawns, 12 chits, gameboard, rulebook, sorting tray.&#10;&#10;There are 3 card types used in the game, Chair Actors (Characters), Events/Encounters &amp; Quests. The majority are E/E cards. Only Character cards have colour illustrations, the others being monochrome or text only. A small errata sheet is included.&#10;&#10;Simple &amp; Easy Game&#10;Each player starts with 2 character cards and a Quest card (which determines their starting area on the map), with the character's Cunning &amp; Strength, plus a Talent - an extra rule or exception they can use, tying in to the character in the novels. &#10;Each turn starts by drawing an Event/Encounter card, playing it if it's a Disaster. Other E/E cards include objects to assist in some way, commonly in combat, hazards to play on other players, additional characters (mixed in from those not in play) etc., often limited by area (you have to get to some areas to activate some objects, for instance). &#10;If there is no Disaster, players move their pawn across the board (normally 2 areas, Characters, Event cards &amp; the area characteristics can modify this). The other players may then play Events or Creatures on them, possibly limited by the area. Characters can attempt to avoid encounters (roll dice under Cunning), or may fight (roll a die under Strength to cause a wound, repeat until one side loses). The specific encounter or creature may modify this, as can many E/E cards. &#10;Players start from scratch if their character is beaten, but can heal by use of certain cards or in certain areas. &#10;The first to complete their Quest wins.&#10;&#10;Still Simple &amp; Easy but Longer Game&#10;Same as before, but complete 2 or 3 Quests. This ties in to the 3 Quests set by the Magician Humphrey in the novels.&#10;&#10;Monaural (Solo) Game&#10;Same again, but work through the Quests deck until you are knocked out. hazards are drawn randomly instead of played by other players.&#10;&#10;Stereo (2-player) Game&#10;Same as the Monaural Game, the winner is the player who completes most Quests&#10;&#10;",//cf.geekdo-images.com/images/pic14460.jpg,6,180,12,1,180,Xanth,180,//cf.geekdo-images.com/images/pic14460_t.jpg,1991,Jael,"Exploration,Fantasy,Humor,Novel-based",NA,Mike Nystul,NA,NA,"Pick-up and Deliver,Roll / Spin and Move,Set Collection",Mayfair Games,4.96622,148
4471,"Fist of Dragonstones is a closed-fist, bidding game. Players try to outwit their opponents by using gold and magic coins to buy control of an ever-changing cast of enchanted character cards. Those characters' powers collect valuable Dragonstones; lend their magical powers; help foil other players, and convert Dragonstones into victory.&#10;For each character card, players choose the number of coins they want to bid by placing them in a closed fist. All players reveal their bets at the same time with the winner of the auction then gaining control of the card's powers. Depending on the card they may: win additional coins or Dragonstones; place spells on other players; or win scoring points.&#10;&#10;The Legend : &#10;Many, many years ago, an enchanted forest lay hidden between two great mountain ranges. The forest valley was home to several kingdoms whose rival princes battled with each other to unite the entire realm under one flag. To gain advantage, princes vied with each other to collect powerful magic amulets called Dragonstones.&#10;Like many royals, over time the princes began to prefer the comfort and safety of their fortified castles. Rather than risk their own lives by venturing out to search for these amulets, they paid handsome rewards to those who could bring them stones. The allure of the princes' wealth soon filled the enchanted forest with all manner of wizards, witches, dwarves, goblins, and many other enchanted creatures - all in pursuit of the magic Dragonstones.&#10;This enchanted land is now almost entirely lost to legend. Yet, at a cozy inn, in a small forgotten village, the memory of Dragonstones is kept alive by the inn's ancient proprietor. Even today, a nod from a knowing traveler may persuade him to recount some of the ancient tales. And if he takes a particular liking to you, he may bring out his own collection of magic stones, and challenge you to a simple game of luck and skill and a chance to grab your own Dragonstones!&#10;&#10;",//cf.geekdo-images.com/images/pic441579.jpg,6,45,8,3,45,Fist of Dragonstones,45,//cf.geekdo-images.com/images/pic441579_t.jpg,2002,"Cyrille Daujean,Julien Delval","Bluffing,Fantasy,Medieval",NA,"Bruno Faidutti,Michael Schacht",Drachenfaust: Der Illusionist,NA,"Auction/Bidding,Set Collection",Days of Wonder,6.17293,1977
4472,"Fast moving wargame based on the Allies greatest Airborne operation in September 1944, Operation Market-Garden.&#10;&#10;",//cf.geekdo-images.com/images/pic14182.jpg,2,180,12,2,180,Arnhem Bridge,180,//cf.geekdo-images.com/images/pic14182_t.jpg,1982,NA,"Wargame,World War II",NA,Ray D. Smith,NA,Cities: Arnhem,"Action Point Allowance System,Hex-and-Counter",Attactix Adventure Games,6.09836,61
4473,"Three in one game based on the last Days of Pompeii.&#10;&#10;In part one you'll have to buy real state and people who gone stay in the houses, shops and temples of the town.&#10;In the second part you move around town visiting people or the baths, go shopping, everything a normal roman citizen would do until...&#10;&#10;ULTIMA DEI!&#10;&#10;Mount Vesuvius erupts, slowly covering the town with hot lava. Your job is to get your people safely out of your property and out of the town before the burn to a crisp. magistrates are worth more than slaves. The player who safes the most people and survives the volcano himself, wins.&#10;&#10;Rules in German, cards in English, French, German, Dutch, Spanish and Italian&#10;&#10;",//cf.geekdo-images.com/images/pic451750.jpg,8,180,8,2,180,Pompeii: The Last Days,180,//cf.geekdo-images.com/images/pic451750_t.jpg,1989,Terry Anthony Associates,Ancient,NA,"M. Morgantini,S. Simonini",NA,"Ancient Rome,Cities: Pompeii","Area Movement,Roll / Spin and Move,Set Collection",Challenge sprl,5.57019,52
4475,"In Unexpected Treasures &ndash; a new edition of the 2002 release Fundst&uuml;cke &ndash; you are on a mission to collect old furniture from a bulk waste collection site and turn a profit by selling those pieces to paying customers. It's first come, first served. What's more, you are able to take only a few items home at a time &ndash; and you have to be wary of a thief who is out on the prowl just waiting to steal your collected goods from your home.&#10;&#10;",//cf.geekdo-images.com/images/pic1407704.jpg,6,30,13,3,30,Unexpected Treasures,30,//cf.geekdo-images.com/images/pic1407704_t.jpg,2002,"Harald Lieske,Maren Rache",NA,NA,Friedemann Friese,NA,NA,"Set Collection,Simultaneous Action Selection","2F-Spiele,Edge Entertainment,Rio Grande Games",6.26169,598
4477,"Station Manager is one of three Spiele aus Timbuktu games with a common train theme, along with Crazy Race and Mogul.  The boxes even fit together to make a common picture.&#10;&#10;Business is thriving in the switching yard. Players load freight from around the world onto their trains to fulfill certain orders from businessmen. If you are successful you gain profit, but beware. If someone fulfills the same order later in the game, they can steal away your profit. As more and more trains leave the switching yard, the closer you get to the end of the game.&#10;&#10;",//cf.geekdo-images.com/images/pic86974.jpg,4,30,8,2,30,Station Manager,30,//cf.geekdo-images.com/images/pic86974_t.jpg,2002,"Design/Main,Michael Schacht","Card Game,Trains",NA,Michael Schacht,NA,NA,Set Collection,Spiele aus Timbuktu,5.20377,106
4479,"Known in French as &quot;Le fortuniste&quot;, Ratrace is all about social success. You start out in life with $200, a Credit Card and a Business in the Working Class (outer ring of the board) and your objective is to get into the Middle Class and eventually High Society (inner ring). You'll have to face the usual: running your business, paying taxes, getting an education, joining social clubs and much more. You win by retiring with $100 000.&#10;&#10;With six players, all businesses in the game start owned; with less players, the Treasury owns the remaining businesses. When playing with two or three, each player can own two sets of businesses at start. The businesses sell various Status Symbols (required to move up in society) in addition to &quot;Other Purchases&quot;. Credit can be used to buy things --the cards have no limit, but whenever you land on a Credit Due square you must pay the card off entirely, plus 10% interest. Bankruptcy means you start all over again.&#10;&#10;You can win up to 3 different status symbols at a time, and you cannot buy one of a class lower than your own. Money comes in through a payoff/salary square on each class ring (and a few other windfall squares), and changes hands with purchases in a zero-sum fashion.&#10;&#10;To enter the Middle Class, you must have $500, three status symbols and either a Night School diploma or a Country Club membership. Or you can marry. Status symbols now beneath you must be auctioned off. High Society requires $3000, 3 status symbols, and either a University diploma or a Yacht Club membership. Or marry again. The risk with marriage is that you may end up on a Divorce square...&#10;&#10;From a Waddington ad dated 1976:  &quot;A macho game of Social Climbing - Do you have what it takes to be a success? Start with $200 in the working class. Then try to make it to the Middle Class and High Society. You'll have to face all of life's anxiety's along the way, but there is always the chance of making it rich! Get in the Ratrace! You'll bite and claw your way to the top. You'll never know when you might need the skills this game will teach you  -  in real life!&quot;&#10;&#10;",//cf.geekdo-images.com/images/pic701828.jpg,6,90,9,2,90,Ratrace,90,//cf.geekdo-images.com/images/pic701828_t.jpg,1967,NA,Economic,NA,Alfons Rubbens,NA,NA,"Auction/Bidding,Roll / Spin and Move","Canada Games,Gibsons Games,Grow Jogos e Brinquedos,Holdsworth Thos & Sons,TyR,Waddington's Games, Inc.,Yetem S.A.",5.61231,195
4485,"A very funny game where you equip a hotel, hire employees and try to get guests into your hotel. But they are waaaayy demanding, and some may ruin your equipment (like smash the mini-bar) or make your staff resign. And if you are unlucky, the army will choose your hotel for lodging a company (pays bad and destroys equipment).  But if you have all he wants, the sheik might just drop by.&#10;&#10;In the end the hotel with the best reputation wins.&#10;&#10;",//cf.geekdo-images.com/images/pic250501.jpg,4,120,10,3,120,Hotel Life,120,//cf.geekdo-images.com/images/pic250501_t.jpg,1989,NA,"Economic,Humor",NA,"Urs Hostettler,Hermann Wieland",NA,NA,NA,"Fata Morgana Spiele,Schweizer Hotelier-Verein",7.37112,116
4488,"Excerpted from publisher's blurb:&#10;&#10;&quot;The Age of the Locust is at hand. Foreboding shadows arise form the desert of endless storms. Dark magics stir in the silent streets, and words of ancient prophecy have come true; the Scarab Lords have come forth to wage war in the Heavens and on the Earth.&quot;&#10;&#10;Set in a gorgeous fantasy Egypt, this clever card game depicts the battle of dominance between two mythical Scarab Lords. To win, power must be gained in the areas of religion, military, and economics. Powerful sorcerers, mythical beasts, epic monuments, and grand armies all play key roles in the Scarab Lords card game.&#10;&#10;The non-collectible card game features two beautifully illustrated 30 card decks which players must customize to best fit their strategies.&#10;&#10;Sequel: Minotaur Lords&#10;&#10;",//cf.geekdo-images.com/images/pic299799.jpg,2,30,12,2,30,Scarab Lords,30,//cf.geekdo-images.com/images/pic299799_t.jpg,2002,"V. Shane Colclough,Thomas Denmark,Marko Djurdjević,Tobias Mannewitz,John Moriarty,Gregory Price,Brian Schomburg","Ancient,Card Game,Fantasy",NA,Reiner Knizia,NA,"Admin: Better Description Needed!,Fantasy Flight Silver Line Games","Area Control / Area Influence,Deck / Pool Building,Hand Management","Delta Vision Publishing,Edge Entertainment,Fantasy Flight Games,Fantasy Shop,Midgaard Games,Ubik",6.06659,1458
