id,name,normalized_name
71,School Bus,school bus
72,NEAR SCHOOL ENTRANCE,near school entrance
73,PLAYGROUND,playground
74,ROOM,room
75,STAIRCASE,staircase
76,Springfield Elementary School Hallway,springfield elementary school hallway
77,Springfield Elementary School Cafeteria,springfield elementary school cafeteria
78,MORTUARY,mortuary
79,Springfield Retirement Castle,springfield retirement castle
80,Grampa's Room at Springfield Retirement Castle,grampa room at springfield retirement castle
81,Outside Herman's Military Antiques,outside herman military antiques
82,Herman's Military Antiques,herman military antiques
83,Bart's Class In School,bart class in school
84,Bart's Treehouse,bart treehouse
85,CITY PARK,city park
86,ANOTHER NEIGHBORHOOD STREET,another neighborhood street
87,NEIGHBORHOOD STREET,neighborhood street
88,PARADING DOWN ELM STREET,parading down elm street
89,Base Of Tree Below Bart's Treehouse,base of tree below bart treehouse
90,Springfield Library,springfield library
91,Simpson Bathroom,simpson bathroom
92,Bathroom,bathroom
93,DEN,den
94,FOYER,foyer
95,Music Class,music class
96,LUNCHROOM,lunchroom
97,EXERCISE ROOM,exercise room
98,Lisa's Bedroom,lisa bedroom
99,Bridge,bridge
100,Simpson Master Bedroom,simpson master bedroom
101,Noiseland Arcade,noiseland arcade
102,Marge's Car,marge car
103,Springfield Elementary School Yard,springfield elementary school yard
104,JAZZ HOLE NIGHTCLUB,jazz hole nightclub
105,Simpson Front Yard,simpson front yard
106,Bob's RV Round-Up (Formerly RVs Я Us),bob rv round-up
107,INSIDE THE ULTIMATE BEHEMOTH,inside the ultimate behemoth
108,INSIDE CREDIT OFFICE,inside credit office
109,BACK OF THE RV LOT,back of the rv lot
110,Freeway,freeway
111,A NARROW DIRT ROAD,a narrow dirt road
112,Van,van
113,OVERHEAD SHOT OF VAN,overhead shot of van
114,NEAR THE EDGE OF CLIFF,near the edge of cliff
115,Marge and Lisa's Campsite,marge and lisa campsite
116,DEEP WOODS,deep woods
117,The Girls' Campsite,the girls campsite
118,THE WOODS,the woods
119,BASE OF WATERFALL,base of waterfall
120,BEAR CAVE,bear cave
121,SOMEWHERE IN WOODS,somewhere in woods
122,Forest,forest
123,A CAMPGROUND NEAR THE BEAR CAVE,a campground near the bear cave
124,A CLEARING IN THE WOODS,a clearing in the woods
125,THE DEEP WOODS,the deep woods
126,CREEK,creek
127,ALONG THE INTERSTATE,along the interstate
128,OUTSIDE THE BEAR CAVE,outside the bear cave
129,SCIENCE LABORATORY,science laboratory
130,Streets,streets
131,First Church of Springfield,first church of springfield
132,Sunday School Classroom,sunday school classroom
133,House,house
134,Movie Theatre,movie theatre
135,Theatre,theatre
136,Kwik-E-Mart,kwik-e-mart
137,Hallway,hallway
138,Various Street Locations,various street locations
139,Old Folk's Home,old folk home
140,Simpson Kitchen,simpson kitchen
141,"GIRDLES 'N' SUCH, FANCY LINGERIE",girdles n such fancy lingerie
142,THE JOCK SHOPPE,the jock shoppe
143,The Singing Sirloin,the singing sirloin
144,Barney's Bowlarama,barney bowlarama
145,Maggie's Bedroom,maggie bedroom
146,Simpson Foyer,simpson foyer
147,Coffee Shop,coffee shop
148,YARD,yard
149,Jacques's Apartment,jacques apartment
150,LUNCHROOM AT THE POWER PLANT,lunchroom at the power plant
151,Simpson Car,simpson car
152,PUBLIC MAILBOX,public mailbox
153,Master Bathroom,master bathroom
154,PARTY ROOM,party room
155,The Rusty Barnacle,the rusty barnacle
156,Springfield Elementary School Library,springfield elementary school library
157,LIBRARY NEAR XEROX MACHINE,library near xerox machine
158,LEWIS' HOUSE,lewis house
159,EXECUTIVE OFFICE,executive office
160,Rev. Lovejoy's Study,rev lovejoy study
161,AEROBIC STUDIO,aerobic studio
162,QUICK-E-MART,quick-e-mart
163,Kwik-E-Mart Parking Lot,kwik-e-mart parking lot
164,INTERSECTION,intersection
165,Barney's Apartment,barney apartment
166,Florence of Arabia,florence of arabia
167,Girlesque,girlesque
168,Foxy Boxing,foxy boxing
169,Club Mud,club mud
170,Ye Olde Off-Ramp Inn,ye olde off-ramp inn
171,Sapphire Lounge,sapphire lounge
172,UPSTAIRS HALLWAY,upstairs hallway
173,DOWNSTAIRS HALLWAY,downstairs hallway
174,Boys' Bathroom,boys bathroom
175,Girls' Bathroom,girls bathroom
176,Springfield Airport,springfield airport
177,CHARTER FLIGHT,charter flight
178,"TIRANA, ALBANIA AIRPORT",tirana albania airport
179,FRENCH COUNTRYSIDE,french countryside
180,Chateau Maison,chateau maison
181,FRENCH MOUNTAINSIDE,french mountainside
182,VINEYARDS,vineyards
183,PLUTONIUM ISOLATION MODULE,plutonium isolation module
184,Albanian Intelligence Headquarters,albanian intelligence headquarters
185,WINERY,winery
186,Country Road,country road
187,Town,town
188,Flanders Home,flanders home
189,SIDEWALK CAFE,sidewalk cafe
190,TV Studio,tv studio
191,Krusty's Apartment,krusty apartment
192,Springfield Police Station,springfield police station
193,Springfield Courthouse Steps,springfield courthouse steps
194,Courtroom,courtroom
195,Springfield High School Football Field,springfield high school football field
196,Sideshow Bob's Dressing Room,sideshow bob dressing room
197,TELEVISION STATION,television station
198,Jailhouse,jailhouse
199,Radio Station,radio station
200,Howard's Flowers,howard flowers
201,RUBBER BABY BUGGY BUMPER BABYSITTING SERVICE,rubber baby buggy bumper babysitting service
202,Chez Pierre Restaurant,chez pierre restaurant
203,Restaurant,restaurant
204,Motel Room,motel room
205,Ye Olde Off-Ramp Inn Motel Room,ye olde off-ramp inn motel room
206,PUBLIC PAY PHONE,public pay phone
207,INFIRMARY,infirmary
208,OUTSIDE BART'S WINDOW,outside bart window
209,Springfield County,springfield county
210,Simpson Hallway,simpson hallway
211,NEIGHBORHOOD,neighborhood
212,"CONTINENTAL CONGRESS, PHILADELPHIA",continental congress philadelphia
213,Simpson Basement,simpson basement
214,SNOWY STREET,snowy street
215,WINFIELD'S HOUSE,winfield house
216,Springfield,springfield
217,Jake's Unisex Hair Palace,jake unisex hair palace
218,Karl's Elegant Apartment,karl elegant apartment
219,"HUGE OLD HOUSE LIKE IN ""THE SHINING""",huge old house like in the shining
220,Living Room Of House,living room of house
221,Spacecraft,spacecraft
222,Space Ship,space ship
223,SPACESHIP GALLEY,spaceship galley
224,CHAMBER,chamber
225,Marge & Homer's Room,marge homer room
226,SUNNY SKY,sunny sky
227,SECURITY CLEARANCE BOOTH AT POWER PLANT,security clearance booth at power plant
228,COOLING TOWER,cooling tower
229,Other Part of Nuclear Plant,other part of nuclear plant
230,ROLLS ROYCE,rolls royce
231,Studio,studio
232,STADIUM,stadium
233,BALL PARK,ball park
234,PRESS BOX,press box
235,Parking Lot,parking lot
236,BALLPARK,ballpark
237,OWNER'S OFFICE,owner office
238,Highway,highway
239,Capital City,capital city
240,Hotel Room,hotel room
241,Capital City Cap Dome,capital city cap dome
242,CAP CITY DOME,cap city dome
243,Locker Room,locker room
244,CAP DOME,cap dome
245,Lovejoy Bedroom,lovejoy bedroom
246,Family Fun Center,family fun center
247,MINIATURE GOLF COURSE,miniature golf course
248,Library,library
249,LIBRARY STACKS,library stacks
250,Lake Springfield,lake springfield
251,TOP OF MOUNT SPRINGFIELD,top of mount springfield
252,MINIATURE GOLF,miniature golf
253,SIMPSON AND FLANDERS HOUSES,simpson and flanders houses
254,RICH NEIGHBORHOOD,rich neighborhood
255,SKID ROW,skid row
256,Springfield Plasma Center,springfield plasma center
257,PLASMA CENTER,plasma center
258,RESCUE MISSION,rescue mission
259,MISSION,mission
260,Dining Room,dining room
261,Springfield Speedway,springfield speedway
262,SPEEDWAY,speedway
263,SPEEDWAY STANDS,speedway stands
264,Springfield General Hospital,springfield general hospital
265,EMERGENCY WAITING AREA,emergency waiting area
266,HOSPITAL CORRIDOR,hospital corridor
267,HOSPITAL WARD,hospital ward
268,MARTIN PRINCE'S BACK YARD,martin prince back yard
269,Sidewalk,sidewalk
270,Springfield Street,springfield street
271,Springfield Gorge,springfield gorge
272,SPRINGFIELD HOSPITAL HALLWAY,springfield hospital hallway
273,GARAGE,garage
274,Springfield Elementary School Grounds,springfield elementary school grounds
275,Van Houten Home,van houten home
276,JANEY'S HOUSE,janey house
277,Itchy & Scratchy International,itchy scratchy international
278,I & S INTERNATIONAL,i s international
279,CHAIRMAN I & S INTERNATIONAL'S OFFICE,chairman i s international office
280,ART MUSEUM,art museum
281,Various,various
282,Springfield Museum,springfield museum
283,A BUSY DOWNTOWN STREET,a busy downtown street
284,SAME SCENE,same scene
947,ARAB CITY,arab city
285,THE OFFICE OF LIONEL HUTZ,the office of lionel hutz
286,The Law Office of Lionel Hutz,the law office of lionel hutz
287,Waiting Room Of Dr. Nick Riviera's Office,waiting room of dr nick riviera office
288,DREAMLIKE SUBURBAN SPRINGFIELD STREET,dreamlike suburban springfield street
289,Burns's Car,burns car
290,LARGE PUBLIC PARK,large public park
291,"GLASS-ENCLOSED CONSULTATION ROOM (LIKE IN ""L.A. LAW"")",glass-enclosed consultation room
292,GLASS BOOTH,glass booth
293,Burns's Living Room,burns living room
294,The Happy Sumo,the happy sumo
295,THE HAPPY SUMO CORRIDOR,the happy sumo corridor
296,TATAMI ROOM,tatami room
297,Hospital,hospital
298,Bedroom,bedroom
299,FLANDERS DOOR,flanders door
300,SIDE OF THE HIGHWAY,side of the highway
301,JAIL CELLBLOCK,jail cellblock
302,Jail,jail
303,View Out Barney's Window,view out barney window
304,Barney's Car,barney car
305,Police Captain's Office,police captain office
306,Dr. Hibbert's Office,dr hibbert office
307,Springfield High School,springfield high school
308,Boy's Bathroom,boy bathroom
309,DETENTION HALL,detention hall
310,HOMER'S HOUSE,homer house
311,GUIDANCE COUNSELOR'S OFFICE,guidance counselor office
312,Shelbyville High School,shelbyville high school
313,Marge's Bedroom,marge bedroom
314,MARGE'S HOUSE,marge house
315,Limo,limo
316,Springfield High School Gym,springfield high school gym
317,Inspiration Point,inspiration point
318,FOOT MOUNT SINAI,foot mount sinai
319,Sunday School,sunday school
320,Grocery Store,grocery store
321,QUICKIE MART,quickie mart
322,DEPT. OF MOTOR VEHICLES,dept of motor vehicles
323,Selma's Car,selma car
324,Football Field,football field
325,Patty and Selma's Apartment,patty and selma apartment
326,Hallway Outside Selma And Patty's Apt.,hallway outside selma and patty apt
327,SPRINGFIELD REVOLVING RESTAURANT,springfield revolving restaurant
328,Movie Theater,movie theater
329,Apartment,apartment
330,SPRINGFIELD JEWELRY STORE,springfield jewelry store
331,CORPORATE HEADQUARTERS,corporate headquarters
332,Aztec Theater,aztec theater
333,Carnival Grounds,carnival grounds
334,Hospital Room,hospital room
335,Shelbyville Orphanage,shelbyville orphanage
336,Powell Estate,powell estate
337,Michigan Highway,michigan highway
338,Mansion,mansion
339,ESTATE GROUNDS,estate grounds
340,Powell Motors Corporate Headquarters,powell motors corporate headquarters
341,POWELL SHOWROOM THEATRE,powell showroom theatre
342,SHOWROOM THEATRE,showroom theatre
343,CANINE COLLEGE,canine college
344,Simply Shoes,simply shoes
345,SIMPY SHOES,simpy shoes
346,SPRINGFIELD STARDUST BALLROOM,springfield stardust ballroom
347,Ice Cream Parlor,ice cream parlor
348,Beach,beach
349,Grandma's World,grandma world
350,Discount Lion Safari,discount lion safari
351,Cemetery,cemetery
352,Taxi,taxi
353,Lake,lake
354,Amusement Park,amusement park
355,Casino,casino
356,PLATO'S REPUBLIC,plato republic
357,Home,home
358,Mt. Splashmore,mt splashmore
359,TOP OF H 2 WHOA!,top of h 2 whoa
360,H 2 WHOA! TUBE,h 2 whoa tube
361,CONTROL ROOM,control room
362,HIGH SCHOOL ART CLASS,high school art class
363,Young Marge's Bedroom,young marge bedroom
364,SPRINGFIELD COMMUNITY COLLEGE REGISTRATION,springfield community college registration
365,COMMUNITY COLLEGE REGISTRATION,community college registration
366,Professor Lombardo's Class,professor lombardo class
367,Community College Painting Studio,community college painting studio
368,OLD ARMORY HALL,old armory hall
369,ENGLISH COUNTRY MANOR,english country manor
370,SPRINGFIELD ART MUSEUM,springfield art museum
371,Elementary - Bart's Classroom,elementary - bart classroom
372,Museum,museum
373,SIMPSON HOUSE - BASEMENT STAIRCASE,simpson house - basement staircase
374,Apartment Building,apartment building
375,Train Station,train station
376,CHURCH FOYER,church foyer
377,Mountain Road,mountain road
378,CAFE,cafe
379,RETREAT,retreat
380,Retreat Cabin,retreat cabin
381,Supermarket,supermarket
382,Dormitory Cabin,dormitory cabin
383,Catfish Lake,catfish lake
384,Simpson Cabin,simpson cabin
385,School Bus Garage,school bus garage
386,BAIT SHOP,bait shop
387,Springfield Convention Center,springfield convention center
388,Krusty Burger,krusty burger
389,Bouvier House,bouvier house
390,QUIK-E-MART,quik-e-mart
391,Springfield Bank,springfield bank
392,Beauty Parlor,beauty parlor
393,MRS. GLICK'S HOUSE,mrs glick house
394,WORLD WORLD I BATTLEFIELD,world world i battlefield
395,GLICK HOUSE,glick house
396,The Android's Dungeon & Baseball Card Shop,the android dungeon baseball card shop
397,HILL NEAR NUCLEAR POWER PLANT,hill near nuclear power plant
398,Bloodmobile,bloodmobile
399,BACK OF BLOODMOBILE,back of bloodmobile
400,Burns's Private Fronton,burns private fronton
401,CORNER MAILBOX,corner mailbox
402,Post Office,post office
403,SMITHERS' OFFICE,smithers office
404,Burns's Study,burns study
405,Plunderer Pete's,plunderer pete
406,New Bedlam Rest Home for the Emotionally Interesting,new bedlam rest home for the emotionally interesting
407,Kearny's House,kearny house
408,Krusty's House,krusty house
409,SPRINGFIELD JAIL,springfield jail
410,Evergreen Terrace,evergreen terrace
411,Bank,bank
412,Springfield National Forest,springfield national forest
413,VETERANS OF POPULAR WARS HALL,veterans of popular wars hall
414,Hall,hall
415,LEGION,legion
416,Airplane,airplane
417,Cockpit,cockpit
418,Cabin,cabin
419,Airport,airport
420,Hotel,hotel
421,Elevator,elevator
422,White House,white house
423,Bureau of Engraving and Printing,bureau of engraving and printing
424,NAT'L AIR AND SPACE MUSEUM,natl air and space museum
425,Washington Monument,washington monument
426,CAPITAL,capital
427,Washington D.C.,washington dc
428,W.B. HOWE MEMORIAL,wb howe memorial
429,Lincoln Memorial,lincoln memorial
430,Jefferson Memorial,jefferson memorial
431,CAPITAL BUILDING,capital building
432,Kennedy Center,kennedy center
433,SENATOR'S OFFICE,senator office
434,Kennedy Center Ballroom,kennedy center ballroom
435,FLANDERS' YARD,flanders yard
436,Store,store
437,KARATE SCHOOL,karate school
438,Leftorium,leftorium
439,Bus Stop,bus stop
440,ROAD ON THE WAY TO SCHOOL,road on the way to school
441,Bart's Classroom,bart classroom
442,Springfield Elementary School Bus Stop,springfield elementary school bus stop
443,"THE ""AH FUDGE!"" CHOCOLATE FACTORY IN SHELBYVILLE",the ah fudge chocolate factory in shelbyville
444,CHOCOLATE FACTORY ORIENTATION ROOM,chocolate factory orientation room
445,"Ah, Fudge! Chocolate Factory",ah fudge chocolate factory
446,Legitimate Businessman's Social Club,legitimate businessman social club
447,Club,club
448,PIZZA DELIVERY TRUCK,pizza delivery truck
449,Downtown Springfield,downtown springfield
450,Deathhouse,deathhouse
451,Springfield Prison,springfield prison
452,DEATH CHAMBER,death chamber
453,SPRINGFIELD COUNTY JAIL,springfield county jail
454,Skinner's Garage,skinner garage
455,Skinner Home,skinner home
456,Courthouse Steps,courthouse steps
457,Homer's Workstation,homer workstation
458,Stop 'n Go Gas Station,stop n go gas station
459,RANDOM SHOTS OF SPRINGFIELD NUCLEAR POWER PLANT,random shots of springfield nuclear power plant
460,Shelbyville Nuclear Power Plant,shelbyville nuclear power plant
461,Basketball Court,basketball court
462,KRUSTY THE CLOWN SHOW,krusty the clown show
463,Backstage,backstage
464,BACKSTAGE AT THE KRUSTY SHOW,backstage at the krusty show
465,MISS PENNYCANDY'S OFFICE,miss pennycandy office
466,PENNYCANDY'S OFFICE,pennycandy office
467,Krusty's Dressing Room,krusty dressing room
468,Lower East Side of Springfield,lower east side of springfield
469,Yeshiva Classroom,yeshiva classroom
470,Krustofsky Home,krustofsky home
471,GROSSINGERS,grossingers
472,Downtown Street,downtown street
473,Bus Station,bus station
474,Rabbi Krustofsky's Bedroom,rabbi krustofsky bedroom
475,Rev. Lovejoy's Office,rev lovejoy office
476,Temple Beth Springfield,temple beth springfield
477,RABBI'S OFFICE,rabbi office
478,YIDDLE'S SHOP,yiddle shop
479,Temple,temple
480,Krusty's Office,krusty office
481,Izzy's Deli,izzy deli
482,TEMPLE HALLWAY,temple hallway
483,STEAMBATH,steambath
484,Gammill's Home,gammill home
485,KRUSTY SET,krusty set
486,MARRAKESH,marrakesh
487,BAZAAR AREA,bazaar area
488,CAMEL STALL,camel stall
489,MARRAKESH AIRPORT,marrakesh airport
490,Simpsons Store,simpsons store
491,Record Store,record store
492,Spaceship,spaceship
493,Springfield Town Square,springfield town square
494,AERIAL VIEW OF SPRINGFIELD,aerial view of springfield
495,Main Street,main street
496,Marvin Monroe's Office,marvin monroe office
497,SECRET PASSAGEWAY,secret passageway
498,SPRINGFIELD ELEMENTARY AUDITORIUM,springfield elementary auditorium
499,King Toot's Music Store,king toot music store
500,Phineas Q. Butterfat's 5600 Flavors Ice Cream Parlor,phineas q butterfat 5600 flavors ice cream parlor
501,PET SHOP,pet shop
502,PONY RANCH,pony ranch
503,Grateful Gelding Stables,grateful gelding stables
504,EMPLOYEE CREDIT UNION,employee credit union
505,VHS Village,vhs village
506,Fabrizio's Salon,fabrizio salon
507,NATIONAL FATHERHOOD INSTITUTE,national fatherhood institute
508,Dr. Hibbert's Waiting Room,dr hibbert waiting room
509,SOAPBOX DERBY TRACK,soapbox derby track
510,Wooded Area,wooded area
511,Flaming Moe's,flaming moe
512,Tipsy McStagger's Research Lab,tipsy mcstagger research lab
513,SPRINGFIELD BUS TERMINAL,springfield bus terminal
514,THE ARISTOCRAT,the aristocrat
515,Moe's Bedroom,moe bedroom
516,Walnut Street,walnut street
517,Burns's Private Bathroom,burns private bathroom
518,Meeting Room,meeting room
519,The Land of Chocolate,the land of chocolate
520,FUN CENTER,fun center
521,FREE GAME CASTLE,free game castle
522,Grampa's House,grampa house
523,Jewelry Store,jewelry store
524,WEDDING CHAPEL,wedding chapel
525,Chapel,chapel
526,Darkened Room,darkened room
527,Olde Springfield Towne,olde springfield towne
528,YE OLD CANDLEMAKER SHOP,ye old candlemaker shop
529,Suburban Home,suburban home
530,Pitiless Pup Attack Dog School,pitiless pup attack dog school
531,Gulp 'N' Blow,gulp n blow
532,Warehouse,warehouse
533,Barber Shop,barber shop
534,Dance Studio,dance studio
535,Wall E. Weasel's,wall e weasel
536,Springfield Elementary School Back Field,springfield elementary school back field
537,Well,well
538,Wee Monsieur,wee monsieur
539,Security Station,security station
540,Springfield Public Library,springfield public library
541,The Gilded Truffle Restaurant,the gilded truffle restaurant
542,SOUTH PACIFIC ISLAND,south pacific island
543,LIVING ROOM IN FRANCE,living room in france
544,Mt. Springfield,mt springfield
545,Nick's Bowling Shop,nick bowling shop
546,THE OTHER NICKS,the other nicks
547,Springfield Memorial Bridge,springfield memorial bridge
548,Marge's Station Wagon,marge station wagon
549,TRAFFIC COPTER,traffic copter
550,SMOKE FILLED ROOM,smoke filled room
551,PRESS CONFERENCE,press conference
552,Patty and Selma's Car,patty and selma car
553,Rancho Relaxo,rancho relaxo
554,Patty and Selma's Bedroom,patty and selma bedroom
555,HAIR SALON,hair salon
556,Patty and Selma's Apartment Building,patty and selma apartment building
557,Marge's Train,marge train
558,Springfield Elementary - Bart's Classroom,springfield elementary - bart classroom
559,Edna's Apartment,edna apartment
560,Lovejoy Home,lovejoy home
561,Theater,theater
562,SPRINGFIELD TOWERS,springfield towers
1232,London,london
563,MILLIONAIRE'S CLUB,millionaire club
564,Baseball Card Show,baseball card show
565,Woods,woods
566,SOUTHERN MANSION,southern mansion
567,NIGHT CLUB,night club
568,BALL FIELD,ball field
569,SPRINGFIELD SUBURBS,springfield suburbs
570,Springfield City Jail,springfield city jail
571,Springfield Mystery Spot,springfield mystery spot
572,SOFTBALL DIAMOND,softball diamond
573,Mrs. Krabappel's Classroom,mrs krabappel classroom
574,Miss Hoover's Classroom,miss hoover classroom
575,Iowa Non-International Airport,iowa non-international airport
576,National Testing Center,national testing center
577,Springfield Elementary School Psychologist's Office,springfield elementary school psychologist office
578,DREAM CLOUD,dream cloud
579,Li'l Ludwig's Music School,lil ludwig music school
580,WINFIELD RESIDENCE,winfield residence
581,Squad Car,squad car
582,Who's To Know Motel,who to know motel
583,Police Car,police car
584,Fleeing Car,fleeing car
585,Warehouse District,warehouse district
586,OUTDOOR PARKING LOT,outdoor parking lot
587,Alley,alley
588,Teachers' Lounge,teachers lounge
589,DETENTION ROOM,detention room
590,Newsroom,newsroom
591,The Krusty the Clown Show,the krusty the clown show
592,Springfield Animal Hospital,springfield animal hospital
593,Animal Hospital,animal hospital
594,Springfield Barber College,springfield barber college
595,Dog Pound,dog pound
596,Springfield Googolplex Theatres,springfield googolplex theatres
597,MOVIE THEATRE #1,movie theatre 1
598,MOVIE THEATRE #6,movie theatre 6
599,COUNTRY BAR,country bar
600,The Beer -N- Brawl,the beer -n- brawl
601,HOSPITAL OPERATING ROOM,hospital operating room
602,TRAILER PARK,trailer park
603,KUDD RADIO STATION,kudd radio station
604,The Corpulent Cowboy,the corpulent cowboy
605,Recording Studio,recording studio
606,Lurleen's Trailer,lurleen trailer
607,LURLEEN'S DRESSING ROOM,lurleen dressing room
608,AWARDS SHOW SET,awards show set
609,Prison Gate,prison gate
610,Sideshow Mel's Apartment,sideshow mel apartment
611,RECEPTION HALL,reception hall
612,Shelbyville Falls Hotel,shelbyville falls hotel
613,Shelbyville Hotel Suite,shelbyville hotel suite
614,Springfield Coliseum,springfield coliseum
615,COLISEUM,coliseum
616,CONCERT ARENA,concert arena
617,Arena,arena
618,EXT. SCHOOL BUS STOP,ext school bus stop
619,TIRE YARD,tire yard
620,Spinal Tap Tour Bus,spinal tap tour bus
621,SPINAL TOUR BUS,spinal tour bus
622,Department of Motor Vehicles,department of motor vehicles
623,SERPENTINE COURSE,serpentine course
624,Springfield Elementary School Parking Lot,springfield elementary school parking lot
625,Simpson Garage,simpson garage
626,TESTING COURSE,testing course
627,POOL,pool
628,MARTIN'S ROOM,martin room
629,Milhouse's Bedroom,milhouse bedroom
630,St. Jerome's Catholic School,st jerome catholic school
631,MEDICAL TESTING AREA,medical testing area
632,Testing Area,testing area
633,HOBO JUNGLE,hobo jungle
634,HERB'S ESTATE,herb estate
635,Powell Motors Showroom,powell motors showroom
636,Springfield Civic Center,springfield civic center
637,TRAIN YARD,train yard
638,Train,train
639,Furniture Store,furniture store
640,BABY EXPO,baby expo
641,Kremlin,kremlin
642,Simpson,simpson
643,Springfield Elementary School Bell Tower,springfield elementary school bell tower
644,FRONT HALLWAY,front hallway
645,Kamp Krusty,kamp krusty
646,Club House,club house
647,CAMP MESS HALL,camp mess hall
648,Mr. Black's Cabin,mr black cabin
649,Bunk House,bunk house
650,CENTER COURT WIMBLEDON,center court wimbledon
651,NATURE TRAIL,nature trail
652,ARTS & CRAFTS CENTER,arts crafts center
653,Audience,audience
654,FAT KIDS' COMPOUND,fat kids compound
655,Springfield Community Center,springfield community center
1233,England,england
656,REHEARSAL ROOM,rehearsal room
657,Day Care Center,day care center
658,COMMUNITY CENTER,community center
659,Alleyway,alleyway
660,WOMB,womb
661,FRONT YARD,front yard
662,Spookhouse,spookhouse
663,Caricaturist's Booth,caricaturist booth
664,Carnival,carnival
665,Hotel Ballroom,hotel ballroom
666,Beauty Salon,beauty salon
667,SALON,salon
668,Blimp,blimp
669,Springfield Wax Museum,springfield wax museum
670,SPRINGFIELD DOCK,springfield dock
671,SPRINGFIELD MILITARY BASE,springfield military base
672,Helicopter,helicopter
673,PARADE GROUNDS,parade grounds
674,COLLEGE FOOTBALL GAME,college football game
675,Mayor's Office,mayor office
676,House Of Evil,house of evil
677,Field,field
678,Malibu Stacey Doll House,malibu stacey doll house
679,Springfield Harbor,springfield harbor
680,Dock,dock
681,Ship,ship
682,SKULL ISLAND,skull island
683,Island,island
684,JUNGLE,jungle
685,GIANT WALL,giant wall
686,A SPRINGFIELD THEATER,a springfield theater
687,ANOTHER THEATER,another theater
688,EMPIRE STATE BUILDING,empire state building
689,BIPLANE,biplane
690,PET CEMETERY,pet cemetery
691,Space,space
692,STARSHIP ENGINE ROOM,starship engine room
693,CHIPPENDALE-TYPE DANCE CLUB,chippendale-type dance club
694,Homer's Living Room,homer living room
695,SPRINGFIELD ELEMENTARY SCHOOLYARD,springfield elementary schoolyard
696,RESTAURANT PARKING LOT,restaurant parking lot
697,The Spruce Caboose,the spruce caboose
698,Grampa's Car,grampa car
699,Las Vegas,las vegas
700,Las Vegas Hotel Stage show,las vegas hotel stage show
701,Krustylu Studios,krustylu studios
702,WINFIELD AND SIMPSON HOUSES,winfield and simpson houses
703,WINFIELD BASEMENT,winfield basement
704,Suburban House,suburban house
705,POWERS HOUSE,powers house
706,Two Guys from Kabul,two guys from kabul
707,The Frying Dutchman,the frying dutchman
708,Courthouse,courthouse
709,HAWAIIAN ISLAND,hawaiian island
710,Big Top,big top
711,Used Car Lot,used car lot
712,Car Show,car show
713,Condominium Complex,condominium complex
714,MC MAHON AND TATE ADVERTISING AGENCY,mc mahon and tate advertising agency
715,Agency,agency
716,WOMAN'S HOUSE,woman house
717,Mountain,mountain
718,WIDOW'S PEAK TURNOFF,widow peak turnoff
719,Truck,truck
720,Small Apartment,small apartment
