id,name,normalized_name,gender
211,Kent Brockman,kent brockman,m
208,Apu Nahasapeemapetilon,apu nahasapeemapetilon,m
165,Lenny Leonard,lenny leonard,m
170,Carl Carlson,carl carlson,m
153,Sideshow Bob,sideshow bob,m
119,Ralph Wiggum,ralph wiggum,m
144,Jimbo Jones,jimbo jones,m
192,Agnes Skinner,agnes skinner,f
145,Kearney Zzyzwicz,kearney zzyzwicz,m
146,DOLPH,dolph,m
214,Judge Snyder,judge snyder,m
163,Jacques,jacques,m
124,Salesman,salesman,m
118,Woman,woman,f
121,Rod Flanders,rod flanders,m
183,Manager,manager,m
111,Bleeding Gums Murphy,bleeding gums murphy,m
123,Cowboy Bob,cowboy bob,m
112,Jacqueline Bouvier,jacqueline bouvier,f
171,Waiter,waiter,m
187,Gulliver Dark,gulliver dark,m
197,Cesar,cesar,m
120,Stan,stan,m
115,Cashier,cashier,m
191,Krusty Doll,krusty doll,m
213,Lawyer,lawyer,m
194,Mother,mother,f
217,Foreperson,foreperson,NA
219,Merchandiser #1,merchandiser 1,NA
220,Merchandiser #3,merchandiser 3,NA
221,Kbbl Weatherman,kbbl weatherman,NA
224,Screener,screener,NA
225,Worker One,worker one,NA
226,Florist,florist,NA
227,Lucille Botzcowski,lucille botzcowski,NA
228,Maitre D',maitre d,NA
229,Doofy,doofy,NA
230,U-Squeal Operator,u-squeal operator,NA
231,Tv Reporter,tv reporter,NA
233,Bart's Voice,barts voice,NA
234,Krabappel's Mouth,krabappels mouth,NA
235,GRANDMA,grandma,NA
236,Nurse Farrell,nurse farrell,NA
241,Entire Town,entire town,NA
242,Thomas Jefferson,thomas jefferson,NA
243,John Adams,john adams,NA
244,Samuel Chase,samuel chase,NA
245,Roger Sherman,roger sherman,NA
246,Benjamin Franklin,benjamin franklin,NA
247,Tv Host,tv host,NA
248,Tv Contestant,tv contestant,NA
249,Good-looking Man,good-looking man,NA
250,Dr. H. Boyle,dr h boyle,NA
251,Mr. Winfield,mr winfield,NA
252,Mourners,mourners,NA
253,Other Runner,other runner,NA
254,Jake,jake,NA
255,Woman Applicant,woman applicant,NA
257,Man In Tuxedo,man in tuxedo,NA
258,Executive #1,executive 1,NA
259,Executive #3,executive 3,NA
260,Moving Man,moving man,NA
261,House,house,NA
262,Kang,kang,NA
263,Serak The Preparer,serak the preparer,NA
264,Kodos,kodos,NA
265,V.O.,vo,NA
266,Raven,raven,NA
267,Dave Shutton,dave shutton,NA
268,Chief Inspector,chief inspector,NA
269,Dean Danielson,dean danielson,NA
271,DANEILSON,daneilson,NA
274,OLD BEARDED GUY,old bearded guy,NA
275,Charles Darwin,charles darwin,NA
276,Singers,singers,NA
277,MARY BAILEY,mary bailey,NA
278,Investigator #1,investigator 1,NA
279,Investigator #2,investigator 2,NA
280,Investigator #3,investigator 3,NA
281,Make-up Man,make-up man,NA
282,Gregor,gregor,NA
283,GAMMILL,gammill,NA
284,FLASH,flash,NA
285,Player #1,player 1,NA
286,P.A. Announcer,pa announcer,NA
288,Dan Hoard,dan hoard,NA
289,Vendor,vendor,NA
290,VENDER,vender,NA
291,MR. O'HARA,mr ohara,NA
292,Man On Bus,man on bus,NA
293,Player #2,player 2,NA
294,Rasta #1,rasta 1,NA
295,Rasta #2,rasta 2,NA
296,Supervisor,supervisor,NA
297,Tony Bennett,tony bennett,NA
298,Capital City Goofball,capital city goofball,NA
299,Dave Glass,dave glass,NA
300,First Wife #3,first wife 3,NA
301,First Wife #1,first wife 1,NA
302,Hot Dog Man,hot dog man,NA
303,Spectator #1,spectator 1,NA
304,Spectator #2,spectator 2,NA
305,Spectator #3,spectator 3,NA
306,Clubhouse Attendant,clubhouse attendant,NA
307,Dave Rosenfield,dave rosenfield,NA
310,Librarian,librarian,NA
312,SENIOR CITIZENS,senior citizens,NA
314,Announcer #2,announcer 2,NA
315,Mrs. Spencer,mrs spencer,NA
316,Security Guard #1,security guard 1,NA
317,Casey,casey,NA
318,Rory,rory,NA
319,Transient,transient,NA
320,Uncle Sam,uncle sam,NA
321,Audience,audience,NA
322,Tv Voice #1,tv voice 1,NA
323,Tv Voice #2,tv voice 2,NA
324,Tv Voice #3,tv voice 3,NA
325,ALL THREE TV VOICES,all three tv voices,NA
240,Mayor Joe Quimby,mayor joe quimby,m
308,Maude Flanders,maude flanders,f
309,Helen Lovejoy,helen lovejoy,f
273,Jasper Beardly,jasper beardly,m
311,Man,man,m
238,Marty,marty,m
272,TV Announcer,tv announcer,m
239,Bill,bill,m
218,Director,director,m
222,Arnie Pye,arnie pye,m
237,Nurse,nurse,f
256,Karl,karl,m
223,Radio Announcer,radio announcer,m
313,British Commentator,british commentator,m
270,DANIELSON,danielson,m
326,ALL 3 ANNOUNCERS,all 3 announcers,NA
327,LARGO,largo,NA
328,SCRAPER,scraper,NA
329,CLARK,clark,NA
333,SMYTHE,smythe,NA
334,Itchy & Scratchy Singers,itchy scratchy singers,NA
336,Her Group,her group,NA
337,Animator,animator,NA
338,1ST BOARD MEMBER,1st board member,NA
339,2nd Board Member,2nd board member,NA
340,Squirrel,squirrel,NA
342,Scratchy,scratchy,NA
343,Itchy,itchy,NA
344,Curator,curator,NA
348,Della,della,NA
350,Bailiff,bailiff,NA
352,BURNS LAWYER,burns lawyer,NA
354,Sushi Bar Chefs,sushi bar chefs,NA
355,Hostess,hostess,NA
357,Toshiro,toshiro,NA
358,Master,master,NA
359,Richie Sakai,richie sakai,NA
360,Cellmate,cellmate,NA
361,Crazy Calls,crazy calls,NA
362,Smitty,smitty,NA
363,Larry King,larry king,NA
364,LARRY KING V.O.,larry king vo,NA
365,Bald One,bald one,NA
366,Police Captain,police captain,NA
368,Fat One,fat one,NA
369,Kim,kim,NA
371,Estelle,estelle,NA
372,MCINTYRE,mcintyre,NA
374,Mrs. Bloominstein,mrs bloominstein,NA
375,Coach Flanagan,coach flanagan,NA
376,Mr. Seckofsky,mr seckofsky,NA
377,Mr. Bouvier,mr bouvier,NA
378,Chauffeur,chauffeur,NA
379,PRINCIPAL,principal,NA
380,Homer The Thief,homer the thief,NA
381,Hezron,hezron,NA
382,Zohar,zohar,NA
383,Moses,moses,NA
384,Cable Guy,cable guy,NA
385,Comic,comic,NA
386,Woman #1,woman 1,NA
387,Woman #2,woman 2,NA
388,Mexican Announcer,mexican announcer,NA
389,Representative,representative,NA
390,Cockfight Announcer,cockfight announcer,NA
391,Davey,davey,NA
392,Goliath,goliath,NA
394,Panelist #1,panelist 1,NA
395,Blockbuster Announcer,blockbuster announcer,NA
396,Top Hat Announcer,top hat announcer,NA
397,Stock Reporter,stock reporter,NA
398,Boxing Announcer #1,boxing announcer 1,NA
399,Boxing Announcer #2,boxing announcer 2,NA
400,Challenger,challenger,NA
401,Referee,referee,NA
402,Kindly Old Gent,kindly old gent,NA
403,Stanley,stanley,NA
405,Busboy,busboy,NA
406,Australian Boy,australian boy,NA
407,Australian Girl,australian girl,NA
408,Jeweler,jeweler,NA
409,Senator Mendoza,senator mendoza,NA
410,Board Member,board member,NA
411,Female Commando,female commando,NA
412,Theatre Manager,theatre manager,NA
413,Floozy,floozy,NA
416,Attendant,attendant,NA
418,Policeman,policeman,NA
419,Executive #2,executive 2,NA
420,Head Engineer,head engineer,NA
421,Engineer #2,engineer 2,NA
422,Engineer #3,engineer 3,NA
423,Female Singer,female singer,NA
424,Counter Man,counter man,NA
425,Flanders's Thoughts,flanderss thoughts,NA
428,Kelly,kelly,NA
430,Father McGrath,father mcgrath,NA
431,Salesboy,salesboy,NA
432,Hula Woman,hula woman,NA
434,BEA,bea,NA
435,Checker,checker,NA
332,Dr. Julius Hibbert,dr julius hibbert,m
404,Groundskeeper Willie,groundskeeper willie,m
426,Troy McClure,troy mcclure,m
347,Lionel Hutz,lionel hutz,m
417,HERB,herb,m
414,Mona Simpson,mona simpson,f
335,"Roger Meyers, Jr.",roger meyers jr,m
351,Blue-Haired Lawyer,blue-haired lawyer,m
349,Dr. Nick Riviera,dr nick riviera,m
373,Artie Ziff,artie ziff,m
353,Larry,larry,m
370,Principal Dondelinger,principal dondelinger,m
427,Emily,emily,f
356,Akira,akira,m
429,Jack,jack,m
330,Track Announcer,track announcer,m
346,Devil,devil,m
433,Farmer,farmer,m
345,Reporter,reporter,m
331,MURDOCK,murdock,m
437,Tracker,tracker,NA
438,Mr. Hazelwood,mr hazelwood,NA
439,Cabbie,cabbie,NA
440,KENT,kent,NA
441,MONROE,monroe,NA
443,Old Man Daly,old man daly,NA
444,Old Man McGrath,old man mcgrath,NA
445,Plato,plato,NA
446,Croupier,croupier,NA
447,Recorded Announcer,recorded announcer,NA
448,Old Woman In Line,old woman in line,NA
449,Monitor #1,monitor 1,NA
450,Monitor #2,monitor 2,NA
451,Female Newscaster,female newscaster,NA
452,Mr. Schindler,mr schindler,NA
453,Student,student,NA
454,Registrar,registrar,NA
455,Professor Lombardo,professor lombardo,NA
456,BART & LISA,bart lisa,NA
457,Artist,artist,NA
458,Delivery Man,delivery man,NA
459,MR. BURNS' GEOMETRIC SHAPES,mr burns geometric shapes,NA
460,RINGO,ringo,NA
461,WETHERBY,wetherby,NA
462,MRS. HOOVER,mrs hoover,NA
463,Chuck,chuck,NA
466,Classmate,classmate,NA
467,Terri/sherri,terrisherri,NA
468,Woman In Booth,woman in booth,NA
469,Landlady,landlady,NA
470,Kid Reporter,kid reporter,NA
471,Husband Of Marge's Friend,husband of marges friend,NA
472,Sophisticate #1,sophisticate 1,NA
473,Sophisticate #2,sophisticate 2,NA
474,Sophisticate #3,sophisticate 3,NA
475,Sultan,sultan,NA
476,Worm Man,worm man,NA
480,Convict,convict,NA
481,Customer,customer,NA
482,DIAMOND JOE,diamond joe,NA
483,Lost And Found Guy,lost and found guy,NA
484,Radioactive Man,radioactive man,NA
485,Fallout Boy,fallout boy,NA
486,Convention Director,convention director,NA
487,BUDDY,buddy,NA
488,Dealer,dealer,NA
489,Young Patty,young patty,NA
490,Young Selma,young selma,NA
492,Older Patty,older patty,NA
493,Older Selma,older selma,NA
494,Adult Narrator,adult narrator,NA
495,Teller,teller,NA
497,Asa,asa,NA
498,Soap Actress,soap actress,NA
499,Soap Actor,soap actor,NA
500,Osvaldo,osvaldo,NA
501,Mail Person,mail person,NA
502,Roman,roman,NA
503,Postal Worker,postal worker,NA
505,Joey,joey,NA
506,Guard #1,guard 1,NA
507,Guard #2,guard 2,NA
509,Psychiatrist,psychiatrist,NA
510,Orderly,orderly,NA
512,Floyd,floyd,NA
513,Bart's Head,barts head,NA
515,Voice On Phone,voice on phone,NA
519,Leon Kompowsky,leon kompowsky,NA
520,Minnesota Girl,minnesota girl,NA
521,Alabama Boy,alabama boy,NA
522,QUEENS BOY,queens boy,NA
523,Female Judge,female judge,NA
524,Dad,dad,NA
525,Flight Attendant,flight attendant,NA
527,Irs Man,irs man,NA
528,Hotel Guest,hotel guest,NA
529,Miss Crowley,miss crowley,NA
530,Truong/maria,truongmaria,NA
531,TRUONG,truong,NA
532,MARIA,maria,NA
534,Worker,worker,NA
535,Guide,guide,NA
536,Lobbyist,lobbyist,NA
537,Arnold,arnold,NA
538,Newlywed Wife,newlywed wife,NA
539,White Trash Woman #1,white trash woman 1,NA
540,Man #3,man 3,NA
541,Old Timer,old timer,NA
542,Guy,guy,NA
543,Songster,songster,NA
544,Page,page,NA
545,Senator,senator,NA
546,Oil Developer,oil developer,NA
442,Professor Jonathan Frink,professor jonathan frink,m
518,Snake Jailbird,snake jailbird,m
464,Miss Hoover,miss hoover,f
465,BERGSTROM,bergstrom,m
511,MICHAEL,michael,m
526,Pilot,pilot,m
478,John,john,m
508,Host,host,m
436,Guard,guard,m
477,Gloria,gloria,f
479,Captain,captain,m
496,Mrs. Glick,mrs glick,f
516,Doctor,doctor,m
533,BARBARA,barbara,f
517,Dave,dave,m
514,Wiseguy,wiseguy,m
547,Agent,agent,NA
548,Speaker,speaker,NA
549,Majority Leader,majority leader,NA
550,Everyone Else,everyone else,NA
551,President,president,NA
552,Foreign Dignitary,foreign dignitary,NA
553,Paper Boy,paper boy,NA
554,Sportscaster #1,sportscaster 1,NA
555,Girl,girl,NA
556,Neighborhood Guy,neighborhood guy,NA
557,Homemaker,homemaker,NA
558,Landscaper,landscaper,NA
559,Choreographer,choreographer,NA
560,George Washington,george washington,NA
561,Video Voice,video voice,NA
562,Man Shopper,man shopper,NA
563,HOMER (CONT'D,homer contd,NA
564,Collection Agent,collection agent,NA
565,Wife,wife,NA
566,Shoppers,shoppers,NA
569,Legs,legs,NA
571,Race Announcer,race announcer,NA
572,Jack Larson,jack larson,NA
573,Fbi Agent #1,fbi agent 1,NA
574,Fbi Agent #2,fbi agent 2,NA
575,Rival Gang Leader,rival gang leader,NA
576,Psychic,psychic,NA
577,Skinner Body,skinner body,NA
578,Prosecuting Attorney,prosecuting attorney,NA
579,Joe,joe,NA
580,Neil,neil,NA
581,Calm Woman,calm woman,NA
582,Mr. Devereaux,mr devereaux,NA
583,Margarita,margarita,NA
584,Program Voices,program voices,NA
586,Female Worker,female worker,NA
587,Male Worker,male worker,NA
588,Contestant,contestant,NA
589,Magic Johnson,magic johnson,NA
590,Aristotle,aristotle,NA
592,Thought Bubble Barney,thought bubble barney,NA
593,Female Voice,female voice,NA
594,SCOTT,scott,NA
595,Miss Lois Pennycandy,miss lois pennycandy,NA
596,Sexy Female Recording,sexy female recording,NA
597,PENNYCANDY,pennycandy,NA
600,Rabbi #1,rabbi 1,NA
601,Rowdy Rabbi,rowdy rabbi,NA
602,Martian,martian,NA
604,Caller,caller,NA
605,MONSIGNOR DALEY,monsignor daley,NA
606,Yiddle,yiddle,NA
607,Rabbi #2,rabbi 2,NA
608,Waitress,waitress,NA
609,Stagehand,stagehand,NA
610,Airport Announcer,airport announcer,NA
611,Customs Agent,customs agent,NA
612,Military Cops,military cops,NA
613,English Diplomat,english diplomat,NA
614,Argentine Diplomat,argentine diplomat,NA
616,Female Office Worker,female office worker,NA
617,Male Office Worker,male office worker,NA
618,Townspeople,townspeople,NA
619,Patrons,patrons,NA
620,Vin Scully,vin scully,NA
621,Kids In Audience,kids in audience,NA
622,DR MONROE,dr monroe,NA
623,Crypt Keeper Willie,crypt keeper willie,NA
624,Robot,robot,NA
625,Homer-Ape,homer-ape,NA
627,Little Man,little man,NA
628,Teenager,teenager,NA
630,Baby Lisa,baby lisa,NA
631,Salesclerk,salesclerk,NA
632,Millicent,millicent,NA
633,Female Clerk,female clerk,NA
634,Kevin,kevin,NA
635,Johnny Carson,johnny carson,NA
636,Scoey,scoey,NA
637,Teenage Clerk,teenage clerk,NA
639,DAVE JR.,dave jr,NA
640,Official,official,NA
641,Voice From Trunk,voice from trunk,NA
642,Ronnie,ronnie,NA
643,DREDERICK,drederick,NA
644,Wanda,wanda,NA
646,Girls,girls,NA
647,Patron #1,patron 1,NA
648,Patron #2,patron 2,NA
649,Collette,collette,NA
650,HARV,harv,NA
651,Bernard,bernard,NA
653,Aerosmith,aerosmith,NA
654,Steven Tyler,steven tyler,NA
655,Joe Perry,joe perry,NA
656,Brad Whitford,brad whitford,NA
568,Fat Tony,fat tony,m
570,Louie,louie,m
598,Rabbi Hyman Krustofsky,rabbi hyman krustofsky,m
591,Luann Van Houten,luann van houten,f
615,Colonel,colonel,m
638,Football Announcer,football announcer,m
567,Executive,executive,m
603,D.J.,dj,m
645,Becky,becky,f
585,Instructor,instructor,m
652,Aide,aide,m
626,Lunchlady Doris,lunchlady doris,f
658,Everyone,everyone,NA
659,Bartender,bartender,NA
660,One-eyed Bartender,one-eyed bartender,NA
661,Flowers,flowers,NA
662,Tom Hamilton,tom hamilton,NA
663,Joey Kramer,joey kramer,NA
664,Snappy,snappy,NA
665,Broker,broker,NA
666,Hans,hans,NA
667,Fritz,fritz,NA
670,German Teacher,german teacher,NA
671,Boxer,boxer,NA
672,Mr. Thorson,mr thorson,NA
673,Angel,angel,NA
674,Patient,patient,NA
675,Justice Of The Peace,justice of the peace,NA
676,Groom,groom,NA
677,Applicant #1,applicant 1,NA
678,Applicant #2,applicant 2,NA
679,Applicants,applicants,NA
680,Tourist Kid,tourist kid,NA
681,Tourist Dad,tourist dad,NA
682,Boss,boss,NA
683,Elderly Lady,elderly lady,NA
684,Repo Man,repo man,NA
685,Driver,driver,NA
686,M.C.,mc,NA
687,Boy,boy,NA
688,Operator,operator,NA
689,Barber,barber,NA
690,Rosarita,rosarita,NA
691,Weasel,weasel,NA
692,Robot Weasel,robot weasel,NA
693,Señor Beaver-otti,señor beaver-otti,NA
694,Robot Animals,robot animals,NA
695,Fat Cop,fat cop,NA
696,Falcon Man,falcon man,NA
697,Sailor,sailor,NA
698,Sting,sting,NA
700,Choir,choir,NA
701,Souvenir Hawker,souvenir hawker,NA
702,Station Announcer,station announcer,NA
703,Old Lady #1,old lady 1,NA
704,Bret,bret,NA
705,JIMMY,jimmy,NA
706,Sportscaster,sportscaster,NA
707,Coach,coach,NA
708,Football Announcer #2,football announcer 2,NA
709,Player,player,NA
710,Marco,marco,NA
711,Box,box,NA
712,Nutty Comedian,nutty comedian,NA
713,Alien,alien,NA
714,Duff Announcer,duff announcer,NA
716,Nick #2,nick 2,NA
717,Commercial Guy,commercial guy,NA
718,Man On Phone,man on phone,NA
719,Bus Driver,bus driver,NA
720,Policewoman,policewoman,NA
721,Different Announcer,different announcer,NA
722,Chef Rodrigo,chef rodrigo,NA
723,Gregory,gregory,NA
724,FABRIZIO,fabrizio,NA
725,Woman On Tv #1,woman on tv 1,NA
726,Woman On Tv #2,woman on tv 2,NA
727,Teenage Boy,teenage boy,NA
728,CHIF WIGGUM,chif wiggum,NA
729,Service Manager,service manager,NA
730,Ted,ted,NA
731,Sound-alikes,sound-alikes,NA
732,Mister Amazing,mister amazing,NA
733,Sparkle,sparkle,NA
734,Romantic Lover Voice,romantic lover voice,NA
735,Southern Private,southern private,NA
736,Charles Boyer,charles boyer,NA
737,Umpire,umpire,NA
738,Dispatcher,dispatcher,NA
739,ARI,ari,NA
740,Jose Canseco,jose canseco,NA
743,Ozzie Smith,ozzie smith,NA
744,Don Mattingly,don mattingly,NA
745,Steve Sax,steve sax,NA
746,Roger Clemens,roger clemens,NA
747,Wade Boggs,wade boggs,NA
748,KEN GRIFFEY JR.,ken griffey jr,NA
749,Darryl Strawberry,darryl strawberry,NA
750,Hypnotist,hypnotist,NA
751,ALL THE PLAYERS,all the players,NA
752,JOSE CONSECO,jose conseco,NA
753,Ticket Taker,ticket taker,NA
754,Courier,courier,NA
756,FORTE,forte,NA
757,Donna,donna,NA
759,PRINCIPAL WILLIE,principal willie,NA
760,Prosecutor,prosecutor,NA
761,Steve Allen,steve allen,NA
762,Mr. Montone,mr montone,NA
763,Former Teacher,former teacher,NA
764,Teacher #1,teacher 1,NA
765,Teacher #2,teacher 2,NA
766,Hippie Teacher,hippie teacher,NA
768,Employer,employer,NA
699,Sideshow Mel,sideshow mel,m
742,Tour Guide,tour guide,m
657,HUGH,hugh,m
758,Tammy,tammy,f
767,Employee,employee,m
741,Mike Scioscia,mike scioscia,m
668,Charlie,charlie,m
715,Nick,nick,m
769,Window Washers,window washers,NA
770,Sanjay Nahasapeemapetilon,sanjay nahasapeemapetilon,NA
771,Lottery Announcer,lottery announcer,NA
772,Vet,vet,NA
773,Mr. Danielson,mr danielson,NA
775,Sadistic Barfly,sadistic barfly,NA
776,Young Barfly,young barfly,NA
777,Trainee,trainee,NA
778,Butler,butler,NA
779,Ticket Man,ticket man,NA
780,General,general,NA
781,Cowboy #1,cowboy 1,NA
782,Cowboy #2,cowboy 2,NA
783,Bar Owner,bar owner,NA
784,Yodelin' Zeke,yodelin zeke,NA
786,Male Nurse,male nurse,NA
787,Music Store Owner,music store owner,NA
788,Mr. Boylan,mr boylan,NA
789,Mule,mule,NA
790,Young Girl,young girl,NA
791,Pretty Girl,pretty girl,NA
792,Orville,orville,NA
793,Hurley,hurley,NA
794,Dinosaur Dad,dinosaur dad,NA
795,Dinosaur Son,dinosaur son,NA
796,Cellmate #1,cellmate 1,NA
797,FAMILY/EVERYONE,familyeveryone,NA
798,Crooner,crooner,NA
799,MacGyver,macgyver,NA
800,T-shirt Guy,t-shirt guy,NA
802,David,david,NA
804,DEREK,derek,NA
805,Roadie,roadie,NA
806,Stoned Guy,stoned guy,NA
807,Promoter,promoter,NA
808,DAVID/NIGEL,davidnigel,NA
809,DAVID/NIGEL/DEREK,davidnigelderek,NA
810,Landlord,landlord,NA
811,Samantha Stanky,samantha stanky,NA
812,Grave Digger,grave digger,NA
813,Crane Operator,crane operator,NA
814,Worker #1,worker 1,NA
815,Worker #2,worker 2,NA
816,Mr. Stanky,mr stanky,NA
818,Nun,nun,NA
819,NUN #2,nun 2,NA
820,Bum,bum,NA
821,WILLIAM POWEL LOOKALIKE,william powel lookalike,NA
822,Bum #2,bum 2,NA
823,Nbc Anchorman,nbc anchorman,NA
824,Jittery Private,jittery private,NA
825,Angry Sergeant,angry sergeant,NA
826,Men Singers,men singers,NA
827,Female Singers,female singers,NA
828,Smokin' Joe Frazier,smokin joe frazier,NA
829,Herb Powell,herb powell,NA
830,Mom,mom,NA
831,Teachers,teachers,NA
832,Mr. Black,mr black,NA
833,Sergeant,sergeant,NA
834,Campers,campers,NA
835,Line Judge,line judge,NA
