iso3c,country,region,income,year,population,overall_score,data_use_score,data_services_score,data_products_score,data_sources_score,data_infrastructure_score
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2023,23251485,74.30916666666667,100,69,80.3875,42.15833333333333,80
GTM,Guatemala,Latin America & Caribbean,Upper middle income,2023,17602431,74.26791666666668,80,62.1,79.23125,70.00833333333334,80
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,2023,11332972,74.12333333333333,100,67.96666666666667,79.825,47.825,75
IND,India,South Asia,Lower middle income,2023,1428627663,73.62833333333333,80,87.73333333333333,84.275,71.13333333333334,45
RWA,Rwanda,Sub-Saharan Africa,Low income,2023,14094683,73.13916666666668,90,71.13333333333334,77.63749999999999,56.925,70
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2023,12388571,72.51833333333333,100,66.93333333333334,81.17500000000001,59.483333333333334,55.00000000000001
VNM,Viet Nam,East Asia & Pacific,Lower middle income,2023,98858950,72.29416666666667,100,69.43333333333332,89.4375,52.6,50
PAN,Panama,Latin America & Caribbean,High income,2023,4468087,72.27958333333333,80,65.73333333333333,86.85625,68.80833333333334,60
UGA,Uganda,Sub-Saharan Africa,Low income,2023,48582334,71.95750000000001,100,65.76666666666667,78.9125,40.108333333333334,75
BGD,Bangladesh,South Asia,Lower middle income,2023,172954319,70.81208333333335,80,61.66666666666667,83.91875,58.475,70
KEN,Kenya,Sub-Saharan Africa,Lower middle income,2023,55100586,70.63791666666668,90,62.33333333333333,84.38125000000001,46.475,70
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,2023,67438106,69.85125000000001,90,70.7,83.35625,50.2,55.00000000000001
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,2023,16665409,69.7325,100,67.03333333333332,83.3875,38.24166666666667,60
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2023,3210847,69.44624999999999,70,63.83333333333332,75.55625,62.84166666666666,75
NER,Niger,Sub-Saharan Africa,Low income,2023,27202843,68.90625,100,61.133333333333326,76.30624999999999,42.09166666666666,65
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,2023,28873034,68.88625,100,58.099999999999994,78.63125,42.7,65
PAK,Pakistan,South Asia,Lower middle income,2023,240485658,68.57083333333334,90,61.93333333333333,81.2125,49.70833333333333,60
MMR,Myanmar,East Asia & Pacific,Lower middle income,2023,54577997,68.55958333333334,90,67.53333333333333,77.65625,47.608333333333334,60
GHA,Ghana,Sub-Saharan Africa,Lower middle income,2023,34121985,68.245,80,61.79999999999999,82.24999999999999,57.175,60
BEN,Benin,Sub-Saharan Africa,Lower middle income,2023,13712828,68.04666666666667,90,69.39999999999999,75.325,40.50833333333333,65
GMB,"Gambia, The",Sub-Saharan Africa,Low income,2023,2773168,67.91875,90,65.96666666666667,86.36875,42.25833333333333,55.00000000000001
JAM,Jamaica,Latin America & Caribbean,Upper middle income,2023,2825544,67.37208333333334,80,74.33333333333333,76.64375000000001,60.88333333333333,45
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2023,10112555,66.79625000000001,80,36,73.55625,64.425,80
QAT,Qatar,Middle East & North Africa,High income,2023,2716391,66.78625,80,63.43333333333333,66.20624999999998,59.291666666666664,65
TGO,Togo,Sub-Saharan Africa,Low income,2023,9053799,66.09583333333335,90,63.93333333333333,77.5125,39.03333333333334,60
HND,Honduras,Latin America & Caribbean,Lower middle income,2023,10593798,65.83083333333333,90,63.99999999999999,84.46249999999999,40.69166666666666,50
MWI,Malawi,Sub-Saharan Africa,Low income,2023,20931751,65.58333333333333,90,62.133333333333326,81.77499999999999,49.00833333333333,45
MDV,Maldives,South Asia,Upper middle income,2023,521021,65.26083333333332,70,63.99999999999999,72.66250000000001,59.64166666666666,60
BLZ,Belize,Latin America & Caribbean,Upper middle income,2023,410825,65.12833333333333,70,64.86666666666667,68.10000000000001,67.67500000000001,55.00000000000001
LBR,Liberia,Sub-Saharan Africa,Low income,2023,5418377,65.06625,90,66.03333333333332,75.78125000000001,33.516666666666666,60
KHM,Cambodia,East Asia & Pacific,Lower middle income,2023,16944826,64.97666666666667,80,63.63333333333332,82.02500000000002,44.225,55.00000000000001
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,2023,180251,64.83083333333333,70,69.73333333333333,64.6625,64.75833333333333,55.00000000000001
NPL,Nepal,South Asia,Lower middle income,2023,30896590,64.01875,80,63.39999999999999,80.89375,40.8,55.00000000000001
SYC,Seychelles,Sub-Saharan Africa,High income,2023,119773,63.99791666666667,90,44.23333333333333,58.45625,57.3,70
WSM,Samoa,East Asia & Pacific,Lower middle income,2023,225681,63.77458333333333,80,62.999999999999986,69.58125000000001,46.291666666666664,60
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2023,2675352,63.29375,50,68.9,74.81875,62.74999999999999,60
BRN,Brunei Darussalam,East Asia & Pacific,High income,2023,452524,63.20625,80,71.03333333333333,63.45624999999999,51.541666666666664,50
BTN,Bhutan,South Asia,Lower middle income,2023,787424,63.105416666666656,90,64.03333333333332,73.51875000000001,42.974999999999994,45
MLI,Mali,Sub-Saharan Africa,Low income,2023,23293698,63.04833333333334,100,60.86666666666667,69.27499999999999,40.1,45
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,2023,89172767,62.96250000000001,66.60000000000001,62.79999999999999,70.51250000000002,69.89999999999999,45
DZA,Algeria,Middle East & North Africa,Upper middle income,2023,45606480,62.69291666666666,80,57.833333333333336,75.50625000000001,50.125,50
BRB,Barbados,Latin America & Caribbean,High income,2023,281995,62.51500000000001,80,57.63333333333334,54.92499999999999,50.016666666666666,70
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2023,20569737,62.50083333333334,90,61.133333333333326,79.03750000000001,32.333333333333336,50
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,2023,4862989,62.49041666666667,90,63.19999999999999,72.06875000000001,27.18333333333333,60
KWT,Kuwait,Middle East & North Africa,High income,2023,4310108,62.43791666666666,60,63.16666666666666,67.43124999999999,61.59166666666667,60
AGO,Angola,Sub-Saharan Africa,Lower middle income,2023,36684202,62.27583333333334,80,60.76666666666666,72.8875,47.72500000000001,50
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,2023,1360596,62.14083333333333,80,61.1,64.58749999999999,40.016666666666666,65
SLE,Sierra Leone,Sub-Saharan Africa,Low income,2023,8791092,61.775000000000006,80,65.73333333333333,71.375,46.766666666666666,45
TON,Tonga,East Asia & Pacific,Upper middle income,2023,107773,61.21,80,63.59999999999999,71.52500000000002,45.925,45
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,2023,1210822,61.1925,80,55.666666666666664,77.6625,32.63333333333334,60
LAO,Lao PDR,East Asia & Pacific,Lower middle income,2023,7633779,60.900416666666665,90,65.73333333333333,69.54374999999999,44.225,35
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2023,223804632,60.897083333333335,80,63.83333333333332,75.54375,35.10833333333333,50
FJI,Fiji,East Asia & Pacific,Upper middle income,2023,936375,60.83166666666666,60,63.06666666666667,78.525,42.56666666666666,60
MOZ,Mozambique,Sub-Saharan Africa,Low income,2023,33897354,60.766666666666666,70,59.7,71.95,42.18333333333334,60
ETH,Ethiopia,Sub-Saharan Africa,Low income,2023,126527060,60.673750000000005,80,64.53333333333333,78.79374999999999,35.041666666666664,45
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,2023,598682,60.52416666666668,80,31.333333333333336,67.5625,68.72500000000001,55.00000000000001
CHN,China,East Asia & Pacific,Upper middle income,2023,1410710000,59.50375,73.4,43.8,78.74375,41.575,60
NAM,Namibia,Sub-Saharan Africa,Upper middle income,2023,2604172,58.68291666666667,60,62.83333333333333,71.78125,38.8,60
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,2023,28647293,58.454166666666666,60,65.23333333333332,76.93749999999999,35.1,55.00000000000001
OMN,Oman,Middle East & North Africa,High income,2023,4644384,58.24666666666667,70,46.93333333333333,60.425,63.87500000000001,50
LBN,Lebanon,Middle East & North Africa,Lower middle income,2023,5353930,58.18958333333333,60,61.566666666666656,78.08125,51.3,40
GUY,Guyana,Latin America & Caribbean,High income,2023,813834,58.052083333333336,80,62.73333333333333,71.16875,31.358333333333334,45
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2023,2330318,58.04791666666668,80,29.733333333333334,69.73125,50.775000000000006,60
IRQ,Iraq,Middle East & North Africa,Upper middle income,2023,45504560,57.78416666666667,80,64.53333333333333,70.3375,34.050000000000004,40
SUR,Suriname,Latin America & Caribbean,Upper middle income,2023,623236,57.2075,46.6,67.13333333333334,62.6625,54.641666666666666,55.00000000000001
AFG,Afghanistan,South Asia,Low income,2023,42239854,57.08958333333334,66.60000000000001,60,76.35625,27.491666666666664,55.00000000000001
TCD,Chad,Sub-Saharan Africa,Low income,2023,18278568,56.365833333333335,83.39999999999999,59.2,72.03750000000002,22.191666666666663,45
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,2023,1534937,56.11208333333333,60,61.33333333333333,68.19374999999998,41.03333333333333,50
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2023,94298,55.64750000000001,60,60.23333333333334,63.88750000000001,49.11666666666667,45
PLW,Palau,East Asia & Pacific,High income,2023,18058,55.06541666666668,50,59.66666666666667,61.84375000000001,53.81666666666667,50
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,2023,7046310,53.62375,60,61.1,66.19375000000001,25.825000000000003,55.00000000000001
MDG,Madagascar,Sub-Saharan Africa,Low income,2023,30325732,53.398333333333326,60,60.566666666666656,73.42499999999998,28.000000000000004,45
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,2023,231856,53.10125,60,61.03333333333334,63.60625,45.86666666666667,35
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,2023,102262808,52.43916666666666,70,62.43333333333333,68.73750000000001,21.025,40
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,2023,103698,52.38708333333334,50,67.43333333333332,56.493750000000006,48.00833333333333,40
BHR,Bahrain,Middle East & North Africa,High income,2023,1485509,51.579166666666666,60,40.36666666666666,58.1125,59.41666666666667,40
VUT,Vanuatu,East Asia & Pacific,Lower middle income,2023,334506,51.102500000000006,56.60000000000001,59.06666666666667,70.0625,34.78333333333334,35
BHS,"Bahamas, The",Latin America & Caribbean,High income,2023,412623,49.76666666666667,60,27.666666666666668,49.3,36.86666666666667,75
SOM,Somalia,Sub-Saharan Africa,Low income,2023,18143378,49.68833333333334,80,47.86666666666666,69.52500000000002,6.050000000000001,45
GIN,Guinea,Sub-Saharan Africa,Lower middle income,2023,14190612,49.655833333333334,66.60000000000001,29.433333333333326,71.53750000000001,25.708333333333332,55.00000000000001
KIR,Kiribati,East Asia & Pacific,Lower middle income,2023,133515,48.99791666666667,50,59.86666666666667,69.90625,30.21666666666667,35
AND,Andorra,Europe & Central Asia,High income,2023,80088,48.79666666666667,60,55.766666666666666,45.575,57.641666666666666,25
TJK,Tajikistan,Europe & Central Asia,Lower middle income,2023,10143543,48.608333333333334,60,29.166666666666664,72.575,51.3,30
BDI,Burundi,Sub-Saharan Africa,Low income,2023,13238559,47.28083333333334,70,29.799999999999997,74.1625,17.441666666666666,45
CAF,Central African Republic,Sub-Saharan Africa,Low income,2023,5742315,47.26625000000001,50,58.63333333333334,68.70625000000001,13.991666666666664,45
GRD,Grenada,Latin America & Caribbean,Upper middle income,2023,126183,47.06583333333334,70,22.066666666666663,59.1125,44.15,40
GAB,Gabon,Sub-Saharan Africa,Upper middle income,2023,2436566,46.82916666666667,60,29.833333333333336,66.0875,33.225,45
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,2023,10329931,45.91458333333334,60,59.2,68.60625,11.766666666666667,30
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,2023,2150842,45.90416666666667,90,23.666666666666664,61.23749999999999,14.616666666666667,40
SDN,Sudan,Sub-Saharan Africa,Low income,2023,48109006,44.74,46.6,57.93333333333332,67,22.166666666666668,30
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,2023,6106869,43.16166666666666,50,29.433333333333326,64.42500000000001,21.95,50
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,2023,740424,42.935,30,59.266666666666666,63.45,16.958333333333332,45
TUV,Tuvalu,East Asia & Pacific,Upper middle income,2023,11396,42.35875,50,59.73333333333333,62.31874999999999,24.741666666666664,15
DMA,Dominica,Latin America & Caribbean,Upper middle income,2023,73040,42.342499999999994,60,28.266666666666666,54.06249999999999,39.38333333333333,30
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,2023,47755,42.16083333333333,60,33.33333333333333,45.21249999999999,42.25833333333333,30
NRU,Nauru,East Asia & Pacific,High income,2023,12780,42.1525,50,37.63333333333333,59.8125,43.31666666666666,20
DJI,Djibouti,Middle East & North Africa,Lower middle income,2023,1136455,41.580000000000005,50,26.13333333333333,61.2,15.566666666666668,55.00000000000001
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,2023,41996,40.98166666666666,30,58.33333333333333,62.64999999999999,33.925000000000004,20
HTI,Haiti,Latin America & Caribbean,Lower middle income,2023,11724763,39.60541666666667,50,18,61.69375,18.333333333333336,50
VEN,"Venezuela, RB",Latin America & Caribbean,Not classified,2023,28838499,39.3925,60,22.9,58.537499999999994,30.524999999999995,25
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,2023,115224,36.50791666666666,20,59.133333333333326,56.20624999999999,22.2,25
SYR,Syrian Arab Republic,Middle East & North Africa,Low income,2023,23227014,36.17791666666667,46.6,23.066666666666663,57.90625,13.316666666666668,40
YEM,"Yemen, Rep.",Middle East & North Africa,Low income,2023,34449825,35.694583333333334,36.6,28.000000000000004,68.50625000000001,20.366666666666667,25
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,2023,1714671,35.06125,30,26.23333333333333,60.63125,23.441666666666663,35
LBY,Libya,Middle East & North Africa,Upper middle income,2023,6888388,33.064166666666665,20,58.966666666666654,53.7375,7.616666666666666,25
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,2023,6516100,30.7175,60,0.4666666666666663,66.4375,11.683333333333334,15
SSD,South Sudan,Sub-Saharan Africa,Low income,2023,11088796,27.511249999999997,40,4.433333333333334,57.306250000000006,5.816666666666666,30
ASM,American Samoa,East Asia & Pacific,High income,2023,43914,NA,40,NA,18.475,NA,NA
ABW,Aruba,Latin America & Caribbean,High income,2023,106277,NA,40,NA,27.543750000000006,NA,NA
BMU,Bermuda,North America,High income,2023,63489,NA,40,NA,27.24375,NA,NA
VGB,British Virgin Islands,Latin America & Caribbean,High income,2023,31538,NA,40,NA,26.9625,NA,NA
CYM,Cayman Islands,Latin America & Caribbean,High income,2023,69310,NA,30,NA,31.093749999999996,NA,NA
CHI,Channel Islands,Europe & Central Asia,High income,2023,175346,NA,40,NA,NA,NA,NA
COM,Comoros,Sub-Saharan Africa,Lower middle income,2023,852075,NA,60,NA,71.275,NA,40
CUB,Cuba,Latin America & Caribbean,Upper middle income,2023,11194449,NA,40,NA,69.33749999999999,NA,NA
CUW,Curacao,Latin America & Caribbean,High income,2023,147862,NA,60,NA,26.5625,NA,NA
ERI,Eritrea,Sub-Saharan Africa,Low income,2023,3748901,NA,36.6,NA,51.45,NA,10
FRO,Faroe Islands,Europe & Central Asia,High income,2023,53270,NA,40,NA,20.10625,NA,NA
PYF,French Polynesia,East Asia & Pacific,High income,2023,308872,NA,40,NA,27.95625,NA,NA
GIB,Gibraltar,Europe & Central Asia,High income,2023,32688,NA,40,NA,20.63125,NA,NA
GRL,Greenland,Europe & Central Asia,High income,2023,56865,NA,40,NA,22.4375,NA,NA
GUM,Guam,East Asia & Pacific,High income,2023,172952,NA,40,NA,24.862499999999997,NA,NA
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,2023,7536100,NA,60,NA,48.71874999999999,NA,NA
IMN,Isle of Man,Europe & Central Asia,High income,2023,84710,NA,40,NA,13.81875,NA,NA
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,2023,26160821,NA,10,NA,50.39375,NA,NA
XKX,Kosovo,Europe & Central Asia,Upper middle income,2023,1756374,NA,60,66.5,NA,50.25833333333334,85
LIE,Liechtenstein,Europe & Central Asia,High income,2023,39584,NA,50,NA,39.10625,NA,NA
MAC,"Macao SAR, China",East Asia & Pacific,High income,2023,704149,NA,50,NA,36.20625,NA,NA
MCO,Monaco,Europe & Central Asia,High income,2023,36297,NA,60,NA,43.925,NA,NA
NCL,New Caledonia,East Asia & Pacific,High income,2023,267940,NA,60,NA,34.475,NA,NA
MNP,Northern Mariana Islands,East Asia & Pacific,High income,2023,49796,NA,40,NA,21.25625,NA,NA
PRI,Puerto Rico,Latin America & Caribbean,High income,2023,3205691,NA,40,NA,32.45,NA,NA
SMR,San Marino,Europe & Central Asia,High income,2023,33642,NA,70,60.7,38.14375,NA,55.00000000000001
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income,2023,41163,NA,30,NA,21.66875,NA,NA
MAF,St. Martin (French part),Latin America & Caribbean,High income,2023,32077,NA,40,NA,13.125,NA,NA
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,2023,46062,NA,30,NA,31.68125000000001,NA,NA
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,2023,104917,NA,40,NA,21.15625,NA,NA
POL,Poland,Europe & Central Asia,High income,2022,36821749,94.18875,100,97.29999999999998,82.21875,91.425,100
FIN,Finland,Europe & Central Asia,High income,2022,5556106,93.74916666666668,100,96.43333333333332,84.1375,88.175,100
DNK,Denmark,Europe & Central Asia,High income,2022,5903037,93.20333333333336,100,98.46666666666664,80.45,87.1,100
SWE,Sweden,Europe & Central Asia,High income,2022,10486941,92.96125000000002,100,96,83.33125,85.475,100
SVN,Slovenia,Europe & Central Asia,High income,2022,2111986,92.70416666666668,100,97.53333333333332,83.76249999999999,82.22500000000001,100
