series,episode,uk_airdate,viewers_7day,viewers_28day,network_rank,channels_rank,bbc_iplayer_requests,episode_count,us_season,us_airdate
5,6,2014-09-10,10.13,1,2,NA,NA,40,2,"October 11, 2015"
5,7,2014-09-17,10.28,1,2,NA,NA,41,2,"October 18, 2015"
5,8,2014-09-24,9.023,2,4,NA,NA,42,2,"October 25, 2015"
5,9,2014-10-01,10.67,1,1,NA,NA,43,2,"November 1, 2015"
5,10,2014-10-08,13.51,1,1,NA,NA,44,2,"November 8, 2015"
6,1,2015-08-05,11.62,11.73,1,1,2063000,45,3,"July 1, 2016"
6,2,2015-08-12,11.59,11.84,1,1,1977000,46,3,"July 8, 2016"
6,3,2015-08-19,12.01,NA,1,1,1760000,47,3,"July 15, 2016"
6,4,2015-08-26,12.36,12.67,1,1,1539000,48,3,"July 15, 2016"
6,5,2015-09-02,12.39,12.63,1,1,1930000,49,3,"July 22, 2016"
6,6,2015-09-09,12,12.26,1,1,1869000,50,3,"July 22, 2016"
6,7,2015-09-16,12.35,12.58,1,1,1841000,51,3,"July 29, 2016"
6,8,2015-09-23,11.09,11.35,1,1,1748000,52,3,"July 29, 2016"
6,9,2015-09-30,12.65,12.78,1,1,1370000,53,3,"August 5, 2016"
6,10,2015-10-07,15.05,15.16,1,1,1619000,54,3,"August 12, 2016"
7,1,2016-08-24,13.58,13.86,1,1,1989000,55,4,"June 16, 2017"
7,2,2016-08-31,13.45,13.739999999999998,1,1,1949000,56,4,"June 16, 2017"
7,3,2016-09-07,13.01,13.38,1,1,2314000,57,4,"June 23, 2017"
7,4,2016-09-14,13.29,13.88,1,1,2291000,58,4,"June 30, 2017"
7,5,2016-09-21,13.12,13.33,1,1,1984000,59,4,"July 7, 2017"
7,6,2016-09-28,13.13,13.41,1,1,1397000,60,4,"July 14, 2017"
7,7,2016-10-05,13.45,13.72,1,1,2154000,61,4,"July 21, 2017"
7,8,2016-10-12,13.26,13.45,1,1,1957000,62,4,"July 28, 2017"
7,9,2016-10-19,13.44,13.65,1,1,1901000,63,4,"August 4, 2017"
7,10,2016-10-26,15.9,16.03,1,1,1602000,64,4,"August 4, 2017"
8,1,2017-08-29,9.46,9.72,1,1,NA,65,NA,NA
8,2,2017-09-05,9.23,9.53,1,2,NA,66,NA,NA
8,3,2017-09-12,8.68,9.06,1,2,NA,67,NA,NA
8,4,2017-09-19,8.55,8.870000000000001,1,3,NA,68,NA,NA
8,5,2017-09-26,8.61,8.98,1,4,NA,69,NA,NA
8,6,2017-10-03,8.61,8.91,1,4,NA,70,NA,NA
8,7,2017-10-10,9.01,9.32,1,3,NA,71,NA,NA
8,8,2017-10-17,8.950000000000001,9.19,1,4,NA,72,NA,NA
8,9,2017-10-24,9.03,9.16,1,4,NA,73,NA,NA
8,10,2017-10-31,10.04,10.13,1,4,NA,74,NA,NA
9,1,2018-08-28,9.55,9.92,1,3,NA,75,NA,NA
9,2,2018-09-04,9.31,9.76,1,3,NA,76,NA,NA
9,3,2018-09-11,8.91,9.35,1,2,NA,77,NA,NA
9,4,2018-09-18,8.88,9.41,1,3,NA,78,NA,NA
9,5,2018-09-25,8.67,9.15,1,3,NA,79,NA,NA
9,6,2018-10-02,8.91,9.3,1,4,NA,80,NA,NA
9,7,2018-10-09,9.22,9.54,1,3,NA,81,NA,NA
9,8,2018-10-16,9.69,9.93,1,2,NA,82,NA,NA
9,9,2018-10-23,9.5,9.7,1,3,NA,83,NA,NA
9,10,2018-10-30,10.34,10.54,1,2,NA,84,NA,NA
10,1,2019-08-27,9.62,10.03,1,1,NA,85,NA,NA
10,2,2019-09-03,9.38,9.8,1,1,NA,86,NA,NA
10,3,2019-09-10,8.94,9.42,1,1,NA,87,NA,NA
10,4,2019-09-17,8.96,9.49,1,2,NA,88,NA,NA
10,5,2019-09-24,9.26,9.64,1,2,NA,89,NA,NA
10,6,2019-10-01,8.7,9.19,1,3,NA,90,NA,NA
10,7,2019-10-08,8.98,9.42,1,3,NA,91,NA,NA
10,8,2019-10-15,9.19,9.48,1,3,NA,92,NA,NA
10,9,2019-10-22,9.34,9.67,1,3,NA,93,NA,NA
10,10,2019-10-29,10.05,10.21,1,3,NA,94,NA,NA
