series,episode,baker,result,signature,technical,showstopper
1,4,Ruth,IN,Peach and Blueberry Boy Bait,4,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings"
1,4,David,OUT,Pear and Walnut Pudding,5,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear"
1,4,Annetha,NA,NA,NA,NA
1,4,Jonathan,NA,NA,NA,NA
1,4,Lea,NA,NA,NA,NA
1,4,Louise,NA,NA,NA,NA
1,4,Mark,NA,NA,NA,NA
1,5,Edd,IN,"Chicken, Ham, Leek and Tarragon Pie",2,"Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés"
1,5,Miranda,IN,"Summery Salmon, Cod and Prawn Fish Pie",1,"Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganache  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés"
1,5,Ruth,IN,Minced Beef Pie,3,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee Top  Tomato, Asparagus Twirl Canapés"
1,5,Jasminder,OUT,Chicken and Mushroom Pie,4,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés"
1,5,Annetha,NA,NA,NA,NA
1,5,David,NA,NA,NA,NA
1,5,Jonathan,NA,NA,NA,NA
1,5,Lea,NA,NA,NA,NA
1,5,Louise,NA,NA,NA,NA
1,5,Mark,NA,NA,NA,NA
1,6,Miranda,Runner-up,Lemon Cupcake,NA,NA
1,6,Ruth,Runner-up,"Mint, Ginger and Blackberry Cake",NA,Red Pepper and Cheese Quiche TartsSultana SconesVanilla and Lemon Choux BunsFinger Sandwiches
1,6,Edd,WINNER,Cinnamon and Banana Cake,NA,Chocolate and Ginger TartsLemon Scones with Passion Fruit CurdRaspberry Choux BunsFinger Sandwiches
1,6,Annetha,NA,NA,NA,NA
1,6,David,NA,NA,NA,NA
1,6,Jasminder,NA,NA,NA,NA
1,6,Jonathan,NA,NA,NA,NA
1,6,Lea,NA,NA,NA,NA
1,6,Louise,NA,NA,NA,NA
1,6,Mark,NA,NA,NA,NA
2,1,Ben,IN,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,2,Vanilla Sponge with White Chocolate and Raspberry Buttercream
2,1,Ian,IN,Apple and Cinnamon Cupcakes,10,NA
2,1,Janet,IN,Raspberry and Cream Cupcakes,8,Chocolate Marble Cakewith Dark and White Chocolate Truffles
2,1,Jason,IN,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,6,NA
2,1,Joanne,IN,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,11,Chocolate and Strawberry Cake
2,1,Mary-Anne,IN,Banoffee Cupcakes,4,Chocolate and Raspberry Opera Cake
2,1,Robert,IN,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,3,Genoise Layered Mousse Cakewith Chocolate Ganache
2,1,Simon,IN,Guinness and Chocolate Cupcakes,9,Two-Tiered Chocolate Courgette Cake
2,1,Urvashi,IN,Cherry Blossom CupcakesJapanese Lime Cupcakes,7,NA
2,1,Yasmin,IN,Cardamom and Pomegranate Cupcakes,5,NA
2,1,Keith,OUT,Earl Grey Cupcakes,12,Chocolate and Sour Cream Cake
2,1,Holly,STAR BAKER,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,1,Novelty Farm Cake
2,2,Ben,IN,"Chorizo, Pepper and Gruyere Quiche",1,Lemon Meringue Tarts
2,2,Holly,IN,Pesto Quiche,4,Milk Chocolate and Pistachio TartsTrifle Tarts
2,2,Ian,IN,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",2,NA
2,2,Janet,IN,Quiche Printanière,8,Red Fruit TartsChocolate and Cherry Tarts
2,2,Joanne,IN,"Caramelised Onion, Gruyere and Thyme Quiche",10,Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust
2,2,Mary-Anne,IN,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",9,Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts
2,2,Robert,IN,Smoked Bacon and Kale Quiche,5,"Chocolate, Fennel and Ginger TartAlmond, Creme Patisserie and Poached Pear Tart"
2,2,Urvashi,IN,"Crab, Coriander and Coconut Quiche",7,Strawberry and Basil TartsElderflower and Honeycomb Tarts
2,2,Yasmin,IN,Smoked Haddock and Watercress Quiche,6,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts
2,2,Simon,OUT,Smoked Haddock and Watercress Quiche,11,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts"
2,2,Jason,STAR BAKER,Salmon and Pak Choi Quiche,3,Mint Chocolate TartsBlueberry Bakewell Tarts
2,2,Keith,NA,NA,NA,NA
2,3,Ben,IN,"Walnut, Raisin and Rosemary Loaf",3,NA
2,3,Holly,IN,Picnic Loaf,6,Stilton and Walnut Rolls
2,3,Janet,IN,Zupfe Loaf with Gruyère Cheese,8,Apple and Walnut Granary Rolls Red Onion Cottage Rolls
2,3,Jason,IN,Cheese and Onion Tear and Share Loaf,7,NA
2,3,Joanne,IN,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",1,NA
2,3,Mary-Anne,IN,Ploughman's Loaf,5,Herb and Walnut BreadsChocolate and Chilli Buns
2,3,Robert,IN,Rye and Coriander Seed Loaf,4,Blueberry Brioche RollsLemon and Poppy Seed Rolls
2,3,Ian,OUT,"Courgette, Caerphilly Cheese and Thyme Loaf",10,Walnut and Raisin RollsCracked Wheat Logs
2,3,Urvashi,OUT,Salt and Peppercorn Loaf,9,Chilli and Halloumi RollsLemon and Coriander Mini Loaves
2,3,Yasmin,STAR BAKER,Egyptian Dukkah Loaf with Mixed Spices,2,Pesto BreadSweet Coconut Rolls
2,3,Keith,NA,NA,NA,NA
2,3,Simon,NA,NA,NA,NA
2,4,Janet,IN,Christmas Marzipan Biscuits,4,Raspberry MacaronsBlackcurrant MacaronsAlmond Macarons
2,4,Joanne,IN,Lavender Biscuits,8,Blueberry MacaronsCoconut MacaronsStrawberry Macarons
2,4,Mary-Anne,IN,Melting Moments,2,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons
2,4,Robert,IN,Chocolate and Ginger Oat Biscuits,7,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons
2,4,Yasmin,IN,Chocolate Chip and Pistachio Biscotti,6,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons
2,4,Ben,OUT,Stem Ginger Nuts,5,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
2,4,Holly,STAR BAKER,Strawberry and Custard Melts,3,"'Chocolate bars of my youth'(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)"
2,4,Jason,STAR BAKER,Lebkuchen,1,"Mocktail Macarons(Mojito, Cranberry Cooler, and Pina Colada)"
2,4,Ian,NA,NA,NA,NA
2,4,Keith,NA,NA,NA,NA
2,4,Simon,NA,NA,NA,NA
2,4,Urvashi,NA,NA,NA,NA
2,5,Holly,IN,"Stilton, Potato and Caramelised Onion Pie",4,Lime Meringue Pie
2,5,Joanne,IN,Salmon and Asparagus Pie,6,Apple and Raspberry Meringue Pie
2,5,Mary-Anne,IN,Chicken and Bacon Pie,2,Midnight Meringue
2,5,Yasmin,IN,Family Fish Pie,5,Peach and Raspberry Meringue Pie
2,5,Jason,OUT,Brown Down Chicken Pie,7,Plum Meringue Pie
2,5,Robert,OUT,Chicken and Mushroom Pie,3,Rhubarb & Custard Meringue Pie
2,5,Janet,STAR BAKER,Chicken and Chestnut Pie,1,Rhubarb Meringue Pie
2,5,Ben,NA,NA,NA,NA
2,5,Ian,NA,NA,NA,NA
2,5,Keith,NA,NA,NA,NA
2,5,Simon,NA,NA,NA,NA
2,5,Urvashi,NA,NA,NA,NA
2,6,Holly,IN,Father Christmas' Baked Cheesecake,3,Hansel and Gretel's Croquembouche
2,6,Janet,IN,Rhubarb and Ginger Baked Cheesecake,5,Orange and Nougatine Croquembouche
2,6,Mary-Anne,IN,Tutti Fruitti Curd Baked Cheesecake,4,Orange and Praline Croquembouche with Cardamom Caramel
2,6,Yasmin,OUT,Baked Amaretto Cheesecake,2,Rose Croquembouche
2,6,Joanne,STAR BAKER,Rum and Raisin Baked Cheesecake,1,Limoncello and White Chocolate Croquembouche
2,6,Ben,NA,NA,NA,NA
2,6,Ian,NA,NA,NA,NA
2,6,Jason,NA,NA,NA,NA
2,6,Keith,NA,NA,NA,NA
2,6,Robert,NA,NA,NA,NA
2,6,Simon,NA,NA,NA,NA
2,6,Urvashi,NA,NA,NA,NA
2,7,Holly,IN,"White Chocolate, Hazelnut and Raspberry Génoise Mousse Cake",1,"Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits"
2,7,Joanne,IN,Raspberry & Strawberry Mousse Cake,3,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries
2,7,Mary-Anne,IN,Chocolate and Orange Mousse Cake,2,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes
2,7,Janet,OUT,Chocolate Amaretto Mousse Cake,4,Pain Aux RaisinPlain CroissantPain Au Chocolat
2,7,Ben,NA,NA,NA,NA
2,7,Ian,NA,NA,NA,NA
2,7,Jason,NA,NA,NA,NA
2,7,Keith,NA,NA,NA,NA
2,7,Robert,NA,NA,NA,NA
2,7,Simon,NA,NA,NA,NA
2,7,Urvashi,NA,NA,NA,NA
2,7,Yasmin,NA,NA,NA,NA
2,8,Holly,Runner-up,Banoffee Inspired Mille Feuille,2,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich
2,8,Mary-Anne,Runner-up,Lemon and Ginger Mille Feuille,3,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub
2,8,Joanne,WINNER,Raspberry and Blueberry Mille Feuille,1,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse"
2,8,Ben,NA,NA,NA,NA
2,8,Ian,NA,NA,NA,NA
2,8,Janet,NA,NA,NA,NA
2,8,Jason,NA,NA,NA,NA
2,8,Keith,NA,NA,NA,NA
2,8,Robert,NA,NA,NA,NA
2,8,Simon,NA,NA,NA,NA
2,8,Urvashi,NA,NA,NA,NA
2,8,Yasmin,NA,NA,NA,NA
3,1,Brendan,IN,"Plum, Sour Cherry & Walnut Upside Down Cake",10,St. Patrick's Day Cake with Hidden Irish Flag[12]
3,1,Cathryn,IN,"Apple, Hazelnut and Calvados Upside Down Cake",5,Hidden Cupcake Cake
3,1,Danny,IN,"Plum, Ginger & Orange Upside Down Cake",7,Nectar Cake with Hidden Beehive[13]
3,1,James,IN,"Parsnip, Pear, and Pecan Upside Down Cake",2,"""Simmer Dim"" Sunset Cake"
3,1,John,IN,"Toffee Apple, Orange & Cranberry Upside Down Cake",11,Hidden Pink Hearts Cake
3,1,Manisha,IN,"Vanilla, Peach and Raspberry Upside Down Cake",6,White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart
3,1,Peter,IN,"Pear, Muscat & Chocolate Upside Down Cake",3,Jubilee Cake
3,1,Ryan,IN,Kumquat and Orange Polenta Upside Down Cake,8,Hidden Flowerbed Mousse Cake
3,1,Sarah-Jane,IN,"Pear, Chocolate and Hazelnut Upside Down Cake",1,Hidden Crown Cake
3,1,Stuart,IN,Tomato and Ginger Upside Down Cake,9,Lemon and Pistachio Union Flag Cake
3,1,Natasha,OUT,Pineapple & Passion Fruit Upside Down Cake,12,Mother's Day Layered Rose Cake
3,1,Victoria,STAR BAKER,Pear and Pecan Upside Down Cake,4,Blackbird Pie Cake
3,2,Brendan,IN,Middle Eastern Taboon BreadIndian Roti,4,Chocolate and Vanilla Bagels; Cumin and Gruyere Bagels
3,2,Cathryn,IN,"Spiced Mango NaanLime, Coriander and Chilli Tortillas",8,"Cranberry and Orange Bagels; Chipotle, Chilli, and Smoked Cheddar Bagels"
3,2,Danny,IN,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,3,NA
3,2,James,IN,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones",2,"Orange, Mint and Chocolate Bagels; 'Millers' Sourdough Bagels"
3,2,Manisha,IN,Indian FlatbreadsItalian Flatbreads,6,NA
3,2,Ryan,IN,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,5,Cinnamon and Date Bagels; Tarragon and Rosemary Bagels
3,2,Sarah-Jane,IN,Coconut RotiOatcakes,10,NA
3,2,Stuart,IN,Bombay BreadChorizo and Spring Onion Naan,9,Cinnamon and Cranberry Bagels; Tomato and Thyme Bagels
3,2,Victoria,IN,Coriander and Lemon NaanGarlic and Parsnip Chapatis,7,Saffron and Golden Raisin Bagels; Porcini Bagels
3,2,Peter,OUT,Fennel and Nigella Seed NaanBannock Bread,11,Rosemary and Sea Salt Bagels; Apple and Cinnamon Bagels
3,2,John,STAR BAKER,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas",1,"Fig, Walnut and Gruyere Bagels;   Blueberry and White Chocolate Bagels"
3,2,Natasha,NA,NA,NA,NA
3,3,Brendan,IN,Apple and Ginger Tarte Tatin,9,"Blackberry, Nectarine and Dragon Fruit Tart"
3,3,Cathryn,IN,"Plum, Cherry and Five Spice Tarte Tatin",3,"Raspberry, Pistachio and Lemon Tart"
3,3,Danny,IN,Savoury Pear and Roquefort Tarte Tatin,2,"Pineapple, Coconut and Frangipane Tart"
3,3,John,IN,Apple and Vanilla Tarte Tatin with Walnut Praline,6,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart"
3,3,Manisha,IN,"Cinnamon, Apple and Pear Tarte Tatin",10,Rum and Tropical Fruit Tart
3,3,Ryan,IN,Spiced Pear Tarte Tatin,5,NA
3,3,Sarah-Jane,IN,Caramelised Banana Tarte Tatin,8,French Apple Tart with Blackberry and Cassis Jam
3,3,Stuart,IN,Pear and Almond Tarte Tatin,7,Raspberry Triple Chocolate Layered Tart
3,3,Victoria,OUT,"Fig, Walnut and Pink Peppercorn Tarte Tatin",4,Tropical Fruit Tart with Black Pepper Crust
3,3,James,STAR BAKER,Apple and Lavender Tarte Tatin,1,"Rose, Lychee and Raspberry Fruit Tart"
3,3,Natasha,NA,NA,NA,NA
3,3,Peter,NA,NA,NA,NA
3,4,Cathryn,IN,"White Chocolate, Macadamia and Coffee Torte",3,"Gooseberry, Almond and Honey Meringue"
3,4,Danny,IN,"Blackberry, White Chocolate, Lemon and Elderflower Torte",2,"'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise"
3,4,James,IN,"Hazelnut, Chocolate and Passionfruit Torte",5,"Fig, Chestnut, Cherry and Chocolate Layered Meringue"
3,4,John,IN,'Torte Noir' Black Forest Torte with Boozy Cream,6,Elderflower and Bramble Berry Pavlova
3,4,Manisha,IN,"Almond, Chocolate and Cherry Torte",9,Tiramisu Layered Meringue Dessert
3,4,Ryan,IN,Green Tea Opera Torte,7,"Strawberry, Rose and Pistachio Meringue"
3,4,Sarah-Jane,IN,Chocolate and Almond Truffle Torte,4,Hazelnut Tiramisu Layered Meringue
3,4,Stuart,OUT,Black Forest Torte,8,Choca Blocka Mocha Meringue
3,4,Brendan,STAR BAKER,Clementine and Chestnut Torte,1,"Pear, Chocolate and Hazelnut Dacquoise"
3,4,Natasha,NA,NA,NA,NA
3,4,Peter,NA,NA,NA,NA
3,4,Victoria,NA,NA,NA,NA
3,5,Brendan,IN,Salmon Coulibiac in a Scandinavian Pastry,3,All American Chiffon Pie
3,5,Cathryn,IN,Full English Wellington,1,Chocolate and Peanut Butter Pumpkin Pie
3,5,Danny,IN,"Chickpea, Spinach & Mushroom Wellington",7,Trick or Treat Pumpkin Pie
3,5,James,IN,Four Pig Wellington,6,Sweet Potato Pie
3,5,John,IN,Venison and Haggis Wellington,2,Star Spangled Pecan Pie
3,5,Sarah-Jane,IN,Beef Wellington with Parma Ham and Gorgonzola Cheese,4,Chocolate and Banana Cream Pie
3,5,Manisha,OUT,Lamb Wellington with Rosemary and Mint,5,Banana Scotch Pie
3,5,Ryan,STAR BAKER,Curry Spiced Seabass Wellington,8,Key Lime Pie
3,5,Natasha,NA,NA,NA,NA
3,5,Peter,NA,NA,NA,NA
3,5,Stuart,NA,NA,NA,NA
3,5,Victoria,NA,NA,NA,NA
3,6,Cathryn,IN,Chocolate Walnut Whip PuddingsElderflower Sponges,3,"Roasted Vegetable, Couscous and Sheep Cheese Strudel"
3,6,Danny,IN,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,2,"Leek, Potato, Pistachio and Gruyère Strudel"
3,6,James,IN,Banana and Clove PuddingsClootie Dumplings,7,"Strawberry, Rhubarb and Ginger Strudel"
3,6,John,IN,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,5,Did not complete due to injury[1]
3,6,Ryan,IN,Chocolate FondantsSticky Ginger and Date Puddings,6,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel"
3,6,Sarah-Jane,IN,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,4,Sweet Strudel with Sour Cherries
3,6,Brendan,STAR BAKER,"Rhubarb, Strawberry and Ginger PuddingsSticky Toffee Puddings",1,"Spinach, Cheese and Walnut Strudel"
3,6,Manisha,NA,NA,NA,NA
3,6,Natasha,NA,NA,NA,NA
3,6,Peter,NA,NA,NA,NA
3,6,Stuart,NA,NA,NA,NA
3,6,Victoria,NA,NA,NA,NA
3,7,Brendan,IN,Chelsea Bunskis,4,Black Forest Christmas Stollen
3,7,Cathryn,IN,Lady Arundel's Manchet Buns,5,Bonfire Night Tear 'N' Share Brioche
3,7,James,IN,Easter Chelsea Buns,1,Whisky Kugelhopf-Brioche Baba
3,7,John,IN,Cherry and Almond Saffron Buns,3,Marzipan Stollen
3,7,Ryan,OUT,Lardy Cakes,6,Char Siu Bao
3,7,Sarah-Jane,OUT,"Orange, Nutmeg and Saffron Buns",7,Sour Cherry and Dark Chocolate Christmas Plait
3,7,Danny,STAR BAKER,Bakewell Chelsea Buns,2,European Christmas Wreath
3,7,Manisha,NA,NA,NA,NA
3,7,Natasha,NA,NA,NA,NA
3,7,Peter,NA,NA,NA,NA
3,7,Stuart,NA,NA,NA,NA
3,7,Victoria,NA,NA,NA,NA
3,8,Brendan,IN,Multi-Seed Savoury Crackers,2,Fantasy Gingerbread Bird House
3,8,Danny,IN,Spiced Almond Drinks Crackers,4,Gingerbread Big Ben
3,8,John,IN,Asian Spice Crackers,3,Gingerbread Roman Coliseum
3,8,Cathryn,OUT,Cheese and Pickle Crackers,5,Gingerbread Buckingham Palace
3,8,James,STAR BAKER,"Smoky Cayenne, Cumin and Chilli Crackers",1,Gingerbread Barn
3,8,Manisha,NA,NA,NA,NA
3,8,Natasha,NA,NA,NA,NA
3,8,Peter,NA,NA,NA,NA
3,8,Ryan,NA,NA,NA,NA
3,8,Sarah-Jane,NA,NA,NA,NA
3,8,Stuart,NA,NA,NA,NA
3,8,Victoria,NA,NA,NA,NA
3,9,Brendan,IN,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,3,Gateau St. Honoré
3,9,John,IN,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macarons,2,Gateau St. Honoré a la Passion
3,9,Danny,OUT,Blackberry and Peppermint MacaronsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,4,Rosewater and Lychee St. Honoré
3,9,James,STAR BAKER,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macarons",1,"Coffee, Caramel and Hazelnut Paris–Brest"
3,9,Cathryn,NA,NA,NA,NA
3,9,Manisha,NA,NA,NA,NA
3,9,Natasha,NA,NA,NA,NA
3,9,Peter,NA,NA,NA,NA
3,9,Ryan,NA,NA,NA,NA
3,9,Sarah-Jane,NA,NA,NA,NA
3,9,Stuart,NA,NA,NA,NA
3,9,Victoria,NA,NA,NA,NA
3,10,Brendan,Runner-up,Potato and Pepper Pithivier,2,Family Reunion Chiffon Cake
3,10,James,Runner-up,Spanish Pithivier with Chorizo and Red Pepper,1,United Chiffon Cakes
3,10,John,WINNER,Italian Sausage and Roasted Vegetable Pithivier,2,Heaven and Hell Chiffon Cake
3,10,Cathryn,NA,NA,NA,NA
3,10,Danny,NA,NA,NA,NA
3,10,Manisha,NA,NA,NA,NA
3,10,Natasha,NA,NA,NA,NA
3,10,Peter,NA,NA,NA,NA
3,10,Ryan,NA,NA,NA,NA
3,10,Sarah-Jane,NA,NA,NA,NA
3,10,Stuart,NA,NA,NA,NA
3,10,Victoria,NA,NA,NA,NA
4,1,Ali,IN,Rose and Pistachio Cake,11,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
4,1,Beca,IN,Grapefruit Sandwich Cake,8,Chocolate Cherry Indulgence
4,1,Christine,IN,"Strawberry, Vanilla and Rosewater Summer Basket",3,Chocolate and Orange 'Fripperous' Hat Cake
4,1,Deborah,IN,Pineapple Cake,9,'Coffee Time'
4,1,Frances,IN,Giant Jam Sandwich,7,Secret Squirrel Cake
4,1,Glenn,IN,Strawberries and Cream Cake,4,Almond and Espresso Chocolate Cake
4,1,Howard,IN,Passion Fruit and Coconut Cake,6,Black Forest Revisited
4,1,Kimberley,IN,Blood Orange Cake,10,"Chocolate, Raspberry & Basil Layer Cake"
4,1,Lucy,IN,Timperley Early Cake,2,Thyme 'Wildwood' Cake
4,1,Mark,IN,Lemon and Poppy Seed Cake,5,Chocolate Monster
4,1,Ruby,IN,Rhubarb and Custard Sandwich Cake,12,Chocolate and Ginger Night Sky Cake
4,1,Toby,OUT,Spiced and Iced Carrot Cake,13,Two Tiered Chocolate Cake
4,1,Robert,STAR BAKER,Pecan and Apple Cake,1,Raspberry Chocolate Cake
4,2,Ali,IN,Italian Grissini,9,Sweet and Savoury Yin Yang Bread
4,2,Beca,IN,Fennel and Chilli Breadsticks,11,Five Strand Christmas Wreath
4,2,Christine,IN,Mediterranean Breadsticks with Oregano,4,Double Plaited Loaf
4,2,Deborah,IN,Fennel & Chilli Breadsticks,8,Walnut Fleur Loaf
4,2,Frances,IN,Giant Matchsticks,2,Sailor's Knot
4,2,Glenn,IN,Rosemary and Parmesan Grissini,7,Harvest Crown
4,2,Howard,IN,Moroccan Breadsticks,10,Picasso Sun Bread
4,2,Kimberley,IN,Nigella Seed and Parmesan Breadsticks,1,Peace Bread
4,2,Mark,IN,Rosemary & Raisin Breadsticks,6,Sage and Garlic Plait
4,2,Robert,IN,Twisty Rye Bread Sticks,5,Tribute Loaf
4,2,Lucy,OUT,Grissini with Salt,12,Roasted Tomato Bread
4,2,Ruby,STAR BAKER,Mexican Breadsticks,3,White Chocolate and Orange Peacock Bread
4,2,Toby,NA,NA,NA,NA
4,3,Ali,IN,"Coconut, Raspberry and Lemon Meringue Trifle",5,Vanilla Latte Mini CakesLime & Mint Shortbread Pops
4,3,Beca,IN,Orange and Ginger Trifle,10,Limoncello and Blueberry BurstsMillionaire Shortbread
4,3,Frances,IN,Apple and Blackberry Crumble Trifle,8,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes
4,3,Glenn,IN,Raspberry and Almond Trifle,1,Billionaire BouchéesOrange Financiers
4,3,Howard,IN,Caramel and Apple Trifle*,7,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits
4,3,Kimberley,IN,"Peach, Almond and Ginger Trifle",6,Chocolate Pistachio FinanciersLemon Bergamot Biscuits
4,3,Robert,IN,Rhubarb and Orange Trifle,2,Almond FriandsTurón Macarons
