series,baker,star_baker,technical_winner,technical_top3,technical_bottom,technical_highest,technical_lowest,technical_median,series_winner,series_runner_up,total_episodes_appeared,first_date_appeared,last_date_appeared,first_date_us,last_date_us,percent_episodes_appeared,percent_technical_top3,baker_full,age,occupation,hometown,baker_last,baker_first
4,Ruby,0,2,6,4,1,12,3,0,0,10,2013-08-20,2013-10-22,NA,NA,100,60,Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",Tandoh,Ruby
4,Toby,0,0,0,1,13,13,13,0,0,1,2013-08-20,2013-08-20,NA,NA,10,0,Toby Waterworth,30,Web Programmer,"Reading, Berkshire",Waterworth,Toby
5,Chetna,0,1,5,4,1,8,3,0,0,9,2014-08-06,2014-10-01,NA,NA,90,55.55555555555556,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",Makan,Chetna
5,Claire,0,0,0,1,8,8,8,0,0,1,2014-08-06,2014-08-06,NA,NA,10,0,Claire Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",Goodwin,Claire
5,Diana,0,0,0,4,5,9,7,0,0,10,2014-08-06,2014-10-08,NA,NA,100,0,Diana Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Beard,Diana
5,Enwezor,0,0,0,2,9,9,9,0,0,2,2014-08-06,2014-08-13,NA,NA,20,0,Enwezor Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",Nzegwu,Enwezor
5,Iain,0,0,0,4,4,11,7.5,0,0,4,2014-08-06,2014-08-27,NA,NA,40,0,Iain Watters,31,Construction Engineer,London/Belfast,Watters,Iain
5,Jordan,0,0,0,3,6,12,10,0,0,3,2014-08-06,2014-08-20,NA,NA,30,0,Jordan Cox,32,IT Manager,"Sneinton, Nottingham",Cox,Jordan
5,Kate,0,1,2,5,1,7,4,0,0,7,2014-08-06,2014-09-17,NA,NA,70,28.571428571428573,Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",Henry,Kate
5,Luis,0,1,7,3,1,7,2.5,0,0,10,2014-08-06,2014-10-08,NA,NA,100,70,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",Troyano,Luis
5,Martha,0,2,5,3,1,5,3,0,0,8,2014-08-06,2014-09-24,NA,NA,80,62.5,Martha Collison,17,Student,"Ascot, Berkshire",Collison,Martha
5,Nancy,0,3,7,3,1,5,2.5,1,0,10,2014-08-06,2014-10-08,NA,NA,100,70,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Birtwhistle,Nancy
5,Norman,0,0,0,5,4,11,8,0,0,5,2014-08-06,2014-09-03,NA,NA,50,0,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray",Calder,Norman
5,Richard,0,2,4,6,1,10,4.5,0,0,10,2014-08-06,2014-10-08,NA,NA,100,40,Richard Burr,38,Builder,"Mill Hill, London",Burr,Richard
6,Alvin,0,0,1,5,2,9,6,0,0,6,2015-08-05,2015-09-09,NA,NA,60,16.666666666666668,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",Magallanes,Alvin
6,Dorret,0,1,1,2,1,6,5,0,0,3,2015-08-05,2015-08-19,NA,NA,30,33.333333333333336,Dorret Conway,53,Accountant,"Penwortham, Lancashire",Conway,Dorret
6,Flora,0,1,7,2,1,6,3,0,0,9,2015-08-05,2015-09-30,NA,NA,90,77.77777777777777,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Shedden,Flora
6,Ian,0,1,6,4,1,8,3,0,0,10,2015-08-05,2015-10-07,NA,NA,100,60,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Cumming,Ian
6,Marie,0,0,1,1,3,11,7,0,0,2,2015-08-05,2015-08-12,NA,NA,20,50,Marie Campbell,66,Retired,"Auchterarder, Perthshire",Campbell,Marie
6,Mat,0,1,1,6,1,8,6,0,0,7,2015-08-05,2015-09-16,NA,NA,70,14.285714285714286,Mat Riley,37,Fire fighter,London,Riley,Mat
6,Nadiya,0,4,4,6,1,12,4,1,0,10,2015-08-05,2015-10-07,NA,NA,100,40,Nadiya Hussain,30,Full-time mother,Leeds / Luton,Hussain,Nadiya
6,Paul,0,1,3,5,1,10,5,0,0,8,2015-08-05,2015-09-23,NA,NA,80,37.5,Paul Jagger,49,Prison governor,"Swansea, Wales",Jagger,Paul
6,Sandy,0,0,0,4,4,9,6.5,0,0,4,2015-08-05,2015-08-26,NA,NA,40,0,Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Docherty,Sandy
6,Stu,0,0,0,1,11,11,11,0,0,1,2015-08-05,2015-08-05,NA,NA,10,0,Stu Henshall,35,Professional musician,"Guildford, Surrey",Henshall,Stu
6,Tamal,0,0,4,6,2,8,4,0,0,10,2015-08-05,2015-10-07,NA,NA,100,40,Tamal Ray,29,Trainee anaesthetist,Manchester,Ray,Tamal
6,Ugnė,0,1,2,3,1,7,5,0,0,5,2015-08-05,2015-09-02,NA,NA,50,40,Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Bubnaityte,Ugnė
7,Andrew,0,2,5,5,1,12,3,0,0,10,2016-08-24,2016-10-26,NA,NA,100,50,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Smyth,Andrew
7,Benjamina,0,1,4,4,1,6,3.5,0,0,8,2016-08-24,2016-10-12,NA,NA,80,50,Benjamina Ebuehi,23,Teaching assistant,South London,Ebuehi,Benjamina
7,Candice,0,1,7,3,1,8,2.5,1,0,10,2016-08-24,2016-10-26,NA,NA,100,70,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Brown,Candice
7,Jane,0,2,5,5,1,9,3.5,0,0,10,2016-08-24,2016-10-26,NA,NA,100,50,Jane Beedle,61,Garden designer,Beckenham,Beedle,Jane
7,Kate,0,1,1,3,1,8,5.5,0,0,4,2016-08-24,2016-09-14,NA,NA,40,25,Kate Barmby,37,Nurse,"Brooke, Norfolk",Barmby,Kate
7,Lee,0,0,0,1,11,11,11,0,0,1,2016-08-24,2016-08-24,NA,NA,10,0,Lee Banfield,67,Pastor,Bolton,Banfield,Lee
7,Louise,0,0,0,2,9,10,9.5,0,0,2,2016-08-24,2016-08-31,NA,NA,20,0,Louise Williams,46,Hairdresser,Cardiff,Williams,Louise
7,Michael,0,0,1,2,3,9,7,0,0,3,2016-08-24,2016-09-07,NA,NA,30,33.333333333333336,Michael Georgiou,20,Student,Durham,Georgiou,Michael
7,Rav,0,0,1,5,3,10,8,0,0,6,2016-08-24,2016-09-28,NA,NA,60,16.666666666666668,Rav Bansal,28,Student support,Erith,Bansal,Rav
7,Selasi,0,1,3,6,1,11,5,0,0,9,2016-08-24,2016-10-19,NA,NA,90,33.333333333333336,Selasi Gbormittah,30,Client service associate,London,Gbormittah,Selasi
7,Tom,0,1,2,5,1,7,4,0,0,7,2016-08-24,2016-10-05,NA,NA,70,28.571428571428573,Tom Gilliford,26,Project engagement manager,Rochdale,Gilliford,Tom
7,Val,0,1,1,4,1,10,6,0,0,5,2016-08-24,2016-09-21,NA,NA,50,20,"Valerie ""Val"" Stones",66,"Semi-retired, Substitute teacher",Yeovil,Stones,Valerie
8,Chris,0,0,0,2,11,12,11.5,0,0,2,2017-08-29,2017-09-05,NA,NA,20,0,Chris Geiger,50,Software developer,Bristol,Geiger,Chris
8,Flo,0,0,0,3,7,10,9,0,0,3,2017-08-29,2017-09-12,NA,NA,30,0,Flo Atkins,71,Retired,Merseyside,Atkins,Flo
8,James,0,0,3,2,2,9,3,0,0,5,2017-08-29,2017-09-26,NA,NA,50,60,James Hillery,46,Banker,"Brentwood, Essex",Hillery,James
8,Julia,0,0,3,3,2,9,3.5,0,0,6,2017-08-29,2017-10-03,NA,NA,60,50,Julia Chernogorova,21,Aviation Broker,"Crawley, West Sussex",Chernogorova,Julia
8,Kate,0,1,3,7,1,10,5.5,0,0,10,2017-08-29,2017-10-31,NA,NA,100,30,Kate Lyon,29,Health and safety inspector,Merseyside,Lyon,Kate
8,Liam,0,0,3,5,2,8,4.5,0,0,8,2017-08-29,2017-10-17,NA,NA,80,37.5,Liam Charles,19,Student,North London,Charles,Liam
8,Peter,0,0,0,1,10,10,10,0,0,1,2017-08-29,2017-08-29,NA,NA,10,0,Peter Abatan,52,IT programme manager,"Southend, Essex",Abatan,Peter
8,Sophie,0,2,6,4,1,6,2.5,1,0,10,2017-08-29,2017-10-31,NA,NA,100,60,Sophie Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Faldo,Sophie
8,Stacey,0,2,4,5,1,11,4,0,0,9,2017-08-29,2017-10-24,NA,NA,90,44.44444444444444,Stacey Hart,42,Former school teacher,"Radlett, Hertfordshire",Hart,Stacey
8,Steven,0,3,6,4,1,7,3,0,0,10,2017-08-29,2017-10-31,NA,NA,100,60,Steven Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Carter-Bailey,Steven
8,Tom,0,0,0,4,4,7,5,0,0,4,2017-08-29,2017-09-19,NA,NA,40,0,Tom Hetherington,29,Architect,Edinburgh,Hetherington,Tom
8,Yan,0,2,2,5,1,8,5,0,0,7,2017-08-29,2017-10-10,NA,NA,70,28.571428571428573,"Chuen-Yan ""Yan"" Tsou",46,Laboratory research scientist,North London,Tsou,Chuen-Yan
9,Antony,0,0,0,3,8,12,9,0,0,3,NA,NA,NA,NA,30,0,Antony Amourdoux,30,Banker,London,Amourdoux,Antony
9,Briony,0,2,4,5,1,9,5,0,0,9,NA,NA,NA,NA,90,44.44444444444444,Briony Williams,33,Full-time parent,Bristol,Williams,Briony
9,Dan,0,1,3,3,1,6,3.5,0,0,6,NA,NA,NA,NA,60,50,Dan Beasley-Harling,36,Full-time parent,London,Beasley-Harling,Dan
9,Imelda,0,0,0,1,11,11,11,0,0,1,NA,NA,NA,NA,10,0,Imelda McCarron,33,Countryside recreation officer,County Tyrone,McCarron,Imelda
9,Jon,0,1,4,3,1,7,3,0,0,7,NA,NA,NA,NA,70,57.142857142857146,Jon Jenkins,47,Blood courier,Newport,Jenkins,Jon
9,Karen,0,0,0,5,5,11,7,0,0,5,NA,NA,NA,NA,50,0,Karen Wright,60,In-store sampling assistant,Wakefield,Wright,Karen
9,Kim-Joy,0,1,3,7,1,10,4.5,0,0,10,NA,NA,NA,NA,100,30,Kim-Joy Hewlett,27,Mental health specialist,Leeds,Hewlett,Kim-Joy
9,Luke,0,0,0,2,7,8,7.5,0,0,2,NA,NA,NA,NA,20,0,Luke Thompson,30,Civil servant/house and techno DJ,Sheffield,Thompson,Luke
9,Manon,0,0,3,5,2,8,4,0,0,8,NA,NA,NA,NA,80,37.5,Manon Lagrève,26,Software project manager,London,Lagrève,Manon
9,Rahul,0,1,5,5,1,7,3.5,1,0,10,NA,NA,NA,NA,100,50,Rahul Mandal,30,Research scientist,Rotherham,Mandal,Rahul
9,Ruby,0,3,7,3,1,10,3,0,0,10,NA,NA,NA,NA,100,70,Ruby Bhogal,29,Project manager,London,Bhogal,Ruby
9,Terry,0,1,1,3,1,9,8,0,0,5,NA,NA,NA,NA,50,20,Terry Hartill,56,Retired air steward,West Midlands,Hartill,Terry
10,Alice,0,2,4,6,1,8,4.5,0,0,10,NA,NA,NA,NA,100,40,Alice Fevronia,28,Geography teacher,Essex,Fevronia,Alice
10,Amelia,0,0,0,3,4,11,9,0,0,3,NA,NA,NA,NA,30,0,Amelia Le Bruin,24,Fashion designer,Halifax,Bruin,Amelia
10,Dan,0,0,0,1,9,9,9,0,0,1,NA,NA,NA,NA,10,0,Dan Chambers,32,Support worker,Rotherham,Chambers,Dan
10,David,0,2,8,2,1,10,2,1,0,10,NA,NA,NA,NA,100,80,David Atherton,36,International health adviser,Whitby,Atherton,David
10,Helena,0,1,1,4,1,12,9,0,0,5,NA,NA,NA,NA,50,20,Helena Garcia,40,Online project manager,Leeds,Garcia,Helena
10,Henry,0,2,5,3,1,6,3,0,0,8,NA,NA,NA,NA,80,62.5,Henry Bird,20,Student,Durham,Bird,Henry
10,Jamie,0,0,0,2,11,13,12,0,0,2,NA,NA,NA,NA,20,0,Jamie Finn,20,Part-time waiter,Surrey,Finn,Jamie
10,Michael,0,0,0,7,4,11,6,0,0,7,NA,NA,NA,NA,70,0,Michael Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,Chakraverty,Michael
10,Michelle,0,0,0,5,5,8,6,0,0,5,NA,NA,NA,NA,50,0,Michelle Evans-Fecci,35,Print shop administrator,"Tenby, Wales",Evans-Fecci,Michelle
10,Phil,0,0,1,3,3,10,7,0,0,4,NA,NA,NA,NA,40,25,Phil Thorne,56,HGV driver,Rainham,Thorne,Phil
10,Priya,0,0,1,5,2,10,7,0,0,6,NA,NA,NA,NA,60,16.666666666666668,Priya O'Shea,34,Marketing consultant,Leicester,O'Shea,Priya
10,Rosie,0,2,4,5,1,9,4,0,0,9,NA,NA,NA,NA,90,44.44444444444444,Rosie Brandreth-Poynter,28,Veterinary surgeon,Somerset,Brandreth-Poynter,Rosie
10,Steph,0,1,6,4,1,10,3,0,0,10,NA,NA,NA,NA,100,60,Steph Blackwell,28,Shop assistant,Chester,Blackwell,Steph
