title,genres,release_date,release_country,movie_rating,review_rating,movie_run_time,plot,cast,language,filming_locations,budget
The Strange House (2015),Horror,24-Jul-15,China,NA,5.3,87 min,"Directed by Danny Pang. With Siu-Fai Cheung, Yi Song, Zitian Tian, Jiao Xu. A young girl pretending to be the deceased granddaughter of an ailing grandmother begins experiencing horrific visions of the dead granddaughter, causing her to slowly succumb to the insanity of illusion and reality merging.",Siu-Fai Cheung|Yi Song|Zitian Tian|Jiao Xu,Mandarin,NA,NA
Rise of the Animals (2011),Adventure| Comedy| Horror,1-May-12,USA,NOT RATED,3.6,70 min,"Directed by Chris Wojcik. With Greg Hoople, Stephanie Motta, Adam Schonberg, Nikki Preston. In a world where animals have turned on humanity, a teen travels across the country in search of the girl of his dreams.",Greg Hoople|Stephanie Motta|Adam Schonberg|Nikki Preston|Charles Bigelow|Phillip Musumeci|Katie LeVander|Melissa Orioli|Laura Blank|Tricia Dalusio|Brittany Cerra|Renee Radwan|Justine Turner|Max Roth|Charlie Roth,English,"Rochester, New York, USA","$7,000"
When Death Calls (2012),Horror,28-Apr-12,USA,NA,5.9,91 min,"Directed by Jim Haggerty. With Suzi Lorraine, Tina Krause, Nathalie Bryant, Jae Mosc. Disc jockey Roxy Richards encourages her listeners to call in and share scary stories during a live broadcast on Halloween night: A psycho stalks an elementary school teacher, an adulterous one night stand goes horrifically awry, a young couple who decide to stay in find themselves in great danger, an engaged woman gets terrorized by a predatory monster that lives in the basement of her ...",Suzi Lorraine|Tina Krause|Nathalie Bryant|Jae Mosc|Pooya Mohseni|Robert Lincourt|Katt Masterson|Darlene McCullough|Rebecca Rose McCain|Stephen Alan Wilson|Jim Haggerty|Dennis Newman|Alex Kruz|Angela Alvizuri|David Tapias,English,NA,NA
Dark Medicine (2013),Horror| Sci-Fi,2013,USA,NOT RATED,2.8,72 min,"Directed by Tariq Nasheed. With Ola Akinroluyo, Byron Baudo, Josh Bednarsky, Emily Brooks. A middle school in a small college town was recently shut down because of mysterious toxins found on the premise. These toxins were cause by a secret eugenics program gone wrong. Tonight, a group of college friends discover the abandoned school, and decide to explore it just for fun. Once inside, they soon realize that that school is not so abandoned.",Ola Akinroluyo|Byron Baudo|Josh Bednarsky|Emily Brooks|Corey Browne|Shawn Calloway|Drew Chase|JinYoung Choi|Russ Kingston|Abbey Kochman|Nyell Leahy|Kelci C. Magel|Robert Maxwell|Tariq Nasheed|Rachelle Neal,English,"Atlanta, Georgia, USA",NA
Sexy Durga (2017),Drama| Fantasy| Horror| Mystery| Thriller,21-Mar-17,USA,NA,5.9,85 min,"Directed by Sanal Kumar Sasidharan. With Rajshri Deshpande, Bilas Nair, Arun Sol, Sujish. Durga, a north Indian migrant and a Keralite youth named Kabeer are running away on a midnight. They are waiting for a transport to the nearest railway station to catch a train to a distant place. Two small time gangsters, transporting arms, offer assistance to the couple. The hapless ""Durga"" encounters a cross section of the society through the rest of the night. Parallel to the journey of Durga...",Rajshri Deshpande|Bilas Nair|Arun Sol|Sujish|Vedh,Malayalam,"Thiruvananthapuram, Kerala, India","INR 6,000,000"
Circus of the Dead (2014),Action| Horror| Thriller,13-Jan-17,USA,NA,6,102 min,"Directed by Billy 'Bloody Bill' Pon. With Bill Oberst Jr., Parrish Randall, Chanel Ryan, Roger Edwards. A man becomes entangled in a deadly morality game when the circus comes to town and a sadistic clown forces him to examine the things in life he takes for granted in the most horrific ways.",Bill Oberst Jr.|Parrish Randall|Chanel Ryan|Roger Edwards|Brad Potts|Ryan Clapp|Rusty Edwards|Mike Williams|Jed Duesler|Travis Steele|Steve Brooks|Jordan Bell|Madi Lane|Kyle Mueller|Sergio Gracida,English,"Odessa, Texas, USA","$150,000"
Zombie Resurrection (2014),Horror,23-Mar-15,UK,NOT RATED,2.7,86 min,"Directed by Jake Hawkins, Andy Phelps. With Eric Colvin, Jim Sweeney, Danny Brown, Simon Burbage. 15 months after the apocalypse, a group of survivors are forced to take refuge in an abandoned school, where they encounter a mysterious zombie with the power to bring the undead back to life.",Eric Colvin|Jim Sweeney|Danny Brown|Simon Burbage|Jade Colucci|Joe Rainbow|Rachel Nottingham|Shamiso Mushambi|Georgia Winters|Rupert Phelps|Jamie Frampton|Kate Korbel|Andy Bazire|Ian McIntyre|Jake Hawkins,English,"Hampshire, England, UK","£100,000"
Falling (2016),Drama| Horror| Romance| Thriller,8-Apr-16,USA,NA,7.1,105 min,"Directed by Ali Askari. With Josh Helman, Yael Stone, Jennifer Allcott, Paul Sorvino. After the death of his wife, Sarah, young widower Malcolm is reluctantly trying to put his life back together with the help of his plucky sister-in-law, Dee. When he meets Nya, a free spirited young woman, things seem to be looking up... until he starts seeing his dead wife everywhere, and she's not too happy about the fact that he's dating again.",Josh Helman|Yael Stone|Jennifer Allcott|Paul Sorvino|Yvonne Cone|Slate Holmgren|Danny Lane|Melissa Almas|Sashah Askari|Marc Brockett|Paul Buckley|Laura Calhoun|Joe Caruso|Kallie Flynn Childress|Heather Delia,English,"Utica, New York, USA",NA
Bad Behavior (2015),Horror,27-Oct-15,USA,NA,NA,64 min,"Directed by Curtis Everitt. With John Langston, Amelia Blue, Rex Roby, Peyton Hicks. Turner takes his friends out to a cabin in the woods. When they get there, they find out that their bad behavior will give way to a sinister turn of events.",John Langston|Amelia Blue|Rex Roby|Peyton Hicks|Brian Cannon|Samantha Kalahar|Aaron Keith|Blake Harthcock|Clayton Southerland|Melanie Calvert Benton|Nate Womack,English,"Pelahatchie, Mississippi, USA","$1,023"
Devil's Tower (2014),Horror,16-Sep-14,UK,NA,3.4,82 min,"Directed by Owen Tooth. With Jason Mewes, Roxanne Pallett, Frances Ruffelle, Jessica-Jane Stafford. When Sid's friend goes missing, he and new girl Sarah investigate disappearances in their tower block. Uncovering the secret of a vengeful ghost possessing a horde of zombies, they must fight for their lives - and their souls.",Jason Mewes|Roxanne Pallett|Frances Ruffelle|Jessica-Jane Stafford|Emma Buckley|Kweku Amoa|Peter Barrett|Jason Owen Bee|Jason Thomas Brown|Jessica Ann Brownlie|Alison Carroll|Adam Dakin|Emily Denton-Davies|Lee Dilley|Steven Dolton,English,"Derbyshire, England, UK","$3,000,000"
I Am ZoZo (2012),Horror| Thriller,18-Feb-12,USA,UNRATED,3.6,85 min,"Directed by Scott Di Lalla. With Kelly McLaren, Courtney Foxworthy, Demetrius Sager, Caleb Courtney. I Am ZoZo is a psychological thriller about five young people who play with a Ouija board on Halloween and attract the attention of a malevolent demon. The film is based on real experiences with an ancient and malevolent spirit called ZoZo that attaches itself to people exclusively through Ouija boards. I Am ZoZo was shot last fall on location on San Juan Island, WA and Seattle entirely on Kodak ...",Kelly McLaren|Courtney Foxworthy|Demetrius Sager|Caleb Courtney|Caleb Debattista|Darren Wayne Evans|John Vejvoda|Sophia Mitri Schloss|Demeri Millikin,English,"San Juan Island, San Juan Islands, Washington, USA",NA
Before Dawn (2013),Horror,8-Jun-13,Japan,NOT RATED,4.7,82 min,"Directed by Dominic Brunt. With Dominic Brunt, Joanne Mitchell, Eileen O'Brien, Nicky Evans. An estranged couple's vacation to save their troubled relationship goes awry when they find themselves under attack from the walking dead",Dominic Brunt|Joanne Mitchell|Eileen O'Brien|Nicky Evans|Alex Baldacci|Alan French|Holly Illis|David Nolan|Neale Myers|Bryn Hammond|Mark Charnock|Tony Earnshaw|Ian Jowett,English,"Yorkshire, England, UK","£25,000"
Apparition (2015),Fantasy| Horror| Thriller,5-May-15,USA,NOT RATED,4,100 min,"Directed by Quinn Saunders. With Katrina Law, Jody Quigley, Lili Bordán, Jarett Armstrong. When Doug's fiancée is killed in a car accident he retreats to their isolated farmhouse to recover from his loss, but supernatural occurrences leave him fearing for his sanity and reveal a secret she took with her to the grave.",Katrina Law|Jody Quigley|Lili Bordán|Jarett Armstrong|Rebeka Choudhury|Airen DeLaMater|Dave Droxler|Joseph Forsstrom|Pete Postiglione|Megan Rose|Thomas Roy|Tom Settefrati|Margo Trovei,English,"Philadelphia, Pennsylvania, USA","$3,000,000"
Darkroom (2017),Drama| Horror,18-Jan-17,Philippines,NA,6.6,95 min,"Directed by Pedring Lopez. With Ella Cruz, Bret Jackson, AJ Muhlach, Donnalyn Bartolome.",Ella Cruz|Bret Jackson|AJ Muhlach|Donnalyn Bartolome|Andrew Muhlach|Rose Van Ginkel|Caleb Santos|Samantha Capulong|Jack Reid|Lander Vera-Perez|Abby Bautista,Filipino|Tagalog,NA,NA
Don't Look in the Basement 2 (2015),Horror| Thriller,25-May-16,USA,NA,4,88 min,"Directed by Tony Brownrigg. With Andrew Sensenig, Frank Mosley, Arianne Martin, Jim O'Rear. In 1972, the patients and doctors at Stephens Sanitarium were brutally murdered. Over forty years later, the only known survivor returns only to find the ghosts of the past have not been resting in peace.",Andrew Sensenig|Frank Mosley|Arianne Martin|Jim O'Rear|Scott Tepperman|Megan Emerick|Willie Minor|Camilla Carr|Earl Browning III|Brady McInnes|Carolyn King|Chester Rushing|Libby Hall|Kim Foster|Joseph Spector,English,"Tehuacana, Texas, USA",NA
2: Voodoo Academy (2012),Horror,1-Oct-12,USA,NA,4.5,75 min,"Directed by David DeCoteau. With Alex Fox, Michelle Bauer, Brandon Schinaman, Josh Randall. Young hot travelers are sidelined by a road blocked with fallen trees, and stop for a night at the mansion belonging to sexy Sebastian. The house has a history of voodoo, mayhem and horror, and new arrivals are fresh meat for the hungry house...",Alex Fox|Michelle Bauer|Brandon Schinaman|Josh Randall|Shawn McCormick|Alex Bugaj|Richie Nuzzolese,English,"Malibu, California, USA","$1,000,000"
Return of the Killer Shrews (2012),Horror,2012,USA,NA,2.7,84 min,"Directed by Steve Latshaw. With John Schneider, Jennifer Lyons, Bruce Davison, James Best. Fifty-three years after being attacked by killer shrews on a remote island, Captain Thorne Sherman is hired by a reality television crew to return to the island in question. The shrews attack again in short order.",John Schneider|Jennifer Lyons|Bruce Davison|James Best|Jason-Shane Scott|Sean Flynn|Rick Hurst|Jeneta St. Clair|Katherine Randolph|Maggie Wagner|Holly Weber|Christopher Goodman|David Browning|Megan Rebelo|Jason Nguyen,English,"Sanna Movie Ranch - Soledad Canyon Road, Agua Dulce, California, USA",NA
Slaughter Drive (2017),Horror,12-Oct-17,USA,NA,NA,NA,"Directed by Ben Dietels. With Vincent Bombara, Chris Crighton, Ben Dietels, Danielle Dietels.",Vincent Bombara|Chris Crighton|Ben Dietels|Danielle Dietels|Seth Gontkovic|David Hammer|Ollis Patrick Hanley|Nikki Howell|Ryan Lintner|Eric Martinez|Nikki Nader|Blake O'Donnell|David Ogrodowski|Steve Rudzinski|Carrie Shoberg,English,NA,"$10,000"
Septic Man (2013),Horror,15-Aug-14,USA,R,4.1,83 min,"Directed by Jesse Thomas Cook. With Jason David Brown, Molly Dunsworth, Julian Richings, Robert Maillet. A sewage worker gets trapped inside a septic tank during a water contamination crisis and undergoes a hideous transformation.",Jason David Brown|Molly Dunsworth|Julian Richings|Robert Maillet|Timothy Burd|Stephen McHattie|Nicole G. Leier|Charlie Baker|Tony Burgess,English,"Collingwood, Ontario, Canada",NA
The Perfect House (2013),Horror,2013,USA,NA,4.3,84 min,"Directed by Kris Hulbert, Randy Kent. With Felissa Rose, Jonathan Tiersten, John Philbin, Dustin Stevens. A young couple's dream home turns into a house of horrors when the disturbing, violent acts of three generations of doomed families is reawakened for them to witness.",Felissa Rose|Jonathan Tiersten|John Philbin|Dustin Stevens|Monique Parent|Andrea Vahl|William A. Robertson|Kris Smith|Timothy Dugan|Alex Victoria|Michael Wagner|Holly Greene|Hans Hernke|Becky Friedman|Angelina Leigh,English,"Buffalo, New York, USA",NA
Her Cry: La Llorona Investigation (2013),Horror,19-Apr-13,USA,NOT RATED,5.4,89 min,"Directed by Damir Catic. With Nichole Ceballos, James Ezrin, Ron Gelner, Everardo Guzman. Crew of ""Paranormal Legends"" went to film their 4th season at the place where La Llorona (Weeping woman) was reportedly seen. Only thing that's left was 17 hours of tapes and 2 camcorders.",Nichole Ceballos|James Ezrin|Ron Gelner|Everardo Guzman|Parker Riggs|Gabrielle Santamauro,English,"Houston, Texas, USA","$60,000"
The Canadoo (2016),Horror,2-Nov-16,USA,NA,4,74 min,"Directed by Raymond Wood. With Tyler Buckingham, Alina Lia, Dréy Wigfall, Ali Roberts. When five fame-hungry millennials are chosen to be contestants on a reality survival TV show, it appears they have been given a chance at celebrity stardom - but when a mixture of strange discoveries, unexplained occurrences, and mysterious disappearances plague the group, they begin to turn on one another, wondering if they are actually on a game show or if someone playing a game of their own.",Tyler Buckingham|Alina Lia|Dréy Wigfall|Ali Roberts|Teddy Cole|Brook Todd,English,"Atlanta, Georgia, USA","$1,500,000"
Inoperable (2017),Horror,2017,USA,NA,NA,NA,"Directed by Christopher Lawrence Chapman. With Danielle Harris, Katie Keene, Chris Hahn, Jeff Denton. A young woman wakes up in a seemingly evacuated hospital with a hurricane approaching that has awakened malevolent forces inside. She realizes she must escape the hospital before the hurricane passes, or she will be trapped there forever.",Danielle Harris|Katie Keene|Chris Hahn|Jeff Denton|Crystal Cordero|Cher Hubsher|Gene Michael|Barry Aslinger|Isabella Sofia Menna|Khris Colgate|Michelle Marin|Dawn Hubsher|Jared Gopman|Brittni Amber Lombardo|Philip Schene,English,"Tampa, Florida, USA",NA
Hellriser (2017),Horror,9-Oct-17,UK,NA,5,75 min,"Directed by Steve Lawson. With Steven Dolton, Charlie Bond, Nathan Head, Raven Lee. When their city is rocked by a series of brutal occult murders, veteran detective John Locke and his young partner Terri Keyes are forced to put aside their differences and follow the trail of evidence to a formerly abandoned asylum.",Steven Dolton|Charlie Bond|Nathan Head|Raven Lee|Andrew Coughlan|Evadne Fisher|Georgia Annable|Emmeline Kellie|M.J. Simpson|Marcus Langford|Kin Ma|Charlene Marie|Amelia Valentine,English,NA,"£100,000"
Yaamirukka Bayamey (2014),Comedy| Horror,9-May-14,India,NA,7.2,125 min,"Directed by Deekay. With Krishna Sekhar, Rupa Manjari, Karunakaran, Oviya. Is a ghost haunting Kiran's ancestral property? Or is it a conman's master moves?",Krishna Sekhar|Rupa Manjari|Karunakaran|Oviya|Aadhav Kannadasan|Anaswara|Nalinikanth|Mayilsamy|Bose Venkat|Namo Narayana|Mahanadhi Shankar|Sona Heiden|Devipriya|Balaji Mohan|Rayil Ravi,Tamil,NA,NA
Grindsploitation (2016),Action| Crime| Horror| Sci-Fi| Thriller,31-Oct-16,USA,UNRATED,6.2,140 min,"Directed by Lloyd Kaufman, James Atkins, Dustin Austen. With P.J. Soles, Lloyd Kaufman, Shawn C. Phillips, Shane Ryan. Exploitation anthology from the twisted minds of established and up and coming directors from across the globe.",P.J. Soles|Lloyd Kaufman|Shawn C. Phillips|Shane Ryan|Nathan Head|Jessica Ann Brownlie|Scarlet Fry|Sadie Katz|Nicola Fiore|Bryan Hanna|Rami Hilmi|Melissa Hollett|Max Wasa|Jason Impey|Caleb Emerson,English,NA,NA
Ular Tangga (2017),Horror| Thriller,9-Mar-17,Indonesia,NA,7.1,NA,"Directed by Arie Azis. With Ahmad Affandy, Alessia Cestaro, Shareefa Daanish, Egy Fedly. An indigo student who can see something bad is going to happen who come through a dream with her plan and friends for hiking a mountain but no one believe her.",Ahmad Affandy|Alessia Cestaro|Shareefa Daanish|Egy Fedly|Yova Garcia|Roy Martin|Vicky Monica|Fauzan Nasrul|Randa Septian|Guntur Triyoga,Indonesian,"Gunung Pancar, Indonesia","$1,000,000"
Ek Thi Daayan (2013),Horror| Romance| Thriller,18-Apr-13,India,NA,5.7,135 min,"Directed by Kannan Iyer. With Emraan Hashmi, Konkona Sen Sharma, Kalki Koechlin, Huma Qureshi. A popular illusionist is haunted by a Daayan witch.",Emraan Hashmi|Konkona Sen Sharma|Kalki Koechlin|Huma Qureshi|Pavan Malhotra|Rajatabha Dutta|Vishesh Tiwari|Sara Arjun|Bhavesh Balchandani|Pallavi Batra|Shirina Sambyal|Deepak Dhadwal|Habib|Kanupriya Gupta|Prem Parmar,Hindi,NA,NA
Haunted House on Sorority Row (2014),Horror,21-Feb-14,USA,NOT RATED,5.6,81 min,"Directed by Henrique Couto. With Erin R. Ryan, Marylee Osborne, Iabou Windimere, Joni Durian. A fledging sorority moves into a dilapidated house only to find something evil is lurking in the shadows. Is it an elaborate hazing ritual? Or is something sinister - something paranormal - behind the mental and physical assault?",Erin R. Ryan|Marylee Osborne|Iabou Windimere|Joni Durian|Tonjia Atomic|Haley Madison|Joe Kidd|Tara Clark|Chandra McCracken|Rachael Redolfi|Eric Widing|Mike Hilinski|Brandi Baird|Rachel Ritter,English,"Dayton, Ohio, USA","$65,000"
Victimized (2014),Drama| Horror| Thriller,27-Sep-14,USA,NA,6.9,80 min,"Directed by Michael Kenneth Fahr. With Michael Kenneth Fahr, Sarah Nicklin, Cuyle Carvin, Ellen J. Pilch. Matt Miller has spent his entire life living in the shadows of his brother. He believes if his brother were to disappear then so would all his problems. So one deadly night Matt decides to take matters into his own hands.",Michael Kenneth Fahr|Sarah Nicklin|Cuyle Carvin|Ellen J. Pilch|Jesse Murphy|Ron Phippen|Dustin Hubbard|Michael Omiecinski|Candice Cole|Mark Debenedictis|T.C. Top Cat Taylor|Joey Garcia|Peter Lucibello,English,"Sarasota, Florida, USA",NA
The Unwanted (2014),Drama| Horror| Mystery| Romance,31-Mar-14,USA,NA,4,95 min,"Directed by Bret Wood. With Hannah Fierman, Christen Orr, William Katt, Lynn Talley. In this Southern Gothic retelling of Sheridan Le Fanu's vampire story 'Carmilla,' a young drifter (Christen Orr) arrives in a rural town seeking the whereabouts of the mother she never knew. When she becomes sexually involved with an emotionally fragile waitress (Hannah Fierman), she exposes the secret of her mother's disappearance and incites the wrath of the girl's overprotective father (...",Hannah Fierman|Christen Orr|William Katt|Lynn Talley|Kylie Brown|Elizabeth Hunter|Chris Burns|Neal R. Hazard|Jane Bass|Robert Hatch,English,"Atlanta, Georgia, USA",NA
Hotel Inferno (2013),Action| Horror,16-Dec-13,USA,NA,4.7,80 min,"Directed by Giulio De Santi. With Rayner Bourton, Michael Howe, Jessica Carroll, Christian Riva. A cold-blooded seasoned contract killer is hired to take out a couple hidden in a hotel, but he will soon need to fight not only for his life but also for his soul, as this seemingly easy task will turn the hunter into prey.",Rayner Bourton|Michael Howe|Jessica Carroll|Christian Riva|Wilmar Zimosa|Santiago Ortaez|Monica Muñoz|Riccardo Valentini|Mauro Migliorini|Bonini Mino|Pierluigi Nitas|Enrique Sorres|Giulio De Santi|Carlos F.|Alessia Knox,English,Tunisia,NA
Demonte Colony (2015),Horror| Thriller,22-May-15,India,NA,7,116 min,"Directed by R. Ajay Gnanamuthu. With Arulnidhi, Ramesh Thilak, Sananth, M.S. Bhaskar. After consuming liquor, four friends decide to do something interesting and visit a haunted bungalow. However, they do not realize that they have returned home with an evil spirit.",Arulnidhi|Ramesh Thilak|Sananth|M.S. Bhaskar|Jangiri Madhumitha|Yogi Babu|Inigo|Arun Pandian|Singampuli|Ram Vaitheeswaran|Abishek Joseph George,Tamil,NA,NA
The Onania Club (2017),Drama| Horror| Thriller,2017,USA,NA,NA,NA,Directed by Tom Six.,NA,English,"Los Angeles, California, USA",NA
Play Motel (1979),Crime| Horror| Romance| Thriller,25-Aug-15,USA,X,5.3,90 min,"Directed by Mario Gariazzo. With Ray Lovelock, Anna Maria Rizzoli, Mario Cutini, Antonella Antinori. A reporter and his girlfriend investigate deaths surrounding a hotel where several prominent people go to have sex.",Ray Lovelock|Anna Maria Rizzoli|Mario Cutini|Antonella Antinori|Patrizia Behn|Enzo Fisichella|Marina Hedman|Mario Novelli|Marino Masé|Patrizia Webley|Vittorio Ripamonti|Bob Balisteri|Bruno Di Luia|Franco Beltramme|Michele Zurlaro,Italian,"Cine International, Rome, Lazio, Italy",NA
Turned (2015),Drama| Horror,4-Sep-15,USA,NA,7.3,NA,"Directed by Chris R. Notarile. With Josh Rothman, Christian Chase, Roberto Lombardi, Athena Brensberger. When Jack, a rough and tough vampire slayer, is bitten by his arch-nemesis Monty, he has but one day left to live before he becomes the very thing he has been hunting for most of his life.",Josh Rothman|Christian Chase|Roberto Lombardi|Athena Brensberger|Seregon O'Dassey|MacKenzie Medwin|Sid O'Connell|Marissa Centrella|Arthur Koutsoumbaris|Joseph Pridmore|Mary Benedetto|Jonathan Boothe|Tara Haight|Edward John Socienski,English,"Staten Island, New York, USA","$1,000"
Miss Zombie (2013),Horror,14-Sep-13,Japan,NA,6.3,85 min,"Directed by SABU. With Makoto Togashi, Ayaka Komatsu, Tôru Tezuka, Tarô Suruga. A Japanese family acquires an undead domestic servant whose presence begins to effect their daily lives.",Makoto Togashi|Ayaka Komatsu|Tôru Tezuka|Tarô Suruga|Tateto Serizawa|Hihio Iwanaga|Takaya Yamauchi|Riku Ohnishi,Japanese,NA,NA
Bloody Chainsaw Girl (2016),Action| Horror,20-Feb-16,Japan,NA,4.6,NA,"Directed by Hiroki Yamaguchi. With Mizuho Abe, Seijirô Nakamura, Ray Nishimura, Kayako Okuda.",Mizuho Abe|Seijirô Nakamura|Ray Nishimura|Kayako Okuda|Seira Satô|Yûki Tamaki|Rio Uchida|Mari Yamachi,Japanese,NA,NA
