region,council,swim_site,date,time,enterococci_cfu_100ml,water_temperature_c,conductivity_ms_cm,latitude,longitude
Sydney Harbour,City of Canada Bay Council,Chiswick Baths,2025-04-22,07:31:00,16,20,50600,-33.847168,151.142892
Sydney Harbour,Northern Beaches Council,Little Manly Cove,2025-04-22,10:33:00,0,22,53300,-33.807232,151.286808
Sydney Harbour,Woollahra Municipal Council,Camp Cove,2025-04-22,10:43:00,0,22,52900,-33.839395,151.278758
Sydney Harbour,Woollahra Municipal Council,Rose Bay Beach,2025-04-22,11:02:00,1,21,52700,-33.870027,151.265932
Sydney Harbour,Inner West Council,Callan Park Seawall,2025-04-22,11:58:00,1,22,51000,-33.862333,151.159306
Sydney City,Randwick City Council,South Maroubra Beach,2025-04-16,09:22:00,0,21,53900,-33.951378,151.257322
Southern Sydney,Sutherland Shire Council,South Cronulla Beach,2025-04-16,08:38:00,5,21,54200,-34.055497,151.155347
Sydney City,Waverley Council,Bondi Beach,2025-04-16,07:23:00,9,21,54600,-33.891157,151.278267
Southern Sydney,Sutherland Shire Council,Wanda Beach,2025-04-16,08:23:00,6,22,54100,-34.04393,151.1622
Sydney City,Randwick City Council,Clovelly Beach,2025-04-16,08:16:00,120,20,52800,-33.914578,151.267659
Southern Sydney,Sutherland Shire Council,North Cronulla Beach,2025-04-16,08:31:00,0,21,54200,-34.05101,151.15659
Southern Sydney,Sutherland Shire Council,Boat Harbour,2025-04-16,07:27:00,53,19,53400,-34.038723,151.200127
Southern Sydney,Sutherland Shire Council,Shelly Beach (Sutherland),2025-04-16,08:57:00,1,21,54000,-34.06412,151.15542
Sydney City,Waverley Council,Tamarama Beach,2025-04-16,07:37:00,7,21,53900,-33.900805,151.270734
Sydney City,Randwick City Council,Gordons Bay (East),2025-04-16,08:26:00,2,21,53500,-33.915646,151.264558
Sydney City,Randwick City Council,Maroubra Beach,2025-04-16,09:05:00,2,21,53900,-33.948896,151.257459
Sydney City,Waverley Council,Bronte Beach,2025-04-16,08:00:00,0,21,53100,-33.903087,151.26879
Southern Sydney,Sutherland Shire Council,Elouera Beach,2025-04-16,08:25:00,2,21,54100,-34.04661,151.15966
Southern Sydney,Sutherland Shire Council,Greenhills Beach,2025-04-16,07:33:00,1,21,53400,-34.03479,151.18418
Sydney City,Randwick City Council,South Maroubra Rockpool,2025-04-16,09:18:00,1,21,53900,-33.953515,151.258009
Sydney City,Randwick City Council,Malabar Beach,2025-04-16,09:46:00,0,21,53800,-33.96436,151.252247
Sydney City,Randwick City Council,Coogee Beach,2025-04-16,08:45:00,4,21,53700,-33.92076,151.25817
Sydney City,Randwick City Council,Little Bay Beach,2025-04-16,10:05:00,22,21,53800,-33.979882,151.251417
Southern Sydney,Sutherland Shire Council,Oak Park Beach,2025-04-16,08:47:00,3,21,54100,-34.06984,151.156853
Northern Sydney,Northern Beaches Council,Long Reef Beach,2025-04-15,09:37:00,5,22,54100,-33.74525,151.30593
Northern Sydney,Northern Beaches Council,Dee Why Beach,2025-04-15,09:21:00,19,22,54100,-33.753299,151.297338
Northern Sydney,Northern Beaches Council,Narrabeen Lagoon (Birdwood Park),2025-04-15,22:04:00,200,21,34200,-33.703993,151.304952
Northern Sydney,Northern Beaches Council,Warriewood Beach,2025-04-15,10:15:00,0,22,54300,-33.69107,151.309221
Northern Sydney,Northern Beaches Council,South Steyne Beach,2025-04-15,08:22:00,58,22,52900,-33.79889,151.2903
Northern Sydney,Northern Beaches Council,North Steyne Beach,2025-04-15,08:12:00,38,22,52300,-33.79099,151.28801
Northern Sydney,Northern Beaches Council,Queenscliff Beach,2025-04-15,08:04:00,300,21,52600,-33.78689,151.28874
Northern Sydney,Northern Beaches Council,Newport Beach,2025-04-15,10:47:00,17,22,51700,-33.653976,151.32375
Northern Sydney,Northern Beaches Council,North Curl Curl Beach,2025-04-15,09:09:00,3,22,54000,-33.767605,151.298194
Northern Sydney,Northern Beaches Council,Bilarong Reserve,2025-04-15,10:26:00,150,21,33900,-33.710668,151.286896
Northern Sydney,Northern Beaches Council,Freshwater Beach,2025-04-15,08:52:00,30,22,54100,-33.78164,151.29076
Northern Sydney,Northern Beaches Council,Mona Vale Beach,2025-04-15,10:20:00,0,NA,NA,-33.679704,151.313981
Northern Sydney,Northern Beaches Council,Turimetta Beach,2025-04-15,10:10:00,0,22,54100,-33.698084,151.310937
Northern Sydney,Northern Beaches Council,Avalon Beach,2025-04-15,11:12:00,0,21,53300,-33.635658,151.332569
Northern Sydney,Northern Beaches Council,Collaroy Beach,2025-04-15,09:45:00,11,21,53900,-33.732619,151.302884
Northern Sydney,Northern Beaches Council,Bungan Beach,2025-04-15,10:35:00,0,21,52900,-33.665919,151.320776
Northern Sydney,Northern Beaches Council,North Narrabeen Beach,2025-04-15,09:59:00,6,22,54200,-33.705557,151.306407
Northern Sydney,Northern Beaches Council,Palm Beach,2025-04-15,11:43:00,0,22,53000,-33.598779,151.325824
Northern Sydney,Northern Beaches Council,Bilgola Beach,2025-04-15,10:57:00,2,21,53500,-33.645256,151.328774
Northern Sydney,Northern Beaches Council,Shelly Beach (Manly),2025-04-15,08:32:00,40,22,53800,-33.800514,151.297668
Northern Sydney,Northern Beaches Council,South Curl Curl Beach,2025-04-15,09:00:00,7,22,53900,-33.773397,151.293337
Northern Sydney,Northern Beaches Council,Whale Beach,2025-04-15,11:25:00,0,22,53100,-33.611207,151.332254
Sydney Harbour,City of Canada Bay Council,Chiswick Baths,2025-04-14,11:44:00,5,23,49200,-33.847168,151.142892
Sydney Harbour,Northern Beaches Council,Little Manly Cove,2025-04-14,08:36:00,1,23,52800,-33.807232,151.286808
Sydney Harbour,Inner West Council,Dawn Fraser Pool,2025-04-14,07:23:00,0,22,50800,-33.853237,151.172823
Western Sydney,Hawkesbury City Council,Yarramundi Reserve,2025-04-14,10:15:00,130,19,88,-33.6091226,150.6978862
Sydney Harbour,Woollahra Municipal Council,Rose Bay Beach,2025-04-14,08:07:00,7,22,52100,-33.870027,151.265932
Sydney Harbour,Woollahra Municipal Council,Camp Cove,2025-04-14,08:27:00,1,22,52700,-33.839395,151.278758
Sydney Harbour,Inner West Council,Callan Park Seawall,2025-04-14,07:13:00,1,22,50600,-33.862333,151.159306
Western Sydney,Hawkesbury City Council,Windsor Beach,2025-04-14,10:50:00,48,22,257,-33.6044834,150.8170393
Sydney Harbour,Willoughby City Council,Northbridge Baths,2025-04-14,09:59:00,4,23,51500,-33.806043,151.222754
Sydney Harbour,North Sydney Council,Hayes Street Beach,2025-04-14,10:51:00,3,23,52200,-33.841715,151.219382
Sydney Harbour,Northern Beaches Council,Fairlight Beach,2025-04-14,08:45:00,0,23,52800,-33.800731,151.274778
Sydney Harbour,Mosman Municipal Council,Chinamans Beach,2025-04-14,10:24:00,0,23,52100,-33.814094,151.248971
Sydney Harbour,Woollahra Municipal Council,Parsley Bay,2025-04-14,08:18:00,1,23,52800,-33.849889,151.276441
Sydney Harbour,Lane Cove Council,Greenwich Baths,2025-04-14,11:03:00,0,23,51500,-33.84176,151.1829
Sydney Harbour,Northern Beaches Council,Forty Baskets Pool,2025-04-14,08:48:00,0,23,52900,-33.803133,151.270604
Sydney Harbour,Lane Cove Council,Tambourine Bay,2025-04-14,11:17:00,2,23,49300,-33.828066,151.161315
Sydney Harbour,Northern Beaches Council,Gurney Crescent Baths,2025-04-14,09:12:00,0,23,51400,-33.793451,151.235278
Sydney Harbour,Woollahra Municipal Council,Watsons Bay,2025-04-14,08:23:00,0,22,52900,-33.845115,151.280546
Sydney Harbour,The Council of the Municipality of Hunters Hill,Woolwich Baths,2025-04-14,11:23:00,3,23,50000,-33.83919,151.16949
Sydney Harbour,Northern Beaches Council,Manly Cove,2025-04-14,08:42:00,8,23,52900,-33.79944,151.282519
Sydney Harbour,Northern Beaches Council,Davidson Reserve,2025-04-14,09:31:00,0,23,49600,-33.767929,151.200343
Sydney Harbour,Mosman Municipal Council,Clifton Gardens,2025-04-14,10:40:00,0,23,52500,-33.839154,151.253349
Sydney Harbour,Woollahra Municipal Council,Nielsen Park,2025-04-14,08:14:00,1,22,53200,-33.849925,151.266231
Sydney Harbour,Woollahra Municipal Council,Murray Rose Pool,2025-04-14,08:00:00,3,22,52100,-33.871276,151.246974
Sydney Harbour,Mosman Municipal Council,Balmoral Baths,2025-04-14,10:30:00,0,23,52600,-33.826888,151.253476
Sydney Harbour,Lane Cove Council,Woodford Bay,2025-04-14,11:09:00,1,23,50300,-33.831968,151.17254
Western Sydney,Penrith City Council,Penrith Beach,2025-04-14,09:20:00,0,22,523,-33.694762,150.675921
Sydney Harbour,The City of Sydney,Darling Harbour,2025-04-14,07:39:00,100,21,44430,-33.87129,151.20069
Sydney Harbour,City of Canada Bay Council,Cabarita Beach,2025-04-14,11:37:00,0,23,48900,-33.841448,151.11863
Sydney Harbour,Mosman Municipal Council,Edwards Beach,2025-04-14,10:27:00,1,23,52600,-33.82138,151.25283
Sydney Harbour,Northern Beaches Council,Clontarf Pool,2025-04-14,09:00:00,3,23,52300,-33.80579,151.25172
Southern Sydney,Sutherland Shire Council,Oak Park Beach,2025-04-10,09:27:00,1,22,53100,-34.06984,151.156853
Sydney City,Randwick City Council,Little Bay Beach,2025-04-10,07:52:00,200,21,53100,-33.979882,151.251417
Sydney City,Randwick City Council,Coogee Beach,2025-04-10,07:03:00,16,22,53400,-33.92076,151.25817
Sydney City,Randwick City Council,South Maroubra Rockpool,2025-04-10,07:23:00,23,21,53700,-33.953515,151.258009
Sydney City,Randwick City Council,Malabar Beach,2025-04-10,07:40:00,17,21,53800,-33.96436,151.252247
Southern Sydney,Sutherland Shire Council,Elouera Beach,2025-04-10,08:57:00,1,22,53400,-34.04661,151.15966
Southern Sydney,Sutherland Shire Council,Greenhills Beach,2025-04-10,09:58:00,0,22,53400,-34.03479,151.18418
Sydney City,Waverley Council,Bronte Beach,2025-04-10,06:43:00,6,22,54000,-33.903087,151.26879
Southern Sydney,Sutherland Shire Council,Boat Harbour,2025-04-10,09:46:00,0,21,53500,-34.038723,151.200127
Southern Sydney,Sutherland Shire Council,North Cronulla Beach,2025-04-10,09:03:00,1,22,53400,-34.05101,151.15659
Southern Sydney,Sutherland Shire Council,Shelly Beach (Sutherland),2025-04-10,09:20:00,0,21,54100,-34.06412,151.15542
Sydney City,Randwick City Council,Maroubra Beach,2025-04-10,07:17:00,8,22,53900,-33.948896,151.257459
Sydney City,Waverley Council,Tamarama Beach,2025-04-10,06:33:00,10,22,53700,-33.900805,151.270734
Sydney City,Randwick City Council,Gordons Bay (East),2025-04-10,06:57:00,1,22,53600,-33.915646,151.264558
Sydney City,Randwick City Council,Clovelly Beach,2025-04-10,06:52:00,7,22,54100,-33.914578,151.267659
Southern Sydney,Sutherland Shire Council,South Cronulla Beach,2025-04-10,09:09:00,3,22,53300,-34.055497,151.155347
Sydney City,Waverley Council,Bondi Beach,2025-04-10,06:22:00,10,21,54000,-33.891157,151.278267
Southern Sydney,Sutherland Shire Council,Wanda Beach,2025-04-10,08:50:00,0,21,53800,-34.04393,151.1622
Sydney City,Randwick City Council,South Maroubra Beach,2025-04-10,07:27:00,18,22,53500,-33.951378,151.257322
Northern Sydney,Northern Beaches Council,South Curl Curl Beach,2025-04-09,09:11:00,6,23,53900,-33.773397,151.293337
Northern Sydney,Northern Beaches Council,Whale Beach,2025-04-09,11:02:00,6,23,54200,-33.611207,151.332254
Northern Sydney,Northern Beaches Council,Shelly Beach (Manly),2025-04-09,08:34:00,78,22,53000,-33.800514,151.297668
Northern Sydney,Northern Beaches Council,Collaroy Beach,2025-04-09,11:21:00,11,23,53600,-33.732619,151.302884
Northern Sydney,Northern Beaches Council,Avalon Beach,2025-04-09,10:44:00,0,23,54500,-33.635658,151.332569
Northern Sydney,Northern Beaches Council,Bilgola Beach,2025-04-09,10:31:00,7,23,54400,-33.645256,151.328774
Northern Sydney,Northern Beaches Council,Palm Beach,2025-04-09,11:09:00,0,23,54500,-33.598779,151.325824
Northern Sydney,Northern Beaches Council,Bungan Beach,2025-04-09,10:12:00,3,22,54200,-33.665919,151.320776
Northern Sydney,Northern Beaches Council,North Narrabeen Beach,2025-04-09,11:40:00,0,23,53800,-33.705557,151.306407
Northern Sydney,Northern Beaches Council,Turimetta Beach,2025-04-09,11:55:00,3,23,53700,-33.698084,151.310937
Northern Sydney,Northern Beaches Council,North Steyne Beach,2025-04-09,08:11:00,45,22,53300,-33.79099,151.28801
Northern Sydney,Northern Beaches Council,Queenscliff Beach,2025-04-09,08:02:00,140,22,52300,-33.78689,151.28874
Northern Sydney,Northern Beaches Council,Newport Beach,2025-04-09,10:23:00,4,22,53900,-33.653976,151.32375
Northern Sydney,Northern Beaches Council,Freshwater Beach,2025-04-09,09:00:00,40,23,53800,-33.78164,151.29076
Northern Sydney,Northern Beaches Council,North Curl Curl Beach,2025-04-09,09:21:00,52,23,53200,-33.767605,151.298194
Northern Sydney,Northern Beaches Council,Bilarong Reserve,2025-04-09,12:12:00,36,22,34890,-33.710668,151.286896
Northern Sydney,Northern Beaches Council,Mona Vale Beach,2025-04-09,09:55:00,11,24,54200,-33.679704,151.313981
Northern Sydney,Northern Beaches Council,South Steyne Beach,2025-04-09,08:20:00,9,22,53400,-33.79889,151.2903
Northern Sydney,Northern Beaches Council,Narrabeen Lagoon (Birdwood Park),2025-04-09,11:42:00,150,22,32590,-33.703993,151.304952
Northern Sydney,Northern Beaches Council,Warriewood Beach,2025-04-09,12:00:00,19,23,53600,-33.69107,151.309221
Northern Sydney,Northern Beaches Council,Dee Why Beach,2025-04-09,10:59:00,5,24,54500,-33.753299,151.297338
Northern Sydney,Northern Beaches Council,Long Reef Beach,2025-04-09,11:13:00,1,23,53800,-33.74525,151.30593
Sydney Harbour,The City of Sydney,Darling Harbour,2025-04-08,08:05:00,NA,21,41500,-33.87129,151.20069
Sydney Harbour,City of Canada Bay Council,Cabarita Beach,2025-04-08,12:09:00,NA,22,47500,-33.841448,151.11863
Sydney Harbour,Mosman Municipal Council,Edwards Beach,2025-04-08,10:55:00,NA,23,52400,-33.82138,151.25283
Sydney Harbour,Northern Beaches Council,Clontarf Pool,2025-04-08,09:30:00,NA,22,51000,-33.80579,151.25172
Sydney Harbour,Lane Cove Council,Woodford Bay,2025-04-08,11:38:00,NA,21,48500,-33.831968,151.17254
Sydney Harbour,Mosman Municipal Council,Balmoral Baths,2025-04-08,10:59:00,NA,22,52400,-33.826888,151.253476
Sydney Harbour,Northern Beaches Council,Manly Cove,2025-04-08,09:12:00,NA,22,52400,-33.79944,151.282519
Sydney Harbour,The Council of the Municipality of Hunters Hill,Woolwich Baths,2025-04-08,11:54:00,NA,22,48700,-33.83919,151.16949
Sydney Harbour,Northern Beaches Council,Davidson Reserve,2025-04-08,10:02:00,NA,21,50108,-33.767929,151.200343
Sydney Harbour,Mosman Municipal Council,Clifton Gardens,2025-04-08,11:07:00,NA,21,50400,-33.839154,151.253349
Sydney Harbour,Woollahra Municipal Council,Murray Rose Pool,2025-04-08,08:28:00,NA,22,52000,-33.871276,151.246974
Sydney Harbour,Woollahra Municipal Council,Nielsen Park,2025-04-08,08:43:00,NA,22,52500,-33.849925,151.266231
Sydney Harbour,Northern Beaches Council,Gurney Crescent Baths,2025-04-08,09:43:00,NA,22,50400,-33.793451,151.235278
Sydney Harbour,Woollahra Municipal Council,Watsons Bay,2025-04-08,08:53:00,NA,22,52000,-33.845115,151.280546
Sydney Harbour,Mosman Municipal Council,Chinamans Beach,2025-04-08,10:52:00,NA,21,52400,-33.814094,151.248971
Sydney Harbour,Lane Cove Council,Greenwich Baths,2025-04-08,11:32:00,NA,22,50000,-33.84176,151.1829
Sydney Harbour,Woollahra Municipal Council,Parsley Bay,2025-04-08,08:47:00,NA,22,52100,-33.849889,151.276441
Sydney Harbour,Lane Cove Council,Tambourine Bay,2025-04-08,11:48:00,NA,21,47800,-33.828066,151.161315
Sydney Harbour,Northern Beaches Council,Forty Baskets Pool,2025-04-08,09:18:00,NA,22,52400,-33.803133,151.270604
Sydney Harbour,Willoughby City Council,Northbridge Baths,2025-04-08,10:26:00,NA,22,50400,-33.806043,151.222754
Sydney Harbour,North Sydney Council,Hayes Street Beach,2025-04-08,11:19:00,NA,22,52400,-33.841715,151.219382
Sydney Harbour,Northern Beaches Council,Fairlight Beach,2025-04-08,09:15:00,NA,22,52900,-33.800731,151.274778
Sydney Harbour,Northern Beaches Council,Little Manly Cove,2025-04-08,09:05:00,NA,22,52400,-33.807232,151.286808
Sydney Harbour,Inner West Council,Dawn Fraser Pool,2025-04-08,07:49:00,NA,20,50300,-33.853237,151.172823
Sydney Harbour,City of Canada Bay Council,Chiswick Baths,2025-04-08,12:11:00,NA,22,46900,-33.847168,151.142892
Sydney Harbour,Woollahra Municipal Council,Rose Bay Beach,2025-04-08,08:37:00,NA,22,51000,-33.870027,151.265932
Sydney Harbour,Woollahra Municipal Council,Camp Cove,2025-04-08,08:55:00,NA,22,53100,-33.839395,151.278758
Sydney Harbour,Inner West Council,Callan Park Seawall,2025-04-08,07:41:00,NA,22,50400,-33.862333,151.159306
Western Sydney,Hawkesbury City Council,Yarramundi Reserve,2025-04-07,09:55:00,44,21,206,-33.6091226,150.6978862
Western Sydney,Hawkesbury City Council,Windsor Beach,2025-04-07,10:35:00,37,22,388,-33.6044834,150.8170393
Western Sydney,Penrith City Council,Penrith Beach,2025-04-07,09:25:00,16,22,344,-33.694762,150.675921
Northern Sydney,Northern Beaches Council,Dee Why Beach,2025-04-03,10:00:00,1,23,54200,-33.753299,151.297338
Northern Sydney,Northern Beaches Council,Warriewood Beach,2025-04-03,11:09:00,0,24,53600,-33.69107,151.309221
Northern Sydney,Northern Beaches Council,Narrabeen Lagoon (Birdwood Park),2025-04-03,10:49:00,140,20,13740,-33.703993,151.304952
Northern Sydney,Northern Beaches Council,Long Reef Beach,2025-04-03,10:18:00,46,23,52400,-33.74525,151.30593
Northern Sydney,Northern Beaches Council,North Steyne Beach,2025-04-03,08:13:00,5,22,53800,-33.79099,151.28801
Northern Sydney,Northern Beaches Council,Queenscliff Beach,2025-04-03,08:05:00,150,21,46500,-33.78689,151.28874
Northern Sydney,Northern Beaches Council,Newport Beach,2025-04-03,10:30:00,0,23,54100,-33.653976,151.32375
Northern Sydney,Northern Beaches Council,Mona Vale Beach,2025-04-03,09:59:00,24,23,54100,-33.679704,151.313981
Northern Sydney,Northern Beaches Council,Freshwater Beach,2025-04-03,09:30:00,3,22,54600,-33.78164,151.29076
Northern Sydney,Northern Beaches Council,Bilarong Reserve,2025-04-03,12:45:00,17,26,36220,-33.710668,151.286896
Northern Sydney,Northern Beaches Council,North Curl Curl Beach,2025-04-03,09:48:00,4,23,53600,-33.767605,151.298194
Northern Sydney,Northern Beaches Council,South Steyne Beach,2025-04-03,08:43:00,1,23,54200,-33.79889,151.2903
Northern Sydney,Northern Beaches Council,Shelly Beach (Manly),2025-04-03,08:54:00,11,22,53800,-33.800514,151.297668
Northern Sydney,Northern Beaches Council,Whale Beach,2025-04-03,11:13:00,1,24,53700,-33.611207,151.332254
Northern Sydney,Northern Beaches Council,South Curl Curl Beach,2025-04-03,09:39:00,4,23,53800,-33.773397,151.293337
Northern Sydney,Northern Beaches Council,Avalon Beach,2025-04-03,10:55:00,0,24,54100,-33.635658,151.332569
Northern Sydney,Northern Beaches Council,Collaroy Beach,2025-04-03,10:25:00,6,23,53600,-33.732619,151.302884
Northern Sydney,Northern Beaches Council,North Narrabeen Beach,2025-04-03,10:44:00,0,23,54400,-33.705557,151.306407
