model,source_listing_labels,source_row_count,configurations_tracked,listed_price_low_usd,listed_price_high_usd,median_listed_price_usd,snapshot_date,release_quarter,observation_unit,quality_status,source_url,methodology_note,non_affiliation_note
DJI Air 2S,DJI Air 2S,1,10,391.00,776.00,543.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Flip,DJI Flip,1,4,300.00,741.00,529.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mini 3 Pro,DJI Mini 3 Pro,1,10,380.00,740.00,516.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic Air 2,DJI Mavic Air 2,1,10,241.00,750.00,470.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic 2,DJI Mavic 2,1,10,247.00,700.00,465.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic 2 Pro,DJI Mavic 2 Pro,1,10,276.00,700.00,455.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Neo 2,DJI Neo 2,1,3,200.00,730.00,421.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mini 3,DJI Mini 3,1,10,280.00,530.00,405.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Lito 1,DJI Lito 1,1,3,330.00,460.00,360.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Neo,DJI Neo,1,3,120.00,538.00,315.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic Pro Platinum,DJI Mavic Pro Platinum,1,6,250.00,380.00,307.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic Pro,DJI Mavic Pro,1,6,240.00,395.00,304.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mini 4K,DJI Mini 4K,1,6,221.00,330.00,270.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mini 2,DJI Mini 2,1,6,206.00,330.00,265.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mini 2 SE,DJI Mini 2 SE,1,6,186.00,346.00,254.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mini SE,DJI Mini SE,1,6,157.00,290.00,239.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic Mini,DJI Mavic Mini,1,3,156.00,301.00,224.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Mavic Air,DJI Mavic Air,1,6,140.00,261.00,218.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Spark,DJI Spark,1,3,124.00,279.00,201.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
DJI Tello,DJI Tello,1,2,150.00,223.00,186.00,2026-07-07,2026-Q3,aircraft model-level aggregate,passed_publication_gate,https://reboot-hub.com/pages/reboot-hub-data,"Aircraft model-level aggregate of published Reboot Hub catalog configuration prices on the snapshot date. Values are listed prices, not inventory claims or completed-sale prices.","Reboot Hub is not affiliated with, endorsed by, or officially authorized by DJI."
