department,year,rd_budget,total_outlays,discretionary_outlays,gdp
VA,1987,43e7,1004e9,4441e8,4782e9
Other,1987,1474e6,1004e9,4441e8,4782e9
DOD,1988,71145e6,1064400000000.0001,4644e8,5155e9
NASA,1988,8746e6,1064400000000.0001,4644e8,5155e9
DOE,1988,10863e6,1064400000000.0001,4644e8,5155e9
HHS,1988,1347e7,1064400000000.0001,4644e8,5155e9
NIH,1988,12909e6,1064400000000.0001,4644e8,5155e9
NSF,1988,2962e6,1064400000000.0001,4644e8,5155e9
USDA,1988,2085e6,1064400000000.0001,4644e8,5155e9
Interior,1988,794e6,1064400000000.0001,4644e8,5155e9
DOT,1988,587e6,1064400000000.0001,4644e8,5155e9
EPA,1988,698e6,1064400000000.0001,4644e8,5155e9
DOC,1988,764e6,1064400000000.0001,4644e8,5155e9
DHS,1988,0,1064400000000.0001,4644e8,5155e9
VA,1988,368e6,1064400000000.0001,4644e8,5155e9
Other,1988,1409e6,1064400000000.0001,4644e8,5155e9
DOD,1989,69231e6,11437e8,4888e8,557e10
NASA,1989,10623e6,11437e8,4888e8,557e10
DOE,1989,11225e6,11437e8,4888e8,557e10
HHS,1989,14291e6,11437e8,4888e8,557e10
NIH,1989,1355e7,11437e8,4888e8,557e10
NSF,1989,3162e6,11437e8,4888e8,557e10
USDA,1989,2044e6,11437e8,4888e8,557e10
Interior,1989,861e6,11437e8,4888e8,557e10
DOT,1989,586e6,11437e8,4888e8,557e10
EPA,1989,713e6,11437e8,4888e8,557e10
DOC,1989,766e6,11437e8,4888e8,557e10
DHS,1989,0,11437e8,4888e8,557e10
VA,1989,391e6,11437e8,4888e8,557e10
Other,1989,1469e6,11437e8,4888e8,557e10
DOD,1990,65589e6,1253e9,5005e8,5915e9
NASA,1990,12317e6,1253e9,5005e8,5915e9
DOE,1990,12103e6,1253e9,5005e8,5915e9
HHS,1990,14779e6,1253e9,5005e8,5915e9
NIH,1990,14042e6,1253e9,5005e8,5915e9
NSF,1990,2994e6,1253e9,5005e8,5915e9
USDA,1990,2119e6,1253e9,5005e8,5915e9
Interior,1990,919e6,1253e9,5005e8,5915e9
DOT,1990,613e6,1253e9,5005e8,5915e9
EPA,1990,735e6,1253e9,5005e8,5915e9
DOC,1990,784e6,1253e9,5005e8,5915e9
DHS,1990,0,1253e9,5005e8,5915e9
VA,1990,378e6,1253e9,5005e8,5915e9
Other,1990,1754e6,1253e9,5005e8,5915e9
DOD,1991,62238e6,13242e8,533299999999.99994,611e10
NASA,1991,13589e6,13242e8,533299999999.99994,611e10
DOE,1991,12275e6,13242e8,533299999999.99994,611e10
HHS,1991,16001e6,13242e8,533299999999.99994,611e10
NIH,1991,15016e6,13242e8,533299999999.99994,611e10
NSF,1991,3167e6,13242e8,533299999999.99994,611e10
USDA,1991,2327e6,13242e8,533299999999.99994,611e10
Interior,1991,1037e6,13242e8,533299999999.99994,611e10
DOT,1991,688e6,13242e8,533299999999.99994,611e10
EPA,1991,768e6,13242e8,533299999999.99994,611e10
DOC,1991,898e6,13242e8,533299999999.99994,611e10
DHS,1991,0,13242e8,533299999999.99994,611e10
VA,1991,375e6,13242e8,533299999999.99994,611e10
Other,1991,1629e6,13242e8,533299999999.99994,611e10
DOD,1992,61682e6,13815e8,533799999999.99994,6435e9
NASA,1992,1395e7,13815e8,533799999999.99994,6435e9
DOE,1992,1328e7,13815e8,533799999999.99994,6435e9
HHS,1992,16621e6,13815e8,533799999999.99994,6435e9
NIH,1992,15714e6,13815e8,533799999999.99994,6435e9
NSF,1992,3219e6,13815e8,533799999999.99994,6435e9
USDA,1992,248e7,13815e8,533799999999.99994,6435e9
Interior,1992,105e7,13815e8,533799999999.99994,6435e9
DOT,1992,1014e6,13815e8,533799999999.99994,6435e9
EPA,1992,804e6,13815e8,533799999999.99994,6435e9
DOC,1992,952e6,13815e8,533799999999.99994,6435e9
DHS,1992,0,13815e8,533799999999.99994,6435e9
VA,1992,407e6,13815e8,533799999999.99994,6435e9
Other,1992,1999e6,13815e8,533799999999.99994,6435e9
DOD,1993,61956e6,14094e8,539700000000.00006,6795e9
NASA,1993,14058e6,14094e8,539700000000.00006,6795e9
DOE,1993,11872e6,14094e8,539700000000.00006,6795e9
HHS,1993,16702e6,14094e8,539700000000.00006,6795e9
NIH,1993,15774e6,14094e8,539700000000.00006,6795e9
NSF,1993,3211e6,14094e8,539700000000.00006,6795e9
USDA,1993,2339e6,14094e8,539700000000.00006,6795e9
Interior,1993,1035e6,14094e8,539700000000.00006,6795e9
DOT,1993,99e7,14094e8,539700000000.00006,6795e9
EPA,1993,792e6,14094e8,539700000000.00006,6795e9
DOC,1993,1265e6,14094e8,539700000000.00006,6795e9
DHS,1993,0,14094e8,539700000000.00006,6795e9
VA,1993,403e6,14094e8,539700000000.00006,6795e9
Other,1993,1683e6,14094e8,539700000000.00006,6795e9
DOD,1994,55423e6,14618e8,5414e8,7198e9
NASA,1994,1468e7,14618e8,5414e8,7198e9
DOE,1994,10568e6,14618e8,5414e8,7198e9
HHS,1994,17674e6,14618e8,5414e8,7198e9
NIH,1994,16347e6,14618e8,5414e8,7198e9
NSF,1994,35e8,14618e8,5414e8,7198e9
USDA,1994,2385e6,14618e8,5414e8,7198e9
Interior,1994,1104e6,14618e8,5414e8,7198e9
DOT,1994,1e9,14618e8,5414e8,7198e9
EPA,1994,918e6,14618e8,5414e8,7198e9
DOC,1994,1595e6,14618e8,5414e8,7198e9
DHS,1994,0,14618e8,5414e8,7198e9
VA,1994,432e6,14618e8,5414e8,7198e9
Other,1994,1652e6,14618e8,5414e8,7198e9
DOD,1995,54026e6,15157e8,544799999999.99994,7583e9
NASA,1995,14457e6,15157e8,544799999999.99994,7583e9
DOE,1995,9806e6,15157e8,544799999999.99994,7583e9
HHS,1995,17602e6,15157e8,544799999999.99994,7583e9
NIH,1995,16448e6,15157e8,544799999999.99994,7583e9
NSF,1995,3662e6,15157e8,544799999999.99994,7583e9
USDA,1995,2273e6,15157e8,544799999999.99994,7583e9
Interior,1995,1021e6,15157e8,544799999999.99994,7583e9
DOT,1995,1018e6,15157e8,544799999999.99994,7583e9
EPA,1995,847e6,15157e8,544799999999.99994,7583e9
DOC,1995,1709e6,15157e8,544799999999.99994,7583e9
DHS,1995,0,15157e8,544799999999.99994,7583e9
VA,1995,402e6,15157e8,544799999999.99994,7583e9
Other,1995,1612e6,15157e8,544799999999.99994,7583e9
DOD,1996,53688e6,15605e8,532799999999.99994,7978e9
NASA,1996,14152e6,15605e8,532799999999.99994,7978e9
DOE,1996,9412e6,15605e8,532799999999.99994,7978e9
HHS,1996,18054e6,15605e8,532799999999.99994,7978e9
NIH,1996,17141e6,15605e8,532799999999.99994,7978e9
NSF,1996,3588e6,15605e8,532799999999.99994,7978e9
USDA,1996,2232e6,15605e8,532799999999.99994,7978e9
Interior,1996,857e6,15605e8,532799999999.99994,7978e9
DOT,1996,902e6,15605e8,532799999999.99994,7978e9
EPA,1996,724e6,15605e8,532799999999.99994,7978e9
DOC,1996,1488e6,15605e8,532799999999.99994,7978e9
DHS,1996,0,15605e8,532799999999.99994,7978e9
VA,1996,395e6,15605e8,532799999999.99994,7978e9
Other,1996,1345e6,15605e8,532799999999.99994,7978e9
DOD,1997,54903e6,16011e8,5471e8,8483e9
NASA,1997,13788e6,16011e8,5471e8,8483e9
DOE,1997,9167e6,16011e8,5471e8,8483e9
HHS,1997,19037e6,16011e8,5471e8,8483e9
NIH,1997,18013e6,16011e8,5471e8,8483e9
NSF,1997,3574e6,16011e8,5471e8,8483e9
USDA,1997,2295e6,16011e8,5471e8,8483e9
Interior,1997,872e6,16011e8,5471e8,8483e9
DOT,1997,902e6,16011e8,5471e8,8483e9
EPA,1997,877e6,16011e8,5471e8,8483e9
DOC,1997,1421e6,16011e8,5471e8,8483e9
DHS,1997,0,16011e8,5471e8,8483e9
VA,1997,867e6,16011e8,5471e8,8483e9
Other,1997,1302e6,16011e8,5471e8,8483e9
DOD,1998,54716e6,16525e8,5519e8,8955e9
NASA,1998,14201e6,16525e8,5519e8,8955e9
DOE,1998,925e7,16525e8,5519e8,8955e9
HHS,1998,2016e7,16525e8,5519e8,8955e9
NIH,1998,19093e6,16525e8,5519e8,8955e9
NSF,1998,3642e6,16525e8,5519e8,8955e9
USDA,1998,2274e6,16525e8,5519e8,8955e9
Interior,1998,78e7,16525e8,5519e8,8955e9
DOT,1998,859e6,16525e8,5519e8,8955e9
EPA,1998,928e6,16525e8,5519e8,8955e9
DOC,1998,1589e6,16525e8,5519e8,8955e9
DHS,1998,0,16525e8,5519e8,8955e9
VA,1998,855e6,16525e8,5519e8,8955e9
Other,1998,1351e6,16525e8,5519e8,8955e9
DOD,1999,55927e6,17018e8,5721e8,9511e9
NASA,1999,13975e6,17018e8,5721e8,9511e9
DOE,1999,10019e6,17018e8,5721e8,9511e9
HHS,1999,22759e6,17018e8,5721e8,9511e9
NIH,1999,21566e6,17018e8,5721e8,9511e9
NSF,1999,384e7,17018e8,5721e8,9511e9
USDA,1999,2366e6,17018e8,5721e8,9511e9
Interior,1999,718e6,17018e8,5721e8,9511e9
DOT,1999,873e6,17018e8,5721e8,9511e9
EPA,1999,962e6,17018e8,5721e8,9511e9
DOC,1999,1559e6,17018e8,5721e8,9511e9
DHS,1999,0,17018e8,5721e8,9511e9
VA,1999,926e6,17018e8,5721e8,9511e9
Other,1999,1377e6,17018e8,5721e8,9511e9
DOD,2000,56297e6,1789e9,6147e8,10148e9
NASA,2000,13376e6,1789e9,6147e8,10148e9
DOE,2000,98e8,1789e9,6147e8,10148e9
HHS,2000,25616e6,1789e9,6147e8,10148e9
NIH,2000,24281e6,1789e9,6147e8,10148e9
NSF,2000,4129e6,1789e9,6147e8,10148e9
USDA,2000,2502e6,1789e9,6147e8,10148e9
Interior,2000,871e6,1789e9,6147e8,10148e9
DOT,2000,855e6,1789e9,6147e8,10148e9
EPA,2000,786e6,1789e9,6147e8,10148e9
DOC,2000,1654e6,1789e9,6147e8,10148e9
DHS,2000,0,1789e9,6147e8,10148e9
VA,2000,909e6,1789e9,6147e8,10148e9
Other,2000,1223e6,1789e9,6147e8,10148e9
DOD,2001,58807e6,18628e8,6491e8,10565e9
NASA,2001,13604e6,18628e8,6491e8,10565e9
DOE,2001,1064e7,18628e8,6491e8,10565e9
HHS,2001,28956e6,18628e8,6491e8,10565e9
NIH,2001,27253e6,18628e8,6491e8,10565e9
NSF,2001,4569e6,18628e8,6491e8,10565e9
USDA,2001,3001e6,18628e8,6491e8,10565e9
Interior,2001,855e6,18628e8,6491e8,10565e9
DOT,2001,989e6,18628e8,6491e8,10565e9
EPA,2001,789e6,18628e8,6491e8,10565e9
DOC,2001,1417e6,18628e8,6491e8,10565e9
DHS,2001,0,18628e8,6491e8,10565e9
VA,2001,989e6,18628e8,6491e8,10565e9
Other,2001,1328e6,18628e8,6491e8,10565e9
DOD,2002,67534e6,20109e8,734e9,10877e9
NASA,2002,13844e6,20109e8,734e9,10877e9
DOE,2002,10938e6,20109e8,734e9,10877e9
HHS,2002,32518e6,20109e8,734e9,10877e9
NIH,2002,30755e6,20109e8,734e9,10877e9
NSF,2002,4774e6,20109e8,734e9,10877e9
USDA,2002,286e7,20109e8,734e9,10877e9
Interior,2002,844e6,20109e8,734e9,10877e9
DOT,2002,1053e6,20109e8,734e9,10877e9
EPA,2002,801e6,20109e8,734e9,10877e9
DOC,2002,1661e6,20109e8,734e9,10877e9
DHS,2002,36e7,20109e8,734e9,10877e9
VA,2002,1024e6,20109e8,734e9,10877e9
Other,2002,1388e6,20109e8,734e9,10877e9
DOD,2003,78782e6,21599e8,8243e8,11332e9
NASA,2003,14191e6,21599e8,8243e8,11332e9
DOE,2003,11232e6,21599e8,8243e8,11332e9
HHS,2003,36797e6,21599e8,8243e8,11332e9
NIH,2003,35073e6,21599e8,8243e8,11332e9
NSF,2003,5217e6,21599e8,8243e8,11332e9
USDA,2003,3112e6,21599e8,8243e8,11332e9
Interior,2003,855e6,21599e8,8243e8,11332e9
DOT,2003,929e6,21599e8,8243e8,11332e9
EPA,2003,753e6,21599e8,8243e8,11332e9
DOC,2003,1591e6,21599e8,8243e8,11332e9
DHS,2003,979e6,21599e8,8243e8,11332e9
VA,2003,1085e6,21599e8,8243e8,11332e9
Other,2003,1414e6,21599e8,8243e8,11332e9
DOD,2004,85503e6,22928e8,8951e8,12089e9
NASA,2004,14007e6,22928e8,8951e8,12089e9
DOE,2004,11296e6,22928e8,8951e8,12089e9
HHS,2004,36977e6,22928e8,8951e8,12089e9
NIH,2004,35327e6,22928e8,8951e8,12089e9
NSF,2004,5346e6,22928e8,8951e8,12089e9
USDA,2004,2881e6,22928e8,8951e8,12089e9
Interior,2004,813e6,22928e8,8951e8,12089e9
DOT,2004,862e6,22928e8,8951e8,12089e9
EPA,2004,858e6,22928e8,8951e8,12089e9
DOC,2004,1452e6,22928e8,8951e8,12089e9
DHS,2004,1333e6,22928e8,8951e8,12089e9
VA,2004,1123e6,22928e8,8951e8,12089e9
Other,2004,1326e6,22928e8,8951e8,12089e9
DOD,2005,88331e6,2472e9,9685e8,12889e9
NASA,2005,13347e6,2472e9,9685e8,12889e9
DOE,2005,10835e6,2472e9,9685e8,12889e9
HHS,2005,36669e6,2472e9,9685e8,12889e9
NIH,2005,35039e6,2472e9,9685e8,12889e9
NSF,2005,5157e6,2472e9,9685e8,12889e9
USDA,2005,304e7,2472e9,9685e8,12889e9
Interior,2005,781e6,2472e9,9685e8,12889e9
DOT,2005,888e6,2472e9,9685e8,12889e9
EPA,2005,806e6,2472e9,9685e8,12889e9
DOC,2005,141e7,2472e9,9685e8,12889e9
DHS,2005,1559e6,2472e9,9685e8,12889e9
VA,2005,933e6,2472e9,9685e8,12889e9
Other,2005,1304e6,2472e9,9685e8,12889e9
DOD,2006,90443e6,2655e9,10167e8,13685e9
NASA,2006,1375e7,2655e9,10167e8,13685e9
DOE,2006,10451e6,2655e9,10167e8,13685e9
HHS,2006,35276e6,2655e9,10167e8,13685e9
NIH,2006,3378e7,2655e9,10167e8,13685e9
NSF,2006,5092e6,2655e9,10167e8,13685e9
USDA,2006,2968e6,2655e9,10167e8,13685e9
Interior,2006,779e6,2655e9,10167e8,13685e9
DOT,2006,995e6,2655e9,10167e8,13685e9
EPA,2006,757e6,2655e9,10167e8,13685e9
DOC,2006,1293e6,2655e9,10167e8,13685e9
DHS,2006,1583e6,2655e9,10167e8,13685e9
VA,2006,937e6,2655e9,10167e8,13685e9
Other,2006,1325e6,2655e9,10167e8,13685e9
DOD,2007,93645e6,27287e8,1041599999999.9999,14323e9
NASA,2007,13727e6,27287e8,1041599999999.9999,14323e9
DOE,2007,10709e6,27287e8,1041599999999.9999,14323e9
HHS,2007,35108e6,27287e8,1041599999999.9999,14323e9
NIH,2007,33602e6,27287e8,1041599999999.9999,14323e9
NSF,2007,5262e6,27287e8,1041599999999.9999,14323e9
USDA,2007,2696e6,27287e8,1041599999999.9999,14323e9
Interior,2007,767e6,27287e8,1041599999999.9999,14323e9
DOT,2007,909e6,27287e8,1041599999999.9999,14323e9
EPA,2007,66e7,27287e8,1041599999999.9999,14323e9
DOC,2007,1271e6,27287e8,1041599999999.9999,14323e9
DHS,2007,1181e6,27287e8,1041599999999.9999,14323e9
VA,2007,971e6,27287e8,1041599999999.9999,14323e9
Other,2007,1319e6,27287e8,1041599999999.9999,14323e9
DOD,2008,94247e6,29825e8,11348e8,14752e9
NASA,2008,12985e6,29825e8,11348e8,14752e9
DOE,2008,11343e6,29825e8,11348e8,14752e9
HHS,2008,33964e6,29825e8,11348e8,14752e9
NIH,2008,3313e7,29825e8,11348e8,14752e9
NSF,2008,5233e6,29825e8,11348e8,14752e9
USDA,2008,2708e6,29825e8,11348e8,14752e9
Interior,2008,794e6,29825e8,11348e8,14752e9
DOT,2008,1016e6,29825e8,11348e8,14752e9
EPA,2008,636e6,29825e8,11348e8,14752e9
DOC,2008,1379e6,29825e8,11348e8,14752e9
DHS,2008,1155e6,29825e8,11348e8,14752e9
VA,2008,1029e6,29825e8,11348e8,14752e9
Other,2008,1238e6,29825e8,11348e8,14752e9
DOD,2009,93527e6,35177e8,12375e8,14415e9
NASA,2009,10087e6,35177e8,12375e8,14415e9
DOE,2009,11823e6,35177e8,12375e8,14415e9
HHS,2009,35649e6,35177e8,12375e8,14415e9
NIH,2009,3415e7,35177e8,12375e8,14415e9
NSF,2009,5472e6,35177e8,12375e8,14415e9
USDA,2009,2797e6,35177e8,12375e8,14415e9
Interior,2009,805e6,35177e8,12375e8,14415e9
DOT,2009,1062e6,35177e8,12375e8,14415e9
EPA,2009,646e6,35177e8,12375e8,14415e9
DOC,2009,1594e6,35177e8,12375e8,14415e9
DHS,2009,1258e6,35177e8,12375e8,14415e9
VA,2009,1082e6,35177e8,12375e8,14415e9
Other,2009,1323e6,35177e8,12375e8,14415e9
DOD,2010,94325e6,34571e8,13472e8,14799e9
NASA,2010,10538e6,34571e8,13472e8,14799e9
DOE,2010,12329e6,34571e8,13472e8,14799e9
HHS,2010,36134e6,34571e8,13472e8,14799e9
NIH,2010,34348e6,34571e8,13472e8,14799e9
NSF,2010,6135e6,34571e8,13472e8,14799e9
USDA,2010,2971e6,34571e8,13472e8,14799e9
Interior,2010,883e6,34571e8,13472e8,14799e9
DOT,2010,1221e6,34571e8,13472e8,14799e9
EPA,2010,679e6,34571e8,13472e8,14799e9
DOC,2010,1521e6,34571e8,13472e8,14799e9
DHS,2010,1009e6,34571e8,13472e8,14799e9
VA,2010,1176e6,34571e8,13472e8,14799e9
Other,2010,1287e6,34571e8,13472e8,14799e9
DOD,2011,8822e7,36031e8,13471e8,15379e9
NASA,2011,10147e6,36031e8,13471e8,15379e9
DOE,2011,11902e6,36031e8,13471e8,15379e9
HHS,2011,34773e6,36031e8,13471e8,15379e9
NIH,2011,33265e6,36031e8,13471e8,15379e9
NSF,2011,6127e6,36031e8,13471e8,15379e9
USDA,2011,2637e6,36031e8,13471e8,15379e9
Interior,2011,844e6,36031e8,13471e8,15379e9
DOT,2011,1064e6,36031e8,13471e8,15379e9
EPA,2011,649e6,36031e8,13471e8,15379e9
DOC,2011,1357e6,36031e8,13471e8,15379e9
DHS,2011,848e6,36031e8,13471e8,15379e9
VA,2011,1294e6,36031e8,13471e8,15379e9
Other,2011,1129e6,36031e8,13471e8,15379e9
DOD,2012,81543e6,35369e8,12861e8,16027e9
NASA,2012,12391e6,35369e8,12861e8,16027e9
DOE,2012,11839e6,35369e8,12861e8,16027e9
HHS,2012,3436e7,35369e8,12861e8,16027e9
NIH,2012,32865e6,35369e8,12861e8,16027e9
NSF,2012,6248e6,35369e8,12861e8,16027e9
USDA,2012,2553e6,35369e8,12861e8,16027e9
Interior,2012,898e6,35369e8,12861e8,16027e9
DOT,2012,1007e6,35369e8,12861e8,16027e9
EPA,2012,622e6,35369e8,12861e8,16027e9
DOC,2012,1373e6,35369e8,12861e8,16027e9
DHS,2012,527e6,35369e8,12861e8,16027e9
VA,2012,127e7,35369e8,12861e8,16027e9
Other,2012,1448e6,35369e8,12861e8,16027e9
DOD,2013,70583e6,34546e8,12022e8,16516e9
