agency_name,bureau_name,agency_code,bureau_code,treasury_code,cgac_code
Department of Commerce,National Oceanic and Atmospheric Administration,6,48,13,13
Department of Commerce,U.S. Patent and Trademark Office,6,51,13,13
Department of Commerce,National Technical Information Service,6,54,13,13
Department of Commerce,National Institute of Standards and Technology,6,55,13,13
Department of Commerce,National Telecommunications and Information Administration,6,60,13,13
Department of Defense - Military Programs,Department of Defense - Military Programs,7,0,0*,NA
Department of Defense - Military Programs,Military Personnel,7,5,0*,NA
Department of Defense - Military Programs,Operation and Maintenance,7,10,0*,NA
Department of Defense - Military Programs,International Reconstruction and Other Assistance,7,12,0*,NA
Department of Defense - Military Programs,Procurement,7,15,0*,NA
Department of Defense - Military Programs,"Research, Development, Test, and Evaluation",7,20,0*,NA
Department of Defense - Military Programs,Military Construction,7,25,0*,NA
Department of Defense - Military Programs,Family Housing,7,30,0*,NA
Department of Defense - Military Programs,Revolving and Management Funds,7,40,0*,NA
Department of Defense - Military Programs,Allowances,7,45,0*,NA
Department of Defense - Military Programs,Trust Funds,7,55,0*,NA
Department of Defense - Military Programs,"Navy, Marine Corps",7,17,17,NA
Department of Defense - Military Programs,Army,7,21,21,NA
Department of Defense - Military Programs,Air Force,7,57,57,NA
Department of Defense - Military Programs,Defense-wide,7,97,97,NA
Department of Education,Department of Education,18,0,91,91
Department of Education,Office of Elementary and Secondary Education,18,10,91,91
Department of Education,Office of Innovation and Improvement,18,12,91,91
Department of Education,Office of English Language Acquisition,18,15,91,91
Department of Education,Office of Special Education and Rehabilitative Services,18,20,91,91
Department of Education,Office of Vocational and Adult Education,18,30,91,91
Department of Education,Office of Postsecondary Education,18,40,91,91
Department of Education,Office of Federal Student Aid,18,45,91,91
Department of Education,Institute of Education Sciences,18,50,91,91
Department of Education,Departmental Management,18,80,91,91
Department of Education,Hurricane Education Recovery,18,85,91,91
Department of Energy,Department of Energy,19,0,89,89
Department of Energy,National Nuclear Security Administration,19,5,89,89
Department of Energy,Environmental and Other Defense Activities,19,10,89,89
Department of Energy,Energy Programs,19,20,89,89
Department of Energy,Power Marketing Administration,19,50,89,89
Department of Energy,Departmental Administration,19,60,89,89
Department of Health and Human Services,Department of Health and Human Services,9,0,75,75
Department of Health and Human Services,Food and Drug Administration,9,10,75,75
Department of Health and Human Services,Health Resources and Services Administration,9,15,75,75
Department of Health and Human Services,Indian Health Service,9,17,75,75
Department of Health and Human Services,Centers for Disease Control and Prevention,9,20,75,75
Department of Health and Human Services,National Institutes of Health,9,25,75,75
Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,9,30,75,75
Department of Health and Human Services,Agency for Healthcare Research and Quality,9,33,75,75
Department of Health and Human Services,Centers for Medicare and Medicaid Services,9,38,75,75
Department of Health and Human Services,Administration for Children and Families,9,70,75,75
Department of Health and Human Services,Administration for Community Living,9,75,75,75
Department of Health and Human Services,Departmental Management,9,90,75,75
Department of Health and Human Services,Program Support Center,9,91,75,75
Department of Health and Human Services,Office of the Inspector General,9,92,75,75
Department of Homeland Security,Department of Homeland Security,24,0,70,70
Department of Homeland Security,Departmental Management and Operations,24,10,70,70
Department of Homeland Security,Office of the Inspector General,24,20,70,70
Department of Homeland Security,Citizenship and Immigration Services,24,30,70,70
Department of Homeland Security,United States Secret Service,24,40,70,70
Department of Homeland Security,Transportation Security Administration,24,45,70,70
Department of Homeland Security,Federal Law Enforcement Training Center,24,49,70,70
Department of Homeland Security,Immigration and Customs Enforcement,24,55,70,70
Department of Homeland Security,U.S. Customs and Border Protection,24,58,70,70
Department of Homeland Security,United States Coast Guard,24,60,70,70
Department of Homeland Security,National Protection and Programs Directorate,24,65,70,70
Department of Homeland Security,Federal Emergency Management Agency,24,70,70,70
Department of Homeland Security,Science and Technology,24,80,70,70
Department of Homeland Security,Domestic Nuclear Detection Office,24,85,70,70
Department of Housing and Urban Development,Department of Housing and Urban Development,25,0,86,86
Department of Housing and Urban Development,Public and Indian Housing Programs,25,3,86,86
Department of Housing and Urban Development,Community Planning and Development,25,6,86,86
Department of Housing and Urban Development,Housing Programs,25,9,86,86
Department of Housing and Urban Development,Government National Mortgage Association,25,12,86,86
Department of Housing and Urban Development,Policy Development and Research,25,28,86,86
Department of Housing and Urban Development,Fair Housing and Equal Opportunity,25,29,86,86
Department of Housing and Urban Development,Office of Lead Hazard Control and Healthy Homes,25,32,86,86
Department of Housing and Urban Development,Office of Sustainable Housing and Communities,25,33,86,86
Department of Housing and Urban Development,Management and Administration,25,35,86,86
Department of the Interior,Department of the Interior,10,0,14,14
Department of the Interior,Bureau of Land Management,10,4,14,14
Department of the Interior,Bureau of Ocean Energy Management,10,6,14,14
Department of the Interior,Bureau of Safety and Environmental Enforcement,10,22,14,14
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,10,8,14,14
Department of the Interior,Bureau of Reclamation,10,10,14,14
Department of the Interior,Central Utah Project,10,11,14,14
Department of the Interior,United States Geological Survey,10,12,14,14
Department of the Interior,United States Fish and Wildlife Service,10,18,14,14
Department of the Interior,National Park Service,10,24,14,14
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,10,76,14,14
Department of the Interior,Departmental Offices,10,84,14,14
Department of the Interior,Insular Affairs,10,85,14,14
Department of the Interior,Office of the Solicitor,10,86,14,14
Department of the Interior,Office of Inspector General,10,88,14,14
Department of the Interior,Office of the Special Trustee for American Indians,10,90,14,14
Department of the Interior,National Indian Gaming Commission,10,92,14,14
Department of the Interior,Department-Wide Programs,10,95,14,14
Department of Justice,Department of Justice,11,0,15,15
Department of Justice,General Administration,11,3,15,15
Department of Justice,United States Parole Commission,11,4,15,15
Department of Justice,Legal Activities and U.S. Marshals,11,5,15,15
Department of Justice,National Security Division,11,8,15,15
Department of Justice,Radiation Exposure Compensation,11,6,15,15
Department of Justice,Interagency Law Enforcement,11,7,15,15
Department of Justice,Federal Bureau of Investigation,11,10,15,15
Department of Justice,Drug Enforcement Administration,11,12,15,15
Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",11,14,15,15
Department of Justice,Federal Prison System,11,20,15,15
Department of Justice,Office of Justice Programs,11,21,15,15
Department of Justice,Violent Crime Reduction Trust Fund,11,30,15,15
Department of Labor,Department of Labor,12,0,16,16
Department of Labor,Employment and Training Administration,12,5,16,16
Department of Labor,Employee Benefits Security Administration,12,11,16,16
Department of Labor,Pension Benefit Guaranty Corporation,12,12,16,16
Department of Labor,Employment Standards Administration,12,17,16,16
Department of Labor,Office of Workers' Compensation Programs,12,15,16,16
Department of Labor,Wage and Hour Division,12,16,16,16
Department of Labor,Office of Federal Contract Compliance Programs,12,22,16,16
Department of Labor,Office of Labor Management Standards,12,23,16,16
Department of Labor,Occupational Safety and Health Administration,12,18,16,16
Department of Labor,Mine Safety and Health Administration,12,19,16,16
Department of Labor,Bureau of Labor Statistics,12,20,16,16
Department of Labor,Departmental Management,12,25,16,16
Department of State,Department of State,14,0,19,19
Department of State,Administration of Foreign Affairs,14,5,19,19
Department of State,International Organizations and Conferences,14,10,19,19
Department of State,International Commissions,14,15,19,19
Department of State,Other,14,25,11,11
Department of Transportation,Department of Transportation,21,0,69,69
Department of Transportation,Office of the Secretary,21,4,69,69
Department of Transportation,Federal Aviation Administration,21,12,69,69
Department of Transportation,Federal Highway Administration,21,15,69,69
Department of Transportation,Federal Motor Carrier Safety Administration,21,17,69,69
Department of Transportation,National Highway Traffic Safety Administration,21,18,69,69
Department of Transportation,Federal Railroad Administration,21,27,69,69
Department of Transportation,Federal Transit Administration,21,36,69,69
Department of Transportation,Saint Lawrence Seaway Development Corporation,21,40,69,69
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,21,50,69,69
Department of Transportation,Office of Inspector General,21,56,69,69
Department of Transportation,Surface Transportation Board,21,61,69,69
Department of Transportation,Maritime Administration,21,70,69,69
Department of the Treasury,Department of the Treasury,15,0,20,20
Department of the Treasury,Departmental Offices,15,5,20,20
Department of the Treasury,Financial Crimes Enforcement Network,15,4,20,20
Department of the Treasury,Fiscal Service,15,12,20,20
Department of the Treasury,Federal Financing Bank,15,11,20,20
Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,15,13,20,20
Department of the Treasury,Bureau of Engraving and Printing,15,20,20,20
Department of the Treasury,United States Mint,15,25,20,20
Department of the Treasury,Internal Revenue Service,15,45,20,20
Department of the Treasury,Comptroller of the Currency,15,57,20,20
Department of the Treasury,Interest on the Public Debt,15,60,20,20
Department of Veterans Affairs,Department of Veterans Affairs,29,0,36,36
Department of Veterans Affairs,Veterans Health Administration,29,15,36,36
Department of Veterans Affairs,Benefits Programs,29,25,36,36
Department of Veterans Affairs,Departmental Administration,29,40,36,36
Other Defense Civil Programs,Other Defense Civil Programs,200,0,84,NA
Other Defense Civil Programs,Military Retirement,200,5,97,97
Other Defense Civil Programs,Retiree Health Care,200,7,97,97
Other Defense Civil Programs,Educational Benefits,200,10,97,97
Other Defense Civil Programs,American Battle Monuments Commission,200,15,74,74
Other Defense Civil Programs,Armed Forces Retirement Home,200,20,84,84
Other Defense Civil Programs,Cemeterial Expenses,200,25,21,21
Other Defense Civil Programs,"Forest and Wildlife Conservation, Military Reservations",200,30,97,17
Other Defense Civil Programs,Selective Service System,200,45,90,90
International Assistance Programs,International Assistance Programs,184,0,72,NA
International Assistance Programs,Millennium Challenge Corporation,184,3,95,524
International Assistance Programs,International Security Assistance,184,5,11,11
International Assistance Programs,Multilateral Assistance,184,10,11,11
International Assistance Programs,Agency for International Development,184,15,72,72
International Assistance Programs,Overseas Private Investment Corporation,184,20,71,71
International Assistance Programs,Trade and Development Agency,184,25,11,11
International Assistance Programs,Peace Corps,184,35,11,11
International Assistance Programs,Inter-American Foundation,184,40,11,11
International Assistance Programs,African Development Foundation,184,50,11,11
International Assistance Programs,International Monetary Programs,184,60,11,11
International Assistance Programs,Military Sales Program,184,70,11,11
International Assistance Programs,Special Assistance Initiatives,184,75,72,72
International Assistance Programs,Foreign Assistance Program Allowances,184,95,95,NA
Executive Office of the President,Executive Office of the President,100,0,11,11
Executive Office of the President,The White House,100,5,11,11
Executive Office of the President,Executive Residence at the White House,100,10,11,11
Executive Office of the President,Special Assistance to the President and the Official Residence of the Vice President,100,15,11,11
Executive Office of the President,Council of Economic Advisers,100,20,11,11
Executive Office of the President,Council on Environmental Quality and Office of Environmental Quality,100,25,11,11
Executive Office of the President,National Security Council and Homeland Security Council,100,35,11,11
Executive Office of the President,Office of Administration,100,50,11,11
Executive Office of the President,Office of Management and Budget,100,55,11,11
Executive Office of the President,Office of National Drug Control Policy,100,60,11,11
Executive Office of the President,Office of Science and Technology Policy,100,65,11,11
Executive Office of the President,Office of the United States Trade Representative,100,70,11,11
Executive Office of the President,Unanticipated Needs,100,95,11,11
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,202,0,96,96
Environmental Protection Agency,Environmental Protection Agency,20,0,68,68
General Services Administration,General Services Administration,23,0,47,47
General Services Administration,Real Property Activities,23,5,47,47
General Services Administration,Supply and Technology Activities,23,10,47,47
General Services Administration,General Activities,23,30,47,47
National Aeronautics and Space Administration,National Aeronautics and Space Administration,26,0,80,80
National Science Foundation,National Science Foundation,422,0,49,49
Office of Personnel Management,Office of Personnel Management,27,0,24,24
Small Business Administration,Small Business Administration,28,0,73,73
Social Security Administration,Social Security Administration,16,0,28,28
Access Board,Access Board,310,0,95,310
Administrative Conference of the United States,Administrative Conference of the United States,302,0,95,302
Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,306,0,95,306
Affordable Housing Program,Affordable Housing Program,530,0,95,NA
Appalachian Regional Commission,Appalachian Regional Commission,309,0,46,309
Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,313,0,95,313
Broadcasting Board of Governors,Broadcasting Board of Governors,514,0,95,514
Bureau of Consumer Financial Protection,Bureau of Consumer Financial Protection,581,0,95,581
Central Intelligence Agency,Central Intelligence Agency,316,0,56,56
Chemical Safety and Hazard Investigation Board,Chemical Safety and Hazard Investigation Board,510,0,95,510
Christopher Columbus Fellowship Foundation,Christopher Columbus Fellowship Foundation,465,0,76,465
Civilian Property Realignment Board,Civilian Property Realignment Board,582,0,95,NA
Commission of Fine Arts,Commission of Fine Arts,323,0,95,323
Commission on Civil Rights,Commission on Civil Rights,326,0,95,326
"Committee for Purchase from People who are Blind or Severely Disabled, activities","Committee for Purchase from People who are Blind or Severely Disabled, activities",338,0,95,338
Commodity Futures Trading Commission,Commodity Futures Trading Commission,339,0,95,339
Consumer Product Safety Commission,Consumer Product Safety Commission,343,0,61,61
Corporation for National and Community Service,Corporation for National and Community Service,485,0,95,485
Corporation for Public Broadcasting,Corporation for Public Broadcasting,344,0,20,20
Corporation for Travel Promotion,Corporation for Travel Promotion,580,0,95,580
Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,542,0,95,542
Court Services and Offender Supervision Agency for the District of Columbia,Court Services and Offender Supervision Agency for the District of Columbia,511,0,95,511
Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,347,0,95,347
Delta Regional Authority,Delta Regional Authority,517,0,95,517
Denali Commission,Denali Commission,513,0,95,513
District of Columbia,District of Columbia Courts,349,10,95,349
District of Columbia,District of Columbia General and Special Payments,349,30,20,20
Election Assistance Commission,Election Assistance Commission,525,0,95,525
Electric Reliability Organization,Electric Reliability Organization,531,0,95,NA
Equal Employment Opportunity Commission,Equal Employment Opportunity Commission,350,0,45,45
Export-Import Bank of the United States,Export-Import Bank of the United States,351,0,83,83
Farm Credit Administration,Farm Credit Administration,352,0,78,352
Farm Credit System Insurance Corporation,Farm Credit System Insurance Corporation,355,0,78,352
Federal Communications Commission,Federal Communications Commission,356,0,27,27
Federal Deposit Insurance Corporation,Deposit Insurance,357,20,51,51
Federal Deposit Insurance Corporation,FSLIC Resolution,357,30,51,51
Federal Deposit Insurance Corporation,Orderly Liquidation,357,35,51,51
Federal Deposit Insurance Corporation,FDIC - Office of Inspector General,357,40,51,51
Federal Drug Control Programs,Federal Drug Control Programs,154,0,11,11
Federal Election Commission,Federal Election Commission,360,0,95,360
Federal Financial Institutions Examination Council,Federal Financial Institutions Examination Council,362,10,95,NA
Federal Financial Institutions Examination Council,Federal Financial Institutions Examination Council Appraisal Subcommittee,362,20,95,362
Federal Housing Finance Agency,Federal Housing Finance Agency,537,0,95,537
Federal Labor Relations Authority,Federal Labor Relations Authority,365,0,54,54
Federal Maritime Commission,Federal Maritime Commission,366,0,65,65
Federal Mediation and Conciliation Service,Federal Mediation and Conciliation Service,367,0,93,93
Federal Mine Safety and Health Review Commission,Federal Mine Safety and Health Review Commission,368,0,95,368
Federal Retirement Thrift Investment Board,Federal Retirement Thrift Investment Board,369,0,26,26
Federal Trade Commission,Federal Trade Commission,370,0,29,29
Gulf Coast Ecosystem Restoration Council,Gulf Coast Ecosystem Restoration Council,586,0,95,471
Harry S Truman Scholarship Foundation,Harry S Truman Scholarship Foundation,372,0,95,372
Independent Payment Advisory Board,Independent Payment Advisory Board,578,0,95,NA
Indian Law and Order Commission,Indian Law and Order Commission,584,0,48,584
Institute of American Indian and Alaska Native Culture and Arts Development,Institute of American Indian and Alaska Native Culture and Arts Development,373,0,95,373
Institute of Museum and Library Services,Institute of Museum and Library Services,474,0,59,417
Intelligence Community Management Account,Intelligence Community Management Account,467,0,95,467
International Trade Commission,International Trade Commission,378,0,34,34
James Madison Memorial Fellowship Foundation,James Madison Memorial Fellowship Foundation,381,0,95,381
Japan-United States Friendship Commission,Japan-United States Friendship Commission,382,0,95,382
Legal Services Corporation,Legal Services Corporation,385,0,20,20
Marine Mammal Commission,Marine Mammal Commission,387,0,95,387
Merit Systems Protection Board,Merit Systems Protection Board,389,0,41,389
Military Compensation and Retirement Modernization Commission,Military Compensation and Retirement Modernization Commission,479,0,48,479
Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,487,0,95,487
National Archives and Records Administration,National Archives and Records Administration,393,0,88,88
National Capital Planning Commission,National Capital Planning Commission,394,0,95,394
National Council on Disability,National Council on Disability,413,0,95,413
National Credit Union Administration,National Credit Union Administration,415,0,25,25
National Endowment for the Arts,National Endowment for the Arts,417,0,59,417
National Endowment for the Humanities,National Endowment for the Humanities,418,0,59,417
National Infrastructure Bank,National Infrastructure Bank,538,0,95,NA
National Labor Relations Board,National Labor Relations Board,420,0,63,420
National Mediation Board,National Mediation Board,421,0,95,421
National Railroad Passenger Corporation Office of Inspector General,National Railroad Passenger Corporation Office of Inspector General,575,0,48,575
National Transportation Safety Board,National Transportation Safety Board,424,0,95,424
Neighborhood Reinvestment Corporation,Neighborhood Reinvestment Corporation,428,0,82,82
Northern Border Regional Commission,Northern Border Regional Commission,573,0,95,573
Nuclear Regulatory Commission,Nuclear Regulatory Commission,429,0,31,31
Nuclear Waste Technical Review Board,Nuclear Waste Technical Review Board,431,0,48,431
Occupational Safety and Health Review Commission,Occupational Safety and Health Review Commission,432,0,95,432
Office of Government Ethics,Office of Government Ethics,434,0,95,434
Office of Navajo and Hopi Indian Relocation,Office of Navajo and Hopi Indian Relocation,435,0,48,435
Office of Special Counsel,Office of Special Counsel,436,0,62,62
Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,534,0,95,534
Other Commissions and Boards,Other Commissions and Boards,505,0,48,377
Patient-Centered Outcomes Research Trust Fund,Patient-Centered Outcomes Research Trust Fund,579,0,95,579
Postal Service,Postal Service,440,0,18,18
Presidio Trust,Presidio Trust,512,0,95,512
Privacy and Civil Liberties Oversight Board,Privacy and Civil Liberties Oversight Board,535,0,95,535
Public Company Accounting Oversight Board,Public Company Accounting Oversight Board,526,0,95,NA
Public Defender Service for the District of Columbia,Public Defender Service for the District of Columbia,587,0,95,511
Railroad Retirement Board,Railroad Retirement Board,446,0,60,60
Recovery Act Accountability and Transparency Board,Recovery Act Accountability and Transparency Board,539,0,95,539
Securities and Exchange Commission,Securities and Exchange Commission,449,0,50,50
Standard Setting Body,Standard Setting Body,527,0,95,NA
Securities Investor Protection Corporation,Securities Investor Protection Corporation,576,0,95,NA
Smithsonian Institution,Smithsonian Institution,452,0,33,33
State Justice Institute,State Justice Institute,453,0,48,453
Tennessee Valley Authority,Tennessee Valley Authority,455,0,64,455
United Mine Workers of America Benefit Funds,United Mine Workers of America Benefit Funds,476,0,95,NA
United States Court of Appeals for Veterans Claims,United States Court of Appeals for Veterans Claims,345,0,95,345
United States Enrichment Corporation Fund,United States Enrichment Corporation Fund,486,0,95,486
United States Holocaust Memorial Museum,United States Holocaust Memorial Museum,456,0,95,456
United States Institute of Peace,United States Institute of Peace,458,0,95,458
United States Interagency Council on Homelessness,United States Interagency Council on Homelessness,376,0,48,376
Vietnam Education Foundation,Vietnam Education Foundation,519,0,95,519
Federal National Mortgage Association,Federal National Mortgage Association,915,0,39,915
Federal Home Loan Mortgage Corporation,Federal Home Loan Mortgage Corporation,914,0,39,914
Federal Home Loan Bank System,Federal Home Loan Bank System,913,0,39,913
Farm Credit System,Farm Credit System,912,0,39,912
Financing Vehicles and the Board of Governors of the Federal Reserve,Financing Vehicles and the Board of Governors of the Federal Reserve,920,0,39,920
