dataset_url,contact_name,contact_email,bureau_code,program_code,category,tags,publisher,public_access_level,footnotes,license,source_link,issued,geographic_coverage,temporal_applicability,update_frequency,described_by,homepage,geographic_unit_of_analysis,suggested_citation,geospatial_resolution,references,glossary_methodology,access_level_comment,analytical_methods_reference,language,collection
https://archive.org/download/20250128-cdc-datasets/2021_Final_Assisted_Reproductive_Technology_ART_Services_and_Profiles-meta.csv,ARTINFO,ARTINFO@cdc.gov,009:20,009:020,Assisted Reproductive Technology (ART),"art, fertility, infertility, clinic, success rates, services, assisted reproductive technology",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/art/reports/index.html,2023,NA,NA,NA,https://data.cdc.gov/dataset/2021-Final-Assisted-Reproductive-Technology-ART-Se/ui6g-vumy,https://www.cdc.gov/art/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2021_Final_Assisted_Reproductive_Technology_ART_Success_Rates-meta.csv,ARTINFO,ARTINFO@cdc.gov,009:20,009:020,Assisted Reproductive Technology (ART),"fertility, infertility, clinic, success rates, services, art, assisted reproductive technology",Centers for Disease Control and Prevention,public,NA,Public Domain,NA,2023,NA,NA,NA,https://data.cdc.gov/dataset/2021-Final-Assisted-Reproductive-Technology-ART-Su/ey8b-ejrf/revisions/0,https://www.cdc.gov/art/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2021_Final_Assisted_Reproductive_Technology_ART_Summary-meta.csv,ARTINFO,ARTINFO@cdc.gov,009:20,009:020,Assisted Reproductive Technology (ART),"art, fertility, infertility, clinic, success rates, services, assisted reproductive technology",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/art/reports/index.html,2023,NA,NA,NA,https://data.cdc.gov/dataset/2021-Final-Assisted-Reproductive-Technology-ART-Su/24w5-nppr/revisions/0,https://www.cdc.gov/art/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2022_2023_Nationwide_Blood_Donor_Seroprevalence_Survey_Combined_Infection_and_Vaccination-Induced_Seroprevalence_Estimates-meta.csv,CDC-INFO,cdcinfo@cdcinquiry.onmicrosoft.com,009:20,009:020,Laboratory Surveillance,"covid, covid-19, covid19, coronavirus, laboratory, prevalence, sars-cov, seroprevalence, serosurveys, ncird-corvd",CDC,public,"Blank fields in the dataset represent insufficient sampling. Therefore, rates could not be calculated.",Public Domain U.S. Government,https://www.cdc.gov/coronavirus/2019-ncov/cases-updates/blood-bank-serosurvey.html,2022-11-04,US,2022-01-01/2022-03-31,r/p3m,NA,NA,State,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2022_Final_Assisted_Reproductive_Technology_ART_Patient_and_Cycle_Characteristics-meta.csv,ARTINFO,ARTINFO@cdc.gov,009:20,009:020,Assisted Reproductive Technology (ART),"art, fertility, infertility, clinic, success rates, services, assisted reproductive technology",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/art/reports/index.html,7/27/2023,NA,NA,NA,https://data.cdc.gov/dataset/2020-Final-Assisted-Reproductive-Technology-ART-Pa/wrev-kwxu,https://www.cdc.gov/art/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2022_Final_Assisted_Reproductive_Technology_ART_Services_and_Profiles-meta.csv,ARTINFO,ARTINFO@cdc.gov,009:20,009:020,Assisted Reproductive Technology (ART),"art, fertility, infertility, clinic, success rates, services, assisted reproductive technology",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/art/reports/index.html,7/27/2023,NA,NA,NA,https://data.cdc.gov/dataset/2020-Final-Assisted-Reproductive-Technology-ART-Se/ix4g-rt8v,https://www.cdc.gov/art/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2022_Final_Assisted_Reproductive_Technology_ART_Success_Rates-meta.csv,ARTINFO,ARTINFO@cdc.gov,009:20,009:020,Assisted Reproductive Technology (ART),"fertility, infertility, clinic, success rates, services, art, assisted reproductive technology",Centers for Disease Control and Prevention,public,NA,Public Domain,NA,7/27/2023,NA,NA,NA,https://data.cdc.gov/dataset/2020-Final-Assisted-Reproductive-Technology-ART-Su/cchw-gdwa,https://www.cdc.gov/art/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2022_Final_Assisted_Reproductive_Technology_ART_Summary-meta.csv,ARTINFO,ARTINFO@cdc.gov,009:20,009:020,Assisted Reproductive Technology (ART),"art, fertility, infertility, clinic, success rates, services, assisted reproductive technology",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/art/reports/index.html,7/27/2023,NA,NA,NA,https://data.cdc.gov/dataset/2020-Final-Assisted-Reproductive-Technology-ART-Su/9tjt-seye,https://www.cdc.gov/art/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2023_Respiratory_Virus_Response_NSSP_Emergency_Department_Visit_Trajectories_by_State_COVID-19_Flu_RSV_Combined-meta.csv,National Syndromic Surveillance Program,nssp@cdc.gov,009:20,009:037,Public Health Surveillance,"respiratory-virus-response, covid19, coronavirus, flu, rsv, influenza, respiratory-syncytial-virus, emergency-department, ed, nssp, national-syndromic-surveillance-program, rvr, ophdst, ncird",NA,public,NA,Public Domain U.S. Government,NA,NA,U.S.,2022-11-19/2024-02-03,r/p1w,NA,NA,NA,"Centers for Disease Control and Prevention, Respiratory Virus Response. (2023). 2023 Respiratory Virus Response - NSSP Emergency Department Visits - COVID-19, Flu, RSV, National, Regional and State Level Trajectory","National, Regional, State",NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/2023_Respiratory_Virus_Response_NSSP_Emergency_Department_Visits_COVID-19_Flu_RSV_Combined-meta.csv,National Syndromic Surveillance Program (NSSP),nssp@cdc.gov,009:20,009:026,Public Health Surveillance,"covid19, flu, rsv, influenza, respiratory syncytial virus, emergency department, ed, nssp, national syndromic surveillance program, respiratory virus response, rvr, ophdst, ncird, coronavirus",NA,NA,NA,Public Domain U.S. Government,https://www.cdc.gov/respiratory-viruses/index.html,NA,US,2022-12-31/2024-02-17,r/p1w,NA,NA,State,"Centers for Disease Control and Prevention, Respiratory Virus Response . (2023). 2023 Respiratory Virus Response - NSSP Emergency Department Visits - COVID-19, Flu, RSV, Combined (September 6, 2023 Version). https://data.cdc.gov/Public-Health-Surveillance/2023-Respiratory-Virus-Response-NSSP-Emergency-Dep/vutn-jzwm",NA,https://www.cdc.gov/ncird/surveillance/respiratory-illnesses/index.html#companion-guide,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/500Cities_City_11082016-meta.csv,500 Cities Public Inquiries,places@cdc.gov,009:20,009:020,500 Cities & Places,"shapefile, city, boundaries, 500cities",Centers for Disease Control and Prevention,public,NA,Public Domain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/500Cities_Tracts_11082016-meta.csv,500 Cities Public Inquiries,places@cdc.gov,009:20,009:020,500 Cities & Places,"shapefile, census tract, boundaries, 500cities",Centers for Disease Control and Prevention,public,NA,Public Domain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/500_Cities_Census_Tract-level_Data_GIS_Friendly_Format_2016_release-meta.csv,500 Cities Public Inquiries,places@cdc.gov,009:20,009:020,500 Cities & Places,"census tracts, estimates, prevalence, 500cities",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/nccdphp/dph/,7/27/2023,NA,NA,NA,https://chronicdata.cdc.gov/500-Cities/500-Cities-Census-Tract-level-Data-GIS-Friendly-Fo/5mtz-k78d,http://www.cdc.gov/nccdphp/dph/,NA,NA,NA,"https://academic.oup.com/aje/article/179/8/1025/109078, https://academic.oup.com/aje/article/182/2/127/93984, https://www.cdc.gov/pcd/issues/2017/pdf/17_0281.pdf, https://www.cdc.gov/pcd/issues/2018/18_0313.htm",http://www.cdc.gov/500cities/,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/500_Cities_Census_Tract-level_Data_GIS_Friendly_Format_2017_release-meta.csv,500 Cities Public Inquiries,places@cdc.gov,009:20,009:020,500 Cities & Places,"500cities, cities, census, tract, gis, prevalence, unhealthy, behaviors, outcomes, prevention",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/nccdphp/dph/,7/27/2023,NA,NA,NA,NA,http://www.cdc.gov/nccdphp/dph/,NA,NA,NA,"https://academic.oup.com/aje/article/179/8/1025/109078, https://academic.oup.com/aje/article/182/2/127/93984, https://www.cdc.gov/pcd/issues/2017/17_0281.htm, https://www.cdc.gov/pcd/issues/2018/18_0313.htm",http://www.cdc.gov/500cities/,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/500_Cities_Census_Tract-level_Data_GIS_Friendly_Format_2018_release-meta.csv,500 Cities Public Inquiries,places@cdc.gov,009:20,009:020,500 Cities & Places,"500cities, cities, census, tract, gis, prevalence, unhealthy, behaviors, outcomes, prevention",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/nccdphp/dph/,7/27/2023,NA,NA,NA,NA,http://www.cdc.gov/nccdphp/dph/,NA,NA,NA,"https://academic.oup.com/aje/article/179/8/1025/109078, https://academic.oup.com/aje/article/182/2/127/93984, https://www.cdc.gov/pcd/issues/2017/17_0281.htm, https://www.cdc.gov/pcd/issues/2018/18_0313.htm",http://www.cdc.gov/500cities/,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/500_Cities_Census_Tract-level_Data_GIS_Friendly_Format_2019_release-meta.csv,500 Cities Public Inquiries,places@cdc.gov,009:20,009:020,500 Cities & Places,"500cities, cities, census, tract, gis, prevalence, unhealthy, behaviors, outcomes, prevention",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/nccdphp/dph/,7/27/2023,NA,NA,NA,https://chronicdata.cdc.gov/500-Cities/500-Cities-Census-Tract-level-Data-GIS-Friendly-Fo/k86t-wghb,http://www.cdc.gov/nccdphp/dph/,NA,NA,NA,"https://academic.oup.com/aje/article/179/8/1025/109078, https://academic.oup.com/aje/article/182/2/127/93984, https://www.cdc.gov/pcd/issues/2017/17_0281.htm, https://www.cdc.gov/pcd/issues/2018/18_0313.htm",http://www.cdc.gov/500cities/,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/500_Cities_City-level_Data_GIS_Friendly_Format_2016_release-meta.csv,500 Cities Public Inquiries,places@cdc.gov,009:20,009:020,500 Cities & Places,"city, estimates, prevalence, 500cities",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/nccdphp/dph/,7/27/2023,NA,NA,NA,https://chronicdata.cdc.gov/500-Cities/500-Cities-City-level-Data-GIS-Friendly-Format-201/k56w-7tny,http://www.cdc.gov/nccdphp/dph/,NA,NA,NA,"https://academic.oup.com/aje/article/179/8/1025/109078, https://academic.oup.com/aje/article/182/2/127/93984, https://www.cdc.gov/pcd/issues/2017/pdf/17_0281.pdf, https://www.cdc.gov/pcd/issues/2018/18_0313.htm","www.cdc.gov/places
http://www.cdc.gov/500cities/",NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/500_Cities_City-level_Data_GIS_Friendly_Format_2017_release-meta.csv,500 Cities Public Inquiries,places@cdc.gov,009:20,009:020,500 Cities & Places,"500cities, cities, census, tract, gis, prevalence, unhealthy, behaviors, outcomes, prevention",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/nccdphp/dph/,7/27/2023,NA,NA,NA,NA,http://www.cdc.gov/nccdphp/dph/,NA,NA,NA,"https://academic.oup.com/aje/article/179/8/1025/109078, https://academic.oup.com/aje/article/182/2/127/93984, https://www.cdc.gov/pcd/issues/2017/17_0281.htm, https://www.cdc.gov/pcd/issues/2018/18_0313.htm",http://www.cdc.gov/500cities/,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/500_Cities_City-level_Data_GIS_Friendly_Format_2018_release-meta.csv,500 Cities Public Inquiries,places@cdc.gov,009:20,009:020,500 Cities & Places,"500cities, cities, census, tract, gis, prevalence, unhealthy, behaviors, outcomes, prevention",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/nccdphp/dph/,7/27/2023,NA,NA,NA,NA,http://www.cdc.gov/nccdphp/dph/,NA,NA,NA,"https://academic.oup.com/aje/article/179/8/1025/109078, https://academic.oup.com/aje/article/182/2/127/93984, https://www.cdc.gov/pcd/issues/2017/17_0281.htm, https://www.cdc.gov/pcd/issues/2018/18_0313.htm",http://www.cdc.gov/500cities/,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/500_Cities_City-level_Data_GIS_Friendly_Format_2019_release-meta.csv,500 Cities Public Inquiries,places@cdc.gov,009:20,009:020,500 Cities & Places,"500cities, cities, census, tract, gis, prevalence, unhealthy, behaviors, outcomes, prevention",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/nccdphp/dph/,7/27/2023,NA,NA,NA,https://chronicdata.cdc.gov/500-Cities/500-Cities-City-level-Data-GIS-Friendly-Format-201/dxpw-cm5u,http://www.cdc.gov/nccdphp/dph/,NA,NA,NA,"https://academic.oup.com/aje/article/179/8/1025/109078, https://academic.oup.com/aje/article/182/2/127/93984, https://www.cdc.gov/pcd/issues/2017/17_0281.htm, https://www.cdc.gov/pcd/issues/2018/18_0313.htm",http://www.cdc.gov/500cities/,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/500_Cities_Local_Data_for_Better_Health_2016_release-meta.csv,500 Cities Public Inquiries,places@cdc.gov,009:20,009:020,500 Cities & Places,"census, tracts, estimates, prevalence, 500cities",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/nccdphp/dph/,7/27/2023,NA,NA,NA,https://chronicdata.cdc.gov/500-Cities/500-Cities-Local-Data-for-Better-Health-2016-relea/9z78-nsfp,http://www.cdc.gov/nccdphp/dph/,NA,NA,NA,"https://academic.oup.com/aje/article/179/8/1025/109078, https://academic.oup.com/aje/article/182/2/127/93984, https://www.cdc.gov/pcd/issues/2017/pdf/17_0281.pdf, https://www.cdc.gov/pcd/issues/2018/18_0313.htm","https://www.cdc.gov/places
http://www.cdc.gov/500cities/",NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/500_Cities_Local_Data_for_Better_Health_2017_release-meta.csv,500 Cities Public Inquiries,places@cdc.gov,009:20,009:020,500 Cities & Places,"500cities, cities, census, tracts, unhealthy, behaviors, outcomes, prevention, prevalence",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/nccdphp/dph/,7/27/2023,NA,NA,NA,NA,http://www.cdc.gov/nccdphp/dph/,NA,NA,NA,"https://academic.oup.com/aje/article/179/8/1025/109078, https://academic.oup.com/aje/article/182/2/127/93984, https://www.cdc.gov/pcd/issues/2017/17_0281.htm, https://www.cdc.gov/pcd/issues/2018/18_0313.htm",http://www.cdc.gov/500cities/,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/500_Cities_Local_Data_for_Better_Health_2018_release-meta.csv,500 Cities Public Inquiries,places@cdc.gov,009:20,009:020,500 Cities & Places,"500cities, cities, census, prevalence, unhealthy, behaviors, outcomes, prevention, tracts, brfss",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/nccdphp/dph/,7/27/2023,NA,NA,NA,NA,http://www.cdc.gov/nccdphp/dph/,NA,NA,NA,"https://academic.oup.com/aje/article/179/8/1025/109078, https://academic.oup.com/aje/article/182/2/127/93984, https://www.cdc.gov/pcd/issues/2017/17_0281.htm, https://www.cdc.gov/pcd/issues/2018/18_0313.htm",http://www.cdc.gov/500cities/,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/500_Cities_Local_Data_for_Better_Health_2019_release-meta.csv,500 Cities Public Inquiries,places@cdc.gov,009:20,009:020,500 Cities & Places,"500cities, cities, census, tracts, brfss, prevalence, unhealthy, behaviors, outcomes, prevention",Centers for Disease Control and Prevention,public,NA,Public Domain,http://www.cdc.gov/nccdphp/dph/,7/27/2023,NA,NA,NA,https://chronicdata.cdc.gov/500-Cities/500-Cities-Local-Data-for-Better-Health-2017-relea/6vp6-wxuq,http://www.cdc.gov/nccdphp/dph/,NA,NA,NA,"https://academic.oup.com/aje/article/179/8/1025/109078, https://academic.oup.com/aje/article/182/2/127/93984, https://www.cdc.gov/pcd/issues/2017/17_0281.htm, https://www.cdc.gov/pcd/issues/2018/18_0313.htm",http://www.cdc.gov/500cities/,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/AH_COVID-19_Death_Counts_by_County_and_Week_2020-present-meta.csv,National Center for Health Statistics,cdcinfo@cdc.gov,009:20,009:020,NCHS,"deaths, mortality, covid-19, county, nchs, coronavirus, all causes, nvss, provisional, weekly, united states, sdoh-environmental",National Center for Health Statistics,public,NA,Public Domain U.S. Government,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm,2022-10-18,United States,2020-01-01/2022-10-15,irregular,NA,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm,NA,"National Center for Health Statistics. AH COVID-19 Death Counts by County and Week, 2020-present. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/ite7-j2w7.",NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/AH_County_of_Occurrence_COVID-19_Death_Counts_2020_Provisional-meta.csv,National Center for Health Statistics,cdcinfo@cdc.gov,009:20,009:020,NCHS,"deaths, mortality, covid-19, county, nchs, coronavirus, all causes, nvss, provisional, yearly, united states",National Center for Health Statistics,public,NA,Public Domain U.S. Government,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm,2020-09-24,United States,2020-01-01/2020-12-31,irregular,NA,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm,NA,"National Center for Health Statistics. AH County of Occurrence COVID-19 Death Counts, 2020 Provisional. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/6vqh-esgs.",NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/AH_County_of_Residence_COVID-19_Deaths_Counts_2020_Provisional-meta.csv,National Center for Health Statistics,cdcinfo@cdc.gov,009:20,009:020,NCHS,"deaths, mortality, covid-19, county, nchs, coronavirus, yearly, all causes, nvss, provisional, united states",National Center for Health Statistics,public,NA,Public Domain U.S. Government,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm,2021-05-12,United States,2020-01-01/2020-12-31,irregular,NA,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm,NA,"National Center for Health Statistics. AH County of Residence COVID-19 Deaths Counts, 2020 Provisional. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/75vb-d79q.",NA,NA,NA,NA,NA,NA,NA
https://archive.org/download/20250128-cdc-datasets/AH_Cumulative_Provisional_COVID-19_Death_Counts_by_Place_of_Death_and_Age_Group_from_2_1_2020_to_7_18_2020-meta.csv,National Center for Health Statistics,cdcinfo@cdc.gov,009:20,009:020,NCHS,"nchs, nvss, provisional, mortality, deaths, united states, place of death, age group, age, all causes, covid-19, coronavirus, pneumonia, state, puerto rico",National Center for Health Statistics,public,NA,Public Domain U.S. Government,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm,2020-07-22,"United States, Puerto Rico",2020-02-01/2020-07-18,irregular,NA,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm,NA,National Center for Health Statistics. AH Cumulative Provisional COVID-19 Death Counts by Place of Death and Age Group from 2/1/2020 to 7/18/2020. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/g4z9-a9d3.,NA,NA,NA,NA,NA,NA,NA
