agency_name,program_name,additional_information_optional,agency_code,program_code,program_code_pod_format
Department of Commerce,Departmental Staff Services,NA,006,006-014,006:014
Department of Commerce,HCHB Renovation and Modernization,NA,006,006-015,006:015
Department of Commerce,Gifts and Bequests Trust Fund,NA,006,006-016,006:016
Department of Commerce,Franchise Fund,NA,006,006-017,006:017
Department of Commerce,Executive Direction (Centralized Services),NA,006,006-018,006:018
Department of Commerce,Departmental Staff Services (Centralized Services ),NA,006,006-019,006:019
Department of Commerce,Office of the Inspector General,NA,006,006-020,006:020
Department of Commerce,Bureau of Economic Analysis,NA,006,006-021,006:021
Department of Commerce,Policy Support,NA,006,006-022,006:022
Department of Commerce,Salaries and Expenses (S&E),NA,006,006-023,006:023
Department of Commerce,Partnership Planning Grants,NA,006,006-024,006:024
Department of Commerce,Technical Assistance Grants,NA,006,006-025,006:025
Department of Commerce,Public Works Grants,NA,006,006-026,006:026
Department of Commerce,Economic Adjustment Assistance Grants,NA,006,006-027,006:027
Department of Commerce,Research and Evaluation Grants,NA,006,006-028,006:028
Department of Commerce,Trade Adjustment Assistance,NA,006,006-029,006:029
Department of Commerce,Regional Export Challenge (New in FY 2014),NA,006,006-030,006:030
Department of Commerce,Investing in Manufacturing Communities Fund (New in FY 2014,NA,006,006-031,006:031
Department of Commerce,Disaster Recovery Assistance,NA,006,006-032,006:032
Department of Commerce,EDA Revolving Fund,NA,006,006-033,006:033
Department of Commerce,Operations and Administration (O&A),NA,006,006-034,006:034
Department of Commerce,Manufacturing and Services (Thru FY 2013),NA,006,006-035,006:035
Department of Commerce,Market Access and Compliance (Thru FY 2013),NA,006,006-036,006:036
Department of Commerce,Import Administration (Thru FY 2013),NA,006,006-037,006:037
Department of Commerce,U.S. and Foreign Commercial Service (Thru FY 2013,NA,006,006-038,006:038
Department of Commerce,Executive Direction and Administration,NA,006,006-039,006:039
Department of Commerce,Grants to Wool Manufacturers (mandatory),NA,006,006-040,006:040
Department of Commerce,Industry and Analysis (New in FY 2014),NA,006,006-041,006:041
Department of Commerce,Enforcement and Compliance (New in FY 2014),NA,006,006-042,006:042
Department of Commerce,Global Markets (New in FY 2014),NA,006,006-043,006:043
Department of Commerce,Minority Business Development,NA,006,006-044,006:044
Department of Commerce,Laboratory Programs,NA,006,006-045,006:045
Department of Commerce,Corporate Services,NA,006,006-046,006:046
Department of Commerce,Standards Coordination and Special Programs,NA,006,006-047,006:047
Department of Commerce,Technology Innovation Programs,NA,006,006-048,006:048
Department of Commerce,Hollings Manufacturing Extension Partnership,NA,006,006-049,006:049
Department of Commerce,Advanced Manufacturing Technology Consortia,NA,006,006-050,006:050
Department of Commerce,Construction and Major Renovations,NA,006,006-051,006:051
Department of Commerce,NIST Working Capital Fund (Centralized Services),NA,006,006-052,006:052
Department of Commerce,Wireless Innovation (WIN) Fund (mandatory),NA,006,006-053,006:053
Department of Commerce,National Network for Manufacturing Innovation (mandatory),NA,006,006-054,006:054
Department of Commerce,National Ocean Service,NA,006,006-055,006:055
Department of Commerce,National Marine Fisheries Service,NA,006,006-056,006:056
Department of Commerce,Oceanic and Atmospheric Research,NA,006,006-057,006:057
Department of Commerce,National Weather Service,NA,006,006-058,006:058
Department of Commerce,"National Environmental Satellite, Data and Information Service",NA,006,006-059,006:059
Department of Commerce,Program Support,NA,006,006-060,006:060
Department of Commerce,Information Clearinghouse Program,NA,006,006-061,006:061
Department of Commerce,Domestic and International Policy,NA,006,006-062,006:062
Department of Commerce,Spectrum Management,NA,006,006-063,006:063
Department of Commerce,Telecommunications Science Research,NA,006,006-064,006:064
Department of Commerce,Broadband Programs,NA,006,006-065,006:065
Department of Commerce,Wireless Broadband Access,NA,006,006-066,006:066
Department of Commerce,"Public Telecommunications Facilities, Planning and Construction",NA,006,006-067,006:067
Department of Commerce,Digital Television Transition and Public Safety Fund (mandatory),NA,006,006-068,006:068
Department of Commerce,Public Safety Broadband Corporation (mandatory),NA,006,006-069,006:069
Department of Commerce,Patents,NA,006,006-070,006:070
Department of Commerce,Trademarks,NA,006,006-071,006:071
Department of Defense,Bomber Forces,NA,007,007-001,007:001
Department of Defense,Intercontinental Ballistic Missiles (ICBMs),NA,007,007-002,007:002
Department of Defense,Strategic Land-Based missile (SLBM),NA,007,007-003,007:003
Department of Defense,Activities Supporting Bombers & ICBMs,NA,007,007-004,007:004
Department of Defense,Space Defense,NA,007,007-005,007:005
Department of Defense,Ballistic Missile Defense,NA,007,007-006,007:006
Department of Defense,Interceptors,NA,007,007-007,007:007
Department of Defense,North American Aerospace Defense Command (NORAD) and Space Command (SPACECOM) Support,NA,007,007-008,007:008
Department of Defense,Surveillance,NA,007,007-009,007:009
Department of Defense,Air Defense Initiative,NA,007,007-010,007:010
Department of Defense,Surveillance/Warning,NA,007,007-011,007:011
Department of Defense,Command Centers,NA,007,007-012,007:012
Department of Defense,Communications,NA,007,007-013,007:013
Department of Defense,Army Division Increment,NA,007,007-014,007:014
Department of Defense,Army Non-Divisional Combat Increment,NA,007,007-015,007:015
Department of Defense,Army Tactical Support Increment,NA,007,007-016,007:016
Department of Defense,Marine Ground Forces,NA,007,007-017,007:017
Department of Defense,Army Special Mission Forces,NA,007,007-018,007:018
Department of Defense,"Army Base Operations Support (BOS) and Mgmt., Headquarters (HQ)s",NA,007,007-019,007:019
Department of Defense,Army Operational Support,NA,007,007-020,007:020
Department of Defense,Army Research and Development Support (R&D),NA,007,007-021,007:021
Department of Defense,Army Systems Support,NA,007,007-022,007:022
Department of Defense,Marine Ground Forces Support,NA,007,007-023,007:023
Department of Defense,Air Force,NA,007,007-024,007:024
Department of Defense,Marine,NA,007,007-025,007:025
Department of Defense,Navy,NA,007,007-026,007:026
Department of Defense,Submarines,NA,007,007-027,007:027
Department of Defense,Surface Combatants,NA,007,007-028,007:028
Department of Defense,Amphibious Forces,NA,007,007-029,007:029
Department of Defense,Service Forces,NA,007,007-030,007:030
Department of Defense,Mine Warfare Forces,NA,007,007-031,007:031
Department of Defense,Maritime Patrol & Undersea Surveillance,NA,007,007-032,007:032
Department of Defense,Sea Based Anti-Submarine Warfare (ASW) Air Forces,NA,007,007-033,007:033
Department of Defense,Non-Strategic Nuclear Naval Forces,NA,007,007-034,007:034
Department of Defense,Fleet Support,NA,007,007-035,007:035
Department of Defense,Navy Systems Support,NA,007,007-036,007:036
Department of Defense,Navy R&D Support,NA,007,007-037,007:037
Department of Defense,"Navy BOS & Mgmt., HQs",NA,007,007-038,007:038
Department of Defense,Other Operational Support,NA,007,007-039,007:039
Department of Defense,Multimode & lntermodal Lift,NA,007,007-040,007:040
Department of Defense,Airlift Forces,NA,007,007-041,007:041
Department of Defense,Sealift Forces,NA,007,007-042,007:042
Department of Defense,Land Mobility Forces,NA,007,007-043,007:043
Department of Defense,SOF Operations,NA,007,007-044,007:044
Department of Defense,SOF Support Activities,NA,007,007-045,007:045
Department of Defense,General Purpose Support,NA,007,007-046,007:046
Department of Defense,Theater Missile Defense,NA,007,007-047,007:047
Department of Defense,Counterdrug Support,NA,007,007-048,007:048
Department of Defense,Defense-Wide Intelligence Program,NA,007,007-049,007:049
Department of Defense,Centrally Managed Communications,NA,007,007-050,007:050
Department of Defense,Satellite Communications,NA,007,007-051,007:051
Department of Defense,Command & Control Activities,NA,007,007-052,007:052
Department of Defense,Information Management Activities,NA,007,007-053,007:053
Department of Defense,Technology Base,NA,007,007-054,007:054
Department of Defense,Advanced Development,NA,007,007-055,007:055
Department of Defense,Undistributed Demonstration / Validation (DemVal) Programs,NA,007,007-056,007:056
Department of Defense,Undistributed Engineering and Manufacturing Development (EMD) Programs,NA,007,007-057,007:057
Department of Defense,R&D Support Activities,NA,007,007-058,007:058
Department of Defense,R&D BOS & Mgmt. HQs,NA,007,007-059,007:059
Department of Defense,Geophysical Activities,NA,007,007-060,007:060
Department of Defense,"Geophysical BOS & Mgmt., HQs",NA,007,007-061,007:061
Department of Defense,Space Launch Support,NA,007,007-062,007:062
Department of Defense,Nuclear Weapons Support,NA,007,007-063,007:063
Department of Defense,International Support,NA,007,007-064,007:064
Department of Defense,Security & Investigative Activities,NA,007,007-065,007:065
Department of Defense,Supply Operations,NA,007,007-066,007:066
Department of Defense,Maintenance Operations,NA,007,007-067,007:067
Department of Defense,Logistics Support to R&D Activities,NA,007,007-068,007:068
Department of Defense,Logistics Support to Procurement Activities,NA,007,007-069,007:069
Department of Defense,Logistics Support to MILCON Activities,NA,007,007-070,007:070
Department of Defense,Logistics BOS & Mgmt. HQs,NA,007,007-071,007:071
Department of Defense,Other Logistics Support,NA,007,007-072,007:072
Department of Defense,Personnel Acquisition,NA,007,007-073,007:073
Department of Defense,Personnel Acquisition Base Operations,NA,007,007-074,007:074
Department of Defense,Military Personnel Training,NA,007,007-075,007:075
Department of Defense,Civilian Personnel Training,NA,007,007-076,007:076
Department of Defense,Flight Training,NA,007,007-077,007:077
Department of Defense,Intelligence Skill Training,NA,007,007-078,007:078
Department of Defense,Health Personnel Training,NA,007,007-079,007:079
Department of Defense,Training BOS & Management. HQs,NA,007,007-080,007:080
Department of Defense,Hospitals & Other Medical Activities,NA,007,007-081,007:081
Department of Defense,Medical BOS & Mgmt. HQs,NA,007,007-082,007:082
Department of Defense,Individuals,NA,007,007-083,007:083
Department of Defense,Federal Agency Support,NA,007,007-084,007:084
Department of Defense,Family Housing,NA,007,007-085,007:085
Department of Defense,Dependent Education,NA,007,007-086,007:086
Department of Defense,Other Personnel Support Activities,NA,007,007-087,007:087
Department of Defense,"Personnel BOS & Mgmt., HQs",NA,007,007-088,007:088
Department of Defense,Departmental HQ,NA,007,007-089,007:089
Department of Defense,Departmental Services,NA,007,007-090,007:090
Department of Defense,"Departmental BOS & Mgmt., HQs",NA,007,007-091,007:091
Department of Health and Human Services,Foods Program,NA,009,009-001,009:001
Department of Health and Human Services,Human Drugs,NA,009,009-002,009:002
Department of Health and Human Services,Biologics,NA,009,009-003,009:003
Department of Health and Human Services,Animal Drugs and Feeds,NA,009,009-004,009:004
Department of Health and Human Services,Devices and Radiological Health,NA,009,009-005,009:005
Department of Health and Human Services,National Center for Toxicological Research,NA,009,009-006,009:006
Department of Health and Human Services,Center for Tobacco Products,NA,009,009-007,009:007
Department of Health and Human Services,FDA Headquarters and Program Support,NA,009,009-008,009:008
Department of Health and Human Services,Indefinite User Fees,NA,009,009-009,009:009
Department of Health and Human Services,Buildings and Facilities,NA,009,009-010,009:010
Department of Health and Human Services,Vaccine Injury Compensation,NA,009,009-011,009:011
Department of Health and Human Services,Health Education Assistance Loans Program,NA,009,009-012,009:012
Department of Health and Human Services,Primary Health Care,NA,009,009-013,009:013
Department of Health and Human Services,Health Workforce,NA,009,009-014,009:014
Department of Health and Human Services,Maternal and Child Health,NA,009,009-015,009:015
Department of Health and Human Services,Ryan White HIV/AIDS Program,NA,009,009-016,009:016
Department of Health and Human Services,Health Care Systems,NA,009,009-017,009:017
Department of Health and Human Services,Rural Health,NA,009,009-018,009:018
Department of Health and Human Services,Family Planning,NA,009,009-019,009:019
Department of Health and Human Services,Program Management,NA,009,009-020,009:020
Department of Health and Human Services,Clinical Services,NA,009,009-021,009:021
Department of Health and Human Services,Preventive Health,NA,009,009-022,009:022
Department of Health and Human Services,"Operations, Support, and Other Services",NA,009,009-023,009:023
Department of Health and Human Services,Indian Health Facilities,NA,009,009-024,009:024
Department of Health and Human Services,Special Diabetes Program for Indians,NA,009,009-025,009:025
Department of Health and Human Services,Immunization and Respiratory Diseases,NA,009,009-026,009:026
Department of Health and Human Services,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases (STD), and Tuberculosis (TB) Prevention",NA,009,009-027,009:027
Department of Health and Human Services,Emerging and Zoonotic Infectious Diseases,NA,009,009-028,009:028
Department of Health and Human Services,Chronic Disease and Prevention and Health Promotion,NA,009,009-029,009:029
Department of Health and Human Services,"Birth Defects, Developmental Disabilities, Disabilities and Health",NA,009,009-030,009:030
Department of Health and Human Services,Public Health Scientific Services,NA,009,009-031,009:031
Department of Health and Human Services,Environmental Health,NA,009,009-032,009:032
Department of Health and Human Services,Injury Prevention and Control,NA,009,009-033,009:033
Department of Health and Human Services,National Institute for Occupational Safety and Health,NA,009,009-034,009:034
Department of Health and Human Services,Energy Employees Occupational Illness Compensation Program,NA,009,009-035,009:035
Department of Health and Human Services,Global Health,NA,009,009-036,009:036
Department of Health and Human Services,Public Health Preparedness and Response,NA,009,009-037,009:037
Department of Health and Human Services,CDC-Wide Activities and Program Support,NA,009,009-038,009:038
Department of Health and Human Services,Vaccines for Children,NA,009,009-039,009:039
Department of Health and Human Services,Toxic Substances and Environmental Public Health,NA,009,009-040,009:040
Department of Health and Human Services,National Library of Medicine,NA,009,009-041,009:041
Department of Health and Human Services,John E. Fogarty International Center,NA,009,009-042,009:042
Department of Health and Human Services,Buildings and Facilities at NIH,NA,009,009-043,009:043
Department of Health and Human Services,Aging Research,NA,009,009-044,009:044
Department of Health and Human Services,Child Health and Human Development Research,NA,009,009-045,009:045
Department of Health and Human Services,NIH Program Support and Crosscutting Research Projects,NA,009,009-046,009:046
Department of Health and Human Services,Cancer Research,NA,009,009-047,009:047
Department of Health and Human Services,General Medical Sciences Research,NA,009,009-048,009:048
Department of Health and Human Services,Environmental Health Sciences Research,NA,009,009-049,009:049
Department of Health and Human Services,"Heart, Lung, and Blood Research",NA,009,009-050,009:050
Department of Health and Human Services,Dental and Craniofacial Research,NA,009,009-051,009:051
Department of Health and Human Services,Diabetes and Digestive and Kidney Disease Research,NA,009,009-052,009:052
Department of Health and Human Services,Allergy and Infectious Diseases Research,NA,009,009-053,009:053
Department of Health and Human Services,Neurological Disorders and Stroke Research,NA,009,009-054,009:054
Department of Health and Human Services,Eye Research,NA,009,009-055,009:055
Department of Health and Human Services,Arthritis and Musculoskeletal and Skin Diseases Research,NA,009,009-056,009:056
Department of Health and Human Services,Nursing Research,NA,009,009-057,009:057
Department of Health and Human Services,Deafness and Other Communication Disorders Research,NA,009,009-058,009:058
Department of Health and Human Services,Human Genome Research,NA,009,009-059,009:059
Department of Health and Human Services,Mental Health Research,NA,009,009-060,009:060
Department of Health and Human Services,Drug Abuse Research,NA,009,009-061,009:061
Department of Health and Human Services,Alcohol Abuse and Alcoholism Research,NA,009,009-062,009:062
Department of Health and Human Services,AIDS Policy and Budget,NA,009,009-063,009:063
Department of Health and Human Services,Complementary and Alternative Medicine Research,NA,009,009-064,009:064
Department of Health and Human Services,Minority Health and Health Disparities Research,NA,009,009-065,009:065
Department of Health and Human Services,Biomedical Imaging and Bioengineering Research,NA,009,009-066,009:066
Department of Health and Human Services,Advancing Translational Sciences Research,NA,009,009-067,009:067
Department of Health and Human Services,Mental Health,NA,009,009-068,009:068
Department of Health and Human Services,Substance Abuse Prevention,NA,009,009-069,009:069
Department of Health and Human Services,Substance Abuse Treatment,NA,009,009-070,009:070
Department of Health and Human Services,Health Surveillance and Program Support,NA,009,009-071,009:071
Department of Health and Human Services,"Research on Health Costs, Quality and Outcomes",NA,009,009-072,009:072
Department of Health and Human Services,Medical Expenditure Panel Survey,NA,009,009-073,009:073
Department of Health and Human Services,AHRQ Program Support,NA,009,009-074,009:074
Department of Health and Human Services,Children’s Health Insurance Program,NA,009,009-075,009:075
Department of Health and Human Services,Medicaid,NA,009,009-076,009:076
Department of Health and Human Services,Health Care Fraud and Abuse Control,NA,009,009-077,009:077
Department of Health and Human Services,Medicare,NA,009,009-078,009:078
Department of Health and Human Services,Clinical Laboratory Improvement Amendments,NA,009,009-079,009:079
Department of Health and Human Services,"Research, Demonstrations and Innovations",NA,009,009-080,009:080
Department of Health and Human Services,Private Market Insurance,NA,009,009-081,009:081
Department of Health and Human Services,Health Insurance Marketplaces,NA,009,009-082,009:082
Department of Health and Human Services,Consumer Operated and Oriented Plan Program,NA,009,009-083,009:083
Department of Health and Human Services,Payments to States for Child Support Enforcement and Family Support Programs,NA,009,009-084,009:084
Department of Health and Human Services,Low Income Home Energy Assistance,NA,009,009-085,009:085
Department of Health and Human Services,Refugee and Entrant Assistance,NA,009,009-086,009:086
Department of Health and Human Services,Promoting Safe and Stable Families,NA,009,009-087,009:087
Department of Health and Human Services,State Court Improvement Grants,NA,009,009-088,009:088
Department of Health and Human Services,Child Care Development Fund,NA,009,009-089,009:089
Department of Health and Human Services,Social Services Block Grant,NA,009,009-090,009:090
Department of Health and Human Services,Health Profession Opportunity Grants,NA,009,009-091,009:091
Department of Health and Human Services,Head Start,NA,009,009-092,009:092
Department of Health and Human Services,Runaway and Homeless Youth Programs,NA,009,009-093,009:093
Department of Health and Human Services,Child Abuse and Child Welfare,NA,009,009-094,009:094
Department of Health and Human Services,Native American Programs,NA,009,009-095,009:095
Department of Health and Human Services,Social Services Research and Demonstration,NA,009,009-096,009:096
Department of Health and Human Services,Federal Administration,NA,009,009-097,009:097
Department of Health and Human Services,Disaster Human Services Case Management,NA,009,009-098,009:098
Department of Health and Human Services,Community Services Programs,NA,009,009-099,009:099
Department of Health and Human Services,Family Violence Prevention and Services,NA,009,009-100,009:100
Department of Health and Human Services,Payments to States for Foster Care and Permanency,NA,009,009-101,009:101
Department of Health and Human Services,Temporary Assistance to Needy Families,NA,009,009-102,009:102
Department of Health and Human Services,Children’s Research and Technical Assistance,NA,009,009-103,009:103
Department of Health and Human Services,Aging Services,NA,009,009-104,009:104
Department of Health and Human Services,Intellectual and Developmental Disabilities,NA,009,009-105,009:105
Department of Health and Human Services,Minority HIV/AIDS,NA,009,009-106,009:106
Department of Health and Human Services,Teen Pregnancy Prevention,NA,009,009-107,009:107
Department of Health and Human Services,HHS Policy Development and Program Support,NA,009,009-108,009:108
Department of Health and Human Services,Office of Inspector General,NA,009,009-109,009:109
Department of Health and Human Services,Health Information Technology and Quality,NA,009,009-110,009:110
Department of Health and Human Services,Office of Medicare Hearings and Appeals,NA,009,009-111,009:111
Department of Health and Human Services,All Hazards Preparedness and Response,NA,009,009-112,009:112
Department of Health and Human Services,Medical Countermeasure Advanced Development,NA,009,009-113,009:113
Department of Health and Human Services,Retirement Pay and Medical Benefits for Commissioned Officers,NA,009,009-114,009:114
Department of Health and Human Services,Payment to DoD Medicare-Eligible Retiree Health Care Fund,NA,009,009-115,009:115
Department of the Interior,Tribal Government,NA,010,010-001,010:001
Department of the Interior,Contract Support Costs,NA,010,010-002,010:002
Department of the Interior,Human Services,NA,010,010-003,010:003
Department of the Interior,Trust ‐ Natural Resources Management,NA,010,010-004,010:004
Department of the Interior,Trust ‐ Real Estate Services,NA,010,010-005,010:005
Department of the Interior,Public Safety and Justice,NA,010,010-006,010:006
Department of the Interior,Community and Economic Development,NA,010,010-007,010:007
Department of the Interior,Executive Direction and Administrative Services,NA,010,010-008,010:008
Department of the Interior,Education Construction,NA,010,010-009,010:009
Department of the Interior,Public Safety & Justice Construction,NA,010,010-010,010:010
Department of the Interior,Resources Management Construction,NA,010,010-011,010:011
Department of the Interior,General Administration (Construction),NA,010,010-012,010:012
Department of the Interior,Construction Management,NA,010,010-013,010:013
Department of the Interior,Indian Land and Water Claim Settlements & Miscellaneous Payments to Indians,NA,010,010-014,010:014
Department of the Interior,Indian Guaranteed Loan Program,NA,010,010-015,010:015
Department of the Interior,Gifts and Donations,NA,010,010-016,010:016
Department of the Interior,White Earth Settlement Fund,NA,010,010-017,010:017
Department of the Interior,Miscellaneous Permanent Appropriations,NA,010,010-018,010:018
Department of the Interior,Operation and Maintenance of Quarters,NA,010,010-019,010:019
Department of the Interior,Elementary and Secondary Programs,NA,010,010-020,010:020
Department of the Interior,Post Secondary Programs,NA,010,010-021,010:021
Department of the Interior,Education Management,NA,010,010-022,010:022
Department of the Interior,Indian Arts and Crafts Board,NA,010,010-023,010:023
Department of the Interior,"Land Resources (Management of: Soil, Water & Air; Riparian; Wild Horse & Burro; partial Rangeland)",NA,010,010-024,010:024
Department of the Interior,Land Resources (Management of Cultural Resources),NA,010,010-025,010:025
Department of the Interior,Land Resources (Management of Rangeland),NA,010,010-026,010:026
Department of the Interior,Land Resources (Management of Public Domain Forestry),NA,010,010-027,010:027
Department of the Interior,Wildlife and Fisheries,NA,010,010-028,010:028
Department of the Interior,Threatened and Endangered Species,NA,010,010-029,010:029
Department of the Interior,Recreation Management (Wilderness),NA,010,010-030,010:030
Department of the Interior,Recreation Management (Recreation),NA,010,010-031,010:031
Department of the Interior,"Energy and Minerals Management (Oil, Natural Gas and Coal; includes offsetting fees)",NA,010,010-032,010:032
Department of the Interior,Energy and Minerals Management (Renewable Energy),NA,010,010-033,010:033
Department of the Interior,Energy and Minerals Management (Other Mineral Resources),NA,010,010-034,010:034
Department of the Interior,Realty and Ownership Management,NA,010,010-035,010:035
Department of the Interior,Communication Site Management,NA,010,010-036,010:036
Department of the Interior,"Resource Protection and Maintenance (Land Use Planning, Abandoned Mine Lands, Hazardous Materials)",NA,010,010-037,010:037
Department of the Interior,Resource Protection and Maintenance (Law Enforcement),NA,010,010-038,010:038
Department of the Interior,Transportation and Facilities Mgmt.,NA,010,010-039,010:039
Department of the Interior,National Landscape Conservation System,NA,010,010-040,010:040
Department of the Interior,Challenge Cost Share,NA,010,010-041,010:041
Department of the Interior,Workforce and Organizational Support,NA,010,010-042,010:042
Department of the Interior,Mining Law Administration,NA,010,010-043,010:043
Department of the Interior,Land Acquisition,NA,010,010-044,010:044
Department of the Interior,Land Acquisition (Mandatory),NA,010,010-045,010:045
Department of the Interior,Oregon & California Grant Lands (Western Oregon: Forest Management; Reforestation & Forest Development; and Other Forest Resources),NA,010,010-046,010:046
Department of the Interior,Oregon & California Grant Lands (Western Oregon Resource Management Planning),NA,010,010-047,010:047
Department of the Interior,Oregon & California Grant Lands (Western Oregon transportation and facilities maintenance),NA,010,010-048,010:048
Department of the Interior,"Range Improvements (Includes Public Lands Improvements, Farm Tenant Act Lands Improvements, and Administrative Expenses)",NA,010,010-049,010:049
Department of the Interior,Miscellaneous Trust Funds,NA,010,010-050,010:050
Department of the Interior,Miscellaneous Permanent Payment Accounts,NA,010,010-051,010:051
Department of the Interior,Permanent Operating Funds,NA,010,010-052,010:052
Department of the Interior,Helium Fund,NA,010,010-053,010:053
Department of the Interior,Renewable Energy,NA,010,010-054,010:054
Department of the Interior,Conventional Energy,NA,010,010-055,010:055
Department of the Interior,Environmental Assessment,NA,010,010-056,010:056
Department of the Interior,General Support Services,NA,010,010-057,010:057
Department of the Interior,Executive Direction,NA,010,010-058,010:058
Department of the Interior,Water and Energy Management Development ‐ Other,NA,010,010-059,010:059
Department of the Interior,Water and Energy Management Development ‐ WaterSMART Grants,NA,010,010-060,010:060
Department of the Interior,Water and Energy Management Development ‐ Cooperative Watershed Management,NA,010,010-061,010:061
Department of the Interior,Water and Energy Management Development ‐ Basin Studies,NA,010,010-062,010:062
