Number,Name,Brand,Release_Year,Concentration,Rating_Value,Rating_Count,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,Perfumers,URL
104,Greenbriar 1968,CB I Hate Perfume,2002,NA,7.3,27,"Earthy, Resinous, Woody, Spicy, Sweet",NA,NA,NA,Patricia Choux,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/104__Greenbriar_1968
105,I am a Dandelion,CB I Hate Perfume,2008,NA,7.8,16,"Sweet, Gourmand, Green, Spicy, Resinous","Meringue, Magnolia, Myrrh","Parsley, Clove, Cypriol","Green vanilla, White oud, Nausea",Christèle Jacquemin Perfume maker,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/I_am_a_Dandelion
106,Invisible Monster,CB I Hate Perfume,1998,NA,NA,NA,NA,"Ceylon cinnamon, Indian cardamom, Nutmeg, Persian saffron, Somalian frankincense, Spanish oregano, Nastiness","Cashmere wood, Egyptian papyrus","Ambergris, Atlas cedar, Bourbon vanilla, Indonesian patchouli, Mysore sandalwood, Virginia cedar, White musk, Putridity",NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/106_Invisible_Monster
108,On A Clear Day You Can See Forever,CB I Hate Perfume,2007,NA,7.8,2,"Smoky, Sweet, Gourmand, Spicy, Powdery","Cardamom, Pink pepper","Juniper, Vanilla, Quarklox","Cypress, Frankincense, Musk",NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/108_On_A_Clear_Day_You_Can_See_Forever
11,White Soap,W.Dressroom,NA,NA,NA,NA,NA,"Aldehydes, Galbanum, Lavender, Lime, Pear, Spices","Carnation, Gardenia, Orange blossom, Rose, Ylang-ylang","Amber, Cedar, Musk, Pine, Tonka bean",NA,https://www.parfumo.com/Perfumes/W_Dressroom/11-white-soap
11,Orchid Tea Leaf Bergamot,Prouvé,NA,NA,NA,NA,NA,"Bergamot, Osmanthus, Tea","Freesia, Jasmine, Orchid, Rosa centifolia","Musk, Patchouli",NA,https://www.parfumo.com/Perfumes/prouve/11-orchid-tea-leaf-bergamot
116,Vetiver di Genova,Le Ré Noir,NA,NA,NA,NA,"Floral, Fresh, Woody, Citrus, Green",NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/116_Vetiver_di_Genova
12,Very Berry,W.Dressroom,NA,NA,NA,NA,NA,"Bay leaf, Blackcurrant, Grapefruit","Peony, Rose","Cedarwood, Musk",NA,https://www.parfumo.com/Perfumes/W_Dressroom/12__Very_Berry
124,White Ginger Flower,CB I Hate Perfume,1919,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/White_Ginger
126,Tabac du Chaman,Le Ré Noir,NA,NA,NA,NA,"Smoky, Sweet, Spicy, Leathery, Woody",NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/126_Tabac_du_Chaman
129,«H»,Le Ré Noir,NA,NA,NA,NA,NA,NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/129_H
13,Velvet Powder,W.Dressroom,NA,NA,NA,NA,NA,"Bergamot, Orange","Iris, Jasmine, Orchid, Rose, Violet, Ylang-ylang","Cedarwood, Heliotrope, Vanilla",NA,https://www.parfumo.com/Perfumes/W_Dressroom/13-velvet-powder
131,Parfum Exaltant,Le Ré Noir,NA,NA,NA,NA,NA,NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/131_Parfum_Exaltant
14,Lemon & Lime,W.Dressroom,NA,NA,NA,NA,NA,"Eucalyptus, Lime","Hyacinth, Ozonic notes",Pine,NA,https://www.parfumo.com/Perfumes/W_Dressroom/14__Lemon__Lime
14,Sea Notes Orange Cedar,Prouvé,NA,NA,NA,NA,NA,"Aldehydes, Marine notes, Orange","Black pepper, Cedar, Neroli","Ambergris, Vanilla, Vetiver",NA,https://www.parfumo.com/Perfumes/prouve/14-sea-notes-orange-cedar
140,Délice du Figuier,Le Ré Noir,NA,NA,NA,NA,"Green, Woody, Fresh",NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/140_Delice_du_Figuier
15,Strawberry Cherry Caramel,Prouvé,NA,NA,NA,NA,NA,"Cherry, Mandarin orange, Pineapple, Strawberry","Caramel, Popcorn, Violet","Ambergris, Musk, Patchouli",NA,https://www.parfumo.com/Perfumes/prouve/15-strawberry-cherry-caramel
154,Pouvoir Absolu,Le Ré Noir,NA,NA,NA,NA,NA,NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/154_Pouvoir_Absolu
157,Méditation de la Lune,Le Ré Noir,NA,NA,NA,NA,NA,NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/157_Meditation_de_la_Lune
16,Pear Mint Basil,Prouvé,NA,NA,NA,NA,NA,"Bergamot, Cedar, Pear","Basil, Mint","Musk, Patchouli",NA,https://www.parfumo.com/Perfumes/prouve/16-pear-mint-basil
164,À L'Apogée de Vert,Le Ré Noir,1971,NA,7.3,305,"Spicy, Green, Woody, Fresh, Resinous","Basil, Brazilian rosewood, Galbanum, Grapefruit, Italian bergamot, Ylang-ylang, Jasmine, Rose","Frankincense, Lebanon cedar, Cascarilla, Nutmeg, Patchouli, Sandalwood","Cistus, Labdanum",Roger Pellégrino,https://www.parfumo.com/Perfumes/Le_Re_Noir/164__l_Apogee_de_Vert
165,Silence du Soir,Le Ré Noir,NA,NA,NA,NA,NA,NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/165_Silence_du_Soir
17,"Havana, Glass Of Vanilla Cocktail On The Beach at 4 pm",W.Dressroom,NA,NA,NA,NA,NA,"Bergamot, Juniper, Lemon, Pepper","Frankincense, Orris root, Pine needle","Amber, Sandalwood, Vanilla",NA,https://www.parfumo.com/Perfumes/W_Dressroom/17__Havana_Glass_Of_Vanilla_Cocktail_On_The_Beach_at_4_pm
17,Jasmine Passion Flower Vanilla,Prouvé,NA,NA,NA,NA,NA,Passion flower,"Gardenia, Jasmine","Vanilla, Vetiver",NA,https://www.parfumo.com/Perfumes/prouve/17-jasmine-passion-flower-vanilla
18,Gentleman Code,W.Dressroom,NA,NA,NA,NA,NA,"Bergamot, Grapefruit, Rosemary","Cinnamon, Clove, Lily, Tonka bean","Amber, Cedar, Frankincense, Patchouli, Sandalwood, Vanilla",NA,https://www.parfumo.com/Perfumes/W_Dressroom/18__Gentleman_Code
18,Coffee Pink Pepper Tonka Bean,Prouvé,NA,NA,NA,NA,"Sweet, Gourmand, Spicy, Powdery, Creamy","Bergamot, Orange","Amyris, Coffee, Pink pepper","Musk, Patchouli, Tonka bean, Vetiver",NA,https://www.parfumo.com/Perfumes/prouve/18-coffee-pink-pepper-tonka-bean
19,White Lilly,W.Dressroom,NA,NA,NA,NA,NA,Bergamot,"Bulgarian rose, Lily of the valley, Magnolia, Violet","Cedarwood, Crystal amber, Musk",NA,https://www.parfumo.com/Perfumes/W_Dressroom/19-white-lilly
19,Jasmine Melon Cedar,Prouvé,NA,NA,NA,NA,NA,"Bergamot, Magnolia, Melon, Pear","Lily of the valley, Orchid, Plum, Violet","Blackberry, Cedar, Vanilla",NA,https://www.parfumo.com/Perfumes/prouve/19-jasmine-melon-cedar
195,Aquarelle Tubéreuse,Le Ré Noir,NA,NA,NA,NA,NA,NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/195_Aquarelle_Tubereuse
2,Green Apple Cinnamon Olive Tree,Prouvé,NA,NA,NA,NA,NA,"Bergamot, Green apple, Lemon, Oakmoss, Plum","Cinnamon, Clove, Rose","Olive wood, Sandalwood, Vanilla, Vetiver",NA,https://www.parfumo.com/Perfumes/prouve/2-green-apple-cinnamon-olive-tree
2,Pencil,Black Phoenix Alchemy Lab,2020,NA,NA,NA,NA,NA,NA,NA,"Elizabeth Moriarty Barrial Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Black_Phoenix_Alchemy_Lab/2-pencil
20,Cinnamon Rose Leather Notes,Prouvé,NA,NA,NA,NA,NA,"Grapefruit, Mandarin orange, Mint","Cinnamon, Rose, Spices","Amber, Cedar, Leathery notes",NA,https://www.parfumo.com/Perfumes/prouve/20-cinnamon-rose-leather-notes
201,CB93,CB I Hate Perfume,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/CB93
202,Patchouli Empire,CB I Hate Perfume,2007,NA,NA,NA,NA,"Cardamom, Frankincense, Maté","Saffron, Suede, Burnt Electronics","Musk, Patchouli, Infestation",Firmenich,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/Patchouli_EMPIRE
203,Violet Empire,CB I Hate Perfume,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/Violet_EMPIRE
204,Tea/Rose,CB I Hate Perfume,NA,NA,NA,NA,NA,"Aquatic notes, Orange blossom, Repulse","Aniseed, Geranium, Osmanthus, Funk","Amber, Musk, Ash",NA,https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/Tea_Rose
205,7 Billion Hearts,CB I Hate Perfume,1996,NA,7,92,"Fresh, Citrus, Spicy, Aquatic, Synthetic","Rosemary, Bergamot","White pepper, Iris, Nutmeg","Oakmoss, Cashmere, Patchouli","Antoine Lie, Pierre Negrin, Olivier Gillotin",https://www.parfumo.com/Perfumes/CB_I_Hate_Perfume/7_Billion_Hearts
208,Miss ''N'',Le Ré Noir,NA,NA,NA,NA,NA,NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/208_Miss__N_
21,Santal Reserve,Gather Perfume / Amrita Aromatics,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Gather_Perfume/21-santal-reserve
211,Mon Vetiver Narcotique,Le Ré Noir,NA,NA,NA,NA,"Green, Fruity, Fresh",NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/211_Mon_Vetiver_Narcotique
214,Hazelnut in Chocolate,W.Dressroom,NA,NA,NA,NA,NA,"Brown sugar, Cocoa, Hazelnut","Amber, Coconut, Lily, Orchid","Sandalwood, Tonka bean, Vanilla",NA,https://www.parfumo.com/Perfumes/W_Dressroom/214-hazelnut-in-chocolate
214,L'Âme de Vétiver,Le Ré Noir,2019,NA,NA,NA,NA,NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/214-l-ame-de-vetiver
22,Lemon Leather Notes Ambergris,Prouvé,NA,NA,NA,NA,NA,"Lemon, Orange","Cedar, Coriander, Leathery notes, Violet","Ambergris, Styrax, Tonka bean",NA,https://www.parfumo.com/Perfumes/prouve/22-lemon-leather-notes-ambergris
220,Tabou,Le Ré Noir,2003,NA,7.3,450,"Floral, Creamy, Fresh, Sweet, Powdery",NA,NA,NA,Alberto Morillas,https://www.parfumo.com/Perfumes/Le_Re_Noir/220_Tabou
240,Santal gourmande,Le Ré Noir,NA,NA,NA,NA,NA,NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/240_Santal_gourmande
245,L'Arbre amère,Le Ré Noir,NA,NA,NA,NA,NA,NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/245_l_Arbre_amere
251,Chef est en vacances,Le Ré Noir,NA,NA,NA,NA,NA,NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/251_Chef_est_en_vacances
253,Neuf,Le Ré Noir,NA,NA,NA,NA,NA,NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/253_Neuf
26,Herb Woody,W.Dressroom,NA,NA,NA,NA,NA,"Bergamot, Orange, Tangerine","Lavender, Rosemary","Cedar, Pine",NA,https://www.parfumo.com/Perfumes/W_Dressroom/26-herb-woody
26,Oud Rosewood Vanilla,Prouvé,NA,NA,8.5,2,"Spicy, Powdery, Oriental, Woody, Sweet","Oud, Rosewood","Cardamom, Sandalwood, Vanilla","Tonka bean, Vetiver",NA,https://www.parfumo.com/Perfumes/prouve/26-oud-rosewood-vanilla
261,Blanc,Le Ré Noir,NA,NA,NA,NA,NA,NA,NA,NA,Valery Sokolov / Валерий Соколов,https://www.parfumo.com/Perfumes/Le_Re_Noir/261_Blanc
27,Raspberry Jasmine Honey,Prouvé,2004,NA,7.9,15,"Floral, Green, Citrus, Spicy, Powdery","Aldehydes, Bergamot, Mandarin orange, Rotten Onion","Narcissus, Mimosa, Violet, Scum","Vanilla, Musk, Patchouli",NA,https://www.parfumo.com/Perfumes/prouve/27-raspberry-jasmine-honey
28,Bergamot Papaya Nutmeg,Prouvé,NA,NA,NA,NA,NA,"Bergamot, Lemon, Papaya, Pineapple","Lily of the valley, Nutmeg, Rose, Violet","Amber, Musk, Sandalwood",NA,https://www.parfumo.com/Perfumes/prouve/28-bergamot-papaya-nutmeg
29,Lychee Peach Musk,Prouvé,NA,NA,NA,NA,NA,"Bergamot, Lychee, Peach","Lily, Lily of the valley, Plum","Musk, Vanilla, Vetiver",NA,https://www.parfumo.com/Perfumes/prouve/29-lychee-peach-musk
3,Rose Orange Patchouli,Prouvé,NA,NA,NA,NA,NA,"Mandarin orange, Orange, Orange blossom","Mimosa, Rose, Ylang-ylang","Patchouli, Tonka bean, Vanilla",NA,https://www.parfumo.com/Perfumes/prouve/3-rose-orange-patchouli
30,White Musk,W.Dressroom,NA,NA,NA,NA,NA,Watermelon,"Iris, Jasmine, Lily of the valley, Orchid, Rosewood","Amber, Balsam, Musk",NA,https://www.parfumo.com/Perfumes/W_Dressroom/30-white-musk
30,Green Apple Lavender Fir,Prouvé,NA,NA,NA,NA,NA,"Basil, Bergamot, Grapefruit, Green apple, Lavender","Carnation, Geranium, Sage","Cedar, Fir, Patchouli",NA,https://www.parfumo.com/Perfumes/prouve/30-green-apple-lavender-fir
31,Peony Rose Pink Pepper,Prouvé,NA,NA,NA,NA,NA,"Mandarin orange, Peony","Osmanthus, Rose","Patchouli, Pink pepper, Sandalwood",NA,https://www.parfumo.com/Perfumes/prouve/31-peony-rose-pink-pepper
314,Strawberry in Cream,W.Dressroom,NA,NA,NA,NA,NA,"Blackcurrant, Citrus fruits, Pine","Jasmine, Strawberry","Amber, Musk, Vanilla cream",NA,https://www.parfumo.com/Perfumes/W_Dressroom/314-strawberry-in-cream
32,"Copenhagen, Romantic Night-Walk With Your Loved Ones at 7 pm",W.Dressroom,NA,NA,NA,NA,NA,"Citrus notes, Honeysuckle, Passion fruit","Jasmine, Rose","Musk, Woody notes",NA,https://www.parfumo.com/Perfumes/W_Dressroom/32__Copenhagen_Romantic_Night_Walk_With_Your_Loved_Ones_at_7_pm
32,Grapefruit Violet Leather Notes,Prouvé,NA,NA,NA,NA,NA,"Grapefruit, Mandarin orange","Basil, Mint, Violet","Leathery notes, Vetiver",NA,https://www.parfumo.com/Perfumes/prouve/32-grapefruit-violet-leather-notes
33,"New York, Wake Up Late On Sunday Morning at 11 am",W.Dressroom,NA,NA,NA,NA,NA,"Grapefruit, Quince","Hyacinth, Jasmine","Amber, Iris, Musk, Virginia cedar",NA,https://www.parfumo.com/Perfumes/W_Dressroom/33__New_York_Wake_Up_Late_On_Sunday_Morning_at_11_am
33,Freesia Rose Patchouli,Prouvé,NA,NA,NA,NA,NA,Blackcurrant leaf,"Freesia, Rose","Ambroxan, Patchouli, Vanilla",NA,https://www.parfumo.com/Perfumes/prouve/33-freesia-rose-patchouli
34,Always Happy,W.Dressroom,NA,NA,NA,NA,NA,"Grapefruit, Green notes, Pear, Plum, Raspberry","Apple blossom, Jasmine, Lychee, Rose, Violet","Cedarwood, Musk",NA,https://www.parfumo.com/Perfumes/W_Dressroom/34__Always_Happy
35,Green Earth,W.Dressroom,NA,NA,NA,NA,NA,"Orange blossom, Pink pepper","Geranium, Heliotrope, Jasmine, Lavender, Magnolan®, Rose","Amber, Cedarwood, Musk, Patchouli",NA,https://www.parfumo.com/Perfumes/W_Dressroom/35-green-earth
40,Chich Amber,W.Dressroom,NA,NA,NA,NA,"Floral, Fruity, Synthetic","Bergamot, Blackcurrant, Green apple, Lemon","Freesia, Lily of the valley, Magnolia","Amber, Musk",NA,https://www.parfumo.com/Perfumes/W_Dressroom/40-chich-amber
NA,All Night Long,Ramón Monegal,2024,NA,8.4,9,"Sweet, Fruity, Floral, Fresh, Citrus","Lemon, Mint, Pineapple","Patchouli, Heliotrope, Jasmine","Oakmoss, Musk, Vanilla",Ramón Monegal Maso,https://www.parfumo.com/Perfumes/Ramon_Monegal/all-night-long
NA,aM - Ginger & Cedarwood,Yntenzo,NA,NA,NA,NA,"Green, Citrus, Spicy, Oriental, Leathery","Citrus notes, Fruity notes, Ginger","Green notes, Lavender, Ozonic notes, Spicy notes","Ambergris, Cedarwood, Leather, Musk, Sandalwood, Vetiver",NA,https://www.parfumo.com/Perfumes/Yntenzo/aM__Ginger__Cedarwood
NA,ashtag by Mario Bautista,Zermat,2015,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Zermat/ashtag_by_Mario_Bautista
NA,Attitude,The Dua Brand / Dua Fragrances,NA,NA,8.4,6,"Smoky, Sweet, Spicy, Creamy, Citrus",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/the-dua-brand/attitude
NA,aW - Limoncello & Peony,Yntenzo,NA,NA,NA,NA,NA,"Green notes, Limoncello, Orange","Fruity notes, Peony, Sweet notes","Benzoin, Caramel, Honey, Musk",NA,https://www.parfumo.com/Perfumes/Yntenzo/aW__Limoncello__Peony
NA,Bel Ange,Faberlic,2009,NA,NA,NA,NA,NA,NA,NA,"Catrianna Marx Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Faberlic/Bel_Ange
NA,Blessed,The Dua Brand / Dua Fragrances,NA,NA,8.2,16,"Synthetic, Animal, Sweet, Woody, Gourmand",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/the-dua-brand/blessed
NA,bM - Chestnut & Vanilla,Yntenzo,NA,NA,8.8,2,"Sweet, Green, Spicy, Woody, Fruity","Cardamom, Mint, Pink pepper, Violet leaf","Melon, Pineapple, Sage","Amberwood, Cedar, Chestnut, Vanilla",NA,https://www.parfumo.com/Perfumes/Yntenzo/bM__Chestnut__Vanilla
NA,Bon Bon Chérie,Faberlic,1998,NA,NA,NA,"Synthetic, Green, Spicy, Oriental, Fruity",NA,NA,NA,Massimiliano Torti,https://www.parfumo.com/Perfumes/Faberlic/bon-bon-cherie
NA,Boom Couture,Faberlic,NA,NA,6.5,33,"Green, Spicy, Resinous, Woody, Floral","Mandarin orange, Staleness","Lavender absolute, Diesel","Labdanum, Sock",Mandy Aftel,https://www.parfumo.com/Perfumes/Faberlic/Boom_Couture
NA,bW - Lavender & Vanilla,Yntenzo,NA,NA,NA,NA,NA,"Bergamot, Lavender","Iris, Jasmine sambac, Rose","Benzoin, Coumarin, Liquorice, Patchouli, Sandalwood, Vanilla",NA,https://www.parfumo.com/Perfumes/Yntenzo/bW__Lavender__Vanilla
NA,By Accident,The Dua Brand / Dua Fragrances,NA,NA,6.5,3,"Woody, Powdery",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/the-dua-brand/by-accident
NA,Café del Mar,Ramón Monegal,2018,NA,7.5,41,"Fresh, Spicy, Aquatic, Sweet, Green","Yellow apple, Coffee, Kelp","Freesia, Lavender, Lily","Ambergris, Vanilla, Sand",Ramón Monegal Maso,https://www.parfumo.com/Perfumes/Ramon_Monegal/cafe-del-mar
NA,Candy,The Dua Brand / Dua Fragrances,NA,NA,7.8,14,"Fruity, Fresh, Citrus, Aquatic, Synthetic",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/the-dua-brand/candy
NA,Charging Life,Zara,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Zara/Charging_Life
NA,cM - Vanilla & Amber,Yntenzo,NA,NA,NA,NA,NA,"Bergamot, Black pepper, Iris","Ambrette, Cardamom, Coriander, Musk","Amber, Vanilla, Vetiver, Virginia cedar",NA,https://www.parfumo.com/Perfumes/Yntenzo/cM__Vanilla__Amber
NA,Cool Vibes,Zara,NA,NA,7.3,2,"Sweet, Synthetic, Gourmand, Spicy, Creamy",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Zara/cool-vibes
NA,CoralCrush,Nike,2022,NA,NA,NA,NA,"Blackcurrant, Mandarin orange, Raspberry, Strawberry","Cashmere, Jasmine, Vanilla, Violet, Woods","Amber, Musk, Oakmoss, Patchouli, Sugar",NA,https://www.parfumo.com/Perfumes/Nike/coralcrush
NA,Covfefe,Black Phoenix Alchemy Lab,2017,NA,NA,NA,"Fruity, Leathery, Spicy, Aquatic",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Black_Phoenix_Alchemy_Lab/covfefe
NA,Craveme,The Dua Brand / Dua Fragrances,2020,NA,NA,NA,"Fresh, Sweet",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/the-dua-brand/craveme
NA,cW - Passion Fruit & Raspberry,Yntenzo,NA,NA,NA,NA,NA,"Passion fruit, Raspberry, Violet leaf","Jasmine, Orange blossom, Passion flower","Benzoin, Cedar, Musk",NA,https://www.parfumo.com/Perfumes/Yntenzo/cW__Passion_Fruit__Raspberry
NA,dM - Patchouli & Amber,Yntenzo,NA,NA,NA,NA,NA,"Basil, Bergamot, Caraway, Fruity notes, Rosemary, Sicilian lemon","Carnation, Coriander, Jasmine, Orris root, Patchouli, Rose, Sandalwood","Amber, Musk, Oakmoss, Vetiver",NA,https://www.parfumo.com/Perfumes/Yntenzo/dM__Patchouli__Amber
NA,dW - Pear & Rose,Yntenzo,NA,NA,NA,NA,NA,"Bergamot, Pear, Pink pepper, Red currant","Benzoin, Rose, Tonka bean, Vanilla","Ambroxan, Nutmeg, Patchouli, Woody notes",NA,https://www.parfumo.com/Perfumes/Yntenzo/dW__Pear__Rose
NA,Ego,The Dua Brand / Dua Fragrances,NA,NA,8.3,9,"Smoky, Synthetic, Spicy, Woody, Fruity",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/the-dua-brand/ego
NA,eM - Pomelo & Leather,Yntenzo,NA,NA,NA,NA,NA,"Bergamot, Grapefruit, Grass","Jasmine, Nutmeg, Saffron, Violet, Woody notes","Amber, Cashmere wood, Leather, Oakmoss, Sandalwood, Suede, Sugar, Vanilla, Vetiver",NA,https://www.parfumo.com/Perfumes/Yntenzo/eM__Pomelo__Leather
NA,eW - Lemon & Cedarwood,Yntenzo,NA,NA,NA,NA,NA,"Apple, Bellflower, Cedarwood, Sicilian lemon","Bamboo, Jasmine, White rose","Amber, Cedarwood, Musk",NA,https://www.parfumo.com/Perfumes/Yntenzo/eW__Lemon__Cedarwood
NA,FFCC33,Hendley Perfumes,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Hendley_Perfumes/ffcc33
NA,Fierce,The Dua Brand / Dua Fragrances,NA,NA,8,143,"Fresh, Citrus, Spicy, Woody, Synthetic",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/the-dua-brand/fierce
NA,Flower Power Ramón Monegal 2010 Eau de Toilette,Ramón Monegal,2010,Eau de Toilette,NA,NA,NA,"Amber, Cherry, Smoke","Castoreum, Jasmine, Musk, Spices, Vanilla","Benzoin Siam, Oud, Thai oud, Funk",Tada Archawong,https://www.parfumo.com/Perfumes/Ramon_Monegal/flower-power-eau-de-toilette
