animal_id,sex,life_stage,pregnant,with_calf,death_cause,study_site,deploy_on_longitude,deploy_on_latitude,deploy_on_comments,deploy_off_longitude,deploy_off_latitude,deploy_off_type,deploy_off_comments
HR_152.641,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.660,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.735,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_C20,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.550,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.775,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_C05,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.680,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_C14,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C07,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_GC17,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.620,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_GC07,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.499,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_GC15,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_GC22,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.785,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.570,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_CG06,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_GC10,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.700,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_GC19,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.635,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_GC03,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C16,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.589,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.801,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.749,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_GC14,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
KE_car119,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,removal,NA
GR_C19,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_GC09,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.739,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.711,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.649,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_C01,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_GC02,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.670,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.609,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.960,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.770,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.730,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_C21,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
KE_car121,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,removal,NA
GR_GC12,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_GC05,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C10,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C11,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.519,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
HR_151.690,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_C12,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_GC21,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C02,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.629,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_GC06,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C15,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.000,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_GC23,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.780,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_GC04,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_GC11,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C09,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.540,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_C22,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.701,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_GC18,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C17,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.641,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_GC01,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
HR_151.790,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_GC16,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_GC20,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,deployment end time set to exclude locations in Fort St John
HR_151.559,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA
GR_C06,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C04,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C10,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C08,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C02,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C09,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C05,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C12,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
GR_C01,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA
KE_car004,f,NA,NA,NA,Predation - Wolf,Kennedy,-122.387299792497,55.1980336691496,General capture location.,-122.441666757839,55.140108216483,dead,NA
MO_car006,f,NA,NA,NA,Unknown,Moberly,-122.441040977784,55.845269502847,General capture location.,-122.486902562123,55.799599120048,dead,NA
HR_car002,f,NA,NA,NA,NA,Hart Ranges,-122.112324625623,54.8458589419695,General capture location.,NA,NA,other,Not Monitored
MO_car005,f,NA,NA,NA,Predation - Wolf,Moberly,-122.412619930324,55.611513701788,General capture location.,-122.429930295553,55.5749606611705,dead,NA
KE_car003,f,NA,NA,NA,Unknown.  Suspected predation,Kennedy,-122.309065584389,55.1796428865921,General capture location.,-122.650740602284,55.2884483197228,dead,NA
HR_car001,f,NA,NA,NA,Unknown.  Suspected predation,Hart Ranges,-121.895566488888,54.7991446169588,General capture location.,-122.151902356086,54.873084727094,dead,NA
QU_car008,f,NA,NA,NA,Predation - Grizzly Bear,Quintette,-121.375940352159,54.9550831703712,General capture location.,-121.250717371699,54.9587115942565,dead,NA
QU_car007,f,NA,NA,NA,NA,Quintette,-121.514439629984,55.0107792386532,General capture location.,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
MO_car010,f,NA,TRUE,NA,NA,Moberly,-122.428363461454,55.6205737525716,General capture location.,NA,NA,removal,Recovered failed collar and replaced with a new one.
MO_car009,f,NA,NA,NA,NA,Moberly,-122.428363461454,55.6205737525716,General capture location.,NA,NA,removal,Recovered failed collar and replaced with a new one.
KE_car011,f,NA,NA,NA,NA,Kennedy,-122.827608758991,55.1006022116399,General capture location.,NA,NA,removal,Recovered failed GPS collar and replaced with a new one.
QU_car014,f,NA,NA,NA,NA,Quintette,-121.007788298203,54.9347044754539,NA,NA,NA,removal,NA
QU_car012,f,NA,NA,NA,NA,Quintette,-121.497520850564,55.0868026846657,NA,NA,NA,removal,NA
QU_car013,f,NA,NA,NA,NA,Quintette,-121.135447671844,54.9917372529328,NA,NA,NA,other,Lost
QU_car015,f,NA,NA,NA,NA,Quintette,-121.648478849576,54.8459677223052,NA,NA,NA,other,Lost
HR_car017,f,NA,FALSE,NA,NA,Hart Ranges,-122.021507063186,54.7373150207531,General capture location.,NA,NA,other,Lost
HR_car019,f,NA,NA,NA,NA,Hart Ranges,-122.6224360103,55.2529049937076,General capture location.,NA,NA,removal,NA
KE_car018,f,NA,TRUE,NA,NA,Kennedy,-122.6224360103,55.2529049937076,General capture location.,NA,NA,removal,NA
HR_car016,f,NA,TRUE,NA,NA,Hart Ranges,-122.162385728406,54.6844469390624,General capture location.,NA,NA,removal,Recovered non-working green GPS collar. Cow very skinny.
MO_car020,f,NA,NA,NA,NA,Moberly,-122.428363461454,55.6205737525716,General capture location.,NA,NA,removal,NA
BP_car022,m,NA,NA,NA,NA,Burnt Pine,-122.112744951799,55.329182696364,NA,NA,NA,other,Lost
MO_car009,f,NA,NA,NA,NA,Moberly,-122.432184941216,55.6330276439218,Replacement for failed GPS collar 151.970.,-122.593109282761,55.5574867304572,dead,NA
MO_car021,f,NA,NA,NA,Accidental.  Caught in tree well,Moberly,-122.498258760922,55.736415634088,NA,-122.479746522478,55.7919494527006,dead,NA
BP_car023,f,NA,NA,NA,Unknown.  Suspected wolf predation,Burnt Pine,-122.277060008195,55.3314335351925,NA,-122.352033279183,55.3505631863121,dead,NA
KE_car011,f,NA,NA,NA,NA,Kennedy,-122.40394533422,55.1974870997361,Replacement for failed GPS collar 151.871.,-122.873779155473,55.4279302579656,dead,NA
KE_car024,f,NA,TRUE,TRUE,NA,Kennedy,-122.817688710957,55.1143098169245,Cow with calf. Left antler broke during capture. Fecal sample taken from ground.,NA,NA,removal,NA
MO_car010,f,NA,TRUE,NA,NA,Moberly,-122.624491176867,55.740972575374,Replacement for failed GPS collar 151.980. Fecal sample taken from ground.,NA,NA,removal,NA
KE_car025,f,NA,FALSE,TRUE,NA,Kennedy,-122.815821779508,55.107782975609,Cow with calf.  Relatively young female. Fecal sample taken from caribou.,NA,NA,removal,NA
MO_car020,f,NA,NA,NA,NA,Moberly,-122.474501488363,55.6222267535256,Very fat cow. Fecal sample taken from ground.,NA,NA,removal,NA
KE_car027,f,NA,NA,NA,Train collision,Kennedy,-122.817586588842,55.1091964758104,Cow - 7 or 8 in group.,-122.828457578886,55.1000103148451,dead,NA
KE_car028,f,NA,TRUE,FALSE,Unknown.  Suspected predation,Kennedy,-122.818463626429,55.1093685248587,"2 cows, 1 bull.",-122.261087748866,55.1875033121101,dead,NA
KE_car026,m,NA,NA,NA,Predation - Wolf,Kennedy,-122.83721354489,55.1242582918717,BULL.  Relatively young bull. Left antler tine broken.,-122.751794072054,55.3319540523652,dead,NA
HR_car029,f,NA,TRUE,NA,NA,Hart Ranges,-121.869372116322,54.6406439114837,7 caribou in group. Ultrasound batteries dead.  Estimated backfat from surgery (min. estimate as Doug didn't want to push scapel to far as potential for nerve damage).,NA,NA,removal,NA
HR_car019,f,NA,NA,NA,NA,Hart Ranges,-122.304431942353,54.9838180770527,Captured cow and calf in net. Didn't do backfat surgery as animal seemed to have no fat and protruding bones.,-122.134184744501,54.8555609597197,dead,NA
QU_car012,f,NA,NA,NA,NA,Quintette,-121.386070388969,55.1264764692326,"At least 15 animals, saw at least one calf in group. Estimated backfat from surgery. Cow is quite skinny with a big pot belly.",NA,NA,removal,NA
HR_car030,f,NA,TRUE,NA,NA,Hart Ranges,-122.132737091862,54.851155994022,Estimated backfat from surgery.,NA,NA,removal,NA
QU_car031,f,NA,TRUE,FALSE,NA,Quintette,-121.259696003025,54.9854984898981,Estimated backfat from surgery.  10.0mm minimum estimate as Doug didn't want to insert scalpel too deep.,NA,NA,removal,NA
HR_car033,f,NA,TRUE,TRUE,NA,Hart Ranges,-122.105708578093,54.7005425132402,Cow quite skinny. Tons of tracks and alectoria abundant.,NA,NA,other,Not Monitored
BP_car032,f,NA,FALSE,TRUE,NA,Burnt Pine,-122.111180346583,55.3357043720689,"About 20 caribou on ridgeline, 1 bull in group.",NA,NA,removal,NA
HR_car016,f,NA,TRUE,NA,NA,Hart Ranges,-122.269900328902,54.7749680904582,Recovered non-working green GPS collar. Cow very skinny.,-122.337396908455,54.8294747062979,dead,NA
HR_car034,f,NA,NA,TRUE,Unknown.  Suspected predation,Hart Ranges,-121.768760598019,54.6646933886449,"2 cows, 2 yearlings.",-121.90938943016,54.6606035791157,dead,NA
QU_car035,f,NA,TRUE,FALSE,Unknown,Quintette,-121.418613977076,54.9183109269249,Doug spun blood.,-121.346776622089,54.9757663467812,dead,NA
KE_car039,f,NA,TRUE,FALSE,NA,Kennedy,-122.612661188865,55.248596976215,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank
QU_car038,f,NA,TRUE,FALSE,Unknown.  Suspected predation,Quintette,-121.504456487536,54.9167553525892,NA,-121.359632068264,55.1366747204586,dead,NA
QU_car037,f,NA,TRUE,FALSE,Unknown.  Found 50m from TREND open pit mine.  Area littered with rock from blasts from the mine.,Quintette,-120.961389251541,54.8715188847136,NA,-120.945969223685,54.884490168635,dead,NA
QU_car036,f,NA,TRUE,TRUE,Unknown.  Collar inaccessible and still in field.,Quintette,-120.961389251541,54.8715188847136,NA,-121.075768352978,54.8121115979446,dead,NA
QU_car041,f,NA,NA,NA,NA,Quintette,-121.38333123539,55.1333245540822,NA,NA,NA,removal,NA
BP_car043,f,NA,NA,NA,NA,Burnt Pine,-122.20059930235,55.3709908159017,NA,NA,NA,removal,NA
QU_car040,f,NA,NA,NA,NA,Quintette,-121.38333123539,55.1333245540822,NA,NA,NA,removal,NA
KE_car044,f,NA,NA,NA,NA,Kennedy,-122.613614336292,55.2865482799057,NA,NA,NA,removal,NA
QU_car042,f,NA,NA,NA,NA,Quintette,-121.38333123539,55.1333245540822,NA,NA,NA,removal,NA
QU_car046,f,NA,NA,NA,NA,Quintette,-121.01393274327,54.8721020217742,NA,NA,NA,removal,NA
QU_car045,f,NA,NA,NA,NA,Quintette,-121.01393274327,54.8721020217742,NA,NA,NA,removal,NA
KE_car047,f,NA,NA,NA,Unknown.  Suspected predation,Kennedy,NA,NA,NA,-122.798809094974,55.133534959815,dead,NA
KE_car048,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,removal,NA
KE_car050,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,removal,NA
KE_car049,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,removal,NA
KE_car051,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,removal,NA
MO_car052,f,NA,NA,NA,Unknown,Moberly,-122.470147415815,55.8857421934218,NA,-122.632978050162,55.8175829350893,dead,NA
KE_car053,f,NA,NA,NA,NA,Kennedy,-122.382495175538,55.4755992359079,NA,NA,NA,removal,NA
NA_car056,f,NA,NA,NA,Unknown,Narraway,-120.462969685018,55.100985188826,NA,-119.803475796247,55.0752191627999,dead,NA
NA_car055,m,NA,NA,NA,Predation - Wolf,Narraway,-120.595409957043,55.0307445938792,NA,-120.638648805119,55.0657730156439,dead,NA
NA_car054,f,NA,NA,NA,Unknown,Narraway,-120.607309180868,55.0290735304197,NA,-120.704338985664,54.6152697597083,dead,NA
QU_car060,f,NA,NA,NA,NA,Quintette,-121.025524943877,54.8444449093122,NA,NA,NA,other,Lost
QU_car057,f,NA,NA,NA,NA,Quintette,-120.86884073459,54.8634758781361,NA,NA,NA,removal,NA
QU_car059,f,NA,NA,NA,NA,Quintette,-121.02726547057,54.8509089319974,NA,NA,NA,removal,NA
QU_car058,f,NA,NA,NA,NA,Quintette,-120.877591063498,54.8618404098313,NA,NA,NA,removal,NA
KE_car061,f,NA,NA,NA,Unknown.  Suspected wolf (or possibly wolverine) predation,Kennedy,-122.614570290661,55.2528804124431,NA,-122.438059888008,55.199509184433,dead,NA
KE_car065,f,NA,NA,NA,NA,Kennedy,-122.614570290661,55.2528804124431,NA,NA,NA,removal,NA
KE_car062,f,NA,NA,NA,NA,Kennedy,-122.614570290661,55.2528804124431,NA,NA,NA,removal,NA
KE_car064,f,NA,NA,NA,NA,Kennedy,-122.614570290661,55.2528804124431,NA,NA,NA,removal,NA
KE_car063,f,NA,NA,NA,NA,Kennedy,-122.614570290661,55.2528804124431,NA,NA,NA,removal,NA
QU_car069,f,NA,NA,NA,NA,Quintette,-121.386984619282,55.1372555494918,NA,NA,NA,removal,NA
MO_car066,f,NA,NA,NA,Predation - Wolf,Moberly,-122.596942642151,55.7496280974289,NA,-122.560300458294,55.5400400051272,dead,NA
MO_car067,f,NA,NA,NA,NA,Moberly,-122.599596368265,55.7534016504731,NA,NA,NA,removal,NA
QU_car070,f,NA,NA,NA,NA,Quintette,-121.34036902808,55.1139360558172,NA,NA,NA,removal,NA
QU_car068,f,NA,NA,NA,NA,Quintette,-121.943580860039,28.1343213346089,NA,NA,NA,removal,NA
QU_car074,f,NA,NA,NA,NA,Quintette,-121.422952338122,55.1143231123627,NA,NA,NA,removal,NA
QU_car073,f,NA,NA,NA,NA,Quintette,-121.300636002192,54.9002255067438,NA,NA,NA,other,Lost
QU_car072,f,NA,NA,NA,Unknown.  Suspected wolf predation,Quintette,-121.342518867361,54.9015771004619,NA,-121.834553890499,54.6969532739971,dead,NA
QU_car075,f,NA,NA,NA,NA,Quintette,-121.337447964913,55.1144264914464,NA,NA,NA,removal,NA
QU_car071,f,NA,NA,NA,NA,Quintette,-121.428325816635,55.0744972806337,NA,NA,NA,removal,NA
NA_car077,f,NA,NA,NA,NA,Narraway,-120.580083600977,55.0762491187323,NA,NA,NA,removal,NA
NA_car078,f,NA,NA,NA,Predation - Wolf,Narraway,-120.595942848018,55.054504257347,NA,-120.315343480703,55.0770037444477,dead,NA
MO_car080,f,NA,NA,NA,Predation - Unknown predator,Moberly,-122.57959475733,55.799870046968,NA,-122.426628801286,55.7825633915125,dead,NA
MO_car079,f,NA,NA,NA,Predation - Unknown predator,Moberly,-122.794993908926,55.8628919212253,NA,-123.197348852205,55.7072003170492,dead,NA
KE_car098,f,NA,NA,NA,NA,Kennedy,-122.590440411601,55.2327088295012,NA,NA,NA,removal,NA
KE_car096,f,NA,NA,NA,NA,Kennedy,-122.789612083114,55.3136756742507,NA,NA,NA,removal,NA
KE_car095,f,NA,NA,NA,Unknown.  Suspected predation,Kennedy,-122.789612083114,55.3136756742507,NA,-122.531029725454,55.289151703995,dead,NA
KE_car099,f,NA,NA,NA,NA,Kennedy,-122.590440411601,55.2327088295012,NA,NA,NA,removal,NA
KE_car097,f,NA,NA,NA,NA,Kennedy,-122.590440411601,55.2327088295012,NA,NA,NA,removal,NA
MO_car102,f,12-15,NA,FALSE,NA,Moberly,-122.606106920852,55.9939746932422,NA,NA,NA,removal,NA
BP_car101,f,3-5,NA,NA,Unknown.  Suspected wolf predation,Burnt Pine,-122.31528110518,55.4212629709883,includ. CAR100 (149.801),-122.269083975423,55.3896387718539,dead,NA
BP_car100,f,3-5,NA,FALSE,NA,Burnt Pine,-122.31528110518,55.4212629709883,includ. CAR101 (149.730); *no photos due to temp (-30 C),NA,NA,removal,NA
MO_car103,f,2-3,NA,FALSE,NA,Moberly,-122.497178953808,55.86862183436,NA,NA,NA,removal,NA
MO_car104,f,5-7,NA,FALSE,NA,Moberly,-122.45012344187,55.7890171079351,includ. CAR080  (ATS 148.228),NA,NA,removal,NA
QU_car106,f,3-5,NA,FALSE,NA,Quintette,-120.984469248764,54.924342818772,includ. CAR105 and CAR059,NA,NA,removal,NA
QU_car105,f,5-7,NA,FALSE,NA,Quintette,-121.011963506884,54.9310786344188,includ. CAR106 and CAR059 (ATS 150.559; with calf; programmed  collar release failed - recaptured and collar retrieved),NA,NA,removal,NA
QU_car107,f,8-10,NA,FALSE,Predation - Wolf,Quintette,-120.968233016878,54.8727301904071,"includ. CAR036, CAR105 and CAR106; retrieved released collar 150.690 (CAR057) from same ridge.",-121.098100209395,54.7130426852617,dead,NA
QU_car110,f,8-10,NA,FALSE,NA,Quintette,-121.369820992328,55.1472728656817,"includ. CAR070, CAR075, and CAR111",NA,NA,removal,NA
QU_car112,f,5-7,NA,TRUE,NA,Quintette,-121.335421451929,55.1171579984977,includ. CAR007; *2+ calves,NA,NA,removal,NA
QU_car114,f,3-5,NA,TRUE,NA,Quintette,-121.493099109189,55.1972197772123,includ. CAR071; *1+ calves,NA,NA,removal,NA
QU_car111,f,5-7,NA,TRUE,NA,Quintette,-121.369820992328,55.1472728656817,"*antlers broken; includ. CAR070, CAR075, and CAR110",NA,NA,removal,NA
QU_car113,f,5-7,NA,TRUE,NA,Quintette,-121.397571565602,55.1283179110837,NA,NA,NA,removal,NA
QU_car109,f,3-5,NA,TRUE,Predation - Wolf,Quintette,-120.957491091087,54.8493595103433,"*bald; group includ. CAR036, CAR105, CAR106, CAR107, and CAR108",-120.861389860219,54.9209183750563,dead,NA
MO_car116,f,8-10,NA,FALSE,Unknown.  Suspected wolf predation,Moberly,-122.733022133715,55.8435627592719,missing 2 incisors,-122.123815773897,55.9457670598918,dead,NA
BP_car115,m,5-7,NA,NA,NA,Burnt Pine,-122.204604384265,55.4615430264589,*mature male; old tear in right ear,NA,NA,removal,NA
QU_car126,f,4-6,NA,TRUE,NA,Quintette,-120.998113541192,54.9358847566989,includ. CAR 122 (bull collared at Bearhole in Dec 2009),NA,NA,removal,NA
QU_car125,f,12-15,NA,FALSE,NA,Quintette,-121.381386943425,55.1534575934699,* in 2 groups of 22 + 13; caribou had been previously collared (eartag orange left/no ID number); excellent condition,NA,NA,removal,NA
KE_car130,f,5-7,NA,FALSE,NA,Kennedy,-122.5968472403,55.2024557352215,"previously uncollared group; collared CAR, 128, CAR 129, CAR 130",NA,NA,removal,NA
KE_car128,f,2-3,NA,FALSE,NA,Kennedy,-122.593956948163,55.2039288721363,"previously uncollared group; collared CAR, 128, CAR 129, CAR 130",NA,NA,removal,NA
KE_car131,f,12-15,NA,FALSE,NA,Kennedy,-122.490180501913,55.1973388166782,includ. CAR121 and CAR 127,NA,NA,removal,NA
KE_car129,f,2-3,NA,FALSE,Predation - Wolf,Kennedy,-122.592063508875,55.2062409940735,"previously uncollared group; collared CAR, 128, CAR 129, CAR 130; very low body fat",-122.352059917953,55.2503494766476,dead,NA
KE_car127,f,2-3,NA,FALSE,NA,Kennedy,-122.4993439917,55.2044938743172,includ. CAR121 and new collar CAR 131,NA,NA,removal,NA
NA_car132,f,3-5,NA,FALSE,Predation - Wolf,Narraway,-120.222657434699,55.0293492054851,includ. CAR123 and new collar CAR 133; hair loss on shoulders and flanks resembles winter tick rubbing/no ticks observed,NA,NA,removal,NA
NA_car133,f,4-6,NA,FALSE,NA,Narraway,-120.229991709811,55.0632108338247,includ. CAR123 and new collar CAR 132,NA,NA,other,Lost
NA_car134,f,2-3,NA,FALSE,NA,Narraway,-120.215851760088,55.0947125783181,Group includ. CAR132 (with calf).,NA,NA,other,Lost
QU_car136,f,4-6,NA,FALSE,Unknown,Quintette,-121.341780034048,55.0018346111405,"Poor condition, abundant hair breakage, no sign of warbles.",-121.340949561563,54.9270898215172,dead,NA
NA_car135,f,3-5,NA,FALSE,NA,Narraway,-120.223371180395,55.0947854390465,Group includ. CAR132 (with calf) and CAR 134.,NA,NA,other,Lost
QU_car140,f,4-6,NA,TRUE,Unknown,Quintette,-120.872723373751,54.8613597125695,Group includ. CAR122 and CAR126.,-120.9557832815,54.8686471765436,dead,NA
QU_car138,f,4-6,NA,FALSE,NA,Quintette,-120.959530608015,54.8533937196821,NA,NA,NA,removal,Recovered failed collar and replaced with a new one.
QU_car146,f,3-5,NA,FALSE,NA,Quintette,-121.501846954695,55.1655038058366,Group includ. unidentified older collar.,NA,NA,removal,Recovered failed collar and replaced with a new one.
