Entity,Code,Year,Cereal yield (tonnes per hectare),Nitrogen fertilizer use (kilograms per hectare)
Algeria,DZA,1972,0.6717000000000001,
Algeria,DZA,1973,0.4937,
Algeria,DZA,1974,0.4979,
Algeria,DZA,1975,0.8452000000000001,
Algeria,DZA,1976,0.6905,
Algeria,DZA,1977,0.41090000000000004,
Algeria,DZA,1978,0.5861000000000001,
Algeria,DZA,1979,0.5615,
Algeria,DZA,1980,0.7604000000000001,
Algeria,DZA,1981,0.6462,
Algeria,DZA,1982,0.5933,
Algeria,DZA,1983,0.5795,
Algeria,DZA,1984,0.5474,
Algeria,DZA,1985,0.9125000000000001,
Algeria,DZA,1986,0.8372,
Algeria,DZA,1987,0.7599,
Algeria,DZA,1988,0.5741,
Algeria,DZA,1989,0.7604000000000001,
Algeria,DZA,1990,0.6877,
Algeria,DZA,1991,1.1146,
Algeria,DZA,1992,0.9433,
Algeria,DZA,1993,0.7417,
Algeria,DZA,1994,0.7494000000000001,
Algeria,DZA,1995,0.8295,
Algeria,DZA,1996,1.3378,
Algeria,DZA,1997,0.7798,
Algeria,DZA,1998,0.8463,
Algeria,DZA,1999,1.0699,
Algeria,DZA,2000,0.8833000000000001,
Algeria,DZA,2001,1.1069,
Algeria,DZA,2002,1.0586,3.42
Algeria,DZA,2003,1.4703000000000002,2.07
Algeria,DZA,2004,1.3441,12.62
Algeria,DZA,2005,1.5008000000000001,0.49
Algeria,DZA,2006,1.5037,5.23
Algeria,DZA,2007,1.2535,4.37
Algeria,DZA,2008,1.034,2.75
Algeria,DZA,2009,1.6539000000000001,4.42
Algeria,DZA,2010,1.4743000000000002,7.15
Algeria,DZA,2011,1.6433,6.69
Algeria,DZA,2012,1.6776,8.61
Algeria,DZA,2013,1.8131000000000002,7.59
Algeria,DZA,2014,1.3692,9.06
Algeria,DZA,2015,1.4002000000000001,8.79
Algeria,DZA,2016,1.0204,8.34
Algeria,DZA,2017,0.9903000000000001,8.27
Algeria,DZA,2018,1.7588000000000001,
Americas,,1961,1.9119000000000002,
Americas,,1962,2.0855,
Americas,,1963,2.1555,
Americas,,1964,2.031,
Americas,,1965,2.2541,
Americas,,1966,2.2744,
Americas,,1967,2.3163,
Americas,,1968,2.3177000000000003,
Americas,,1969,2.4793000000000003,
Americas,,1970,2.4037,
Americas,,1971,2.6765000000000003,
Americas,,1972,2.6904000000000003,
Americas,,1973,2.6908000000000003,
Americas,,1974,2.3545000000000003,
Americas,,1975,2.6284,
Americas,,1976,2.6710000000000003,
Americas,,1977,2.7818,
Americas,,1978,2.9758,
Americas,,1979,3.1385,
Americas,,1980,2.855,
Americas,,1981,3.2086,
Americas,,1982,3.2645,
Americas,,1983,2.7195,
Americas,,1984,3.2268000000000003,
Americas,,1985,3.4622,
Americas,,1986,3.3873,
Americas,,1987,3.3120000000000003,
Americas,,1988,2.7449000000000003,
Americas,,1989,3.232,
Americas,,1990,3.4835000000000003,
Americas,,1991,3.3312,
Americas,,1992,3.8642000000000003,
Americas,,1993,3.3958000000000004,
Americas,,1994,3.9865000000000004,
Americas,,1995,3.5638,
Americas,,1996,3.8622,
Americas,,1997,3.9001,
Americas,,1998,4.2136000000000005,
Americas,,1999,4.242500000000001,
Americas,,2000,4.2501,
Americas,,2001,4.236800000000001,
Americas,,2002,4.0616,47.89
Americas,,2003,4.4301,51.14
Americas,,2004,4.8657,51.99
Americas,,2005,4.724600000000001,50.75
Americas,,2006,4.6606000000000005,52.09
Americas,,2007,4.9924,57.12
Americas,,2008,4.9915,53.81
Americas,,2009,5.1764,51.48
Americas,,2010,5.323,55.92
Americas,,2011,5.1864,62.71
Americas,,2012,4.8242,64.09
Americas,,2013,5.604,65.02
Americas,,2014,5.7010000000000005,63.95
Americas,,2015,5.6802,59.87
Americas,,2016,6.2503,63.73
Americas,,2017,6.365200000000001,65.85
Americas,,2018,6.1587000000000005,
Angola,AGO,1961,0.8280000000000001,
Angola,AGO,1962,0.8303,
Angola,AGO,1963,0.7984,
Angola,AGO,1964,0.8758,
Angola,AGO,1965,0.932,
Angola,AGO,1966,0.8243,
Angola,AGO,1967,0.8146,
Angola,AGO,1968,0.8057000000000001,
Angola,AGO,1969,0.8989,
Angola,AGO,1970,0.9113,
Angola,AGO,1971,0.8057000000000001,
Angola,AGO,1972,0.7803,
Angola,AGO,1973,0.764,
Angola,AGO,1974,0.7126,
Angola,AGO,1975,0.7739,
Angola,AGO,1976,0.7755000000000001,
Angola,AGO,1977,0.6031000000000001,
Angola,AGO,1978,0.6671,
Angola,AGO,1979,0.5092,
Angola,AGO,1980,0.6179,
Angola,AGO,1981,0.4511,
Angola,AGO,1982,0.4506,
Angola,AGO,1983,0.48460000000000003,
Angola,AGO,1984,0.466,
Angola,AGO,1985,0.4491,
Angola,AGO,1986,0.3798,
Angola,AGO,1987,0.38120000000000004,
Angola,AGO,1988,0.33240000000000003,
Angola,AGO,1989,0.27740000000000004,
Angola,AGO,1990,0.3209,
Angola,AGO,1991,0.41750000000000004,
Angola,AGO,1992,0.3971,
Angola,AGO,1993,0.268,
Angola,AGO,1994,0.2984,
Angola,AGO,1995,0.4015,
Angola,AGO,1996,0.6531,
Angola,AGO,1997,0.5674,
Angola,AGO,1998,0.7016,
Angola,AGO,1999,0.6204000000000001,
Angola,AGO,2000,0.5644,
Angola,AGO,2001,0.5854,
Angola,AGO,2002,0.6272,0.81
Angola,AGO,2003,0.6461,0.5
Angola,AGO,2004,0.4917,2
Angola,AGO,2005,0.5834,1.03
Angola,AGO,2006,0.4459,1.85
Angola,AGO,2007,0.46430000000000005,1.51
Angola,AGO,2008,0.6527000000000001,2.21
Angola,AGO,2009,0.5714,2.44
Angola,AGO,2010,0.6293000000000001,3.96
Angola,AGO,2011,0.6624,3.28
Angola,AGO,2012,0.552,3.89
Angola,AGO,2013,0.8144,3.94
Angola,AGO,2014,0.8882,5.32
Angola,AGO,2015,0.9825,4.91
Angola,AGO,2016,0.7799,4
Angola,AGO,2017,0.7547,5.12
Angola,AGO,2018,0.7533000000000001,
Antigua and Barbuda,ATG,1966,2.5,
Antigua and Barbuda,ATG,1967,2.25,
Antigua and Barbuda,ATG,1968,2.5,
Antigua and Barbuda,ATG,1969,2.25,
Antigua and Barbuda,ATG,1970,2.4,
Antigua and Barbuda,ATG,1971,2.2857000000000003,
Antigua and Barbuda,ATG,1972,2.3000000000000003,
Antigua and Barbuda,ATG,1973,2,
Antigua and Barbuda,ATG,1974,2.0556,
Antigua and Barbuda,ATG,1975,1.875,
Antigua and Barbuda,ATG,1976,1.8214000000000001,
Antigua and Barbuda,ATG,1977,1.6667,
Antigua and Barbuda,ATG,1978,1.75,
Antigua and Barbuda,ATG,1979,1.9200000000000002,
Antigua and Barbuda,ATG,1980,1.7059,
Antigua and Barbuda,ATG,1981,1.8,
Antigua and Barbuda,ATG,1982,1.7879,
Antigua and Barbuda,ATG,1983,1.7895,
Antigua and Barbuda,ATG,1984,1.7059,
Antigua and Barbuda,ATG,1985,1.9000000000000001,
Antigua and Barbuda,ATG,1986,1.9048,
Antigua and Barbuda,ATG,1987,1.9200000000000002,
Antigua and Barbuda,ATG,1988,2.0357000000000003,
Antigua and Barbuda,ATG,1989,2.1429,
Antigua and Barbuda,ATG,1990,2.3810000000000002,
Antigua and Barbuda,ATG,1991,1.8333000000000002,
Antigua and Barbuda,ATG,1992,1.7136,
Antigua and Barbuda,ATG,1993,1.6901000000000002,
Antigua and Barbuda,ATG,1994,1.6684,
Antigua and Barbuda,ATG,1995,1.6071,
Antigua and Barbuda,ATG,1996,1.639,
Antigua and Barbuda,ATG,1997,1.6342,
Antigua and Barbuda,ATG,1998,1.6318000000000001,
Antigua and Barbuda,ATG,1999,1.6317000000000002,
Antigua and Barbuda,ATG,2000,1.6,
Antigua and Barbuda,ATG,2001,1.6149,
Antigua and Barbuda,ATG,2002,1.5625,2
Antigua and Barbuda,ATG,2003,1.5714000000000001,6.6
Antigua and Barbuda,ATG,2004,1.5789,0
Antigua and Barbuda,ATG,2005,1.5974000000000002,3.4
Antigua and Barbuda,ATG,2006,1.625,1.8
Antigua and Barbuda,ATG,2007,1.6014000000000002,0.4
Antigua and Barbuda,ATG,2008,1.619,1.8
Antigua and Barbuda,ATG,2009,1.5902,4.6
Antigua and Barbuda,ATG,2010,1.5859,0.8
Antigua and Barbuda,ATG,2011,1.5974000000000002,0.8
Antigua and Barbuda,ATG,2012,1.5953000000000002,5.34
Antigua and Barbuda,ATG,2013,1.5931000000000002,6.48
Antigua and Barbuda,ATG,2014,1.5804,4.12
Antigua and Barbuda,ATG,2015,1.5811000000000002,1.7
Antigua and Barbuda,ATG,2016,1.5873000000000002,12.23
Antigua and Barbuda,ATG,2017,1.5856000000000001,1.8
Antigua and Barbuda,ATG,2018,1.5839,
Argentina,ARG,1961,1.4107,
Argentina,ARG,1962,1.6049,
Argentina,ARG,1963,1.5112,
Argentina,ARG,1964,1.6954,
Argentina,ARG,1965,1.4032,
Argentina,ARG,1966,1.5570000000000002,
Argentina,ARG,1967,1.6064,
Argentina,ARG,1968,1.3133000000000001,
Argentina,ARG,1969,1.5547,
Argentina,ARG,1970,1.7753,
Argentina,ARG,1971,1.7835,
Argentina,ARG,1972,1.6095000000000002,
Argentina,ARG,1973,2.0414,
Argentina,ARG,1974,2.0462000000000002,
Argentina,ARG,1975,1.9559000000000002,
Argentina,ARG,1976,1.9072,
Argentina,ARG,1977,2.1349,
Argentina,ARG,1978,2.4243,
Argentina,ARG,1979,2.2522,
Argentina,ARG,1980,1.8741,
Argentina,ARG,1981,2.4250000000000003,
Argentina,ARG,1982,2.4428,
Argentina,ARG,1983,2.3301000000000003,
Argentina,ARG,1984,2.5815,
Argentina,ARG,1985,2.4395000000000002,
Argentina,ARG,1986,2.5822000000000003,
Argentina,ARG,1987,2.3826,
Argentina,ARG,1988,2.5279000000000003,
Argentina,ARG,1989,2.1294,
Argentina,ARG,1990,2.2508,
Argentina,ARG,1991,2.4262,
Argentina,ARG,1992,2.9555000000000002,
Argentina,ARG,1993,3.0541,
Argentina,ARG,1994,2.7695000000000003,
Argentina,ARG,1995,2.9042000000000003,
Argentina,ARG,1996,2.7128,
Argentina,ARG,1997,3.0137,
Argentina,ARG,1998,3.8189,
Argentina,ARG,1999,3.3144,
Argentina,ARG,2000,3.4725,
Argentina,ARG,2001,3.3960000000000004,
Argentina,ARG,2002,3.2823,18.52
Argentina,ARG,2003,3.3188,24.95
Argentina,ARG,2004,3.6497,25.06
Argentina,ARG,2005,4.1107000000000005,18.89
Argentina,ARG,2006,3.718,21.97
Argentina,ARG,2007,4.2747,26.22
Argentina,ARG,2008,4.1021,21.01
Argentina,ARG,2009,3.2673,13.52
Argentina,ARG,2010,4.8486,19.79
Argentina,ARG,2011,4.6121,21.55
Argentina,ARG,2012,4.1462,18.03
Argentina,ARG,2013,4.7968,19.37
Argentina,ARG,2014,4.8368,19.5
Argentina,ARG,2015,4.7793,15.01
Argentina,ARG,2016,5.2038,23.12
Argentina,ARG,2017,5.4049000000000005,24.27
Argentina,ARG,2018,4.6714,
Armenia,ARM,1992,1.8428,
Armenia,ARM,1993,1.6889,
Armenia,ARM,1994,1.4399000000000002,
Armenia,ARM,1995,1.859,
Armenia,ARM,1996,1.8772,
Armenia,ARM,1997,1.3658000000000001,
Armenia,ARM,1998,1.7684000000000002,
Armenia,ARM,1999,1.7765000000000002,
Armenia,ARM,2000,1.383,
Armenia,ARM,2001,1.8787,
Armenia,ARM,2002,2.2047000000000003,31.98
Armenia,ARM,2003,1.5671000000000002,21.15
Armenia,ARM,2004,2.2808,26.11
Armenia,ARM,2005,1.9387,20.3
Armenia,ARM,2006,1.3239,114.9
Armenia,ARM,2007,2.5926,52.97
Armenia,ARM,2008,2.4050000000000002,48.24
Armenia,ARM,2009,2.2503,78.71
Armenia,ARM,2010,2.0682,58.75
Armenia,ARM,2011,2.789,71.52
Armenia,ARM,2012,2.6505,113.73
Armenia,ARM,2013,3.0725000000000002,115.82
Armenia,ARM,2014,3.1816,96.35
Armenia,ARM,2015,3.1321000000000003,125.48
Armenia,ARM,2016,3.0761000000000003,290.03
Armenia,ARM,2017,1.9751,178.39
Armenia,ARM,2018,2.6236,
Asia,,1961,1.212,
Asia,,1962,1.2582,
Asia,,1963,1.3441,
Asia,,1964,1.3874,
Asia,,1965,1.3769,
Asia,,1966,1.4259000000000002,
Asia,,1967,1.5026000000000002,
Asia,,1968,1.5264,
Asia,,1969,1.5428000000000002,
Asia,,1970,1.641,
Asia,,1971,1.6731,
Asia,,1972,1.6426,
Asia,,1973,1.7101000000000002,
Asia,,1974,1.7366000000000001,
Asia,,1975,1.8543,
Asia,,1976,1.8707,
Asia,,1977,1.8928,
Asia,,1978,2.0198,
Asia,,1979,2.0563000000000002,
Asia,,1980,2.0734,
Asia,,1981,2.1463,
Asia,,1982,2.2712000000000003,
Asia,,1983,2.426,
Asia,,1984,2.5293,
Asia,,1985,2.4848,
Asia,,1986,2.5368,
Asia,,1987,2.5653,
Asia,,1988,2.6229,
Asia,,1989,2.6855,
Asia,,1990,2.8111,
Asia,,1991,2.8312,
Asia,,1992,2.7974,
Asia,,1993,2.8302,
Asia,,1994,2.8287,
Asia,,1995,2.9021000000000003,
Asia,,1996,3.0285,
Asia,,1997,3.0375,
Asia,,1998,3.1259,
Asia,,1999,3.1793,
Asia,,2000,3.1118,
Asia,,2001,3.1741,
Asia,,2002,3.1619,87.98
Asia,,2003,3.2023,90.66
Asia,,2004,3.2979000000000003,93.96
Asia,,2005,3.3645,96.71
Asia,,2006,3.4483,100.88
Asia,,2007,3.5126000000000004,103.17
Asia,,2008,3.6041000000000003,104.97
Asia,,2009,3.6213,110.36
Asia,,2010,3.6505,110.96
Asia,,2011,3.8269,111.79
Asia,,2012,3.9014,111.83
Asia,,2013,3.9521,112.99
Asia,,2014,3.9568000000000003,113.65
Asia,,2015,4.0523,110.86
Asia,,2016,4.1186,109.44
Asia,,2017,4.1845,108.64
Asia,,2018,4.2274,
"Asia, Central",,1992,1.4127,
"Asia, Central",,1993,1.0915000000000001,
"Asia, Central",,1994,0.9591000000000001,
"Asia, Central",,1995,0.7776000000000001,
"Asia, Central",,1996,0.8969,
"Asia, Central",,1997,1.0889,
"Asia, Central",,1998,0.9599000000000001,
"Asia, Central",,1999,1.5615,
"Asia, Central",,2000,1.2505000000000002,
"Asia, Central",,2001,1.4965000000000002,
"Asia, Central",,2002,1.5395,16.74
"Asia, Central",,2003,1.5116,17.6
"Asia, Central",,2004,1.349,15.47
"Asia, Central",,2005,1.481,16.89
"Asia, Central",,2006,1.6340000000000001,18.21
"Asia, Central",,2007,1.6402,18.55
"Asia, Central",,2008,1.3564,18.69
"Asia, Central",,2009,1.6306,20.02
"Asia, Central",,2010,1.2865,20.94
"Asia, Central",,2011,1.9448,21.57
"Asia, Central",,2012,1.3073000000000001,22.64
"Asia, Central",,2013,1.5593000000000001,22.44
"Asia, Central",,2014,1.5815000000000001,24.16
"Asia, Central",,2015,1.6886,24.7
"Asia, Central",,2016,1.9446,24.9
"Asia, Central",,2017,1.8821,24.83
"Asia, Central",,2018,1.8253000000000001,
Australia,AUS,1961,1.0839,
Australia,AUS,1962,1.2173,
Australia,AUS,1963,1.2852000000000001,
Australia,AUS,1964,1.3237,
Australia,AUS,1965,0.9835,
Australia,AUS,1966,1.4416,
Australia,AUS,1967,0.8308000000000001,
Australia,AUS,1968,1.3387,
Australia,AUS,1969,1.1149,
Australia,AUS,1970,1.2176,
Australia,AUS,1971,1.2696,
Australia,AUS,1972,0.9331,
Australia,AUS,1973,1.3185,
Australia,AUS,1974,1.3936000000000002,
Australia,AUS,1975,1.4140000000000001,
Australia,AUS,1976,1.3455000000000001,
Australia,AUS,1977,0.9875,
Australia,AUS,1978,1.6802000000000001,
Australia,AUS,1979,1.5102,
Australia,AUS,1980,1.0523,
Australia,AUS,1981,1.4015,
Australia,AUS,1982,0.8756,
Australia,AUS,1983,1.6462,
Australia,AUS,1984,1.6093000000000002,
Australia,AUS,1985,1.4531,
Australia,AUS,1986,1.5219,
Australia,AUS,1987,1.4360000000000002,
Australia,AUS,1988,1.6294000000000002,
Australia,AUS,1989,1.6764000000000001,
Australia,AUS,1990,1.7161000000000002,
Australia,AUS,1991,1.6034000000000002,
Australia,AUS,1992,1.8966,
Australia,AUS,1993,1.9795,
Australia,AUS,1994,1.2667000000000002,
Australia,AUS,1995,1.871,
Australia,AUS,1996,2.1295,
Australia,AUS,1997,1.9538000000000002,
Australia,AUS,1998,1.9863000000000002,
Australia,AUS,1999,2.111,
Australia,AUS,2000,1.9623000000000002,
Australia,AUS,2001,1.9596,
Australia,AUS,2002,2.1975000000000002,40.74
Australia,AUS,2003,1.0207,39.57
Australia,AUS,2004,2.1164,40.5
Australia,AUS,2005,1.6946,35.61
Australia,AUS,2006,2.1117,34.93
Australia,AUS,2007,0.9813000000000001,36.07
Australia,AUS,2008,1.3327,34.26
Australia,AUS,2009,1.6514,30.89
Australia,AUS,2010,1.6615,37.81
Australia,AUS,2011,2.0975,34.26
Australia,AUS,2012,2.2316000000000003,35.15
Australia,AUS,2013,1.9361000000000002,38.66
Australia,AUS,2014,2.138,38.8
Australia,AUS,2015,2.0274,37.31
Australia,AUS,2016,2.0752,34.7
Australia,AUS,2017,2.6743,35.09
Australia,AUS,2018,2.0355000000000003,
Australia & New Zealand,,1961,1.1135000000000002,
Australia & New Zealand,,1962,1.2382,
Australia & New Zealand,,1963,1.3069000000000002,
Australia & New Zealand,,1964,1.3513000000000002,
Australia & New Zealand,,1965,1.0136,
Australia & New Zealand,,1966,1.4659,
Australia & New Zealand,,1967,0.8656,
Australia & New Zealand,,1968,1.3715000000000002,
Australia & New Zealand,,1969,1.1580000000000001,
Australia & New Zealand,,1970,1.2495,
Australia & New Zealand,,1971,1.3096,
Australia & New Zealand,,1972,0.9902000000000001,
Australia & New Zealand,,1973,1.3608,
Australia & New Zealand,,1974,1.4235,
Australia & New Zealand,,1975,1.4443000000000001,
Australia & New Zealand,,1976,1.3918000000000001,
Australia & New Zealand,,1977,1.0344,
Australia & New Zealand,,1978,1.7119,
Australia & New Zealand,,1979,1.5419,
Australia & New Zealand,,1980,1.0874000000000001,
Australia & New Zealand,,1981,1.4335,
Australia & New Zealand,,1982,0.919,
Australia & New Zealand,,1983,1.6753,
Australia & New Zealand,,1984,1.6506,
Australia & New Zealand,,1985,1.4996,
Australia & New Zealand,,1986,1.5706,
Australia & New Zealand,,1987,1.4841,
Australia & New Zealand,,1988,1.6660000000000001,
Australia & New Zealand,,1989,1.7066000000000001,
Australia & New Zealand,,1990,1.7583,
Australia & New Zealand,,1991,1.6504,
Australia & New Zealand,,1992,1.9317000000000002,
Australia & New Zealand,,1993,2.0161000000000002,
Australia & New Zealand,,1994,1.3196,
Australia & New Zealand,,1995,1.905,
Australia & New Zealand,,1996,2.1632000000000002,
Australia & New Zealand,,1997,1.9943000000000002,
Australia & New Zealand,,1998,2.0215,
Australia & New Zealand,,1999,2.145,
Australia & New Zealand,,2000,1.9956,
Australia & New Zealand,,2001,1.9964000000000002,
Australia & New Zealand,,2002,2.2319,40.74
Australia & New Zealand,,2003,1.0674000000000001,39.57
Australia & New Zealand,,2004,2.1418,40.5
Australia & New Zealand,,2005,1.7278,35.61
Australia & New Zealand,,2006,2.1403000000000003,34.93
Australia & New Zealand,,2007,1.0258,36.07
Australia & New Zealand,,2008,1.3731,34.26
Australia & New Zealand,,2009,1.6924000000000001,30.89
Australia & New Zealand,,2010,1.6998,37.81
Australia & New Zealand,,2011,2.1339,34.26
Australia & New Zealand,,2012,2.2746,35.15
Australia & New Zealand,,2013,1.9815,38.66
Australia & New Zealand,,2014,2.1825,38.8
Australia & New Zealand,,2015,2.0724,37.31
Australia & New Zealand,,2016,2.1234,34.7
Australia & New Zealand,,2017,2.7083,35.09
Australia & New Zealand,,2018,2.0791,
Austria,AUT,1961,2.5208,
Austria,AUT,1962,2.5684,
Austria,AUT,1963,2.5099,
Austria,AUT,1964,2.6217,
Austria,AUT,1965,2.3301000000000003,
Austria,AUT,1966,2.9406000000000003,
Austria,AUT,1967,3.2510000000000003,
Austria,AUT,1968,3.3431,
Austria,AUT,1969,3.5557000000000003,
Austria,AUT,1970,3.1923000000000004,
Austria,AUT,1971,3.6564,
Austria,AUT,1972,3.4026,
Austria,AUT,1973,3.8555,
Austria,AUT,1974,4.0709,
Austria,AUT,1975,3.7527000000000004,
Austria,AUT,1976,4.173900000000001,
Austria,AUT,1977,4.0962000000000005,
Austria,AUT,1978,4.3942000000000005,
Austria,AUT,1979,3.7292,
Austria,AUT,1980,4.5156,
Austria,AUT,1981,4.1471,
