rank,title,artist,gender,year,critic_name,critic_rols,critic_country,critic_country2
4,U.N.I.T.Y.,Queen Latifah,female,1993,Brother Ernie,Photographer,US,NA
5,O.P.P.,Naughty By Nature,male,1991,Brother Ernie,Photographer,US,NA
1,Rapper’s Delight,Sugarhill Gang,male,1979,Julio César Escovar,Producer,Colombia,NA
2,Walk This Way,Run DMC,male,1986,Julio César Escovar,Producer,Colombia,NA
3,You Got Me,The Roots ft. Erykah Badu,mixed,1999,Julio César Escovar,Producer,Colombia,NA
4,My Name Is,Eminem,male,1999,Julio César Escovar,Producer,Colombia,NA
5,Gold Digger,Kanye West ft. Jamie Foxx,male,2005,Julio César Escovar,Producer,Colombia,NA
1,Hip Hop,Dead Prez,male,2000,Laurent Fintoni,Critic,US,NA
2,Je Danse Le Mia,IAM,male,1994,Laurent Fintoni,Critic,US,NA
3,Mic Check,Aceyalone,male,1995,Laurent Fintoni,Critic,US,NA
4,Tried by 12,East Flatbush Project,male,1996,Laurent Fintoni,Critic,US,NA
5,Elevators (Me & You),OutKast,male,1996,Laurent Fintoni,Critic,US,NA
1,Party Up (Up In Here),DMX,male,1999,Larry Fitzmaurice,The FADER,US,NA
2,Da Rockwilder,Method Man and Redman,male,1999,Larry Fitzmaurice,The FADER,US,NA
3,Livin’ It Up,Ja Rule ft. Case,male,2001,Larry Fitzmaurice,The FADER,US,NA
4,I Luv U,Dizzee Rascal,male,2003,Larry Fitzmaurice,The FADER,US,NA
5,Gucci Gucci,Kreayshawn,female,2011,Larry Fitzmaurice,The FADER,US,NA
1,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,male,1992,Brendan Frederick,Genius,US,NA
2,Shook Ones (Part II),Mobb Deep,male,1995,Brendan Frederick,Genius,US,NA
3,Elevators (Me & You),OutKast,male,1996,Brendan Frederick,Genius,US,NA
4,La Di Da Di,Doug E Fresh & The Get Fresh Crew,male,1985,Brendan Frederick,Genius,US,NA
5,Where I’m From,JAY-Z,male,1997,Brendan Frederick,Genius,US,NA
1,The Message,Grandmaster Flash & The Furious Five,male,1982,Simon Frantz,BBC Music,US,NA
2,Planet Rock,Afrika Bambaataa & The Soulsonic Force,male,1982,Simon Frantz,BBC Music,US,NA
3,Paid In Full,Eric B & Rakim,male,1987,Simon Frantz,BBC Music,US,NA
4,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,male,1992,Simon Frantz,BBC Music,US,NA
5,U.N.I.T.Y.,Queen Latifah,female,1993,Simon Frantz,BBC Music,US,NA
1,Sucker MCs,Run DMC,male,1984,Sasha Frere-Jones,Critic,US,NA
2,Rosa Parks,OutKast,male,1998,Sasha Frere-Jones,Critic,US,NA
3,Mask Off,Future,male,2017,Sasha Frere-Jones,Critic,US,NA
4,Where I’m From,JAY-Z,male,1997,Sasha Frere-Jones,Critic,US,NA
5,Warning,The Notorious B.I.G.,male,1994,Sasha Frere-Jones,Critic,US,NA
1,N.Y. State Of Mind,Nas,male,1994,Nick Fulton,Critic,New Zealand,NA
2,Doo Wop (That Thing),Lauryn Hill,female,1998,Nick Fulton,Critic,New Zealand,NA
3,Jesus Walks,Kanye West,male,2004,Nick Fulton,Critic,New Zealand,NA
4,C.R.E.A.M.,Wu-Tang Clan,male,1993,Nick Fulton,Critic,New Zealand,NA
5,Grindin’,Clipse,male,2002,Nick Fulton,Critic,New Zealand,NA
1,Runaway,Kanye West ft. Pusha T,male,2010,Viola Funk,Critic,Germany,NA
2,I Heard,Young Fathers,male,2013,Viola Funk,Critic,Germany,NA
3,Swimming Pools (Drank),Kendrick Lamar,male,2012,Viola Funk,Critic,Germany,NA
4,Goosebumps,Travis Scott ft. Kendrick Lamar,male,2016,Viola Funk,Critic,Germany,NA
5,God’s Plan,Drake,male,2018,Viola Funk,Critic,Germany,NA
1,Brenda’s Got A Baby,2Pac,male,1991,Polla Garmiany,Critic,Germany,Kurdistan
2,U.N.I.T.Y.,Queen Latifah,female,1993,Polla Garmiany,Critic,Germany,Kurdistan
3,The Story Of OJ,JAY-Z,male,2017,Polla Garmiany,Critic,Germany,Kurdistan
4,Ms Jackson,OutKast,male,2000,Polla Garmiany,Critic,Germany,Kurdistan
5,It Was A Good Day,Ice Cube,male,1992,Polla Garmiany,Critic,Germany,Kurdistan
1,C.R.E.A.M.,Wu-Tang Clan,male,1993,Dan Green,Clockwork Music,US,NA
2,Life’s A Bitch,Nas ft. A.Z.,male,1994,Dan Green,Clockwork Music,US,NA
3,Mass Appeal,Gang Starr,male,1994,Dan Green,Clockwork Music,US,NA
4,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,male,1992,Dan Green,Clockwork Music,US,NA
5,Juicy,The Notorious B.I.G.,male,1994,Dan Green,Clockwork Music,US,NA
1,Straight Outta Compton (Extended Mix),NWA,male,1989,Zack O'Malley Greenburg,Forbes,US,NA
2,One Mic,Nas,male,2001,Zack O'Malley Greenburg,Forbes,US,NA
3,Monster,Kanye West,male,2010,Zack O'Malley Greenburg,Forbes,US,NA
4,Hypnotize,The Notorious B.I.G.,male,1997,Zack O'Malley Greenburg,Forbes,US,NA
5,The Message,Grandmaster Flash & The Furious Five,male,1982,Zack O'Malley Greenburg,Forbes,US,NA
1,Fight The Power,Public Enemy,male,1989,Rob Harvilla,The Ringer,US,NA
2,The Message,Grandmaster Flash & The Furious Five,male,1982,Rob Harvilla,The Ringer,US,NA
3,Work It,Missy Elliott,female,2002,Rob Harvilla,The Ringer,US,NA
4,Wu-Tang Clan Ain’t Nuthing Ta Fuck Wit,Wu-Tang Clan,male,1993,Rob Harvilla,The Ringer,US,NA
5,Throw Some D’s,Rich Boy,male,2007,Rob Harvilla,The Ringer,US,NA
1,Umoya,Skwatta Kamp,male,2003,Helen Herimbi,Critic,South Africa,NA
2,Soweto,ProKid,male,2005,Helen Herimbi,Critic,South Africa,NA
3,U.N.I.T.Y.,Queen Latifah,female,1993,Helen Herimbi,Critic,South Africa,NA
4,Sim Dope,AKA,male,2014,Helen Herimbi,Critic,South Africa,NA
5,Regrets,JAY-Z,male,1996,Helen Herimbi,Critic,South Africa,NA
1,B.O.B.,OutKast,male,2000,Hrishikesh Hirway,Song Exploder,US,NA
2,Alright,Kendrick Lamar,male,2015,Hrishikesh Hirway,Song Exploder,US,NA
3,No Church in the Wild,JAY-Z & Kanye West,male,2011,Hrishikesh Hirway,Song Exploder,US,NA
4,Respiration,Black Star ft. Common,male,1998,Hrishikesh Hirway,Song Exploder,US,NA
5,Bring Da Ruckus,Wu-Tang Clan,male,1993,Hrishikesh Hirway,Song Exploder,US,NA
1,Shook Ones (Part II),Mobb Deep,male,1995,Ethan Holben,BBC Music,US,NA
2,N.Y. State Of Mind,Nas,male,1994,Ethan Holben,BBC Music,US,NA
3,They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,male,1992,Ethan Holben,BBC Music,US,NA
4,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,male,1992,Ethan Holben,BBC Music,US,NA
5,Bitch Don’t Kill My Vibe,Kendrick Lamar,male,2012,Ethan Holben,BBC Music,US,NA
1,Runaway,Kanye West ft. Pusha T,male,2010,Charles Holmes,Rolling Stone,US,NA
2,Flava,Rich Gang,male,2014,Charles Holmes,Rolling Stone,US,NA
3,Rosa Parks,OutKast,male,1998,Charles Holmes,Rolling Stone,US,NA
4,La La La,Lil Wayne,male,2007,Charles Holmes,Rolling Stone,US,NA
5,Heart Of The City (Ain’t No Love),JAY-Z,male,2001,Charles Holmes,Rolling Stone,US,NA
1,Passin’ Me By,The Pharcyde,male,1992,Leslie Horn,Noisey/Vice,US,NA
2,Electric Relaxation,A Tribe Called Quest,male,1993,Leslie Horn,Noisey/Vice,US,NA
3,SpottieOttieDopaliscious,Outkast,male,1998,Leslie Horn,Noisey/Vice,US,NA
4,Party Life,JAY-Z,male,2007,Leslie Horn,Noisey/Vice,US,NA
5,Real,Lupe Fiasco,male,2006,Leslie Horn,Noisey/Vice,US,NA
1,Sideways,E-40 feat B-Legit & Mac Shon,male,1995,Vivian Host,Radio Personality and Critic,US,NA
2,Shook Ones (Part II),Mobb Deep,male,1995,Vivian Host,Radio Personality and Critic,US,NA
3,Get Money,Junior M.A.F.I.A. ft. The Notorious B.I.G.,male,1995,Vivian Host,Radio Personality and Critic,US,NA
4,Straight Outta Compton,NWA,male,1988,Vivian Host,Radio Personality and Critic,US,NA
5,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,male,1992,Vivian Host,Radio Personality and Critic,US,NA
1,D’Evils,JAY-Z,male,1996,Kathy Iandoli,Critic,US,NA
2,Lost Ones,Lauryn Hill,female,1998,Kathy Iandoli,Critic,US,NA
3,Queen Bitch,Lil’ Kim,female,1996,Kathy Iandoli,Critic,US,NA
4,Quiet Storm (Remix),Mobb Deep ft. Lil’ Kim,mixed,1999,Kathy Iandoli,Critic,US,NA
5,Da Art of Storytellin’ (Pt. 2),OutKast,male,1998,Kathy Iandoli,Critic,US,NA
1,If I Ruled The World (Imagine That),Nas ft. Lauryn Hill,mixed,1996,Antoinette Isama,OkayAfrica,US,NA
2,Woo Hah!! Got You All In Check,Busta Rhymes,male,1996,Antoinette Isama,OkayAfrica,US,NA
3,Electric Relaxation,A Tribe Called Quest,male,1993,Antoinette Isama,OkayAfrica,US,NA
4,The Rain (Supa Dupa Fly),Missy Elliott,female,1997,Antoinette Isama,OkayAfrica,US,NA
5,Elevators (Me & You),OutKast,male,1996,Antoinette Isama,OkayAfrica,US,NA
1,93 ’Til Infinity,Souls of Mischief,male,1993,Reed Jackson,Critic,US,NA
2,Slippin',DMX,male,1998,Reed Jackson,Critic,US,NA
3,Love Is…,Common,male,2005,Reed Jackson,Critic,US,NA
4,Keep It On The Real,3X Krazy,male,1997,Reed Jackson,Critic,US,NA
5,Clear Blue Skies,Juggaknots,mixed,1996,Reed Jackson,Critic,US,NA
1,Juicy,The Notorious B.I.G.,male,1994,Nadia Jae,BBC Radio 1Xtr,UK,NA
2,Hit ’Em Up,2Pac,male,1996,Nadia Jae,BBC Radio 1Xtr,UK,NA
3,Just A Moment,Nas ft. Quan,male,2005,Nadia Jae,BBC Radio 1Xtr,UK,NA
4,Hold You Down,Alchemist ft. Nina Sky & Prodigy & Illa Ghee,mixed,2004,Nadia Jae,BBC Radio 1Xtr,UK,NA
5,Déjà Vu (Uptown Baby),Lord Tariq & Peter Gunz,male,1998,Nadia Jae,BBC Radio 1Xtr,UK,NA
1,C.R.E.A.M.,Wu-Tang Clan,male,1993,J'na Jefferson,Critic,US,NA
2,I’ll Be Missing You,Puff Daddy ft. Faith Evans and 112,mixed,1997,J'na Jefferson,Critic,US,NA
3,International Players Anthem,UGK ft. OutKast,male,2007,J'na Jefferson,Critic,US,NA
4,Stan,Eminem ft. Dido,mixed,2000,J'na Jefferson,Critic,US,NA
5,Jesus Walks,Kanye West,male,2004,J'na Jefferson,Critic,US,NA
1,Juicy,The Notorious B.I.G.,male,1994,Brian Josephs,Critic,US,NA
2,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,male,1992,Brian Josephs,Critic,US,NA
3,Jesus Walks,Kanye West,male,2004,Brian Josephs,Critic,US,NA
4,N.Y. State Of Mind,Nas,male,1994,Brian Josephs,Critic,US,NA
5,C.R.E.A.M.,Wu-Tang Clan,male,1993,Brian Josephs,Critic,US,NA
1,Fuck Tha Police,NWA,male,1988,Bhanuj Kappal,Critic,India,NA
2,Fight The Power,Public Enemy,male,1989,Bhanuj Kappal,Critic,India,NA
3,Bring Da Ruckus,Wu-Tang Clan,male,1993,Bhanuj Kappal,Critic,India,NA
4,I've Seen Footage,Death Grips,male,2012,Bhanuj Kappal,Critic,India,NA
5,Alright,Kendrick Lamar,male,2015,Bhanuj Kappal,Critic,India,NA
1,Memory Lane (Sittin’ in da Park),Nas,male,1994,Mayuyuka Kaunda,Critic,South Africa,NA
2,God’s Eye,Stogie T,male,2018,Mayuyuka Kaunda,Critic,South Africa,NA
3,Mo(u)rning,Akua Naru,female,2012,Mayuyuka Kaunda,Critic,South Africa,NA
4,They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,male,1992,Mayuyuka Kaunda,Critic,South Africa,NA
5,93 ’Til Infinity,Souls of Mischief,male,1993,Mayuyuka Kaunda,Critic,South Africa,NA
1,Juicy,The Notorious B.I.G.,male,1994,William E. Ketchum III,Vibe,US,NA
2,Fight The Power,Public Enemy,male,1989,William E. Ketchum III,Vibe,US,NA
3,Shook Ones (Part II),Mobb Deep,male,1995,William E. Ketchum III,Vibe,US,NA
4,They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,male,1992,William E. Ketchum III,Vibe,US,NA
5,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,male,1992,William E. Ketchum III,Vibe,US,NA
1,Juicy,The Notorious B.I.G.,male,1994,Sowmya Krishnamurthy,Critic,US,NA
2,Dear Mama,2Pac,male,1995,Sowmya Krishnamurthy,Critic,US,NA
3,Hard Knock Life,JAY-Z,male,1998,Sowmya Krishnamurthy,Critic,US,NA
4,C.R.E.A.M.,Wu-Tang Clan,male,1993,Sowmya Krishnamurthy,Critic,US,NA
5,Shook Ones (Part II),Mobb Deep,male,1995,Sowmya Krishnamurthy,Critic,US,NA
1,All Of The Lights,Kanye West ft. Rihanna & Kid Cudi,male,2010,Kish Lal,Critic,US,NA
2,Day 'N' Nite,Kid Cudi,male,2008,Kish Lal,Critic,US,NA
3,Country Grammar,Nelly,male,2000,Kish Lal,Critic,US,NA
