ID,title,artist,year,gender,points,n,n1,n2,n3,n4,n5
148,The World Is Yours,Nas,1994,male,8,1,0,1,0,0,0
149,Ultralight Beam,Kanye West,2016,male,8,1,0,1,0,0,0
150,Warm It Up Kane,Big Daddy Kane,1989,male,8,1,0,1,0,0,0
151,We Can Get Gangsta,Project Pat,2001,male,8,1,0,1,0,0,0
152,Woo Hah!! Got You All In Check,Busta Rhymes,1996,male,8,1,0,1,0,0,0
153,Beat Bop,Rammellzee & K Rob,1983,male,6,2,0,0,0,1,1
154,I Get Around,2Pac,1993,male,6,2,0,0,0,1,1
155,Party Life,JAY-Z,2007,male,6,2,0,0,0,1,1
156,Where I’m From,JAY-Z,1997,male,6,2,0,0,0,1,1
157,Act Too (Love of My Life),The Roots,1999,male,6,1,0,0,1,0,0
158,America’s Most Blunted,Madvillain,2004,male,6,1,0,0,1,0,0
159,Atrevido,Orishas,2000,male,6,1,0,0,1,0,0
160,Bonita Applebum,A Tribe Called Quest,1990,male,6,1,0,0,1,0,0
161,Bout It Bout It,Master P,1996,male,6,1,0,0,1,0,0
162,Can’t Knock The Hustle,JAY-Z,1996,male,6,1,0,0,1,0,0
163,Cartoons & Cereal,Kendrick Lamar ft. Gunplay,2012,male,6,1,0,0,1,0,0
164,Children’s Story,Slick Rick,1999,male,6,1,0,0,1,0,0
165,Da Art Of Storytellin’,OutKast,1999,male,6,1,0,0,1,0,0
166,Dr Aden,BOB,2011,male,6,1,0,0,1,0,0
167,Get Money,Junior M.A.F.I.A. ft. The Notorious B.I.G.,1995,male,6,1,0,0,1,0,0
168,Get The Bozack,EPMD,1989,male,6,1,0,0,1,0,0
169,God Lives Through,A Tribe Called Quest,1993,male,6,1,0,0,1,0,0
170,Hahahaha jk?,Das Racist,2010,male,6,1,0,0,1,0,0
171,Hard In Da Paint,Waka Flocka Flame,2009,male,6,1,0,0,1,0,0
172,I Gave You Power,Nas,1996,male,6,1,0,0,1,0,0
173,Just A Moment,Nas ft. Quan,2005,male,6,1,0,0,1,0,0
174,Know The Ledge,Eric B & Rakim,1992,male,6,1,0,0,1,0,0
175,Learned from Texas,BIG K.R.I.T,2019,male,6,1,0,0,1,0,0
176,Livin’ It Up,Ja Rule ft. Case,2001,male,6,1,0,0,1,0,0
177,Love Is…,Common,2005,male,6,1,0,0,1,0,0
178,Lyrics Of Fury,Eric B & Rakim,1988,male,6,1,0,0,1,0,0
179,Mask Off,Future,2017,male,6,1,0,0,1,0,0
180,Mass Appeal,Gang Starr,1994,male,6,1,0,0,1,0,0
181,Mic Check,Aceyalone,1995,male,6,1,0,0,1,0,0
182,Mo(u)rning,Akua Naru,2012,female,6,1,0,0,1,0,0
183,No Church in the Wild,JAY-Z & Kanye West,2011,male,6,1,0,0,1,0,0
184,Old Town Road (Remix),Lil Nas X ft. Billy Ray Cyrus,2019,male,6,1,0,0,1,0,0
185,OVERSEAS,Bohan Phoenix,2018,male,6,1,0,0,1,0,0
186,Paper Planes,M.I.A.,2008,female,6,1,0,0,1,0,0
187,Peter Piper,Run DMC,1986,male,6,1,0,0,1,0,0
188,PRIDE,Kendrick Lamar,2017,male,6,1,0,0,1,0,0
189,Push It,Salt-N-Pepa,1986,female,6,1,0,0,1,0,0
190,Put It On,Big L,1995,male,6,1,0,0,1,0,0
191,Queen Bitch,Lil’ Kim,1996,female,6,1,0,0,1,0,0
192,Self Control,Frank Ocean,2016,male,6,1,0,0,1,0,0
193,Still Tippin’,Mike Jones,2004,male,6,1,0,0,1,0,0
194,Sub City,Stogie T,2016,male,6,1,0,0,1,0,0
195,Swimming Pools (Drank),Kendrick Lamar,2012,male,6,1,0,0,1,0,0
196,The Blacker The Berry,Kendrick Lamar,2015,male,6,1,0,0,1,0,0
197,The Story Of OJ,JAY-Z,2017,male,6,1,0,0,1,0,0
198,Trap Beldi,Issam,2018,male,6,1,0,0,1,0,0
199,Verbal Intercourse,Raekwon ft. Ghostface Killah and Nas,1995,male,6,1,0,0,1,0,0
200,Vicious Rap,Tanya ‘Sweet Tee’ Winley,1980,female,6,1,0,0,1,0,0
201,What About Me,Lil Boosie,2007,male,6,1,0,0,1,0,0
202,Worst Behavior,Drake,2013,male,6,1,0,0,1,0,0
203,You Got Me,The Roots ft. Erykah Badu,1999,mixed,6,1,0,0,1,0,0
204,Mona Lisa,Slick Rick,1988,male,4,2,0,0,0,0,2
205,Witness (1 Hope),Roots Manuva,2001,male,4,2,0,0,0,0,2
206,1 Train,ASAP Rocky,2013,male,4,1,0,0,0,1,0
207,Ambitionz Az A Ridah,2Pac,1996,male,4,1,0,0,0,1,0
208,Award Tour,A Tribe Called Quest,1993,male,4,1,0,0,0,1,0
209,Baby Got Back,Sir Mix-A-Lot,1992,male,4,1,0,0,0,1,0
210,Bastard,Tyler The Creator,2009,male,4,1,0,0,0,1,0
211,Black Ice,Goodie Mob ft. OutKast,1998,male,4,1,0,0,0,1,0
212,Boyz-n-the-Hood,Eazy-E,1988,male,4,1,0,0,0,1,0
213,Can I Kick It,A Tribe Called Quest,1990,male,4,1,0,0,0,1,0
214,Can I Live,JAY-Z,1996,male,4,1,0,0,0,1,0
215,Feelin’ Myself,Mac Dre,2004,male,4,1,0,0,0,1,0
216,Fight Da Faida,Frankie HI-NRG MC,1993,male,4,1,0,0,0,1,0
217,Get By,Talib Kweli,2002,male,4,1,0,0,0,1,0
218,Goosebumps,Travis Scott ft. Kendrick Lamar,2016,male,4,1,0,0,0,1,0
219,Gossip,Lil Wayne,2007,male,4,1,0,0,0,1,0
220,Grief,Earl Sweatshirt,2015,male,4,1,0,0,0,1,0
221,Ha,Juvenile,2008,male,4,1,0,0,0,1,0
222,Have a Nice Day,Roxanne Shante,1989,female,4,1,0,0,0,1,0
223,Hold You Down,Alchemist ft. Nina Sky & Prodigy & Illa Ghee,2004,mixed,4,1,0,0,0,1,0
224,Hovi Baby,JAY-Z,2002,male,4,1,0,0,0,1,0
225,I Like That,Janelle Monae,2018,female,4,1,0,0,0,1,0
226,I Luv U,Dizzee Rascal,2003,male,4,1,0,0,0,1,0
227,I Used To Love Him,Lauryn Hill ft. Mary J Blige,1998,female,4,1,0,0,0,1,0
228,I Wonder,Kanye West,2007,male,4,1,0,0,0,1,0
229,I've Seen Footage,Death Grips,2012,male,4,1,0,0,0,1,0
230,It’s All About The Benjamins (Remix),Puff Daddy ft. The Notorious B.I.G. & Lil’ Kim & The LOX,1997,mixed,4,1,0,0,0,1,0
231,Keep It On The Real,3X Krazy,1997,male,4,1,0,0,0,1,0
232,Kyoto,Yung Lean,2013,male,4,1,0,0,0,1,0
233,La Di Da Di,Doug E Fresh & The Get Fresh Crew,1985,male,4,1,0,0,0,1,0
234,La La La,Lil Wayne,2007,male,4,1,0,0,0,1,0
235,Love Of My Life (An Ode To Hip Hop),Erykah Badu ft. Common,2002,mixed,4,1,0,0,0,1,0
236,Love Yourz,J Cole,2014,male,4,1,0,0,0,1,0
237,My Name Is,Eminem,1999,male,4,1,0,0,0,1,0
238,Oh Yeah,Foxy Brown,2001,female,4,1,0,0,0,1,0
239,Ojuelegba (Remix),Wizkid ft. Drake & Skepta,2015,male,4,1,0,0,0,1,0
240,One Day,UGK,1996,male,4,1,0,0,0,1,0
241,Play That Beat Mr DJ,GLOBE & Whiz Kid,2001,male,4,1,0,0,0,1,0
242,Puppet Master,Dr Dre ft. B-Real,1997,male,4,1,0,0,0,1,0
243,Quiet Storm (Remix ft. Lil Kim),Mobb Deep,1999,male,4,1,0,0,0,1,0
244,Quiet Storm (Remix),Mobb Deep ft. Lil’ Kim,1999,mixed,4,1,0,0,0,1,0
245,Renegade,JAY-Z ft. Eminem,2001,male,4,1,0,0,0,1,0
246,Respiration,Black Star ft. Common,1998,male,4,1,0,0,0,1,0
247,Sim Dope,AKA,2014,male,4,1,0,0,0,1,0
248,Sippin On Some Syrup,Three 6 Mafia ft. UGK,2000,male,4,1,0,0,0,1,0
249,Sky’s The Limit,The Notorious B.I.G ft. 112,1997,male,4,1,0,0,0,1,0
250,Slow It Down,Little Brother,2005,male,4,1,0,0,0,1,0
251,So What’cha Want,Beastie Boys,1992,male,4,1,0,0,0,1,0
252,Sock It 2 Me,Missy Elliott ft. Da Brat,1997,female,4,1,0,0,0,1,0
253,Swangin’ and Bangin',E.S.G.,1993,male,4,1,0,0,0,1,0
254,Tha Crossroads,Bone Thugs-N-Harmony,1996,male,4,1,0,0,0,1,0
255,Tried by 12,East Flatbush Project,1996,male,4,1,0,0,0,1,0
256,Who Am I (What’s My Name)?,Snoop Dogg,1993,male,4,1,0,0,0,1,0
257,All Caps,Madvillain,2004,male,2,1,0,0,0,0,1
258,All Falls Down,Kanye West ft. Syleena Johnson,2004,mixed,2,1,0,0,0,0,1
259,B.I.B.L.E. (Basic Instructions Before Leaving Earth),Killah Priest,1995,male,2,1,0,0,0,0,1
260,Bible On The Dash,Gunplay,2012,male,2,1,0,0,0,0,1
261,Big Pimpin',JAY-Z ft. UGK,1999,male,2,1,0,0,0,0,1
262,Bitch Don’t Kill My Vibe,Kendrick Lamar,2012,male,2,1,0,0,0,0,1
263,Clear Blue Skies,Juggaknots,1996,mixed,2,1,0,0,0,0,1
264,Concrete Schoolyard,Jurassic 5,1998,male,2,1,0,0,0,0,1
265,Da Art of Storytellin’ (Pt. 2),OutKast,1998,male,2,1,0,0,0,0,1
266,Da Mystery Of Chessboxin',Wu-Tan Clan,1993,male,2,1,0,0,0,0,1
267,Déjà Vu (Uptown Baby),Lord Tariq & Peter Gunz,1998,male,2,1,0,0,0,0,1
268,Dipset Anthem,Diplomats ft. Juelz Santana & Cam’ron,2003,male,2,1,0,0,0,0,1
269,DNA,Kendrick Lamar,2017,male,2,1,0,0,0,0,1
270,Fuck Tha World,Lil Wayne,1999,male,2,1,0,0,0,0,1
271,Fuck Wit Dre Day (And Everybody’s Celebratin’),Dr Dre ft. Snoop Doggy Dogg,1993,male,2,1,0,0,0,0,1
272,God’s Plan,Drake,2018,male,2,1,0,0,0,0,1
273,Gold Digger,Kanye West ft. Jamie Foxx,2005,male,2,1,0,0,0,0,1
274,Gucci Gucci,Kreayshawn,2011,female,2,1,0,0,0,0,1
275,Heart Of The City (Ain’t No Love),JAY-Z,2001,male,2,1,0,0,0,0,1
276,HYFR,Drake ft. Lil Wayne,2011,male,2,1,0,0,0,0,1
277,I Used To Love H.E.R.,Common,1994,male,2,1,0,0,0,0,1
278,Insane In The Brain,Cypress Hill,1993,male,2,1,0,0,0,0,1
279,It Was A Good Day (B-Side Remix version),Ice Cube,1994,male,2,1,0,0,0,0,1
280,It’s Your World (Part 1 & 2),Common,2005,male,2,1,0,0,0,0,1
281,L'Americano,Akhenaton,1995,male,2,1,0,0,0,0,1
282,Look At Me!,XXXTENTACION,2015,male,2,1,0,0,0,0,1
283,Looking At The Front Door,Main Source,1990,male,2,1,0,0,0,0,1
284,Lost In The World,Kanye West ft. Bon Iver,2010,male,2,1,0,0,0,0,1
285,Love Again (Akinyele Back),Run The Jewels ft. Gangsta Boo,2014,mixed,2,1,0,0,0,0,1
286,Love Sosa,Chief Keef,2012,male,2,1,0,0,0,0,1
287,March Madness,Future,2015,male,2,1,0,0,0,0,1
288,Mortal Man,Kendrick Lamar,2015,male,2,1,0,0,0,0,1
289,Mtaktak,Shabjdeed & Al Nather,2019,male,2,1,0,0,0,0,1
290,Ngqangqa,Kanyi,2017,female,2,1,0,0,0,0,1
291,Nice For What,Drake,2018,male,2,1,0,0,0,0,1
292,No Diggity,Blackstreet ft. Dr Dre and Queen Pen,1996,mixed,2,1,0,0,0,0,1
293,O.P.P.,Naughty By Nature,1991,male,2,1,0,0,0,0,1
294,Pacifier,Young Thug,2015,male,2,1,0,0,0,0,1
295,Paid In Full (Seven Minutes Of Madness – The Coldcut Remix),Eric B & Rakim,1987,male,2,1,0,0,0,0,1
296,Pass That Dutch,Missy Elliott,2003,female,2,1,0,0,0,0,1
297,Realer,Megan Thee Stallion,2019,female,2,1,0,0,0,0,1
298,Regrets,JAY-Z,1996,male,2,1,0,0,0,0,1
299,Rock Wit U,Joe ft. G-Unit,2003,male,2,1,0,0,0,0,1
300,Root Down,Beastie Boys,1994,male,2,1,0,0,0,0,1
301,Scotty,D4L,2005,male,2,1,0,0,0,0,1
302,Shinjitsu No Dangan,King Giddra,1995,male,2,1,0,0,0,0,1
303,Shoop,Salt-N-Pepa,1993,female,2,1,0,0,0,0,1
304,Still Fly,Big Tymers,2002,male,2,1,0,0,0,0,1
305,The Breaks,Kurtis Blow,1980,male,2,1,0,0,0,0,1
306,Throw Some D’s,Rich Boy,2007,male,2,1,0,0,0,0,1
307,Time’s Up,O.C.,1994,male,2,1,0,0,0,0,1
308,Turn On The Lights,Future,2012,male,2,1,0,0,0,0,1
309,Warning,The Notorious B.I.G.,1994,male,2,1,0,0,0,0,1
310,Who Dat,J.T. Money ft. Solé,1999,mixed,2,1,0,0,0,0,1
311,Wipe Me Down (Remix),Foxx & Lil Boosie & Webbie,2006,male,2,1,0,0,0,0,1
